series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,3370596.078539694,3370429.9881815705,3370284.013082021,3370144.6473515164,3370004.627988601,3369859.9188877316,3369708.143926907,3369547.7721132017,3369377.6931933616,3369196.996018499,3369004.852180329,3368800.4542815783,3368582.9825317785,3368351.585996726,3368105.371394864,3367843.3957447666,3367564.660940369,3367268.1092518335,3366952.6192289772,3366617.001733478,3366259.995956001,3365880.265342372,3365476.3933887444,3365046.8792848885,3364590.133395359,3364104.4725745497,3363588.115315745,3363039.1767373667,3362455.6634123162,3361835.468048935,3361176.364034869,3360475.999858098,3359731.893422663,3358941.426280246,3358101.8378027393,3357210.2193253343,3356263.508294449,3355258.4824600583,3354191.754157636,3353059.7647310263,3351858.779154056,3350584.8809156055,3349233.967240107,3347801.7447230057,3346283.725468486,3344675.223824696,3342971.3538196455,3341167.0274087684,3339256.953652677,3337235.6389506776,3335097.38846196,3332836.308851731,3330446.312503682,3327921.123342715,3565892.5235548974,3803500.974118156,4040715.176407752,4277490.433487712,4513769.736827301,4749483.717954084,4984549.756738926,5218870.42872963,5452331.391729667,5684798.754665786,5916115.934879432,6146099.988807535,6374537.39252575,6601179.251406053,6585097.693153494,6567301.743297625,6547563.744294858,6525687.056833013,6501488.914980004,6474794.542348218,6445436.527586471,6413256.7323354175,6378109.442739706,6339865.098746128,6298414.199633425,6253671.094934749,6205577.420625942,6154104.973797538,6099257.853696906,6041073.739729235,5979624.228027939,5915014.20432175,5847380.287157255,5776888.426917901,5703730.788093977,5628122.071897871,5550295.452288081,5470498.301119986,5388987.869173983,5306027.0717904875,5221880.5037214365,5136810.780503814,5051075.275734176,4964923.29710088,4878593.720339413,4792313.080267455,4706294.102088878,4620734.644204609,4535817.015538943,4451707.625421844,4368556.921820346,4286499.5736279,4205654.854270658,4126127.1866005464,4048006.812512467,3971370.5546161397,3896282.6413518316,3822795.5709675164,3750950.9936322365,3680780.5945522506,3612306.964225527,3545544.4448877177,3480499.9447618765,3417173.7139332877,3355560.0775488787,3295648.1236133887,3237422.343951105,3180863.2279532403,3125947.8095675153,3072650.1686374974,3020941.888192076,2970792.4696450825,2922169.7081138706,2875040.0302234255,2829368.7968465863,2785120.573256045,2742259.3691427177,2700748.850898501,2660552.528478365,2621633.9190545483,2583956.6895604217,2547484.780098264,2512182.5100576803,2478014.668662797,2444946.5915390714,2412944.224766372,2381974.177765287,2352003.766249317,2323001.0463673584,2294934.8410590757,2267774.759550561,2241491.2108291206,2216055.4118540264,2191439.3911844497,2167615.9886362837,2144558.851515905,2122242.427920786
E,0.0,166.09035812342856,262.23835023601055,322.93257566976615,366.07216588401076,400.9596169883512,432.44669271676156,463.0844986069934,494.23806886511454,526.6638230681037,560.8085143178383,596.9638587735001,635.3464509412925,676.1390507112174,719.5119373599296,765.6340062491316,814.6786087716863,866.826714676009,922.2687231295902,981.2056016899645,1043.8496986600953,1110.4254026910064,1181.1697355114227,1256.3329187139877,1336.178932629219,1420.9860736495539,1511.0475103594315,1606.6718356297883,1708.1836099915176,1815.9238903756227,1930.2507373288734,2051.539692900974,2180.1842204655013,2316.5960967431156,2461.205745226905,2614.4624990640227,2776.8347802300086,2948.8101805520764,3130.8954288090113,3323.616226775818,3527.5169357129744,3743.160093450031,3971.1257409137884,4212.010535740848,4466.426629538329,4735.000284466954,5018.370204177462,5317.185553801069,5632.103643752038,5963.787252625777,6312.901565555827,6680.110706117948,7066.073842331527,7471.440850598989,7896.84752562987,8557.581847075311,9414.344145749497,10453.02296445673,11676.051877924401,13097.494330156223,14740.446388660042,16635.879623751345,18822.391878981514,21346.5505215601,24263.64429383879,27638.73621997773,31547.9507781619,36079.945806802934,41337.52031732126,46732.21407799359,52450.54885736344,58592.07166199911,65212.59201640854,72343.18704327135,79998.2456920369,88178.56723547936,96872.28666054741,106054.94465596059,115689.3603718759,125725.6569589886,136101.6341800996,146743.59075447352,157567.63362876378,168481.4575078054,179386.53195675983,190180.59607592007,200760.3344176389,211024.09433170152,220874.5048561159,230220.8695953873,238981.22832656145,247084.0109966881,254469.239643685,261089.26513407554,266909.05366290343,271906.0607816543,276069.74731679657,279400.80175505317,281910.13799000444,283617.73666496045,284551.3938440502,284745.43357510364,284239.43216823903,283076.9926348659,281304.598445904,278970.5671045786,276124.11633044726,272814.5491014251,269090.55845907656,264999.648817681,260587.667436685,255898.43758999486,250973.4836482762,245851.83763377904,240569.91667036896,235161.46100706738,229657.52283078837,224086.49681014055,218474.18415150754,212843.88284154516,207216.4976513653,201610.6643538205,196042.88343339926,190527.6593333974,185077.64197879998,179703.76793215337,174415.39908371944,169220.45724904857,164125.55345117341,159136.11100636265,154256.48181778117,149490.05551666344,144839.3612818005,140306.16232107722,135891.54311888045,131595.98964537377,127419.46279234532,123361.46534952476,119421.102868393,115597.13878057482,111888.04414748738,108292.04241921115,104807.1495754066,101431.21001106725,98161.92851626134,94996.89868282338,91933.62805307074,88969.56030672631,86102.0947628745,83328.60345439063,80646.44601319218
I,265.1255563136627,168.93589581898013,120.12923088495702,96.25723066562142,85.60842420669628,82.0657909884684,82.43086094688944,85.03029006800045,88.98959745984938,93.8541772649036,99.39121652746802,105.48595006406183,112.08717803032634,119.17855719240609,126.76341140288292,134.85665808703567,143.48049797682364,152.6621076186804,162.4324067623216,172.8254090840832,183.87789408676662,195.62925909967356,208.12147455498425,221.39910004431476,235.509337153815,250.50210513951396,266.430131039786,283.3490488972883,301.3175044820353,320.39726286421416,340.6533167028813,362.1539933728668,384.9710591468408,409.179818639603,434.85920764065634,462.09187732918383,490.96426769535606,521.5666677919174,553.9932602163473,588.3421469815161,624.7153536761232,663.2188085498295,703.9622928867798,747.0593587607119,792.6272100015071,840.7865419543498,891.6613353873424,945.3785997114915,1002.0680605298625,1061.8617864432733,1124.8937500223942,1191.2993179261541,1261.2146653206312,1334.7761100487078,1412.1193624367916,1493.3786872188796,1594.8223280409222,1723.8622166377097,1884.1604519029534,2078.2334202156007,2308.7416589808367,2579.1165185617315,2893.8724882359306,3258.7874738102937,3681.043470410269,4169.372712970679,4734.22994668446,5387.998950071444,6145.234769563517,7022.938924962084,7987.711477487403,9032.290654568062,10159.53202689732,11375.450212142005,12686.213671082844,14096.834481366219,15610.566378460186,17228.590751593598,18949.821823669008,20770.772949095965,22685.473339547945,24685.44301061239,26759.7386316872,28895.081155987056,31076.070908513873,33285.48903772657,35504.67711698686,37713.98016596498,39893.23319681832,42022.268093409555,44081.416457746614,46051.98498581367,47916.682700370075,49659.98352585708,51268.412697088235,52730.75079211383,54038.154271314444,55184.19589668758,56164.83203522494,56978.30648785316,57625.002116467804,58107.25224240754,58429.123697440926,58596.18269260159,58615.25350913379,58494.17857798253,58241.58694688041,57866.67655666576,57379.01425100953,56788.35608805218,56104.48934557104,55337.09662981544,54495.64171293545,53589.27612458242,52626.765092000736,51616.43113785033,50566.11348256304,49483.141334926724,48374.31916896357,47245.92215741915,46103.700045334124,44952.88788700935,43798.22222463571,42643.961447846916,41493.909233547,40351.44011952428,39219.526410109815,38100.76574526169,36997.40878474941,35911.386566134475,34844.3371891248,33797.631560154005,32772.39800050802,31769.545579959093,30789.786086726726,29833.654584744636,28901.528541730317,27993.645537438857,27110.11958167368,26250.95608698269,25416.06555226112,24605.276021398582,23818.344386248915,23054.966606091017,22314.786916835707,21597.40610290104,20902.388903249728,20229.270620827127,19577.563001781393,18946.759447571974,18336.339619528393
A,793.0113983733636,761.290942438429,768.1817904848333,796.4141837481277,837.1633066950524,885.9816402257734,940.6910680776645,1000.2914320868305,1064.3961514723808,1132.9410125348056,1206.0344377146316,1283.8809571051065,1366.7425068257273,1454.9192430033177,1548.7404058554198,1648.5603502810209,1754.7572301244422,1867.73304807749,1987.9144145783466,2115.753683540179,2251.7302987281205,2396.3522689249485,2550.157732390142,2713.716592005377,2887.632212446081,3072.5431751190704,3269.125088207156,3478.0924493480006,3700.2005579345264,3936.2474730912354,4187.0760122093725,4453.575783579166,4736.685245161283,5037.39377989339,5356.743776123962,5695.832699793535,6055.815142833015,6437.904829910228,6843.376563123271,7273.568081509118,7729.88180930942,8213.786463818304,8726.818490341044,9270.583288336118,9846.756189223024,10457.083142649652,11103.381064272098,11787.537794363792,12511.511612910052,13277.330253342752,14087.089353826485,14942.950282136875,15847.137267803613,16801.933773470893,17809.678036516754,18872.757712043596,20041.868651619745,21356.843035722726,22852.747045509488,24563.791361218704,26525.98015306213,28779.070167606456,31368.191292532967,34345.346263936175,37770.927559130054,41715.34265427897,46260.81099920484,51503.37851115798,57555.1824209693,64546.98701368471,72472.02110540766,81365.7204873864,91284.48490677011,102295.00590744171,114468.29451409222,127875.7564117624,142586.12076046848,158662.6999150436,176160.77449166143,195125.0544239554,215587.2473189093,237563.80785364722,261053.96208596718,286038.1051589143,312476.6631932632,340309.4924356187,369455.8633241953,399815.0468246593,431267.48825968744,463676.5229967172,496890.56150463555,530745.6505239349,565068.3036622007,599678.4889964745,634392.6628139998,669026.7464177868,703398.9555373576,737332.4077258875,770657.4506285135,803213.6717809226,834851.56751239,865433.8637534748,894836.4945538931,922949.2546362319,949676.1503017533,974935.478587732,998659.6679878103,1020794.9155914986,1041300.655509177,1060148.8922578369,1077323.4307029494,1092819.0314625083,1106640.5176195013,1118801.8553554898,1129325.2278661104,1138240.1187667602,1145582.4182277415,1151393.5623487409,1155719.713825565,1158610.989792086,1160120.7408379407,1160304.8835980233,1159221.2879664605,1156929.218884339,1153488.8317631928,1148960.719910472,1143405.5117944016,1136883.5156002773,1129454.4082664002,1121176.9660253916,1112108.8333975167,1102306.3275708514,1091824.275144709,1080715.8782956447,1069032.6075393255,1056824.1183979672,1044138.1894347111,1031020.6792773817,1017515.5004197363,1003664.6077548182,989507.9999593736,975083.7320082226,960427.9372512966,945574.8576325718,930556.8807685236,915404.5827335222,900146.7755205573,884810.5582577778,869421.371364708,854003.0529268858,838577.8966544002
IH,0.0,43.23912534804982,48.92302071164573,43.772504102604735,37.333540562152635,32.41430914480999,29.405161754241966,27.977397887356613,27.695649449583534,28.202112742785737,29.245798190226537,30.664682257403605,32.35996613630654,34.27446732992362,36.37725738016621,38.653591654872606,41.09861533556291,43.71354957746923,46.50343015173979,49.47578871986576,52.639895149615185,56.00632951208395,59.58674639952034,63.39375114298157,67.44084125025623,71.74238607777542,76.31362912507481,81.17070386523044,86.33065775124885,91.81148116068533,97.63213924579557,103.81260533653025,110.3738949215631,117.3380994347464,124.72841917271668,132.56919470476262,140.88593613204006,149.705349523473,159.05535980836203,168.96512934585937,179.46507132235354,190.58685705179067,202.3634161729455,214.82892865338033,228.01880742406044,241.96967038325488,256.71930042561223,272.30659207465925,288.77148322729283,306.1548704604046,324.49850630631056,343.8448768793219,364.2370582351854,385.7185498732431,408.3330838533535,432.12440810146444,457.1360426249388,486.04267313064145,521.375097560863,564.9814384257645,618.1855453172325,682.0756498866781,757.7492384314023,846.4850197569256,949.8573234465287,1069.815584631281,1208.7474657487014,1369.5381505944786,1555.6333327233951,1771.1098539853792,2020.7555014160491,2301.4895186614895,2610.604892421214,2947.229365661113,3311.9127355595647,3705.9327547507,4130.738381887731,4587.576429316654,5077.255819066075,5599.999290822885,6155.348301649853,6742.102440534627,7358.285397459516,8001.135620879908,8667.122515165061,9351.98952488765,10050.82459321204,10758.156895607244,11468.076903529356,12174.375077609706,12870.69308477272,13550.680547735457,14208.15004878445,14837.223419100184,15432.463175865087,15988.984196616511,16502.542191038723,16969.59708770868,17387.350955614704,17753.761414799847,18067.532580248975,18328.086387775234,18535.517662657432,18690.53652979042,18794.401765020673,18848.84849843043,18856.013352469607,18818.35968016083,18738.605104903738,18619.653089997173,18464.529810914966,18276.32718650507,18058.152559171886,17813.085205088515,17544.13960500544,17254.235212086067,16946.17231075221,16622.61346362491,16286.069985460887,15938.892856570128,15583.267486927925,15221.211760019813,14854.576817074794,14485.050083241309,14114.160083730618,13743.28264703014,13373.648141688338,13006.34944119538,12642.350356930456,12282.494321227521,11927.513140864427,11578.035675498348,11234.59632573791,10897.643241783073,10567.546186096608,10244.604002676686,9929.051661492671,9621.066859854187,9320.776173233058,9028.260756663927,8743.561604607297,8466.68438234071,8197.603845796102,7936.267869503799,7682.6011041304355,7436.508286178207,7197.877222892499,6966.581475428995,6742.482762965539,6525.433109797337,6315.276756600229
IN,52.95053514663274,103.69474761457184,133.11369432380462,151.5592192419146,164.4684778877664,174.71307254266262,183.82326918910016,192.62677694311535,201.58261813887665,210.9560385440866,220.91043846985826,231.55591262143145,242.9750475650561,255.2367631144057,268.4038433090278,282.537119962648,297.6978694611992,313.94924885120065,331.357211240378,349.99113688019867,369.92430828000073,391.23429999650676,414.0033226233744,438.31854351537766,464.27239735557,491.9628943340118,521.4939305992067,552.9756037709118,586.5245351227586,622.264199255449,660.3252615175586,700.8459229940993,743.9722725154759,789.8586448061774,838.6679835711511,890.5722079936342,945.7525807811999,1004.4000755398121,1066.7157408736462,1132.9110581976583,1203.208289807811,1277.8408132789589,1357.05343775208,1441.1026971312372,1530.257114637874,1624.797432568558,1725.0168004761695,1831.2209143495245,1943.7280987099386,2062.869322884742,2188.9881420688284,2322.4405531599436,2463.5947547680744,2612.8308002731706,2770.5401323603455,2937.124987122249,3112.9976556116258,3301.8023223945365,3508.511629020199,3738.622408590092,3997.9050237144993,4292.420758846965,4628.663644036678,5013.758746561309,5455.688205033158,5963.535940191075,6547.751358164602,7220.4364714836875,7995.66230296151,8889.820484560956,9922.015169653836,11103.883894224762,12445.128973973793,13955.618763121842,15646.011656779912,17527.753897175837,19612.815794589023,21913.318716844427,24441.114908778647,27207.345910410793,30221.992671951608,33493.42778302386,37027.981355801756,40829.53415384829,44899.15316440558,49234.78531261264,53831.02414346205,58678.962039076265,63766.1370734035,69076.57925372888,74590.95606867755,80286.81239942354,86138.89537581951,92119.5510229306,98199.17679324598,104346.71244412637,110530.15121073886,116717.05375354565,122875.0487633133,128972.30617697594,134977.97146856043,140862.55221138513,146598.2508658784,152159.24037214328,157521.88149886162,162664.88294185273,167569.4068350909,172219.1236238744,176600.22116806655,180701.37352422628,184513.675141384,188030.54624419822,191247.61501856172,194162.5819058512,196775.07089630672,199086.47222751233,201099.7803726859,202819.43067150185,204251.13743374828,205401.73584833604,206279.0295675652,206891.64541581683,207248.89629656053,207360.65304287532,207237.22567383802,206889.25428004717,206327.60956321663,205563.30289361085,204607.4056212347,203470.97727818353,202165.00223653097,200700.33433489656,199087.64895396685,197337.40200361866,195459.7952791145,193464.7476486355,191361.87154703165,189160.45426925545,186869.4435799229,184497.43718150206,182052.67561166486,179543.03816946072,176976.04149946177,174358.84049231824,171698.231188807,169000.6554021267,166272.20679964084,163518.6382103336,160745.3699478096,157957.49896068475,155159.80864265724
D,7153.0,7153.0,7153.248889181244,7153.530495491983,7153.782454860249,7153.997350843196,7154.183931186778,7154.353190545621,7154.514231537951,7154.673650755153,7154.83598523101,7155.004327275577,7155.18083657355,7155.367104112773,7155.564391732321,7155.773783243651,7155.996277586487,7156.2328457556805,7156.484465775188,7156.752144655423,7157.036932759871,7157.339933810403,7157.662312428945,7158.005300322548,7158.370201755935,7158.7583986869795,7159.171355785154,7159.610625463201,7160.077852999913,7160.574781801108,7161.103258827201,7161.665240204122,7162.26279702649,7162.898121356401,7163.573532416683,7164.291482973633,7165.054565900556,7165.865520909714,7166.727241436453,7167.642781655096,7168.615363601726,7169.648384374086,7170.745423373501,7171.910249547932,7173.14682858901,7174.459330029107,7175.852134177264,7177.329838825034,7178.897265645144,7180.559466197268,7182.321727446292,7184.189576689291,7186.168785778105,7188.26537451511,7190.485613090604,7192.8360234214515,7195.323379242411,7197.95470479421,7200.752420103923,7203.7535127511055,7207.005608312605,7210.563952589739,7214.490055365405,7218.851743674845,7223.7242049424185,7229.191688607449,7235.349665273189,7242.307349191599,7250.190562051233,7259.144959333323,7269.339663271071,7280.971355128669,7294.218982996465,7309.245913097262,7326.210490846035,7345.274226351042,7366.60598460583,7390.382970969989,7416.7895675926875,7446.01481286763,7478.249027302762,7513.6798919822395,7552.488178291842,7594.843281758607,7640.89870211387,7690.787616590562,7744.61870121844,7802.472357685581,7864.3974970098125,7930.409014309958,8000.486061910395,8074.571192868041,8152.570406766781,8234.35408773074,8319.758784495081,8408.589747043297,8500.62410605443,8595.614561603685,8693.293436724154,8793.376949249,8895.569560846769,8999.568273928733,9105.066763504858,9211.759250409887,9319.34404303589,9427.526695427741,9536.022749230715,9644.560044724893,9752.88060152243,9860.742082175937,9967.91886189345,10074.202734883274,10179.403292780109,10283.348013424735,10385.882099311688,10486.868104619654,10586.18538822218,10683.729427739234,10779.411026795307,10873.155444420008,10964.901472145271,11054.600480964227,11142.215457030223,11227.72004186998,11311.097590015745,11392.34025435971,11471.448107214796,11548.428303031187,11623.29428695958,11696.065051955426,11766.764445863844,11835.420528890596,11902.064981027088,11966.732558333651,12029.460596472669,12090.288559500099,12149.257631650959,12206.410349673362,12261.790273160766,12315.44169028902,12367.40935637132,12417.7382626895,12466.473433135361,12513.65974629306,12559.34178070679,12603.563681201664,12646.369044255573,12687.800820552526,12727.90123298058,12766.7117084681,12804.272822178957
R,0.0,33.92677861362818,90.3179716842035,151.05246909123917,211.10967083050375,270.1153610627134,329.0411187494552,389.03033018823385,451.05651924261497,515.8791961190556,584.087458748027,656.1560598529926,732.4915116776572,813.4648473381852,899.4333876245577,990.7547752831259,1087.795989902579,1190.9392631380797,1300.5861489134288,1417.160531480531,1541.1110458628957,1672.9131931216828,1813.0713168756336,1962.120538895428,2120.6287115785653,2289.198421971638,2468.4690686674776,2659.1190251870526,2861.8678989301384,3077.4788920453843,3306.7612688279537,3550.57293304264,3809.823117628064,4085.47518840905,4378.549562637135,4690.126742335627,5021.350461507415,5373.43094524344,5747.648277626128,6145.355874037663,6567.984052042223,7017.04369340058,7494.129987982209,8000.926248353316,8539.207781629475,9110.845802781527,9717.811370968047,10362.179327635271,11046.132212077802,11771.964126897265,12542.084522343128,13359.0218648886,14225.427151609962,15144.077228033902,16117.877863136875,17149.866531176045,18243.214846066636,19403.1611942513,20638.026392170716,21959.006458444197,23379.818909305028,24916.52376779877,26587.567983813362,28414.023018370648,30419.976659615793,32633.052130050408,35085.042141647384,37812.657377672556,40858.397163943664,44271.555410882545,48109.37795357105,52432.02961804673,57300.03724355693,62775.234470074465,68922.09767615922,75808.66268072466,83506.93732276342,92092.9018371706,101646.1974069592,112249.57474213716,123988.14855762494,136948.48849121598,151217.5710481509,166881.61741459934,184024.84555486758,202728.16969792094,223067.8845690584,245114.3744904314,268930.8881424868,294572.4180939947,322084.7202306434,351503.5022565791,382853.8030114196,416149.5760463734,451393.48237399507,488576.88913987344,527680.0636555525,568672.5461416624,611513.6798742209,656153.2742808122,702532.3748515869,750584.1133743444,800234.6127724722,851403.9224851415,904006.9626389731,957954.4579891242,1013153.8455504412,1069510.1428241327,1126926.7664168056,1185306.2935469192,1244551.1613717992,1304564.3012076071,1365249.7065395652,1426512.935232562,1488261.5475683976,1550405.4826794146,1612857.3766483986,1675532.8260330663,1738350.6008821088,1801232.811469263,1864105.0330106446,1926896.392574134,1989539.622260352,2051971.0825519608,2114130.7595078284,2175962.239234359,2237412.662808807,2298432.6645671776,2358976.2964089946,2419000.9405177287,2478467.2126526292,2537338.8579375735,2595582.6408569147,2653168.2309680646,2710068.085655991,2766257.331085867,2821713.6423563864,2876417.123717103,2930350.1895878376,2983497.447005826,3035845.580025976,3087383.2365103886,3138100.9176643253,3187990.870606108,3237046.9841972026,3285264.688305155,3332640.8566253358,3379173.713146933,3424862.7423136258,3469708.602899325,3513713.045593685
G,887836.0,887836.0,887848.484621693,887868.1964618812,887892.4705442853,887919.9873282519,887950.1265198875,887982.6325209702,888017.4414938833,888054.5922074214,888094.1802886607,888136.334946057,888181.2073156842,888228.9648145159,888279.788597157,888333.8726177051,888391.4235257253,888452.6610011987,888517.8183271775,888587.1430985715,888660.898016549,888739.361744001,888822.8298105862,888911.6155623287,889006.051153822,889106.48858244,889213.300764442,889326.8826528806,889447.6523970091,889576.0525425324,889712.5512716033,889857.6436809439,890011.8530958889,890175.73241749,890349.8654990866,890534.86854794,890731.391546628,890940.1196879065,891161.7748156626,891397.1168633946,891646.9452803667,891912.1004341993,892193.4649771588,892491.9651618242,892808.5720901261,893144.302877992,893500.2217160037,893877.4408045944,894277.1211404139,894700.4731285904,895148.7569937607,895623.282960964,896125.4111758472,896656.5513321672,897218.1619733622,897811.7494340637,898455.0027401284,899162.6568536855,899948.3860118069,900826.0473776546,901810.5552304093,902918.5599263405,904169.0398818351,905583.8748224251,907188.4448331418,909012.2859237792,911089.8247386755,913461.2100202027,916173.2547119859,919280.4989176281,922793.2495687559,926735.8339997699,931140.0622594905,936041.9394674706,941479.8067375039,947493.086766881,954121.2623323483,961402.9243455186,969374.8251690872,978070.9223686896,987521.424384474,997751.8642110097,1008782.2348908859,1020626.2234231292,1033290.5784347653,1046774.6422517071,1061070.0704884818,1076160.7527803415,1092022.9377718375,1108625.554961255,1125930.7164120842,1143894.373430568,1162467.0975703513,1181594.951982695,1201220.4181455334,1221283.3441280574,1241721.8833862713,1262473.3971712862,1283475.2984861406,1304665.8207055922,1325984.699102376,1347373.7583140105,1368777.4030359841,1390143.0128219612,1411421.2447614502,1432566.2499971727,1453535.8115849586,1474291.412160892,1494798.2403499812,1515025.1449186772,1534944.5454285555,1554532.307671884,1573767.591533389,1592632.6781871032,1611112.7827523968,1629195.8577382131,1646872.3918286816,1664135.207827809,1680979.2629000773,1697401.4536259861,1713400.4278409116,1728976.404742721,1744131.0043365092,1758867.0869299918,1773188.6030957839,1787100.4542716169,1800608.3639709144,1813718.7594183784,1826438.6633029592,1838775.5952486638,1850737.4825374319,1862332.5795735307,1873569.3955518382,1884456.6297796546,1895003.114100471,1905217.7618759202,1915109.5229968696,1924687.3444145143,1933960.1357059218,1942936.7392145684,1951625.9043339926,1960036.265531015,1968176.3237333754,1976054.4307346703,1983678.776296736,1991057.377655875,1998198.0711643458,2005108.5058222243,2011796.1384770009,2018268.230489097,2024531.8456808245
H,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3368935.347993497,3128297.108851104,2887658.8697087113,2647020.6305663185,2406382.3914239258,2165744.152281533,1925105.9131391405,1684467.673996748,1443829.4348543554,1203191.1957119629,962552.9565695702,721914.7174271776,481276.47828478494,240638.23914239233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
