series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,1707.055252787233,1706.6586605703649,1706.3483128831956,1706.0945782278964,1705.878700892255,1705.6887428041398,1705.5170528853841,1705.3586835578203,1705.2103974844003,1705.0700433358231,1704.9361627925484,1704.807742672053,1704.6840582508771,1704.5645739548934,1704.4488801783234,1704.3366528843808,1704.2276275941076,1704.1215824814576,1704.018327248176,1703.9176956816048,1703.8195405720303,1703.723730153015,1703.630145534714,1703.5386787933774,1703.449231502092,1703.3617135647823,1703.2760422641734,1703.1921414652988,1703.1099409357778,1703.0293757566426,1702.9503858055784,1702.8729152996762,1702.79691238824,1702.7223287884885,1702.6491194585499,1702.5772423032329,1702.5066579088432,1702.437329303884,1702.3692217429239,1702.3023025112593,1702.2365407482866,1702.171907287724,1702.108374513032,1702.0459162265506,1701.984507531018,2644.340329569096,3586.663622620591,4528.9554606702395,5471.21479216136,6413.437834815305,7355.61783322796,8297.74479563421,9239.804980783467,10181.779996453693,11123.645396197224,12065.368633539518,13006.90616475064,13948.199385771022,14889.168939032681,14887.290509867578,14884.979352271517,14882.103468917025,14878.516376250896,14874.042389047745,14868.466330349513,14861.523723364022,14852.89009323935,14842.168928640738,14828.878277170486,14812.436275407572,14792.146295405053,14767.182888024541,14736.580335957007,14699.226362041321,14653.86426556575,14599.10727792127,14533.46893546975,14455.412402946831,14363.4196548095,14256.078208633833,14132.179138227864,13990.816324574995,13831.474574656942,13654.094396270495,13459.104164249959,13247.415468193494,13020.383181109291,12779.736703925098,12527.491879707368,12265.85394700595,11997.120972538582,11723.595154637258,11447.506920238335,11170.954377912158,10895.858742186354,10623.934924056355,10356.675575537949,10095.346401687866,9840.990407423724,9594.438826932324,9356.326703863955,9127.111383611727,8907.092496321828,8696.432318542973,8495.1756830121,8303.268849858014,8120.576954974964,7946.8998133002315,7781.985979649151,7625.545062381216,7477.25835072777,7336.787860250689,7203.783927344533,7077.891497070431,6958.755252393194,6846.023729916889,6739.352559721776,6638.406956625486,6542.863578417561,6452.411854287676,6366.754874440403,6285.609920200188,6208.70870303018,6135.797370966402,6066.636332065171,6000.9999365769545,5938.676052654041,5879.465564407841,5823.181815976107,5769.650020856756,5718.706652028948,5670.198825232344,5623.983685136039,5579.927801930079,5537.906584052047,5497.803711263455,5459.510591066656,5422.925840460041,5387.954794230573,5354.50904034645,5322.5059825116905,5291.868429555556,5262.524211033357,5234.405818194654,5207.450069316254,5181.5977982889135,5156.793565278547,5132.985388246744,5110.124494104799,5088.165088284601,5067.0641415339605
E,0.0,0.396592216868122,0.6256075588722899,0.7510438569372797,0.8128986081495648,0.8361490621504317,0.8363631898042672,0.8232128133918587,0.8026760359453917,0.7784189752387416,0.7526628991235045,0.7267284052295775,0.70137680658103,0.677024138304265,0.6538751475187221,0.6320070232183947,0.6114215668030754,0.5920775573334824,0.5739106995871408,0.5568457982819138,0.5408040760899707,0.5257074679060215,0.5114810414687476,0.498054265381739,0.4853615758503999,0.47334252393567355,0.46194167864608504,0.45110839435954003,0.4407965091724637,0.43096401455939726,0.4215727203669032,0.4125879289971642,0.40397812635361474,0.3957146932731527,0.38777163884497834,0.3801253556416444,0.37275439610333844,0.36563926889577564,0.35876225386372373,0.35210723413756784,0.34565954396426096,0.339405830892264,0.3333339310215769,0.32743275612186423,0.3216921915162851,0.3161030037214696,0.34418902205619617,0.39797021730791304,0.4732286302451849,0.5693420343120268,0.6887889334115858,0.8367759057810178,1.0211912603921751,1.2529565589116127,1.5468078164313108,1.9225590421704284,2.4069580830365562,3.036327720185937,3.8602952392732255,4.947062713893695,6.243686501457753,7.8391270130489765,9.818587060834679,12.27899790545034,15.336904069541886,19.134249190344313,23.84386544527051,29.67517741445185,36.88010236347554,45.758805888122524,56.66466074510969,70.00739189859509,86.25296690044745,105.91835345338129,129.55892409968666,157.7462245795902,191.03428419572856,229.91388464653596,274.75634937189125,325.7513084180812,382.84594664568453,445.6954729639431,513.6348793567597,585.6798355178113,660.5600086099876,736.7823683707547,812.7167888122581,886.6929190311931,957.0965182355383,1022.4549954495338,1081.5049275658462,1133.2378601676453,1176.923922065197,1212.1152409706135,1238.6326873991393,1256.5401709176313,1266.110753625387,1267.7884455470787,1262.1489001513553,1249.861487766185,1231.6544961169361,1208.2845553840484,1180.5108427783127,1149.0741985514865,1114.6809767177892,1077.9912462194368,1039.6108346038345,1000.0866484636342,959.9046959942428,919.4902622502299,879.2097347989057,839.3736368415055,800.2404892644121,762.0211873368589,724.8836384409078,688.9574622065074,654.3386026508173,621.093743044895,589.2644484149309,558.8709883138616,529.9158144400119,502.3866845824065,476.25943699970935,451.5004284196981,428.06865504538916,405.917579862998,384.99669167539935,365.2528220624586,346.63124625183616,329.0765929587885,312.5335868505714,296.9476455895381,282.26535154614123,268.4348163513935,255.40595455255954,243.13068079827087,231.56304324479694,220.65930426533433,210.3779780702542,200.6798335121381,191.52786915364408,182.88726661356128,174.72532726918413,167.01139657224007,159.71677952116565,152.81465021444842,146.27995787809036,140.08933130546035,134.2209832609175,128.654616071297,123.3713293540616
I,3.0754342490878503,2.3491582111867535,1.8673956013275341,1.5415578425240262,1.3157569386681462,1.154665377595141,1.0358959245599337,0.9452137648788287,0.8735259775520785,0.8149873562949458,0.765807883277343,0.7235014356790702,0.6864120799578953,0.6534150722223876,0.6237278606213591,0.5967903836964293,0.5721890488555944,0.5496082666259132,0.5287993877351208,0.5095606476497001,0.49172408819089286,0.4751469146848387,0.4597056845990481,0.44529231411759,0.43181126118316704,0.4191774780938802,0.4073148747073063,0.39615512672726894,0.38563672260792503,0.37570418001058237,0.36630738649183137,0.35740103422646224,0.3489441282500181,0.34089955394440563,0.33323369354703014,0.3259160841350097,0.3189191113233302,0.31221773413661097,0.305789237369239,0.29961300836526744,0.2936703356086031,0.28794422686727233,0.28241924491612097,0.2770813590916132,0.271917811124468,0.2669169938600008,0.26206834161849407,0.2635344915951727,0.2745538713052002,0.29682374392028593,0.33152602435346723,0.38001973008206313,0.44430131240133597,0.5273477481867013,0.6334433135714199,0.7685729837903066,0.9409555091353154,1.1617922067251658,1.4463250669096983,1.8153314830154552,2.2972360920893378,2.9040056408573913,3.661155761647052,4.603859690532141,5.776826433054362,7.235659053692535,9.048957197693484,11.300933528722307,14.094462190325228,17.55449342199012,21.831721237524093,27.106297735081498,33.59124916460035,41.53506509969103,51.22271119460237,62.97408436448886,77.13874061832378,94.08566670747273,114.18704953640398,137.7955318359379,165.21538342212736,196.66929793732868,232.26391357972884,271.95827795354427,315.5399247452104,362.61273313244976,412.5993067685466,464.75854760491023,518.2169105275206,572.0100094073838,625.1301429500785,676.5750251272835,725.3934382481511,770.7244515873658,811.8280070989555,848.1058421512656,879.1127400032863,904.5588859684034,924.3046348654793,938.3492794088639,946.815489867972,949.9310228506339,948.009121721868,941.4287973960306,930.6159217971033,916.0258135872132,898.1277645414875,877.3917555663107,854.2774484194239,829.2254130926822,802.6504591426122,774.9368779005733,746.4353665584124,717.4613895285942,688.2947323913336,659.1800148425925,630.3279476579285,601.9171417725786,574.0963027814956,546.9866697067636,520.6845814952707,495.2640775505673,470.7794591611977,447.26775671552184,424.75106303479157,403.2387060924436,382.7292449883786,363.21228153616636,344.6700864486867,327.07904413007554,310.4109237478777,294.6339868013527,279.71394303042257,265.6147674107978,252.2993913153689,239.73028082669546,227.86991477442538,216.6811744382736,206.12765607719356,196.1739165782739,186.78566161099099,177.929884758846,169.57496520695273,161.69073070916352,154.2484917541435,147.22105210403154,140.5827001959018,134.3091852763451,128.3776815822749,122.7667433842204,117.45625326861575
A,0.35101416135717123,0.33695397111797637,0.33178886853012984,0.331641977513715,0.33413622614664307,0.33783005440796854,0.3418643852602476,0.3457416158827493,0.3491872679721153,0.35206344998209144,0.3543148141712202,0.35593489579157717,0.35694523310959825,0.357382495867477,0.35729062533225636,0.3567161041381855,0.3557051746572845,0.3543022648265684,0.35254915698270123,0.3504846090728094,0.34814424680286643,0.3455606138482625,0.3427633102702142,0.3397791762419323,0.3366324950549652,0.3333451999003554,0.32993707546060147,0.3264259493907592,0.32282787124342394,0.31915727788941306,0.3154271453723447,0.31164912764249486,0.30783368288856017,0.30399018831625046,0.3001270442668823,0.29625176856277813,0.29237108193129363,0.2884909853092284,0.284616829772479,0.2807533797770072,0.27690487033940825,0.2730750587301826,0.2692672712010698,0.26548444521983905,0.26172916764182413,0.2580037092071327,0.2543100557156732,0.2513544060963926,0.249647021658034,0.24958911081486385,0.2515527390324694,0.25594713854637496,0.2632745329574098,0.27418275210273024,0.28952312441619865,0.31042246238357,0.33837870992517416,0.37539174742981934,0.424144443327057,0.48825480696384405,0.5726287631672171,0.6808634474505452,0.818280852983317,0.9917797975195703,1.210019161925523,1.4837594387451327,1.826312153072892,2.2540866072598615,2.787234556104053,3.450393016367387,4.273518241100946,5.292790467049097,6.5515484949713985,8.101184531533015,10.001893050615482,12.32312504696828,15.14355703603188,18.55035351945309,22.63749824003516,27.50301136600414,33.244970663087045,39.9564157248865,47.71941574104333,56.59878157966469,66.63604853312378,77.84440009585352,90.20512503391781,103.66601475183751,118.1418599858544,133.51695147709407,149.64927755752825,166.37597206553758,183.51950625683,200.89412880389472,218.31211959439062,235.58951453433673,252.55106103626045,269.0342630984578,284.89246172512793,299.99696622072776,314.2383033244835,327.5266852176104,339.7918164437417,350.9821666345348,361.063833621071,370.01911280872224,377.8448759786193,384.55084787555455,390.15785351716335,394.6960941651923,398.2034960362129,400.72416351086474,402.30695802319025,403.00421501059003,402.8706042063169,401.96213301674726,400.33528856309044,398.04631098452813,395.1505886005438,391.7021643292128,387.7533421878848,383.3543826161477,378.5532756329909,373.3955813665091,367.9243281905759,362.1799595013651,356.20032101518325,350.02068132839383,343.67377932144274,337.1898927919569,330.59692345324936,323.9204941263579,317.1840545820778,310.4089930534824,303.6147509404873,296.81893866897553,290.03745105168645,283.2845808309145,276.573129368751,269.9145136938813,263.31886931945553,256.7951484187043,250.35121308790156,243.99392354379316,237.72922119817204,231.56220662900694,225.49721252819865,219.5378717531053,213.68718064460592,207.94755780054433,202.32089851154765
IH,0.0,0.12310822277544867,0.21549440238703546,0.28735794871677034,0.3452154480380177,0.3932589990048872,0.4342103855710026,0.4698587713383402,0.5013995335204948,0.5296480468260676,0.5551747797026871,0.57839084412588,0.5996023251608016,0.6190449203304085,0.6369061460273308,0.653339680890859,0.6684747253927139,0.6824221929054134,0.6952788777539022,0.7071303239844237,0.7180528528833632,0.7281150398073338,0.7373788252556677,0.7459003784292547,0.7537307893634575,0.7609166390254943,0.7675004798163855,0.7735212481173419,0.7790146236046468,0.7840133455980274,0.7885474938053517,0.7926447389136311,0.796330567194532,0.7996284824155383,0.8025601877323216,0.8051457497929436,0.8074037469524652,0.8093514032404829,0.811004709520356,0.8123785331120911,0.8134867170109757,0.8143421697144222,0.8149569465656058,0.815342323431223,0.8155088634498352,0.8154664775151834,0.8152244790943088,0.814791633922332,0.8144232778220103,0.8145009580998228,0.8154690503165152,0.8178132872869762,0.8220672942623389,0.8288374633951544,0.8388412287136231,0.8529579088439183,0.8722946160982492,0.8982726212227746,0.9327425347218936,0.9781403003640777,1.0377009318525603,1.1157539216214374,1.2170497739404997,1.3472967193894745,1.5135344715824663,1.724498098897098,1.9910313923338734,2.326578857579528,2.74777584959091,3.275152828387486,3.9339668639251286,4.7551688149892914,5.776506230833689,7.04374821847992,8.611997541191403,10.547025676130934,12.926528144945653,15.841151981549551,19.395099996486447,23.706077241613098,28.904327747139824,35.130530164294825,42.53239249337284,51.259912250170146,61.459437804606964,73.26685165272316,86.80035904479419,102.15346846940011,119.38876966514889,138.53304611056234,159.57411847359867,182.45963279425484,207.09781556132955,233.36004614330744,261.08496465453595,290.0837491115579,320.1461594074851,351.0469506536195,382.5522949038585,414.42590737687317,446.4346409958761,478.35338309298186,509.9691543128412,541.084368032174,571.5192567549789,601.1135091759792,629.7271882234952,657.2410173991976,683.5561315294512,708.5933901999841,732.292349226108,754.6099789605897,775.5192093229724,795.0073711968353,813.0745931170136,829.7322015845668,845.0011633492504,858.9105988797756,871.496388168961,882.7998830647491,892.8667344776443,901.745838038306,909.48839798054,916.1471061002692,921.7754304772412,926.427007129517,930.1551267922348,933.0123084710399,935.0499512265453,936.3180557200518,936.8650073246795,936.7374130230636,935.9799848259344,934.6354630173868,932.7445731325392,930.3460111785289,927.4764522031171,924.170577884101,920.4611193486824,916.378911929492,911.9529590201427,907.2105026068994,902.1770984246608,896.8766940163034,891.3317082666406,885.563111238347,879.5905033600059,873.4321932089082,867.105273296306,860.6256934033811,854.0083311349774
IN,0.603167815125648,1.0962777237125776,1.3569711241817792,1.4756112968421655,1.5086988676381679,1.4914639904708735,1.4457799086733962,1.3851380480743245,1.3177763065190584,1.2486460976264895,1.1806489802137772,1.1154137607629107,1.0537844537326018,0.9961263002002636,0.9425173072263735,0.8928677706554863,0.8469945125943854,0.8046666633599184,0.7656335844386033,0.7296416042447307,0.6964437667974278,0.6658052366002438,0.63750602223732,0.6113420632541524,0.5871253355108518,0.5646833848376734,0.5438585442369708,0.5245069925163132,0.5064977509654149,0.48971167618049016,0.47404048299243307,0.4593858163706812,0.4456583818088615,0.43277713794025086,0.42066855164720773,0.4092659138762316,0.3985087132161843,0.3883420637042094,0.3787161830785193,0.3695859176643292,0.36091031017326347,0.3526522068634959,0.34477790071364145,0.3372568074866578,0.3300611717874942,0.32316580044186666,0.31654782073856386,0.31018646128141764,0.30527338451710173,0.30341794922124055,0.3062687349291848,0.3154053130742974,0.3323855727942085,0.3588746935725411,0.3968178733762172,0.44864562800203367,0.5175187854980834,0.60763332653855,0.7246164580144707,0.8760579369959671,1.0722375989147035,1.327134319821614,1.6545232709777218,2.0706703557299386,2.5957718265127108,3.2551073253270397,4.080248926744353,5.110461927005811,6.394363183433927,7.99187474028591,9.976490673036709,12.437849630933062,15.484566443738117,19.24721702947555,23.881286456454845,29.56977770919476,36.52504146511566,44.98923799751487,55.23270876705325,67.54946192799687,82.24902085991997,99.64410604845061,120.03405263933303,143.68449150542767,170.8045530242948,201.52353845373324,235.86946693266924,273.752003512179,314.95194890463534,359.1187767993272,405.77678049870497,454.33941898011676,504.13060251071386,554.4110480341707,604.4075173142335,653.3427187031547,700.463856299419,745.0681763345776,786.524314302157,824.2887207204341,857.9168869509359,887.0694709183539,911.5137177373288,931.1207771656084,945.8596431135122,955.7884909552702,961.0441801264325,961.8306373893095,958.4067544495865,951.0743348594897,940.1665196824429,926.0370171968744,909.0503646991702,889.5733639391653,867.967757924228,844.5841564792378,819.7571707898755,793.8016822499885,767.0101469240496,739.6508222499439,711.9667956109406,684.1756935136314,656.4699538589948,629.0175508918132,601.9630717522439,575.4290542164564,549.5175064678002,524.3115410200148,499.877065800751,476.2644856037838,453.5103764422438,431.63910367682394,410.66436211104417,390.59062254786437,371.41447463091765,353.1258602158738,335.70919511408704,319.1443799104521,303.40770277116445,288.4726388139373,274.3105517977024,260.89130467911036,248.1837860500513,236.1563596768984,224.77724436330178,214.01483120155848,203.83794500313147,194.21605634047924,185.11945021776776,176.51935693981255,168.38805028471705
D,56.0,56.0,56.00041846416694,56.0011509634553,56.00212773821423,56.003301179692144,56.00463792873863,56.00611387797401,56.00771100166643,56.00941533735878,56.01121569418052,56.01310282037287,56.015068861611184,56.017107004001964,56.019211234824596,56.02137617875609,56.02359698285129,56.02586923333768,56.02818889345474,56.030552255461025,56.032955902392736,56.0353966767141,56.03787165398775,56.040378120321776,56.04291355275221,56.04547560197813,56.048062077034636,56.0506709315991,56.05330025169978,56.05594824464575,56.05861322903215,56.06129362569979,56.06398794954648,56.066694802101864,56.06941286478858,56.072140892801706,56.07487770954599,56.077622201576936,56.08037331399723,56.083130046265,56.08589144837473,56.08865661737543,56.091424694194096,56.094194860735755,56.096966337233845,56.09973837982759,56.1025102783449,56.105281354271604,56.10805095888964,56.1108193114075,56.1135879279728,56.116359835235464,56.119139710927435,56.12193404665664,56.124751395253085,56.127602748217605,56.13050208599302,56.133467152270654,56.136520521864085,56.1396910601024,56.14301591246979,56.146543220769665,56.15033584342957,56.15447278658652,56.15905245954895,56.16419720071656,56.170059040357096,56.17682686848553,56.184735275101296,56.19407539638572,56.20520815477528,56.21858032545049,56.23474389041759,56.25437914152595,56.278321947001636,56.307595478009574,56.34344647328622,56.387385770837824,56.441232332162926,56.50715932046426,56.5877399968857,56.68599034246726,56.80540452705928,56.94997880318296,57.12421928845277,57.33312956155706,57.58217508711041,57.87722312792146,58.22445879682458,58.63027995899703,59.101175520862334,59.64359298938327,60.26380191219737,60.9677598843768,61.760987299284466,62.64845606271194,63.63449624489967,64.72272327697468,65.9159869473426,67.2163422265288,68.62504091600988,70.14254231376381,71.76854052448651,73.50200570262504,75.34123637468934,77.28392000926192,79.32719915164314,81.46774067906829,83.70180602923836,86.02532058161557,88.4339407049756,90.92311730882565,93.48815503814994,96.12426652248143,98.82662132703842,101.59038945394926,104.41077940589669,107.28307095483595,110.2026428577649,113.16499583340713,116.1657711619062,119.20076529801388,122.26594090040304,125.35743467897208,128.47156245130196,131.60482178136675,134.75389255038223,137.9156357831352,141.08709102475368,144.26547253383808,147.4481645290826,150.63271569865702,153.81683315517859,156.99837599440505,160.17534859302646,163.34589376021725,166.50828583895216,169.66092383644818,172.80232464838727,175.93111642868882,179.04603214540643,182.14590335367964,185.22965420843408,188.29629573254837,191.3449203503572,194.37469669150258,197.3848646661601,200.37473080943778,203.34366389017075,206.29109077732198,209.21649255566348
R,0.0,0.12411809677791309,0.338880110142328,0.601926898918046,0.8873342936940221,1.1794575453425087,1.469064404812102,1.7509065634433618,2.022195405227829,2.281646413653535,2.528881169586237,2.764054178788731,2.987621001773453,3.2001951269834645,3.40246051292962,3.595118987067502,3.778859407541855,3.9543403529573236,4.12218116467571,4.282958092504743,4.437203507616629,4.585406910228447,4.728016940271428,4.865443901680342,4.998062500997101,5.126214620250733,5.250212018728899,5.370338904794982,5.486854347732686,5.599994517277961,5.709974749164689,5.816991441277653,5.921223788522073,6.022835366324073,6.1219755734272105,6.21878094476093,6.313376344888331,6.405876052056854,6.49638474227889,6.584998382223708,6.671805039046396,6.7568856146372855,6.84031451116016,6.922160234166803,7.002485939032603,7.081349925953998,7.158806088283153,7.234904318546868,7.309719094283698,7.383565323818379,7.457071455741974,7.5311860963210675,7.607167320153669,7.686582917654833,7.771336532006876,7.863728014885062,7.96655463430172,8.08326147605288,8.2181535714759,8.37668869935802,8.565878796803641,8.794840387677741,9.075428053563263,9.422270565320085,9.853298096595394,10.390543196529697,11.061169473451926,11.898743024031354,12.944786279757272,14.250666169164184,15.879875547750792,17.91076997163614,20.439819786259545,23.585427352866656,27.492337012972683,32.33662609262169,38.33120346509258,45.73165329807828,54.8421438147397,66.02097812434319,79.68520930556589,96.31359911190825,116.44710387403501,140.68606298797835,169.68338061264015,204.13324740770878,244.75533407968695,292.27485644573426,347.39939104538416,410.7937306594264,483.05434176307347,564.6850801067948,656.0757300755205,757.4846835323868,869.0267113213795,990.6663613312592,1122.2170947135853,1263.3458903012947,1413.5827365492278,1572.3342062163347,1738.9001748321023,1912.492693479151,2092.2560470278636,2277.287104842838,2466.6551854770278,2659.420794254373,2854.652739267794,3051.443276194964,3248.9210672800127,3446.26185933786,3642.6968865492418,3837.5190848983475,4030.0872666174296,4219.828446263315,4406.23853706824,4588.881649367781,4767.388224729638,4941.452232356185,5110.827640702965,5275.324359082659,5434.8038230542115,5589.174375069012,5738.386569304256,5882.428507729086,6021.321293851557,6155.11467170717,6283.882900724851,6407.7209022592215,6526.740700818149,6641.068172273021,6750.840102491619,6856.201552720135,6957.303522481435,7054.300896562863,7147.350659651327,7236.610360156256,7322.236803574551,7404.384955242707,7483.207032353266,7558.8517655654105,7631.46381130924,7701.183296881915,7768.145481587731,7832.4805184226725,7894.313302098239,7953.763390500464,8010.944987958237,8065.966979927793,8118.933009871431,8169.941590207095,8219.08624022473
G,16828.0,16828.0,16828.07300045117,16828.188155595704,16828.326399711637,16828.476029388235,16828.629938759594,16828.78388754528,16828.935415750402,16829.083163765306,16829.22644680006,16829.364988931953,16829.498757319743,16829.627859256554,16829.7524786148,16829.872836954546,16829.98917004399,16830.101713982916,16830.210697283586,16830.316336623495,16830.418834838987,16830.51838026593,16830.615146870794,16830.70929482732,16830.800971326593,16830.890311491406,16830.977439317765,16831.062468598528,16831.14550380425,16831.226640908502,16831.305968152366,16831.383566747296,16831.45951151798,16831.53387148833,16831.606710414348,16831.67808726791,16831.748056675486,16831.81666931571,16831.883972279462,16831.950009395878,16832.014821527482,16832.07844683728,16832.1409210305,16832.202277573368,16832.26254789111,16832.321761547155,16832.379946405323,16832.443301037183,16832.516555135928,16832.603661997953,16832.708460386846,16832.835245282673,16832.989270036698,16833.17723999569,16833.40787083061,16833.692590660383,16834.04647475471,16834.489521840707,16835.04841655435,16835.758978391263,16836.669580754922,16837.81885174965,16839.261794360234,16841.069094793336,16843.329281324764,16846.15233449887,16849.67436232574,16854.06328591312,16859.52557500433,16866.314069577056,16874.736860879653,16885.16708523593,16898.053296756458,16913.929819872217,16933.42613689661,16957.27395717734,16986.310194085603,17021.473740777703,17063.79382825293,17114.368036755684,17174.328851599977,17244.799036454147,17326.83788953231,17421.382301489528,17529.187977991824,17650.776795430964,17786.395809165573,17935.992018407123,18099.204962047977,18275.37704681021,18463.579620627923,18662.65147403008,18871.24577204851,19087.881332837107,19310.99453501189,19538.988784950277,19770.27925281882,20003.33137113315,20236.692301022704,20469.015163747088,20699.076291092664,20925.786070256545,21148.194160822422,21365.48996359066,21576.9992453071,21782.177790805523,21980.6028833469,22171.96332044389,22356.04856832205,22532.73755239455,22701.987479996238,22863.822999164488,23018.3259157245,23165.6256212597,23305.890326697787,23439.3191495605,23566.135066363935,23686.57871397214,23800.90300359208,23909.368497275944,24012.239488078307,24109.780720336137,24202.254684971213,24289.919425470536,24373.026792627592,24451.82108969571,24526.53805389274,24597.404124875902,24664.635955628626,24728.440125983874,24789.013023621075,24846.540861727924,24901.199806559518,24953.156191825346,25002.56680017922,25049.579195080794,25094.332088952833,25136.95573589445,25177.572339250477,25216.29646610555,25253.23546229451,25288.48986282359,25322.153793704016,25354.315362134465,25385.057032752415,25414.455988326536,25442.584473800627,25469.510123040083,25495.29626798869,25520.002230229056,25543.683595165323
H,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,13193.826867855467,12251.410663008648,11308.99445816183,10366.57825331501,9424.162048468192,8481.745843621373,7539.329638774554,6596.913433927735,5654.497229080916,4712.081024234098,3769.664819387279,2827.24861454046,1884.832409693641,942.416204846822,2.9558577807620168e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
