series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,870733.0050222236,868707.2205654586,866946.9149749475,865350.1592018807,863860.7497099292,862447.13666188,861091.3237785285,859782.8601752209,858515.5325281655,857285.5230000921,856090.3749097378,854928.4082403613,853798.3876679468,852699.333266252,851630.4122805635,850590.8771962979,849580.0303628765,848597.2039076111,847641.7484775211,846713.0270838933,845810.411892057,844933.2827014904,844081.0263838301,843253.0368503407,842448.7152981685,841667.4705891632,840908.719676696,840171.8880323991,839456.4100464061,838761.7293874996,838087.2993171539,837432.5829558788,836797.053502806,836180.1944108455,835581.4995204513,835000.4731553288,834436.6301834763,833889.496046868,833358.6067629285,832843.5089007474,832343.7595347732,831858.9261785048,831388.586700492,830932.3292247525,830489.7520175303,830060.4633621391,829644.0814234787,1204629.6567884851,1579382.174819911,1953906.0042623105,2328201.1960199256,2702257.172694541,3076050.2497263993,3449542.4635120896,3822680.3741635187,4195393.150152341,4567589.570864941,4939153.719232992,5309939.160924719,5679761.37556233,6048388.157960529,6415527.672614184,6780813.8500484405,7143788.891706464,7503882.842592357,7860390.548606523,8212446.889668783,8370847.2937458,8336192.721096898,8295694.8620766,8248592.0399534535,8194326.462046695,8132508.974677701,8062923.518148098,7985536.458976308,7900498.259160427,7808134.0560230315,7708923.986563647,7603476.073028073,7492495.107214504,7376750.738904536,7257047.288280764,7134196.972167667,7008997.459963935,6882214.056631646,6754566.372926872,6626719.07073518,6499276.12960604,6372778.032333293,6247701.280388922,6124459.69908638,6003407.059550699,5884840.617874115,5769005.243726247,5656097.876877934,5546272.108481092,5439642.733823819,5336290.164807489,5236264.624209541,5139590.0707752975,5046267.8252761215,4956279.883815156,4869591.916722825,4786155.960134565,4705912.813452113,4628794.159923924,4554724.430012182,4483622.428430271,4415402.74604849,4349976.977527055,4287254.764740749,4227144.6849620035,4169555.0014859973,4114394.293000818,4061571.9765932653,4010998.7378835673,3962586.8804330584,3916250.605289642,3871906.230340255,3829472.3580348534,3788869.9990353216,3750022.65842461,3712856.3902832856,3677299.82569815,3643284.1786050666,3610743.2332797768,3579613.316769971,3549833.2591031487,3521344.3437017766,3494090.250084333,3468016.9906225973,3443072.84285712,3419208.2786396523,3396375.8911692635,3374530.320814278,3353628.180461598,3333627.9810055145,3314490.0574770286,3296176.4962196983,3278651.063436948,3261879.135366835,3245827.6302818055,3230464.9424615875,3215760.878245816,3201686.594238172,3188214.5377047993,3175318.389185735,3162973.0073182858,3151154.3758551534,3139839.5528470557,3129006.621949172
E,0.0,2025.7844567649079,3178.35471024659,3821.604070239374,4164.532341119019,4328.78568683253,4385.9628641342115,4378.637608201546,4332.373972796491,4262.671309030852,4179.018006675859,4087.27927404975,3991.1160642493574,3892.8356466693454,3793.9059383569884,3695.2692411155185,3597.5353022021945,3501.1011668068973,3406.226246854846,3313.079766426243,3221.771028334606,3132.368910400806,3044.914554940919,2959.4297219481123,2875.9223575358965,2794.3903592803363,2714.82416396353,2637.208559071348,2561.5239773429576,2487.747443046491,2415.8532804782435,2345.813657609777,2277.599013399633,2211.178401340181,2146.5197713323196,2083.590205055143,2022.3561153911526,1962.7834173820302,1904.8376761069467,1848.48423545596,1793.6883307933679,1740.415187823668,1688.630109489455,1638.298552382094,1589.3861938896741,1541.8589911140148,1495.6832324402137,1450.825582525412,1652.4825611656577,2022.3310352399499,2509.862651876385,3090.3498665216134,3759.5905595302634,4528.922290804591,5421.757636957793,6471.877041871208,7723.315901534186,9231.595447846888,11066.097806590835,13313.476511826673,16082.073844903409,19507.359722601603,23758.397056388727,29045.258966272948,35627.15307532194,43820.72382338286,54007.588298932285,66639.6227706579,81302.30858836231,97409.47503215226,115289.45464565298,134968.19615871552,156295.22468009536,178992.1138056688,202681.53883575884,226915.27700091212,251204.8970380341,275053.4973860082,297985.3617057805,319570.7190076155,339443.8716152988,357314.16075448156,372970.2286412333,386278.6722525945,397178.47390910564,405672.61544114794,411818.1330004962,415715.6342294874,417499.0412333881,417326.08080774266,415369.83786796196,411811.52604325465,406834.5099068625,400619.5310826712,393341.03860618285,385164.4954211697,376244.521452092,366723.7340327947,356732.1544209047,346387.0615288767,335793.18856939,325043.1734595379,314218.1885140082,303388.68854806526,292615.2286660973,281949.3135944574,271434.24942786194,261105.97618141474,250993.8657087718,241121.4745175745,231507.244948608,222165.1512427712,213105.28934594576,204334.41102734092,195856.40412669154,187672.7215983821,179782.76256937627,172184.20894198003,164873.32120877274,157845.19715154258,151093.9970056113,144613.13851463984,138395.4651015721,132433.39015623613,126719.02020244839,121244.25946700381,116000.89813670827,110980.68636251823,106175.39585513488,101576.8707160378,97177.06896296251,92968.09603955096,88942.23144515335,85091.94948199598,81409.93499238283,77889.0948473479,74522.56584922715,71303.7196229448,68226.16499339152,65283.74827812426,62470.55186479991,59780.89139038961,57209.311793490924,54750.58247121515,52399.691737495086,50151.84074961925,48002.437043797814,45947.087798107765,43981.592921807554,42101.938053362945,40304.28753523755
I,3262.040358997986,1958.2741881180048,1243.1343918341477,852.2469650734299,639.0345947561807,522.4717568361184,457.97273402472376,421.15884401601073,398.8144368165305,383.85817296447374,372.5557170974355,362.98160846816563,354.17549663475654,345.68291822024537,337.30797316937304,328.9819986779352,320.69519125976655,312.46199461219624,304.30431707043533,296.24395946861927,288.29965124717575,280.4862802495204,272.81508035701256,265.2941671972453,257.9291382361372,250.7236186779759,243.67971471748666,236.7983719122086,230.0796507165205,223.5229350509635,217.1270890597542,210.89057483707836,204.81154122592878,198.8878913725428,193.11733473464432,187.49742770081826,182.0256058224234,176.69920981194144,171.51550685001243,166.47170830676973,161.56498467364415,156.7924782834434,152.15131424268046,147.63860989166125,143.25148303111038,138.98705909950414,134.8424774460707,130.81489681593553,126.90150014289779,131.27543658028964,146.23193683076866,171.46493201497032,205.96626713053507,248.99062620610522,300.4685734670196,361.1389992887231,432.57171411882365,517.177247516705,618.253768338772,740.094436271778,888.165553694409,1069.3607880093766,1292.3351191425872,1567.9208703022045,1909.6247499012902,2334.197100289868,2862.2504289659764,3518.8819706679005,4334.22367772867,5312.544388233949,6436.863875169674,7707.935128176114,9127.075312824965,10690.058326711127,12385.064425048622,14192.417968944555,16085.363516145664,18031.55491429894,19995.007386142843,21938.2581225797,23824.48883542658,25619.40435772844,27292.72600081603,28819.230147045993,30179.32685651736,31359.221533227734,32350.73239350837,33150.84931622319,33761.11951381167,34186.93676836367,34436.79768911885,34521.57361931796,34453.83251790353,34247.23257171086,33915.99900622249,33474.48765802824,32936.833176552325,32316.67592197696,31626.95935603942,30879.78862451351,30086.340784579526,29256.817468498768,28400.431483036038,27525.419758740492,26639.076065400026,25747.797916875465,24857.143045815137,23971.89170384583,23096.111818985202,22233.22471361544,21386.06965525123,20556.965985057654,19747.771954800635,18959.939712021667,18194.566116321268,17452.439256904327,16734.080682390846,16039.783456748417,15369.64622742108,14723.603539628097,14101.45265971083,13502.877184742563,12927.467719011673,12374.739893378073,11844.149993228835,11335.108446667211,10846.991408092736,10379.150654563018,9930.921994090713,9501.632366922317,9090.605803295413,8697.168384468125,8320.65233814378,7960.39938488025,7615.763438722273,7286.112753127669,6970.831592244908,6669.3214976889785,6381.002212089894,6105.312312780747,5841.709601973109,5589.671293559564,5348.6940312104925,5118.293767622245,4898.005530558033,4687.383097637401,4485.998598616173,4293.442061102478,4109.320913227058,3933.2594546834493,3764.898305736352
A,26090.494276335383,24291.095148557208,23155.99206418731,22406.51876938218,21880.263764124986,21481.748579757856,21154.517841623936,20865.102295414992,20593.69369567,20328.666836139804,20063.331331012974,19793.98838888954,19518.75833191486,19236.86734905732,18948.210253752117,18653.080548730493,18352.00276878444,18045.62786802574,17734.667781903743,17419.854520175166,17101.914732931946,16781.55410163672,16459.44800554868,16136.236215643192,15812.520181939031,15488.861992793481,15165.784410038725,14843.771591742763,14523.2702481773,14204.691063265924,13888.410270332324,13574.771308101323,13264.086507458449,12956.63877582468,12652.683256974104,12352.448951542634,12056.140288537794,11763.938641643956,11476.003786538704,11192.475297134804,10913.473879865413,10639.10264598963,10369.44832251379,10104.582402770588,9844.56223802118,9589.432071677784,9339.224017909206,9093.958986505835,8853.6475559556,8683.68369081238,8624.065639545335,8698.564507097904,8922.71811382553,9309.872136268616,9875.475105767908,10640.153304118016,11632.118362454006,12889.37870382631,14462.126695392071,16415.594497488033,18833.62239953972,21823.158984188885,25519.90126001145,30095.26986074826,35764.88105628981,42798.60089404407,51532.11982553915,62379.738563930645,75847.68183819213,92296.72570280587,111906.45603666815,134931.6262808825,161616.33962920128,192147.73841897136,226625.81302895473,265043.0403177327,307272.8928919615,353067.32454680675,402062.89243830554,453794.3649665077,507713.9936921031,563214.2901187468,619652.1556993722,676372.4841822882,732729.7771741827,788106.783788202,841929.6185931797,893679.1849295616,942899.0150343223,989199.8343117005,1032261.274940645,1071831.2189359767,1107723.2587232888,1139812.7388195654,1168031.7975030039,1192363.7719009186,1212837.2706956503,1229520.1604534062,1242513.6574903105,1251946.6689494543,1257970.4851562716,1260753.8904669688,1260478.7314148736,1257335.9584251675,1251522.1400122836,1243236.4354563248,1232678.002749901,1220043.812439421,1205526.8342488972,1189314.5615408747,1171587.8382875675,1152519.9539194645,1132275.9728803153,1111012.2676985038,1088876.2266893985,1066006.1098795133,1042531.0292761631,1018571.0321107995,994237.2680997602,969632.2240514689,944850.0112780053,919976.6932269157,895090.6425303625,870262.9182739182,845557.6557217697,821032.4620072505,796738.8124179142,772722.4428843951,749023.7351341979,725678.091707432,702716.2986632127,680164.8743442529,658046.4030236776,636379.852642119,615180.8761636826,594462.0963445941,574233.3739255981,554502.0594350657,535273.2289301546,516549.90411341476,498333.2573465293,480622.8021454047,463416.5697850785,446711.27267191774,430502.4551569613,414784.6324702788,399551.41845380736,384795.64276095276,370509.45817671105,356684.4386933735,343311.6689550374
IH,0.0,652.4080717995972,714.0465515793985,601.4776500823293,467.6735061089092,358.9108395239452,281.852489184657,230.8737970145611,198.31956499139943,177.7637969660694,164.61477703762148,155.8566117016639,149.6138853164161,144.76777889312598,140.67452803855866,136.9768323579794,133.48439696455108,130.1012256986112,126.78277016973013,123.51139816657337,120.28275678346223,117.09844089168294,113.96221617599156,110.87819025040125,107.85001604474975,104.88061817138201,101.97216688746619,99.12615587871556,96.3435123711985,93.62470665061439,90.96984789582444,88.37876288712002,85.85105844568679,83.3861700482417,80.98339936116119,78.64194318986443,76.36091590821525,74.13936698854016,71.97629486387137,69.87065803947176,67.82138412793464,65.82737730029817,63.887524512078116,62.00070076636844,60.16577360665423,58.38160698228986,56.64706459411686,54.96101280232287,53.322323160408246,51.72987462591756,51.81774305905877,54.8524638698525,61.39869003557,71.53381751601376,85.14702883644348,102.16967566228793,122.71561304530252,147.15506529318884,176.15308707990562,210.6979532918267,252.13665836249123,302.22808887327267,363.22014360804667,437.95463243223026,530.0023189114734,643.8290608890873,784.9917596849778,960.3588959155745,1178.3440211295015,1449.1311372967507,1778.6065031883106,2166.282806655897,2612.0698371435665,3116.1864496296666,3677.895572251545,4294.46902717229,4960.623539699089,5668.397256651146,6407.386545756022,7165.253428657714,7928.408450869542,8682.772636975973,9414.529735839693,10110.796618900258,10760.162280424272,11353.06990934617,11882.038025797447,12341.733250855348,12728.91803622972,13042.301968754615,13282.32613874567,13450.90783571402,13551.16876945449,13587.165145059633,13563.633000161417,13485.757723815183,13358.972877241333,13188.790420124991,12980.662195416784,12739.87095930096,12471.448249438028,12180.115844493885,11870.24736871832,11545.84663848095,11210.53955192658,10867.57662428623,10519.843621684504,10169.878110847942,9819.890097289772,9471.78525528634,9127.189550716546,8787.474318752533,8453.781081868066,8127.045581209722,7808.0206488910135,7497.297673742762,7195.326512263042,6902.433773705423,6618.839466961364,6344.672040351747,6079.98187649795,5824.753325569991,5578.915373516723,5342.351049138177,5114.9056765231435,4896.394078636282,4686.606834655588,4485.315688792636,4292.2782023688205,4107.241734328638,3929.9468284921077,3760.1300789391516,3597.5265381639074,3441.87172616486,3292.9032925317333,3150.3623779030577,3013.9947159245708,2883.55151204468,2758.7901311321584,2639.4746219766275,2525.3761032115085,2416.2730320554538,2311.951374473187,2212.204692880953,2116.8341653363746,2025.6485482294206,1938.464092803802,1855.1044243614606,1775.4003917138853,1699.1898933215543,1626.3176855876427
IN,651.358099080384,1245.2110979441773,1526.3022469391374,1639.7795123606081,1665.1867779938248,1645.7771190094252,1604.8059914953622,1554.572952985926,1501.423805967512,1448.5052380395907,1397.2721431476684,1348.3053049566688,1301.7497603001298,1257.545980471217,1215.5489458559416,1175.5873229303884,1137.4911938778368,1101.1036845213619,1066.2846543991968,1032.9107099548528,1000.873704572247,970.0787792105956,940.4424222289556,911.8907379656046,884.357975144985,857.7853050293924,832.1198164457455,807.313690040864,783.3235169966799,760.1097329107427,737.636143303271,715.8695223158251,694.7792703462019,674.3371196401922,654.5168793642907,635.2942135695511,616.6464468686847,598.5523937049511,580.9922078853317,563.9472496522061,547.3999680291565,531.3337965354206,515.7330606471052,500.5828956111289,485.86917340392523,471.57843778126914,457.69784649538104,444.21511986597,431.1184949869423,418.3966849329797,407.67139833367366,400.87947875634666,399.72566042172525,405.562868720064,419.4757628315822,442.43937807808516,475.49020910614274,519.8867005164271,577.2575252438975,649.7461411270359,740.1640210641445,852.1659282864488,990.4604801053856,1161.0688040656103,1371.643430900684,1631.8582824470616,1953.8778960236366,2352.9087305244584,2847.826112525611,3461.8556535449147,4217.024887334859,5130.026068632496,6216.228133294214,7489.90618099398,8963.231175117415,10644.939422009465,12539.06714921282,14643.951769714526,16951.618658851243,19447.61185827751,22111.271149392556,24916.40849271197,27832.299863227043,30824.887712390573,33858.08465508763,36895.077595804934,39899.549001315354,42836.75390583598,45674.41374490311,48383.40860913792,50938.26645843403,53317.460636800504,55503.535736855585,57483.086946993375,59246.62013950427,60788.31984135801,62105.75054463606,63199.51414033065,64072.883063064524,64731.42536697565,65182.634663764155,65435.57480600025,65500.54648751063,65388.780602122235,65112.16125989405,64682.979789400386,64113.71982377319,63416.87263717172,62604.781224243336,61689.51115552694,60682.74595681912,59595.70461434116,58439.07876866204,57222.987201903044,55956.94532237254,54649.84749014767,53309.960191576836,51944.924248740135,50561.76443278495,49166.90503120897,47766.19009388914,46364.90724772709,44967.81412314292,43579.166576149466,42202.748016914105,40841.8992696116,39499.54848939837,38178.24075115652,36880.16700208482,35607.19213716533,34360.88201395964,33142.52927203968,31953.177863561043,30793.646235923294,29664.54913595557,28566.318028378533,27499.220140118457,26463.3761570131,25458.776611112637,24485.29700564144,23542.711731187384,22630.706831210926,21748.891677852585,20896.809620556167,20073.947670467594,19279.74528313082,18513.60230086665,17774.8861145433,17062.938102359978,16377.079400877092,15716.61606092981
D,1501.0,1501.0,1505.3769514061014,1510.1674302383701,1514.2026936878315,1517.3402762816725,1519.74817920566,1521.6391040764195,1523.1880171480916,1524.5185265889882,1525.7111290945616,1526.815515920789,1527.8611449453597,1528.86489203865,1529.836127007642,1530.7799006976313,1531.698866855329,1532.5944025549027,1533.4672408402819,1534.3178158839553,1535.146443565375,1535.953410560711,1536.7390142459926,1537.5035772609137,1538.247449802809,1538.9710065762144,1539.6746419066476,1540.3587646797,1541.0237938019761,1541.670154400763,1542.2982747584556,1542.90858388992,1543.5015096479065,1544.077477247361,1544.6369081158898,1545.1802189960372,1545.7078212417819,1546.2201202655106,1546.717515102599,1547.2003980689935,1547.6691544933392,1548.1241625097232,1548.5657929004076,1548.9944089803316,1549.410366516924,1549.8140136800566,1550.205691017933,1550.58573145542,1550.954460311889,1551.3121953360585,1551.659246755666,1552.0068876772716,1552.3748882879952,1552.7868069847439,1553.2667214074716,1553.8379657309254,1554.523413573895,1555.3467023992273,1556.333953473809,1557.5157498609333,1558.9293048777795,1560.620868714973,1562.648491786693,1565.0853054728025,1568.0235066188204,1571.5792480255716,1575.8986435621323,1581.1650878856271,1587.6080557174703,1595.5134675955412,1605.2355676785774,1617.1680905450671,1631.7015014368906,1649.2256603808228,1670.1318956834575,1694.8065906976622,1723.617825658462,1756.898235751081,1794.9270407510007,1837.9136633314406,1885.984751696622,1939.1757835326584,1997.4277818524224,2060.5890775908424,2128.4215698465396,2200.6106022312415,2276.7774025073486,2356.4930058120535,2439.2926660876437,2524.6899168346254,2612.189634279069,2701.2996538852303,2791.5406740529775,2882.454336473145,2973.609495578638,3064.6067794843093,3155.081604648224,3244.7058408380435,3333.188337099792,3420.2745184396954,3505.7452514351494,3589.4151588305717,3671.1305413901105,3750.7670421586695,3828.227165451646,3903.437741433043,3976.347407702769,4046.9241622252703,4115.153027288774,4181.033851924396,4244.5792701732225,4305.812824545974,4364.767257726804,4421.482970779051,4476.006642575455,4528.390002676692,4578.688748221841,4626.96159439975,4673.269447593543,4717.67469020767,4760.240566395664,4801.030658323869,4840.1084431652225,4877.53692166531,4913.378309819678,4947.693785916073,4980.543285904933,5011.985340749851,5042.076950065347,5070.8734869650425,5098.428629614765,5124.794315510441,5150.020714979625,5174.156220839124,5197.247451531447,5219.339265412054,5240.474784170515,5260.695423644608,5280.040930530192,5298.549423704241,5316.257439066716,5333.199976971553,5349.410551460626,5364.921240639295,5379.762737640368,5393.964401716803,5407.55430908411,5420.559303202701,5433.005044249829,5444.916057581515,5456.315781028056
R,0.0,1856.9042279947641,3967.7758654971285,6055.944157380284,8046.25436891728,9935.7268365157,11741.713878440136,13483.052979706828,15174.551735081666,16826.39087681522,18445.01974283314,20034.262812289337,21596.235405329564,23131.999925035336,24642.001709893066,26126.344715829364,27584.95967381652,29017.70350680629,30424.41626787778,31804.952502668453,33159.19754714528,34487.07513219664,35788.55007930948,37063.628296031035,38312.35533976511,39534.81426694515,40731.123165981626,41901.432590912504,43045.92301082449,44164.80233381204,45258.303533655366,46326.6823911172,47370.21535330723,48389.19751031827,49383.94068630325,50354.77164125413,51302.03037939068,52226.068559972024,53127.24800636101,54005.93930923137,54862.52051988092,55697.3759296899,56510.89493183945,57303.47096148227,58075.50051063718,58827.38221416297,59559.51600325537,60272.30232300466,60966.14141065003,61641.43263126984,62303.08385960495,62959.720350276024,63622.4099599475,64303.72449181239,65017.314242438886,65777.93540295861,66601.81852609984,67507.2881893064,68515.58621368387,69651.89180714996,70946.56560119904,72436.67103413565,74167.84811433492,76196.6332528846,78593.33535316552,81445.59175268852,84862.73493162316,88981.09672615452,93970.3531009827,100040.95903330776,107435.38502239088,116413.36991123427,127253.4527198401,140252.31950108265,155720.93258241448,173977.85700364117,195340.54850779398,220115.45581865933,248587.7996878776,281011.8382300643,317602.3090922147,358527.56606659683,403904.72660152975,453796.94653679134,508212.76341472694,567107.3146947051,630385.1473395533,697904.2882477223,769481.2339295023,844896.5337200819,923900.6746759735,1006220.0202158903,1091562.6022890056,1179623.6138628172,1270090.4918629501,1362647.5186856715,1456979.9023168986,1552777.3208745776,1649736.937419162,1747565.9057686802,1845983.3985405387,1944722.1954720519,2043529.873959177,2142169.6453422382,2240420.880318372,2338079.365444837,2434957.330402618,2530883.282826341,2625701.684317573,2719272.497929681,2811470.634081654,2902185.318624602,2991319.4037162224,3078788.6392989615,3164520.920352022,3248455.5227066036,3330542.338078487,3410741.1170755224,3489020.7272679885,3565358.4319522763,3639739.1939761057,3712155.007909009,3782604.262917481,3851091.137922902,3917625.0299657667,3982220.016156675,4044894.349148892,4105669.985706213,4164572.147651818,4221628.9142583525,4276870.8449674025,4330330.631199656,4382042.775928206,4432043.299630351,4480369.471202454,4527059.5624131765,4572152.62447874,4615688.285366108,4657706.566463429,4698247.717298947,4737352.067037934,4775059.89154014,4811411.294816383,4846446.10378089,4880203.775254907,4912723.314236126,4944043.202506827,4974201.336710982,5003234.975086316,5031180.692091282,5058074.340218809
G,259563.0,259563.0,259630.53955737074,259736.50575213562,259863.91784994703,260002.76315998778,260147.08466875693,260293.31246189596,260439.29603135082,260583.73717340323,260725.8544319632,260865.18269340417,261001.4523898657,261134.51600948942,261264.30296466872,261390.79160808146,261513.99170870282,261633.93336445247,261750.65991071786,261864.22333166766,261974.6812533933,262082.0949461368,262186.52797652356,262288.0452828617,262386.7125289365,262482.5956434564,262575.76048503496,262666.27259344864,262754.19700128934,262839.59808877745,262922.53947012353,263003.0839035114,263081.2932192064,263157.22826191015,263230.94884456915,263302.5137115811,263371.98050984857,263439.40576648107,263504.8448721973,263568.3520696574,263629.98044608836,263689.7819296659,263747.80728919234,263804.10613667185,263858.72693243297,263911.71699248994,263963.12249786843,264012.9885056505,264061.35896151944,264116.4526514583,264183.8770719198,264267.5557732757,264370.5878907394,264495.9324610553,264646.9265146753,264827.6876562413,265043.4597287864,265300.95471335,265608.7356662007,265977.67884037824,266421.54951362364,266957.72509018163,267608.09953487455,268400.20336194657,269368.57091346435,270556.37850131065,272017.35934792185,273817.969771301,276039.7316227421,278750.34672147053,281997.9739828095,285841.7189134597,290341.5521495398,295552.42750145646,301520.01605655457,308277.4089146506,315842.7534497609,324217.9127608371,333388.1832724336,343323.00104900234,353977.4736106528,365294.5161343748,377207.3532474554,389642.1629187251,402520.6754665783,415762.58688288025,429287.6925735793,443017.6895272093,456877.62898631115,470797.02715004125,484710.6588214124,498559.06944627926,512288.84612426924,525852.6893211545,539209.325419845,552323.2969257913,565164.6628711143,577708.6373088572,589935.1891471853,601828.6221968052,613377.1503417827,624572.4792665094,635409.4031991239,645885.4226488728,656000.3870851904,665756.1648818093,675156.3415775871,684205.9465345182,692911.2073529899,701279.3308895926,709318.3093737602,717036.7499016906,724443.7254701082,731548.6456740923,738361.1452123869,744890.988404127,751147.988009878,757141.9367571269,762882.5500880938,768379.4187699995,773641.9701303429,778679.4367991462,783500.831954319,788114.9301738321,792530.2530984344,796755.0592007546,800797.337040728,804664.8014635085,808364.892264676,811904.7749090367,815291.342944128,818531.2217981817,821630.7736952961,824596.1034584456,827433.0650041987,830147.2683621147,832744.0870771706,835228.6658756601,837605.9284941674,839880.5855878025,842057.1426481957,844139.9078740637,846132.99994773,848040.3556800308,849865.7374937509,851612.7407223,853284.8007059005,854885.1996722504,856417.073392574,857883.4176072701,859287.094218115
H,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7695023.1687349,7319633.746050076,6944244.3233652515,6568854.900680427,6193465.477995603,5818076.055310779,5442686.632625955,5067297.209941131,4691907.787256307,4316518.364571483,3941128.9418866592,3565739.5192018356,3190350.096517012,2814960.6738321884,2439571.2511473647,2064181.828462541,1688792.4057777175,1313402.9830928938,938013.5604080701,562624.1377232464,187234.7150384226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
