series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,1841143.2060349167,1839103.6504617357,1837207.3936089538,1835384.363789875,1833589.9724058297,1831795.6640254012,1829983.0131048902,1828140.0177163454,1826258.7646968286,1824333.9552474376,1822361.972278515,1820340.289693512,1818267.0979048829,1816141.0662985735,1813961.1925491206,1811726.7070804385,1809437.012579432,1807091.6458107345,1804690.253627425,1802232.5780168409,1799718.4468883404,1797147.7684961995,1794520.5281454618,1791836.7863094925,1789096.6775951954,1786300.4101887026,1783448.2655410036,1780540.598134927,1777577.8352283107,1774560.4765033757,1771489.0935758094,1768364.329333025,1765186.8970821546,1761957.5794962514,1758677.2273530008,1755346.7580646684,1751967.1540014744,1748539.4606133795,1745064.7843575592,1741544.2904407599,1737979.2003873386,1734370.7894451343,2093889.8998465117,2452438.8680791333,2809985.751749143,3166471.106005583,3521800.7972316174,3875841.6783038964,4228418.037762895,4579307.5443484085,4928235.960193564,5274870.242974403,5618809.865157509,5959576.308024292,6296600.789409739,6629210.396031708,6839180.403831365,6798095.788883908,6752725.607298012,6702556.037328099,6647216.770607151,6586439.45212914,6520041.738282903,6447923.0701381145,6370064.91979886,6286531.680707585,6197470.213819483,6103107.12488661,6003743.506109831,5899747.298476005,5791543.6965623135,5679604.164003088,5564434.680341638,5446563.8206425905,5326531.199450341,5204876.710620093,5082130.881668519,4958806.549222593,4835391.9603396095,4712345.318488636,4590090.72518293,4469015.41863845,4349468.17787143,4231758.741950979,4116158.086967674,4002899.404960558,3892179.6370908106,3784161.425634346,3678975.364146135,3576722.4410617347,3477476.5880243345,3381287.2596314326,3288181.9856000175,3198168.8492620625,3111238.8576808106,3027368.1784897614,2946520.2268448705,2868647.5927421385,2793693.8045147806,2721594.9287298983,2652281.0101022883,2585677.3575780718,2521705.6845503612,2460285.112378907,2401333.0471082493,2344765.9396131868,2290499.939431754,2238451.4523468553,2188537.611408882,2140676.6706030485,2094788.3297974165,2050793.998993017,2008617.009261632,1968182.7771191471,1929418.9284576376,1892255.387558122,1856624.4361355698,1822460.746833079,1789701.3950858554,1758285.8528188625,1728155.9670247284,1699255.9258897256,1671532.2147938418,1644933.5642040968,1619410.891206104,1594917.2361749858,1571407.6958706877,1548839.354052062,1527171.2105364217,1506364.1094843787,1486380.6675615062,1467185.2025167723,1448743.6626209018,1431023.5573241932,1413993.8894213135,1397625.0889488175,1381888.9489883657,1366758.5635037192,1352208.267301569,1338213.5781742395,1324751.1412554812,1311798.6755982656,1299334.9229650777,1287339.5988061463,1275793.3453888753,1264677.687032033,1253974.9873906488,1243668.4087317581,1233741.873136834,1224180.0255637274,1214968.1986989852
E,0.0,2039.5555731809447,3382.4928125128217,4287.871923698481,4918.988491140704,5378.803785784831,5732.216394425696,6020.09467741955,6268.130880663487,6492.432728521741,6703.056303793083,6906.238539152029,7105.807814560132,7304.0749191793,7502.39544986552,7701.524488521853,7901.840004714251,8103.483349326136,8306.447437119396,8510.631970781764,8715.877941059349,8921.989132070785,9128.745509399021,9335.911564368056,9543.241546903057,9750.482798272857,9957.377939739232,10163.666386085406,10369.085472345541,10573.37136865454,10776.259887194981,10977.487241048284,11176.790787440164,11373.909771138831,11568.58607366385,11760.564968003573,11949.59587515442,12135.43311700471,12317.836659276601,12496.572838030399,12671.41506338958,12842.144494516459,13008.550680367356,14099.954000613618,15897.35048433712,18268.653126510937,21152.298127375296,24542.437095965273,28477.372612086714,33031.635788181215,38311.44448425151,44453.00472720698,51623.055847247444,60021.092945255645,69882.75270318647,81483.87605316805,95144.74115424293,110417.1389257988,125831.79028145372,141863.92439338437,158716.33013342594,176434.82756609435,194966.79464293557,214192.10069160652,233941.17476093525,254007.52817825248,274158.223939006,294143.77470189537,313707.8911474191,332596.96497798024,350568.9367678418,367401.1473542568,382896.82780666434,396889.9959443159,409248.66011092963,419876.3579112381,428712.16297760926,435729.36880275025,440933.10376978613,444357.1485494311,446060.2212679102,446121.97346121166,444638.90686469205,441720.3827989919,437484.8564704382,432056.4309255331,425561.7916509582,418127.5539799155,409878.0319600352,400933.419077293,391408.3578134759,381410.8658547868,371041.5811953332,360393.285709354,349550.6663547509,338590.27443801565,327580.6458171342,316582.54812875116,305649.32476445404,294827.30912878306,284156.28649430536,273669.98438826017,263396.57580811356,253359.18261366454,243576.36915328616,234062.61854490856,224828.7860572203,215882.5257425211,207228.68788556947,198869.68598213838,190805.83287773124,183035.64641170824,175556.1254542754,168362.9976206656,161450.94022316195,154813.77619945182,148444.64685449866,142336.16328937333,136480.53837852055,130869.7011086852,125495.39501809534,120349.2623815894,115422.91568271769,110707.99780262855,106196.23224181499,101879.46457763841,97749.69625026596,93799.11166391187,90020.09949019605,86405.26896674355,82947.46189724065,79639.76097917679,76475.49501238996,73448.24147510678,70551.826894142,67780.3253819397,65128.055664807915,62589.57688359982,60159.68340981015,57833.39888616209,55605.96967085745,53472.85783836286,51429.733866544,49472.469119800284,47597.128220280174,45799.961383984686,44077.39678533288,42426.03300232927,40842.63158462603,39324.109778319355,37867.53343408728
I,2836.5229116474743,2235.5846016741707,1835.841457793898,1569.434124728302,1392.2640876528314,1275.4907340077878,1200.1132719090149,1153.5072885226998,1127.2033833506935,1115.4571505287656,1114.324673776749,1121.0618614969283,1133.7319081269013,1150.9470159356752,1171.6971096434731,1195.235211736776,1220.9999498906213,1248.5625744210301,1277.5902897983015,1307.8205490220003,1339.042794387686,1371.085316358178,1403.8056754999047,1437.083638580103,1470.8159134714915,1504.9121890641595,1539.2921348783912,1573.8831156144522,1608.6184447187347,1643.4360487600527,1678.277447907683,1713.0869816339327,1747.811225946363,1782.398561007385,1816.79885728609,1850.9632553408712,1884.8440195960113,1918.3944505020597,1951.5688425785502,1984.322478258403,2016.611649353716,2048.3936994659825,2079.627081862067,2110.2714282997904,2173.95912076644,2289.2639561020856,2466.039944990183,2709.82333326388,3024.7656169849643,3415.5262602539106,3888.4774401536833,4452.489033538212,5119.485768284103,5904.906085249973,6828.144294789861,7913.021708550921,9188.30512681921,10688.268818106202,12423.689629033805,14349.837301160595,16448.67296678995,18713.325357890993,21140.038745765578,23723.946871358014,26456.862750848075,29326.191244622907,32314.52563034348,35399.70889374647,38555.24058480125,41750.950608135754,44953.87378325077,48129.260356433675,51241.656841253425,54255.992971132364,57138.615747065385,59858.22046994403,62386.64026682733,64699.46859536372,66776.50218851047,68602.00376372098,70164.79378694715,71458.18822769886,72479.80445646097,73231.26035178022,73717.79259559943,73947.81942482783,73932.4711858241,73685.10930168912,73220.85106091757,72556.11426135944,71708.19242228969,70694.86817382091,69534.06965502868,68243.57236089498,66840.74689680252,65342.35152281011,63764.3671733449,62121.871783484625,60428.950195833095,58698.63561466966,56942.87846977261,55172.53860715623,53397.396898285755,51626.18261854347,49866.61326050939,48125.443793885286,46408.522742397116,44720.852803914684,43066.65408232806,41449.428320683735,39872.022819684185,38336.692991050055,36845.16273030707,35398.68199846395,33998.081177917746,32643.82191654369,31336.044297502787,30074.61027327145,28859.14338329033,27689.064837951188,26563.626099799192,25481.938128080677,24442.997477184683,23445.709454980624,22488.908555205642,21571.376380359285,20691.857269280175,19849.071837785108,19041.72863235366,18268.53408659798,17528.200958790156,16819.455416533565,16141.042922162938,15491.733059956083,14870.323433981051,14275.642753565924,13706.553212094055,13161.952254183161,12640.77381635613,12141.98911708206,11664.607063564306,11207.674334868512,10770.275193896072,10351.531074287257,9950.59998254702,9566.675750485687,9198.987168414511,8846.797025390106,8509.40107911987,8186.126974882077,7876.333129939838
A,18406.876131863013,17630.53991858043,17366.384453380677,17429.05393952385,17701.907422934702,18111.609287594423,18612.120023871536,19174.597593626768,19781.02332487885,20420.1779766523,21085.101932944268,21771.492989568244,22476.696507653513,23199.069747531816,23937.582450873644,24691.566471672068,25460.559340785912,26244.206943551097,27042.203327899795,27854.25378020372,28680.052439945095,29519.26896845565,30371.540835167685,31236.469076337882,32113.616194139362,33002.50537444925,33902.62052105386,34813.40680289631,35734.2715340278,36664.58528130569,37603.68314042621,38550.86614782747,39505.40281142635,40466.53075150878,41433.45844716362,42405.36708517439,43381.41250834258,44360.7272594771,45342.42271615568,46325.59131009284,47309.30882368193,48292.636755101725,49274.624742337495,50254.31303558773,51449.237402123064,53016.2775365001,55074.646859602326,57724.05901420987,61058.64729886599,65177.578581127236,70193.35722896155,76238.71117607963,83472.78827285477,92087.21944235069,102312.44854879378,114424.59119617144,128752.95925753142,145688.26309100323,165499.37392671453,188098.44001260895,213513.02683573624,241817.20678337355,273092.6990419884,307405.40632723575,344790.2127359593,385240.670090409,428702.06294904096,475067.2271463624,524174.8714102976,575810.261311193,629708.1035300381,685557.3930411605,743007.9014820377,801677.9174618128,861162.8114340759,921043.9924442007,980897.8488234051,1040304.3133869361,1098854.757991806,1156158.994496214,1211851.2323101263,1265594.9114333119,1317086.390423391,1366057.5189796446,1412277.1639520875,1455551.7857871612,1495725.1806002157,1532677.5125438748,1566323.7634433187,1596611.723348913,1623519.6381835083,1647053.6203499048,1667244.9161338417,1684147.110904881,1697833.3401982016,1708393.5622891837,1715931.9362254636,1720564.338700277,1722416.0437708152,1721619.5812961557,1718312.7830781187,1712637.0199770357,1704735.6286547014,1694752.5229623967,1682830.9822278176,1669112.6066842882,1653736.4289154492,1636838.1693522027,1618549.6234585792,1598998.1681920846,1578306.3755453136,1556591.7214030137,1533966.3785261835,1510537.0831552856,1486405.0654697497,1461666.0349195672,1436410.212232359,1410722.400676876,1384682.0899171864,1358363.586510516,1331836.1657787722,1305164.2404147356,1278407.5417664165,1251621.3102764084,1224856.492037773,1198159.9388655091,1171574.609675132,1145139.7713098696,1118891.1972683694,1092861.363058552,1067079.637143446,1041572.4666544589,1016363.5572295262,991474.0464907009,966922.6708106283,942725.9251324296,918898.2157050567,895452.0056782449,872397.9535696578,849745.0446734048,827500.7155253403,805670.9715778034,784260.498265955,763272.7656707012,742710.1270003214,722573.911125198,702864.5094082123,683581.4570780852,664723.5093947704,646288.7128554395,628274.471687074
IH,0.0,135.83490132488834,174.19573996505912,174.01333949180307,161.16551861851374,146.3310008357841,133.40679346772916,123.40914510372622,116.2357964358323,111.43062311198997,108.49309165804651,106.98694023901305,106.56513124413263,106.9633866609074,107.98462445505669,109.48306353110696,111.35087824114956,113.50789122224066,115.89394170585314,118.46335746488631,121.18099150307441,124.01938873358603,126.95675626683203,129.97550152176336,133.06117139024502,136.20167576897956,139.3867141383666,142.60734845838374,145.85568262065237,149.1246203798369,152.40768174745014,155.69886341901565,158.9925327086542,162.28334721716186,165.5661944209811,168.83614678362648,172.08842902309408,175.31839493096035,178.52151170842134,181.69335021489906,184.82957985348878,187.92596707096362,190.97837664731188,193.98277510466488,196.93523568811867,201.4443990262343,209.1948188604502,221.49099858398938,239.24282757817716,263.09883860123705,293.6027104099786,331.3283141697578,376.9840535022438,431.491116899508,496.0441290685682,572.1623026923511,661.7372824402886,767.0816218270243,890.9796556145528,1035.3236632856829,1198.906898132232,1380.2690651832208,1578.3593413978256,1792.4784878509051,2022.047860532067,2266.3893990277584,2524.564807880581,2795.276750294738,3076.822946705919,3367.0929707565156,3663.5989320129347,3963.5325221480043,4263.841602097394,4561.319815521993,4852.702933414072,5134.765992175457,5404.4158906985285,5658.774966573783,5895.25211528118,6111.599153588976,6305.95125859092,6476.851349693215,6623.259159007652,6744.546419381545,6840.480076902442,6911.195714418687,6957.163476835952,6979.1487484542085,6978.169681535621,6955.453447317636,6912.392806402731,6850.5043008450075,6771.389076014879,6676.697061865085,6568.094991076738,6447.238512054234,6315.748470746479,6175.191287029036,6027.063237192217,5872.778370958467,5713.659735651342,5550.933547563949,5385.725937100634,5219.06189595377,5051.866067824974,4884.96504582235,4719.0908669344035,4554.885424627577,4392.905552805081,4233.628566667616,4077.4580773529224,3924.7299268274455,3775.718116840954,3630.640630523705,3489.665067260417,3352.9140307982507,3220.470227213757,3092.381243519835,2968.6639895258977,2849.3087952864335,2734.2831643107493,2623.535188886721,2516.9966386141386,2414.5857367567605,2316.209641498846,2221.766650806422,2131.148150501853,2044.2403254999017,1960.9256540438685,1881.0842043240768,1804.5947521449134,1731.3357374035531,1661.1860761135813,1594.0258435989967,1529.7368433378838,1468.2030747814533,1409.3111123371364,1352.9504066020636,1299.0135178786454,1247.3962910062182,1197.9979796075893,1150.7213269799709,1105.4726100573762,1062.1616521355195,1020.701809378983,981.0099355212867,943.0063286183744,906.6146632213386,871.7619108911567,838.378251582906,806.3969780755037
IN,465.10340864841555,886.8205753047563,1170.66310965615,1362.4822537386106,1492.7252396012564,1581.76827610555,1643.3578356904054,1686.8425271341393,1718.6288735329654,1743.137054421248,1763.433014027293,1781.6500138891513,1799.2723710185644,1817.3283637287723,1836.5227928646996,1857.329091735584,1880.0540487976637,1904.8837863870272,1931.9167628933349,1961.187683876156,1992.6849677406233,2026.3635882040298,2062.1545640335175,2099.971993041687,2139.7182716649627,2181.287964328666,2224.5706625322023,2269.45308525804,2315.820608703976,2363.5583669553926,2412.5520309818758,2462.6883477961273,2513.8555023573035,2565.943350158752,2618.8435572220415,2672.4496755703844,2726.657175552723,2781.3634511763394,2836.467810539004,2891.871460273919,2947.477490436358,3003.1908643198585,3058.918416176378,3114.5688586390156,3170.0528007376242,3230.8038769757495,3304.794393383067,3400.86873313176,3527.954024568161,3694.8253656863135,3910.2032972704465,4183.039724946324,4522.905883502335,4940.4354665788105,5447.801659282591,6059.222171975622,6791.494414268591,7664.565762519104,8702.142778610458,9927.48767995632,11354.358313792358,12992.27132890251,14848.72895372411,16929.91776113215,19240.64930356705,21783.94388129546,24560.474832431766,27567.99851151833,30800.847491240427,34249.53775183071,37900.52299414351,41736.11527239497,45734.57872371145,49870.39177924278,54114.663142568825,58435.67851673932,62799.548991933305,67170.92840784533,71513.7658701301,75792.06069930432,79970.59003205854,84015.58359623737,87895.32533450893,91580.66707985783,95045.44497660817,98266.79446849837,101225.364208291,103905.43303847808,106294.9371849547,108385.41699379019,110171.89397202471,111652.68964618022,112829.19792582594,113705.62236150612,114288.68902401207,114587.34480655332,114612.44985378423,114376.47163022617,113893.18692024142,113177.39685381428,112244.6589158453,111111.03884903793,109792.88441954712,108306.62219000516,106668.5777394046,104894.8191815762,103001.02335786093,101002.36370663605,98913.4185325626,96748.09820085567,94519.58965537064,92240.31659289697,89921.91360936056,87575.21265704525,85210.2402067675,82836.22358748576,80461.60507141508,78094.06237965234,75740.53439683399,73407.25099953852,71099.76601888154,68822.99247058625,66581.23929390297,64378.24894276167,62217.23526757156,60100.92121358213,58031.57594143706,56011.05104745831,54040.81562544595,52121.989968657654,50255.377760524265,48441.49664601648,46680.60711289309,44972.739643846166,43317.720127328386,41715.19353711044,40164.645908861305,38665.424656737196,37216.757284541694,35817.76855488492,34467.49618629467,33164.90515275483,31908.900662970307,30698.339898056613,29532.042586567182,28408.800495017247,27327.385910526176,26286.55919004395,25285.075447992425,24321.690451159193,23395.165786433856
D,3701.0,3701.0,3705.5138524049235,3711.302452036531,3717.0849904216784,3722.440590173372,3727.303232495743,3731.736397828467,3735.837336990514,3739.6999026799103,3743.402790385576,3747.008062653025,3750.5632848586806,3754.1044901693604,3757.6589296794486,3761.2473053622593,3764.885474822377,3768.585712571562,3772.3576287931955,3776.2088345023512,3780.1454230062827,3784.1723196623852,3788.2935374836675,3792.5123652960106,3796.8315073162335,3801.2531874781325,3805.7792279561536,3810.411108634029,3815.1500123805636,3819.996859673472,3824.9523351791736,3830.0169082312727,3835.190848670975,3840.4742391629024,3845.8669848414465,3851.3688209496327,3856.979318986323,3862.6978917656966,3868.5237977064216,3874.456144600305,3880.4938930569006,3886.6358597781573,3892.8807207832238,3899.227014676102,3905.6731460265837,3912.2173889166997,3918.911473250947,3925.8631073817974,3933.223348872576,3941.173491303508,3949.9163792783174,3959.672924080499,3970.6831069800864,3983.2104498052486,3997.5490858753815,4014.0328464045624,4033.0460467000985,4055.0358622382014,4080.526315646601,4110.133954199041,4144.538206433294,4184.37840017312,4230.2453370100475,4282.694899232366,4342.259733117051,4409.453256350839,4484.766354380236,4568.6587326886765,4661.546985697869,4763.791140344801,4875.681093187619,4997.42406711145,5129.133963703487,5270.8232606523425,5422.397887041438,5583.655300215245,5754.285790585795,5933.87686348016,6121.920398261382,6317.822170770838,6520.913248750676,6730.462731072906,6945.6912971924485,7165.785058013263,7389.909246850628,7617.221352537714,7846.883369384266,8078.072914818187,8309.99304031805,8541.880631001586,8773.01335141647,9002.715148146384,9230.360363122094,9455.376545026169,9677.246070425706,9895.506702134253,10109.751220876504,10319.626268787684,10524.830540811638,10725.11245379921,10920.267414083904,11110.134793432891,11294.594711310063,11473.564708978745,11646.996388618649,11814.872078718814,11977.20157581407,12134.01900234436,12285.379811146591,12431.357958888642,12572.04326362854,12707.538955596643,12837.95942519682,12963.42816802936,13084.07592336807,13200.038999886645,13311.45778043423,13418.475396218591,13521.236559784476,13619.886545596895,13714.570306784397,13805.431716603118,13892.612923393513,13976.253808170388,14056.4915344723,14133.460180664199,14207.29044550854,14278.109418471779,14346.04040689595,14411.202812824393,14473.712052914636,14533.679515491865,14591.212549386573,14646.41447975612,14699.384646609116,14750.218462232728,14799.007484165813,14845.839500765827,14890.79862678585,14933.965406711433,14975.41692390718,15015.226913892091,15053.465880302954,15090.201212318618,15125.49730250712,15159.415664224447,15192.015047840265,15223.351555194227,15253.47875179838,15282.447776398216,15310.307447588993
R,0.0,819.7224552746582,1710.2234524081955,2634.1866639829987,3578.6003308762374,4540.600787172684,5521.177830325296,6522.503141094834,7546.884194394655,8596.41780372207,9672.924401975484,10777.98038656528,11912.973564730804,13079.15426529615,14277.674580572993,15509.615774077241,16776.006210391348,18077.832418861668,19416.04547144035,20791.564294383643,22205.27704109284,23658.041277391174,25150.683463762896,26683.99803843734,28258.746286994574,29875.655109010695,31535.415745773687,33238.68250520194,34986.07150396763,36778.15943797101,38615.48238782899,40498.53466409464,42427.76769637125,44403.58897063054,46426.36101947695,48496.40047058495,50613.97715894628,52779.3133088395,54992.582791552064,57253.910464845234,59563.37159996535,61920.99140168857,64326.74462645863,66780.55530315782,69282.29656045829,71841.0062137331,74473.60565833669,77203.58392505115,80060.07702370008,83077.45384605794,86295.39078979785,89759.37965333098,93521.61644194296,97642.23700545893,102190.88670922325,107248.63023335543,112910.2219321023,119286.76608006924,126508.79916038387,134721.7247127758,144070.30508400846,154701.1784147119,166764.30469974494,180413.29386893945,195804.78210165055,213097.05228792643,232448.07671290403,254013.1394223544,277942.18236947677,304377.0118092235,333448.49538268126,365273.8724288758,399954.2882843637,437572.64717019995,478191.8583400323,521853.52779086307,568577.1246358906,618359.6287999267,671175.6463720846,726977.9617238031,785698.4819581552,847249.5196077931,911525.3536387852,978404.0064068196,1047749.1747593079,1119412.2564119336,1193234.4174631485,1269048.6528838924,1346681.7985282538,1425956.4602240587,1506692.8324720159,1588710.3859403515,1671829.4090962843,1755872.3948398782,1840665.267829388,1926038.4522849554,2011827.7834392476,2097875.268504774,2184029.70510134,2270147.1665973896,2356091.364835403,2441733.90130491,2526954.418066049,2611640.6596770193,2695688.457099758,2779001.644103083,2861491.916098039,2943078.6406663675,3023688.628313597,3103255.871221103,3181721.2570089726,3259032.2637713603,3335142.641921674,3410012.0876963097,3483605.912519607,3555894.711833615,3626854.036446477,3696464.0689534796,3764709.3073344734,3831578.2574290335,3897063.1356340987,3961159.582855263,4023866.390469399,4085185.2388196667,4145120.4485610295,4203678.745001924,4260869.035442656,4316702.19939041,4371190.891431742,4424349.35646339,4476193.2569189025,4526739.511579616,4576006.145522095,4624012.150728311,4670777.356868129,4716322.311754593,4760668.1709697815,4803836.596161618,4845849.661518871,4886729.767941979,4926499.564440417,4965181.876302542,5002799.639600666,5039375.841612024,5074933.4667549925,5109495.447659005,5143084.621005877,5175723.687799448,5207435.177739438,5238241.417393961,5268164.501883285
G,305367.0,305367.0,305440.8819507086,305563.4111774344,305718.73734077945,305896.92540783546,306091.7700697794,306299.4169388683,306517.4920646783,306744.5521864271,306979.7375381453,307222.552630779,307472.72790525574,307730.1324837841,307994.7191958337,308266.489976739,308545.47411432455,308831.7145881865,309125.259498291,309426.1566879446,309734.45036723046,310050.17898619565,310373.37388705823,310704.05844139203,311042.2474895788,311387.94696981827,311741.15366786526,312101.8550460498,312470.02912712365,312845.64441892266,313228.6598721686,313619.0248675027,314016.67923000775,314421.5532706546,314833.56785467704,315252.63449708733,315678.65548553027,316111.52403054293,316551.1244430873,316997.3323389954,317450.0148697319,317909.0309786487,318374.2316816902,318845.46037130995,319356.2246378808,319932.098754931,320593.8722057517,321360.1043536613,322249.14270673937,323280.7222661794,324477.2778880099,325865.09212076676,327475.3815128722,329345.40266732546,331519.6388042398,334051.1089727837,337002.8244314182,340449.3983657449,344449.2077961752,349007.40579253796,354146.36038008454,359895.7855164991,366287.05496996175,373349.6362994565,381108.6453863129,389583.05548313254,398784.35988652235,408715.6138585906,419370.8350987065,430734.7573450079,442782.92749317124,455482.1239489155,468791.0593934935,482661.3186452943,497038.47389551596,511863.3159990835,527073.141505581,542603.0399353015,558387.1333777504,574359.7296957229,590456.3604410776,606614.6842024474,622775.2449082582,638882.0822173534,654883.1973514811,670730.8825170676,686381.9254955975,701797.7031913063,716944.1790899029,731791.8198955723,746315.446265548,760494.0317275715,774310.4626997573,787751.2711646839,800806.3500851105,813468.6601694034,825733.9351613523,837600.3914842816,849068.4468408505,860140.4512732336,870820.4332296051,881113.8623611075,891027.4300828492,900568.84836365,909746.6667509318,918570.1072769898,927048.9166183211,935193.2346784746,943013.4786254792,950520.2413266699,957724.2030771425,964636.0555046748,971266.4365464661,977625.8754251866,983724.7465983583,989573.2317116195,995181.2886494036,1000558.6268431103,1005714.6880647172,1010658.6320012057,1015399.3259708609,1019945.3382054857,1024304.9341821818,1028486.075544174,1032496.4212019489,1036343.3302536535,1040033.8664072724,1043574.8036266859,1046972.6327594569,1050233.5689363226,1053363.559561096,1056368.2927352618,1059253.205984244,1062023.4951723467,1064684.123511015,1067239.8305805027,1069695.1412985472,1072054.374781392,1074321.6530526928,1076500.9095646366,1078595.8975031863,1080610.1978558442,1082547.227225874,1084410.2453816168,1086202.3625335114,1087926.5463347672,1089585.6286044149,1091182.3117737665,1092719.1750592072,1094198.6803657662,1095623.1779271483
H,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,5330110.200558393,4966940.684554325,4603771.168550258,4240601.65254619,3877432.136542122,3514262.620538054,3151093.104533986,2787923.5885299183,2424754.0725258505,2061584.5565217824,1698415.0405177143,1335245.5245136463,972076.0085095782,608906.4925055101,245736.97650144203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
