series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,752503.7998264313,751123.3712257756,749860.3943287126,748669.7185273016,747522.129956392,746398.69142958,745287.1305524685,744179.5152959919,743070.7494022036,741957.5944567606,740838.0323420475,739710.8486030792,738575.3596228918,737431.2336258775,736278.3730070884,735116.836803282,733946.789473685,732768.4669460418,731582.1540067733,730388.1691545412,729186.8543712173,727978.5681382546,726763.6805993629,725542.5701462924,724315.6209514135,723083.2211330961,721845.7613467042,720603.6336643901,719357.230653275,718106.9445922354,716853.1667877495,715596.2869626445,714336.6927004352,713074.7689338039,711810.8974696473,710545.4565456699,709278.8204151914,708011.3589579368,706743.4373152943,705475.4155489843,704207.6483223716,702940.4846038253,701674.26739163,700409.3334600033,699146.0131257868,952137.79359883,1204564.0748727492,1456415.0399145267,1707668.5140071309,1958280.8214778842,2208181.8410819033,2457271.6443300163,2705417.1491997433,2952447.8533986094,3198150.096507357,3442259.5222688997,3684451.535499377,3924329.627307532,4161411.5243320446,4395113.243406041,4624731.338986178,4849423.94859747,5068191.693864686,5279860.084384773,5483065.766291256,5530092.805680624,5459517.131723437,5380083.4688190315,5291174.838786319,5192556.3997523235,5084305.763149552,4966777.856299474,4840575.94033156,4706518.126613166,4565597.18803278,4418935.344275362,4267737.143035648,4113243.6704449495,3956690.761758642,3799273.0594332367,3642114.9279363053,3486248.5144145633,3332598.694391702,3181974.2666023048,3035064.5402324563,2892440.3603915926,2754558.6114436714,2621769.2939676195,2494324.365737146,2372387.651707262,2256045.2489842474,2145315.9707198553,2040161.481742496,1940495.8750346315,1846194.5203164434,1757102.0837871523,1673039.67220171,1593811.0961768222,1519208.2784791314,1449015.854710013,1383015.0279013556,1320986.7466001613,1262714.2794116433,1207985.2588714114,1156593.2649188403,1108339.0139559263,1063031.214142977,1020487.1417022729,980532.9869464538,943004.0127890642,907744.5628157011,874607.9507143945,843456.2580510403,814160.0630595471,786598.1192989113,760656.9996936681,736230.7185905383,713220.3419956868,691533.5940632315,671084.4661449844,651792.8332433022,633584.0814949904,616388.7493189983,600142.1840520479,584784.2152456818,570258.8452802502,556513.9575440637,543501.0421103169,531174.9386041663,519493.5957736939,508417.84714974876,497911.20209103037,487939.6514541285,478471.4870967919,469477.13441090763,460928.9970849782,452801.3133105752,445070.0226703279,437712.6429740683,430708.1563428771,424036.90387644625,417680.4882762025,411621.6838341098,405844.35323428694,400333.3706510201,395074.55066203343,390054.5825297472,385260.96943551296,380681.97228237055,376306.5577106638,372124.3499978706
E,0.0,1380.4286006557556,2294.452436973267,2905.1227239836026,3318.3368651735104,3602.9462014451565,3803.7326248121444,3949.817425417978,4060.1246670668993,4146.936831066464,4218.211262351752,4279.090137620961,4332.884925135822,4381.718158898337,4426.941655314513,4469.408868787191,4509.65208990273,4547.997585107492,4584.64028657286,4619.69213810019,4653.213302452411,4685.232234505206,4715.758533882343,4744.791125516879,4772.323425483277,4798.346568180858,4822.85139211486,4845.829634900187,4867.2746277981105,4887.1816760789025,4905.5482441728855,4922.37402111811,4937.6609138719805,4951.412998171824,4963.636445251506,4974.339435535374,4983.532065935498,4991.226254600306,4997.435645273763,5002.175512419726,5005.462667686722,5007.31536796919,5007.753225157863,5006.797117599134,5004.469103260741,5000.792334604339,5563.544200810851,6559.356491028143,7900.932298493797,9544.543110271432,11483.959942658377,13744.335656278963,16377.618353375661,19460.044651837794,23091.737744632734,27398.206918450993,32533.47339289369,38684.53768286865,46076.893656238775,54980.74328757904,65717.44764444219,78665.54913870597,94265.41585035442,113021.20899008337,135498.508322872,162315.6387779991,191860.18737924093,222794.275883797,255383.62620201494,289444.6531502754,324527.7260085571,360019.55853095575,395213.56085673877,429366.9089305062,461749.89271703834,491687.81588489655,518594.2078975474,541994.3113384385,561538.6317078043,577007.2146306029,588305.9851131982,595456.8663266384,598583.5111937001,597894.3916952603,593664.7705570256,586218.7920106918,575912.6219011093,563119.2761094854,548215.5201198349,531571.0111852676,513539.6902194632,494453.310773467,474616.912059739,454305.99548626144,433765.1428170943,413207.81248498155,392817.06305791263,372746.9745941148,353124.5657162055,334052.03367917374,315609.17426949326,297855.86649873544,280834.5327428575,264572.50766357017,249084.26869830125,234373.49712797615,220434.95189883214,207256.14876028817,194818.84521550167,183100.3376150145,172074.5808026482,161713.1433713298,151986.01309854025,142862.26776422356,134310.62652837217,126299.8965446892,118799.32866036084,111778.8950192855,105209.5002398351,99063.1366485969,93312.99287008528,87933.52393543847,82900.49000482484,78190.96981343273,73783.35405708262,69657.32313292507,65793.81294181349,62174.97183758803,58784.11126882551,55605.652193778056,52625.06895199035,49828.83193914449,47204.350147947014,44739.914400648195,42424.641901876224,40248.422578242375,38201.867538567894,36276.2598811101,34463.507987878045,32756.10137759135,31147.069135077927,29629.94089337803,28198.71031334811,26847.80098229509,25572.034636565233,24366.601601759554,23227.033337262837,22149.176968154687,21129.171686575814,20163.426905640572,19248.602051520655
I,3145.157580263407,2344.855877712972,1807.1456409764737,1445.291516124995,1201.591434368897,1037.5482157915806,927.4007513183763,853.8553690852449,805.2624725782991,773.7449086908571,753.9544243121204,742.2434717151066,736.112234829458,733.8384034344351,734.2285598896319,736.4506865452934,739.9209233269657,744.2267076044958,749.0743885052606,754.253360632383,759.6113887333541,765.0375438290483,770.4503385476619,775.7894303502075,781.009785260338,786.0775472678301,790.9670965991395,795.6589413281323,800.1381965094876,804.393479964368,808.4161052823719,812.1994880751208,815.7387061066215,819.0301710651206,822.0713817558421,824.8607369655857,827.3973922592414,829.6811492563506,831.7123690141576,833.4919033664997,835.0210396822552,836.3014556859144,837.3351818480927,838.1245694919048,838.6722632337551,838.9811767284928,839.0544709510148,863.1411613161592,923.6245502273756,1026.0089722156736,1172.5307502724886,1364.5911576381739,1604.309047036135,1895.4825366738542,2244.198941719667,2659.2723408657844,3152.6338380222187,3739.756007343655,4440.1601125621555,5278.029736887567,6282.933669641678,7490.6403368770525,8943.982173220276,10693.698383405126,12799.147278289787,15328.735948132235,18359.87021034233,21881.402253332086,25827.88744092953,30161.881390628132,34847.627721313176,39839.267186585574,45076.41957130165,50483.894141846344,55973.91089582316,61449.863994854015,66810.9168780525,71956.84643126375,76792.65754710554,81232.60212372776,85203.3580645328,88646.24303461227,91518.44294276525,93793.31850420493,95459.9116337987,96521.80754971749,96995.52161534718,96908.57666409679,96297.42166405926,95205.32054159537,93680.31452619913,91773.3353821981,89536.52239654382,87021.77429549315,84279.54905887545,81357.91011707604,78301.80654978569,75152.56733721127,71947.58499997326,68720.1616062011,65499.4896239434,62310.74098640318,59175.23960169959,56110.69502568207,53131.477839122745,50248.920205745206,47471.62796860243,44805.79335256245,42255.4998047909,39823.01268108274,37509.05135730183,35313.03991458605,33233.33483013622,31267.42912663098,29412.133221715645,27663.73330571123,26018.1284917122,24470.948257115306,23017.651856452314,21653.611456354567,20374.18074557535,19174.750724106387,18050.794290421465,16997.901136885703,16011.804340050952,15088.399902447993,14223.760371295382,13414.14353146386,12655.99704801076,11945.959819577201,11280.86069908219,10657.71514300734,10073.720265245487,9526.248695759625,9012.841577710205,8531.200978655423,8079.181941219846,7654.784355530669,7256.144799001221,6881.528457980333,6529.321219701999,6198.022001227111,5886.235364085483,5592.664448574775,5316.104249681465,5055.435246939735,4809.617392869579,4577.684458615495,4358.738730764399,4151.946049817559,3956.5311782225453
A,15472.355420276363,14853.374020949932,14549.157890467392,14449.131627225312,14481.39751423211,14599.181234745338,14772.044101925321,14980.172995421259,15210.665275948766,15455.110078399852,15708.013341885258,15965.772489949573,16226.009345741351,16487.13655113682,16748.07615642998,17008.077327609033,17266.5985632432,17523.231849420357,17777.654037631684,18029.595858774504,18278.82233335035,18525.12052144882,18768.29197979906,19008.148220682666,19244.508071100365,19477.196222832696,19706.04251847801,19930.88168322886,20151.553318427043,20367.902041285775,20579.77769892938,20787.03561276697,20989.536826839158,21187.148344824407,21379.74334724049,21567.20138456119,21749.408544475948,21926.25759298302,22097.648089827588,22263.486479229316,22423.686157048676,22578.167515616227,22726.857967453823,22869.69194908708,23006.610906104557,23137.563260572388,23262.50436186879,23500.670876996173,23938.511139268943,24640.67559555206,25660.041758513955,27046.063148062956,28851.49901559846,31137.911280948334,33980.414944077515,37472.154013279294,41728.91339215977,46894.20294617317,53145.07668808704,60698.87756479701,69821.01801951851,80833.80452058607,94126.17422303432,110164.01779540602,129500.50260283661,152785.4840500451,180772.71829870914,213847.06886379886,252096.93906944102,295663.0188688742,344641.801971842,399031.462695311,458701.4082931629,523377.8289999799,592641.8153844709,665937.9181668671,742591.1679441956,821830.3912768981,902815.5282533276,984666.7037595124,1066493.0342966241,1147419.5133089432,1226610.7450862841,1303290.7316468477,1376758.3154092105,1446398.216655143,1511687.8670317794,1572200.4277234485,1627604.4996118608,1677661.092872656,1722218.4367750618,1761205.188714373,1794622.55547907,1822535.778677702,1845065.367638695,1862378.3927446494,1874680.08429137,1882205.9194268214,1885214.3242575168,1883980.070653604,1878788.407815822,1869929.9369889034,1857696.2132035107,1842376.0398030514,1824252.40887688,1803600.0326781112,1780683.4067908626,1755755.344437037,1729055.922174912,1700811.779736383,1671235.7203700512,1640526.5623897444,1608869.1973435162,1576434.8150626544,1543381.260633901,1509853.4929250064,1475984.1185919514,1441893.9794488163,1407692.7746588509,1373479.702398939,1339344.1084656087,1305366.1317458358,1271617.3385939214,1238161.33996458,1205054.3866819807,1172345.9395051128,1140079.2117110554,1108291.6827875713,1077015.5825309423,1046278.3454079073,1016103.0354833329,986508.742556847,957510.9504088197,929121.878243333,901350.7965457091,874204.3186555348,847686.6694020634,821799.9321651349,796544.2757177749,771918.1621818094,747918.537389608,724541.004897068,701779.9848381617,679628.8587521458,658080.1014528001,637125.4009463073,616755.7673417777,596961.6316368518,577732.9352009487,559059.210721043,540929.6553196955
IH,0.0,392.0243208364468,583.4520368934565,658.6148274345505,669.3399455682764,646.930445420333,609.8385781934957,568.5589929315965,528.731156176178,493.09179354218287,462.69179973397786,437.645111794224,417.58171357859226,401.91518503977255,389.9952810354206,381.19027280618207,374.9272310982037,370.70783192967036,368.1105163593706,366.7855651285001,366.4469697882638,366.86331926466914,367.8489038497204,369.25562873698544,370.9659735705621,372.88703561846734,374.9455904215022,377.0840563680137,379.25723454015133,381.42969763253205,383.57371290963425,385.6675988724467,387.6944306478896,389.6410235756632,391.4971373446901,393.25485409378126,394.90809316385463,396.4522328254256,397.88381551158415,399.2003180803076,400.3999726161061,401.48162644297247,402.44463251613877,403.28876332156835,404.0141429485217,404.62119320062936,405.110590546088,405.4832314348852,408.76227059082436,418.73669076871516,438.9068813131453,472.1515383609237,520.7835048779132,586.7847720282793,672.1008971822039,778.9357102677759,910.0247500797552,1068.8870057740746,1260.0648050419923,1489.3652154033139,1764.1158328004153,2093.4448746889575,2488.590735946832,2963.2396534757827,3533.881555250638,4220.163159336535,5045.203798138014,6035.823761605985,7210.554607497333,8575.003585952742,10128.668333944415,11866.71890544746,13779.851735640797,15853.63048211989,18067.960336941207,20396.974431106988,22809.41854873602,25269.509630013235,27738.177229177694,30174.560797187336,32537.622747947033,34787.74282338889,36888.17825650213,38806.30144600004,40514.55746382171,41991.11372926889,43220.20072986307,44192.16402536355,44903.263224821094,45355.26324909206,45554.867591606475,45513.04338558497,45244.28491641965,44765.85681045739,44097.0514106335,43258.48758843488,42271.471043221485,41157.42943881839,39937.429806614724,38631.78065912968,37259.7172612636,35839.165475456444,34386.57745652912,32916.831114501714,31443.18456536664,29977.27662295663,28529.164626973055,27107.391441038246,25719.074192649114,24370.00818221547,23064.780294874792,21806.887155353164,20598.85413512875,19442.352126541406,18338.30972399134,17287.01908951228,16288.234326377325,15341.26164207468,14445.04095619774,13598.218906787179,12799.213438844396,12046.270329967192,11337.512129148858,10670.980064127805,10044.669518024555,9456.55969431593,8904.638086581224,8386.920351160563,7901.4661513127285,7446.3915042993485,7019.878121008977,6620.180183607309,6245.6289620650405,5894.635626627333,5565.692571326266,5257.373524169642,4968.332683088271,4697.30308331669,4443.094371697137,4204.5901363993125,3980.744916624467,3770.580995841196,3573.185063776653,3387.7048165351725,3213.3455506036003,3049.366794896963,2895.0790151751817,2749.840416908833,2613.053865791846,2484.1639394100466,2362.6541189121926
IN,408.277381713988,786.1935086957717,1032.1178708771736,1189.953313101826,1289.07863690135,1349.1975226260502,1383.551026851134,1401.0514582417588,1407.7034518626483,1407.5528616943247,1403.3221302315428,1396.836983137086,1389.3138839323112,1381.5543300192296,1374.076640479309,1367.205670724804,1361.1341131329266,1355.9645389432094,1351.7383364163227,1348.4556967669082,1346.0894580037634,1344.594716142894,1343.9155066042206,1343.9894485818247,1344.7509670228228,1346.1335173915554,1348.07110879217,1350.4993319551984,1353.3560370856387,1356.5817638774927,1360.1199962109472,1363.9172931516166,1367.9233331330543,1372.090897753559,1376.3758141701583,1380.7368697380193,1385.1357087053257,1389.536718000918,1393.9069071420874,1398.2157858290705,1402.435241729145,1406.5394201782394,1410.504606963641,1414.3091149413408,1417.9331749448431,1421.3588312289626,1424.5698415403117,1427.5515817996798,1433.4383146394637,1446.7387196078857,1472.340717030849,1515.059040814423,1579.5322819038374,1670.3291370424206,1792.171594246242,1950.2206973240295,2150.39786086177,2399.732951274792,2706.741580875021,3081.8401875989207,3537.809903799799,4090.3197687127968,4758.516754997826,5565.684123720885,6539.960221313306,7715.09629306276,9131.21371884678,10835.498440220419,12870.18033674217,15265.85343189553,18045.97593796096,21227.62002736227,24820.63525862032,28826.300693237743,33236.03966008291,38030.51843898245,43179.300506629996,48641.12299246981,54364.781404640125,60290.54758651255,66352.00393985903,72478.15391780632,78595.66294336897,84631.09215468155,90513.00583470982,96173.85804766645,101551.59126511778,106590.90670505917,111244.1906179329,115472.10150894788,119243.83963721755,122537.13196287456,125337.97328950414,127640.1681821247,129444.71897235277,130759.10347630689,131596.48260997466,131974.87349127006,131916.3183817932,131446.07436248503,130591.84327843295,129383.05646270262,127850.22421285433,126024.35603690933,123936.45434570975,121617.08154358837,119095.99832789585,116401.86939979916,113562.03165204023,110602.31916702254,107546.93896319605,104418.39130464625,101237.4284786068,98023.04619531817,94792.50212835582,91561.35655254964,88343.53051912946,85151.37750836698,81995.76499907237,78886.16287715507,75830.73606161332,72836.4391488232,69909.1112607375,67053.56962769979,64273.70074186258,61572.54818377073,58952.39645453196,56414.85034173213,53960.90951180709,51591.038158060386,49305.22964504245,47103.06617962837,44983.77360973763,42946.27150591942,40989.218721440484,39111.054655276894,37310.03646150012,35584.27245969976,33931.75200581349,32350.372082344944,30837.960862556807,29392.298495774387,28011.13535121397,26692.20794641813,25433.25277397568,24232.018227165216,23086.274811839652,21993.823818541892,20952.504615724127,19960.20071219852,19014.84472469504
D,10853.0,10853.0,10856.27605395508,10861.151823777183,10866.655711152558,10872.249225787808,10877.655469563344,10882.751745431608,10887.503057629576,10891.921538074028,10896.04218884642,10899.908794105166,10903.566090153421,10907.055721157487,10910.414430710882,10913.673528463218,10916.859044857201,10919.992222502113,10923.090139632308,10926.166351614393,10929.231491294355,10932.293801413636,10935.35959086641,10938.433616615011,10941.519398028722,10944.619472387178,10947.735600603992,10950.8689316734,10954.02013339381,10957.18949584703,10960.377013057308,10963.582447293025,10966.805379635429,10970.045249728633,10973.301387035684,10976.573035443784,10979.859372672452,10983.159525626592,10986.472582588407,10989.797602946042,10993.133625002343,10996.479672286105,10999.834758693485,11003.197892713442,11006.568080933654,11009.94433097878,11013.325653998398,11016.711066795164,11020.099593663157,11023.51552268103,11027.01480555461,11030.68264591046,11034.628303953676,11038.980367767614,11043.883988464111,11049.500575714945,11056.009956074131,11063.61481634239,11072.547250675363,11083.077312380228,11095.523583045453,11110.265879234972,11127.760299853659,11148.556860397863,11173.319948988661,11202.85175615094,11238.118655356915,11280.280222837759,11330.720165605055,11390.977054488414,11462.636318772455,11547.279189613524,11646.446535458475,11761.601477077018,11894.086494160952,12045.07613887427,12215.52880011256,12406.14168272718,12617.312961054293,12849.114307012838,13101.275930637425,13373.18510062181,13663.897988591929,13972.16371561387,14296.4587416545,14635.02925670442,14985.939001073062,15347.119933006914,15716.423330892938,16091.669215561074,16470.692356864845,16851.383544157066,17231.72521651291,17609.820938301218,17983.918550264567,18352.42711466424,18713.928000763648,19067.180624485416,19411.12346763938,19744.87106420316,20067.70766156046,20379.07825162615,20678.577628481493,20965.938072950306,21241.016197009787,21503.77940755731,21754.29237428764,21992.703813689972,22219.23383293176,22434.162015321217,22637.816374112903,22830.563254068886,23012.798220411943,23184.937942293305,23347.413052113847,23500.661942316856,23645.125446874208,23781.242344857354,23909.445617478832,24030.159387111496,24143.796466404383,24250.756447149404,24351.424261519325,24446.169152275652,24535.34399318624,24619.28490591275,24698.311124801206,24772.725066160412,24842.81256361144,24908.843235842978,24971.070957548323,25029.734408411387,25085.057678731904,25137.250913629887,25186.51098075319,25233.022149045384,25276.95676843441,25318.47594230061,25357.730186301284,25394.86006859567,25429.996827755032,25463.262965683538,25494.772813740976,25524.633070970536,25552.943313914584,25579.79647796735,25605.279310582424,25629.47279693985,25652.45255889552,25674.289228196038,25695.048795055074
R,0.0,649.3426540586355,1399.5939498296434,2203.605849735999,3034.0601448963275,3875.845933288747,4721.237103552678,5566.866926163644,6411.850725219001,7256.637740456693,8102.322719276292,8950.244617283593,9801.762392422259,10658.138233121417,11520.484477736807,12389.747050467187,13266.708769438696,14152.002527135808,15046.1284967939,15949.472083126846,16862.32089384514,17784.879933826116,18717.28475577259,19659.61259190895,20611.891636805398,21574.108711910336,22546.215554971135,23528.133964841145,24519.760007655725,25520.967461763485,26531.61065037294,27551.526784763144,28580.537918015678,29618.452589761837,30665.06722623919,31720.167346677208,32783.52861628116,33854.917777455485,34934.09348403304,36020.80705782966,37114.803182548094,38215.82054668112,39323.59244442195,40437.84734152722,41558.30941147202,42684.699045988804,43816.73334311536,44954.12657513048,46101.36228846064,47267.36793694169,48464.93565212362,49710.20763573548,51022.379009776334,52423.67613480506,53939.621225480914,55599.57688180526,57437.56428058663,59493.357816194104,61813.87167142525,64454.866949711024,67483.01958441931,70978.39767101704,75037.40044864712,79776.20772292644,85334.77525682913,91881.38516442012,99617.71704569917,108784.34258514676,119647.41422122132,132484.37359533235,147581.96138782837,165232.3979950214,185727.89824728828,209353.8694918374,236381.2673084736,267058.6494988273,301604.4772188478,340200.16703301016,382984.30996801914,430048.35819197807,481433.95280066656,537131.941903196,597083.0280268559,661179.8950648571,729270.6009570931,801162.9831889855,876629.8078418091,955414.3957016907,1037236.4765232226,1121798.0505493893,1208789.0707391107,1297892.7963472612,1388790.7057294857,1481166.8914047997,1574711.892065412,1669125.9435165056,1764121.6530750329,1859426.1197402272,1954782.5357208967,2049951.3140949612,2144710.7930178996,2238857.5695657823,2332206.5165721946,2424590.534241694,2515860.08538854,2605882.559287909,2694541.5046993396,2781735.767923082,2867378.5670104907,2951396.5286436668,3033728.7098518843,3114325.6227256474,3193148.27667239,3270167.2495525614,3345361.7962424094,3418719.000776317,3490232.976202827,3559904.114613568,3627738.3884386523,3693746.7030098424,3757944.2995383376,3820350.2070034603,3880986.7409701995,3939879.0470187217,3997054.686251902,4052543.260225036,4106376.0725956294,4158585.8248037784,4209206.343151095,4258272.334736613,4305819.169822018,4351882.688328096,4396499.028303097,4439704.474347063,4481535.324120049,4522027.77120387,4561217.802724323,4599141.110272352,4635833.012787238,4671328.390182174,4705661.6266020015,4738866.562304597,4770976.453251336,4802023.937578546,4832041.008201212,4861058.990872703,4889108.527090518,4916219.5612982465,4942421.331888701,4967742.365562802,4992210.4746438
G,635096.0,635096.0,635154.9505356665,635252.9340171423,635376.9958778386,635518.7038485594,635672.5659233178,635835.0024851641,636003.6775277578,636177.0631877497,636354.1561192134,636534.2927907892,636717.0292652857,636902.063020162,637089.1821746652,637278.2325767077,637469.09652056,637661.679031704,637855.8990686727,638051.6839144831,638248.9656326581,638447.6788559423,638647.759432232,638849.1436193708,639051.767629292,639255.5673927657,639460.4784619607,639666.4359978086,639873.3748083999,640081.2294170398,640289.9341465473,640499.4232114613,640709.6308130409,640920.4912339811,641131.9389310294,641343.9086244727,641556.3353839389,641769.1547102397,641982.3026131458,642195.715685077,642409.331170742,642623.0870327827,642836.9220134928,643050.7756926822,643264.5885417609,643478.3019741133,643691.8583918388,643929.446855803,644209.5610019384,644546.9664940005,644954.5615907517,645444.9785452184,646031.9237511731,646731.3220209671,647562.3538148424,648548.4753055661,649718.5024792836,651107.8287238221,652759.8331935444,654727.5246493669,657075.4506968315,659881.8825104248,663241.256735229,667266.8157221721,672093.3317828181,677879.7300390188,684811.3408796422,693004.6373773437,702518.9591615628,713424.9933873883,725785.5872934442,739644.3868559462,755018.8479586298,771896.2519070117,790232.1580646323,809950.9638809448,830948.2542249244,853094.5690249641,876240.1739236274,900220.4095699181,924861.2235676479,949984.5460935299,975413.2435426926,1000975.4628485198,1026508.2536394987,1051860.4205056715,1076894.6104597033,1101488.6804043835,1125536.4167052773,1148947.695315701,1171648.1782231578,1193578.6422906662,1214694.0317561699,1234962.3174096309,1254363.2351953764,1272886.9658036623,1290532.805563863,1307307.8682329513,1323225.8474822578,1338305.8612519514,1352571.391766542,1366049.328891003,1378769.1195945328,1390762.022473375,1402060.4634372797,1412697.4866479593,1422706.293474448,1432119.8614691133,1440970.6350504411,1449290.2795999134,1457109.490950644,1464457.8526899505,1471363.734255664,1477854.2234281697,1483955.0874694032,1489690.7578081577,1495084.3337978143,1500157.601664056,1504931.0653074963,1509423.9861245498,1513654.4294574854,1517639.315681751,1521394.474287255,1524934.6996132715,1528273.807157548,1531424.6896029487,1534399.3718935282,1537209.0648502072,1539864.2169479933,1542374.563985377,1544749.1764654072,1546996.5045798293,1549124.4207451802,1551140.2596851212,1553050.8560885414,1554862.5798998177,1556581.369317533,1558212.7615922142,1559761.921723316,1561233.66916166,1562632.5026265979,1563962.6231479214,1565227.9554415303,1566432.167725517,1567578.6900799668,1568670.7314497207,1569711.295384801,1570703.1946083643,1571649.0644970527,1572551.3755535763,1573412.4449463685
H,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,5193159.570621087,4938906.407057639,4684653.243494191,4430400.079930743,4176146.9163672957,3921893.752803848,3667640.5892404006,3413387.425676953,3159134.2621135055,2904881.098550058,2650627.9349866104,2396374.771423163,2142121.6078597154,1887868.4442962678,1633615.2807328203,1379362.1171693727,1125108.9536059252,870855.7900424777,616602.6264790301,362349.4629155825,108096.29935213493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
