series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,2649730.7633683486,2649612.4697953938,2649516.7442150493,2649430.084798804,2649345.5955995144,2649259.6756301457,2649170.3641820666,2649076.5129390336,2648977.3712139786,2648872.3777295128,2648761.0557039953,2648642.959623256,2648517.6478759474,2648384.6683291057,2648243.5503720148,2648093.8001846536,2647934.897603228,2647766.293765084,2647587.4091215,2647397.631611037,2647196.314889016,2646982.7765608886,2646756.296393983,2646516.1144960546,2646261.429456623,2645991.396451446,2645705.1253132727,2645401.67857405,2645080.069485505,2644739.260026609,2644378.158908069,2643995.6195856812,2643590.4382961732,2643161.3521310803,2642707.037166258,2642226.1066668057,2641717.1093895063,2641178.5280073076,2640608.7776829433,2640006.204821416,2639369.0860337876,2638695.627347464,2637983.9637009166,2637232.158763466,2636438.2051233603,2635600.024889793,2634715.4707566784,2633782.3275778578,2632798.314504806,2631761.0877388157,2630668.243949864,2629517.3244138504,2628305.8199184854,2627031.1764856908,2625690.8019548133,2665861.6683471133,2705936.6867344244,2745910.6397693953,2785776.487389603,2825525.8609219305,2865149.292081255,2904636.301356644,2943975.411368539,2983154.1197718247,3022158.850056294,3060974.890182169,3099586.3246914255,3137975.9638090646,3176125.272069303,3214014.298633296,3251621.6114254147,3288924.2373541207,3325897.611118384,3362515.5353819067,3398750.1553911194,3434571.9513908806,3469949.7524270727,3504850.7752898196,3539240.692415021,3573083.732494321,3606342.8173135845,3638979.737918876,3670955.372573383,3702229.94810359,3732763.310552295,3720935.817069323,3708457.752621889,3695309.6744732605,3681486.487209481,3666992.692146182,3651840.135056101,3636046.875502259,3619636.5331902304,3602637.810957164,3585084.0574242435,3567012.810884323,3548465.3042977983,3529485.930157857,3510121.673237287,3490421.5234808386,3470435.8828118364,3450215.9795247302,3429813.3028666936,3409279.0687563447,3388663.725607735,3368016.5071139224,3347385.03674024,3326814.9866890428,3306349.7922999095,3286030.421289409,3265895.1959368363,3245979.665292316,3226316.523712285,3206935.571495136,3187863.71307046,3169124.988058813,3150740.630534054,3132729.1519564097,3115106.443472896,3097885.893576785,3081078.517456968,3064693.0947322897,3048736.3126396867,3033212.9121158337,3018125.834570555,3003476.367489569,2989264.28731946,2975487.998376213,2962144.666778691,2949230.348639823,2936740.11195151,2924668.1517756036,2913007.8985043564,2901752.1190814795,2890893.0111814137,2880422.2904317947,2870331.2708344967,2860610.938596114,2851252.0196212516,2842245.0409533167,2833580.386469313,2825248.347148924,2817239.166245258,2809543.0796862165,2802150.3520325795,2795051.308312452,2788236.36204251,2781696.039735145,2775421.0021777293,2769402.0627562716,2763630.2030810877
E,0.0,118.29357295498222,185.63638188255334,227.75512814859354,257.59789500898114,281.71110692792985,303.4301934460256,324.4779053453784,345.76601597974417,367.7981226621617,390.8724963223679,415.1845747767673,440.8790006426379,468.0762333218936,496.88630753986115,527.4160661425636,559.7730604071545,594.0677351542146,630.4147216884388,668.9336599687351,709.7497673776505,752.9942671302192,798.8047355193853,847.3253990405751,898.7073974367615,953.1090204938496,1010.6959217448656,1071.6413094377854,1136.1261133163227,1204.33912449765,1276.4771047610777,1352.7448607543079,1433.3552779060626,1518.5293081658115,1608.4959050519453,1703.4918988696736,1803.7618043571433,1909.557552436301,2021.1381371916095,2138.7691686863277,2262.7223217675846,2393.274670626094,2530.7078985854596,2675.3073724240817,2827.3610705073966,2987.158354159724,3154.9885720665234,3331.1394881041,3515.895523881274,3709.535808482989,3912.3320294657447,4124.54608110323,4346.42750824867,4578.210746993087,4820.112166573843,5072.326920732696,5359.874526466352,5679.49474249083,6030.532288667599,6413.817720210602,6831.081925051217,7284.651716292679,7777.293491701815,8312.13485888587,8892.627167932866,9522.52919873032,10205.90128646608,10947.103866675798,11750.79684446917,12621.937423567044,13565.774637674966,14587.839109372388,15693.926680662664,16890.0746033193,18182.528998229795,19577.70232468166,21082.119667356506,22702.352770337005,24444.940940347085,26316.298219641925,28322.606602866355,30469.695547422805,32762.90860258285,35206.95864969129,37805.77398559513,40562.33813177138,43308.076954322874,46065.0305642804,48835.60355529985,51612.02684521084,54381.05096966367,57126.39168458774,59830.111763873225,62473.494618635195,65037.66864118118,67504.1005118165,69855.00903583487,72073.71981713877,74144.96695167992,76055.14218852142,77792.4903941848,79347.25053231356,80711.74262833351,81880.40273111899,82849.76938086493,83618.42636420579,84186.90749469001,84557.56976827786,84734.4415178194,84723.05216103139,84530.24985192459,84164.01286167403,83633.25988844714,82947.66378038413,82117.47239936501,81153.33959530566,80066.16853306908,78866.96894001403,77566.72923749893,76176.3039934682,74706.31668921381,73167.07743082162,71568.51495072167,69920.12203093927,68230.91332945444,66509.39449616373,64763.54141677364,63000.78841325236,61228.02425046034,59451.59484322196,57677.31162015432,55910.46457465274,54155.839115012495,52417.73591100991,50699.9930203802,49006.009663183635,47338.77109329163,45700.874092891696,44094.552687161064,42521.70374158771,40983.91216359369,39482.47548311924,38018.427633801555,36592.56179759003,35205.45221142503,33857.4748653667,32548.827047720155,31279.545714700704,30049.524680451497,28858.530638186374,27706.218035281396
I,96.52463406546788,62.21321117810528,46.79218355369183,40.66351046072013,39.09672357223339,39.77556739663375,41.577578375176685,43.96803207625917,46.699765394202394,49.665067576080546,52.82301224556872,56.16409905645672,59.693263810592704,63.421872562516626,67.36406743444428,71.53518992034151,75.95117393135159,80.6283752978281,85.5835855250945,90.83411382203938,96.39788649462884,102.2935431926879,108.54052318604523,115.15914062155558,122.17064984179899,129.59730236978396,137.46239703675468,145.79032438386758,154.60660608662977,163.93792980269632,173.81217954753453,184.25846145673864,195.30712458971288,206.98977625729606,219.3392912071434,232.38981386862326,246.17675273878302,260.7367658793538,276.1077363899142,292.328736623436,309.4399798176435,327.4827577298663,346.4993627859878,366.53299318795405,387.6276393719479,409.8279501741564,433.179077046963,457.7264946797667,483.51579642026326,510.59246296907816,539.0016029385158,568.7876640304327,599.9941138043623,632.6630892803169,666.8350149559988,702.548189219606,739.8383396100622,780.144252446775,824.2087869048261,872.4736596643238,925.2705691840836,982.9112500487033,1045.7282906142254,1114.0925945736944,1188.42020056266,1269.174557478264,1356.8670679228553,1452.0571060553254,1555.3519467666665,1667.4066843382802,1788.9240571681705,1920.6540253527191,2063.3929189193477,2217.9819625506802,2385.3049774248775,2566.2850586270115,2761.8800269840804,2973.0764582137535,3200.88210175668,3446.31651868852,3710.3997948239385,3994.139223501864,4298.513904167559,4624.457268718112,4972.837627770495,5344.436922559588,5739.9279652686455,6150.205439330173,6570.647842838745,6998.412536891015,7431.227727228037,7866.879433338359,8303.019210940489,8737.118413624528,9166.488147791568,9588.327463487112,9999.78232927864,10398.007060901344,10780.223983607033,11143.778958132516,11486.191268032184,11805.196834237888,12098.784045723722,12365.221774511992,12603.079410586792,12811.239009304667,12988.89988152008,13135.576163959184,13251.08807560281,13335.54768978855,13389.340129965021,13413.10113134627,13407.691905445812,13374.172205624258,13313.772426269925,13227.865483194833,13117.939125133204,12985.569222086539,12832.394470993175,12660.092857134845,12470.36011413333,12264.89033867286,12045.35883967471,11813.407236269948,11570.630764677164,11318.56771063454,11058.690850655,10792.40076113299,10521.020838158649,10245.793861659404,9967.879934062277,9688.355624972935,9408.214158399369,9128.366486907486,8849.643106990823,8572.796481187115,8298.503944510263,8027.370985120891,7759.934801459903,7496.668050029745,7237.982709413707,6984.233996823312,6735.72428335951,6492.706963209594,6255.390240157656,6023.940802068129,5798.487360435807,5579.124037722813,5365.913590074628,5158.890457180913,4958.06363458346
A,312.7562604849093,269.09900818756336,253.2248072670306,251.91369260970095,258.50801847852205,269.65348768778034,283.6643045650445,299.70153870141394,317.35922930103834,336.45525571970717,356.9252532925576,378.7685295690879,402.0203220559362,426.73746955810304,452.99096291621106,480.8620581892234,510.4402585181519,541.822292816299,575.1116376606677,610.4183429811363,647.8590328254016,687.5570103003666,729.6424264131604,774.2524890109022,821.5316970322758,871.6320902892315,924.7135077981368,980.9438492332245,1040.499334897815,1103.5647599855497,1170.333738996037,1241.0089360707816,1315.8022767824416,1394.9351365785321,1478.6385006726027,1567.1530897075647,1660.7294449991768,1759.6279666126384,1864.1188969409477,1974.48224184949,2091.0076208373325,2213.99403705336,2343.7495574078566,2480.5908924526884,2624.8428651834656,2776.837757465223,2936.914522422157,3105.4178508876435,3282.697079911709,3469.1049314006045,3664.9960692508243,3870.725463873454,4086.646553821046,4313.109195365783,4550.457392371312,4799.026800686234,5059.142003596292,5335.669575879498,5632.199011783446,5951.698607717124,6296.874600677317,6670.372823759918,7074.896400059174,7513.27834297147,7988.529652380506,8503.873827559302,9062.773571548343,9668.95269082057,10326.414671235858,11039.45854534977,11812.692146781128,12651.04251175275,13559.762950998327,14544.436133190917,15610.972372486895,16765.602188817615,18014.8621087231,19365.57260001159,20824.806991703237,22399.85023009974,24098.146372298404,25927.233830454228,27894.667563578376,30007.92767708648,32274.31423927873,34700.828559828704,37294.041669646176,40028.69948415881,42887.11413364423,45854.50765530722,48916.74047127745,52059.21745549314,55266.39509972782,58521.61082470601,61807.0962945524,65104.10334544221,68393.10278326525,71654.03130791083,74866.56899870328,78010.43338114036,81065.6781286205,84012.98590693546,86833.9461894285,89511.31023715509,92029.21689686552,94373.3843990317,96531.26488724588,98492.15991866484,100247.29658509907,101789.86516775322,103115.02032027612,104219.84865326935,105103.30626053286,105766.13018646844,106210.72809795945,106441.05051239161,106462.44987053493,106281.53055543381,105905.99367347363,105344.48005772084,104606.41455079026,103701.85419646815,102641.3425345638,101435.7717671215,100096.25415809327,98634.00365168067,97060.22835287024,95386.03421086726,93622.33998380404,91779.80334123764,89868.75777824543,87899.15986910083,85880.54627662522,83821.9998520007,81732.12410551506,79619.0252977675,77490.3013897432,75353.03709549128,73213.80429978148,71078.66713221646,68953.19102629449,66842.45513461769,64751.067517898846,62683.182574005594,60642.5202226403,58632.38641028406,56655.69454785959,54714.98753951388,52812.460104487946,50949.981134874775,49129.1158699442
IH,0.0,19.299928100679185,22.247376437633342,20.661821923713035,18.630647856366153,17.2851571015941,16.73713095342736,16.818940533767112,17.338481974912682,18.148710931857398,19.15336493340611,20.295341569740962,21.54372261018184,22.88378274307435,24.31031139137171,25.823488304085316,27.426472331476702,29.124054714538907,30.921940614607742,32.82638674710521,34.844033633500075,36.98184022763384,39.24706993809737,41.6473007757574,44.190445558096016,46.88477523713319,49.7389421483434,52.76200184839833,55.963433090841065,59.35315586029286,62.94154750494201,66.7394570084109,70.75821739364986,75.00965618608345,79.50610379556753,84.26039961258437,89.28589555510769,94.59645674855412,100.20645897147729,106.13078245340768,112.3848015679632,118.98436992380756,125.94580031828205,133.2858389839404,141.02163352741067,149.17069393388374,157.75084599021932,166.7801764665196,176.27696939161785,186.25963276401578,196.7466150583022,207.75631092005779,219.30695549184395,231.41650688129192,244.10251637172033,257.38198608819357,271.27121396936445,285.7856260593903,301.2207444137472,317.8752826107717,335.98936321273914,355.7513356926722,377.3192474160515,400.8399163115213,426.46211474669366,454.3446329590845,484.6608317259698,517.6010646287029,553.3739125832187,592.2067970501095,634.346275395362,680.0581559429079,729.6274719809655,783.3582982430662,841.5733626674873,904.613389585857,972.8361015950461,1046.6148029248316,1126.336465663935,1212.3992413656797,1305.2093245477045,1405.177101971294,1512.712533005199,1628.219722504548,1752.0906689971157,1884.698197859274,2026.3881215339077,2177.470704706539,2336.283027813877,2501.055957128263,2670.3220628340605,2842.881376229772,3017.6814084015427,3193.7177318295035,3369.9743120346766,3545.3971749032025,3718.890660456418,3889.327310990107,4055.5651786377994,4216.468550214671,4370.9295816142,4517.889266991772,4656.356735687265,4785.426222931108,4904.291295672336,5012.25608789245,5108.743439089303,5193.299947929219,5265.598054643554,5325.435351003172,5372.7313848142785,5407.52227613214,5429.953494788396,5440.271164239006,5438.812256804658,5425.994032308823,5402.303048475378,5368.284039898561,5324.528925541928,5271.6661649454745,5210.350642697868,5141.254220980236,5065.057062448206,4982.439791363899,4894.076530358108,4800.628823842209,4702.740437003968,4601.033001423535,4496.102464403692,4388.516288789419,4278.811342961263,4167.492416398401,4055.031294288472,3941.866324692155,3828.402413357694,3715.0113840656445,3602.0326460489578,3489.774114302499,3378.51333323581,3268.498758940367,3159.951160182206,3053.0651029707096,2948.010488102552,2844.9341153697032,2743.961252107273,2645.197187413789,2548.7287566908244,2454.6258241196165,2362.94271332711,2273.7195788069366,2186.983712670766
IN,15.011494786683414,27.38710002234084,32.25354858033073,33.86721495788471,34.244405175022386,34.31169759744767,34.47274772538158,34.885767277127776,35.59802709884698,36.61005891767381,37.905549935922586,39.46468687993731,41.26965802450207,43.30654684543398,45.56564808755013,48.04116003557782,50.730685612165736,53.63472668532674,56.756240655335226,60.100277040450266,63.67369063213767,67.48492047543364,71.54382262674136,75.86154569557357,80.45043994405559,85.32399250612791,90.49678284395182,95.98445382165579,101.80369476362469,107.97223361888999,114.50883592090926,121.43330865401767,128.76650744751453,136.53034574191545,144.74780472943888,153.44294297753754,162.6409047117465,172.36792577104043,182.65133626197826,193.5195589323929,205.00210226545516,217.12954726407787,229.93352685684778,243.44669681271665,257.70269700515877,272.7361018200037,288.58235845735084,305.27771183966615,322.85911480835233,341.36412227298194,360.83076797444477,381.2974225391682,402.80263154022924,425.3849323466568,449.08264863871057,473.933661598613,499.97515695721324,527.2433472912298,555.9918463653198,586.5452648787898,619.2399103837087,654.4046234028333,692.3589837974753,733.4181800351237,777.8997390752216,826.1301351286999,878.4505918333381,935.2219501332274,996.8286841766459,1063.6822010421542,1136.2235484108844,1214.9256195362777,1300.2949053456646,1392.8728064211423,1493.2364851732314,1601.9992109707532,1719.8101279404443,1847.353356209113,1985.3463223741755,2134.537204107308,2295.7013674734085,2469.63667448959,2657.157543545522,2859.087657537032,3076.2512348890177,3309.4628078706573,3559.515491249445,3827.1677712888545,4111.628893284449,4411.528217070358,4725.293688399305,5051.275983188046,5387.771066621134,5733.008888102785,6085.136948056319,6442.209853641285,6802.188203027227,7162.946837342389,7522.291197023712,7877.980084810686,8227.753067142212,8569.360822573066,8900.59688199014,9219.329367898277,9523.531517449099,9811.309961714525,10080.929928526002,10330.836733767163,10559.673121125028,10766.29219732399,10949.765883323518,11109.388957125022,11244.678897088834,11355.371843699962,11441.415081571611,11502.956502413588,11540.331545056897,11554.04812258676,11544.770041949558,11513.299401164386,11460.558416714997,11387.571091997948,11295.445089838708,11185.354120744763,11058.521106069464,10916.202323547443,10759.672693271463,10590.212316270809,10409.09433623309,10217.574158085808,10016.880025358249,9808.20493149883,9592.699818476274,9371.46799876498,9145.56072383437,8915.97381309942,8683.645251485694,8449.453660849122,8214.217550010675,7978.695249683322,7743.585441679552,7509.528196126236,7277.106435654263,7046.847751389799,6819.226501809936,6594.666131934785,6373.54165674441,6156.182258999304,5942.873957703979,5733.8623092075095,5529.355108327874
D,979.0,979.0,979.2742154362728,979.5903085327832,979.883873901703,980.1485801329039,980.3941694880006,980.6319724291518,980.8709377295434,981.1172847301258,981.3751435501176,981.6472766012828,981.9356349782581,982.2417304861623,982.5668657113159,982.9122692076055,983.2791720828106,983.668850325992,984.0826480006735,984.5219902299194,984.9883910328738,985.4834587779178,986.0089007069909,986.566527261316,987.1582565513027,987.7861191135148,988.4522629990846,989.158959192449,989.9086073403597,990.7037417647097,991.5470377315908,992.4413179495646,993.3895592707086,994.3948995678987,995.4606447607534,996.5902759606689,997.7874567024704,999.0560402264573,1000.4000767701092,1001.8238208235003,1003.3317382965924,1004.9285135400871,1006.6190561544482,1008.4085075141033,1010.3022469257379,1012.3058973310606,1014.4253304555166,1016.6666712952315,1019.0363018250889,1021.5408638014038,1024.1872605232963,1026.9826574077808,1029.9344812249572,1033.0504178317751,1036.3384082358923,1039.8066428154714,1043.4635535166803,1047.3178038485378,1051.378276494942,1055.658052948665,1060.1744588568502,1064.9482315536077,1070.002784462443,1075.363776560682,1081.0589528304347,1087.1181720274728,1093.5735490161935,1100.4596617894015,1107.8137929038817,1115.6761884563118,1124.0903257717305,1133.1031852885208,1142.7655240780734,1153.1321489951295,1164.2621872206653,1176.2193512886145,1189.0721947805437,1202.894353838817,1217.7647685520988,1233.7678771497494,1250.9937748408513,1269.538328089503,1289.5032341786646,1310.996015137718,1334.1299345609139,1359.0238255993818,1385.8018185469505,1414.5929570375088,1445.5306929786786,1478.7248513396216,1514.2601210488656,1552.200341635656,1592.5923033459837,1635.467842551131,1680.8445246090832,1728.7254789516153,1779.0988600339147,1831.9372550573692,1887.1972321840922,1944.819134659152,2004.727169393594,2066.8298029312764,2131.0204553481017,2197.178468323985,2265.170314336419,2334.851007976124,2406.0656768952344,2478.6512483879314,2552.4382077739037,2627.2523863687225,2702.916739650257,2779.25308002303,2856.0837330891604,2933.2330913016453,3010.5290440617864,3087.804268509547,3164.897370256952,3241.6538679800447,3317.9270200020655,3393.578494694001,3468.4788896469904,3542.508107122234,3615.5555952704376,3687.5204660658405,3758.311501864767,3827.8470630297575,3896.054909216885,3962.87194676665,4028.2439142273256,4092.125017430003,4154.47752477838,4215.271332559348,4274.48350916254,4332.09782615184,4388.104283187115,4442.498632872274,4495.281910723148,4546.459974618137,4596.043057324718,4644.045334990932,4690.484513855461,4735.381436863151,4778.759711373456,4820.645358714465,4861.066485961363,4900.052980000986,4937.636223678914,4973.848833607364,5008.724419036296,5042.29736105155,5074.602611258293
R,0.0,46.29314184837194,97.88302947899103,149.5192822482019,200.49859417812766,251.49453069552536,303.4154510660127,357.0586622891632,413.0520862287427,471.8835276353707,533.9452334104913,599.5716259761859,669.0662796163061,742.7197930631409,820.8212225905145,903.6653412332292,991.5573315747577,1084.8159576080966,1183.7758620413226,1288.7893758594503,1400.2280666738288,1518.484156693409,1643.971885312653,1777.1288592256626,1918.4174146986609,2068.3260062297186,2227.370629841793,2396.0962857182267,2575.0784826848385,2764.9247855467434,2966.276405154555,3179.8098301105756,3406.2384981225277,3646.3145041080747,3900.8303412107343,4170.620669883531,4456.564109115229,4759.585042703987,5080.655432216541,5420.796626901204,5781.081159345782,6162.634514084444,6566.636854660245,6994.324692844421,7446.992481804562,7925.994113009276,8432.744294568804,8968.71978655506,9535.460466641523,10134.570197179146,10767.7174626108,11436.63574396153,12143.123595069692,12889.044383296332,13676.325655725139,14506.958090408574,15382.993991098972,16306.545283204678,17280.416937359765,18308.1006526089,19393.70213492543,20541.878587128962,21757.804238909648,23047.162245313433,24416.156683631038,25871.538742377816,27420.642739468538,29071.4290612161,30832.532169922073,32713.312499237374,34723.91143669679,36875.308772923956,39179.38204489779,41648.96716161678,44297.91960289804,47141.175343345174,50194.81048472165,53476.09838879628,57003.5628957097,60797.02599673053,64877.64811264613,69267.95891925239,73991.876470593,79074.71221174594,84543.15936072276,90425.26208929722,96750.36296165199,103549.0262100465,110848.57224876838,118672.91939497988,127042.83750755708,135976.14582737748,145487.76356096845,155589.63832749584,166290.6013116404,177596.1928915442,189508.49143441467,202025.96785691145,215143.38082498623,228851.7218257915,243138.21518328524,257986.3749133958,273376.1178009042,289283.930045825,305683.0831805992,322543.8936600619,339834.0195559029,357518.7871340806,375561.5397421361,393924.0013614311,412566.647357319,431449.0753522232,450530.3697124321,469769.4538372557,489125.42522761656,508557.86915117217,528027.1475775288,547494.6608996995,566923.0807617538,586276.5530581963,605520.8708439438,624623.6174857562,643554.2808919046,662284.34007577,680787.3256430367,699038.8560456419,717016.6516248581,734700.5285781827,752072.3750381309,769116.1114538622,785817.6374270396,802164.7670793228,818147.1549277888,833756.2141231031,848985.0287694308,863828.2619001395,878282.0605338104,892343.9590847226,906012.782253885,919288.5483833451,932172.3741197782,944666.3811046656,956773.6052886619,968497.9093576145,979843.8986574293,990816.8409145897,1001422.5899684703,1011667.5136603013,1021558.4259612991,1031102.52336853,1040307.3255509557
G,57536.0,57536.0,57542.693780875816,57553.19823375403,57566.0860253989,57580.66250508574,57596.60345921329,57613.77341338154,57632.13437706849,57651.69995351916,57672.512242624456,57694.630222286476,57718.123929485875,57743.07158597584,57769.55822984641,57797.675125631875,57827.51958369459,57859.19500031235,57892.81102141291,57928.48377947119,57966.33617692979,58006.498201804105,58049.10726752938,58094.30857245714,58142.255476164675,58193.10989064929,58247.04268492189,58304.23410169327,58364.87418486652,58429.163216466986,58497.31216148727,58569.54311891656,58646.08977696893,58727.1978702307,58813.12563611396,58904.144267634765,59000.538359130376,59102.60634109193,59210.66089981793,59325.029377091574,59446.05414455371,59574.09294688576,59709.51920733791,59852.72228854233,60004.10770094579,60164.09725058935,60333.12911736477,60511.65785429929,60700.15429787733,60899.1053789144,61109.01382307337,61330.397729776865,61563.790018042826,61809.73772767805,62068.80116433112,62341.55287715823,62628.57645831948,62931.87125875382,63253.25214481483,63594.49690305922,63957.43031798674,64343.97511842537,64756.185698657595,65196.27299283537,65666.6249144635,66169.82467574844,66708.66818387495,67286.18110486715,67905.6358451195,68570.56849723465,69284.79566301483,70052.43096700455,70877.90099052807,71765.9602794422,72721.70500459195,73750.58478091487,74858.41207989492,76051.36860260276,77336.00791997288,78719.25363729746,80208.39230598918,81811.06029289443,83535.22383155905,85389.15152654558,87381.37866634729,89520.66282675209,91815.93040961775,94266.56885128215,96873.21275367327,99636.63278547763,102557.15999273484,105634.37568496997,108866.93970861578,112252.49691108099,115787.63303959153,119467.86596926911,123287.66484555523,127240.4926440877,131318.868800201,135514.4489101044,139818.11853113194,144220.09804257198,148710.05548399687,153277.22431459013,157910.52315082058,162598.67473838516,167330.3216848828,172094.13680437955,176878.92628432845,181673.724260132,186467.87775579392,191251.1213061623,196013.64090593797,200746.12722484113,205439.81828207412,210086.53198414977,214678.6890982017,219209.32735976353,223672.1075027331,228061.31205374733,232371.83775792946,236599.18250257918,240739.4275844682,244789.21612936378,248745.7284232624,252606.65485717883,256370.16712432538,260034.8882427824,263599.8619104777,267064.52163419605,270428.6600117721,273692.39848756004,276856.1578464083,279920.62966111896,282886.7488629486,285755.66756416234,288528.730225888,291207.4502333529,293793.4879137567,296288.63000923983,298694.77059830603,301013.8934433086,303248.05572885764,305399.3731459135,307470.00626856944,309462.14816479106,311378.01317838347,313219.8268169423,314989.81667927426,316690.2043555344,318323.1982339391
H,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1247387.8118464227,1205808.216965446,1164228.6220844693,1122649.0272034926,1081069.4323225159,1039489.8374415392,997910.2425605624,956330.6476795857,914751.052798609,873171.4579176323,831591.8630366556,790012.2681556789,748432.6732747022,706853.0783937254,665273.4835127487,623693.888631772,582114.2937507953,540534.6988698186,498955.1039888419,457375.50910786516,415795.91422688845,374216.31934591173,332636.724464935,291057.1295839583,249477.53470298156,207897.93982200482,166318.34494102807,124738.75006005133,83159.15517907459,41579.560298097844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
