series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,586681.738608044,586454.6762764524,586256.4353157987,586073.3963450625,585896.9682886943,585721.6759232854,585543.977569151,585361.5316598008,585172.7407890739,584976.4678873776,584771.8594217461,584558.2352450024,584335.0200006365,584101.7004657141,583857.7991030567,583602.857759058,583336.4277267393,583058.063816885,582767.3209676149,582463.7524763016,582146.9092830034,581816.3399498701,581471.5911151326,581112.208283754,580737.7368686165,580347.7234280905,579941.7170653916,579519.270966902,579079.944063492,578623.3028026547,578148.9230210786,577656.3919078578,577145.3100483242,576615.2935377789,576065.9761533972,575497.0115714004,574908.0756153439,574298.8685201152,573669.1171950394,573018.5774683873,572347.0362946268,571654.3139049807,570940.2658812874,570204.7851328335,569447.8037557661,568669.2947549128,567869.2736083546,567047.7996559159,566204.9772938637,565340.9569595259,564455.9358912512,593235.264188345,621937.2181774848,650559.2889315643,679096.7720896731,707543.0605559524,735889.8295765647,764127.1327168337,792243.4259298068,820225.5344331232,848058.5744499835,875725.8395152556,903208.6592208095,930486.2370455931,957535.4732779157,984330.7789448531,1010843.8870551977,1037043.66826801,1062895.9592399695,1088363.4132892473,1113405.3845288758,1137977.8581284413,1162033.440686985,1185521.4256371919,1208387.9489197177,1230576.2496234798,1252027.0486518866,1272679.0555606962,1292469.6094194981,1311335.4538992168,1329213.6399633458,1316357.436358291,1302798.5876696983,1288526.5260593279,1273559.190748913,1257933.771371441,1241701.095843644,1224921.8913123794,1207664.0190235174,1190000.2380416994,1172006.2883069774,1153759.203134322,1135335.8190153493,1116811.4755257138,1098258.9061179685,1079747.320293973,1061341.67387546,1043102.1193893704,1025083.6242616567,1007335.7411562382,989902.5125854932,972822.4908151714,956128.8539401321,939849.599624074,924007.7991771541,908621.8962062832,893706.0358559793,879270.4125344355,865321.6258904976,851863.0365997113,838895.1151816014,826415.778574971,814420.7105274474,802903.6630054836,791856.7368057169,781270.6403580154,771134.9263684595,761438.2064727483,752168.3444737478,743312.6290376543,734857.9269373603,726790.8180737159,719097.7135887329,711764.9584211145,704778.9196540026,698126.0619762499,691793.0115291865,685766.6093468448,680033.9555238967,674582.4451661302,669399.797096288,664474.0762059224,659793.7102634205,655347.50191084,651124.6365085942,647114.6864179338,643307.6122469419,639693.7615265218,636263.8652286296,633009.0324896508,629920.7438571645,626990.8433381192,624211.5294903895,621575.3457674842,619075.1702975305,616704.2052522621,614455.9659392908,612324.2697311646,610303.2249273367,608387.2196299501,606570.9107010377
E,0.0,227.0623315916707,379.87969386002027,486.9241016599306,565.9434655213415,628.0193916096927,680.0830778418624,726.4790295440533,769.9384776522731,812.1859364445078,854.3173961692108,897.0362095039749,940.8002334410347,985.9135975510665,1032.5839048246287,1080.9578439037948,1131.1433118832044,1183.2231033855346,1237.2633227143667,1293.318490818808,1351.4345790997363,1411.6507403322898,1474.0002187361465,1538.510741324772,1605.20458043061,1674.0984073397733,1745.2030134180554,1818.5229480627982,1894.0561060806522,1971.7932867974264,2051.7177409292444,2133.8047174646513,2218.0210205704293,2304.32458523769,2392.664079647835,2482.9785418165684,2575.1970578112328,2669.2384886298187,2765.0112526112875,2862.413169971258,2961.3313756945518,3061.6423065472936,3163.211767384772,3265.895081222189,3369.5373267041878,3473.973665661144,3579.029762385591,3684.5222951148785,3790.259558984276,3896.042158439368,4001.663785791928,4106.912081295624,4268.479865699091,4477.609407182405,4729.490383454426,5022.177507463787,5355.832302918645,5732.205661705599,6154.295823770073,6626.131969483288,7152.646240044347,7739.606794939941,8393.591821964623,9121.989661770514,9933.013815293769,10835.723941837943,11840.045342965808,12956.780123056988,14197.603438407157,15575.038180169146,17102.401252450727,18793.714469103405,20663.57316431318,22726.966056227153,24999.040876548268,27494.811919737385,30228.80807077418,33214.66307299228,36464.653738812754,39989.19631494892,43796.31599553037,47891.109222254476,51869.388133871726,55765.02914393056,59576.6246624547,63283.79827521837,66856.61156607994,70261.21603977647,73463.40046055664,76430.89969830532,79134.9223553653,81551.14335023286,83660.30063363341,85448.48242645839,86907.16611056855,88033.05795998013,88827.77683551224,89297.42104124499,89452.0540224531,89305.14080401338,88872.96289722632,88174.03495953498,87228.5419800763,86057.81139172114,84683.83044869885,83128.8155796817,81414.83730080695,79563.50167926938,77595.68726890293,75531.3348624727,73389.28627258468,71187.16760629785,68941.31207628909,66666.71723311432,64377.03155175676,62084.5655098355,59800.32260969431,57534.046184126164,55294.278254517616,53088.42715586211,50922.841086253604,48802.88516498018,46733.019983277365,44716.87999875503,42757.350454877924,40856.641799253775,39016.36082912066,37237.57801079121,35520.89060419503,33866.48137687787,32274.172816961254,30743.47685483565,29273.640181906936,27863.68531456129,26512.447595474812,25218.608355049582,23980.724475425006,22797.254610243184,21666.582316931945,20587.03635625244,19556.908407555162,18574.46843870398,17637.977957881227,16745.701361230793,15895.915576139836,15086.91818538786,14317.034202783816,13584.621656557561,12888.076122887458,12225.83433868591,11596.377010234315
I,259.98293649625816,233.4759373140311,221.0214661135271,217.47555665834633,219.64190967082354,225.53725892690076,233.93447181629617,244.077993710266,255.50646873831036,267.94210294991393,281.221627101952,295.25320262906195,309.9895123844528,325.41095000977896,341.5151103994939,358.3102109300652,375.81096355571253,394.0359736043063,413.0060880470205,432.7433326637199,453.27021284872706,474.60923735228323,496.7825771018303,519.8118042996158,543.7176776830674,568.5199528047,594.237204339022,620.886652566617,648.4839894519562,677.043201828361,706.5763905720601,737.0935855625124,768.6025568591637,801.1086229814415,834.6144575240876,869.1198956131719,904.6217419324599,941.1135822381116,978.5856004384633,1017.024403447288,1056.412856123381,1096.7299286849961,1137.9505590321862,1180.0455324207744,1222.9813809058203,1266.7203049076747,1311.2201191481654,1356.434225056944,1402.3116115582197,1448.7968859165594,1495.8303360487496,1543.348025399528,1591.2819211359356,1642.4047802637635,1698.7688937426074,1761.9768584551955,1833.3706384858397,1914.1634496466418,2005.5323325536713,2108.6841910043922,2224.904279925613,2355.5933524489,2502.297673396186,2666.7346735518654,2850.8159945360226,3056.6689342615427,3286.656755495891,3543.397897753106,3829.7837882777458,4148.994649586967,4504.512429826738,4900.12972944297,5339.953363796123,5828.400994898288,6370.189102251055,6970.310464872628,7633.999320705834,8366.682484535308,9173.914968843865,10061.299085505212,11034.386620857089,12098.564467705926,13258.92504039107,14499.83776964,15808.959077308951,17175.133535657722,18587.324549780074,20034.124274545182,21503.59601640544,22983.31002104451,24460.49102246603,25922.227108584535,27355.706906967847,28748.462415420647,30088.60143227235,31365.018232842493,32567.574754817277,33687.24749969178,34716.23780546798,35648.04516835523,36477.50491858268,37200.79280837999,37815.399973272775,38320.08231333777,38714.78864831333,39000.57207336287,39179.48882634806,39254.48871712192,39229.30080589315,39108.31758787947,38896.48047664568,38599.16890446644,38222.09489500103,37771.20452661959,37252.58730440952,36672.394101825674,36036.7640224947,35351.76026962104,34623.31489357186,33857.18211490483,33058.89978673653,32233.7584627331,31386.777470660218,30522.687351841127,29645.918009661626,28760.59191131964,27870.521702582457,26979.21162202141,26089.86213609284,25205.377256991742,24328.374049285536,23461.193877177815,22605.914990432197,21764.366092384822,20938.14057723499,20128.611165300237,19336.944703720386,18564.116935920687,17810.927075853408,17078.01205259082,16365.860317282031,15674.825127914906,15005.137247890347,14356.91701229814,13730.185731179801,13124.87641218261,12540.843796061947,11977.873707684774,11435.691732727773,10913.971236341476,10412.340744847046
A,780.4928251785675,677.1288546656797,621.5274488054062,596.2217920577251,590.3308668993426,597.0779783013635,612.2468358267629,633.2196460295821,658.3772500876992,686.7247777260136,717.6578991998548,750.8167862079774,785.994811190898,823.0814185086772,862.0263324441194,902.8170890169306,945.4648874303175,989.9956350825369,1036.4442327481156,1084.8508789489408,1135.2586301191548,1187.711739149569,1242.2544737129579,1298.9302276513422,1357.7808087730286,1418.8458303524153,1482.1621612520514,1547.7634070187155,1615.6794053701387,1685.9357265772605,1758.5531738517152,1833.547281901283,1910.9278138975726,1990.698258570398,2072.8553302242894,2157.388475299813,2244.2793897568026,2333.50155208493,2425.019777174329,2518.789796616881,2614.7578712605496,2712.860442003187,2813.023824884194,2915.1639565068326,3019.1861956953976,3124.9851870551356,3232.444791755558,3341.438090398256,3451.827462259499,3563.464744519304,3676.191474308549,3789.8392155331303,3904.229971480881,4027.71680846088,4166.232350032658,4324.201686287004,4505.171958439054,4712.244783488492,4948.373762106446,5216.571261755377,5520.055339883532,5862.358004466437,6247.409091553378,6679.605134422919,7163.869130794763,7705.704646874832,8311.24590720619,8987.304174718534,9741.409663257149,10581.847336587018,11517.684167231437,12558.784723641733,13715.811322004112,15000.204441263819,16424.13870008061,18000.449493635344,19742.525460214627,21664.162370919505,23779.37488377426,26102.163930590592,28646.239332867164,31424.699546431333,34449.673130045616,37671.02879581967,41050.35794814222,44554.12737733286,48150.187074499,51806.1521464791,55488.84716467506,59164.35642511185,62798.41402453324,66356.97151720802,69806.8393445477,73116.33286243933,76255.87591620572,79198.53031764475,81920.43115077582,84401.11696249823,86623.75122591777,88575.23729667802,90246.23357543995,91631.07886154013,92727.64005463477,93537.09556828116,94063.66821056762,94314.32101677064,94298.42874004837,94027.43656136608,93514.51619740865,92774.22807536427,91822.19669694753,90674.80480233266,89348.91052109993,87861.5903988984,86229.91003832432,84470.72310193759,82600.49859658859,80635.17568647809,78590.04475774236,76479.65306658391,74317.73303082671,72117.15105517628,69889.87469732965,67646.95596997195,65398.52861825663,63153.81730060241,60921.15672106391,58708.01890422091,56521.046960090775,54366.09385006364,52248.264829694686,50171.96240597267,48140.932802089344,46158.31306934608,44226.67812200954,42348.08709566683,40524.12854244907,38755.964077322096,37044.370178728415,35389.7779246911,33792.31051270647,32251.818469121525,30767.912502040046,29339.99399198377,27967.283147406597,26648.844878553795,25383.612463870002,24170.409098936423,23007.96742945105,21894.94717768796,20829.95097675509
IH,0.0,15.434672348622438,23.734329382084944,28.304096428152192,31.016793266302127,32.8806762585041,34.42296907170544,35.90807623134033,37.46027750738355,39.13168299328427,40.939134646125126,42.88371303785058,44.96065712004877,47.16411219712689,49.48916911868837,51.9325447895468,54.492626913029945,57.16925754708511,59.963440220073466,62.87705451723758,65.91261040761921,69.07304958094807,72.36159009134485,75.78160672315623,79.33653897354046,83.02981944166073,86.86481675703514,90.84478852238294,94.97284091058262,99.25189249404451,103.68464060975194,108.27352910821128,113.02071673750663,117.92804570899833,122.99701020724109,128.22872476539294,133.6238925451219,139.18277364865017,144.90515365845175,150.7903126529642,156.83699498829537,163.04338016873118,169.40705515433922,175.92498847291412,182.5935065162647,189.40827240746694,196.36426782609914,203.45577817245965,210.67638143916216,218.0189411391712,225.47560361322826,233.03780000678495,240.69625316720163,248.44098966642537,256.4302427494886,264.88707226830866,274.04930922183127,284.148760233693,295.4057346962016,308.0310397478941,322.23117699808927,338.21454542602737,356.19761462943245,376.4106555989441,399.10292965070096,424.5473758360905,453.04488258080204,484.92822586646423,520.565728997532,560.3646611013548,604.7743495594573,654.2889386321376,709.4496840674558,770.8466324330752,839.1194953921926,914.957494817005,999.097926862672,1092.3231750102855,1195.4558973233925,1309.352125746876,1434.8920490610406,1572.9683092052721,1724.4717248128081,1890.2744655719569,2070.0064892051614,2262.698271494136,2467.0673468801638,2681.6381208596654,2904.7894168899065,3134.775535128561,3369.7418480308934,3607.7435363133854,3846.7699740013727,4084.774408421135,4319.707362410444,4549.551800130676,4772.3581295466265,4986.277349597571,5189.5909751862155,5380.736726410724,5558.329314539892,5721.175975223678,5868.286677231024,5998.8791663258135,6112.379186622903,6208.416356897327,6286.8162700891535,6347.589435427108,6390.917699877275,6417.138775101161,6426.729463858252,6420.288131563328,6398.516909716371,6362.204052695773,6312.206801740055,6249.43504289305,6174.835981598222,6089.379997199871,5994.047786976303,5889.818862146902,5777.661417823391,5658.52356506885,5533.325885807073,5402.95524984536,5268.259817183438,5130.045137466693,4989.071251267076,4846.050694209447,4701.64730420187,4556.475733614563,4411.1015716746815,4266.041987150424,4121.76680719407,3978.699954662843,3837.2211730572535,3697.667975177678,3560.3377585164553,3425.4900371305403,3293.3487461702744,3164.104581295268,3037.9173408364372,2914.918243733132,2795.2122009722766,2678.880022482654,2565.980545202523,2456.5526713612435,2350.6173089197755,2248.179208628854,2149.2286943177314,2053.743284851954,1961.6892077272987
IN,11.072326833604608,21.789159697770515,31.03301449537988,39.44966187919905,47.44506438098637,55.2760243580717,63.106634470010796,71.04345698812506,79.15745477435931,87.49766378779778,96.09971473895331,104.99114094043509,114.1946804236629,123.73032600658745,133.61659359851768,143.871302196965,154.51204866041553,165.55649143585526,177.022514394973,188.9283150651571,201.2924447629914,214.13381766145326,227.47169928277873,241.32568083043498,255.71564323371854,270.6617132012822,286.18421260570466,302.30360192543355,319.0404181128,336.4152070497609,354.4484506419362,373.1604885522671,392.5714345669424,412.701087604793,433.56883741876703,455.193565089008,477.59353846797353,500.78630280654755,524.7885668644305,549.616084886801,575.2835349110306,601.804393950845,629.1908106894715,657.4534763966607,686.6014948655879,716.6422522430618,747.5812876986339,779.42216594357,812.1663526676168,845.8130940085674,880.3593012053226,915.7994416081207,952.1254372286812,989.3265720071786,1027.5105619653898,1066.8690690748983,1107.655854172614,1150.173683178239,1194.7672704938593,1241.820391530435,1291.7559004275336,1345.037812241238,1402.1749003246728,1463.7254564434913,1530.3029906418465,1602.5827295558986,1681.3088194224822,1767.30216273876,1861.4688215228243,1964.8089093208519,2078.4258709449373,2203.5360149574058,2341.478120275182,2493.722886066459,2661.881934794165,2847.716013896979,3053.14197513239,3280.238046022894,3531.2468502315864,3808.5755891420413,4114.792772257184,4452.620886340417,4824.924429144653,5234.692808487011,5684.153767562072,6174.937827920472,6708.1480659246745,7284.38210811463,7903.732548394191,8565.780639926123,9269.591713706692,10013.71702815301,10796.204454613742,11614.61892122988,12466.072542245114,13347.263678864905,14254.52371843693,15183.870068158223,16131.063703675058,17091.669566364377,18061.118144141747,19034.766679686036,20007.958608876517,20976.08002450305,21934.61217133773,22879.179195993893,23805.590588463103,24709.877953893603,25588.32593728429,26437.497286487993,27254.252178107443,28035.762045791816,28779.51824148689,29483.33592859325,30145.353653583057,30764.029071645236,31338.131314809587,31866.730490245624,32349.18478449804,32785.12562863366,33174.44135177396,33517.25971818954,33813.92970771478,34065.00286213449,34271.21448259327,34433.46492595134,34552.801212121034,34630.39912034359,34667.54592052259,34665.6238563964,34626.09447066606,34550.48383826388,34440.36875273643,34297.363892152556,34123.10997491309,33919.262902183604,33687.483872222,33429.43044244295,33146.74850746018,32841.065155383476,32513.98236013344,32167.071464294015,31801.86840488175,31419.869633214395,31022.528679664974,30611.253314359437,30187.40325569799,29752.28837984655,29307.167385961937,28853.246873801134,28391.680792449468
D,1936.0,1936.0,1936.1579662619317,1936.4008754217286,1936.690553894269,1937.007995481542,1937.344512992314,1937.6968151096528,1938.0643165665872,1938.4477040383201,1938.8481975211698,1939.267189380582,1939.7060830411233,1940.166233200377,1940.6489346360038,1941.1554318829299,1941.6869358752215,1942.2446410458829,1942.8297402114592,1943.4434364591139,1944.0869521126385,1944.7615351841205,1945.468463792391,1946.209048991479,1946.9846363746672,1947.7966067367959,1948.6463760036656,1949.535394577339,1950.465146199837,1951.437146403328,1952.4529405901303,1953.5141017684766,1954.6222279582043,1955.7789392728737,1956.9858746801694,1958.2446884400188,1959.5570462190465,1960.92462088039,1962.3490879492049,1963.8321207561894,1965.375385263999,1966.9805345843934,1968.649203197256,1970.383000886196,1972.1835064091995,1974.0522609266836,1975.9907612132686,1978.000452683539,1980.0827222659689,1982.238891162953,1984.4702075384596,1986.7778391781267,1989.16286616959,1991.6262736534022,1994.168944696997,1996.793381807059,1999.5043703978852,2002.3091299667917,2005.2172524376033,2008.2405844921584,2011.393130319427,2014.6910075505416,2018.1524666774433,2021.7979736516822,2025.6503511348706,2029.7349728553008,2034.0800059378932,2038.7166969522614,2043.6796982661267,2049.007431854642,2054.7424878916886,2060.9320551953706,2067.6283799066755,2074.8892476523233,2082.7784828947515,2091.3664572298817,2100.730596099699,2110.955870808837,2122.13525997113,2134.3701617001084,2147.7707351742197,2162.4561478701303,2178.554703014668,2196.2038209241837,2215.549848141793,2236.7353440103384,2259.892945270279,2285.1421632593597,2312.587407333073,2342.3164949042643,2374.3993770085535,2408.887023483002,2445.8104998981344,2485.180294058897,2526.985946265704,2571.1960214306428,2617.7584410984236,2666.60117370046,2717.6332640538976,2770.7461691281533,2825.815356728079,2882.7021169113355,2941.255532380512,3001.314553356651,3062.7101240743527,3125.2673115423513,3188.8073921001474,3253.1498571169686,3318.1143055188177,3383.522197345742,3449.1984489501456,3514.972856525605,3580.6813402407124,3646.1670062338,3711.2810280381386,3775.883352628442,3839.843239214493,3903.0396411868,3965.3614432900463,4026.707567222058,4086.986959495077,4146.118475620976,4204.030674560923,4260.661536978216,4315.958120211385,4369.876162098402,4422.379644880712,4473.4403294402955,4523.037269109966,4571.156311276241,4617.789593989612,4662.935043827467,4706.595880334563,4748.780131504928,4789.500163974032,4828.772230864853,4866.6160395774805,4903.054341228717,4938.1125429337935,4971.8183436738,5004.201394105886,5035.292980344335,5065.125731464583,5093.7333502542915,5121.150366550905,5147.4119123589235,5172.553517827982,5196.610927090392,5219.619932900052,5241.616228980028,5262.635278970055
R,0.0,103.7194644823265,199.49746183536922,291.11426738489257,381.2497542252012,471.81144833099427,564.1706253825784,659.3300191387161,758.0416621520094,860.8889412351078,968.3433054291256,1080.8032098501392,1198.620718314741,1322.1195933647305,1451.607548474271,1587.3845147740867,1729.7481954950636,1878.9977775660716,2035.4363906014134,2199.37271177772,2371.121984198077,2551.006627421598,2739.356558702388,2936.50930297763,3142.8099424671955,3358.6109385852824,3584.271846785259,3820.158936977079,4066.644726934365,4324.1074327474935,4592.93033827894,4873.501084337112,5166.210877638423,5471.453619397343,5789.624953452795,6121.1212341279615,6466.338414475928,6825.670856148864,7199.51006281685,7588.243339833666,7992.2523836837745,8411.911805632244,8847.587594922745,9299.635527813278,9768.3995296898,10254.209998438371,10757.382098170503,11278.214033266842,11816.985313513966,12373.955021840466,12949.360096794851,13543.413642432759,14156.303278679678,14788.189545494331,15440.335379224873,16114.848251477713,16814.505909832522,17542.647272226695,18303.112888662043,19100.222660636762,19938.781551438184,20824.106573938338,21762.07035415869,22759.15807972823,23822.535728039802,24960.12820917958,26180.706523694327,27493.9832806518,28910.715988296855,30442.81744637461,32103.472354708076,33907.25891932155,35870.27379463515,38010.25815749676,40346.72207879782,42901.063660054344,45696.67866329434,48759.05562123201,52115.85072100905,55796.936169860455,59834.41534486513,64262.597875859734,69117.92798297941,74438.85995025709,80257.61027223054,86601.2508108836,93492.1254218803,100947.90664854477,108981.48077618683,117600.77595783856,126808.6041658706,136602.5601156618,146975.0019849473,157913.12596021674,169399.13738602234,181410.51450909223,193920.35590831155,206897.79932969707,220308.49755554806,234115.13592677057,248277.97602180688,262755.41059751116,277504.51604735473,292481.5901723592,307642.66484718985,322943.9850734267,338342.44784012355,353795.99607532803,369263.96470857586,384707.377429596,400089.19409526343,415374.50989200984,430530.7083026771,445527.5706623198,460337.3456303898,474934.78227517765,489297.13068109925,503404.11407235276,517237.87641961465,530782.909380951,544025.9622436891,556955.9382984738,569563.7808058758,581842.3514233179,593786.3036571717,605391.9536010164,616657.1499237362,627581.1447860869,638164.4670958488,648408.7992626079,658316.8583853988,667892.2826008083,677139.5231358445,686063.742448506,694670.7186987007,702966.756671782,710958.6051751063,718653.3808431487,726058.498217251,733181.6059104209,740030.5286241747,746613.2147517275,752937.6892784389,759012.0116750104,764844.2384702836,770442.3901874927,775814.4223295064,780968.2001040496,785911.4765883761,790651.8740436602,795196.8681019378
G,124506.0,124506.0,124517.34996213215,124536.33866937329,124560.67810989753,124588.96742084391,124620.35966570927,124654.35437159515,124690.66823051365,124729.15445808024,124769.75247166661,124812.45647293088,124857.29582139378,124904.32276306492,124953.60474620732,125005.21959634945,125059.252471414,125115.79392267944,125174.93864000517,125236.78461754741,125301.4325747524,125368.98552899777,125439.54845475599,125513.22798824868,125590.13215166291,125670.37008049297,125754.05174356585,125841.28764912693,125932.18853282822,126026.86502509133,126125.42729643198,126227.98468013438,126334.64527227602,126445.51550960388,126560.69972619892,126680.29969026426,126804.41412275075,126933.13819989773,127066.56304212169,127204.77519202836,127347.85608465376,127495.88151335112,127648.92109502859,127807.03773870136,127970.28712154529,128138.71717682073,128312.36759816956,128491.26936487018,128675.4442926597,128864.9046146952,129059.65259712616,129259.68019358373,129464.96874266195,129678.3334363913,129902.1517018774,130138.56051693839,130389.59962206462,130657.31683168787,130943.84748051011,131251.47677357777,131582.69131898068,131940.22426334926,132327.0970811545,132746.66006487008,133202.63282136034,133699.1455184309,134240.78118099185,134832.61896114494,135480.27796614336,136189.96089885887,136968.49643274746,137823.37890146632,138762.80353456817,139795.6951255504,140931.72769558808,142181.33244200255,143555.6910682532,145066.71152020688,146726.98324149137,148549.7093458007,150548.61361445754,152737.8209770017,155131.71111425586,157724.45992913155,160511.9366745921,163489.94024365686,166653.2509917117,169995.1527692529,173507.23747225126,177179.38691016732,180999.87008419688,184955.5168256353,189031.94104963727,193213.7938364904,197485.03087079528,201829.18182464543,206229.61172959302,210669.76653774126,215133.39703167713,219604.75702644562,224068.77340127365,228511.18688476342,232918.66368117573,237278.87896380966,241580.57398131798,245813.58903960857,249968.87495738277,254038.4857725356,258015.5555261612,261894.2618969914,265669.7793263704,269338.224084514,272896.5935021216,276342.7013436184,279675.1110426049,282893.06826682045,285996.4340368628,288985.61939558154,291861.52241710736,294625.4681579708,297279.15198853234,299824.58660086524,302264.05286847265,304600.05463245104,306835.2774062859,308972.550925553,311014.81541749986,312965.0914269137,314826.45300702594,316602.00406576716,318294.8576469061,319908.11792108364,321444.8646622406,322908.1399893535,324300.9371607977,325626.19121826236,326886.7712882762,328085.4743615233,329225.02038278297,330308.04849716224,331337.1143110237,332314.6880384301,333243.153415872,334124.80727940076,334961.8597089867,335756.4346549072,336510.57097022934,337226.2237819802,337905.26614140946,338549.4909008649,339160.6127712575
H,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,890553.1661174052,860868.0605801584,831182.9550429116,801497.8495056648,771812.743968418,742127.6384311712,712442.5328939244,682757.4273566776,653072.3218194308,623387.216282184,593702.1107449372,564017.0052076904,534331.8996704436,504646.79413319676,474961.6885959499,445276.58305870305,415591.4775214562,385906.37198420934,356221.2664469625,326536.16090971563,296851.0553724688,267165.9498352219,237480.84429797507,207795.7387607282,178110.63322348136,148425.5276862345,118740.42214898767,89055.31661174083,59370.211074493986,29685.105537247146,3.055902197957039e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
