series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,436192.2847671179,435900.21469297947,435657.27084086573,435440.4121061923,435236.08036819956,435036.244714024,434836.10680257826,434632.76273010945,434424.42022366886,434209.9398582976,433988.5659135562,433759.76843276987,433523.15057434666,433278.3943354286,433025.2288455266,432763.411946659,432492.7196029767,432212.93993050326,431923.8699585142,431625.3140106093,431317.08305013925,430998.9946031645,430670.87303001794,430332.5500093534,429983.86515307374,429624.6667025036,429254.8122748671,428874.1696400253,428482.61751371936,428080.0463571688,427666.3591748961,427241.4723037576,426805.31618674856,426357.8361254474,425898.9930051169,425428.7639865641,424947.1431589357,424454.142147716,423949.790672326,423434.13704789936,422907.24862604815,422369.21216972586,421820.1341576532,437599.6008370342,453343.5711133969,469051.1766568699,484720.43651827384,500348.5096830933,515931.8460886695,531466.2679324844,546947.0031693507,562368.6859955539,577725.3341684825,593010.3096382965,608216.2667269957,623335.0906478987,638357.8282770228,653274.6126015289,668074.5820670975,682745.796051831,697275.1478612522,711648.2769365197,725849.4823754667,739861.6403674161,753666.1287218259,767242.7623077834,780569.7438891198,793623.6355015401,806379.3561247283,818810.2118920975,830887.9653794859,842582.9505377478,853864.2394943933,864699.8666613199,875057.1142788392,884902.8616577251,894203.9979493885,902927.8953320781,911042.9361636396,918519.0840994673,925328.4856470376,931446.0854069664,936850.2356318142,941523.2789976377,945452.0828566323,948628.50386447,951049.7637874004,952718.7204084243,953644.0215734876,953840.135261063,953327.2537759924,952131.0753945184,950282.0400717126,931477.1731801204,912553.6442683551,893558.9671213075,874562.109880954,855640.3537700563,836871.9563400643,818331.9522423628,800089.7291638895,782207.6637576233,764740.4276783381,747734.7395252724,731229.4245505419,715255.6901956295,699837.5517390232,684992.3584856952,670731.3819082333,657060.4353535823,643980.5015033447,631488.3492552672,619577.1263282745,608236.9178061106,597455.2640986632,587217.6344738674,577507.8544539765,568308.4870377561,559601.1689664564,551366.9041577241,543586.3170468872,536239.8689539812,529308.0407866393,522771.4854365614,516611.1531673874,510808.39315503044,505345.03415277775,500203.4470326025,495366.5917165664,490818.0507696139,486542.0516860216,482523.4796722955,478747.88251341245,475201.46890941245,471871.1014866992,468744.28552333795,465809.15427986416,463054.4516958867,460469.5130970742,458044.2444557567,455769.10066009115,453635.06317024847,451633.61737412587,449756.7298984838,447996.82608303643,446346.7677838705,444799.8316376972,443349.68788902747,441990.3798576545,440716.30410317495,439522.191326103
E,0.0,292.0700741383986,475.02089664828884,594.3073524803006,676.5646235961887,737.4296502192772,786.0948749583932,827.9701175790035,866.2423560486666,902.7910950325612,938.7260726009148,974.7033158823698,1011.1109848255483,1048.178670151319,1086.0416708339487,1124.7787820802519,1164.4344919336113,1205.0319984409784,1246.580821372569,1289.0812307537008,1332.5268013939674,1376.9058651675978,1422.2023163827794,1468.3960392372635,1515.4631165917633,1563.3759146163652,1612.1030997437038,1661.6096218814755,1711.8566845665637,1762.8017148948898,1814.3983414016257,1866.5963852784396,1919.341868621003,1972.57704234257,2026.240435697612,2080.2669288739125,2134.5878497386157,2189.1310955089507,2243.821279830453,2298.579905467159,2353.3255625305956,2407.9741518937212,2462.439133151822,2516.6317962062817,2595.189348553974,2693.9754186125847,2810.815890837711,2944.8432920237597,3096.077381558931,3265.16159998822,3453.201463792343,3661.669167943001,3892.3509482055224,4147.321943516719,4428.938674388553,4739.842725884596,5082.971422188813,5461.572631485896,5879.22163089477,6339.838380713329,6847.703729326957,7407.473076311399,8024.185916224103,8703.26950826572,9450.534698337804,10272.161688429424,11174.673333439043,12164.893380983594,13249.886994036162,14436.880952944364,15733.161169509183,17145.94560842173,18682.231442387474,20348.616296456246,22151.09477359597,24094.833077172443,26183.926399260592,28421.14572689707,30807.68268936181,33342.90285023989,36024.11923826241,38846.398709814384,41802.41376805114,44882.351606555414,48073.89035490651,51362.249828864784,54730.32067638569,58158.871897157354,61626.83259630083,65111.63984070071,68589.64093919762,72036.53564071082,75427.84183835649,78739.3557676124,81489.32593499604,83745.5831749831,85540.57108507949,86891.75606309075,87812.04047020554,88314.89934156685,88416.68681982267,88137.40883785406,87500.66698234694,86533.1679812237,85264.0261796969,83723.99346405048,81944.69725276949,79957.93446724216,77795.0485736666,75486.40301885607,73060.95507208226,70545.92778129701,67966.57358806099,65346.02055884579,62705.19078370935,60062.779965818074,57435.2873390409,54837.08561436014,52280.521515069944,49776.03849347399,47332.31433342866,44956.40746271778,42653.90687608092,40429.08156953121,38285.02628851938,36223.80118604944,34246.56366937103,32353.691288321726,30544.89499154013,28819.322457749055,27175.651508488398,25612.173836837577,24126.86945438756,22717.47237598579,21381.528137713838,20116.443786312673,18919.530994955683,17788.042956975733,16719.205691005664,15710.244362231057,14758.405188528059,13860.97345992143,13015.288157207087,12218.75361239331,11468.848611060183,10763.1332957092,10099.25419028801,9474.947629723018,8888.041844697203,8336.457921162697,7818.209826170561
I,341.6444378858716,264.40177349068705,221.39247014910708,198.611485225643,187.83002659243317,184.20904282664344,184.9013586024493,188.23131233741492,193.21270451172444,199.26528987890424,206.04792500797774,213.36031261782549,221.08510727569498,229.1537808763595,237.52648107733165,246.1801341146081,255.10140709821133,264.2825359089309,273.7188437633299,283.40725784312974,293.3454155697786,303.5311196130509,313.96199950136725,324.6352959800197,335.5477186668244,346.69534787746204,358.0735635072665,369.6769909655715,381.49945836993265,393.53396170471063,405.77263613046944,418.2067325100252,430.8265987374686,443.6216657620627,456.5804383746959,469.6904909208836,482.9384681509712,496.3100914328882,509.79017054610654,523.3626212537409,537.0104888169456,550.7159775744442,564.4604866619433,578.2246518926447,591.9883937622241,607.1507432951776,624.5569294215134,644.7362534944634,668.0485398298173,694.7733942815242,725.1641501962927,759.4803389533087,798.0073418707333,841.0685767491227,889.033485846931,942.3232859880092,1001.4156300845991,1066.848827624264,1139.2259609810603,1219.2190393842138,1307.573205531313,1405.1109215465326,1512.7359930133885,1631.4372311773527,1762.2914978555564,1906.465822039545,2065.218220888243,2239.8968019113877,2431.936670436493,2642.854121314843,2874.2375621457154,3127.734604340997,3405.0347764342528,3707.847370005032,4037.8740309942978,4396.775865176755,4786.135040499956,5207.4111409803745,5661.8928512013,6150.645914644168,6674.458693171113,7233.787032046783,7828.700472574723,8458.832117603226,9123.334609626634,9820.84469794775,10549.458730753158,11306.721103256763,12089.627232560564,12894.642037106763,13717.734210626562,14554.42584439758,15399.856219627696,16248.85791585118,17096.04213466997,17909.578175410596,18668.726543473258,19359.29953588098,19971.32001006413,20497.807366007524,20934.13293621311,21277.653542328546,21527.47226562851,21684.25008195829,21750.031920997568,21728.07200286598,21622.65444979316,21438.910704312835,21182.637690121534,20860.12131731137,20477.969658218404,20042.95937236587,19561.898018342217,19041.503923403645,18488.304384665556,17908.552200843726,17308.159903512224,16692.650575818458,16067.12380667977,15436.23511475535,14804.18707037484,14174.730325309481,13551.172810397738,12936.395461658016,12332.87297079783,11742.698212505235,11167.609167569493,10609.017329045966,10068.03674180967,9545.512979255482,9042.051501505446,8558.044965474923,8093.699167755177,7649.05739649874,7224.023048925053,6818.380437670304,6431.813763207505,6063.924272313617,5714.245655456579,5382.257760391791,5067.398716502527,4769.075575702074,4486.673582131592,4219.564185407903,3967.111911645952,3728.680203627683,3503.6363369254095,3291.355513023201,3091.2242239313423,2902.6429757920855,2725.028451794608
A,880.5910773021781,755.6595721215725,691.6759146476958,663.8447061771965,657.615208871929,664.4427792642371,679.3091370881493,699.2683490896648,722.5930290198635,748.2725006142999,775.7176229740971,804.5870684091028,834.6850198039895,865.9008849624923,898.1737388495911,931.4713229362746,965.7776162087499,1001.0854543885561,1037.392122694941,1074.6967003326245,1112.9984371028104,1152.2957383735932,1192.5855089783136,1233.8627093833911,1276.1200380829234,1319.3476899491297,1363.5331613930243,1408.6610856763018,1454.7130891035258,1501.6676631997666,1549.5000505726061,1598.1821436936532,1647.6823967403984,1697.9657511658208,1748.9935759585455,1800.7236237074474,1853.110003642393,1906.1031728172288,1959.6499465497404,2013.6935291466125,2068.1735658258353,2123.026216608714,2178.184252791736,2233.5771764275423,2289.1313630466093,2348.4297000416564,2413.93461955421,2487.437454837107,2570.347020946604,2663.8751852656314,2769.157107661097,2887.3305058926194,3019.589557561239,3167.2233649970526,3331.645242920661,3514.416737872984,3717.2687849973013,3942.1214429915362,4191.1030201949325,4466.568983058101,4771.120738444283,5107.624149410345,5479.227446116911,5889.378008064089,6341.837308466507,6840.693120140346,7390.367883720689,7995.621936850305,8661.550105134655,9393.5699746761,10197.40001908744,11079.02566275945,12044.651352422823,13100.63680887719,14253.415868738744,15509.396728066005,16874.842984978135,18355.73565486843,19957.617291633633,21685.420463671646,23543.28405401819,25534.362107182253,27660.631138864173,29922.702853765848,32319.64997290874,34848.85325581131,37505.87773651875,40284.38563066661,43176.0923094909,46170.77021670944,49256.30370905274,52418.795649988904,55642.72432176106,58911.14699561957,62205.94272591482,65440.26690199072,68549.63406258474,71483.50878509982,74201.11008157553,76669.3520814119,78861.83705732747,80758.3326427542,82344.43756712985,83611.28650645798,84555.22421632643,85177.42266968692,85483.43854841373,85482.72074467869,85188.08324879713,84615.16062797538,83781.86283118668,82707.84427489429,81413.99970353638,79921.99659077039,78253.85112377229,76431.55226742919,74476.736142868,72410.41103017214,70252.73173698984,68022.82085622258,65738.63354317631,63416.86184092829,61072.87423208203,58720.685953602566,56372.95563797765,54041.004000213,51734.85054170003,49463.264558845905,47233.82710126752,45053.00090064799,42926.20567064642,40857.89654800828,38851.64379608776,36910.21221807229,35035.63902437011,33229.30916487055,31492.02737158892,29824.08636116793,28225.330821243595,26695.216951772178,25232.867454379404,23837.121962137644,22506.582981457446,21239.657479509657,20034.594297174848,18889.517601191048,17802.456611995876,16771.371857591254,15794.178210248618,14868.76496346997,13993.013202582253
IH,0.0,14.539023600118307,18.224443185432257,18.161575734644565,17.161958259551973,16.223750394579852,15.619714301474428,15.359495604637665,15.376410640386716,15.596510844270442,15.95963937714574,16.4224287918985,16.955557271926946,17.539969040038514,18.163609130313738,18.819000320188124,19.50157478984379,20.20857453036843,20.938346458420327,21.689898770544296,22.462625055252026,23.25613395055646,24.07014425924522,24.904420248224525,25.7587314428185,26.632827287494116,27.526420815844837,28.43917779260815,29.370709205625104,30.320565843525262,31.288234212605772,32.27313335770924,33.274612338637056,34.291948225336895,35.32434454167668,36.37093012702493,37.43075840785512,38.502807084606275,39.585978245898914,40.679098925214106,41.78092211566147,42.890128257315936,44.00532720929467,45.125060715592426,46.2478053699032,47.371976080376164,48.556349852002825,49.865084264064166,51.35147267064119,53.05638594367056,55.01132365984037,57.24217309947997,59.77239378678092,62.62538102386803,65.82611799440616,69.40230800831617,73.38516220018971,77.8099756659382,82.71658337087445,88.14975396581804,94.15955542796516,100.80170942994718,108.13793942421198,116.23630882252652,125.17153902729625,135.0252915307874,145.88639327715885,157.85097967874796,171.0225249956834,185.51172529934024,201.4361951666749,218.91993595092134,238.09253142449683,259.08802637650484,282.04344602657284,307.096919567835,334.3853804043789,364.04182919035577,396.19216384670847,430.95160320003725,468.42075716183706,508.68142531173714,551.7922356764867,597.784264219837,646.6568005333863,698.3734437694848,752.8587224662876,809.9954305393176,869.622858087466,931.5360695291514,995.4863438258487,1061.1828441649527,1128.2955304239272,1196.4592706658964,1265.2790517816238,1334.3361094234451,1402.0750269145851,1466.8672744638825,1527.3280771239674,1582.3687434355497,1631.1700972075043,1673.142304020113,1707.8900106342758,1735.1854460538893,1754.947505390273,1767.2243167731835,1772.177447892088,1770.0666977894855,1761.2350334251714,1746.0936272739305,1725.1071708116158,1698.7797318533285,1667.6414365383152,1632.236222879738,1593.1108553973418,1550.8053246537984,1505.844691031911,1458.7323743550928,1409.9448427947773,1359.927616947197,1309.092477853006,1257.8157502166946,1206.437522903687,1155.2616665241035,1104.5565111060876,1054.5560541501561,1005.4615795104512,957.4435795110287,910.6438855986739,865.1779259592139,821.1370413476193,778.5908025154239,737.5892837994743,698.1652575048531,660.3362825961394,624.1066688932635,589.4693044868548,556.4073395122866,524.8957238422754,494.9025997778647,466.3905535447856,439.31773144394475,413.63882796414055,389.3059541380233,366.26939499615395,344.4782652266794,323.88107214790574,304.426194906722,286.0622884773179,268.73862059361954,252.4053492396105
IN,62.70364079506624,117.04781252881247,149.97025924355694,170.60987650746412,184.31677602911725,194.21753836011663,202.1337830290051,209.12172075678416,215.789209088941,222.48206582754193,229.3935101492845,236.62839011731197,244.24081423272298,252.2561404372854,260.68376873336865,269.52453165067647,278.7749158899731,288.4294294857862,298.48188765968274,308.9260718176288,319.7560284415999,330.9661641041101,342.5512277907941,354.5062334734126,366.8263534274332,379.50679964706507,392.5427030512337,405.92899574080224,419.66029902999287,433.7308185487872,448.13424693536126,462.8636742355612,477.91150593937664,493.26938851778186,508.92814232168973,524.8777017356181,541.1070625230836,557.6042363477984,574.3562124982261,591.3489268795122,608.5672383644123,625.9949126127568,643.614613476931,661.4079021089068,679.3552438728533,697.4360231467624,715.8891435919402,735.0767878363678,755.4099985753581,777.3110597551054,801.1972750427493,827.4768098637085,856.551047240386,888.8202363658037,924.6906247803533,964.5821057786767,1008.9359016310358,1058.2220780513592,1112.9468314642095,1173.65956024059,1240.9597556147066,1315.503745983401,1398.0113103439503,1489.272148597375,1590.1521613911093,1701.5994515979776,1824.6499141654992,1960.4322314233325,2110.1720376501194,2275.1949608448485,2456.928192953976,2656.900184856232,2876.7380127724014,3118.161923068563,3382.9765382867963,3673.0582051153697,3990.3379918008645,4336.77990498972,4714.3540000592175,5125.004208726181,5570.610904329536,6052.948466072704,6573.6383814924075,7134.0987293188855,7735.491195711944,8378.667074590032,9064.113963881677,9791.905070022522,10561.653150863454,11372.471144768224,12222.941440148928,13111.095532360718,14034.405500091467,14989.788326216565,15973.623611148409,16981.784584568177,18004.852604285134,19030.858275573817,20046.823991878024,21039.6711310405,21996.78349222638,22906.377308687337,23757.754676380264,24541.4792892714,25249.4941745737,25875.191807684158,26413.44282278954,26860.587971856978,27214.397645515037,27474.00341668558,27639.80631769138,27713.366727560006,27697.28075286963,27595.047818584117,27410.933863189726,27149.834088639578,26817.138688751318,26418.60440745626,25960.234194056462,25448.16665390741,24888.576460800694,24287.58641664646,23651.191424104916,22985.194283052257,22295.152932765945,21586.338536070496,20863.703634842248,20131.85949226001,19395.061669241244,18657.202853554725,17921.8119631679,17192.058573851096,16470.761768853554,15760.402570187669,15063.13918202839,14380.824353005617,13715.024242494814,13067.038253807172,12437.919372451599,11828.494618914334,11239.385291654873,10671.026736602198,10123.687434014373,9597.487242044992,9092.414678839563,8608.343161704195,8145.046153189187,7702.211190219998,7279.452794135,6876.324277117943,6492.328474507211
D,1936.0,1936.0,1936.464002245677,1937.045621947029,1937.6252352799243,1938.1729465562566,1938.6907156185703,1939.1892073132021,1939.6793943194987,1940.1701211567213,1940.6678723300813,1941.1772124835102,1941.7013222207588,1942.2424463613659,1942.8022215737547,1943.3818998009772,1943.9824943560263,1944.6048727732848,1945.249814567309,1945.9180464957165,1946.6102636634469,1947.327141822263,1948.0693442338977,1948.8375251858818,1949.6323314424976,1950.4544024125978,1951.3043695087392,1952.182854985157,1953.090470429214,1954.0278150132358,1954.9954735732974,1955.9940145577,1957.0239878739883,1958.0859226554294,1959.180324963509,1960.3076754407634,1961.4684269272775,1962.6630020539383,1963.8917908256944,1965.1551482084603,1966.4533917337862,1967.7867991359149,1969.1556060363043,1970.5600036910887,1972.0001368172343,1973.4761015133156,1974.987943290866,1976.5375834863069,1978.1289909780182,1979.767835462582,1981.4610910004,1983.216736937698,1985.0435787942151,1986.9511707831523,1988.9498137615717,1991.0506059064687,1993.2655295256009,1995.6075630071325,1998.0908111562564,2000.7306500817879,2003.5438846511076,2006.5489176142678,2009.7659300375224,2013.2170728457165,2016.9266691574257,2020.9214267698305,2025.2306596465803,2029.8865165979207,2034.9242145250807,2040.3822726342025,2046.3027429151366,2052.7314309404587,2059.7180996947386,2067.316647733341,2075.5852515524953,2084.58646070754,2094.3872330454287,2105.058896542,2116.6770237911574,2129.3212053263596,2143.0747088051817,2158.024012776531,2174.258206362741,2191.868249756502,2210.946094917032,2231.583671131388,2253.871745980345,2277.898678428477,2303.74908689437,2331.5024608583076,2361.231749432204,2393.0019639789484,2426.868834018446,2462.8775560828153,2501.0616737869414,2541.442124192834,2584.0264798063217,2628.7726731539033,2675.5866634314716,2724.3302157608878,2774.8303504767528,2826.887944507979,2880.285050651759,2934.791104297417,2990.1682716904475,3046.1761306734693,3102.575795062968,3159.133534989416,3215.623911878661,3271.8324326948427,3327.557726669242,3382.6132533198415,3436.8285591182325,3490.050109121867,3542.1417277698556,3592.9846890888457,3642.477500507164,3690.535426369107,3737.0897972924013,3782.087150026053,3825.4882397812466,3867.266963458238,3907.409228083466,3945.911794369396,3982.7811208355365,4018.032229556906,4051.6876104666608,4083.776177324132,4114.3322850257855,4143.394814914404,4171.006332138431,4197.21231691933,4222.060469777934,4245.600089320708,4267.8815200581375,4288.955666882143,4308.873572229383,4327.686051565155,4345.443382603722,4362.1950436029565,4377.989496105697,4392.874007621693,4406.8945099306675,4420.095488920273,4432.519902136989,4444.209120510606,4455.202891003611,4465.5393172274225,4475.254855351899,4484.3843229081585,4492.960918344358
R,0.0,133.2909742419256,263.20509611548226,390.23119883637753,516.0297262722513,642.2835014558577,770.3675369246841,901.3209903108217,1035.9105958030457,1174.706481449088,1318.1453671052436,1466.5767620290778,1620.2945431236371,1779.5576958434972,1944.603587376096,2115.6563055390607,2292.9318198479273,2476.6411270699004,2666.9921280706194,2864.190706478404,3068.441301734963,3279.947156905417,3498.910351936734,3725.5316902395257,3960.0104803730674,4202.544238807406,4453.328330214183,4712.555556033852,4980.415698676854,5257.095026727351,5542.775765379007,5837.635535710329,6141.8467661015975,6455.576078984643,6778.983656126435,7112.222585731287,7455.43819477517,7808.767370139667,8172.337872278961,8546.267645320992,8930.664127665661,9325.623567292303,9731.230346119813,10147.556317871047,10574.66016397381,11012.586772080007,11461.88581966388,11923.516898296815,12398.773366949514,12889.229289843475,13396.706925167487,13923.260600473423,14471.173115621938,15042.961662677286,15641.391110567503,16269.49320276413,16930.59073529779,17628.326145439416,18366.694183481006,19150.078492212047,19983.292004084637,20871.621100363885,21820.8734693988,22837.429557682968,23928.29742965644,25101.170740273017,26364.489377153437,27727.502145271283,29200.330645596394,30794.033240137964,32520.66770153141,34393.350820624015,36426.31289895837,38634.94469749745,41035.83406614632,43646.78916349557,46486.844920494965,49576.24923717293,52936.4253620317,56589.90702313586,60560.243188471715,64871.86985393305,69549.94700211412,74620.15984093884,80108.48459740593,86040.92046890389,92443.19076494861,99340.41773268589,106756.77696634234,114715.13856613816,123236.70325144363,132340.6423724458,142043.7511480881,152360.12445191096,163300.86406342688,174873.82527220336,187073.78778098212,199884.36708676023,213279.61782973667,227225.4023424936,241680.6135469162,256598.31712630406,271926.84923296986,287610.8835295445,303592.4666448623,319812.0128767158,336209.2454083353,352724.0708575146,369297.37545244204,385871.7336697,402392.02318407514,418805.9430675219,435064.4350773392,451122.01043436327,466936.986626912,482471.64045373886,497692.2847443914,512569.27699779207,527076.9686047398,541193.6034210226,554901.1742917773,568185.2457508212,581034.7505837872,593441.7672987804,605401.2848346895,616910.9600905037,627970.8731078417,638583.284006168,648752.3950730299,658484.1207623846,667785.8677607635,676666.3267481772,685135.2770100054,693203.4046470968,700882.1347816885,708183.4778631068,715119.8899352519,721704.1465328507,727949.2297204017,733868.2276716324,739474.2461032728,744780.3308204018,749799.400597248,754544.1896031812,759027.1985851891,763260.6540322392,767256.474570832,771026.2438723601,774581.1893895833,777932.1662798597,781089.6459153375
G,124506.0,124506.0,124522.76950523969,124550.04332108269,124584.16609210194,124623.01174937733,124665.35203507668,124710.48648496302,124758.02524519377,124807.76144556091,124859.59612955978,124913.4940574442,124969.45765594378,125027.51163839287,125087.69390031436,125150.05010556165,125214.63044209637,125281.48765220717,125350.67581012254,125422.24953665842,125496.26346813452,125572.77187196164,125651.82834561302,125733.48556183699,125817.7950384123,125904.8069198904,125994.56976419786,126087.13033021207,126182.53336437313,126280.82138558212,126382.03446837282,126486.2100248134,126593.38258590388,126703.58358344712,126816.84113352248,126933.17982280288,127052.62049903991,127175.18006710369,127300.8712920085,127429.70261038313,127561.67795185649,127696.79657182451,127835.05289704484,127976.43638546832,128120.93140166377,128269.93688093763,128424.6142645459,128586.00016465306,128755.0813865527,128932.84587004414,129120.31849873073,129318.58763058746,129528.82615118547,129752.30950466894,129990.43228142936,130244.72437391947,130516.86734392923,130808.71140275316,131122.29324139512,131459.8548290908,131823.86320364868,132217.03119221271,132642.33891650615,133103.05584604185,133602.76306203028,134145.3752814064,134735.16206379124,135376.767485263,136075.22741442345,136835.98337351021,137664.8918178254,138568.22753082914,139552.67972288598,140625.33935426484,141793.67619469727,143065.5042002413,144448.93394986182,145952.31115221023,147584.14061502318,149352.99556466428,151267.41280067453,153335.77484736184,155566.1809874937,157966.30978803133,160543.27640351135,163303.4885155422,166252.50518617488,169394.90312632566,172734.15487914745,176272.52318058128,180010.9752924385,183949.1204328161,188085.1725957744,192415.94010989822,196936.84161961114,201615.63550931864,206423.97474090912,211335.37505896087,216324.35505933844,221366.17414031213,226436.865383225,231513.40085942668,236573.90130158467,241597.84255186465,246566.23384682456,251461.75605325017,256268.85568926865,260973.79519393493,265564.66265941615,270031.34579539305,274365.475660234,278560.3459238577,282610.8132956234,286513.1843799277,290265.09370301274,293865.37705455004,297313.94365733536,300611.6500547335,303760.1780141684,306761.9182029455,309619.86090998043,312337.4946681197,314918.71327713795,317367.7314347204,319689.00894737156,321887.1833096053,323967.0103017498,325933.3121578671,327790.93278943346,329544.69951174234,331199.39070317993,332759.70882788947,334230.2582658062,335615.52741714276,336919.87457823165,338147.51711982227,339302.52353557205,340388.80796607456,341410.12684117904,342370.0773197269,343272.09724055004,344119.4663312331,344915.308451481,345662.59467583016,346364.14704585605,347022.64284500177,347640.6192697699,348220.4783894025,348764.4923024714,349274.808413168,349753.4547626844
H,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,816972.5595409787,800633.0997181325,784293.6398952863,767954.1800724401,751614.7202495938,735275.2604267476,718935.8006039014,702596.3407810552,686256.8809582089,669917.4211353627,653577.9613125165,637238.5014896702,620899.041666824,604559.5818439778,588220.1220211316,571880.6621982853,555541.2023754391,539201.7425525929,522862.28272974666,506522.82290690043,490183.3630840542,473843.903261208,457504.44343836175,441164.9836155155,424825.5237926693,408486.06396982307,392146.60414697684,375807.1443241306,359467.6845012844,343128.22467843816,326788.76485559193,310449.3050327457,294109.8452098995,277770.38538705325,261430.92556420702,245091.4657413608,228752.00591851457,212412.54609566834,196073.0862728221,179733.62644997588,163394.16662712966,147054.70680428343,130715.2469814372,114375.78715859097,98036.32733574475,81696.86751289852,65357.4076900523,49017.94786720608,32678.48804435986,16339.02822151364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
