series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,4904089.441841579,4871427.373025028,4848226.564022407,4829061.509358223,4812085.878631147,4796492.874964838,4781884.331831228,4768045.850199323,4754852.452525999,4742225.212376683,4730110.106591703,4718467.247570359,4707265.200517924,4696477.882691667,4686082.812860624,4676060.085566441,4666391.744392856,4657061.380696807,4648053.863430157,4639355.14769076,4630952.132336823,4622832.549468538,4614984.875547466,4607398.257883717,4600062.452513738,4592967.770847612,4586105.033286654,4579465.528524617,4573040.977576078,4566823.501796256,4560805.594309631,4554980.094375247,4549340.164299105,4543879.268567739,4538591.154927481,4533469.837174726,4528509.579456015,4523704.8819047045,4519050.46746444,4514541.269769507,4510172.421969058,4505939.24639661,4501837.244998635,4497862.090446667,4494009.617866526,4490275.8171262,4486656.82563073,4483148.921578441,4479748.517637957,4476452.155009977,4473256.497841672,4470158.327965008,4467154.539933262,4464242.136332662,5184694.267024175,5904451.310350788,6623496.528140545,7341808.373829926,8059354.865818295,8776090.058491591,9491951.823185211,10206860.268799577,10920716.311922945,11633400.079610016,12344768.965689545,13054655.259145029,13762863.32809011,14469166.386420513,15173302.903227635,15874972.746026626,16573833.183384748,17269494.913311094,17961518.330658853,18649410.296929136,19332621.723680645,19493210.168485377,19443933.014395557,19391174.73276046,19334763.949832372,19274677.464618,19210978.49810264,19143787.311409485,19073265.67118117,18999607.185679633,18923030.132780142,18843771.41072373,18762081.110505894,18678217.569195382,18592442.898355473,18505019.018250953,18416204.22463439,18326250.297098786,18235400.13812331,18143885.914968263,18051927.664132956,17959732.310263142,17867493.047590915,17775389.031383406,17683585.32862561,17592233.080516085,17501469.8336898,17411420.00191351,17322195.42496461,17233895.996249072,17146610.335269354,17060416.485217888,16975382.61969442,16891567.745811153,16809022.393768,16727789.285377096,16647903.976026203,16569395.46623505,16492286.780317893,16416595.510760613,16342334.32778912,16269511.454283036,16198131.106705513,16128193.903104568,16059697.239517277,15992635.63629627,15927001.055995777,15862783.194516653,15799969.747228693,15738546.65177434,15678498.309218781,15619807.785154328,15562456.992297178,15506426.856036643,15451697.464313889,15398248.203122087,15346057.878834382,15295104.828482017,15245367.01902318,15196822.136564711,15149447.666424042,15103220.964848056,15058119.323139226,15014120.024877207,14971200.396866327,14929337.854385715,14888509.941269211,14848694.365296414,14809869.029334078,14772012.058628323,14735101.824612642,14699116.965564083,14664036.404410267,14629839.363962648,14596505.379826594,14564014.311216153,14532346.349880725
E,0.0,32662.068816550658,46316.47146741739,51944.237361229796,53737.706778577856,53624.35735987383,52559.67695751255,51036.11778387228,49312.777582527626,47526.97440073831,45750.98795738457,44021.836635829,42357.26635191126,40764.48422748833,39244.98938900636,37797.26702851575,36418.29604111564,35104.39055141022,33851.664389614074,32656.281082146634,31514.58171215475,30423.143541952097,29378.799863634722,28378.63868001867,27419.990380492647,26500.410249437307,25617.65911675926,24769.683980236892,23954.599564341373,23170.67127759404,22416.299742298863,21690.0069092181,20990.42368353146,20316.27894627498,19666.389838878767,19039.65317632915,18435.03786024896,17851.578172886268,17288.36784432022,16744.55479680816,16219.336481379996,15711.955732159477,15221.69707329494,14747.883421774412,14289.87313681137,13847.057372984062,13418.857699975908,13004.723956684924,12604.132311732792,12216.583506090034,11841.601256717106,11478.730802868542,11127.537579077514,10787.60600088308,10458.538351127283,10920.737322994828,11959.671209455355,13428.319607775771,15233.067991523656,17321.627320556774,19673.174544877926,22290.735170273598,25195.64272571286,28423.78495110048,32023.293613025548,36053.33746361499,40583.71239632391,45694.96871367641,51478.85843576638,58038.91805582576,65491.021568819546,73963.74610057125,83598.39165895827,94548.49271070439,106978.65890772648,121062.59242319418,134955.80596228444,148269.46544314653,161344.33555359722,174273.4101826344,187036.08116651425,199560.72351785484,211755.14114273654,223522.24322408193,234768.6468478747,245409.64251196064,255372.08668931288,264595.96802836866,273035.0406848964,280656.76675914077,287441.74297801533,293382.7533791661,298483.56818159344,302757.5908708566,306226.4381486371,308918.52048238926,310867.6749966974,312111.887931736,312692.13126494986,312651.3275498202,312033.44858245156,310882.74703557615,309243.1154856109,307157.56404299336,304667.80580971634,301813.93837296136,298634.20926730626,295164.8535993818,291439.9926611666,287491.583227149,283349.40823189105,279041.1005794379,274592.19288751076,270026.18697804975,265364.63786586217,260627.24785397615,255831.9671108359,250995.09777947533,246131.399255011,241254.1927695233,236375.46384952415,231505.96156837797,226655.2938121155,221832.01801975942,217043.727055848,212297.13003002602,207598.12800244527,202951.88460969063,198362.89171876785,193835.03027047325,189371.62651174905,184975.50384241634,180649.03051750545,176394.1634543891,172212.48839582625,168105.25667728882,164073.41884075134,160117.6553284304,156238.40447953535,152435.88804153824,148710.13439527736,145060.99968073447,141488.1869978667,137991.2638446312,134569.6779424781,131222.77158820783,127949.79466026838,124749.91639735035,121622.23605754433,118565.79255736292,115579.57318158992
I,83091.996150985,63114.421771731344,51942.44863103212,45129.748484596166,40644.63985590734,37457.64715826593,35023.004155421375,33043.24828383949,31352.78075425757,29857.56737781004,28503.009459877772,27256.49256009134,26097.77991342835,25013.674829183674,23995.03662920882,23035.106007597766,22128.563152912193,21270.99707113762,20458.60561949321,19688.0245777298,18956.22844948316,18260.47078186105,17598.246017488244,16967.262950875167,16365.424404957555,15790.810283732442,15241.662556061701,14716.371478670437,14213.462756949884,13731.58553284794,13269.501172371287,12826.07285313153,12400.255953803833,11991.08923789101,11597.686811824247,11219.230826010498,10854.964878505005,10504.188074909942,10166.249694672155,9840.54441273614,9526.50802600748,9223.613635831263,8931.368240289987,8649.309693252497,8377.003990509194,8114.042846822287,7860.041531169497,7614.636930774145,7377.485817635001,7148.263294161911,6926.661397172041,6712.387841903611,6505.164889865233,6304.728326270955,6110.826534529272,5923.219656775635,5837.35699184688,5899.450258329523,6126.584563915152,6520.265654912267,7075.22969317194,7784.926728621148,8644.752346349462,9653.82339434236,10815.86678131638,12139.611490628795,13638.9384311086,15332.944036870305,17246.00417154647,19407.877481929543,21853.855314160013,24624.943354779865,27768.044404974193,31336.099631252502,35388.136003657324,39989.16026974475,45209.8354620687,50877.80959917396,56814.520602703764,62926.09528770833,69152.62571789238,75446.08210392065,81761.20531086052,88052.31990932065,94272.83445866793,100375.91611194625,106315.61150688083,112048.05262241363,117532.56463863201,122732.5850463098,127616.3547237108,132157.37260468837,136334.62494697684,140132.61229030977,143541.2041452611,146555.3546041432,149174.71238561557,151403.15710802446,153248.29050375376,154720.90739769058,155834.4670269397,156604.5810191636,157048.53031834983,157184.819709156,157032.77543390088,156612.18875483412,155943.00618356932,155045.06544723734,153937.8750378821,152640.43434012443,151171.09079183772,149547.43024489694,147786.19660381734,145903.23688116248,143913.46797858033,141830.86174665176,139668.4451673157,137438.31281728533,135151.64909258418,132818.75799053055,130449.09854728122,128051.32431048815,125633.32548416717,123202.27261478247,120764.66089343815,118326.35432954138,115892.62920764662,113468.21637312442,111057.34200579236,108663.76663577584,106290.82223471536,103941.44728002022,101618.21974208372,99323.38798597644,97058.89961171153,94826.42828215416,92627.39860628494,90463.00915892494,88334.25372714087,86241.94087919271,84186.71195475623,82169.05757583924,80189.33277680301,78247.77084960854,76344.49599716574,74479.53488374868,72652.82716707097,70864.23509197122,69113.5522208792,67400.51137142643,65724.79182681703
A,115094.13691262972,109125.81278922985,109010.93921416282,111219.67795598622,114269.11960374902,117464.84720489435,120475.61751007657,123149.545735025,125426.21052841646,127292.30218727591,128758.5091310359,129847.23405273279,130586.0013150064,131003.92011256663,131129.8134673083,130991.26421087742,130614.16772024399,130022.56374827454,129238.61981296053,128282.69428673091,127173.43864682238,125927.91612599588,124561.72416088753,123089.11386005646,121523.10305300124,119875.58138504205,118157.40699343428,116378.49488592581,114547.8974472517,112673.8776407345,110763.97552117606,108825.06867278082,106863.42715615725,104884.76350565576,102894.27827057689,100896.70154572157,98896.33089082943,96897.06599588579,94902.44041056662,92915.65062130666,90939.58272846855,88976.83694858821,87029.75014235677,85100.41654754097,83190.70687712297,81302.28592625861,79436.62881693905,77595.035996251,75778.64709265027,73988.45372450078,72225.31134612259,70489.95020858993,68782.98550540014,67104.9267667851,65456.18656076419,63837.088553958914,62380.40273155211,61175.60021711469,60282.55773613778,59742.15720954299,59584.28520696872,59833.7440603128,60514.56349105044,61653.148221104144,63280.625200830735,65434.676995680944,68161.07522134567,71515.06489538592,75562.69860392057,80382.177408477,86065.22113384664,92718.46146759999,100464.82487974201,109444.84718216094,119817.83701683156,131762.78223867854,145478.8727658784,160841.89183817012,177668.06460628682,195840.98638171854,215266.07325078303,235850.1480803266,257492.7081322336,280082.8132651312,303498.79636166577,327609.4489546304,352275.98820110963,377354.41283177456,402698.00277194654,428159.79664201767,453594.93101401604,478862.7610504663,503828.7103809216,528365.8211753286,552355.9941972434,575690.9235179191,598272.7418267941,620014.4002300153,640839.8115082334,660683.7884774345,679491.809841117,697219.6451949396,713832.8690571053,729306.2913024623,743623.3284666401,756775.3372887154,768760.9287514351,779585.2778828747,789259.4417879579,797799.6958350867,805226.8956593527,811565.8706673622,816844.8530338244,821094.9447515262,824349.624113084,826644.2920405569,828015.8579120517,828502.3639373705,828142.6466832063,826976.0340197679,825042.0755344554,822380.3043160201,819030.0279384437,815030.146453683,810418.995224564,805234.21048347,799512.6155806851,793290.1259814424,786601.6711772709,779481.1317906111,771961.2902682965,764073.7936765804,755849.1272257646,747316.5972645795,738504.3225920943,729439.2330373047,720147.0743531489,710652.4185622382,700978.6789759579,691148.1291868187,681181.925406142,671100.131585559,660921.746821631,650664.7345984646,640346.0534737962,629981.6888599885,619586.685593029,609175.1810202792,598760.4383716851,588354.8802097426,577970.1217809769
IH,0.0,3359.2586832023594,5792.459000595849,7688.235522320672,9241.767921637558,10559.219323448819,11701.391170026267,12704.87754184913,13592.956843415977,14381.392144093445,15081.589292479091,15702.344797593678,16250.826581837948,16733.131789526004,17154.60914523196,17520.049310009592,17833.800825598824,18099.843893623784,18321.840100040507,18503.1682598954,18646.952088352988,18756.08288600236,18833.23901182081,18880.903127535872,18901.377761077445,18896.799499835914,18869.151998509984,18820.277921399073,18751.889906795477,18665.580625857412,18562.83200131668,18445.023647960523,18313.440594661508,18169.28034569808,18013.659336765606,17847.61883831785,17672.13035575437,17488.100572594023,17296.375879272608,17097.746526685467,16892.95044015339,16682.67672618918,16467.5689013284,16248.227869388693,16025.214670851776,15799.05302562337,15570.23168821494,15339.20663239692,15106.403080583357,14872.217391607317,14637.018819119137,14401.15115156984,14164.934243614043,13928.665447765849,13692.620954253794,13457.057046234211,13222.211276824864,12992.171668302752,12772.750411448653,12570.245559027622,12390.794055654862,12240.103734233619,12123.416445361625,12045.603135917512,12011.327365934843,12025.238994603822,12092.176887979065,12217.370540198131,12406.637159533291,12666.574391431268,13004.750427188817,13429.893472849964,13952.081883453455,14582.934984992038,15335.802881122128,16225.95148773945,17270.73675934015,18489.759696340403,19894.96255941715,21490.64774840989,23277.170897107837,25252.4531353458,27412.547108074774,29751.81484497891,32262.97051829392,34937.10149092959,37763.71589577813,40730.83385362041,43825.12422653555,47032.081340032935,50336.23263432344,53721.3669356436,57170.77306327825,60667.47929548149,64194.485484989826,67734.9811186673,71272.5441940304,74791.31732093205,78276.15886869402,81712.76821658874,85087.78520233028,88388.86469179412,91604.72782032682,94725.19189817682,97741.18125209825,100644.72141721364,103428.91912346092,106087.93046398084,108616.91951103999,111012.00947816923,113270.22833174132,115389.45054480172,117368.33647134235,119206.27060854083,120903.299813714,122460.07235590974,123877.77851169842,125158.09326211497,126303.12151319219,127315.34614576257,128197.57910034129,128952.91561875938,129584.69169441551,130096.44472608753,130491.87732469873,130774.82418681702,130949.22192160027,131019.08169810996,130988.46456623732,130861.45929587826,130642.16257453474,130334.66140240672,129943.01752557517,129471.25375147031,128923.3419959678,128303.19291773935,127614.64700255754,126861.46696783055,126047.33136549428,125175.82926933217,124250.45594068419,123274.60937423528,122251.58763305833,121184.58688926607,120076.70009346097,118930.91620263389,117750.11990223879,116537.09176385598,115294.50878515361,114024.94526377444,112730.87396132461
IN,16618.31569605129,31832.557905484464,41765.86132874349,48625.52133482104,53543.07879156662,57148.1369712597,59811.21018665518,61762.35547615374,63152.70025615938,64087.483669103276,64644.24650973721,64883.0585043882,64852.39126186098,64592.57371542551,64137.888101335724,63517.892039780934,62758.29398747529,61881.56634907172,60907.40065221255,59853.06427212302,58733.69283114712,57562.53805395795,56351.18274557814,55109.729976458286,53846.97097469967,52570.53476847228,51287.02179576136,50002.12322226654,48720.7274228028,47447.01489831254,46184.54277097528,44936.31989787795,43704.87355588703,42492.3085702494,41300.359684207804,40130.437895561045,38983.671418487305,37860.941865263885,36762.91618299659,35690.07482529513,34642.736588072665,33621.08049227756,32625.165054263216,31654.94524647667,30710.287416959574,29790.982405537554,28896.757067241488,28027.284389171422,27182.19236539948,26361.07177534421,25563.482994082522,24788.961948062304,24037.025316423766,23307.175066434636,22598.90240121668,21911.691188829423,21245.0209337396,20617.504880640943,20055.42594741037,19586.263425218534,19235.476040912265,19025.318763434934,18974.856266696315,19100.62158113954,19417.57423991601,19940.15523042508,20683.331215894283,21663.580501196877,22899.808414791314,24414.198131263936,26233.01027890941,28387.34497193885,30913.87578698193,33855.55828093248,37262.306896456954,41191.62416367666,45709.15553580566,50889.13264881503,56765.04512049479,63331.84081080373,70566.11988996142,78434.4780414994,86896.72735397209,95907.02359172326,105414.26083652017,115362.33284325198,125690.50723411664,136333.9922543953,147224.6968133991,158292.14788079457,169464.5141935398,180669.6816849805,191836.32898462293,202894.9579028769,213778.84224223573,224424.8673817713,234774.24204800487,244773.07195791398,254372.79225025195,263530.4616243354,272208.925823412,280376.8615698722,288008.71438457794,295084.54504544655,301589.7999239907,307515.0202498168,312855.5046520382,317610.9382585993,321785.00032631576,325384.96093216387,328421.27576564264,330907.18658921233,332858.3335278983,334292.3840441677,335228.6822716773,335687.92133288435,335691.8403543694,335262.9471176733,334424.2666359024,333199.11541785963,331610.9007608576,329682.94408865855,327438.3271099976,324899.7594040307,322089.46593059594,319029.0929050738,315739.6304605223,312241.3505353768,308553.75846607913,304695.5568243075,300684.62011271424,296537.97901681287,292271.81300023064,287901.4501229952,283441.37305548106,278905.23035226506,274305.85213901405,269655.2694506227,264964.73653940315,260244.75554772597,255505.10300985197,250754.85771266284,246002.42950461904,241255.58869665168,236521.49574802272,231806.73097469794,227117.32405774557,222458.78316498877,217836.12353091134,213253.8953679453,208716.21100706153
D,3743.0,3743.0,3746.4051473612244,3752.2767334285636,3760.069993004615,3769.4380067895527,3780.141468834802,3792.0027052035603,3804.881135927765,3818.659777435203,3833.237624552207,3848.5252337616876,3864.442078219045,3880.914896918469,3897.876609287641,3915.265556544312,3933.0249360094344,3951.1023529483396,3969.4494471989647,3988.021570203779,4006.7774983761246,4025.6791745155756,4044.6914722184993,4063.781980027583,4082.9208030612917,4102.080380419377,4121.2353169755315,4140.362228355579,4159.439598021098,4178.447645467216,4197.368204616672,4216.184611558539,4234.881600842703,4253.445209601883,4271.862688831413,4290.122421213233,4308.2138449238655,4326.127382916344,4343.854377212842,4361.38702778797,4378.718335662337,4395.8420498622045,4412.752617933785,4429.445139730493,4445.915324218124,4462.159449066968,4478.174322821423,4493.95724945696,4509.505995151587,4524.818757114414,4539.894134327791,4554.731100071852,4569.328976111458,4583.687408435455,4597.806344447141,4611.686011512904,4625.3268967832055,4638.7297282066875,4651.899377598118,4664.846608359656,4677.588567979884,4690.148624724863,4702.555932664603,4714.844959325268,4727.055109718784,4739.23051612301,4751.42002419374,4763.677384553468,4776.061648755592,4788.637765026929,4801.477369365948,4814.659769346621,4828.273119979387,4842.415792303668,4857.197935409037,4872.743230855926,4889.190834658548,4906.697495874171,4925.439832317176,4945.6065671981805,4967.390784899967,4990.985930297193,5016.583340996237,5044.370353326146,5074.528588628952,5107.232282891906,5142.646637715349,5180.92621950985,5222.21345115731,5266.637242293589,5314.31179872734,5365.335642346712,5419.790862415647,5477.742608736651,5539.238827550679,5604.310232723316,5672.970497969376,5745.216650670746,5821.029644201532,5900.375083465058,5983.204077392313,6069.454192247394,6159.050480521314,6251.9065617671,6347.925733748833,6447.002094580398,6549.021658976752,6653.863454218252,6761.400583848529,6871.501249422978,6984.029722752228,7098.847263014239,7215.812974824555,7334.784604852666,7455.619275857252,7578.174158094398,7702.307078944822,7827.877072325418,7954.744870014959,8082.7733374520185,8211.827856873046,8341.776660867123,8472.491119547274,8603.845984590787,8735.719593395866,8867.99403655063,9000.555291723094,9133.293326965926,9266.102176294862,9398.879990250927,9531.529063999104,9663.955845354098,9796.070924960703,9927.789010694702,10059.028888192297,10189.713369263365,10319.769229797452,10449.127138632288,10577.721578723082,10705.490761827316,10832.376537804292,10958.324299521171,11083.282884257631,11207.20447240914,11330.04448420414,11451.76147507249,11572.317030231261,11691.675658988817,11809.804689208708,11926.674162320898,12042.256729218825
R,0.0,7372.397610017995,15835.741789525104,25215.683850640125,35354.629025655144,46120.36961187508,57401.51732148999,69102.89287597818,81142.13097453998,93447.29866810504,105955.2040344744,118610.15124648881,131362.98258105665,144170.3083384679,156993.86439924155,169799.96088147827,182558.9995450329,195245.04593797057,207835.44714956655,220310.48886165454,232653.0870380839,244848.51056842125,256884.13178215016,268749.2021425548,280434.65071021643,291932.90318669274,303237.71953708725,314344.0483597729,325247.8963290037,335946.2111841744,346436.7768788583,356718.1196334698,366789.4237572553,376650.45621813444,386301.4990426785,395743.2887233648,404976.9618964801,414004.00663208263,422826.21874776244,431445.66262111627,439864.6360324411,448085.63861972623,456111.34357314155,463944.5722364129,471588.2713182438,479045.4924487508,486319.37384415127,493413.12386806705,500330.0063001337,507073.32714244805,513646.4228120303,520052.6495831697,526295.3741574896,532377.9652520074,538303.7861065525,544076.1878217944,549698.5034479634,555180.9151142355,560539.9571340258,565797.688386968,570980.8250372238,576119.9941266461,581249.1845528674,586405.4215065253,591628.6630350059,596961.9048750113,602451.476119984,608147.5095703691,614104.574076637,620382.4601538291,627047.1136131942,634171.7143178748,641837.898048936,650137.118606218,659172.1444716717,669058.6794955608,679927.090079234,691924.2123128483,705197.3836876397,719887.6501983539,736129.7419850302,754051.5195760978,773773.1182247831,795405.9309266284,819051.5314030307,844800.616875483,872732.035124019,902911.9467893633,935393.1608527869,970214.6686332854,1007401.3898181047,1046964.1333987517,1088899.767251708,1133191.5826829749,1179809.8346159544,1228712.4341940747,1279845.7682548026,1333145.6192121299,1388538.1591291376,1445940.9929294111,1505264.2275513853,1566411.546177727,1629281.2692837277,1693767.3869857548,1759760.549905379,1827149.0083988176,1895819.4924636204,1965658.0268773818,2036550.678118614,2108384.231355614,2181046.797265406,2254428.3496710532,2328421.1959777167,2402920.3831659146,2477824.042686931,2553033.6780237164,2628454.3989540976,2703995.1067040144,2779568.63422764,2855091.8458176623,2930485.7001497177,3005675.280715004,3080589.797407449,3155162.5628175554,3229330.9465535064,3303036.3106690217,3376223.9290330275,3448842.8932334753,3520846.0073704966,3592189.673865445,3662833.7721944368,3732741.53224922,3801879.4038355285,3870216.9236400113,3937726.5808315133,4004383.6823107568,4070166.2184840487,4135054.7303109434,4199032.178262248,4262083.813722679,4324197.053281102,4385361.356269863,4445568.105842517,4504810.493815476,4563083.409443061,4620383.332246399,4676708.22897398,4732057.454734748,4786431.658312854,4839832.691646106,4892263.523427118
G,929178.0,929178.0,933180.4493518985,938856.1256921876,945221.4352605749,951806.5187369602,958377.7122387093,964818.4385183622,971072.4660171949,977115.313326839,982939.3261582473,988545.7074664013,993940.1964836791,999130.7070484138,1004126.0361683534,1008935.1645560107,1013566.8872975034,1018029.6292691065,1022331.3636754736,1026479.58750532,1030481.327621256,1034343.1625178027,1038071.2512630721,1041671.3648729662,1045148.9175237354,1048508.9962543226,1051756.3885252664,1054895.6074064989,1057930.9143905805,1060866.3399461322,1063705.7019828402,1066452.622420717,1069110.542057837,1071682.7339217416,1074172.3152755199,1076582.2584333431,1078915.4005237594,1081174.4523232765,1083362.0062681825,1085480.5437393552,1087532.441703037,1089519.9787801502,1091445.340807597,1093310.625947004,1095117.8493894285,1096868.947698491,1098565.7828291585,1100210.1458548487,1101803.7604315737,1103348.286024416,1104845.3209186536,1106296.4050352657,1107703.0225683008,1109066.6044596303,1110388.5307249038,1111670.1326430305,1113008.3729812703,1114473.9255324593,1116119.4480317566,1117986.1265772136,1120108.7397047647,1122519.5142686537,1125251.0478722567,1128338.5523553498,1131821.637284691,1135745.8103518349,1140163.8298586672,1145137.0069801358,1150736.523622523,1157044.8050954437,1164156.9641954124,1172182.3130582029,1181245.9198158437,1191490.1676739464,1203076.2541370667,1216185.5481752702,1231020.7044326665,1247558.3518530582,1265727.471182344,1285498.8008827383,1306854.4749999018,1329774.1022302264,1354228.5142576634,1380177.2449454896,1407567.9305310207,1436336.7639965303,1466409.557919612,1497703.1617817369,1530127.0712008935,1563585.114773476,1597977.1338623539,1633200.5921298827,1669152.0689856787,1705728.6058465466,1742828.886608596,1780354.2441046627,1818209.4926205697,1856303.5928842442,1894550.160503353,1932867.8318411517,1971180.5030424285,2009417.4586089612,2047513.4058184794,2085408.4305980261,2123047.8893855126,2160382.250192735,2197366.8946382413,2233961.89123965,2270131.748808299,2305845.157419848,2341074.723171687,2375796.7017979734,2409990.7352022897,2443639.5940860263,2476728.929092211,2509247.032241415,2541184.6098982124,2572534.5680624917,2603291.8104184354,2633453.0492843245,2663016.6293783044,2691982.3641394116,2720351.3842111123,2748125.9975988283,2775309.560946892,2801906.361338425,2827921.5079989457,2853360.833277009,2878230.8022794323,2902538.4305518395,2926291.2092150254,2949497.0369921024,2972164.1585890055,2994301.108920501,3015916.6627043737,3037019.7889772393,3057619.6101158746,3077725.3649776173,3097346.3758020154,3116492.0185432336,3135171.6963286395,3153394.8157634228,3171170.765823993,3188508.8991042688,3205418.5151988477,3221908.8460254464,3237989.0429060375,3253668.1652417923,3268955.170631388,3283858.906295502,3298388.101682479
H,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,15394736.81119358,14671460.767517757,13948184.723841934,13224908.68016611,12501632.636490287,11778356.592814464,11055080.549138641,10331804.505462818,9608528.461786995,8885252.418111172,8161976.374435349,7438700.330759527,6715424.287083705,5992148.243407883,5268872.199732061,4545596.156056238,3822320.112380416,3099044.068704594,2375768.0250287717,1652491.9813529493,929215.9376771268,205939.8940013044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
