series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,6264.128483673044,6260.240825142604,6256.81607494056,6253.653022148565,6250.628854122298,6247.667689490174,6244.722540065464,6241.764542472256,6238.77635526281,6235.748035828987,6232.674432040689,6229.553515402273,6226.385306549773,6223.171176676551,6219.9133891584315,6216.614795544278,6213.278631307139,6209.908376462309,6206.507658674276,6203.080184455553,6199.629689166148,6196.15989979666,6192.674506621614,6189.177141163186,6185.671358777475,6182.16062473773,6178.648303052055,6175.137647487831,6171.631794427283,6168.133757277667,6164.646422224459,6161.1725451590055,6157.714749641173,6154.275525777696,6150.857229911501,6147.462085028202,6144.092181794719,6140.749480152218,6137.435811391926,6134.152880648131,6130.902269747957,6127.685440362507,7721.469291236569,9313.998922817025,10905.232573944597,12495.111189268664,14083.529120881054,15670.316311669167,17255.227222908557,18837.93243787083,20418.01015788851,21994.936078661576,23568.071171407646,25136.647684929274,26699.754293399914,28256.321799217934,29805.111177632753,31344.705984773016,32873.511167381475,34004.9812959451,33911.33468176054,33808.535468380476,33695.90396286582,33573.32911436175,33441.041702335104,33299.49432828368,33149.289311108776,32991.12974840182,32825.78321498912,32654.053502684244,32476.758243991175,32294.71124268453,32108.70872513833,31919.51889208295,31727.87423739588,31534.466163188943,31339.941476616354,31144.900407583104,30949.895837628912,30755.433477592,30561.972774364447,30369.92836475231,30179.671927160663,29991.534309810486,29805.80783788132,29622.74872184239,29442.579505774702,29265.49150816261,29091.647218870545,28921.182625197238,28754.20944734636,28590.817269654402,28431.07555871757,28275.03556336654,28122.732094425828,27974.185184510086,27829.401629875716,27688.376417665557,27551.09404284215,27417.529719772116,27287.650493859073,27161.416258873334,27038.780685733287,26919.692068488093,26804.094093160864,26691.926534957096,26583.125889142506,26477.62594066129,26375.35827731147,26276.252751027245,26180.237891546218,26087.24127646681,25997.18986143326,25910.01027392416,25825.629073868862,25743.972984075037,25664.969093221687,25588.545033955506,25514.62913842476,25443.150573394065,25374.03945690527,25307.226958283773,25242.64538313569,25180.228244838603,25119.91032389702,25061.627716411946,25005.317872802218,24950.919627812305,24898.37322274684,24847.620320785514,24798.60401615273,24751.26883784375,24705.56074854283,24661.427139308264,24618.81682054392,24577.68000972664,24537.968316312785,24499.634724205633,24462.633572127128,24426.920532203087,24392.452587039443,24359.18800553866,24327.086317679543,24296.10828846014,24266.21589118224,24237.372280236596,24209.541763530517,24182.68977468378,24156.782845104335,24131.788576042505,24107.67561071055
E,0.0,3.8876585304396962,6.534485162465511,8.389982266115679,9.735308154949507,10.748429867194833,11.542809910047025,12.191082041781426,12.739824019585187,13.21889451471539,13.647386976472074,14.037450605283887,14.396754405211704,14.73008224916703,15.04036857081535,15.329372448267659,15.598117042521176,15.847176236992606,16.07686143137751,16.287342866020374,16.478727868539924,16.651110659622272,16.80460332239688,16.939354264412803,17.055558362831626,17.153461582587422,17.23336193598114,17.295608043537626,17.340596151691337,17.36876619262077,17.380597289504234,17.37660298671774,17.35732639948129,17.323335418355605,17.2752180623594,17.213578044747205,17.139030593963756,17.052198556507356,16.95370879673283,16.844188899879057,16.724264178041693,16.59455497388793,16.455674253242858,17.598802969079983,19.809171170802554,22.932278737420912,26.891133702829364,31.688559459123788,37.40229604723089,44.17840566789421,52.226105298167155,61.81525306382298,73.27643274696811,87.00280046653648,103.45241611785453,123.1495532212525,146.68340489679997,174.7026853724828,207.90491002819965,247.01966622246792,291.23744834576974,335.75981622452207,381.2055149454203,427.5008361259697,474.2449901680994,520.8955637607169,566.8689635250608,611.5975948923733,654.5629621845596,695.3141041346174,733.4764564940511,768.7542343483326,800.9284169806433,829.8518355377795,855.4424766242278,877.6758295559486,896.5768832139065,912.2122034333054,924.6823845379483,934.1150625487746,940.6585973633682,944.4764720315981,945.7424149157584,944.636221378498,941.3402326285596,936.0364179638239,928.9040008688721,920.1175676628524,909.8455984232446,898.2493627954651,885.4821273354235,871.6886257062337,857.0047479899704,841.5574103205236,825.4645708184064,808.8353623000879,791.7703163767418,774.361657317593,756.6936474224025,738.8429686335146,720.8791277385106,702.8648747946902,684.8566263748087,666.9048869196762,649.0546629173054,631.3458658392054,613.8137007794061,596.4890385860919,579.3987699723062,562.5661406617835,546.011067087036,529.7504325257238,513.798363852387,498.16648930834924,482.8641778638198,467.898760872292,453.27573680624533,438.99895992174373,425.0708137335701,411.4923701969485,398.2635354907775,385.3831832840777,372.8492763448901,360.65897732151274,348.8087494916673,337.29444823752203,326.11140396474053,315.2544971429007,304.7182261035409,294.496768191378,284.5840348243856,274.97372097979087,265.6593495859019,256.63431126420875,247.8918998325213,239.42534394808837,231.22783523970656,223.29255324977044,215.61268748100383,208.18145681819487,200.99212657257027,194.03802337541384,187.31254812807546,180.80918719755144,174.5215220302516,168.44323734132104,162.56812802286723,156.89010490157338,151.40319946437558,146.10156766006804,140.97949287480256
I,20.034712934771882,18.43193589999013,17.657512241007836,17.421711381237856,17.53893239442808,17.8890564307652,18.393624359975277,19.000887326503612,19.676317048861392,20.39653572977681,21.145413065281446,21.91154772870282,22.686638457720985,23.464429207443203,24.240025947671832,25.009454634888463,25.769375942694808,26.51690195260224,27.249479130677337,27.964814305895867,28.66082841962127,29.335628066615747,29.98748828233146,30.61484228451556,31.21627536031739,31.790521069482132,32.336458582976746,32.85311040733985,33.33964003190732,33.79534922717275,34.21967484969178,34.61218509313241,34.97257518024422,35.3006625259663,35.596381423861,35.85977732077248,36.091000750950386,36.290301002836244,36.458019590668854,36.594583599999154,36.7004989718098,36.77634378470862,36.822761588970664,36.84045484030404,37.06259950182993,37.66503938518154,38.78172675946327,40.522032173855735,42.987085000312625,46.2839245207578,50.53733132105048,55.89978157563134,62.560152308401406,70.75174545176739,80.76000255097804,92.93002216273693,107.6737117535022,125.47613440398422,146.90037555901924,172.59008987288803,203.26883153819207,239.45648596632068,280.7671932033991,326.9573923382961,377.789733137303,432.9736748992408,492.1442365768054,554.8605358563366,620.6147424962945,688.846276415924,758.9581900029211,830.3338359098138,902.35263045953,974.4041930711876,1045.9004698660506,1116.2856814244628,1185.0440965336727,1251.705742743444,1315.8502332885632,1377.1089284489544,1435.165665744701,1489.7562939346408,1540.667235656607,1587.7332866027723,1630.8348382857453,1669.894688856186,1704.8745835940667,1735.7716046428418,1762.6145089499196,1785.4600946049045,1804.3896590163404,1819.5055976840654,1830.9281796571256,1838.792525002986,1843.245800601292,1844.4446431438419,1842.5528121942784,1837.7390713611123,1830.175291898962,1820.0347702200745,1807.4907487297105,1792.7151279679365,1775.8773571344382,1757.143489593976,1736.6753898230977,1714.630078390932,1691.1592019066072,1666.408615361154,1640.518064899511,1613.6209597428206,1585.8442227135927,1557.308209573152,1528.1266881435,1498.4068689398455,1468.249479774501,1437.7488774993583,1406.9931907268665,1376.0644880043315,1345.038966511013,1313.9871569007175,1282.9741404241313,1252.0597749355768,1221.2989268192764,1190.7417062621505,1160.4337036554625,1130.4162252283234,1100.726526304317,1071.3980408305479,1042.460606058446,1013.9406814599084,985.8615611429142,958.2435791897001,931.1043074798507,904.4587456820976,878.3195032039577,852.6969729791858,827.5994970508643,803.0335239741758,779.003758118786,755.5133009974488,732.5637847859957,710.1554982312603,688.287505168571,666.9577558900214,646.1631916194981,625.8998423610573,606.1629183942518,586.9468956939396,568.2455955534,550.0522586886517,532.3596140990588
A,2.2260792149746536,1.7871395994026469,1.5125427137134304,1.345054216107044,1.2477198443794917,1.1964979998537961,1.1756487551096215,1.1748061847309632,1.1871017298945175,1.207953202899259,1.234279408915139,1.2639887663722205,1.295645219459729,1.3282493320829953,1.3610944632255073,1.3936720260156168,1.4256089163348635,1.4566260724885192,1.486510941784692,1.5150991139296537,1.542262003671445,1.567898527908306,1.5919294205276748,1.6142932879482765,1.634943811858368,1.65384770652583,1.6709831712968115,1.6863386674331664,1.6999119073364408,1.7117089834009271,1.7217435897969593,1.7300363077632483,1.7366139363815787,1.7415088582537785,1.74475843429648,1.7464044248861108,1.7464924364137213,1.7450713933454205,1.7421930364002338,1.737911447637317,1.7322826032140728,1.725363954420962,1.7172140373752351,1.7078921115029466,1.7232823851847905,1.7798676394648392,1.887789011143848,2.0536473862959204,2.28279858067774,2.581097931543011,2.9561689335609094,3.418318324598413,3.981220436458719,4.662468295940583,5.484053011688838,6.472795287553828,7.660718060066634,9.085319765487966,10.789685699647256,12.822362912608911,15.236925019591492,18.06018368693831,21.21764667051175,24.66189128940252,28.353370784349742,32.25231641766561,36.315947341289274,40.49824051005511,44.750890117497654,49.024740184788975,53.27130356717552,57.444158783308325,61.5001190872624,65.40013069920708,69.10989562622515,72.60023767933845,75.84724318701836,78.8322138191245,81.54147018097427,83.96604308945095,86.10128591721727,87.9464369550347,89.50415599679849,90.78005469504521,91.78223591288139,92.52085344819392,93.00770018715153,93.25582996386561,93.2792161358795,93.09244808561228,92.71046547088937,92.14832901497208,91.42102589093851,90.54330726359086,89.52955525628848,88.39367646819613,87.1490191433887,85.80831115683438,84.38361610856752,82.8863049861693,81.3270410509447,79.7157758123894,78.06175416912093,76.37352700529895,74.65896973457487,72.92530547529242,71.17913171877575,69.42644951584661,67.67269435471042,65.92276803610592,64.18107096958886,62.45153441875915,60.73765231406749,59.042512330578155,57.3688259957965,55.71895765047192,54.0949521342148,52.4985611088248,50.93126796636342,49.39431129708928,47.88870691521108,46.41526845872362,44.97462659402823,43.56724686717858,42.193446251948586,40.853408450941416,39.54719801003924,38.27477330897424,37.03599849197589,35.83065440257047,34.65844858589106,33.51902442048276,32.411969439711825,31.33682290063847,30.293082655697464,29.280211379837297,28.297642202969698,27.344783794735175,26.421024945743877,25.525738686641546,24.65828598360605,23.818019046223036,23.00428428113519,22.216424922419897,21.453783367331937,20.71570324385531,20.00153123444293,19.310618678384447,18.642322973428527,17.996008795593593,17.371049154525984
IH,0.0,0.8013885173908752,1.5196593379602041,2.1899179078639137,2.834847850649887,3.469170762939622,4.102454333712596,4.740900968855375,5.388496016922086,6.047749174278088,6.720175502666225,7.406608918792515,8.107407508206187,8.822588813211182,9.551919718263072,10.294976875435317,11.051188015647767,11.819860869330073,12.60020406880227,13.391342873977239,14.192331564229184,15.002163686342012,15.819780921046497,16.644081050760487,17.473925328021597,18.308145424646284,19.14555006420276,19.984931390725848,20.8250710953584,21.664746303575512,22.502735214715255,23.337822479952234,24.168804302763203,24.994493246103158,25.813722732093474,26.62535122244779,27.42826607073665,28.221387040652527,29.003669487503235,29.774107203113758,30.531734927075828,31.27563052980272,32.004916875096036,32.718763371899506,33.416387226600285,34.10635124970851,34.80404891912562,35.52986671478905,36.30808243032283,37.166443235254114,38.136319787860224,39.25332994866368,40.55834587263488,42.09882542651854,43.930432991157794,46.11893041125319,48.742323793212634,51.8932454631038,55.68153329964014,60.23694356285112,65.71190125612347,72.28415847077274,80.14804694959682,89.4778550509341,100.4339950814224,113.16358082286791,127.79861531605313,144.45337162991984,163.22177731451472,184.1752190206774,207.36096711133993,232.801292928792,260.49327370966586,290.4092326629959,322.49773418793234,356.68504043201034,392.8769312143514,430.96079173546843,470.8078791948634,512.2756887279177,555.2103496840144,599.4489942796822,644.8220514340877,691.1554287070013,738.2725544545254,785.9962604614449,834.1504923556935,882.5618410763918,931.0608936092641,979.4834052041401,1027.671298444382,1075.4734969483463,1122.7466032487548,1169.355431613047,1215.1734073255434,1260.0828443315443,1303.9751132165109,1346.7507113236563,1388.3192464554702,1428.599345105846,1467.5184955691366,1505.012835603626,1541.0268936166783,1575.5132916092196,1608.432417385734,1639.7520728163593,1669.4471042404175,1697.4990204336016,1723.89560292955,1748.6305128943457,1771.7028982017052,1793.1170038482144,1812.8817883818824,1831.0105485927775,1847.5205543302127,1862.4326949651681,1875.7711387072995,1887.5630057107996,1897.8380556602153,1906.6283903137073,1913.968171294827,1919.8933532623485,1924.441432448809,1927.6512104400397,1929.5625729680714,1930.2162834065005,1929.653790588885,1927.9170505153982,1925.0483614692457,1921.090212030876,1916.085141453499,1910.0756118467186,1903.103891605126,1895.2119495145523,1886.4413589694875,1876.8332117401694,1866.4280407363658,1855.2657512263004,1843.3855599829762,1830.8259418458695,1817.624583203167,1803.818341918072,1789.4432132418578,1774.5343012760652,1759.1257955662643,1743.2509524299462,1726.9420806411983,1710.23053111471,1693.1466902512364,1675.7199766258134,1657.9788407186916
IN,0.8013885173908752,1.4685266971456001,1.9597933647835994,2.3377850314127175,2.643022682155937,2.9018151020216023,3.13125901746161,3.3424487091257356,3.5425499655529635,3.7361470156288674,3.9261210164106974,4.114225255135514,4.3014632515036055,4.488338362931907,4.675019381518525,4.861451061736328,5.047428451167637,5.23264735841111,5.416739034127305,5.599294361306298,5.779881032263516,5.958055998087215,6.133374694168042,6.305398031739568,6.473697807845041,6.637860964499097,6.797492982473226,6.952220600092004,7.101693985544689,7.245588451175509,7.383605772526749,7.5154751586090605,7.640953909672005,7.759827792462216,7.871911159141833,7.977046833742792,8.075105788628901,8.165986632522625,8.249614930970182,8.325942379508026,8.39494584916285,8.456626323216286,8.511007743372812,8.558135782581795,8.598076560789668,8.640212159911284,8.699386707673355,8.793315702185854,8.941121724968406,9.162769076205258,9.479159164612962,9.912683173149725,10.488080312355695,11.233500507672654,12.181710025447398,13.37140371803303,14.848598134697312,16.668077331510723,18.89485034421502,21.605559172079673,24.8897527670703,28.85092081475132,33.59601160119468,39.198622806132185,45.71028043036835,53.164384718266724,61.57711900497155,70.94735631643103,81.25652317917748,92.46884437852671,104.53211463790106,117.37899631706993,130.92876642902976,145.08940152906055,159.7598789156902,174.83257727373459,190.19567306670098,205.73544643026617,221.3384291997165,236.8933461720859,252.29281761826655,267.43480579440956,282.22380049055124,296.57174847917906,310.3987392275774,323.63346464880186,336.2134742668811,348.0852492558421,359.2041196649247,369.53404902802646,379.0473097093685,387.7240709630272,395.5519199525186,402.5253340285342,408.6451205106204,413.917838149593,418.35521242781806,421.97355493204213,424.7931952410625,426.83793212885337,428.13450940379175,428.7121203898457,428.6019439038169,427.83671358767185,426.45032160747064,424.4774570193766,421.9532785166058,418.91312079641267,415.39223341078855,411.42555067633685,407.0474910062351,402.29178387954715,397.1913225705089,391.7780407137961,386.08281077314774,380.13536250290025,373.9642195387213,367.59665231964,361.0586456236523,354.3748790897162,347.5687191964478,340.66222126945695,333.67614019268024,326.6299486023784,319.54186144414814,312.42886587215594,305.3067555649278,298.19016862274873,291.0926282975695,284.0265858869839,277.00346519915973,270.0337080655327,263.12682044264295,256.29141870381534,249.53527577562951,242.86536682349436,236.28791423537405,229.80843169306684,223.43176715667877,217.1621446203406,211.00320452606098,204.95804274816325,199.02924808328174,193.21893820065293,187.52879402466647,181.96009253657832,176.5137379951449,171.19029158692223,165.98999952627503,160.9128196329363,155.9584464214094
D,130.0,130.0,130.00084822004098,130.00245668519605,130.00477457747579,130.00777508809935,130.01144699018283,130.01578918364768,130.02080713327734,130.02651052209944,130.0329116894996,130.04002457846232,130.0478640146212,130.05644520262123,130.06578336567475,130.07589348025581,130.08679007475098,130.09848707183542,130.11099766145992,130.12433419596167,130.13850810181972,130.15352980452653,130.16940866430622,130.1861529212176,130.20376964869052,130.22226471486132,130.2416427512634,130.26190712853793,130.28305993888546,130.30510198500218,130.32803277524746,130.35185052478042,130.37655216238883,130.40213334271652,130.42858846357888,130.45591068804092,130.4840919709202,130.513123089367,130.5429936771686,130.5736922624205,130.60520630820938,130.63752225595354,130.67062557105442,130.7045007905191,130.73913157222557,130.7745007455134,130.8106002029259,130.84743813004806,130.88504429028936,130.92347414359813,130.96281251858062,131.00317744773918,131.0447246628724,131.08765315641986,131.13221215202964,131.1787097906444,131.2275238180407,131.27911454462054,131.3340403263577,131.39297577580805,131.45673284448085,131.52628481629756,131.6027931147435,131.68762485140067,131.7823316112685,131.88863476582364,132.00841139735635,132.14367830518833,132.2965732395971,132.4693333673463,132.66427141354183,132.88375013603684,133.13015586551901,133.40587183911225,133.71325199977386,134.05459584906782,134.43212484161472,134.84796070581757,135.30410597429884,135.8024269134117,136.3446389569487,136.93229467616234,137.56677425685785,138.24927840436877,138.98082355797837,139.76223926683645,140.5941675585255,141.4770641179947,142.4112010874576,143.39667129595975,144.43339372966557,145.52112005959847,146.65944205180213,147.84779969499508,149.08548989218258,150.37167557488394,151.7053951112288,153.08557189184907,154.51102398998597,155.980473804346,157.49255760482652,159.04583491218187,160.6387976529445,162.26987904040655,163.93746214118667,165.63988809485144,167.37546396124404,169.1424701766179,170.93916760541242,172.7638041795782,174.61462112180322,176.48985875285274,178.38776188655757,180.30658481881594,182.24459591935369,184.200081836961,186.17135133053162,188.15673873951022,190.1546071083426,192.16335098025488,194.18139887619313,196.20721547506312,198.23930351154695,200.2762054077632,202.31650465490242,204.35882696072872,206.4018411785089,208.44426003252923,210.48484065489998,212.52238494784066,214.55573978509796,216.58379706557963,218.60549363170284,220.61981106435877,222.6257753657954,224.62245654112021,226.60896808853093,228.58446640779619,230.54815013593605,232.49925941849241,234.43707512423848,236.36091801065183,238.2701478469723,240.16416250118058,242.04239699677163,243.9043225447538,245.74944555588485,247.57730663775607,249.3874795809574,251.17957033819937,252.9532159999295
R,0.0,0.5731899532081568,1.1897483596501632,1.8507347036837811,2.5572047138446794,3.3102295991335953,4.11088090822823,4.960207453280521,5.8592131632779,6.80883835179743,7.809944640247645,8.863303085159675,9.969584933684887,11.129354496172642,12.343063734580674,13.611048269303225,14.933524589924742,16.31058831621235,17.742213397676274,19.228252167537864,20.76843618388908,22.362377800419047,24.00957241379117,25.709401336401378,27.461135243142245,29.263938139849525,31.116871799932564,33.01890061468476,34.96889680217531,36.965645919567415,39.00785262424149,41.09414663022229,43.22308880807916,45.393177378628806,47.602854153350236,49.85051077734333,52.134494933849915,54.45311647273358,56.804653428812436,59.187357899493456,61.59946175471205,64.03918215568585,66.5047268624063,68.99429931308033,71.5061034618688,74.04344046593948,76.614627295494,79.23281607215088,81.91589015316049,84.68654251734002,87.57259387898125,90.60758042404733,93.8316286997961,97.29263204090917,101.0477438538732,105.16520412143923,109.72651366967915,114.82896393244937,120.58851677600367,127.14300888485872,134.65562881689752,143.31858398859063,153.35073299798546,164.97856552478675,178.4354988007632,193.95941868041277,211.78929807836158,232.16137643654596,255.30521882791186,281.43988216254445,310.7703551305629,343.48439124078413,379.7498146786883,419.71234492637643,463.4939577328877,511.1917769451639,562.8774736750497,618.5971358981374,678.3715623433915,742.1969288560717,810.0457726997032,881.868239924828,957.5935424373414,1037.1315742713145,1120.3746404000788,1207.1992558609904,1297.4679777427748,1391.0312374662687,1487.7291456074317,1587.3932461373213,1689.8482012962388,1794.9133923180223,1902.404424839987,2012.134531058452,2123.915863518506,2237.5606778704328,2352.8824040029826,2469.6966067000203,2587.821838390065,2707.0803876977457,2827.2989283926713,2948.3090739946606,3069.9478437635707,3192.0580461043223,3314.488585578431,3437.0946997555525,3559.7381320831028,3682.2872468176483,3804.617091864919,3926.609415130449,4048.1526397024863,4169.141802883604,4289.4784637665025,4409.070583720345,4527.832383822973,4645.684182946477,4762.5522198830995,4878.36846258831,4993.070407320749,5106.6008701761675,5218.90777324581,5329.943927379647,5439.666813301748,5548.0383626090415,5655.024739985445,5760.596127780548,5864.726513935031,5967.393484083262,6068.578018526147,6168.264294643592,6266.439495204985,6363.09362293711,6458.219321620897,6551.81170391073,6643.868186001656,6734.388329210133,6823.373688482072,6910.827667797192,6996.755382400416,7081.163527758596,7164.06025511359,7245.455053480226,7325.358637919236,7403.782843900643,7480.740527561648,7556.245471654566,7630.312296974366,7702.956379051608,7774.193769894662,7844.041124564903,7912.515632369704
G,9720.0,9720.0,9720.700131213018,9721.876931332528,9723.387889256217,9725.141127884108,9727.076820327778,9729.155573243104,9731.351073951582,9733.645397996406,9736.025998190293,9738.483765898936,9741.011780446252,9743.604502272592,9746.257253349417,9748.965884112447,9751.726561791045,9754.535637876368,9757.389567210652,9760.284860716325,9763.218059974522,9766.185725895086,9769.18443635613,9772.2107894209,9775.261409879464,9778.332957617455,9781.422136816507,9784.525705327509,9787.640483784664,9790.763364182481,9793.891317743175,9797.02140197459,9800.150766869154,9803.276660229296,9806.396432129268,9809.507538540089,9812.607544155928,9815.69412446789,9818.765067135948,9821.818272712531,9824.851754772342,9827.863639502986,9830.852164810025,9833.815678988476,9836.985060037227,9840.552507880724,9844.682398405821,9849.52524196097,9855.232057361334,9861.967863681804,9869.923984443758,9879.329421204024,9890.461774462845,9903.658179790884,9919.326576526237,9937.957396342073,9960.135487705858,9986.55180729662,10018.014139203975,10055.455883562565,10099.9418324177,10152.390993368885,10212.858219483269,10281.509794074438,10358.498726260508,10443.90584667343,10537.714302342933,10639.802140548609,10749.945190057073,10867.825903376406,10993.045519076677,11125.137820183803,11263.583321606304,11407.823094654723,11557.27170689528,11711.328956042977,11869.390225666144,12030.85539959861,12195.136349563205,12361.66306338668,12529.888514958344,12699.29239640786,12869.383841644598,13039.703271443292,13209.823486054487,13379.350123687787,13547.921593534164,13715.208581270464,13880.91321394897,14044.767960319949,14206.534332299776,14366.001443688809,14522.984473476594,14677.323073195024,14828.879750793569,14977.538257384222,15123.201997886166,15265.792482028543,15405.247828275282,15541.521329948311,15674.580090075553,15804.403729212156,15930.983168616092,16054.319489646385,16174.422869043025,16291.311588796707,16405.011118583658,16515.55326819073,16622.97540695798,16727.31974699325,16828.632686743447,16926.964211420094,17022.367346756295,17114.89766260412,17204.61282295396,17291.57217906078,17375.836402488236,17457.46715502385,17536.526792570876,17613.078100281462,17687.184056356935,17758.90762210231,17828.311555980854,17895.45824956927,17960.409583463555,18023.226801328852,18083.970400423113,18142.700037053688,18199.47444554803,18254.351369434167,18307.387503633967,18358.638446572186,18408.15866119751,18456.001443998146,18502.218901174572,18546.861931206116,18589.98021311613,18631.62219980351,18671.835115866055,18710.66495939422,18748.156507262564,18784.353323490708,18819.29777028652,18853.03102142146,18885.593077622136,18917.022783693254,18947.357847115334,18976.63485788656,19004.889309401537,19032.15562018106,19058.46715628656
H,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,28360.601238008483,26763.63568418058,25166.670130352675,23569.70457652477,21972.739022696867,20375.773468868963,18778.80791504106,17181.842361213156,15584.87680738525,13987.911253557344,12390.945699729438,10793.980145901533,9197.014592073627,7600.049038245722,6003.083484417817,4406.117930589912,2809.1523767620074,1212.1868229341023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
