series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,8933.448297921768,8909.52673530409,8891.627444855007,8876.578877669099,8862.842680495038,8849.65364483574,8836.629271338501,8823.581207588086,8810.421108286439,8797.112728906073,8783.647238596312,8770.03036697187,8756.27563861163,8742.400760718992,8728.425654019817,8714.371345956884,8700.25932068911,8686.11111467476,8671.948047499256,8657.791030136546,8643.6604202342,8629.575908314304,8615.556426237621,8601.62007314886,8587.784056113434,8574.064643667103,8560.47713100122,8547.035815746744,8533.75398343081,8520.64390172955,8507.716822665361,8494.982991914443,8482.451664409464,8470.131125446516,8458.02871653606,8446.150865274043,8434.503118550814,8423.09017846082,8411.915940323872,8400.983532278218,8390.295355955357,8379.853127795877,8369.657920613743,8359.710205062802,8350.009890703452,8340.556366409026,8331.348539890256,8322.384876152182,8313.663434730788,8305.181905586727,8296.937643560586,8288.927701318486,8281.148860738402,8273.597662706736,9530.92540105943,10786.887888301058,12041.524124388901,13294.801640033229,14546.6103756223,15796.762159593543,17044.990101035564,18290.944743100074,19534.18548849781,20774.166686349363,22010.218109086552,23241.519599283056,24467.069626054446,25685.647501299867,26895.7691744054,28095.63694130322,29283.08415570718,30455.51719139097,31609.85851145207,32742.49670404232,33849.25154143253,34925.36409065111,35965.52299186446,36963.93741244076,37914.4641450101,38810.79055561287,39646.66712486096,40416.17463388636,41114.00375425336,41735.72096440218,42277.995490635374,42738.767130515065,43117.34289433646,43414.41934854079,43632.03550537948,43773.46691130403,43843.07487585107,43846.12579422337,43788.594806711066,43676.96623027506,43518.04083521913,43318.757528520415,43086.0346129806,42826.63367339098,42547.04737120911,42253.411026984526,41951.43681996017,41646.36870224821,41342.95566616485,41045.44076969357,40757.56326934469,40482.571287962906,40223.24261828043,39981.9114978839,39760.49946033375,39560.5486487678,39383.25625606849,39229.509017903045,39099.91692398699,38994.84552437292,38914.44638960147,38858.68543626997,37676.515874376484,36456.26270239675,35310.495672324025,34234.82477076859,33226.0600867896,32281.454732564118,31398.364045791262,30574.109411714184,29805.941112605844,29091.046912904247,28426.57942250644,27809.688758772547,27237.5540060523,26707.410602943266,26216.57266754712,25762.45022236599,25342.56173503642,24954.542579470803,24596.150069277614,24265.265690295364,23959.89509974088,23678.166386863217,23418.3270155476,23178.73979899849,22957.878193280838,22754.32114115583,22566.747650352318,22393.931250671878,22234.734441381628,22088.103213358052,21953.061708561505,21828.707061851776,21714.204456184656,21608.782411230117,21511.728316884
E,0.0,23.921562617677075,37.03109588021823,44.665015434087636,49.45804354843375,52.74421360883469,55.20773954694589,57.20168984022643,58.90843179338096,60.42171697192447,61.789111613151135,63.03409741519778,64.16765942786274,65.19440056621241,66.1157885921951,66.93189066437914,67.64230377820185,68.24665332238443,68.74485656601487,69.1372559546635,69.42467869322554,69.60845348282467,69.6904016432622,69.67281253189287,69.55840919282961,69.35030797123741,69.05197457835534,68.66717835476372,68.19994601882175,67.65451587972713,67.03529327391098,66.34680781403827,65.59367290281155,64.78054784893715,63.912102824528574,62.99298681883994,62.02779867073383,61.02106120049218,59.97719840955527,58.900515673715866,57.79518282043451,56.66521995351569,55.51448586763304,54.34666888036176,53.16527989973,51.97364754013049,50.77491509806512,49.572039201001495,48.36778994702526,47.16475235944926,45.96532898862405,44.771743502467686,43.58604511733692,42.410113731485765,41.245665634238996,41.67962330151028,43.35294181825361,46.04993621980048,49.67569794736421,54.23243370638969,59.80062770780055,66.52721493863474,74.62085038638436,84.35346414030944,96.06711506799083,110.18530226738515,127.22810208452272,147.83061444078123,172.76413723451557,202.95918668719298,239.52890620432908,283.790537093703,337.28148326725915,401.7651928796554,479.22083896635706,571.8100147287986,681.8139296010784,811.5365047144705,963.1727273285029,1138.6475142508057,1339.4372462356428,1566.3923913349472,1819.5832399873439,2098.1902016693466,2400.4550426425876,2723.701004839293,3064.4200783151864,3418.417097408831,3780.9944386207817,4147.158538153195,4511.8299184418565,4870.041067882843,5217.110362735253,5548.784392895728,5861.344945035364,6151.680158100948,6417.321855699964,6656.452776497625,6867.88844837728,7051.038904145218,7205.855445632415,7332.767352518364,7432.612910636526,7506.568492188476,7556.0787286606355,7582.790130102698,7588.489859913271,7575.050797189783,7544.3835229601,7498.395457611648,7438.95705357169,7367.874704273244,7286.869859270576,7197.5637260598,7101.46688115513,6999.97309589675,6894.356696660849,6734.16934047813,6531.569773039675,6299.440103210149,6046.882983602316,5780.7354413808525,5506.363316615088,5228.092012525378,4949.451970175569,4673.329256706282,4402.067223488173,4137.542510796616,3881.2270367299307,3634.241646503282,3397.404081674905,3171.272444969024,2956.1846464037367,2752.2940308077036,2559.6012994457647,2377.98284094014,2207.2156229448356,2046.9988383140628,1896.9725351601846,1756.7334845806308,1625.8485523697072,1503.8658430500511,1390.3238781256985,1284.759057761886,1186.7116381428164,1095.7304372463993,1011.3764610622943,933.2256213999462,860.8706961354233,793.9226635411271,732.0115245523241
I,28.42792357027087,19.666861457050665,15.422718023548766,13.482251280882732,12.719618737299287,12.556058134390618,12.692495584687904,12.973994714045334,13.320184477397214,13.689314144658141,14.05962055494216,14.41966037879012,14.763300431642161,15.08713202121383,15.3891465638522,15.66806597085567,15.92301114222705,16.15334329448524,16.358592055224744,16.53842573022465,16.692640857894794,16.821159508320573,16.924028685902783,17.001419241827413,17.05362325471104,17.081049609481436,17.084217871406963,17.063750711110345,17.020365190284885,16.954863220125404,16.868121482719786,16.76108107382344,16.634737090553244,16.490128352992294,16.32832741607548,16.150430998108526,15.957550925097335,15.75080566575871,15.53131251057437,15.300180429419004,15.058503625994756,14.807355793381532,14.547785063297148,14.280809631980471,14.007414037786873,13.72854605944007,13.445114199240333,13.157985712212204,12.867985140017485,12.575893307301252,12.2824467378295,11.988337448177115,11.694213077705967,11.400677315019138,11.108290582884624,10.817570945698805,10.649406708319958,10.66016003148603,10.872441398912335,11.294684587690323,11.932891814222778,12.797328436302234,13.906256184360938,15.288156554754845,16.98338709941383,19.045847822008408,21.54499314281998,24.56837349246904,28.224794659391893,32.64811171121492,38.001602126949784,44.48276914433946,52.328295530688855,61.818690821275865,73.2819530702647,87.09531832865027,103.6839414002371,123.51521308602331,147.08746867802213,174.91217758561487,207.48938321155464,245.27715707658635,288.6569946200925,337.89815877389776,393.1246801286212,454.28882356712353,521.1542601549845,593.2910537187654,670.0831368743403,750.7475112239432,834.3632157543301,919.9073195370526,1006.2948513717952,1092.4196334215294,1177.1933404542685,1259.5806471897909,1338.6289481592676,1413.4917538158145,1483.4454254756208,1547.8993761064191,1606.4002196171414,1658.6305980266332,1704.4035629914915,1743.6534503266457,1776.4241803646319,1802.8558604646107,1823.1704746812457,1837.6573334881264,1846.6588350562874,1850.5569679536986,1849.7608699184293,1844.6956530996072,1835.7926155748578,1823.4808832838228,1808.1804658661486,1790.2966635273503,1770.2157286831075,1748.3016641228228,1720.974640994328,1686.6815610926747,1645.326389561746,1597.5340525223876,1544.2561689175761,1486.5586290872807,1425.5073547918373,1362.1079105808378,1297.275163511686,1231.8200144282168,1166.4459911667147,1101.7515998659578,1038.2360264085314,976.3067241205442,916.2879642946943,858.4297475810538,802.916675000451,749.8765095544074,699.3882510640561,651.4896130360169,606.1838393390027,563.4458350720931,523.2276131760689,485.4630780883106,450.0721815578203,416.9644948064969,386.0422465329134,357.2028786407763,330.3411717428834,305.35099103488943,282.1267005397076,260.5642903874997,240.56225802976425
A,46.51489206109658,38.29104835026149,34.49404931682416,32.99755606376253,32.714353306616665,33.076877438343615,33.78369806519959,34.671708872585604,35.65051858669919,36.66838094311814,37.694349463595415,38.70886033839879,39.69872684666332,40.654458856788,41.56881612479859,42.436020890572586,43.251325249491174,44.010770643929106,44.71105183511626,45.34943766982809,45.92372242100205,46.43219313603937,46.87360483792396,47.24715900752594,47.55248281540432,47.78960775646517,47.958947043058195,48.061271534932125,48.09768424081845,48.06959358019911,47.978685682199114,47.82689604387144,47.61638088639641,47.349488544064236,47.028731203630024,46.6567572852167,46.23632472371084,45.77027537405565,45.2615107269087,44.712969084260244,44.12760430890428,43.50836622793084,42.858182739238096,42.17994364182513,41.47648618553781,40.75058231408849,40.00492755653969,39.24213150693478,38.464709819217966,37.67507763480966,36.87554435296053,36.068309649049795,35.25546064306462,34.43897011934238,33.62069569902657,32.80237986834397,32.18267282775959,31.880482844142094,31.966890790895082,32.48861560582752,33.48439054740544,34.996103050811634,37.07649528065789,39.79491530407776,43.24224471627327,47.53580680567443,52.824812692159725,59.296725749145466,67.1847932232666,76.77687772399587,88.42558817180597,102.55952874322334,119.69522728676127,140.44895124305444,165.54716545189194,195.83385857136545,232.27243522008254,275.93946858998765,328.0075147267479,389.7146049136927,462.3191064597696,547.0403851860865,644.9879152042807,757.0837507339382,883.985071468192,1026.014361977105,1183.1044356958505,1354.7640245233738,1540.0673598285925,1737.6685489819154,1945.8390752094401,2162.5247686432504,2385.417296503963,2612.0346280559793,2839.804960964886,3066.149104851847,3288.557142311009,3504.6561757468126,3712.2669951168655,3909.4484742046434,4094.5293598160706,4266.127824714116,4423.159698039395,4564.836669089889,4690.65599507195,4800.383350718743,4894.030460594306,4971.829077209525,5034.202732402316,5081.737516139152,5115.152943409641,5135.273770435031,5143.003427022339,5139.299550602307,5125.151944664292,5101.563143054958,5069.531643211872,5030.037775703739,4977.619048957293,4909.2897769252895,4824.193075706911,4722.754796537613,4606.175175895513,4476.1090913115995,4334.456379783978,4183.219734466545,4024.4064397032294,3859.960112961765,3691.7139603380274,3521.3600002097573,3350.4303954551015,3180.2880475449274,3012.1242552199383,2846.9616893065,2685.6612692163308,2528.9317907594964,2377.3413726008393,2231.329972408706,2091.222380236835,1957.2412299354492,1829.519682113565,1708.1135265284956,1593.0125297015802,1484.150916905978,1381.4169282415253,1284.661428033227,1193.7055768992036,1108.3475980457679,1028.3686850372603,953.5381086817114,883.6175868425961
IH,0.0,3.754019387308596,4.359096208206151,4.08264291071859,3.6966388078989105,3.4147529154323495,3.2608463978213256,3.206624991934876,3.2183483694571065,3.269566649127931,3.342351803586738,3.4254151125157866,3.511946895987357,3.5979410095720175,3.681066973440719,3.759965697865841,3.833830495486935,3.902166645945507,3.964657590376074,4.0210926322331195,4.071329076161353,4.1152730778865685,4.152870299130926,4.184101442462785,4.208980011893723,4.227550915882485,4.239889227806088,4.246098795208339,4.246310586721387,4.240680765411122,4.22938852446892,4.212633740438632,4.190634504008315,4.163624586061397,4.1318508910242535,4.095570942583889,4.055050439617133,4.010560913189538,3.9623775089947615,3.910776913719944,3.856035438573434,3.7984272685952414,3.7382228823654104,3.6756876432985055,3.611080560825565,3.544653217376647,3.476648855144692,3.4073016150911117,3.3368359195019677,3.2654659885781676,3.193395481002807,3.12081724813432,3.047913191388747,2.9748542124639235,2.901800246291357,2.8289003669495987,2.756292957210526,2.700006746532978,2.6750079234375654,2.6913069136789565,2.7547159857359045,2.868755838007913,3.0364345481049675,3.261575539325931,3.549734491016496,3.908848424829112,4.349760418023406,4.886731574019574,5.538016951516526,6.326553090413142,7.280781715476043,8.435613844303983,9.833516607922778,11.525677532548938,13.573164700189075,16.04795483739484,19.033646890780318,22.625622743838704,26.93037222169138,32.06368518325921,38.14745102047228,45.30491319034221,53.65440814969284,63.30185700212569,74.33253275963037,86.80283841575199,100.73294401581202,116.10110852872089,132.84035268372395,150.83788455162193,169.9373653937605,189.9437985660273,210.6305771828585,231.74806491896533,253.03301578968865,274.21815340387474,295.0413084865921,315.2536323475962,334.6265415540136,352.9571874395542,370.0723703613097,385.8309248494418,400.1246842387057,412.8781914924307,424.04735841755047,433.61729136184425,441.59950147832353,448.02870558213294,452.95940315969324,456.4623894533636,458.6213364496791,459.52954519792024,459.28694578740465,457.9973966306755,455.76631312282626,452.6986376104942,448.89714796861506,444.4610908066371,439.48511712666254,433.5409223910728,426.2223822082469,417.3261937560503,406.83945753034334,394.88178397384456,381.6500692009217,367.3774887530194,352.30627609882936,336.6709392300248,320.6886309125009,304.5541789277296,288.438063936056,272.4862232519897,256.8209607286323,241.54250295690701,226.7309064770816,212.448124411584,198.74010706683043,185.6388541989261,173.1643656273264,161.32645695587564,150.1264214161217,139.55852912680942,129.61136249602117,120.2689918054922,111.5119987080708,103.31835780315366,95.66418791237024,88.52438538413347,81.87315189487039,75.68442893760098,69.93225061793527
IN,5.007042725911607,9.795444830432448,12.831657709379126,14.987763598642196,16.70794300689307,18.218684655200526,19.634649208992276,21.012814264020363,22.380380276168896,23.749204105223672,25.12327125811417,26.502560037717988,27.88503416763343,29.267666043943837,30.64695989108113,32.0192188080347,33.38068221373137,34.727598902065665,36.056268959749815,37.363071188965435,38.64448409567264,39.89710412164329,41.11766260464074,42.303041892792116,43.45029056375253,44.556637517949966,45.61950467772897,46.63651805299149,47.605516989447615,48.52456147816967,49.39193746539537,50.206160155312936,50.9659753443948,51.67035886353406,52.318514234195455,52.9098686676962,53.44406755334891,53.92096759230291,54.34062874025935,54.703305124508404,55.009435099594704,55.2596306019533,55.45466595761621,55.595466289056,55.68309565784502,55.7187450694533,55.70372045552184,55.639430737624025,55.52737606511367,55.36913630836293,55.166359877686844,54.92075292767127,54.63406899657339,54.30809912102765,53.944662457521034,53.54559743403311,53.112753447886654,52.669191335019434,52.246892074558986,51.88042255482185,51.6043256958364,51.45269322238894,51.45993623816777,51.66217968983495,52.09898754837291,52.815304381788884,53.86360565017069,55.30630847430612,57.21852478800349,59.69125072905012,62.83508498796989,66.78455503384697,71.70310044756702,77.78871116307815,85.28013802914717,94.46347712526968,105.67877470032664,119.32611133594875,135.87041952479112,155.84410209554744,179.84639933869784,208.53845796497606,242.63323530574024,282.8797494855169,330.04173712907306,384.8714307157554,448.0798076358486,520.3051744158233,602.0822397445053,693.8138547370223,795.7473689585349,907.957121137578,1030.3340338862406,1162.58269563752,1304.2257620795122,1454.6150449428296,1612.9483071205916,1778.2905589952334,1949.598545610488,2125.7471121157255,2305.556214597065,2487.817482255979,2671.319413135283,2854.8704800450455,3037.3196202497297,3217.5737697688737,3394.6122722987425,3567.498138450097,3735.3862505762577,3897.5287014417618,4053.2775224744228,4202.085101596323,4343.502614586436,4477.176800883698,4602.845408064037,4720.331612158473,4829.537696491942,4930.438242426289,5023.073053497365,5106.849675800911,5180.927976925913,5244.487595473152,5296.8540614043,5337.5499662404045,5366.306484802063,5383.054272616294,5387.904124484119,5381.123133754587,5363.10955560757,5334.368167929468,5295.487122235064,5247.116809632717,5189.950986071615,5124.710227799059,5052.127678835437,4972.936983270502,4887.862252481621,4797.60989268029,4702.862106231004,4604.2718773746055,4502.459256744983,4398.008767446252,4291.467766948384,4183.345612481774,4074.1134920450527,3964.2047978793103,3854.0159337773352,3743.9074615078375,3634.2055046819482,3525.2033404101035,3417.16312000577
D,371.0,371.0,371.11642473601586,371.25161493429346,371.37823138830925,371.4928765600445,371.59877950452125,371.69990929152715,371.79935749082256,371.8991692713871,372.0005695026427,372.1042270457338,372.210460660714,372.31937791661557,372.4309621384915,372.5451243753964,372.6617335264527,372.78063347270114,372.90165275224456,373.02461008563324,373.1493176590107,373.2755832330587,373.40321165803323,373.53200609897806,373.6617691224588,373.7923037138457,373.923414251271,374.05490744114445,374.1865932105362,374.3182855482934,374.44980328640355,374.5809708142364,374.71161872000386,374.84158435564166,374.9707123231051,375.09885488168396,375.2258722773417,375.35163299625526,375.476013945691,375.59890056610635,375.7201868789411,375.8397754749727,375.9575774483767,376.0735122817767,376.1875076876061,376.2994994110499,376.4094309997082,376.5172535449376,376.62292539959145,376.72641187661117,376.8276849326253,376.9267228404014,377.02350985367474,377.1180358675537,377.2102960773818,377.3002906386213,377.38802433002166,377.47350622204664,377.55724248983705,377.6402034602517,377.7236699170372,377.80910290188604,377.8980726451599,377.9922426677996,378.09339506792986,378.2034842439315,378.3247107478556,378.45961141195784,378.6111653531573,378.78291783898925,378.97912547604403,379.2049269442195,379.46654363119643,379.7715139728669,380.12896390204617,380.54991327765725,381.047614198397,381.637911446773,382.3396079175082,383.1748091120783,384.1692115639616,385.3522920056215,386.7573493626079,388.42135257101813,390.3845555357398,392.68985676385506,395.38190400850914,398.5059705636237,402.1066554608046,406.2264804797547,410.9044693440331,416.1747971883934,422.0655916474375,428.5979525159747,435.78523752883217,443.6326402796567,452.13706522448746,461.2872860705645,471.06435889235064,481.442250625153,492.38863718657547,503.86582299220674,515.8317344428028,528.2409433279288,541.0456812612827,554.1968125337787,567.6447395342072,581.3402216508337,595.2350949568366,609.2828857373157,623.4393158753555,637.6627022030646,651.9142551311163,666.1582842375218,680.362320098112,694.4971625737909,708.5368661397154,722.458672757766,736.2429023601569,749.8728103242336,763.318368866659,776.5369549241559,789.4796403308475,802.0970968639552,814.3437058218252,826.1799549119004,837.5735633974731,848.4997630143982,858.9410583781317,868.8866887399522,878.331935614293,887.277367692831,895.7280796729891,903.6929593050066,911.18400270197,918.2156887988707,924.8044179048806,930.9680154023379,936.7252990933775,942.0957070416357,947.0989817255551,951.7549057310275,956.0830839411035,960.1027671410017,963.8327120819329,967.2910732870137,970.4953221977922,973.4621896203538,976.2076278123244,978.7467889387622,981.0940170029969
R,0.0,8.442484332225852,17.51566954984727,26.352434387559995,34.8806469885573,43.24104813105888,51.59067663237683,60.050206716619876,68.69982699868042,77.58807528753232,86.74164348670081,96.17296897881972,105.88538923691166,115.8764191457077,126.13976197537004,136.66652391505662,147.44594918434416,158.46587532277323,169.71302902106203,181.17323288094934,192.83156324187559,204.67248140496557,216.67995031252747,228.83754291470186,241.12854520455642,253.53605512707642,266.0430776281942,278.6326156421478,291.2877566116007,303.9917540775641,316.72810389858086,329.4806147228752,342.23347242140665,354.9712982812919,367.67920085041936,380.3428214108673,392.94837313837485,405.48267407616476,417.93317411318344,430.2879762090902,442.53585215123775,454.66625316281045,466.6693157067674,478.5358628479375,490.25740154625413,501.82611625847306,513.2348592245614,524.4771378090537,535.5470992577807,546.4395132171973,557.1497523477212,567.6737713446499,578.0080846608904,588.1497432054088,598.0963102704036,607.8458369191042,617.3968370451064,626.7830958393437,636.0684367724366,645.3381243456802,654.6921938124232,664.2419407760625,674.1093142316638,684.4285935149853,695.3498064310435,707.0435520280621,719.7071002148762,733.5718103104687,748.912035885906,766.0557691652233,785.3973296076838,807.4124175509759,832.675827270257,861.8820295870588,895.8686714375757,935.642775217907,982.409034610928,1037.5990898766315,1102.9000445752188,1180.2798169768607,1272.0063087878136,1380.6569665820932,1509.1152660920416,1660.5510940852841,1838.3829841722336,2046.2216134256505,2287.795701805089,2566.863214015964,2887.1122688718087,3252.057193780701,3664.9356000073035,4128.612187529957,4645.494300418004,5217.463188484006,5845.823654881228,6531.273440411689,7273.892443466684,8073.150792332714,8927.93392870975,9836.582249072386,10796.942479271025,11806.427804584957,12862.083808288997,13960.657447522215,15098.666576063872,16272.46787226903,17478.32141415011,18712.450535224376,19971.09597298168,21250.56367107032,22547.265906155495,23857.755674963115,25178.75449405978,26507.1739350969,27840.131344343772,29174.960281572152,30509.21626481337,31840.67842965382,33167.34771004645,34486.308297833035,35793.876654684565,37085.97815118763,38358.47605186103,39607.40992662931,40829.15084116392,42020.49238740683,43178.69570515601,44301.5026853878,45387.12767916078,46434.23503322655,47441.90762547489,48409.61007876793,49337.149290917936,50224.63418111893,51072.43601739131,51881.15029031559,52651.56079454201,53384.6063454424,54081.350377110626,54742.953528387174,55370.649217519116,55965.72212721918,56529.48946522303,57063.28482677145,57568.44446121201,58046.29573209802,58498.14755619257,58925.28260950125,59328.95109605976,59710.36588621903,60070.69884441056
G,29068.0,29068.0,29069.81688998568,29072.629474946738,29076.02187119398,29079.778307404715,29083.784334729935,29087.977471721773,29092.322053181422,29096.796265067493,29101.385413955395,29106.07841917032,29110.86598351887,29115.739644143898,29120.691287788763,29125.712912676245,29130.79652212995,29135.93408886449,29141.117557142014,29146.338864941088,29151.5899762497,29156.86291788368,29162.149817576348,29167.442941393852,29172.734729283566,29178.017828013446,29183.285121044024,29188.52975506346,29193.74516304878,29198.925083814236,29204.063578082038,29209.155041168415,29214.194212422637,29219.17618159103,29224.09639230362,29228.950642899264,29233.735084816723,29238.446218785673,29243.080889052937,29247.636275876994,29252.109886518123,29256.49954494325,29260.803380454134,29265.01981543562,29269.147552407565,29273.185560550235,29277.13306185874,29280.989517067785,29284.75461147376,29288.42824076749,29292.01049697744,29295.501654610518,29298.902157065608,29302.21260338363,29305.43373538749,29308.566425255674,29311.732075066837,29315.02481672833,29318.522400447928,29322.29536794067,29326.414428525255,29330.956404455344,29336.009277987436,29341.67687913694,29348.083691547286,29355.380178909323,29363.748970507855,29373.412196454618,29384.640223956285,29397.762001820152,29413.177153400633,29431.36984749502,29452.924299982787,29478.541495610727,29509.0563565002,29545.45412687842,29588.884228250798,29640.669344490358,29702.30714683604,29775.462020149735,29861.944550531392,29963.67745811879,30082.64805778005,30220.849003081108,30380.210698066898,30562.530005453023,30769.40048288655,31002.1492477222,31261.784786186756,31548.958790712684,31863.943682687237,32206.626087132,32576.515336738994,32972.76518561921,33394.20633297517,33839.38707235431,34306.61934530337,34794.02763049127,35299.5983819949,35821.22809089162,36356.76843908376,36904.067409751406,37461.005590715205,38025.52723926257,38595.66596047589,39169.56508205571,39745.492987396836,40321.85379848828,40897.193886190136,41470.20473376975,42039.722696844794,42604.72619559362,43164.330849347956,43717.78302493734,44264.45222310657,44803.82267587388,45335.48447494696,45859.12449964175,46370.597977864134,46866.683618299125,47345.13855127437,47804.41127158396,48243.46955975533,48661.68874248014,49058.772669378115,49434.69333404922,49789.641932599945,50123.98764330736,50438.2421789885,50733.02904755068,51009.05688731179,51267.09644567814,51507.96085906159,51732.4889288081,51941.531103106616,52135.93788340851,52316.550382636575,52484.1927739659,52639.66638367399,52783.74519898068,52917.17258107327,53040.65899373961,53154.88057841245,53260.47842632016,53358.05841736691,53448.191513004924,53531.41440651962,53608.23044873324,53679.11078013128,53744.4956118737,53804.79560815092
H,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,78522.40976206682,77257.75479631868,75993.09983057054,74728.4448648224,73463.78989907427,72199.13493332613,70934.479967578,69669.82500182986,68405.17003608172,67140.51507033358,65875.86010458544,64611.2051388373,63346.550173089156,62081.89520734101,60817.24024159287,59552.58527584472,58287.93031009658,57023.27534434843,55758.62037860029,54493.96541285214,53229.310447104,51964.655481355854,50700.00051560771,49435.345549859565,48170.69058411142,46906.035618363276,45641.38065261513,44376.72568686699,43112.07072111884,41847.4157553707,40582.76078962255,39318.10582387441,38053.45085812626,36788.79589237812,35524.140926629974,34259.48596088183,32994.830995133685,31730.176029385544,30465.521063637403,29200.866097889262,27936.21113214112,26671.55616639298,25406.90120064484,24142.2462348967,22877.591269148557,21612.936303400416,20348.281337652275,19083.626371904134,17818.971406155993,16554.316440407852,15289.661474659712,14025.00650891157,12760.35154316343,11495.696577415289,10231.041611667148,8966.386645919007,7701.731680170866,6437.076714422725,5172.421748674584,3907.766782926443,2643.111817178302,1378.4568514301607,113.80188568201947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
