series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,2479293.6660666703,2477423.0100886603,2475710.1195971286,2474067.915894848,2472438.613560521,2470783.1446462767,2469074.412334051,2467292.96879432,2465424.2386968825,2463456.7330856775,2461380.9000994605,2459188.3863985585,2456871.5641856906,2454423.2305125473,2451836.4187938045,2449104.2838117788,2446220.0352448723,2443176.903608839,2439968.1282031434,2436586.9603239726,2433026.67736075,2429280.6048983275,2425342.144901816,2421204.8086587894,2416862.253519765,2412308.322693789,2407537.087474973,2402542.8913328773,2397320.395318099,2391864.624230118,2386171.0129783144,2380235.4525468117,2374054.3349551,2367624.5965933297,2360943.75930681,2354009.9686107473,2346822.0284350775,2339379.431831087,2331682.3871165565,2323731.8389938935,2315529.4842451443,2307077.781687373,2298379.956159719,2289439.996407252,2280262.6468239757,2270853.3931154124,2442611.646077145,2613168.3651599707,2782476.575263159,2950463.3901312635,3117030.56428738,3282055.0745542585,3445389.4921147167,3606862.0530444756,3766276.4287184095,3923411.255013569,4078019.5141514787,4229827.884586899,4378536.188397771,4523817.075345258,4665316.08935081,4802652.266337994,4935419.410988919,5063188.192177159,5185509.180701449,5301916.926741578,5411935.137135237,5515082.964128528,5610882.359032342,5698866.379069455,5778588.267893523,5849631.065165522,5733782.491923173,5610217.05116069,5482700.186773211,5351592.268146538,5217411.569803174,5080767.100902329,4942314.10255676,4802723.085058781,4662657.478434318,4522757.182556015,4383626.4658951005,4245825.267928776,4109863.272862158,3976196.2834403007,3845224.5091119595,3717292.432650663,3592689.9539549802,3471654.5389717324,3354374.129737574,3240990.5997755313,3131603.5675112205,3026274.40843099,2925030.3336969577,2827868.4282336337,2734759.5644291798,2645652.128244001,2560475.512542665,2479143.3478492177,2401556.453562482,2327605.503124101,2257173.404924323,2190137.407102674,2126370.9391066288,2065745.2061618208,2008130.5549204103,1953397.6297092275,1901418.3391930177,1852066.6530731604,1805219.247806901,1760756.0193813297,1718560.4800131908,1678520.0543536185,1640526.28942214,1604474.9911278998,1570266.2988963383,1537804.7086342422,1506999.053054212,1477762.4472532063,1450012.2064055111,1423669.7414905913,1398660.4381300097,1374913.5228518446,1352361.920431138,1330942.1053651592,1310593.9500263985,1291260.5715876955,1272888.1794262205,1255425.9243798372,1238825.7509446335,1223042.2532604593,1208032.535526953,1193756.077320973,1180174.6041432961,1167251.9634040075,1154954.0059587518,1143248.4732288916,1132104.8898749403,1121494.461942055,1111389.980356851,1101765.7296245473,1092597.4015529612,1083862.0138137932,1075537.8331408973,1067604.3029588053,1060041.9752318917,1052832.4463245142,1045958.296664664,1039403.0340076322,1033151.0401015142
E,0.0,1870.6559780102593,3208.8261990006304,4208.254192896893,4994.5804973146605,5649.5605043549385,6226.601652883801,6760.764087297459,7275.2123832500965,7785.3845325341845,8301.688972298763,8831.250653044743,9379.041749113458,9948.613585254418,10542.56973996029,11162.87088850919,11811.030057615812,12488.236354844448,13195.43190808194,13933.358126236886,14702.581809727588,15503.508024972723,16336.384317293523,17201.2993225284,18098.177858495306,19026.77394459454,19986.662788739643,20977.232515581727,21997.676236487096,23046.984945755743,24123.941646667492,25227.117050338486,26354.86714038194,27505.332850733073,28676.442058807763,29865.914049157826,31071.266552899626,32289.825415249197,33518.73688798405,34754.98248655272,35995.396294204504,37236.684539478556,38475.44722034749,39708.20149992994,40931.40655654269,42141.489536334906,43334.87223095083,45490.73646591304,48463.25794568208,52161.73430903112,56538.99145087147,61582.08264273752,67305.06021875303,73743.49672819217,80950.40370942297,88993.20919747869,97951.4880426292,107915.17883350645,118983.06049591467,131261.2973815081,144861.893379865,159900.92433018406,176496.44559266418,194766.00008803446,214823.68321310726,236776.7559753124,260721.83674589373,286740.7443880333,314896.10916248895,345226.90964353736,377744.1299852524,412426.7580446321,449218.3571956182,482798.6663683308,513603.76279571163,541829.1935634847,567473.4296251952,590444.5135884684,610622.6765435071,627896.8718984914,642185.3776152418,653446.3719510003,661682.0420827663,666938.4660574141,669302.7470744231,668898.4217243876,665879.8736740568,660426.2879161967,652735.5388941104,643018.297802958,631492.5591680701,618378.7184762374,603895.2778111303,588255.2129720204,571663.0018558635,554312.2886271562,536384.1401747395,518045.83941896114,499450.1531140633,480735.0088972727,462023.5165697845,443424.2711621043,425031.8795531457,406927.6577047827,389180.45147193596,371847.5400806265,354975.58744775143,338601.6123375569,322753.9537662095,307453.212985971,292713.1577553912,278541.57841595897,264941.08855800924,251909.865796394,239442.33042847595,227529.76155959192,216160.85170395076,205322.2019523327,194998.76059090302,185174.20860406398,175831.29584091497,166952.13180767835,158518.43510100213,150511.74544855568,142913.60219870333,135705.69292122178,128869.97556334792,122388.77736401644,116244.87347524753,110421.54798211776,104902.63975835446,99672.57534836189,94716.39083200123,90019.74440812266,85568.92122816225,81350.83182280586,77353.00529295414,73563.57828073151,69971.2805964924,66565.41825289147,63335.85454616179,60272.989726762564,57367.739715452655,54611.51424555778,51996.19474668494,49514.11222840311,47158.025373511686,44921.0990085789,42796.883083641085,40779.29226256711,38862.5861999373
I,1064.686463270397,773.0376250770521,598.8570007594234,499.2702252946671,447.03932773533836,424.9114366755801,422.0020201411131,431.48096749243183,449.09341087563763,472.21533692915733,499.2516391608117,529.2532383539885,561.6741592891201,596.2178645680323,632.7403847796676,671.1894876785732,711.5666342833257,753.9032785183109,798.2461445092343,844.6480823907573,893.1623582443573,943.8390326874584,996.7225900911883,1051.850301852124,1109.2510101225214,1168.9441461116048,1230.9388770832763,1295.2333260525907,1361.8138390698693,1430.654293921819,1501.7154555015452,1574.9443897678022,1650.273951838207,1727.6223653885343,1806.8929107951435,1887.9737387421728,1970.7378245514456,2055.0430764281955,2140.7326082529885,2227.635184574369,2315.5658421491007,2404.3266888232806,2493.7078768418555,2583.488743917936,2673.4391116941997,2763.3207276963117,2852.888833619953,2941.893839909084,3049.823969642014,3187.8997856423384,3362.446214075853,3577.1079823950718,3834.271351244218,4135.951192609501,4484.325014192382,4882.038716688601,5332.367880472692,5839.289278608805,6407.496982561691,7042.383454560976,7749.996593600123,8536.977494570154,9410.479750330725,10378.068827376905,11447.598947879831,12627.06473845421,13924.425482575816,15347.40101675986,16903.24003505389,18598.463695217273,20438.589805901902,22427.845331820165,24568.877263952556,26862.473826749127,29202.33588815424,31520.04252334244,33769.84338246437,35918.4897629442,37939.99355054866,39813.07966387779,41520.070227189826,43046.48825110284,44380.98231836554,45515.354432931286,46444.57786901182,47166.75256528205,47682.980500311736,47997.16299048931,48115.73206919239,48047.33267598277,47802.47353314499,47393.16370930444,46832.54986020216,46134.56657624825,45313.609534155046,44384.23848915815,43360.914705083305,42257.775286364726,41088.44508754022,39865.88543813511,38602.277818917224,37308.9398301207,35996.27026630164,34673.7198153311,33349.78378958299,32032.01333639255,30727.041726374853,29440.62255036231,28177.676941225873,26942.347252945237,25738.054957637967,24567.560847540353,23433.025942452132,22336.071796327233,21277.839164549172,20259.04423315065,19280.031821701996,18340.82515298649,17441.171936048224,16580.5866365547,15758.388911906619,14973.738270631871,14225.66507888613,13513.098083887864,12834.888657270689,12189.83198290531,11576.685425792151,10994.184323001264,10441.05543596349,9916.02829710205,9417.844674035685,8945.26636238932,8497.081504447397,8072.109616154414,7669.205489845995,7287.262125002976,6925.212824581445,6582.0325803191245,6256.738857019442,5948.391873277793,5656.0944645033305,5378.991603430808,5116.269643609763,4867.155342580552,4630.914713561039,4406.8517474262,4194.307040510532,3992.6563582412846,3801.3091597587927,3619.707104438523,3447.3225575392985
A,9552.422663308238,8985.35987186756,8789.102991325437,8845.671324600004,9079.005759376018,9440.206150323385,9898.009774657832,10432.63524324582,11031.79424856364,11688.102845162852,12397.397769696903,13157.63878787121,13968.190890710484,14829.352886850911,15742.04589225167,16707.60557829112,17727.64169371983,18803.94111605926,19938.398957598507,21132.967627753846,22389.617256691487,23710.303174154433,25096.937639186017,26551.364007348606,28075.332181235066,29670.474633665148,31338.28259616476,33080.08221680075,34897.010642564375,36789.99209237576,38759.71407017724,40806.603931447986,42930.80606562293,45132.15999412276,47410.1797104912,49764.034606190195,52192.53233317433,54694.103952495265,57266.791706886805,59908.23973464574,62615.68801242321,65385.969776267746,68215.51262416095,71100.34345036358,74036.09730338823,77018.0301967912,80041.03583684664,83099.66616525412,86365.27180766007,89972.74994579161,94032.64278798713,98640.42833828247,103883.5833631653,109846.92433839319,116616.64390215639,124283.372143049,132944.51142449141,142706.02354790916,153683.7894650277,166004.61371479393,179806.90701896563,195241.04974544814,212469.41522765008,231666.01458682382,253015.7135196653,276712.9665976785,302960.0162971097,331964.51259037293,363936.52466456854,399084.9389995785,437613.2668984619,479714.9182173913,525568.0344149558,575330.0104758074,628190.0417670717,683464.0486588513,740543.8036246841,798856.9099209206,857848.376901116,916974.5743397211,975704.1300402294,1033522.4872431305,1089938.0975284404,1144488.9865736093,1196748.908870935,1246332.6206005835,1292900.011928115,1336158.98718912,1375867.084487695,1411831.897623656,1443910.4109477724,1472007.3872422902,1496072.9641570123,1516099.6193671115,1532118.6611447365,1544196.3916950782,1552430.0772689558,1556943.8432685542,1557884.5955540414,1555418.0519126756,1549724.950908214,1540997.489620733,1529436.0274744045,1515246.0806478707,1498635.620566848,1479812.6806993359,1458983.2682506093,1436349.5712805365,1412108.447100885,1386450.1743984965,1359557.4492077176,1331604.6034593128,1302757.0242072088,1273170.7516336546,1242992.2344260793,1212358.2219882503,1181395.7740927392,1150222.3699145936,1118946.09983514,1087665.9249107616,1056471.990416899,1025445.9813654223,994661.5093260669,964184.5212395784,934073.7221778793,904381.0051765303,875151.8823328433,846425.9123284636,818237.1203998692,790614.4075477754,763581.9464520076,737159.562148009,711363.096031396,686204.7521946514,661693.4254720443,637835.0108818847,614632.6944157254,592087.225338199,570197.1703345282,548959.1499806116,528368.0581177536,508417.2647949292,489098.8034998351,470403.54343935335,452321.34765352885,434841.2177574302,417951.42610470054,401639.6361572608,385893.0118292807,370698.31655170594,356042.0027776202
IH,0.0,81.32471131654687,98.62713270852925,93.74342488988971,83.75978167513063,74.91128648957199,68.9146321769885,65.77390904809737,64.96939855236839,65.92315802563604,68.15347864079294,71.30407901898184,75.129067600686,79.46706865043205,84.21689213702203,89.31829331300275,94.73796217617527,100.45979879409978,106.47837011371075,112.79460090356162,119.41297812590022,126.33975418634358,133.5817958628091,141.14584300552866,149.03802273691613,157.26352011596265,165.82634286922513,174.72914173307277,183.9730634141874,193.55762305985104,203.48058938696892,213.73787953667295,224.32346313749872,235.22927651287853,246.44514880003518,257.95874217219944,269.7555085081907,281.8186648156327,294.12918953797356,306.66584159402385,319.40520363443693,332.3217505696115,345.38794394281126,358.57435220529464,371.8497964117213,385.18152030945976,398.5353832605322,411.87607392572767,425.16734217230373,439.8801284973812,457.587388189751,479.53777883316263,506.6174031314456,539.4397868254716,578.4574280641727,624.0568777519943,676.6283687543638,736.6120231731009,804.5258032361564,880.9803448341619,966.6847325678137,1062.4460293995023,1169.164293552259,1287.8239892935298,1419.482120618291,1565.2530518644999,1726.2897884917934,1903.7614424341132,2098.826674580737,2312.603071824219,2546.1326589676546,2800.3440462245662,3076.012046991362,3373.7159395510885,3693.7978583748018,4028.3047927109483,4368.1398744189955,4705.381198159412,5033.633619508168,5347.799638800749,5643.773301614347,5918.205993216655,6168.3621815293955,6392.043456386202,6587.553687675985,6753.683431656584,6889.6989345606435,6995.327261510398,7070.7335758219415,7116.489562890059,7133.533786946136,7123.125729876667,7086.795661911453,7026.292535462549,6943.531918001714,6840.545685797808,6719.434853976126,6582.326563474195,6431.335909811521,6268.532998612523,6095.9153570163235,5915.385621440388,5728.734259855357,5537.626967561595,5343.596294763131,5148.03701660149,4952.204736109896,4757.217212289364,4564.057924089631,4373.581411929085,4186.5199775477395,4003.491367126031,3825.007109006673,3651.481223888969,3483.2390704050013,3320.5261313673655,3163.5165849147716,3012.321539807899,2866.9968450301076,2727.5504106097287,2593.9489993333864,2466.1244679982265,2343.9794523589057,2227.392502306726,2116.2226834346284,2010.3136683544524,1909.4973462906999,1813.5969829056435,1722.42996431446,1635.8101600965465,1553.5499400392923,1475.4618785712019,1401.3601795304517,1331.0618522228397,1264.3876677743815,1201.1629226803805,1141.2180342763954,1084.388990671443,1030.5176755392956,979.4520860965736,931.0464606326716,885.1613301139535,841.6635066737327,800.4260202253911,761.328012999388,724.2546005033996,689.096706233536,655.7508764169571,624.1190801345581,594.1084993483805,565.6313126333749
IN,210.3241268767982,391.2393323631462,489.2438229647445,539.1360563656872,562.3790957480811,572.0541544012987,576.0051143317573,578.828882271777,583.1303365037811,590.3095934394169,601.0526335852212,615.6344128106471,634.1039543987922,656.3955718678517,682.3941837993236,711.9723597019654,745.0101690149407,781.4047392856504,821.073795957926,863.9557987979417,910.0082528491736,959.2051275632388,1011.5339214112803,1066.9926686033514,1125.5870410197826,1187.3276151010807,1252.2273269692373,1320.2991148840922,1391.5537372016327,1465.9977506951088,1543.6316349977142,1624.4480519543743,1708.4302325927997,1795.5504885140645,1885.7688483426575,1979.031823231086,2075.271308158775,2174.4036278367516,2276.3287374037645,2380.9295887752423,2488.071673499905,2597.602752319751,2709.3527803602183,2823.134035053771,2938.7414515895794,3055.953167963725,3174.531278668411,3294.222792803525,3414.760789024225,3539.76548144069,3674.5674545172014,3825.0013962042444,3996.8061493641926,4195.389508888882,4425.801144838021,4692.81480581045,5001.059429097412,5355.16377961522,5759.894991538894,6220.280919733462,6741.7116480723025,7330.01831881186,7991.528644108409,8733.098714023687,9562.120479028803,10486.503864843346,11514.632081963582,12655.288465948568,13917.553227573087,15310.668869634324,16843.873772606465,18526.204563849285,20366.269327532093,22371.995409539326,24550.357411684483,26886.35577457535,29353.572024506633,31920.243914525432,34552.482271846624,37216.00269608543,39877.111861516765,42503.33548122871,45063.88017400836,47530.01587192636,49875.410258605996,52076.41997010619,54112.332266477424,55965.548292154584,57621.70066875667,59069.70158041433,60301.721353360015,61313.101062858725,62102.20556476187,62670.22541567994,63020.93741769437,63160.434077847014,63096.832223827085,62839.970493419874,62401.10454328024,61792.6077191953,61027.68369689256,60120.0963240817,59083.9206376751,57933.31784521971,56682.33598163994,55344.73700356171,53933.85027503744,52462.451733015194,50942.667494334426,49385.900269497084,47802.77666981997,46203.11331975562,44595.8996002509,42989.29483704193,41390.63779540209,39806.466436733186,38242.54602049332,36703.90378672245,35194.86862080644,33719.11427555276,32279.704899991644,30879.1417947236,29519.41047643342,28202.02728672786,26928.084920948502,25698.296380010062,24513.036962160753,23372.38401186871,22276.154230184875,21223.93842556317,20215.133647066526,19248.972694105523,18324.55103936414,17440.851235404745,16596.76490164071,15791.112407911314,15022.660384725585,14290.137199227882,13592.246540872015,12927.679262387703,12295.123620520422,11693.274057783297,11120.838661565125,10576.54543081082,10059.14747348555,9567.427250450537,9100.199973464565,8656.316256982656,8234.66411541465,7834.170389659005,7453.801679139154
D,3810.0,3810.0,3811.1158477133254,3812.469100110082,3813.7553436713474,3814.9046027260406,3815.932452519522,3816.878022857055,3817.7804996666205,3818.6719378732514,3819.576462512162,3820.51158914299,3821.4899448264723,3822.520782771414,3823.6111419673184,3824.7666729860352,3825.992199787643,3827.292089289223,3828.670487502396,3830.13146589244,3831.6791086132826,3833.317561383985,3835.0510557121997,3836.883917323909,3838.8205644218624,3840.865499278406,3843.023295309527,3845.2985809208035,3847.6960208882847,3850.220295721861,3852.8760792788094,3855.668014801209,3858.6006895106675,3861.6786078867062,3864.9061637679984,3868.287611439891,3871.8270359017224,3875.528322539608,3879.395126462009,3883.4308417846337,3887.6385711765743,3892.0210959999636,3896.580847389895,3901.319878629227,3906.2398391736674,3911.341950675933,3916.6269853436806,3922.095246944507,3927.7465547428783,3933.580230619046,3939.6157790713555,3945.8942869503526,3952.4739738044673,3959.4252173030727,3966.826813236971,3974.7637660759315,3983.326384113567,3992.610329987127,4002.7173052024023,4013.7561181698175,4025.8439557698985,4039.10773415755,4053.6854431127363,4069.7274220185577,4087.39751798761,4106.874081171869,4128.350751797853,4152.036990357346,4178.158298602619,4206.956076148752,4238.687056901701,4273.6222722789025,4312.045495059756,4354.251129155853,4400.541526694488,4451.2237341936425,4506.495675756747,4566.430458327128,4630.9924932276135,4700.058444684652,4773.4350346740275,4850.872647807642,4932.075722710857,5016.711164064368,5104.415712396829,5194.802835816059,5287.469407780941,5382.002233992967,5477.984375243205,5575.001158511013,5672.64575481024,5770.524213094717,5868.259863535267,5965.497032977757,6061.904045458064,6157.175508309579,6251.0339080238455,6343.230558897454,6433.545961501529,6521.789637407833,6607.7995118872,6691.44091806786,6772.605294949941,6851.208648354138,6927.189838929182,7000.508755282133,7071.144423581404,7139.093097991065,7204.366369327542,7266.989322617314,7326.998767945045,7384.441563229675,7439.373042419776,7491.8555580898965,7541.957143548563,7589.750296315482,7635.31088215392,7678.717156706856,7720.048900128757,7759.386658872048,7796.811087921814,7832.402386218868,7866.239817718387,7898.401310451093,7928.963126043687,7957.999592376861,7985.5828923798435,8011.782902351794,8036.667073638824,8060.300351961357,8082.745129164112,8104.061222637622,8124.30587812609,8143.533792084344,8161.797150171364,8179.145678865813,8195.626707558153,8211.285238813141,8226.16402480583,8240.303648213974,8253.742606101308,8266.517395550642,8278.662600005007,8290.21097545089,8301.193535731714,8311.639636414313,8321.577056747617,8331.03207935345,8340.029567375423,8348.593038885332,8356.744738408552
R,0.0,596.4717128311285,1225.2067285252338,1864.6391011209475,2511.9659540844104,3171.406538878308,3849.2213393639295,4551.769413593381,5284.880345831151,6053.758830483724,6863.078264770609,7717.120161324752,8619.905368496224,9575.301047615267,10587.102291425997,11659.092227867273,12795.08535865573,13998.958334495688,15274.671453218423,16626.283294177592,18057.960195123982,19573.981746849724,21178.743098752813,22876.754600674194,24672.639122328765,26571.127267469725,28577.05061801681,30695.333091274868,32930.98046240107,35289.06808847734,37774.726865801225,40393.12745546725,43149.46282194165,46048.929143637724,49096.705172310634,52297.9301384446,55657.6803218536,59180.944429673575,62872.59794704131,66737.37664830532,70779.84947789327,75004.39102929363,79415.15386736345,84016.04095277376,88810.67843734965,93802.3891049413,98994.16673397322,104388.6516547706,109988.10776709195,115804.91546657187,121860.70415644822,128185.19657856246,134815.22302372754,141794.05182090218,149171.04894695265,157001.62919653262,165347.44807560203,174276.78541662375,183865.07839475307,194195.5685968297,205360.03323572024,217459.57396448922,230605.4380543984,244919.84622968922,260536.79957436607,277602.8350628815,296277.695870397,316734.8791707158,339162.02113762236,363761.07684711966,390748.25224058295,420353.6467101626,452820.5685725852,488404.4919300436,527371.6322189658,569941.2190461713,616285.8022296685,666533.5864941943,720770.3983033537,779041.184499426,841351.2797250848,907667.7121163671,977920.7503369479,1052005.810754761,1129785.7699046624,1211093.6716717363,1295735.7804166067,1383494.907705742,1474133.928214069,1567399.396863724,1663025.181958191,1760736.0360306758,1860251.0358100953,1961286.833909379,2063560.6766270027,2166793.153922889,2270710.658676084,2375047.542406197,2479547.9635269665,2583967.431787353,2688074.058814676,2791649.5296392203,2894489.8138292143,2996405.6375080757,3097222.7391895414,3196781.933186248,3294939.0044599944,3391564.45831889,3486543.147450779,3579773.797525252,3671168.451096908,3760651.8478856157,3848160.7577673304,3933643.2810408534,4017058.1287892684,4098373.89446656,4177568.3262375765,4254627.608102476,4329545.6564576,4402323.437490247,4472968.309677389,4541493.394656603,4607916.978857392,4672261.947516516,4734555.25204445,4794827.41115331,4853112.045690655,4909445.446739565,4963866.176234429,5016414.699095414,5067133.045694566,5116064.503325334,5163253.335248049,5208744.525820254,5252583.550186933,5294816.166996709,5335488.232621294,5374645.535383014,5412333.64833567,5448597.799194333,5483482.756067343,5517032.727706749,5549291.277059765,5580301.246972095,5610104.696962979,5638742.850060434,5666256.048752807,5692683.719178519,5718064.342739598,5742435.43438563,5765833.5268730745
G,255112.0,255112.0,255149.57704614333,255214.03476127813,255298.56861670013,255398.89790440476,255512.38418849828,255637.46186198664,255773.2695931029,255919.4113715173,256075.80129957548,256242.56256046297,256419.9614607385,256608.36418616193,256808.20826019256,257019.9835060126,257244.21913212477,257481.4747401535,257732.33381807656,257997.39877898866,258277.28692913274,258572.62696042913,258884.05570162274,259212.2149540574,259557.7482995609,259921.29780972918,260303.50061499077,260704.9853127077,261126.36820911604,261568.24940197114,262031.20872049461,262515.8015473276,263022.55455408426,263551.96138798486,264104.4783520176,264680.5201251376,265280.45557213086,265904.60369488306,266553.2297778466,267226.541780434,267924.6870278553,268647.74924955453,269395.7460109116,270168.6265793218,270966.27026024007,271788.48523240344,272635.0079043809,273505.50280701404,274419.30391388154,275392.81593399035,276440.6215808265,277576.3559518823,278813.3940755518,280165.39325832535,281646.72537492,283272.8271762498,285060.48988268414,287028.1031847845,289195.8634262515,291585.95118535205,294222.6796306249,297132.6118233611,300344.6425134235,303890.0379031333,307802.4253535752,312117.7241320107,316874.0081251894,322111.2920540052,327871.23418644635,334196.75088403956,341131.5414955103,348719.5260152129,357004.20235333615,366027.93474197615,375726.21597451036,386043.298602656,396927.3632557405,408326.55984817096,420187.1910882316,432453.153810597,445066.1141870334,457966.0967871973,471092.28608102846,484383.91047367017,497781.1239690471,511225.8302679733,524662.4146286523,538038.3635113457,551304.7627782472,564416.6731202599,577333.3871134192,590018.5763272443,602440.3395543642,614571.1647765357,626387.8181546843,637871.1733261818,649005.9937808318,659780.6802132028,670186.9936353621,680219.763781494,689876.5910252,699157.548724283,708064.891653397,716602.7750152252,724776.9874574497,732594.70057785,740064.2365781353,747194.8550275365,753996.5591145438,760479.9212913337,766655.9278404268,772535.8416059904,778131.0819216939,783453.1206220433,788513.3929341452,793323.2220021011,797893.7557879026,802235.9151129446,806360.3516462836,810277.4147037101,813997.1257906585,817529.1598979051,820882.8326385972,824067.092395806,827090.5167294723,829961.3123687878,832687.3181896114,835276.0106457121,837734.5111869641,840069.5952568592,842287.7025157665,844394.9479853213,846397.1338533367,848299.7617179268,850108.0450844031,851826.9219592663,853461.0674125933,855014.9060036478,856492.6239849436,857898.1812175886,859235.3227458241,860507.5899915313,861718.3315403695,862870.7135003703,863967.7294214622,865012.209770731,866006.8309634167,866954.1239538542,867856.4823939402,868716.1703693506,869535.3297257776
H,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4719781.556919747,4538388.352880064,4356995.148840382,4175601.9448006987,3994208.7407610156,3812815.5367213325,3631422.3326816494,3450029.1286419663,3268635.924602283,3087242.7205626,2905849.516522917,2724456.312483234,2543063.1084435508,2361669.9044038677,2180276.7003641846,1998883.4963245015,1817490.2922848184,1636097.0882451353,1454703.8842054522,1273310.680165769,1091917.476126086,910524.2720864029,729131.0680467198,547737.8640070367,366344.6599673536,184951.45592767058,3558.2518879875424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
