series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,1142837.5054133693,1142543.742013818,1142327.5080783083,1142128.3217706552,1141922.5244689863,1141699.964265846,1141455.3713124986,1141185.148057915,1140886.1659842066,1140555.3075006846,1140189.2850047478,1139784.5634261444,1139337.3219652716,1138843.4314725269,1138298.439138391,1137697.557901945,1137035.6601958305,1136307.2765402745,1135506.5998957986,1134627.496881798,1133663.5270696029,1132607.9715935225,1131453.8722930052,1130194.0824940815,1128821.330346082,1127328.2953385368,1125707.698225218,1123952.4040761422,1122055.5375716102,1120010.6089638579,1117811.6483927364,1115453.3454954773,1112931.190550984,1110241.6128070168,1107382.1112161784,1104351.372610295,1101149.372416073,1097777.4533814348,1094238.3784403892,1090536.3547662573,1086677.0271942979,1082667.4404599892,1078515.9710098647,1074232.2304055614,1069826.943472406,1065311.8052699731,1060699.3216332747,1056002.638423636,1051235.3647364697,1046411.3951594529,1041544.7357965974,1036649.3382201609,1031738.9448374333,1026826.9484171319,1021926.2677599895,1045707.4213916219,1069332.4752376748,1092815.1477264918,1116156.5255467733,1139351.491381775,1162391.8257099309,1185267.6944215796,1207968.3599468968,1230482.5224447318,1252798.4871488137,1274904.25201222,1296787.5606976426,1318435.942441974,1339836.7490996413,1360977.1943189304,1381844.3972423328,1402425.4318697653,1422707.382580592,1442677.4059451632,1462322.798713908,1481631.071680509,1500590.0289438502,1519187.8519288723,1537413.1873660644,1555255.2382745498,1572703.8568484152,1589749.6380150365,1606384.0123230834,1622599.3367320118,1638388.9818190867,1653747.4138984971,1668670.2705630015,1683154.4282135684,1697198.0602369404,1710800.6846236812,1723963.1999872068,1736687.9091431762,1748978.5296327681,1760840.1908160183,1772279.4174150345,1783304.0996436195,1793923.450311659,1804147.9495319491,1813989.2778769853,1823460.2390276005,1832574.673119399,1841347.3621231497,1849793.9286895646,1857930.7299464582,1865774.7477577222,1873343.4769406293,1880654.812893474,1887726.9400130159,1894578.2221848196,1901227.0965138758,1907691.9713325424,1913991.129382525,1920142.6369217406,1926164.2593596196,1932073.3838793633,1937886.9493660454,1943621.383827869,1949292.5493764186,1954915.6947219002,1960505.4150421545,1966075.6190001843,1971639.5026141857,1977209.5296263758,1982797.417971739,1988414.1319144163,1994069.8793969017,1999774.1141344605,2005535.541983103,2011362.1311129245,2017261.1255285104,2023239.0614933076,2029301.7864343603,2035454.4799266215,2041701.6763813135,2048047.289089744,2054494.6353018936,2061046.4620473757,2067704.972434546,2074471.8521911677,2081348.296236793,2088335.0351026393,2095432.3610390022,2102640.153673041,2109957.9051009757,2117384.744318313,2124919.46090966,2132560.527935988,2140306.123971923,2148154.1542588393,2156102.270951239,2135489.7118147844
E,0.0,293.7633995512965,435.27722051671844,523.748701798924,596.3280360474082,667.2093737219825,742.0944570434888,823.5624653386025,913.067518293824,1011.6829461538576,1120.3790844354237,1240.1269268628707,1371.936219650653,1516.8682252722829,1676.0379289720754,1850.610965606933,2041.7969917163202,2250.8398943740904,2479.004731779917,2727.5611297046075,2997.762826644386,3290.82310378182,3607.8859333342084,3949.992826175502,4318.04555664633,4712.765188306665,5134.648114535584,5583.920152456806,6060.49007125295,6563.904273162638,7093.304647552186,7647.391850919147,8224.396392273615,8822.059890198818,9437.628688464152,10067.861657143532,10709.053468206266,11357.073940171556,12007.423236728824,12655.301836972174,13295.693338973391,13923.457386217196,14533.42938520349,15120.523266190474,15679.83336171811,16206.731549873608,16696.956118075686,17146.689314245315,17552.62121557278,17911.998301555104,18222.655906359956,18483.03448893472,18692.180349860984,18849.73200626505,18955.893888142167,19011.399332334808,19208.886489010525,19498.52320757125,19855.78412101396,20268.586011246833,20731.021288854572,21240.299575915997,21795.24370053734,22395.538181407166,23041.3427065034,23733.083627060405,24471.33314023868,25256.732327935595,26089.936592291295,26971.57283694278,27902.203015407245,28882.291288232747,29912.173375082275,30992.027412743635,32121.84604798837,33301.409754663204,34530.261538932216,35807.68331945311,37132.67435673208,38503.93216547961,39919.8363787561,41378.436044352835,42877.44082271797,44414.21652224599,45985.785352656116,47588.83120183096,49219.71014793483,50874.46630973081,52548.85301737111,54238.359157811894,55938.24041816486,57643.55502179275,59349.20343087427,61049.97138037269,62740.575516232406,64415.71083887569,66070.09910445582,67698.53731258246,69295.9454110034,70857.41237452306,72378.23986573503,73853.98275648097,75280.48587809762,76653.91647168461,77970.79192267709,79228.00248266732,80422.82880148957,81552.95421013034,82616.47180652656,83611.88649877755,84538.11225133362,85394.46485759286,86180.6506259381,86896.7514150944,87543.20648886097,88120.79168033326,88630.59636264815,89073.99871833496,89452.6397840356,89768.39672330098,90023.35574906404,90219.78508090606,90360.1082819743,90446.87827786258,90482.7523162707,90470.46808298399,90412.82114764735,90312.64387275698,90172.78588188365,89996.09614883228,89785.40673854067,89543.51820319428,89273.18661333366,88977.11218361097,88657.9294361834,88318.19883132461,87960.39978445567,87586.92498117848,87200.07589675188,86802.05942349284,86394.98550852157,85980.86570481825,85561.61254045428,85139.03961385114,84714.86232677926,84290.69917132896,83868.07349208483,83448.41565005196,83033.06552037934,82623.27526148685,82220.21229872806
I,297.50213769494485,196.11207129515682,167.9046422100551,167.91880542766947,179.56170777398242,196.78048324279087,217.45157097486094,240.92488034814087,267.111023983904,296.1422877333625,328.24701149943246,363.7033102822046,402.82219715306326,445.9414672064937,493.42334426165417,545.653219724111,603.0384171439281,666.0065062776137,735.0029042373576,810.4875769311994,892.9306813811863,982.8070034471762,1080.5890603597104,1186.738760089973,1301.6975438688028,1425.8749866748321,1559.6358948149027,1703.2860202614975,1857.0566071845024,2021.0880942956105,2195.413412280363,2379.9414315575264,2574.4412226170134,2778.527878374831,2991.650703728581,3213.084590649979,3441.9253584934377,3677.089742974524,3917.3205625337696,4161.197382328397,4407.152744630481,4653.493756096292,4898.428537367798,5140.096770906806,5376.603350523752,5606.053959522073,5826.591297514118,6036.430646127214,6233.893511355878,6417.438198878848,6585.68635628682,6737.444736926369,6871.721685967552,6987.738102208387,7084.932872414605,7162.962994807579,7221.69879435659,7286.385762115469,7367.112928778526,7467.305972494729,7587.634200958928,7727.761999750207,7887.101212336025,8065.1093362426745,8261.387272033468,8475.692933340653,8707.922801016215,8958.083876824458,9226.26507542323,9512.611191123164,9817.300106437262,10140.522974850437,10482.466838716633,10843.299141004101,11223.153683478718,11622.117700749352,12040.21983086504,12477.418859450121,12933.59319399771,13408.531088937218,13901.921692111187,14413.347020867364,14942.275002271039,15488.053727814759,16049.907079061255,16626.93187740495,17218.096699085967,17822.242476344723,18438.084977939303,19064.219228146496,19699.125884040284,20341.179547712694,20988.658944773746,21639.758854665473,22292.603633827155,22945.2621313041,23595.763759637113,24242.115453248,24882.319223229228,25514.390002314045,26136.373467352416,26746.36352897925,27342.51918909826,27923.080485736755,28486.383270873368,29030.872598875947,29555.114539907743,30057.80627265483,30537.78435254914,30994.031093891586,31425.67904559133,31832.013579440216,32212.473645923623,32566.65078471686,32894.28650463174,33195.26817047535,33469.623551883225,33717.51420170059,33939.22783908195,34135.16991547254,34305.854540445056,34451.89493948991,34573.99360784667,34672.93231388937,34749.562093013235,34804.79335896786,34839.586244660815,34854.94126908881,34851.89041165643,34831.48866007431,34794.80608358397,34742.92046967112,34676.910549880915,34597.84982896005,34506.80102139768,34404.811090552765,34292.90687793546,34172.091303822934,34043.34011517718,33907.5991527201,33765.78210592148,33618.76872247226,33467.40343744842,33312.49438671893,33154.81276911486,32995.09252235983,32834.03027867519,32672.28556723248,32510.481232154827,32349.204036500007,32189.00542452995
A,277.96479629017324,228.3863416365501,223.74248454207128,237.3132549239139,259.33308582366385,286.34247935311487,317.2428701284461,351.8321495120084,390.2611345017323,432.8323946537505,479.9264014825834,531.9749797886601,589.4522290326524,652.8717442449589,722.7859007724663,799.7855376908161,884.4993201168675,977.5924009554607,1079.764118403157,1191.7444996562895,1314.2893483189837,1448.1736949574956,1594.1833971627289,1753.1046931415967,1925.7115454648979,2112.750662597364,2314.924157941235,2532.8699010171595,2767.139733250533,3018.175859746462,3286.285884006519,3571.617117478213,3874.130959907787,4193.5782968336625,4529.476982489868,4881.092554528219,5247.423346950657,5627.1911179648705,6018.838183348024,6420.531842793527,6830.176613282546,7245.434453700429,7663.752799052098,8082.399845698359,8498.506168183207,8909.111429945468,9311.21469758547,9701.826698734043,10078.022286994652,10436.991396009314,10776.086872903794,11092.867767133019,11385.136897166138,11650.971804761766,11888.748514192233,12097.157822056382,12275.214135056256,12445.775107918575,12621.499089854407,12809.773479192881,13015.183500607603,13240.770742962977,13488.691465333084,13760.572704429178,14057.712534946173,14381.197123132926,14731.971285434713,15110.881618555675,15518.702481317314,15956.150638557068,16423.892032410684,16922.54286741994,17452.666467037103,18014.766925418502,18609.28031112446,19236.564011086488,19896.884696956768,20590.405330102836,21317.17158249871,22077.09802945597,22869.954459950513,23695.35264622626,24552.733912441283,25441.357839179713,26360.29243412072,27308.406087020063,28284.36160793057,29286.612620294796,30313.402544738543,31362.766365153177,32432.535316563753,33520.344575405135,34623.64396866647,35739.71165077065,36865.67062815161,37998.5079435619,39135.096267513356,40272.2175851786,41406.588615625915,42534.88755820002,43653.78172959518,44759.955635657236,45850.13901468511,46921.134393985616,47969.843718204735,48993.293635627015,49988.65906594612,50953.284718418196,51884.704281060796,52780.65705777989,53639.101889088044,54458.228251558285,55236.46448959707,55972.48318894935,56665.20375322193,57313.79229153082,57917.65896631172,58476.45298481514,58990.05544553143,59458.570271687626,59882.31347817244,60261.80102610218,60597.73552121419,60890.9920089492,61142.603111124976,61353.74373722039,61525.71558820852,61659.93165331816,61757.90088075567,61821.213182925574,61851.52491563588,61850.54494967887,61820.02143248943,61761.729317671474,61677.458721351795,61569.004146800085,61438.15460271087,61286.684626086804,61116.346207848605,60928.86160813664,60725.91703873589,60509.15718209262,60280.18050991552,60040.53535926607,59791.716720230164,59535.163686604166,59272.257519399325,59004.32027224432,58732.61392782335,58458.339995210685,58182.63951923941
IH,0.0,41.88963886079905,47.430925161606375,46.080705457970836,45.443927668359045,46.782049078559496,49.839578580976855,54.196639613188566,59.56305814814914,65.78897034231971,72.82210393065947,80.66988084431058,89.37497214866079,99.00135702950134,109.62686630685809,121.33932350975367,134.23454169305973,148.41520180085695,163.99008464652604,181.07336980317086,199.78383946539907,220.2438882250995,242.57827141526025,266.9125417727122,293.3711354446318,322.0750785245318,353.1392969406236,386.6695270789868,422.7588427525438,461.48383623574796,502.9005167767174,547.0400184380032,593.9042388998885,643.4615600176373,695.6428269945359,750.3377832153099,807.3921691846977,866.6056939661096,927.7310739427769,990.4743055149461,1054.496295647497,1119.4159185746541,1184.8145014733104,1250.241670801743,1315.2224194016744,1379.2651878607383,1441.870697266591,1502.5412287708716,1560.7900214460656,1616.1504552883894,1668.184700723601,1716.4915478449184,1760.713174774533,1800.5406710031498,1835.718193884124,1866.0457001982654,1891.3802558105988,1911.6359815442113,1930.3269277057661,1950.5361283847635,1974.2044792919257,2002.3444354174333,2035.3877205194528,2073.455762617196,2116.529620998087,2164.544140052739,2217.4344086289807,2275.1551421119702,2337.685902797379,2405.0295414468883,2477.207794410231,2554.255991540056,2636.2177622175473,2723.1400833611856,2815.0687558857835,2912.0442875209646,3014.0981249916013,3121.2491777155446,3233.5005883321614,3350.83672281301,3473.220370166442,3600.5901569565845,3732.8581943423305,3869.9079849515456,4011.5926236867563,4157.733330619707,4308.11835559574,4462.502293164498,4620.605843127481,4782.1160465241,4946.687019488936,5113.941198379916,5283.471099230936,5454.841583305424,5627.592608743242,5801.2424364528415,5975.2912469634975,6149.225114366322,6322.520274152928,6494.6476140698005,6665.077311337292,6833.283535944632,6998.74913834384,7160.970240748546,7319.460654327233,7473.756049706648,7623.417815137005,7768.03654512235,7907.235111949303,8040.67128299184,8168.039857557035,8289.074308004256,8403.547920578767,8511.274441547404,8612.108243550705,8705.944035386712,8792.716145564555,8872.397415813803,8944.997745263907,9010.562329219883,9069.169638401416,9120.929185263172,9165.97912368288,9204.483727018996,9236.63078744307,9262.6289766907,9282.705205097101,9297.102012131623,9306.075017754223,9309.890459908085,9308.82283944426,9303.152689839408,9293.164485293319,9279.144697240368,9261.380006024869,9240.155671507033,9215.754063703855,9188.453352236902,9158.526351356073,9126.239515627023,9091.852079995328,9055.615336853827,9017.772041918019,8978.555940133261,8938.191402470802,8896.893164291081,8854.866155936223,8812.305416334488,8769.39608063383,8726.313433207957,8683.223017776389
IN,59.50042753898897,115.932558006498,149.17660298427631,175.0648449532355,199.620923830316,225.23928395794835,252.98032061559215,283.42503482091314,316.9944486115096,354.0699954332237,395.03989627667266,440.3180204698733,490.3525180732561,545.6306317171994,606.6820370947846,674.0815405335118,748.4513852319358,830.4631914807223,920.839459643458,1020.3545158621228,1129.8347492827904,1250.1579655117887,1382.2516609573647,1527.0900066660668,1685.6893195695784,1859.1017957725032,2048.4072870973823,2254.7029212100238,2479.090399878035,2722.6608615346354,2986.4772649133197,3271.5543406034503,3578.836266008837,3909.172343623765,4263.2910979941025,4641.773346348286,5045.024932931018,5473.249937424943,5926.425262746689,6404.277566563247,6906.263515194115,7431.554301852901,7979.025280700645,8547.251425366932,9134.509131231209,9738.784654670451,10357.78923274357,10988.98066855242,11629.590916637766,12276.658974331687,12927.068192043738,13577.586967988973,14224.91169715336,14865.710802695616,15496.66868911412,16114.52851572037,16716.13278908262,17298.460905271153,17863.697124005594,18415.930874009242,18959.725837416438,19499.544219549036,20039.550997413746,20583.578738644777,21135.153873884945,21697.54116415752,22273.788597166702,22866.766279231684,23479.197712393656,24113.683737032236,24772.720033169357,25458.70916098199,26173.968016967865,26920.73142919369,27701.152469493918,28517.299941206864,29371.15341127137,30264.59609262606,31199.40584247349,32177.24451960138,33199.64593553522,34268.00263631698,35383.55176113482,36547.3602382324,37760.309595172395,39023.0806775274,40336.13858554445,41699.71815059303,43113.81028078942,44578.149506848575,46092.203053967314,47655.161752700486,49265.93308098603,50923.136600676444,52625.102015460354,54369.8700335656,56155.196169096496,57978.55756152291,59837.1628351815,61727.96496130358,63647.67702577247,65592.79074826992,67559.59754436732,69544.21187299123,71542.59656888594,73550.58982430618,75563.93345701485,77578.30208324797,79589.33280484387,81592.65501912161,83583.9199679587,85558.82965824025,87513.16480860354,89442.81150619675,91343.78629091084,93212.25942206566,95044.57612265983,96837.27563787102,98587.10798643061,100291.04832478918,101946.30888375222,103550.34847473874,105100.87959738277,106595.87321137867,108033.56126293082,109412.43707969745,110731.2537676349,111989.02075867349,113184.99866980789,114318.69264215583,115389.8443330856,116398.4227359355,117344.61400048161,118228.81042350299,119051.59877290604,119813.74810125446,120516.19719555225,121160.04180006815,121746.52173817219,122277.00804785233,122752.99023403728,123176.06372928464,123547.9176429865,123870.32286815252,124145.12060417968,124374.21134390979,124559.54436378449,124703.10774708932,124806.91896216615,124873.01601008522,124903.44914960761
D,5615.0,5615.0,5616.127867367809,5617.404932393185,5618.645643112711,5619.869208759876,5621.1288029695625,5622.4707203466405,5623.929950431382,5625.533669905676,5627.305020407346,5629.265736157404,5631.437751210379,5633.844148527871,5636.5097336940125,5639.461407867036,5642.728436830294,5646.342666108124,5650.338705881927,5654.7540952275285,5659.629447475345,5665.008574134742,5670.938582156868,5677.469937496979,5684.6564865843275,5692.55542625828,5701.227211953533,5710.735393454785,5721.146367470765,5732.5290366978215,5744.954366058891,5758.494828510993,5773.223735287492,5789.214448716285,5806.5394798151465,5825.26947762737,5845.472122566253,5867.210941649275,5890.5440691138,5915.522981151682,5942.191237986169,5970.583269850864,6000.723245269653,6032.624060112182,6066.286484060458,6101.698497355284,6138.834845131226,6177.65682957113,6218.112351910435,6260.136207476267,6303.65062797645,6348.566056674148,6394.782134362661,6442.188867576543,6490.667945517174,6540.094168890824,6590.336952293373,6641.261861857191,6692.7321514406885,6744.705689770711,6797.22335544571,6850.378285164134,6904.290875705345,6959.093147895892,7014.920391979396,7071.907388225837,7130.187162607767,7189.890993382259,7251.1489395301915,7314.090509752701,7378.84528950692,7445.543449495411,7514.316111667604,7585.295572682398,7658.615394039709,7734.410370416881,7812.816387151091,7893.970176274203,7978.008978949124,8065.070120953485,8155.290507122865,8248.80604039681,8345.75097125145,8446.25718377928,8550.453425412084,8658.464488201029,8770.410350595335,8886.405289727718,9006.556975254509,9130.965556748595,9259.722757446218,9392.910987752675,9530.602492272781,9672.858544214103,9819.728700789643,9971.250132707859,10127.447039980498,10288.330165113197,10453.896413293396,10624.128587488667,10798.9952444601,10978.450675631579,11162.435014594012,11350.87447082449,11543.68168702493,11740.756215392465,11941.985106179545,12147.243600134096,12356.395914870116,12569.296113938384,12785.789046367387,13005.71134373825,13228.892461446376,13455.155750679709,13684.319547794046,13916.19826816732,14150.603492239898,14387.345032264751,14626.231969265653,14867.0736507978,15109.680641287936,15353.865617966032,15599.444206655728,15846.235752937018,16094.064025406318,16342.757848914236,16592.151666742277,16842.086031672276,17092.40802679667,17342.971617707237,17593.637938381442,17844.27551365905,18094.760421668954,18344.976399932104,18594.8148991365,18844.175088762062,19092.963818834447,19341.095542116807,19588.492201015255,19835.083083386908,20080.804651307088,20325.600346682975,20569.420377402483,20812.221487486502,21053.966714476308,21294.625137041818,21534.171615545318,21772.586528043976,22009.85550396614,22245.96915745471,22480.922822137647
R,0.0,52.64675172510308,120.30495380242812,191.61975928322772,266.0149816506696,345.2856309333034,431.36386208209444,525.9128269991693,630.3796567166403,746.1150099869757,874.4682521138958,1016.850494344058,1174.774922353429,1349.8837283684857,1543.9678254007583,1758.9828780164512,1997.0634863306593,2260.5363736222257,2551.932874502615,2874.0007059107515,3229.714812722581,3622.2869513129604,4055.173576502258,4532.081515469404,5056.970841232932,5634.054298222616,6267.792586392377,6962.884783272238,7724.253181494287,8557.021849363055,9466.488290569363,10458.087691909186,11537.34940891504,12709.845550111893,13981.131779228952,15356.68075508601,16841.80896048833,18441.59801930758,20160.81194609049,22003.812093312266,23974.471834881475,26076.093228611888,28311.328015961655,30682.105330255457,33189.568387368934,35834.02222569245,38614.894253301914,41530.70896525622,44579.07773450607,47756.70408190086,51059.40432200155,54482.142989230255,58019.081998174806,61663.64210325085,65408.57491163935,69246.04347873293,73167.70938054801,77164.82411053272,81232.51740319983,85370.04638536766,89579.73817920538,93865.94350084162,98234.29189190899,102691.22812415168,107243.7455204308,111899.2413108695,116665.44223579345,121550.3682779831,126562.3157840741,131709.84944315287,137001.79733273337,142447.24587359178,148055.53295306631,153836.2382252504,159799.16998836785,165954.34824760375,172311.98368920796,178882.45236820172,185676.2659731179,192704.03758984484,199976.44294904737,207504.1772104214,215297.90741280225,223368.22080129874,231725.5693297878,240380.21072735236,249342.14660823497,258621.05819396902,268226.24030070205,278166.53432141844,288450.26099892403,299085.1538383521,310078.2940451693,321436.0478941882,333164.007435442,345266.9354230632,357748.71531331463,370612.30711812933,383859.7098220879,397491.93097552966,411508.9639668475,425909.77335585555,440692.2885206878,455853.4057364787,471388.9986686625,487293.9371306427,503562.11382816837,520186.47869406326,537159.0803096371,554471.1138153496,572112.9746347575,590074.3172735664,608344.1184103072,626910.743466801,645762.0158347413,664885.28793854,684267.5133328378,703895.3190642651,723755.0775694444,743832.9774330009,764115.0923885858,784587.4480107112,805236.0856137004,826047.1229445275,847006.8113271667,868101.5889858656,889318.1303422601,910643.3911454369,932064.6493540717,953569.5417450067,975146.0962726108,996782.7602477213,1018468.4244437601,1040192.4432707679,1061944.651185725,1083715.3755298443,1105495.4460008403,1127276.200980822,1149049.4909488591,1170807.6792118088,1192543.6401881294,1214250.7554775502,1235922.9079450604,1257554.4740411122,1279140.314571602,1300675.76412144,1322156.6193246925,1343579.1261626564,1364939.966459083,1386236.2437293315,1407465.4685277124
G,173276.0,173276.0,173314.6284467324,173371.86526708587,173440.73565345633,173519.14986642727,173606.88462777445,173704.46641042022,173812.76083672288,173932.82473864994,174065.85608583363,174213.1804422691,174376.25105286555,174556.65393920863,174756.11467369588,174976.50544381782,175219.8517123336,175488.33800590632,175784.3124162507,176110.2893840321,176468.95029947988,176863.14141328857,177295.8685166796,177770.2878276121,178289.69251761868,178857.49433713633,179477.1998529249,180152.38090503975,180886.63902738082,181683.5637574429,182546.68498683913,183479.4197698416,184485.01430342242,185566.48210516426,186726.5397265663,187967.54162683434,189291.4160724801,190699.60409754625,192193.00363746088,193771.9209212397,195436.03106443118,197184.34955032537,199015.21593053348,200926.29063794328,202914.56531220823,204976.38652176305,207107.4922597024,209303.06012481154,211557.76570019554,213865.84933033842,216221.18928527844,218617.37919211015,221047.8076059261,223505.73767502117,225984.38501446476,228476.9921208683,230976.8979210425,233502.77231404898,236066.73251547053,238677.67077537577,241342.8904598977,244068.91811612586,246861.91337013428,249727.88105566456,252672.78452221263,255702.6081174606,258823.39225218748,262041.25257829347,265362.38904680504,268793.0877909167,272339.7173785775,276008.7202718689,279806.5999677086,283739.90410850383,287815.2037607762,292039.0690241338,296418.0411315718,300958.6012236367,305667.13601669914,310549.9006347928,315612.978931522,320862.241690183,326303.303153422,331941.4763954637,337781.7281072518,343828.6334149082,350086.3313920701,356558.48195451923,363248.2248390502,370158.1413661938,377290.2196672335,384645.824019569,392225.6688812014,400029.79814591137,408057.5700571923,416307.64812338346,424777.9982713898,433465.8923649294,442367.918098679,451479.99516535155,460797.3974819253,470314.78115704533,480026.217786798,489925.2325829633,500004.8467683174,510257.62361889647,520675.71749406797,531250.9251719854,541974.7388001855,552838.3997779333,563832.952907239,574949.3001817629,586178.253625352,597510.5866428454,608937.0834031032,620448.5858360213,632036.0378897442,643690.5267596422,655403.3208653315,667165.9044147003,678970.0084534407,690807.6383540165,702671.0977486452,714553.0089562163,726446.3299928172,738344.3682895801,750240.7912698948,762129.633960853,774005.3038313277,785862.58306172,797696.6284585178,809502.9692308629,821277.5028467784,833016.4891840507,844716.543185454,856374.6262205091,867988.036346709,879554.3976525181,891071.6488528263,902538.0312952359,913952.0765228686,925312.5935265475,936618.65580645,947869.5883508179,959064.9546271934,970204.5436700409,981288.3573375994,992316.5978004518,1003289.6553146401,1014208.0963232195,1025072.6519219375
H,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4675582.802801957,4646924.622172488,4618266.441543018,4589608.260913549,4560950.08028408,4532291.89965461,4503633.719025141,4474975.538395671,4446317.357766202,4417659.177136732,4389000.996507263,4360342.815877793,4331684.635248324,4303026.454618854,4274368.273989385,4245710.093359916,4217051.912730446,4188393.732100976,4159735.5514715062,4131077.3708420363,4102419.1902125664,4073761.0095830965,4045102.8289536266,4016444.6483241566,3987786.4676946867,3959128.287065217,3930470.106435747,3901811.925806277,3873153.745176807,3844495.564547337,3815837.383917867,3787179.2032883973,3758521.0226589274,3729862.8420294574,3701204.6613999875,3672546.4807705176,3643888.3001410477,3615230.1195115778,3586571.938882108,3557913.758252638,3529255.577623168,3500597.396993698,3471939.216364228,3443281.0357347582,3414622.8551052883,3385964.6744758184,3357306.4938463485,3328648.3132168786,3299990.1325874086,3271331.9519579387,3242673.771328469,3214015.590698999,3185357.410069529,3156699.229440059,3128041.048810589,3099382.868181119,3070724.6875516493,3042066.5069221794,3013408.3262927094,2984750.1456632395,2956091.9650337696,2927433.7844042997,2898775.60377483,2870117.42314536,2841459.24251589,2812801.06188642,2784142.88125695,2755484.70062748,2726826.5199980102,2698168.3393685403,2669510.1587390704,2640851.9781096005,2612193.7974801306,2583535.6168506606,2554877.4362211907,2526219.255591721,2497561.074962251,2468902.894332781,2440244.713703311,2411586.533073841,2382928.352444371,2354270.1718149013,2325611.9911854314,2296953.8105559614,2268295.6299264915,2239637.4492970216,2210979.2686675517,2182321.088038082,2153662.907408612,2125004.726779142,2096346.5461496722,2067688.3655202026,2039030.1848907329,2010372.0042612632,1981713.8236317935,1953055.6430023238,1953055.6430023238
