series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,344811.4735363298,344750.67967390956,344701.1388944233,344657.36227011855,344616.3190651429,344576.32946363045,344536.45702584536,344496.17466273915,344455.18077441974,344413.2979737647,344370.41727572307,344326.46733286424,344281.39747449826,344235.1683559136,344187.7468045873,344139.10298191116,344089.2088230657,344038.0371829538,343985.5613726271,343931.7549120939,343876.591403418,343820.04447105445,343762.0877401202,343702.6948364016,343641.8393991397,343579.49510162894,343515.6356768742,343450.2349467692,343383.26685393497,343314.70549572754,343244.52516012976,343172.7003633536,343099.20588903944,343024.0168289706,342947.1086252356,342868.45711377804,342788.03856927215,342705.8297512618,342621.80795149464,342535.9510423771,342448.23752647056,342358.6465869408,353751.0974731809,365138.36245074915,376520.28194924444,387896.50694186904,399266.55031434493,410629.81410648127,421985.60172293556,433333.12064739974,444671.4789584061,455999.67755577504,467316.5991500372,478620.9945406195,489911.46638408315,501186.4504513951,512444.19424412824,523682.73275420483,534899.8610931743,546093.1036756458,557259.6796129214,568396.4639559492,579499.9444226443,590566.1732565418,601590.7138964217,612568.5821964218,623494.1820312532,623694.2248209282,623024.1293066231,622296.1925440388,621505.4850501124,620647.3945507231,619717.4511846579,618711.2697085901,617624.5509854389,616453.114985882,615192.9516330634,613840.282368123,612391.6282618264,610843.8817388279,609194.3794315844,607440.9737909911,605582.1010779844,603616.8433633927,601544.9822351336,599367.0420836146,597084.3211183171,594698.908655928,592213.6876957164,589632.3223345213,586959.2301390291,584199.5401517012,581359.0377244998,578444.0978214154,575461.6087834681,572418.8887934905,569323.5974066827,566183.6445293184,563007.0991419939,559802.0998909618,556576.7694303966,553339.1341104521,550097.0502910255,546858.1382378974,543629.7242423916,540418.7913107035,537231.9385039764,534075.3487811615,530954.7650067993,527875.4736357271,524842.2954749456,521859.58284663316,518931.2224317229,516060.6430561729,513250.8276874642,510504.3289324223,507823.2873649117,505209.4520594345,502664.20276077726,500188.57317771,497783.2749479658,495448.7218804138,493185.0541370214,490992.1620708047,488869.70948574715,486817.15613016486,484833.7792759755,482918.6942727384,481070.87399725616,479289.16714715515,477572.31535045645,475918.96908301074,474327.70240213955,472797.0265182427,471325.40223683824,469911.25131182757,468552.9667570385,467248.9221675811,465997.4801055256,464796.9996061161,463645.84286138916,462542.3811378577,461484.99998402415,460472.1037820402,459502.1196959649,458573.5010668943,457684.73030283256,456834.32130862674,456020.82149865397,455242.8134322841,454498.91610948514
E,0.0,60.79386242026066,95.90642463675249,116.92156156217031,130.21575328922407,139.3012288652271,146.11328331570311,151.71855709507508,156.70505554864116,161.39701984771048,165.97333688212828,170.5328006666084,175.130081675636,179.79554945273588,184.54619374403424,189.3916382018266,194.33744870658444,199.38695046509886,204.54222336369264,209.8046447120729,215.1751828875408,220.65455405073666,226.24330373403805,231.94184732907826,237.75048818792357,243.66942361451567,249.69874437629636,255.83843080992276,262.0883471915276,268.44823527358375,274.91770747164173,281.49623995762613,288.18316579522514,294.9776681893961,301.8787738898409,308.8853467730266,315.9960816210279,323.20949811382604,330.5239350523634,337.93754483137144,345.4482881830801,353.0539292150356,360.75203076721937,371.8090492960716,385.58738288955647,401.790208197899,420.3292344855655,441.2479709844766,464.67823602513374,490.8164844377002,519.911951555174,552.2619003602975,588.2112336533883,628.1549095008679,672.5422933724365,721.8829883520857,776.7539227349213,837.8076119803274,905.7815903203214,981.5090498080581,1065.930744197654,1160.108218355845,1265.238413565917,1382.669675221878,1513.9191504405576,1660.6915062086987,1824.8988200461554,2008.6813903099248,2202.056223098042,2407.3786236048236,2626.742556700449,2861.4278172894456,3112.2680534355886,3379.8144454851604,3664.4012558177137,3966.1643085090404,4285.037240018506,4620.737918879671,4972.751542307205,5340.314131855934,5722.398816407171,6117.70661389323,6524.663019831451,6941.421397252215,7365.873854749532,7795.669964638207,8228.243307544475,8660.84544561695,9090.586545625156,9514.481521359801,9929.500267760504,10332.62033931942,10720.880298512344,11091.431934237058,11441.589624766135,11768.875285602098,12071.057584076845,12346.184398994415,12592.60783207795,12809.001415360244,12994.369483811057,13148.048977764824,13269.704191870844,13359.315187900556,13417.160734025263,13443.79672344921,13440.031064203891,13406.8960255685,13345.618982596316,13257.59242692295,13144.344017753789,13007.50733950844,12848.793918995525,12669.966941062443,12472.816992086524,12259.140058944145,12030.717919614784,11789.300981782253,11536.593558305254,11274.241513210596,11003.822168384555,10726.836328517213,10444.702258978787,10158.751436939498,9870.225888908504,9580.276926708771,9289.965097539081,9000.261171117076,8712.047996982172,8426.123077024888,8143.201711487437,7863.920590459515,7588.841716797259,7318.45656004911,7053.190354097353,6793.406463614324,6539.410755949143,6291.455925620837,6049.745728156986,5814.439088578595,5585.654057413287,5363.471593761274,5147.939160696807,4939.074123225795,4736.866943207028,4541.284169151011,4352.271221707526,4169.754978009473,3993.6461599216973,3823.841532710686,3660.2259217609108
I,150.51583589800802,118.77683067844622,102.01339971103693,93.56873554497487,89.76797859921076,88.57994045037115,88.88026749694977,90.04536979720692,91.72847655842435,93.73605239580851,95.9595484484901,98.33767770755802,100.8355367832996,103.43303085067157,106.11844012652372,108.8848309162147,111.72804279020748,114.6455509416835,117.63581600632814,120.69790659581696,123.83127537283379,127.03562235214639,130.31080837879193,133.65679796693013,137.07361970836513,140.56133749583705,144.1200286307071,147.74976648049778,151.45060626283174,155.22257306006523,159.065651480688,162.9797765725359,166.96482571111827,171.02061126317372,175.14687387753168,179.3432762919777,183.60939757164022,187.9447277147198,192.34866257718295,196.82049908059955,201.35943067744876,205.964543056507,210.63481007776358,215.36908993196616,220.61151817762072,226.6257065737582,233.57923900202746,241.59233210696678,250.76578055602135,261.1970841425915,272.9899489352337,286.2601696226289,301.1396239090804,317.7793717789901,336.3524303164561,357.0565563582028,380.1172367074142,405.79101345232516,434.36923372617497,466.18229376637174,501.6044375479087,541.059165375211,585.0253044079393,634.0437889976184,688.7251922264547,749.758039612296,817.9179199613352,894.0773850242624,979.2165969182618,1072.74890511246,1174.5322623092675,1284.7398655840732,1403.6827552204845,1531.7199629239874,1669.209907294938,1816.4809692416734,1973.8107898553585,2141.409422881872,2319.4041895599044,2507.8254240986053,2706.592976355851,2915.5036918054934,3134.2202756425622,3362.2620403013575,3598.998065886769,3843.643284927347,4095.257942974712,4352.750789498822,4614.886224586643,4880.295473301379,5147.491690370966,5414.888723899514,5680.82309954913,5943.578637384824,6201.412992282272,6452.585323236111,6695.384251986912,6928.155268834402,7149.326781882354,7357.434080996868,7551.140592939242,7729.255931435534,7890.7503866310035,8034.765643752768,8160.621662856393,8267.819783423742,8356.042233958124,8425.148323863832,8475.167670690207,8506.290869638438,8518.858044711538,8513.3457336758,8490.352554458052,8450.584081539177,8394.83733033838,8323.985208532662,8238.961248580172,8140.744887997512,8030.347515413128,7908.799452928923,7777.138000323002,7636.396625192643,7487.5953459953225,7331.732322519708,7169.776640772614,7002.662256558378,6831.283043948404,6656.4888810673,6479.082695755077,6299.8183872525005,6119.399536629815,5938.478817770201,5757.658021879509,5577.488611303642,5398.472722512845,5221.064543118343,5045.671993425404,4872.658649045675,4702.345847279907,4535.014926168595,4370.909551156307,4210.238090121354,4053.1760030089727,3899.8682174203695,3750.4314662184447,3604.956567497097,3463.5106311210043,3326.139179483556,3192.8681731668808,3063.705934840241,2938.6449670259753
A,111.6742583723545,95.15039765101545,87.21687719044466,84.00661662499672,83.39569154682701,84.21901459635588,85.83892648831409,87.90774973177474,90.23707297052398,92.72580203291503,95.32057727412744,97.9940173061604,100.73277888536234,103.53101950196101,106.386831058697,109.3003052099908,112.27249286228886,115.3048520558009,118.39896122295531,121.55637549049244,124.77855910743543,128.06685755457497,131.42248962249022,134.84654890916428,138.34000918871476,141.9037308155111,145.53846678635728,149.24486785631683,153.0234865039194,156.87477974056995,160.79911085093377,164.7967501870823,168.8678751469642,173.01256946214815,177.2308219085761,181.5225245412653,185.88747054144648,190.32535175337958,194.83575597834158,199.41816408504218,204.07194698887824,208.7963625468165,213.59055241011873,218.45353887342378,223.7146809436945,229.5901516467842,236.23413341037065,243.7690701570558,252.30368657865375,261.9439448868918,272.7999873892495,284.99085333609287,298.6480173949118,313.918365350592,330.96697367406597,349.97991775145346,371.1672539450807,394.76627686910507,421.0451298683034,450.30683467380123,482.8938002672415,519.1928679037678,559.6409469535021,604.7312932242038,655.0204764621086,711.1360755576547,773.7851272685883,843.7633354910042,921.9650215065292,1008.1430405619567,1102.3249043119026,1204.7457235645534,1315.735189968676,1435.6584823103408,1564.8824622175769,1703.7534978538747,1852.5804369544446,2011.6197202520689,2181.061324816993,2361.015078596528,2551.497331568333,2752.4182125000407,2963.569839424203,3184.615929697664,3415.083290079811,3654.3556655951893,3901.6703906860785,4156.118219155251,4416.646613477115,4682.066653821024,4951.0635891191905,5222.210904899921,5493.987634609993,5764.798502234103,6032.9963630529355,6296.9063138474485,6554.850779226812,6805.174850097881,7046.271154138575,7276.603574616018,7494.729199075355,7699.317967833565,7889.169597387234,8063.227468945411,8220.589290648775,8360.51445756045,8482.428141069506,8585.922234923859,8670.753365902063,8736.838241525564,8784.246654667328,8813.192495815252,8824.023139220282,8817.20757085758,8793.323616059684,8753.044605024294,8697.125787368019,8626.390774618587,8541.718253969084,8444.029179489658,8334.274609775726,8213.42432490709,8082.456321532458,7942.347253561215,7794.0638577954105,7638.555379129751,7476.746988780595,7309.534171337443,7137.778042119345,6962.301545144569,6783.886473712903,6603.271249852624,6421.149395380053,6238.168625739516,6054.930497825624,5871.990544345576,5689.858829686861,5509.0008654713465,5329.8388277839995,5152.753022275148,4978.083547788239,4806.132113725595,4637.16397092188,4471.409920259905,4309.068367566918,4150.307397419393,3995.26684232361,3844.06032730328,3696.7772732003573,3553.484844975637,3414.2298339834874
IH,0.0,21.359069849729572,31.73596348730081,36.58670680800188,38.76786799741702,39.74813135871477,40.26249035599747,40.66346190205857,41.10815314746651,41.65681170005065,42.32394821439258,43.104268536208146,43.98538725160036,44.95372246176703,45.996960099265394,47.10485786049297,48.269296011344416,49.48402715214959,50.74434044110626,52.04673539474065,53.388641060328865,54.768188587351744,56.18403337988588,57.635218912405904,59.12107373889256,60.641134120921464,62.19508603914842,63.782721686123125,65.40390669388053,67.05855528409515,68.7466112544256,70.46803326461252,72.22278329585004,74.01081745934803,75.83207855158281,77.68648991548193,79.57395028467624,81.49432937388912,83.44746404128671,85.43315489457586,87.45116324644033,89.50120834989683,91.58296486274,93.69606050416479,95.8400738771548,98.07773680581464,100.49016252609412,103.15764367251373,106.153179481807,109.54193179663113,113.3831345933309,117.7327726161758,122.64628231800131,128.1810004307225,134.39830968555094,141.365527497105,149.1576166823176,157.8588016452622,167.5641662534868,178.38129918953086,190.4320425222778,203.85439088876606,218.80458216279263,235.45941546443956,254.01882828406485,274.70876073102664,297.7843308158314,323.5333395488436,352.2801177576448,384.38971709174257,420.03321955677137,459.30966047905497,502.3126153402145,549.1514165040533,599.9531843993968,654.8573453789325,714.007636797476,777.5435992064349,845.5922582123095,918.2601800495761,995.6259139069207,1077.732811155301,1164.5822458461084,1256.127311191006,1352.2671149249313,1452.8418343167768,1557.6287154040574,1666.33920911965,1778.617428840709,1894.0400899225272,2012.1180532782018,2132.2995442319184,2253.97505777025,2376.483895708683,2499.1222144019985,2621.1523978137575,2741.8135141596863,2860.3325685318932,2975.936231634664,3087.8627077218016,3195.3734036012784,3297.764074645657,3394.3751516158823,3484.600991486648,3567.8978435275158,3643.790375539562,3711.876661238332,3771.8315853672416,3823.408675642289,3866.440417972759,3900.8371520240844,3926.5846770993985,3943.7407230596036,3952.4304575955866,3952.8412100218343,3945.216593592908,3929.850204079313,3907.0790630281717,3877.276960875527,3840.84783895343,3798.219331462562,3749.836569574094,3696.1563307722818,3637.64159800509,3574.75657568897,3507.9621934980155,3437.712114417184,3364.449250906099,3288.6027822642345,3210.5856573945616,3130.7925600565977,3049.5983082626035,2967.356655553663,2884.399459328001,2801.0361800060573,2717.553674428585,2634.216247323955,2551.265925787507,2468.9229233408764,2387.386262149582,2306.834524255664,2227.426705127866,2149.3031453596736,2072.586518885202,1997.3828585780766,1923.7826025049453,1851.861646390118,1781.6823899874098,1713.294767034201,1646.7372502723006,1582.0378246573089
IN,10.379935369832234,20.65079563083261,28.62492855921161,35.359220523393944,41.44038233954284,47.195532323882325,52.80827569005947,58.3827501411209,63.97899480591033,69.63250375528396,75.36505141169935,81.19069759474951,87.11912787964732,93.15751904101026,99.31158665036675,105.58617799397034,111.98561125718784,118.51387233548743,125.17473112271969,131.97181173941362,138.90863599209317,145.9886509335044,153.21524670614488,160.5917682315351,168.12152283468555,175.80778505811972,183.653799440799,191.6627817580988,199.83791905277707,208.18236868524326,216.69925656726758,225.39167470127614,234.26267811885694,243.3152812920364,252.55245407632816,261.9771172337352,271.5921375757037,281.4003227597814,291.40441576895194,301.60708909897687,312.01093867633904,322.6184775273746,333.43212921776467,344.4542210806285,355.6869772509305,367.16322715203813,378.93363453027524,391.05988773291165,403.611317299728,416.6634762704112,430.2978475744104,444.6022097178016,459.67140428812587,475.6083708572391,492.5253847418883,510.5454731158294,529.8040081395272,550.4504895611906,572.6505379077607,596.5881253234195,622.4680756464196,650.5188691397902,680.995790738739,714.1844638535491,750.4048146267221,790.0155139257529,833.4189459914317,881.0667531806688,933.4660051478793,991.1860374708978,1054.7497461618725,1124.6647365786994,1201.4452241161857,1285.6214707464078,1377.7429260013262,1478.377983063617,1588.111708230027,1707.5421665656047,1837.2756243227234,1977.920757327432,2130.0819371993457,2294.3516573138277,2471.3021749424834,2661.476473262073,2865.378680263536,3083.4641166684937,3316.129178419998,3563.701288292381,3826.429173144087,4104.4737361933,4397.8997958208965,4706.6689528400275,5030.633826709155,5369.533868394728,5722.99291487046,6090.5185996051505,6471.503677387559,6865.229263324063,7270.8699277711075,7687.500534147568,8114.104657505973,8549.584380444423,8992.771230856846,9442.438003974228,9897.311199361553,10356.083801667419,10817.428141170722,11280.008585365798,11742.493834563858,12203.568621223383,12661.944642887529,13116.370590694996,13565.641168063934,14008.605026125284,14444.17157280808,14871.316640378762,15289.087021149948,15696.603902644727,16093.065251555736,16477.747210355115,16850.00458150076,17209.270482053755,17555.055256451345,17886.94473749609,18204.597945677564,18507.744315098582,18796.180530886766,19069.767058369896,19328.424438790007,19572.12942020481,19800.91098572104,20014.846334532234,20214.05686456883,20398.704199053864,20568.986293005302,20725.13364982046,20867.40567257994,20996.08716965703,21111.485029635034,21213.925076426705,21303.74911185125,21381.31214974111,21446.97984290124,21501.126101901493,21544.130902717676,21576.378278617452,21598.25449038022,21610.14636791311,21612.439815546317,21605.51847272958,21589.762521479093
D,648.0,648.0,648.1454518917009,648.3615687898923,648.6107184838522,648.8747215409659,649.1454000367231,649.4195812360014,649.696492988169,649.9764330174725,650.2601093248504,650.5483287265071,650.8418619862923,651.1413955253439,651.4475232742141,651.760755306601,652.0815319477334,652.4102382287332,652.7472166369173,653.0927775795144,653.4472076260136,653.8107758381218,654.1837385509696,654.5663429432011,654.9588296796733,655.3614348528015,655.7743913970156,656.1979301083236,656.6322803675973,657.0776706406841,657.5343288092945,658.0024823724098,658.4823585474908,658.9741842930962,659.478186268909,659.9945907450652,660.5236234696785,661.065509501254,661.6204730110753,662.1887370594555,662.7705233488779,663.3660519564027,663.9755410472476,664.5992065711013,665.2372619424788,665.8899177062483,666.5578116010905,667.2421337340102,667.9446209921695,668.6675073760016,669.4134706277949,670.1855918638599,670.9873334477719,671.8225352565929,672.6954276214724,673.6106588802628,674.5733357917765,675.5890755997675,676.6640691028775,677.805154605866,679.0199030754254,680.3167152034906,681.7049314036764,683.1949560448381,684.7983974699108,686.5282255645559,688.398948830889,690.4268130843776,692.6300240199075,695.0289959740676,697.6466292275145,700.5069891023385,703.634815335558,707.0554848984397,710.795119298377,714.8807057128033,719.3401807905893,724.2024600092866,729.4974090955593,735.2557588003864,741.5089655739698,748.2890207740786,755.6282109744699,763.5588321059739,772.1128606716019,781.3215861139772,791.2152095081709,801.8224150099567,813.1699218015417,825.2820255334489,838.1801393546348,851.8823454541407,866.4029685226266,881.752182617891,897.9356625474629,914.9542900548298,932.803923834788,951.4752407568832,970.9536537174444,991.219309362455,1012.2471666292038,1034.0071547520133,1056.464407170539,1079.579565762107,1103.3091480707108,1127.6059687837633,1152.4196056514884,1177.6968993696028,1203.3824766502826,1229.4192857683836,1255.7491342542655,1282.3132190655724,1309.052640455446,1335.9088918082614,1362.824318880597,1389.742543112071,1416.608844910083,1443.3705040228524,1469.9770952620963,1496.3807388933565,1522.536305958837,1548.4015796220974,1573.9373743196586,1599.107615070554,1623.8793797345581,1648.2229073301937,1672.1115757342532,1695.5218521967943,1718.43322013176,1740.8280855963276,1762.6916667644728,1784.0118695442268,1804.779152295077,1824.9863823822448,1844.6286870674119,1863.7033009888394,1882.2094122345604,1900.148008766058,1917.5217267111022,1934.3347018167601,1950.5924251396073,1966.3016038517155,1981.4700278591838,1996.1064427653835,2010.2204295637991,2023.8222913150355,2036.9229469486452,2049.533832232074,2061.666807865235,2073.3340745889045,2084.5480951371537
R,0.0,16.63293583017091,37.26162607021957,59.87688599801062,83.52610857102903,107.79553320400905,132.53789674088293,157.7314333276055,183.40854553110634,209.6209694560402,236.42371869126134,263.8684425680133,292.0013170099419,320.8629732229709,350.48922642964413,380.9120185698207,412.16031932905526,444.26089183730966,477.2389045492469,511.11840236406937,545.9226605058202,581.6744455991885,618.3962054775568,656.1102052761338,694.838623492105,734.6036183833966,775.4273724255235,817.3321205015454,860.3401659625198,904.4738875582609,949.7557394060537,996.2082455609416,1043.8539903151197,1092.7156050402787,1142.8157521616663,1194.177106691454,1246.822335633749,1300.774075491389,1356.0549080461813,1412.6873345429044,1470.6937483784143,1530.0964063771837,1590.9173987211773,1653.1786175933303,1716.9017245888515,1782.1570132780275,1849.0657076441423,1917.7964269901818,1988.5603623052289,2061.607164179245,2137.2222757228174,2215.725855827122,2297.473198385402,2382.8564839543,2472.30770856867,2566.3026730285465,2665.3659625642376,2770.0768916955853,2881.0764289699637,2999.0751506252873,3124.8623017746977,3259.3160694519147,3403.415194705945,3558.2520715493997,3725.047499281125,3905.167271505738,4100.1407996749085,4311.681980397338,4541.712522893218,4792.387954109899,5065.941449584488,5364.666474643361,5690.9259798900885,6047.164846506113,6435.919977496367,6859.826022322707,7321.616192254833,7824.118162046677,8370.245207823487,8962.982748408129,9605.370445368573,10300.48001953141,11051.388973318777,11861.150470761444,12732.759716254646,13669.117282089857,14672.989955109904,15746.969795343468,16893.432214772853,18114.49398331173,19411.97214323102,20787.344855618427,22241.715207791225,23775.778975971883,25389.79726257515,27083.574814314725,28856.444680609347,30707.259698106624,32634.391094748633,34635.734304797894,36708.72188400587,38850.343220636445,41057.17056140673,43325.390718245486,45650.84169708282,48029.05339683705,50455.29146669623,52924.60338234448,55431.86580512048,57971.83231918621,60539.18069672067,63128.55891547215,65734.629241989,68352.10979280352,70975.81309030546,73600.68123595761,76221.81742735073,78834.51364443614,81434.27442180668,84016.83670642368,86578.1858725935,89114.56802768407,91622.49879289353,94098.76878356795,96540.44604364001,98944.87570947625,101309.67719068307,103632.7391602318,105912.21264466604,108146.502498192,110334.25753313609,112474.35956453266,114565.91160935088,116608.22546186573,118600.80884661198,120543.35232982111,122435.71614972643,124277.91710603522,126070.1156295313,127812.60313443327,129505.78973897123,131150.19242377812,132746.4236831928,134295.18071146635,135797.23515414784,137253.42344456544,138664.63773626104,140031.8174344091,141355.94132257608,142638.02027556326,143879.09054443563
G,39068.0,39068.0,39076.28282696535,39089.349546014055,39105.27946104796,39123.02063605674,39141.99965678049,39161.9067821853,39182.57759509013,39203.92779078476,39225.917240622315,39248.53018830366,39271.76433766686,39295.62484109924,39320.12098867023,39345.264385208,39371.06794671007,39397.54534749433,39424.71071491965,39452.57845971793,39481.16318027185,39510.47960690015,39540.5425674945,39571.36696427231,39602.96775604582,39635.3599429573,39668.55855203058,39702.578622656074,39737.435191545155,39773.14327691757,39809.71786180829,39847.17387644603,39885.526179690845,39924.78953953641,39964.9786126926,40006.107923269316,40048.19184058595,40091.24455613315,40135.280059716184,40180.31211481115,40226.35423316816,40273.41964869838,40321.52129068502,40370.67175636176,40421.32867955873,40473.862824377786,40528.60451438374,40585.87204401781,40645.989635613005,40709.29947101963,40776.17049797026,40847.00562113088,40922.24824560204,41002.38876758015,41087.971394110165,41179.60155579284,41277.95411382601,41383.78253269161,41497.92917848809,41621.336902267154,41755.06207288199,41900.289231673145,42058.34754958845,42230.72927419469,42419.11035764895,42625.3734549982,42851.63347272274,43100.2658272723,43373.937538890816,43673.955500207456,44001.94750113604,44359.8266227037,44749.680310903415,45173.70959165856,45634.19058616123,46133.44495700098,46673.81287204523,47257.62545749664,47887.17540070853,48564.68525000667,49292.273465885984,50071.91860334022,50905.42223825256,51794.37142899298,52740.10163987442,53743.661146683204,54805.777992454576,55926.830559801696,57106.822771906445,58345.36482818231,59641.66022658373,60994.499630037004,62402.26191001192,63862.922458521534,65374.068614594915,66932.92181617873,68536.36587593511,70180.98059981142,71863.07982805655,73578.7528839083,75323.90836669235,77094.31922188992,78885.668056776,80693.59174063132,82513.72442626343,84341.73824709888,86173.38107393372,88004.5108505576,89831.12616173085,91649.3928152653,93455.66633824393,95246.51039285347,97018.71120810794,98769.28819906747,100495.5010049598,102194.85322248706,103865.09314161369,105504.21180968308,107110.43875738853,108682.23571860867,110218.28866707794,111717.49847789964,113178.97050250185,114602.00332311235,115986.07692834716,117330.84052605354,118636.1001839365,119901.80646338162,121128.04218777058,122315.01046384394,123463.0230535568,124572.48917455958,125643.90479000028,126677.8424328026,127674.94159589357,128635.89970796093,129561.46370411603,130452.42219220211,131309.5982082907,132133.8425490152,132926.02766366268,133687.04208525064,134417.7853770255,135119.16356881455,135792.08505633098,136437.4569357691,137056.181745743,137649.15458873278,138217.2606046329,138761.37276968654,139282.34999497634
H,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,287915.4122519941,276431.4729176792,264947.5335833643,253463.5942490494,241979.65491473454,230495.71558041967,219011.7762461048,207527.83691178993,196043.89757747506,184559.9582431602,173076.01890884532,161592.07957453045,150108.14024021558,138624.2009059007,127140.26157158584,115656.32223727097,104172.3829029561,92688.44356864123,81204.50423432636,69720.5649000115,58236.625565696624,46752.686231381755,35268.746897066885,23784.807562752012,12300.868228437139,816.9288941222658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
