series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,576833.93853539,575127.4594027553,573693.5717137163,572383.7564329937,571120.3962993652,569862.4322883578,568588.2227906976,567286.6473515492,565952.3834364671,564583.3622045512,563179.382664539,561741.348167423,560270.8394039031,558769.8701207672,557240.7423780909,555685.9562368225,554108.1494004817,552510.0535582129,550894.4602926932,549264.1927492466,547622.0810732162,545970.9405986518,544313.5522889276,542652.6451957668,540990.8808314377,539330.8394028408,537675.0078710219,536025.7697949264,534385.396904889,532756.042335413,531139.7354314869,529538.3780296164,527953.7421046438,526387.4686664452,524841.067786636,523315.91963417566,521813.27639989555,520334.26499307516,518879.89039788843,517451.03958345373,516048.485868028,514672.8936452888,571776.369699907,628690.886961307,685420.3923353094,741961.2757992186,798302.4415273689,854425.6734663286,910305.9788225308,965911.74955403,1021204.6833488547,1076139.4636189134,1130663.227502209,1184714.8643329018,1238224.1935549374,1291111.0763373126,1343284.5222751156,1394641.8626430726,1445068.0743398136,1494435.3523604423,1542603.0407803573,1589418.0394055455,1634715.80151785,1678322.0236661143,1720055.0983031583,1759729.3532754902,1797159.040661945,1832162.96654174,1864569.5813588058,1894222.2878995456,1920984.6806189155,1944745.4138092555,1965422.4103234378,1982966.1656056317,1997361.9674543843,2008630.9310321764,2016829.830966828,2022049.7887499223,2024413.9371148392,2024074.2296368096,2021207.5921738981,1957625.317340163,1894685.177269407,1832574.394263885,1771555.0292168534,1711921.4794915866,1653950.5769234316,1597880.1309406024,1543901.2235799716,1492157.3904481803,1442747.297281952,1395729.1378379643,1351125.7716095904,1308930.0344537662,1269109.8880124798,1231613.2138620936,1196372.1473655396,1163306.904766136,1132329.0959505774,1103344.5407278263,1076255.622340652,1050963.2209404574,1027368.2738752153,1005373.0103386269,984881.9063242447,965802.4027648249,948045.4258409082,931525.7441672294,916162.1932288934,901877.7932540816,888599.7828095459,876259.586863705,864792.7349121073,854138.7420046538,844240.9631375175,835046.4294477788,826505.6729417933,818572.5450631878,811204.0332271863,804360.0784805053,798003.3966588256,792099.30477852,786615.5538909064,781522.1692240847,776791.2981207656,772397.0660345741,768315.440658799,764524.1041193296,761002.333058357,757730.8863597347,754691.9002144602,751868.7901905216,749246.1599512331,746809.7162568843,744546.1898834023,742443.2620966738,740489.4963305406,738674.2747289549,736987.7392273458,735420.7368641173,733964.7690297648,732611.9443779106,731354.9351392757,730186.936595978,729101.6294893974,728093.1451500639,727156.0331525139,726285.2313117926,725476.0378512284,724724.085583268,724025.3179565556
E,0.0,1706.479132634656,2716.935137931662,3352.592500124056,3784.067930283346,4103.084476612466,4359.188370024641,4579.110693135057,4777.15177738678,4960.8098941576645,5133.854905855993,5298.016910011919,5453.91937228965,5601.5980006280015,5740.7913294040845,5871.104770049452,5992.104001383528,6103.368485483032,6204.522139710375,6295.250636830757,6375.310644162811,6444.53401888657,6502.828710432961,6550.177420554427,6586.634682703105,6612.322804216603,6627.4269899518995,6632.189891657327,6626.905780085078,6611.914503896613,6587.5953740192535,6554.361090771847,6512.651812077349,6462.929443661235,6405.6722160256195,6341.369598148482,6270.5175843334655,6193.6143784925,6111.1564894257845,6023.6352413828745,5931.53369632009,5835.3239777561475,5735.464980886381,5849.34296665008,6119.976093900435,6512.078454978418,7006.605499837463,7596.358464065319,8282.701565524423,9073.27576466542,9980.520326941716,11020.802217000366,12213.973509524623,13583.208152655896,15154.999792033577,16959.22643312022,19029.203972975585,21401.65989659118,24116.56280928064,27216.74573919369,30747.264399194766,34754.43901788123,39284.54282779134,44382.123935476055,50087.98074308291,56436.85287942654,63454.93573548755,71157.37079319393,79545.89808708464,88606.8735513789,98309.84697790515,108606.86398508793,119432.6006362894,130705.36934744674,142328.95946475255,154195.2058900679,166187.12325692017,178182.40712085244,190057.08941361366,201689.14164101626,212961.84217201264,223766.7583893321,231183.25714606172,235930.12989082636,238407.73475184446,238884.75181724498,237580.75863786772,234699.87100584613,230442.28449233537,225006.06621776376,218585.00642775928,211365.281831784,203522.20704657823,195217.61919956273,186598.07270059775,177793.83722038456,168918.60459938555,160069.77524032764,151329.18776845775,142764.1641240049,134428.75810135706,126365.11412271476,118604.86204372994,111170.4915023302,104076.66494297776,97331.44165266774,90937.3959054823,84892.62078213076,79191.615660207,73826.06005338949,68785.47971376532,64057.81298540479,59629.88656525583,55487.81031088707,51617.30071918987,48003.94233702388,44633.395773843644,41491.56026015638,38564.69790373248,35839.52598833328,33303.28287261611,30943.772303171685,28749.390269563555,26709.13790819511,24812.623408326264,23050.055386671193,21412.229773523188,19890.511888661807,18476.815074031052,17163.5769866713,15943.734434005215,14810.697448924937,13758.323149184165,12780.889799791596,11873.071394336306,11029.912987833366,10246.80694660083,9519.470227136817,8843.92275361763,8216.466930494544,7633.668301047334,7092.337343245918,6589.512379700865,6122.443567872203,5688.577929247973,5285.545371237369,4911.145652507439,4563.336240987614,4240.221013417521,3940.039745834836,3661.1583455629802
I,909.8020911064248,712.2790123937383,612.3711552681765,566.5621801102775,551.0860114165697,552.8085063038767,564.388848350747,581.6690482088321,602.251184470515,624.7165919632896,648.1950974752982,672.1263579342593,696.1271732341919,719.9175345368216,743.2793697351756,766.0335654049792,788.0272390094508,809.126769685026,829.2140584953925,848.1845843483718,865.9464368502835,882.4198554600551,897.5370032515468,911.2418187356463,923.4898568770855,934.2480709543504,943.4945116328328,951.2179349712907,957.4173207144133,962.1013082490397,965.2875612615218,967.0020741846067,967.2784344433875,966.1570546216676,963.6843881989302,959.9121416225753,954.8964943108364,948.69733683263,941.3775360648802,933.0022346522679,923.6381906414579,913.3531617720303,902.215337609348,890.2928215210735,884.6111558016933,888.8430212777629,904.7320152993547,933.0323751483472,974.1037032052086,1028.2712847077737,1096.0348520138125,1178.1846070899621,1275.8641319548967,1390.6054457645907,1524.3512153269735,1679.472073801176,1858.7822533244114,2065.553540632233,2303.5253591993974,2576.907195088321,2890.36841432258,3249.009708513087,3658.3100084654425,4124.042859049961,4652.157126928527,5248.6186730384425,5919.212340143304,6669.30721373876,7503.592353489987,8425.794606296362,9438.394094122661,10542.355861877055,11736.897398090148,13019.310945754638,14384.856652919454,15826.737953687973,17336.164677601806,18902.502979982106,20513.50501515994,22155.605987673,23814.27227728236,25474.38198310289,27120.61849594162,28647.317127665825,29994.807361427323,31129.214157485945,32032.634305346644,32698.09398651994,33126.680038284205,33325.664207465954,33307.09210653122,33086.6096087777,32682.43702297492,32114.46178949848,31403.444273609453,30570.338086372813,29635.725829857496,28619.367944878824,27539.85869185776,26414.38022251977,25258.543563217983,24086.30416602693,22909.939374078203,21740.075514865857,20585.753190903215,19454.520508012887,18352.54532171651,17284.738976535427,16254.8853762841,15265.770496941748,14319.308600888267,13416.662413214226,12558.355371732747,11744.374765959627,10974.265146708636,10247.21183087071,9562.11466106017,8917.652423216943,8312.33849252384,7744.568383553224,7212.659937308135,6714.886897008041,6249.506615636338,5814.78260934673,5409.002628265452,5030.492865153756,4677.62886679462,4348.843655855879,4042.6335145728162,3757.5618274475796,3492.261329320992,3245.435058268214,3015.8562701263427,2802.367533171424,2603.879187449849,2419.3673233448803,2247.871407858519,2088.4916645035905,1940.3862933017363,1802.7686008372477,1674.9040963001175,1556.1075976564775,1445.740382224569,1343.2074077477068,1247.9546233060462,1159.4663838855045,1077.2629779386057,1000.8982736651191,929.9574868682809,864.055070982664,802.8327281173559
A,6128.858560401768,5361.5645175400905,5059.03061795411,5012.689937635392,5109.490176227859,5287.395701358408,5511.954917454089,5763.734247941409,6031.508561600826,6308.547754441076,6590.584356057349,6874.699668063222,7158.7141972944855,7440.856014482313,7719.5827396268905,7993.488596931093,8261.258550442022,8521.648359420515,8773.478693225341,9015.636609937777,9247.080587714177,9466.846922444976,9674.056230900713,9867.919334694783,10047.742118108034,10212.929146718641,10362.985956276152,10497.520001441313,10616.240308093627,10718.955910001456,10805.57317597948,10876.09215033049,10930.602039342672,10969.275981233845,10992.365237212553,11000.192938088865,10993.147514829674,10971.675933249084,10936.276843223774,10887.493741933875,10825.908239098566,10752.13350038793,10666.807933473352,10570.589169794224,10511.020722181016,10517.382530881532,10607.665043638124,10793.491676305815,11083.475310797468,11485.445302347493,12007.901717473143,12660.96808117162,13457.036744200035,14411.237829205611,15541.81419909055,16870.449011591325,18422.566236975385,20227.605118847292,22319.254591072466,24735.621516170002,27519.296472527338,30717.272652312324,34380.66789201845,38564.198139363005,43325.354264051915,48723.244498627704,54817.082903707545,61664.330061288565,69318.52430487647,77826.87725949002,87227.74203514283,97548.0911416799,108801.15933687128,120984.41066038207,134077.97731732458,148043.69167663122,162824.7944311642,178346.35646059597,194516.40434269802,211227.69475079904,228360.04521055834,245783.1005932473,263359.3975815583,280337.65392383473,296215.9443308384,310641.68225465575,323364.4734316626,334212.71302480256,343080.38104048476,349917.9845258399,354725.0208728834,357542.9204830713,358448.15205027006,357545.4891391684,354961.55466574547,350838.7835322234,345329.9246060829,338593.1676913725,330787.9424497799,322071.40091953124,312595.56620192685,302505.1078720209,291935.68946870277,281012.8242285108,269851.1710144278,258554.20208033858,247214.17689299837,235912.360816284,224719.43330160645,213696.03672555595,202893.42371133264,192354.16732692093,182112.9047366459,172197.09054461625,162627.74112605164,153420.15566348736,144584.60339390807,136126.9697598756,128049.35678883624,120350.63515541061,113026.94707095347,106072.16045258276,99478.27580736087,93235.78797943631,87334.00539674186,81761.32976185188,76505.49929584976,71553.79869624505,66893.23893683925,62510.70994119614,58393.10902024603,54527.44779326251,50900.9401217088,47501.07338641874,44315.66523728088,41332.907746295605,38541.40070339527,35930.17561241697,33488.71177383401,31206.945682300295,29075.27482119845,27084.55680324518,25226.10468552322,23491.679178586015,21873.47837187675,20364.12551088185,18956.655284414144,17644.499012387194,16421.46906460108,15281.742788634861,14219.84617919205
IH,0.0,36.41718135686848,52.05339834419819,58.162661938528075,60.27849048354686,61.02683496646945,61.57956399713372,62.40041947134535,63.62276200247235,65.23682212500185,67.17949843754326,69.37516688962397,71.7525096753709,74.25008344905478,76.81695889741226,79.41148288400429,81.99955845775702,84.55302346840695,87.04832343037293,89.4655038770171,91.78748113167599,93.99953217102953,96.08894639089242,98.04479142774812,99.85775583836103,101.52004103326554,103.02528268346552,104.36848786690462,105.54597874503514,106.55533686986448,107.39534460286046,108.06592181284154,108.56805719185027,108.90373432246214,109.07585314804506,109.08814781353878,108.94510201319669,108.65186304410098,108.2141557505792,107.63819747793482,106.93061505171173,106.09836467449139,105.14865549628544,104.08887747479206,102.92653400403834,101.94769129546447,101.48429091391262,101.8207148763098,103.1709977177961,105.6879002052388,109.48319786431094,114.64915321842471,121.2770410317038,129.47164246262582,139.36201833957466,151.1093627858064,164.91277357244354,181.01360821073195,199.69885864165187,221.30373643283855,246.21344112982965,274.8638958548653,307.74107988626264,345.3784722713435,388.3520518886521,437.27229016006885,492.7726371169275,555.4941520351581,626.0661715738034,705.0832342878692,793.0788677729805,890.4972545244003,997.6641732977118,1114.758908005209,1241.7889752122592,1378.569509316318,1524.7089502592537,1679.6023171893266,1842.4328614399155,2012.182328394439,2187.649481709073,2367.476013257672,2550.1785253780645,2734.184960162348,2914.2495280864864,3084.5925206381144,3240.1215977571014,3376.8280957384386,3491.8413915268547,3583.349218976994,3650.4710741706094,3693.1198951619344,3711.865665615086,3707.806177433117,3682.4471655845246,3637.5930287731862,3575.2489777957812,3497.5351917034513,3406.6132638617446,3304.6248813322854,3193.6423390606315,3075.6301837652677,2952.417037604313,2825.6764810334284,2696.915778640357,2567.471204170676,2438.50875000395,2311.029078760277,2185.8756773472933,2063.745294673318,1945.199873395846,1830.6793154815682,1720.514545116328,1614.9404465721038,1514.1083565449378,1418.097879028236,1326.9278657601185,1240.5664671658797,1158.9402084646251,1081.9420844651227,1009.4386959202213,941.2764715509938,877.287034351846,817.2917798081527,761.1057383317245,708.5407955372698,659.408342790655,613.5214274633988,570.6964681047191,530.7545947544213,493.5226692279877,458.83403468443,426.52903834099254,396.4553659708963,368.4682219079598,342.4303837448124,318.21215678050675,295.691249558093,274.7525885268896,255.28808695056586,237.1963806362998,220.38254085341126,204.75777291106584,190.2391072424556,176.74908846647097,164.21546673791397,152.57089472632805,141.75263275635015,131.7022639763025,122.36542087611065,113.6915240324483
IN,161.105897355818,306.858601411428,403.7442689237221,473.70537240233534,528.8875091904426,576.0703680427532,619.0617745236164,660.0067763288499,700.1097124874859,740.0355309759738,780.1345967155913,820.5697967864777,861.3892709233894,902.5687149110968,944.036557302529,985.6894315576305,1027.4021048005206,1069.0342065663456,1110.4350822126153,1151.447521579844,1191.9107880611614,1231.663187745148,1270.5443121168807,1308.397026970628,1345.0692455425767,1380.4155045137807,1414.29835119417,1446.5895452221225,1477.1710763301335,1505.9359998189025,1532.7890925320482,1557.6473338120657,1580.4402178088026,1601.1099053853425,1619.611225581031,1635.9115380593814,1649.9904691398847,1661.8395348653705,1671.4616650890275,1678.8706427909017,1684.0904727766028,1687.1546936020231,1688.105646042276,1686.993710717889,1683.8765266437406,1680.0503085978212,1677.3380945133079,1677.697941717,1683.0348658860912,1695.1360147090727,1715.6758237500967,1746.257648515345,1788.4719740603596,1843.9602173464664,1914.478657148437,2001.960204513406,2108.5733533311623,2236.7782811814623,2389.3800750725472,2569.578670157356,2781.014458915974,3027.807750720534,3314.5894146020178,3646.5192013691203,4029.2875114844496,4469.095870432058,4972.611228444956,5546.8895517718865,6199.265128482424,6937.2036271546485,7768.119189802075,8699.158574784895,9736.958351389467,10887.38406650124,12155.262803538173,13544.122307513217,15055.950611673974,16690.98974670798,18447.575658565092,20322.034051980823,22308.63876120304,24399.6357332045,26585.332111302705,28854.246522207086,31177.28086603055,33517.54372257998,35835.66085560548,38092.840081031776,40252.75115253305,42282.71850637335,44154.468185822916,45844.55371982348,47334.53359639813,48610.950172003075,49665.14992727557,50492.98021568215,51094.39455546223,51472.99561967423,51635.541889605694,51591.44040529762,51352.24430783648,50931.170106897545,50342.64599805586,49601.89923450804,48724.587619387254,47726.477677942225,46623.170008185996,45429.87068165066,44161.20634087101,42831.07977335404,41452.562183046,40037.81807795505,38598.058596466486,37143.51915860557,35683.457510747554,34226.16849744487,32779.01221237334,31348.452527735433,29940.103358796572,28558.78037313354,27208.556192138276,25892.81744812565,24614.32234950085,23375.2576664333,22177.294279577287,21021.640635008833,19909.093621013944,18840.086528547792,17814.73387932424,16832.87300600645,15894.10235031396,14997.816509451373,14143.238111392451,13329.446637353656,12555.40433720878,11819.979402378063,11121.966572418263,10460.105357496928,9833.096060324002,9239.613778936018,8678.320566828032,8147.875920013197,7646.94575224508,7174.210010342156,6728.369071694556,6308.149055918046,5912.306172491086,5539.630216252951,5188.9473129933795,4859.122008127445,4549.058782692733
D,1601.0,1601.0,1601.5104273300237,1602.240013644657,1603.0552280883403,1603.9000982240564,1604.7554572406282,1605.6185633697671,1606.4931747020116,1607.38491852533,1608.2992851977583,1609.240880640958,1610.213250821352,1611.218942106935,1612.2596396688232,1613.336314847122,1614.4493551668681,1615.5986702463786,1616.7837749800888,1618.0038541201022,1619.2578127344627,1620.5443164444707,1621.8618245118678,1623.2086180451306,1624.5828249234935,1625.9824425159495,1627.4053588855804,1628.8493728923136,1630.3122134147163,1631.791557782355,1633.2850494275563,1634.7903147160866,1636.3049788905855,1637.8266810513114,1639.3530881006407,1640.8819075868832,1642.4108993965472,1643.9378862601054,1645.4607630531289,1646.9775048912536,1648.48617403313,1649.9849256197447,1651.4720122910053,1652.9457877310813,1654.4047092026246,1655.8473391367056,1657.2762495007476,1658.6986647926649,1660.125795440864,1661.571851805988,1663.053185360854,1664.5877142366808,1666.1946497266433,1667.8944824413275,1669.7091716158789,1671.6624854166014,1673.7804513248495,1676.091887398842,1678.6289945909539,1681.427996365044,1684.5298145481906,1687.9807699678402,1691.8332933991917,1696.1466271579377,1700.9874908623956,1706.4306771159456,1712.559534958417,1719.4662919368752,1727.2521607576539,1736.027174980832,1745.909701286074,1757.0255843361288,1769.5068945058022,1783.4902683217606,1799.1148551742494,1816.5199098065434,1835.8420958647373,1857.2125888448943,1880.7540847630803,1906.5778319937353,1934.780806939503,1965.4431493386596,1998.62596072926,2034.369551180062,2072.6921966185014,2113.5386473931285,2156.7726448047215,2202.186555340204,2249.5165596029224,2298.4586032190223,2348.6832308875214,2399.848646064998,2451.6118319379584,2503.637760648369,2555.606791113589,2607.220386802486,2658.2053018401048,2708.316395612662,2757.3382441755903,2805.085720721254,2851.4037165699406,2896.1661685621207,2939.274548847118,2980.655959749107,3020.26096068509,3058.0612370628924,3094.047203654192,3128.2256179116475,3160.617262688303,3191.254743245037,3220.180430554178,3247.4445718398574,3273.1035800418917,3297.2185063708903,3319.8536942019664,3341.07560806247,3360.9518282183203,3379.550199163529,3396.9381189848687,3413.181955938278,3428.346578482841,3442.4949853387157,3455.6880227536576,3467.9841769842806,3479.4394309461336,3490.1071750001115,3500.038162874623,3509.280504738143,3517.8796904099745,3525.8786366110567,3533.3177530007497,3540.2350225140503,3546.6660922048354,3552.644371415533,3558.2011346351533,3563.365626880284,3568.16516984274,3572.62526739875,3576.7697093736597,3580.6206727089216,3584.1988193900747,3587.5233906706753,3590.6122972724606,3593.482205360745,3596.1486181900164,3598.6259533913867,3600.9276159339715,3603.0660668390906,3605.0528877616825,3606.89884157949,3608.61392914909
R,0.0,782.6472361618852,1495.4883647857491,2184.9959854049443,2877.443439198617,3587.986810388189,4325.553361965505,5095.517984249425,5901.184475136647,6744.61136751433,7627.074679975271,8549.328136504297,9511.749906112207,10514.42567337235,11557.196111527996,12639.684685756989,13761.314874511983,14921.322011171269,16118.762719506492,17352.523624313373,18621.330260383118,19923.75665244982,21258.23576772133,22623.070878058574,24016.4477688235,25436.447671460443,26881.06076260792,28348.200055276197,29835.715501981835,31341.408132222557,32863.04405494424,34398.368169009496,35945.11743985539,37501.03361753276,39063.87528935104,40631.42917875841,42201.52062033465,43772.023158434866,45340.867233758196,46906.04793767096,48465.63182830421,50017.76281515264,51560.66713006155,53092.657412084605,54612.13594175128,56123.46518492152,57634.89392074958,59157.2096501007,60702.938203745674,62285.93790389086,63921.269435616814,65625.2551592431,67415.66895819521,69312.01871963759,71335.89852543699,73511.39753690187,75865.55844033719,78428.88109253578,81235.86735231256,84325.60147764768,87742.35722201469,91536.2181137288,95763.69159202484,100488.29103674933,105781.05275760747,111720.94839628722,118395.14783028813,125899.08457790008,134336.2759300482,143817.8544534981,154461.77663319866,166391.68821811373,179735.44362729142,194623.2972506432,211185.8058408944,229551.50139651395,249844.41099691502,272181.51233464555,296670.22011917515,323405.9986931007,352470.1903496779,383928.1377682766,417827.66387954395,454197.9547301613,492972.51271822344,534017.4483583381,577149.2525734467,622147.5872800411,668765.5727151837,716738.6192421033,765792.2117899156,815648.7789472749,866033.6721465578,916680.2522778424,967334.0874335167,1017756.2846375905,1067725.999733959,1117042.1881202173,1165524.6727116068,1213014.6139686892,1259374.4703993017,1304487.5374094776,1348257.148623689,1390605.6177102984,1431472.9911386566,1470815.6738449028,1508604.9810469733,1544825.6608494206,1579474.4241220253,1612558.5106286816,1644094.3136473948,1674106.0794154014,1702624.6926625562,1729686.5552322573,1755332.5612789604,1779607.169706226,1802557.5722929654,1824232.9542694208,1844683.8428713975,1863961.5385485832,1882117.6229636779,1899203.5376336246,1915270.226979849,1930367.8396256338,1944545.481966968,1957851.018316125,1970330.9122482764,1982030.1041490806,1992991.9203482831,2003258.0096175005,2012868.3031993469,2021860.994912295,2030272.5382357314,2038137.657618916,2045489.3715737008,2052359.025402771,2058776.331682485,2064769.416862456,2070364.8725635982,2075587.810353577,2080461.9189547566,2085009.5229963262,2089251.6425607686,2093208.0528967923,2096897.3437777422,2100336.9780778056,2103543.3492193962,2106531.8372152406,2109316.863089075,2111911.941510618,2114329.7315246193
G,294587.0,294587.0,294641.731865959,294728.8720641277,294836.39968624903,294957.76600991463,295089.36414393084,295229.17629222816,295376.0420041347,295529.25948317995,295688.36742477893,295853.0254350567,296022.94860951684,296197.8720400627,296377.5319638575,296561.65623208357,296749.9600402933,296942.14465406566,297137.8978510767,297336.8953469124,297538.8027757488,297743.27796735836,297949.9733586728,298158.538434288,298368.6221239935,298579.87510662916,298791.9519837951,299004.5132971626,299217.2273709669,299429.77196758235,299641.83574934147,299853.1195442076,300063.33741667174,300272.2175484,300479.50293575,300684.9519133554,300888.3385145771,301089.4526807898,301288.10033225094,301484.1033137332,301677.2992282406,301867.5411720123,302054.697383694,302238.6508200666,302426.2566624566,302622.5425149103,302831.40425736946,303056.1269543605,303299.7647846044,303565.41568135034,303856.4226461961,304176.5276450142,304529.9975809578,304921.73607231444,305357.38999487745,305843.4559545271,306387.3888337253,306997.7120549341,307684.1270003965,308457.61696451413,309330.5390244151,310316.69532806944,311431.37365107343,312691.34588934586,314114.8127292019,315721.2833831702,317531.3812670951,319566.56996099313,321848.7986772824,324400.0724364687,327241.9586532499,330395.04811349785,333878.3935633075,337708.9526156568,341901.0629195196,346465.9763617838,351411.4756526332,356741.5914332843,362456.4316773205,368552.1283333244,375020.8995327921,381851.2197970326,389028.0858905159,396442.82117798785,404009.80280578847,411656.2485972928,419317.9937461607,426937.9159517882,434465.43951467617,441856.4096032732,449073.0239882243,456083.69587026373,462862.8096914451,469390.37275549094,475651.58296458813,481636.33865713916,487338.7163076977,492756.43882660085,497890.3530450613,502743.9306026365,507322.80235392385,511634.3328196246,515687.23821752344,519491.2492290379,523056.8178452251,526394.8663253862,529516.5754141486,532433.2084207733,535155.9674939425,537695.8783610027,540063.699886534,542269.8549948042,544324.3797568681,546236.8877367346,548016.5470001939,549672.0674985698,551211.6968366894,552643.2227124362,553973.9805700387,555210.8652386237,556360.3455310657,557428.4809564103,558420.9398535477,559343.0183862088,560199.6599518249,560995.4746515211,561734.7585476112,562421.5125004932,563059.4604306652,563652.0668954273,564202.5539052279,564713.9169329025,565188.9400914232,565630.2104732409,566040.131657732,566420.9364033915,566774.6985488784,567103.3441523223,567408.661901897,567692.3128328964,567955.8393877168,568200.6738555039,568428.1462279361,568639.4915068814,568835.856498571,569018.3061276152,569187.8293026991,569345.3443642182,569491.7041424839,569627.7006534899,569754.0694576072
H,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2279675.545885669,2221223.9995741555,2162772.453262642,2104320.9069511285,2045869.360639615,1987417.8143281015,1928966.268016588,1870514.7217050744,1812063.175393561,1753611.6290820474,1695160.0827705339,1636708.5364590203,1578256.9901475068,1519805.4438359933,1461353.8975244798,1402902.3512129663,1344450.8049014527,1285999.2585899392,1227547.7122784257,1169096.1659669122,1110644.6196553987,1052193.0733438851,993741.5270323716,935289.9807208581,876838.4344093446,818386.888097831,759935.3417863175,701483.795474804,643032.2491632905,584580.702851777,526129.1565402634,467677.6102287499,409226.0639172364,350774.5176057229,292322.97129420936,233871.42498269584,175419.87867118232,116968.3323596688,58516.78604815528,65.23973664175719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
