series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,11685828.894124804,11684182.428702058,11682701.661322588,11681320.741553474,11679995.070220154,11678694.308174884,11677397.688495053,11676090.86988139,11674763.822984504,11673409.409807019,11672022.428517908,11670598.970976079,11669135.990449818,11667631.01067049,11666081.929944215,11664486.88921339,11662844.183151666,11661152.200226173,11659409.382266268,11657614.197174972,11655765.120502023,11653860.622998511,11651899.162215492,11649879.17684316,11647799.082913887,11645657.271279603,11643452.105967436,11641181.923147606,11638845.030535353,11636439.707107686,11633964.203055589,11631416.739919165,11628795.510871284,11626098.681127528,11623324.388468485,11620470.743865969,11617535.832208505,11614517.713123936,11611414.42189868,11608223.970494248,11604944.348662402,11601573.525160698,11598109.449070457,11594550.051219296,11590893.245710336,12387970.663590094,13184668.559338737,13980969.312769478,14776847.383464519,15572269.53602277,16367194.869846707,17161574.634724222,17955351.826214757,18748460.559683185,19540825.22175241,20332359.39499298,21122964.54714838,21912528.470925458,22700923.454851687,22865072.032590732,22850261.106181465,22834395.101478875,22817369.912747797,22799088.154725503,22779455.199423894,22758376.788758315,22735757.643310368,22711500.711007603,22685506.837371137,22657674.723954134,22627901.09379978,22596081.014597647,22562108.34937357,22525876.315747514,22487278.14097187,22446207.802949537,22402560.848378986,22356235.278823383,22307132.494345464,22255158.282734293,22200223.84053164,22142246.810249925,22081152.316531427,22016873.982676238,21949354.908086795,21878548.586837634,21804419.747849405,21726945.098062776,21646113.951572288,21561928.729857914,21474405.32097346,21383573.288715824,21289475.926282298,21192170.15258252,21091726.253058083,20988227.470428422,20881769.45408987,20772459.579827793,20660416.153966054,20545767.51800858,20428651.07118934,20309212.22913291,20187603.337058067,20063982.555673674,19938512.737178963,19811360.30766098,19682694.170758564,19552684.64581534,19421502.45195165,19289317.747619912,19156299.23333379,19022613.323434316,18888423.391020153,18753889.08855925,18619165.745239895,18484403.840826184,18349748.55466402,18215339.38753976,18081309.853320505,17947787.236693714,17814892.41286295,17682739.72473223,17551436.912908766,17421085.09375723,17291778.780733228,17163605.944293883,17036648.105816275,16910980.46113645,16786672.029541746,16663785.824296689,16542379.041048892,16422503.260738526,16304204.663916452,16187524.253656715,16072498.084524397,15959157.495326325,15847529.34362728,15737636.240256071,15629496.782252891,15523125.782920865,15418534.497840215,15315730.845882956,15214719.624429705,15115502.718138404,15018079.300748242,14922446.029521387,14828597.232031193,14736525.085099194,14646219.785765266,14557669.714246742,14470861.58890396
E,0.0,1646.4654227453645,2797.93919686765,3619.270241580639,4221.0863817594545,4677.629815489646,5038.722052624711,5337.7946619457025,5597.2809380239305,5832.236157406129,6052.768370219771,6265.670323431284,6475.514803088576,6685.389573503182,6897.390270396567,7112.950765402252,7333.064424121145,7558.432145241057,7789.561285260765,8026.831655559202,8270.539458398229,8520.926454145112,8778.19925104988,9042.541996505524,9314.12466619788,9593.10842105556,9879.64901457921,10173.898906423792,10476.008519247205,10786.126929359369,11104.402183783473,11430.981370974365,11766.01052888422,12109.63444511258,12461.996384688657,12823.237768366038,13193.497815990366,13572.913164075217,13961.61746321769,14359.740958754235,14767.410056665824,15184.746875902401,15611.868787818252,16048.88794316641,16495.91078700837,16953.037561900335,17698.260968332997,18691.58177565738,19908.920843016098,21338.709848631748,22979.359335175,24837.447351871167,26926.49056447028,29266.182495861947,31882.006700103047,34805.154064726594,38072.69211696567,41727.94990351026,45821.09482738629,50409.88804574827,55138.82090052252,59977.04398184127,65006.80494498533,70287.18141573486,75862.67820139085,81768.52923028229,88033.9429676612,94684.05883054345,101741.09075102722,109224.9538357173,117153.5586735682,125542.88908370421,134406.93678009333,143757.54053536488,153604.16173144593,163953.61882037568,174809.79776606045,186173.3524737047,198041.4075676857,210407.27502209423,223260.1956656073,236585.11619392462,250362.51183850545,264568.2641328797,279173.6022091594,294145.1147100321,309444.8377141016,325030.42207624525,340855.38133988256,356869.4189690236,373018.83117695723,389246.9792082041,405494.82267590606,421701.50357690384,437804.9689959627,453742.6193426856,469451.96828765876,484871.3003980774,499940.31280872773,514600.728066446,528796.8664970939,542476.1679883689,555589.65487285,568092.3295420104,579943.5024328877,591107.0480201718,601551.5883432477,611250.6053387672,620182.4847877126,628330.495989641,635682.7123282413,642231.8786868646,647975.2322168595,652914.2832708943,657054.5634102877,660405.3473065274,662979.3551120744,664792.4415044142,665863.2771397762,666213.0277168816,665865.0352719086,664844.5057259559,663178.2061047513,660894.1742629318,658021.4433844143,654589.7830056256,650629.4578263396,646171.0051378334,641245.0313121766,635882.0274601582,630112.2040776756,623965.3442593329,617470.6748607032,610656.7548338145,603551.3798402222,596181.5021586309,588573.1648455247,580751.449073826,572740.4335625542,564563.1650163772,556241.638514643,547796.7868220767,539248.4776352393,530615.5178277678,521915.6638113749,513165.637186838,504381.14491830237,495576.90332393395,486766.6652352715,477963.24973573565,469178.5739450089
I,4031.4596568925735,3104.50691742973,2484.022028320499,2071.479123786196,1800.3512221516287,1625.6790776507294,1517.0495097765697,1453.8664848441667,1422.1647587497798,1412.4617976212858,1418.3088287214396,1435.3128431074933,1460.4759784594023,1491.748889551991,1527.7284739336874,1567.4530402951377,1610.2633012282986,1655.7078704296719,1703.4788808609133,1753.368013995254,1805.2363804507331,1858.9938165798283,1914.5845948032131,1971.9775130503588,2031.1589823672389,2092.1281737791237,2154.8935847056478,2219.4705880119154,2285.87966441922,2354.145112584662,2424.2940949229906,2496.3559207958046,2570.3614985257686,2646.342908197574,2724.3330613557278,2804.3654235166564,2886.4737822469265,2970.692048350645,3057.0540810911884,3145.593530778216,3236.343693777105,3329.337376248345,3424.6067638397635,3522.1832952321906,3622.0975379473125,3724.3790652125044,3829.056332975049,3951.9099279593806,4102.82455865257,4288.047161386515,4511.732537952426,4776.990075221363,5086.587111618947,5443.420916145015,5850.838963216313,6312.863638631494,6834.360591022836,7421.177971814912,8080.27547758569,8819.856421105138,9649.51225681576,10556.476228875126,11529.168267389707,12563.333308543391,13659.043609449665,14818.877673408415,16046.81844750577,17347.588831501835,18726.250877033337,20187.961968457217,21737.82258865715,23380.77577156484,25121.534080862693,26964.5196747718,28913.809034352267,30973.077676971803,33145.54252907907,35433.90113490024,37840.26786100202,40366.10792058814,43012.17050410861,45778.42263172749,48663.98557450256,51667.07584178889,54784.95280829147,58013.875055473545,61349.06742663591,64784.700641271396,68313.88508277075,71928.68006801333,75620.11953552513,79378.25466246044,83192.21345508857,87050.27687114263,90939.97054564724,94848.17072570602,98761.2225945663,102665.06879949562,106545.38570689912,110387.72470296116,114177.65574559524,117900.91035549747,121543.52130778719,125091.95644399588,128533.24425638196,131855.08918936836,135045.9749412597,138095.2544174802,140993.2253687184,143731.191128851,146301.50623519428,148697.6070563705,150914.02786205092,152946.40303761483,154791.45637128007,156446.978519641,157911.79388988085,159185.7182649358,160269.50854462368,161164.80598523584,161874.07429700828,162400.53390828072,162748.0936321739,162921.28088131777,162925.17147332788,162765.31995874728,162447.69128796042,161978.59451754222,161364.6191424824,160612.5745310429,159729.43283548072,158722.27565583668,157598.24464637457,156364.4961756003,155028.16008132714,153596.30250194724,152075.89271367574,150473.7738606407,148796.63742976505,147051.00129480817,145243.19113303305,143379.32500304122,141465.30086267483,139506.78680083406,137509.2137559423,135477.77049599105,133417.40064003546,131332.80150816476,129228.42459586596,127108.47747890896,124976.92696603971
A,10192.048672427512,9698.83300050747,9465.444939872948,9408.372146334648,9471.768607034373,9618.345220708114,9823.257256318155,10070.00234167644,10347.66786750619,10649.084291371752,10969.586636895394,11306.184290672709,11657.004850281508,12020.921862439485,12397.305902035236,12785.858334964469,13186.500471060383,13599.299790302692,14024.420955025946,14462.093369949107,14912.58977028148,15376.212142595561,15853.282507060589,16344.136910219018,16849.121527287738,17368.59014102003,17902.902510291267,18452.423305946748,19017.52140104991,19598.56937559969,20195.943144194636,20810.021647154186,21441.18656672211,22089.82204382812,22756.31437991492,23441.051714182166,24144.423670344793,24866.820969375436,25608.635006180764,26370.257389067836,27152.079441399223,27954.491665152735,28777.88316628298,29622.641041886036,30489.14972923278,31377.790316784183,32288.939817348248,33262.7969536367,34331.882735876985,35523.69355827606,36862.73731365795,38372.10811414047,40074.7252165661,41994.33587774661,44156.36050934912,46588.64149670478,49322.14392897675,52391.64668322738,55836.45522365996,59701.16257513163,64036.481729769956,68839.72257132681,74103.90404422328,79834.17007575443,86043.88225616382,92752.13369421623,99982.14301937123,107760.19121185769,116114.8902614663,125076.65110498753,134677.26711973987,144949.5599508887,155927.0536202305,167643.65504217191,180133.326950336,193429.74448546913,207565.9303466109,222573.86610065508,238484.07936915447,255325.2083962847,273123.5470778096,291902.57496139663,311682.4780342461,332479.66728699463,354306.30305770144,377169.833980905,401072.5599550935,426011.22885998106,451976.6767715636,478953.52111699886,506919.91557498794,535847.3745676352,565700.6739296544,596437.8328185651,628010.1801972197,660362.507340675,693433.3058636654,727155.0888068001,761454.7904323938,796254.2386330607,831470.6923079637,867017.4347618453,902804.4131664066,938738.9134138796,974726.2592961853,1010670.5248540125,1046475.2489407372,1082044.1415088233,1117281.771816182,1152094.2296268945,1186389.7515020305,1220079.305398893,1253077.1279791452,1285301.2102291957,1316673.7281852537,1347121.4167008356,1376575.8852717252,1404973.8759233519,1432257.4640544138,1458374.2039094307,1483277.2210172354,1506925.2544816071,1529282.6524468707,1550319.3243905883,1570010.6541246444,1588337.3775237317,1605285.4290561033,1620845.7611755056,1635014.1405557068,1647790.925019965,1659180.8248467625,1669192.6519291676,1677839.0600365354,1685136.2791813994,1691103.8468379625,1695764.3384973363,1699143.0997835284,1701267.9820972946,1702169.0835057131,1701878.4963564281,1700430.062869,1697859.139743223,1694202.3726266494,1689497.4811015069,1683783.0546849717,1677098.360186303,1669483.1606293784,1660977.5458292058,1651621.7746053822,1641456.1285234776,1630520.7769761079
IH,0.0,353.4764809706555,587.2943327429698,741.318187978288,842.4450955776651,908.8183117668508,952.6689193711964,982.2332201758841,1003.0472891841735,1018.8215755178675,1032.032188219789,1044.3209314266505,1056.7661495590219,1070.0662389533372,1084.6640717829482,1100.831405572294,1118.7261671795095,1138.4313282481125,1159.9812732304358,1183.3796591500818,1208.6114806459657,1235.6511840268445,1264.4680849591005,1295.029944939078,1327.3052904447425,1361.264874176421,1396.8825521012943,1434.1357642049188,1473.0057481401172,1513.4775746944388,1555.5400663066139,1599.1856407693783,1644.4101090549043,1691.2124470471415,1739.5945546050284,1789.5610109513823,1841.118832293992,1894.2772354317322,1949.047409598788,2005.4422977597346,2063.4763878517897,2123.1655139832683,2184.5266672725425,2247.5778158025887,2312.3377330391313,2378.825833991674,2447.062018369296,2517.066519984754,2590.241009870163,2668.7016388151565,2754.882494188507,2851.317637980015,2960.538589114842,3085.0446089573998,3227.3175963966532,3389.8634470280126,3575.2686232734886,3786.265342554105,4025.8018952022153,4297.1166409570615,4603.815550140899,4949.953996600044,5338.027599849801,5769.24564615194,6244.313023935001,6763.8644135833565,7328.691657780143,7939.849836293399,8598.693559882164,9306.874181038977,10066.315929667964,10879.181292356516,11747.831335140594,12674.783932330012,13662.671276155452,14714.197154227028,15832.094018717205,17019.07966465356,18277.813282343202,19610.85068849065,21020.598634029648,22509.26821057014,24078.827516633522,25730.953889278917,27466.986148678796,29287.877436399103,31194.14934698434,33185.84815177789,35262.50398897396,37423.0939405122,39666.00993118894,41989.032365914834,44389.31036632759,46863.34937836769,49407.00679991348,52015.49612568664,54683.39993037648,57404.69181653086,60172.76724839915,62980.48298432669,65820.20461637704,68683.86153421551,71563.00845787778,74448.89253682017,77332.52489528684,80204.75541977138,83056.34953491771,85878.06569980676,88660.7323760139,91395.32326965705,94073.02972841743,96685.3292769629,99224.04939557778,101681.42578208765,104050.15448132867,106323.43741460203,108495.02098929472,110559.22761214718,112510.9800651039,114345.81882752731,116059.91254067466,117650.06190825743,119113.69740975337,120448.87127059538,121654.24418557425,122729.06732931832,123673.16021143379,124486.88494493246,125171.1174962433,125727.21647481146,126156.99000149753,126462.66116916135,126646.83257737139,126712.45038746984,126662.76830549375,126501.31185983786,126231.84329905325,125858.32739368323,125384.8983852905,124815.82828644397,124155.49669790766,123408.36227398935,122578.93593424592,121671.75588969301,120691.3645244375,119642.28714928149,118529.01262231551,117355.97581275874,116127.5418682089,114847.99223189618,113521.51234533676
IN,573.4762584921883,1059.1107338490524,1338.4992381444124,1486.8284757898955,1553.7531539625004,1571.858676740469,1562.343738864093,1538.833657979832,1509.9369126979166,1480.9568247022582,1455.0354903892203,1433.9163782484297,1418.4509955846254,1408.933973978972,1405.3232951188745,1407.3837850999892,1414.7794917427254,1427.1321382658953,1444.057180314884,1465.1851816477927,1490.1736607654225,1518.712838454548,1550.5275598898013,1585.37688961008,1623.0523587543005,1663.3754974857313,1706.1950550252066,1751.3841570751927,1798.8375500050668,1848.4690157161197,1900.208998991083,1954.0024625404526,2009.8069686338986,2067.590976625173,2127.3323404831435,2189.016988054267,2252.6377631552828,2318.193412036525,2385.687696811791,2455.128619825642,2526.5277444356066,2599.8995992080954,2675.2611539930385,2752.631357714068,2832.0307289691696,2913.480991674392,2997.004749001543,3082.6251897654633,3172.606743706817,3270.2730908230656,3379.327437426415,3503.4967757727395,3646.379530104604,3811.4165934708562,4001.933940105954,4221.22426987652,4472.648111388907,4759.743386747192,5086.3380007368405,5456.663540558879,5875.470346837072,6348.145517502264,6877.434911346252,7464.016524194297,8107.859216372191,8808.946896595791,9567.632731163203,10384.782365729287,11261.800685149707,12200.597460381548,13203.52357405052,14273.295359261267,15412.916224845163,16625.599898300385,17914.696900134782,19283.62441802986,20735.79905795106,22274.57169856576,23903.16367670568,25624.60367265314,27441.66487791266,29356.802275071215,31372.090115262577,33489.159928367895,35709.13963389767,38032.594528451045,40459.47110192863,42989.0447732294,45619.87273162811,48349.75311793779,51175.691776668,54093.87775504315,57099.668617217365,60187.58648473642,63351.32551192417,66583.771264257,69877.03219772366,73222.48314798974,76610.82044126901,80032.12794595808,83475.95310691849,86931.39175357115,90387.18025809365,93831.7934485315,97253.54655893688,100640.69942777736,103981.56113749537,107264.59332068196,110478.51043828031,113612.37545729999,116655.68951315772,119598.47432755187,122431.3463588651,125145.5818805618,127733.17240628807,130186.87010136613,132500.22303288474,134667.60030936956,136684.20734187184,138546.0916181131,140250.13951799594,141794.06481124435,143176.38956596758,144396.4182611058,145454.2059372075,146350.5212404965,147086.8052167658,147665.12669658428,148088.13508404995,148359.0113203303,148481.41774291615,148459.44750418037,148297.5741506184,148000.6018990023,147573.6170793214,147021.94114830968,146351.0856128277,145566.70914040974,144674.57707571652,143680.5235270692,142590.41613710788,141410.12360619308,140145.48599657783,138802.28780963342,137386.23379742354,135902.92744352156,134357.852025922,132756.35415693285,131103.62968074006,129404.71179858022,127664.46128380099
D,12356.0,12356.0,12357.200298389378,12359.19457093545,12361.711861547268,12364.572548313708,12367.658618291702,12370.893591567408,12374.228956197418,12377.63499906163,12381.094606594213,12384.599073340923,12388.145268913942,12391.733724654423,12395.367343444606,12399.050532025643,12402.78861994441,12406.587473019252,12410.45323881493,12414.392181655321,12418.410578282444,12422.514654484681,12426.71054927787,12431.004297483203,12435.401824449742,12439.908948652059,12444.531389249812,12449.274776625494,12454.144664554662,12459.146543101662,12464.285851635786,12469.567991570733,12474.99833857334,12480.582254085779,12486.325096072638,12492.232228949848,12498.30903268298,12504.560911062516,12510.99329917637,12517.61167010769,12524.421540889984,12531.42847775338,12538.638100695809,12546.056087411866,12553.688176610274,12561.540170748729,12569.617938212376,12577.92741495971,12586.474605657084,12595.27027461845,12604.33237196083,12613.687113220045,12623.369318834044,12633.422405507437,12643.89827667465,12654.857263542253,12666.368206574456,12678.508729073497,12691.365732119197,12705.036128286698,12719.627826633767,12735.260980994277,12752.069516015605,12770.19583070833,12789.786430450587,12810.990214206766,12833.958236122386,12858.844239199367,12885.80554916893,12915.004091607549,12946.607399581426,12980.789540255013,13017.731923938083,13057.62397840101,13100.663681347878,13147.057948605287,13197.022877238445,13250.783842887286,13308.575449995265,13370.641332805604,13437.23380433603,13508.613350196869,13585.047964191603,13666.81232318642,13754.186799772902,13847.456312767868,13946.909017566375,14052.834840739568,14165.523865981972,14285.264581480635,14412.342001904657,14547.03568138989,14689.6176370038,14840.350205099878,14999.483855591181,15167.254991376627,15343.883761842138,15529.571920448521,15724.500756847687,15928.829133701207,16142.69165739926,16366.19701020965,16599.42646906741,16842.432633310953,17095.238380266113,17357.836063776485,17630.186966689154,17912.22101404801,18203.836749440805,18504.901572706305,18815.25223314047,19134.69556854087,19463.00947697651,19799.94410513043,20145.223234482062,20498.545844505345,20859.58783047102,21228.00385235542,21603.429290758704,21985.48228559605,22373.76583360982,22767.869921415895,23167.3736717951,23571.84748221976,23980.85513611346,24393.955869027508,24810.7063737305,25230.662730100663,25653.382247641643,26078.425210372083,26505.35651573419,26933.747200997506,27363.17585237732,27793.22989372378,28223.506753152953,28653.61490737489,29083.17480471947,29511.819668965923,29939.196187045778,30364.965084514784,30788.801593381264,31210.39581744283,31629.453000728117,32045.693704973648,32458.8539022973,32868.68498936885,33274.953729434244,33677.4421285333,34075.94725216994,34470.280988558836,34860.26976439087
R,0.0,581.0574550553667,1249.8173556908432,1974.6744127368302,2735.6921704290526,3520.666887062302,4322.49012231716,5137.384873037311,5963.729005752716,6801.273259915285,7650.62407366792,8512.903896309774,9389.530216911608,10282.073779044185,11192.169411688534,12121.461635865262,13071.573085672271,14044.087740935538,15040.543632838515,16062.431475685802,17111.196881766627,18188.244623816463,19294.94395008284,20432.634317647047,21602.631149226778,22806.23137684274,24044.718639226387,25319.368066720323,26631.450629844803,27982.237053872515,29373.001317190447,30805.02375964314,32279.593830935486,33798.01251018984,35361.594427008946,36971.669712625015,38629.58560739539,40336.707848345766,42094.421857858244,43904.133752073576,45767.27118519379,47685.28404367015,49659.64500225702,51691.849952107295,53783.41830947308,55935.89321214586,58150.84160951031,60429.854250981254,62776.472871060025,65196.30726697364,67697.0295551611,70288.32112973563,72981.81840663285,75791.08440115816,78731.62127371202,81820.93186841035,85078.63434525218,88526.63215938187,92189.34112332272,96093.97560590824,100270.89675624215,104754.0267924145,109578.4095168222,114779.43402183978,120392.96938677199,126455.60066782146,133004.90117845839,140079.70522570115,147720.36249356365,155968.96495210583,164869.54246338332,174468.22595275266,184813.37820974874,195955.6927395757,207948.26100278864,220846.60809521427,234708.69657378492,249594.89780967985,265567.9299960791,282692.76178122114,301036.4804529864,320668.12367561867,341658.47397366224,364079.8154696957,388005.6528041341,413510.3926867694,440668.9891367171,469556.55414241354,500247.9361953453,532817.2698965519,567337.50057774,603879.8885919595,642513.4985849359,683304.6796310977,726316.5425840915,771608.4413296237,819235.4648227316,869247.9468312996,921691.0001878454,976604.0820734025,1034020.5964277477,1093967.5390118174,1156465.1899582855,1221526.8578562145,1289158.6785495302,1359359.4709125808,1432120.6509255276,1507426.2044334935,1585252.718060442,1665569.466883478,1748338.5566744695,1833515.1177989412,1921047.5472388119,2010877.7946837046,2102941.688219627,2197169.2948347805,2293485.310758092,2391809.47654211,2492057.0117913913,2594139.0645119464,2697963.1702070637,2803433.716059451,2910452.4058083664,3018918.721242456,3128730.3765739375,3239783.762327617,3351974.375759839,3465197.2352094995,3579347.276168401,3694319.7272350793,3810010.46447949,3926316.3430912467,4043135.505508017,4160367.665520723,4277914.368126571,4395679.225148686,4513568.126861839,4631489.430057557,4749354.123149472,4867075.969061942,4984571.626763161,5101760.752399526,5218566.081062627,5334913.490275635,5450732.046323759,5565954.034575757,5680514.974951868,5794353.623689726,5907411.962545545,6019635.176544549,6130971.621363805
G,838340.0,838340.0,838433.3337861869,838591.941586361,838797.1084791567,839036.3907430834,839301.553251223,839587.1851267657,839889.7706404396,840207.0657473276,840537.679846468,840880.7953356247,841235.9796754875,841603.0595459373,841982.0366640775,842373.031543078,842776.2459785133,843191.9380772362,843620.4056781991,844061.9753810575,844516.995315973,844985.8304040328,845468.8592710827,845966.4722550452,846479.0701326736,847007.0633161949,847550.8713536243,848110.9226222326,848687.6541418268,849281.5114592778,849892.9485721999,850522.4278706029,851170.4200825535,851837.4042146251,852523.8674810185,853230.3052172516,853957.2207756123,854705.1254003943,855474.5380814555,856265.9853849539,857080.0012603124,857917.1268225758,858777.9101093906,859662.9058118758,860572.6749786813,861507.7846925467,862468.8077186984,863472.0754960101,864531.6520123727,865660.2362726334,866869.8715039616,868172.5108313791,869580.4802721842,871106.872067839,872765.8948337231,874573.2017807435,876546.21424903,878704.4548391538,881069.902361166,883667.379482998,886524.9832003735,889650.6576599961,893050.5982368161,896735.6627086297,900720.057808162,905020.5131283882,909655.7555808356,914646.1678279587,920013.5576195172,925780.9919545451,931972.6667669916,938613.7932948967,945730.4888568878,953349.663924987,961498.9000800403,970206.3152437035,979500.4138577109,989409.9206488507,999963.597412074,1011190.0429448648,1023117.4769181422,1035773.5090937545,1049184.8959013964,1063377.2869630842,1078374.9646885248,1094200.5805427395,1110874.891988946,1128416.5044156974,1146841.6225501052,1166163.815924554,1186393.8028933406,1207539.2574846093,1229604.6430247054,1252591.0759960217,1276496.2230011201,1301314.2330263143,1327035.7064520954,1353647.7014735993,1381133.7778007032,1409474.0767327605,1438645.4359738727,1468621.5368941368,1499373.0813693854,1530867.994860547,1563071.6520326962,1595947.1209668056,1629455.4218830129,1663555.7962675525,1698205.9823675265,1733362.4931769164,1768980.8932703834,1805016.0711341375,1841422.5039809442,1878154.5124049594,1915166.502618252,1952413.1944025254,1989849.83329617,2027432.3859095,2065117.7176127178,2102863.752166327,2140629.613158519,2178375.747376006,2216064.0304627474,2253657.8554148567,2291122.204620544,2328423.706282709,2365530.676160826,2402413.145640448,2439042.8771857023,2475393.368255296,2511439.8447686597,2547159.2451986284,2582530.196343188,2617532.9817937515,2652149.5040734652,2686363.2413682844,2720159.199717822,2753523.8614739366,2786445.1307740873,2818912.2767148647,2850915.8748498163,2882447.7475755783,2913500.903912058,2944069.4791265284,2974148.6745983697,3003734.6982711526,3032824.7059919317,3061416.74399417,3089509.6927406276,3117103.2123058443,3144197.6894444195
H,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,11389573.852835812,10588740.120805876,9787906.388775941,8987072.656746006,8186238.924716071,7385405.192686137,6584571.460656202,5783737.728626268,4982903.996596334,4182070.264566399,3381236.5325364647,2580402.8005065303,1779569.0684765957,978735.336446661,177901.6044167264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
