series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,12000551.147735408,11997537.147145245,11994739.476382086,11992076.355556138,11989490.860514438,11986943.232419135,11984405.57853323,11981858.215726193,11979287.144851696,11976682.304807251,11974036.364747329,11971343.888060568,11968600.753345294,11965803.753153114,11962950.315765046,11960038.312165743,11957065.922051404,11954031.540769707,11950933.714662962,11947771.09613913,11944542.41246079,11941246.444086378,11937882.00967461,11934447.955746872,11930943.149614647,11927366.474603375,11923716.82689835,11919993.113542357,11916194.251256555,11912319.165854482,11908366.792087682,11904336.073809054,11900225.964373343,11896035.427217389,11891763.436578993,11887408.97832466,11882971.050864436,11878448.66613772,11873840.85065783,11869146.646605972,11864365.112967175,11859495.326702185,11854536.383950308,12649796.780599512,13444600.461168207,14238932.70345793,15032770.438024864,15826082.600468244,16618830.330392066,17410966.99037286,18202437.994856223,18993180.447384253,19783122.587732125,20572183.05038961,21360269.933722425,22147279.675992507,22933095.73078623,23717587.030658375,24500606.22417168,25281987.668142017,26061545.153898075,26839069.343838993,27611675.05620171,27584090.81446566,27554586.232768014,27522962.394261003,27489038.851231866,27452645.146218926,27413615.748812933,27371787.17792414,27326996.541630004,27279081.014615145,27227877.952198915,27173225.450721532,27114963.23201596,27052933.77071897,26986983.607257884,26916964.80280279,26842736.49932525,26764166.550759725,26681133.19184164,26593526.7106571,26501251.09008703,26404225.582726426,26302386.18390112,26195686.968350172,26084101.258141078,25967622.592486657,25846265.474297218,25720065.873409748,25589081.47230152,25453391.646481957,25313097.178394668,25168319.710269235,25019200.947665304,24865901.631199714,24708600.298931636,24547491.865941573,24382786.050675593,24214705.679591797,24043484.90255221,23869367.35130902,23692604.27243732,23513452.664294433,23332173.44518389,23149029.677023172,22964284.865610868,22778201.355204634,22591038.831685625,22403052.94521035,22214494.06002871,22025606.1361495,21836625.74481341,21647781.217322797,21459291.92469425,21271367.68384863,21084208.284626104,20898003.13079511,20712930.987391405,20529159.826150272,20346846.760451987,20166138.061058033,19987169.243943267,19810065.221698426,19634940.51026113,19461899.483106893,19291036.665472455,19122437.06167205,18956176.50908608,18792322.052936364,18630932.336500555,18472058.001950387,18315742.097516235,18162020.48717781,18010922.25955301,17862470.133100692,17716680.85516652,17573565.592782505,17433130.313480414,17295376.154696945,17160299.78063514,17027893.725703396,16898146.723881688,16771044.023566231,16646567.687620262,16524696.878512023,16405408.128553055,16288675.595362425,16174471.30277748,16062765.367510695,15953526.21191687
E,0.0,3014.000590161959,5150.459752119514,6683.672458363362,7802.903099677982,8638.72992015778,9281.218801286555,9792.467360461067,10215.266252446916,10579.080672172258,10904.18148166031,11204.498286035325,11489.589603259741,11766.003049866691,12038.214096528875,12309.273681306022,12581.254715764477,12855.559704548976,13133.132476134077,13414.603736201674,13700.390971574292,13990.766884935103,14285.906153160084,14585.91726983495,14890.864137118153,15200.780624350862,15515.680310767697,15835.562939091178,16160.418630120515,16490.230579568488,16824.97673167031,17164.630767899584,17509.16264164397,17858.538815825534,18212.722309768877,18571.672626918637,18935.345611310575,19303.693264571237,19676.663544289728,20054.200157236188,20436.242355969116,20822.724744102183,21213.5770933574,21608.72417415031,22373.899948974504,23442.649702770403,24771.444804561692,26334.300893581523,28118.730054673993,30122.760999605263,32352.803032379816,34822.170287071436,37550.11980927262,40561.28931835199,43885.44763360974,47557.49299305252,51617.65233304452,56111.848634208654,61092.21428341763,66617.73660874508,72755.0277824565,79579.21552465565,87174.95374167018,95634.74973729909,104158.9752231194,112932.41250209947,122080.83719126756,131692.44199538018,141831.14484674932,152544.79203897773,163870.1441761769,175835.83071209394,188464.01973475548,201771.27507505036,215768.90129706234,230462.97016523738,245854.15562947682,261937.46304575616,278701.9126938318,296130.2216221355,314198.5176129308,332876.11218612315,352125.35450711125,371901.58386920625,392153.19450297207,412821.8225020326,433842.66050830245,455144.90145985235,476652.30825406814,498283.901761069,519954.75541628455,541576.880816996,563060.1855265233,584313.4818055,605245.5233553575,625766.0464379027,645786.7919360407,665222.4860008962,683991.7587992846,702017.983404095,719230.0199034163,735562.8531726275,750958.1162855213,765364.4950728624,778738.0127242423,791042.1964501918,802248.1309825087,812334.4060269257,821286.9666571068,829098.8770418157,835770.0088394216,841306.666105003,845721.1586778129,849031.3358022876,851260.0912404857,852434.8504155277,852587.0492405127,851751.6132880803,849966.4448896603,847271.9246617812,843710.4328742954,839325.8950301111,834163.3550397245,828268.5784623959,821687.6874598125,814466.8283736117,806651.8721974548,798288.1476666115,789420.2062299588,780091.6177958557,770344.7958481394,760220.8503043494,749759.4663276017,738998.8071985904,727975.4392973937,716724.277228819,705278.5471431096,693669.7663496501,681927.7373891429,670080.5548144894,658154.6230278127,646174.6836268149,634163.8508246654,622143.653621051,610134.0835156016,598153.6466667409,586219.4195076331,574347.1069351481,562551.1022868061,550844.5484138945,539239.3992459956
I,6151.4911341374955,5111.618265595817,4369.1113085706065,3838.3032335361513,3459.0732813062036,3189.0984743957288,2998.4776709020084,2865.997501299511,2776.5355420555643,2719.2518550256204,2686.3275238428414,2672.083078511484,2672.361035142288,2684.0922882324962,2704.9906702028566,2733.3370122328342,2767.8258323591513,2807.4559516228414,2851.452009953347,2899.2077903195063,2950.244995064514,3004.183020874874,3060.716603694992,3119.5991288174173,3180.6300467963133,3243.645287618673,3308.509882581675,3375.1122264083306,3443.3595696494435,3513.174443080191,3584.491795318684,3657.2566818246482,3731.422384442846,3806.9488703947186,3883.8015213536446,3961.950079253058,4041.36776738361,4122.030554273809,4203.916534625199,4287.005406763293,4371.278030080942,4456.716049088634,4543.3015731615005,4631.016903043308,4719.844296749296,4824.522334186911,4954.617413089636,5116.322889626984,5313.736988328887,5549.761403983433,5826.727797499583,6146.832220994115,6512.436575218908,6926.2803046281515,7391.633626579518,7912.414790507294,8493.287447313165,9139.749597773687,9858.222323096872,10656.144224589521,11542.075939062146,12525.81804360385,13618.544959305258,14832.956987443813,16183.339166323327,17649.305571085762,19221.37031923984,20896.72471600023,22676.59246046626,24564.56877475323,26565.57119920539,28685.168877355638,30929.144404255898,33303.197099086006,35812.73101261455,38462.69268728004,41257.43741061978,44200.6114212311,47295.0431041569,50542.6398124798,53944.28929656828,57499.76625777637,61207.64554189569,65065.22411353296,69068.45430344435,73211.89095435006,77488.65504182373,81890.416138924,86407.39574539692,91028.39303370813,95740.83399659833,100530.8443395653,105383.34577533806,110282.17467715668,115210.22136557996,120149.58767082929,125081.75985782548,129987.79354813255,134848.50694022217,139644.67842831046,144357.2446548638,148967.4951000886,153457.25950428302,157809.08472141207,162006.39799610694,166033.654120201,169876.4644363055,173521.70619224745,176957.6112900883,180173.83399770217,183161.49768311856,185913.221078866,188423.12497563296,190686.82057530526,192701.38099961547,194465.2976518428,195978.4232672135,197241.90356679918,198258.09945516434,199030.50168016163,199563.6398110759,199862.98729596828,199934.8642376749,199786.33938725307,199425.13270001794,198859.51963831455,198098.23824176323,197150.39982408416,196025.40399920603,194732.8585909221,193282.50484194455,191684.1482112857,189947.59493438457,188082.59441876417,186098.7874593183,184005.6601813398,181812.50355561968,179528.37827767283,177162.08476155953,174722.13796695013,172216.74675505803,169653.79745385546,167040.8413046148,164385.0854593382,161693.38720115385,158972.25106642864,156227.82855740417,153465.9201468982,150691.979291405,147911.11818521182,145128.11500544133
A,27302.88867954501,25984.913770409225,25270.190615277268,24972.482841428424,24963.654220304696,25155.640067139226,25488.005660424686,25919.35910021736,26421.42459729583,26974.95258762132,27566.89821009412,28188.4756273779,28833.817087129966,29499.04945487712,30181.658853985307,30880.05405179166,31593.266871509673,32320.74700890775,33062.22183021888,33817.600846443784,34586.91085894239,35370.25212261129,36167.7688777959,36979.62967636026,37806.014358583285,38647.10552454194,39503.08302378052,40374.12045532228,41260.38299209244,42162.026064946076,43079.194593065724,44012.02255115428,44960.63273454137,45925.13663135742,46905.6343434221,47902.2145193429,48914.95427790174,49943.919109442235,50989.16274925269,52050.727020961465,53128.6416504696,54222.92405244971,55333.57909228582,56460.59882675,57603.9622268648,58829.13069115931,60186.50751633082,61716.26949878117,63452.00173744057,65423.432249091355,67658.50106732499,70184.94702319874,73031.5537061551,76229.16305650637,79811.53936575029,83816.14688557369,88284.88959882481,93264.85095924267,98809.06369221854,104977.33434835446,111837.14363116474,119464.64110811458,127945.75137717216,137377.40778190145,147868.42707426922,159379.206833177,171905.13996741877,185464.36078627975,200089.91833233178,215824.71022998216,232718.1297872357,250823.76763962445,270197.75332515896,290897.4758754589,312980.51962463785,336503.7131566559,361522.2289009406,388088.6966482022,416252.3113782942,446057.9274919914,477545.1398034967,510747.35768361646,545690.8832545817,582394.0079260834,620866.1440360459,661107.0100126872,703105.8883381329,746840.9756734704,792278.8438039091,839374.0285985109,888068.7619944874,938292.85918398,989963.7698047836,1042986.7981462909,1097255.4933299378,1152652.206274415,1209048.8061780515,1266307.5454057832,1324282.0582021265,1382818.475687481,1441756.6372267874,1500931.3765486798,1560173.8599680476,1619312.953721541,1678176.5977311719,1736593.164008534,1794392.7793250112,1851408.5936123286,1907477.9777262835,1962443.6366059664,2016154.6263956104,2068467.2666773759,2119245.941511457,2168363.7854269124,2215703.2527970895,2261156.571124736,2304626.080623566,2346024.464096373,2385274.87246633,2422310.9524182794,2457076.783458432,2489526.732317583,2519625.2330227206,2547346.501165795,2572674.1909292727,2595601.003309574,2616128.253735208,2634265.4069291856,2650029.586436791,2663445.06574993,2674542.747426227,2683359.6360408436,2689938.310235735,2694326.3985566786,2696576.0632029832,2696743.4952664776,2694888.424511687,2691073.646252977,2685364.5674204705,2677828.7734771087,2668535.6174557083,2657555.832027727,2644961.165194509,2630824.0399061935,2615217.237661966,2598213.605926346,2579885.7890077527,2560305.981885742,2539545.706339799,2517675.6086232616,2494765.2778386
IH,0.0,324.00082095434396,444.7780577610301,471.1085981325279,457.4169946024174,430.0245633901347,400.9633548743346,375.17758058633916,354.2287610122153,338.16644478624653,326.4465352859286,318.3624096571044,313.2320715885769,310.4670311833108,309.5867866781757,310.21058318065934,312.04157387234454,314.8501633712559,318.4592216808381,322.73193914395574,327.56226097373633,332.86753330197945,338.5829267563099,344.6572376366518,351.04973387845416,357.727783349169,364.6650639416414,371.84020517276684,379.2357499688529,386.83735473162335,394.6331675960419,402.61334080027007,410.7696447605849,419.0951599282152,427.5840286682163,436.2312538844095,445.032534387297,453.98412940230037,463.08274638703216,472.32544764298626,481.7095721937884,491.23267014828303,500.89244733626344,510.68671844360995,520.6133672152154,530.6703125624734,541.6327122013878,554.4244210873751,569.8722010979319,588.6398566923424,611.239878421901,638.0727492460735,669.4711224747799,705.7396357726413,747.187632918236,794.1549634834093,847.0321374924656,906.2763739392105,972.4249810098875,1046.1072791171773,1128.0560351117708,1219.1191623359387,1320.2722699355725,1432.6325149801742,1557.474115502312,1696.239855660591,1848.637721141799,2014.0098708081227,2191.851943446515,2381.9551225153737,2584.3956300269992,2799.4737722832615,3027.6455873475834,3269.4627332265263,3525.5242898272463,3796.4394789549124,4082.798920323817,4385.152013238899,4703.988477465569,5039.722621074672,5392.679382130233,5763.081574153506,6151.038053714308,6556.5327373599785,6979.414541219836,7419.388414276502,7876.007696236416,8348.668060831493,8836.603310632294,9338.883273975986,9854.414021546929,10381.940572338717,10920.052199045933,11467.190374448735,12021.659326364701,12581.639092728476,13145.200893849335,13710.324569301783,14274.917765340386,14836.836507845192,15393.906757638782,15943.946520905887,16484.78807797633,17014.299898743477,17530.407831637403,18031.115183918824,18514.521352207517,18978.838711388198,19422.407524958013,19843.70869807333,20241.374253696253,20614.195470211456,20961.12867383796,21281.298729586368,21574.000319253653,21838.69713320882,22075.01913405051,22282.758074470974,22461.861468970506,22612.42522978551,22734.68518205014,22829.007672458654,22895.87948026562,22935.897230125018,22949.75649380225,22938.240752945465,22902.210378578133,22842.591765415084,22760.366741076723,22656.562352271136,22532.241112439933,22388.49177855165,22226.42070893263,22047.143839436652,21851.779301997223,21641.44069775228,21417.231026506102,21180.237265285432,20931.525581112925,20672.137156794615,20403.08460341428,20125.34892924963,19839.87703186884,19547.57967812322,19249.32993551434,18945.96201787593,18638.270508370995,18327.009923366495,18012.894581723445,17696.59874534789,17378.756998414097
IN,715.8720475873342,1295.9192113214729,1644.8981191710218,1841.2557360303244,1938.5856194835092,1973.3163579785405,1970.0395343640466,1945.2011774732516,1909.6582748978626,1870.4480273299228,1832.0109588180608,1797.0351608352908,1767.0377627650937,1742.7642218154954,1724.4613937210186,1712.063247544346,1705.3162145163813,1703.8629125267898,1707.2972558684942,1715.1999753290834,1727.160803351534,1742.7916525753262,1761.7337765673035,1783.6609703772951,1808.2802215739648,1835.3307733001218,1864.5822495590194,1895.8322775768327,1928.9038935434621,1963.642916005067,1999.915401505582,2037.605249872141,2076.6119949181234,2116.848795487993,2158.2406283352507,2200.722675969646,2244.238897703466,2288.7407695369525,2334.186177464656,2380.5384487157216,2427.7655059893227,2475.8391306579597,2524.7343220150797,2574.4287408258265,2624.902226627076,2676.136379369049,2729.8314738157633,2788.478463219504,2854.816427680107,2931.541677867761,3021.1766251705503,3126.0364392316696,3248.2525873409927,3389.826989345455,3552.7005333079824,3738.826423308726,3950.2432566027055,4189.145566835594,4457.951334109861,4759.367012039145,5096.45120729187,5472.678439843272,5892.004526793869,6358.935143566936,6878.599069772372,7456.814387269767,8095.922906711878,8796.718211252643,9559.516456439913,10384.716218978423,11273.058841687827,12225.717282421732,13244.290051753831,14330.745311538116,15487.341048565819,16716.535723585745,18020.896992728955,19403.012182944713,20865.402045108967,22410.43820905414,24040.264292884844,25756.72050944888,27561.271702788013,29454.938936479328,31438.234981823916,33511.10427782748,35672.86813194243,37922.17608448981,40256.964460221476,42674.42317146976,45170.971816012665,47742.24602945892,50383.09490981322,53087.59013683607,55849.047169282116,58660.05862964016,61512.53969079047,64397.78497522817,67306.5361786585,70229.05934889849,73155.23050002856,76074.62803078587,78976.63025320302,81850.51622784071,84685.56804831485,87471.17272018154,90196.9218351451,92852.70734636212,95428.81189795064,97915.99234402394,100305.55530121854,102589.42380502968,104760.19437568929,106811.18403570354,108736.46705118958,110530.90138650597,112190.14506120207,113710.66277606881,115089.72332831412,116325.38846301516,117416.49390846406,118362.6234171893,119164.07668343157,119821.83203342743,120337.50478920499,120713.30219224235,120951.97574297173,121056.77176849138,121031.38097669193,120879.88769292334,120606.7194077518,120216.59719349339,119714.48747502251,119105.5555685368,118395.12133193985,117588.61720344983,116691.54884186588,115709.4585233138,114647.89139571812,113512.36464399853,112308.33957619204,111041.1966033443,109716.21305397566,108338.54373699232,106913.20414480095,105445.05617076055,103938.79620160091,102398.94543566635,100829.8422714071,99235.63660704822,97620.28589142996
D,12356.0,12356.0,12360.055441509116,12365.622623075124,12371.519377776363,12377.244757920222,12382.627273492792,12387.646036803953,12392.342045687876,12396.775843160674,12401.008592426979,12405.094646362912,12409.079513213752,12413.000164838539,12416.886207107704,12420.761231564959,12424.644063935237,12428.549814382179,12432.490719278429,12436.476797902431,12440.516357118568,12444.61637632858,12448.782800375327,12453.020762647771,12457.334755630296,12461.72876197368,12466.206355880033,12470.770782083884,12475.425017830492,12480.171821859058,12485.01377337336,12489.953303230195,12494.992719024254,12500.13422534248,12505.379940161461,12510.731908139162,12516.192111386072,12521.762478175715,12527.444889959226,12533.241186975763,12539.153172694014,12545.182617275848,12551.331260218436,12557.600812303357,12563.992956959133,12570.509351125625,12577.151625694198,12583.931114021687,12590.870713138513,12598.003668457628,12605.371534075126,12613.022278809902,12621.008884231167,12629.388495650799,12638.22207145814,12647.574442025318,12657.514691541028,12668.116792115417,12679.460438760443,12691.632051847328,12704.725928801789,12718.845538918598,12734.104964622933,12750.630499808494,12768.56242155933,12788.0569560447,12809.288388421326,12832.427348771964,12857.636233137711,12885.071124589862,12914.885492492536,12947.23376026272,12982.274110180228,13020.170432645264,13061.093523030593,13105.221675250239,13152.74080870321,13203.844235435545,13258.732144194208,13317.610853432438,13380.691867399433,13448.190757517148,13520.325884111593,13597.316970040669,13679.383536849513,13766.743215002247,13859.609941879316,13958.192064120105,14062.690364155278,14173.29603410382,14290.188623346397,14413.533988809626,14543.482279120206,14680.165985165408,14823.69809011656,14974.17035156637,15131.65174707358,15296.18711211854,15467.795996312196,15646.471759769416,15832.180926988985,16024.86281053641,16224.429411477597,16430.76559804495,16643.72955861356,16863.15351989475,17088.844716469917,17320.58659351826,17558.140220938953,17801.245894102623,18049.624894229662,18302.98137989599,18561.00438039547,18823.36986160451,19089.742835542223,19359.77948592688,19633.129283616174,19909.437067797317,20188.34507107531,20469.49486910659,20752.52923805834,21037.093905865062,21322.839185936034,21609.42148458113,21896.504675919656,22183.7613403779,22470.87386503631,22757.53540603558,23043.450714979554,23328.336832775778,23611.9236556321,23893.95437898537,24174.185825985445,24452.388667807223,24728.347543530283,25001.86108762669,25272.741873250106,25540.8162795414,25805.924291075342,26067.91923738672,26326.66748024881,26582.0480560479,26833.952280218462,27082.283320287468,27326.955743634786,27567.895045619334,27805.037163256937,28038.32797917261,28267.722820093953,28493.18595370852,28714.690087280367
R,0.0,1453.7997929889807,3098.4299201817194,4828.598549973276,6593.386489088663,8370.113036560077,10150.488768102294,11933.335113642264,13720.799271584892,15516.419359330472,17324.161547220872,19147.962327330417,20991.52917828411,22858.2702327503,24751.285823407543,26673.387623313927,28627.128273315502,30614.83327160898,32638.631420579954,34700.48237220527,36802.20088886086,38945.47791967032,41131.89878371453,43362.958804128095,45640.07672844763,47964.606238165085,50337.84581181547,52761.04716866279,55235.4224869159,57762.15056200422,60342.38204646583,62977.24389284259,65667.84310400275,68415.26988095141,71220.60024597416,74084.89820850988,77009.21753216774,79994.60315355375,83042.09229686653,86152.71532240743,89327.49634210451,92567.45363076811,95873.59985799278,99246.94216232108,102688.48208642584,106199.21538959368,109783.29338881181,113447.96855147881,117203.3171262881,121061.92475283258,125038.61953097014,129150.28527993412,133415.76258659342,137855.834154222,142493.28709871278,147353.04453497648,152462.36011506183,157851.07112429503,163551.90782316838,169600.8587214244,176037.59330684462,182905.9454130187,190254.4619159909,198137.02282653982,206613.5401186393,215750.71959086007,225615.10223113248,236273.3208097824,247792.74087169676,260242.15852326094,273692.4232003714,288216.94329801295,303892.07054483274,320797.3727086642,339015.8071455022,358633.80635126587,379741.2840365217,402431.5676076008,426801.26078889985,452950.0385873065,480980.37586014805,510997.2103314609,543107.5409259645,577419.9626780681,614044.1401537233,653090.2222308504,694668.2021578026,738887.2279888543,785854.8697215988,835676.3506746127,888453.7517874032,944285.198544094,1003264.041067909,1065478.038562567,1131008.5596552563,1199929.8103004023,1272308.1007219306,1348201.1624041647,1427657.525399659,1510715.9652289997,1597405.0274352639,1687742.6364645537,1781735.7940193706,1879380.370422321,1980660.990883218,2085551.0169311028,2194012.6216986817,2305996.9562697946,2421444.402954247,2540284.9101651646,2662438.402561192,2787815.259291317,2916316.852548964,3047836.138203003,3182258.290019772,3319461.368910821,3459317.0187209337,3601691.1802925,3746444.81588628,3893434.636484796,4042513.8250328344,4193532.7492599892,4346339.65836418,4500781.358495197,4656703.862648042,4813953.011243243,4972375.060323733,5131817.234925325,5292128.245772415,5453158.768006156,5614761.881164508,5776793.470099302,5939112.586933303,6101581.7745295735,6264067.352267025,6426439.66519104,6588573.2978386395,6750347.254226253,6911645.105637704,7072355.107963523,7232370.290423621,7391588.517556762,7549912.526385657,7707249.94066898,7863513.264134264,8018619.854551402,8172491.880458122,8325056.262288778,8476244.599588482,8625993.08591803,8774242.412973167
G,838340.0,838340.0,838461.5816083045,838669.3457282633,838938.9580334236,839253.7189234511,839602.196186803,839976.5907747038,840371.6085908383,840783.6816688214,841210.4306371872,841650.2938296867,842102.2714856658,842565.7494250141,843040.3775915737,843525.9864649585,844022.5295964092,844530.0441562351,845048.6238903052,845578.4006175348,846119.5315988419,846672.1909361231,847236.5637318139,847812.8421346309,848401.2226698076,849001.9044403235,849615.0879154112,850240.9741120758,850879.7640369437,851531.658298125,852196.8568258625,852875.5586606927,853567.9617814901,854274.2629550813,854994.6575954418,855729.3396247859,856478.5013317396,857242.3332237236,858021.0238719549,858814.7597483145,859623.725053874,860448.1015392167,861288.0683169052,862143.8016665668,863015.4748331469,863918.0143843066,864863.6661745168,865862.9201591361,866925.2181117863,868059.4980567491,869274.6184986156,870579.6964865477,871984.3861478483,873499.1184187507,875135.3180951294,876905.6108156659,878824.0299771941,880906.231688779,883169.7245441397,885634.1201025561,888321.4094099746,891256.270577189,894466.4122880691,897982.9580758758,901840.7631210408,906042.4264413165,910598.0009778736,915522.6133277583,920834.9476888083,926556.266640908,932709.7628330153,939320.111798128,946413.1439512442,954015.5839446773,962154.8245982272,970858.7147458986,980155.3481502772,990072.8457603771,1000639.1270465351,1011881.6685687414,1023827.2497109288,1036501.6868769181,1049929.558529576,1064133.9243367699,1079136.0424005126,1094955.0891004496,1111607.886477734,1129108.6423129735,1147468.7081044994,1166696.3600262452,1186796.6076393637,1207771.03465687,1229617.6754323165,1252330.9300852802,1275901.520318006,1300316.48705319,1325559.2300694298,1351609.5888655286,1378443.9630830681,1406035.46999029,1434354.135805929,1463367.1170396253,1493038.9475593904,1523331.8067729275,1554205.8041284163,1585619.2750958384,1617529.0838712747,1649890.9282393518,1682659.6423159833,1715789.493256162,1749234.4684307564,1782948.5500334688,1816885.9745569415,1851001.4750597628,1885250.5046202359,1919589.439826905,1953975.763580988,1988368.2268753164,2022726.9895635257,2057013.7404393675,2091191.7972081199,2125226.1871504956,2159083.709455716,2192732.9803368933,2226144.462141583,2259290.47773675,2292145.2114841607,2324684.6981331375,2356886.800946426,2388731.180345281,2420199.2543151556,2451274.151756754,2481940.659901543,2512185.166838656,2541995.6001237626,2571361.3623617785,2600273.264575992,2628723.458097585,2656705.3656327953,2684213.6120909518,2711243.9556860486,2737793.219757841,2763859.225696069,2789440.7272934793,2814537.3467999822,2839149.5129015218,2863278.4008029746,2886925.874554539,2910094.4317254075,2932787.1504968433,2955007.6392188827
H,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,16003537.750360524,15203228.371019851,14402918.991679177,13602609.612338502,12802300.232997827,12001990.853657153,11201681.474316478,10401372.094975803,9601062.715635128,8800753.336294454,8000443.95695378,7200134.577613106,6399825.198272432,5599515.818931758,4799206.439591085,3998897.060250411,3198587.680909737,2398278.301569063,1597968.9222283894,797659.5428877156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
