series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,301372.836237417,300822.55524012394,300345.473663844,299918.15609027573,299525.60255101987,299158.0969295658,298809.2778266995,298474.9351650771,298152.24958929163,297839.30715442885,297534.78741993266,297237.7617992645,296947.5625013966,296663.696914601,296385.79137527174,296113.55401557364,295846.7500471546,295585.18518417527,295328.6944174903,295077.1343251629,294830.37773431937,294588.3099579604,294350.8260960985,294117.8290638641,293889.22812249674,293664.93776340695,293444.87684434344,293228.9679089635,293017.1366425062,292809.3114305491,292605.4229974245,292405.4041073728,292209.18931596365,292016.714762403,291827.9179955168,291642.73782775784,291461.1142127175,291282.98814247036,291108.3015617221,290936.99729623314,290769.018993385,290604.3110730807,290442.8186874294,421548.74735278636,552570.7307564688,683510.455141413,814366.7290387384,945133.6264695949,1075799.6839343507,1206347.3998119237,1336752.6007249898,1466983.4203115965,1596998.7324029526,1726745.9163762107,1856157.8277665544,1985148.8194923121,2113609.6226314628,2241400.8637184063,2368344.9830753035,2494216.3464580947,2618729.4399044807,2741525.2449137787,2857077.6030926052,2843755.427853055,2827911.6967994114,2809097.3282373687,2786950.4855711083,2761182.2516741096,2731585.851053631,2698050.815970854,2660573.5611415757,2619260.563731708,2574323.2174945325,2526065.345253842,2474865.460438765,2421156.2427587225,2365403.5132337166,2308086.4968851516,2249680.561742399,2190643.065088439,2131402.493477086,2072350.769749631,2013838.4056266476,1956172.0777922035,1899614.1724747785,1844383.8555046222,1790659.2637973032,1738580.4671304543,1688252.906967788,1639751.0761189382,1593122.2557065603,1548390.172388403,1505558.4783167285,1464613.9889051542,1425529.6395549579,1388267.1427568353,1352779.3422264843,1319012.271767392,1286906.9341563678,1256400.8202188127,1227429.1910151572,1199926.1472181722,1173825.5097538636,1149061.5349546394,1125569.4861075368,1103286.0815849807,1082149.8378808645,1062101.3239578987,1043083.3414260722,1025041.0432727402,1007922.0021876441,991676.2379909534,976256.2122876798,961616.7972380051,947715.2242451049,934511.0174113376,921965.9157894958,910043.7877464702,898710.5401501609,887934.0245750799,877683.9422866763,867931.7493986731,858650.5632922064,849815.0711318415,841401.4411040804,833387.2368321304,825751.3352806912,818473.8483513002,811536.0482780203,804920.2968612417,798609.9785209205,792589.4371069968,786843.9163717341,781359.503984382,776123.0789512597,771122.2622927437,766345.3708215834,761781.3738635349,757419.852760708,753250.9629996445,749265.3988094404,745454.3600797831,741809.5214542353,738323.0034601887,734987.3455434012,731795.4808817445,728740.7128595896,725816.6930910214,723017.4008867351,720337.1240659476,717770.4410209195
E,0.0,550.2809972930892,892.2163720300028,1100.410162971701,1222.708588210301,1289.9232272325473,1321.943775723604,1331.6237998546744,1327.2693736776287,1314.241231400165,1295.990033938513,1274.7271234997863,1251.8599524321746,1228.2751306777236,1204.5225731847386,1180.9353428287775,1157.7076244617203,1134.9454096152544,1112.699382148259,1090.9861910143536,1069.8021472061644,1049.1319818431714,1028.9543889920649,1009.2454802302179,989.9808879001409,971.1369987457347,952.6916324677251,934.6243702264451,916.9166663631455,899.5518295995621,882.5149291954424,865.792661415978,849.373198526345,833.2460339866493,817.4018319895604,801.8322859275265,786.5299881146934,771.488311671902,756.7013046164315,742.163595687579,727.8703111574025,713.8170017395113,699.9995786631105,686.4142579890172,760.1106843392948,897.9666636322459,1085.4164063375165,1316.2059163861422,1591.1546679737853,1916.9189980708502,2305.1922375368476,2772.488879541928,3340.5273489453416,4037.18659047638,4898.022464442301,5968.361110368714,7306.0186398353435,8984.716366380566,11098.256237819029,13765.477489038514,17135.912764228582,21395.87479251366,26774.407621770522,33520.92514017962,41132.08823819838,49844.6260732659,59749.88323271756,70843.85107062213,83041.36381023048,96181.8642005264,110037.34457643882,124325.73234043026,138729.31389643566,152915.97541386966,166560.47791683025,179363.2931799544,191065.3142691534,201457.66558816851,210386.62731206726,217754.24316595495,223515.48516475744,227672.94767901,230269.9990358156,231383.19155921647,231114.567169165,229584.32720963605,226924.18110331614,223271.55824952043,218764.7644031408,213539.08678635236,207723.79845772628,201439.9781380133,194799.04273822653,187901.88248390978,180838.4894890015,173687.97717461054,166518.89788481046,159389.77777041553,152349.80028528883,145439.58162971173,138691.99263765567,132132.99162186595,125782.4414128639,119654.89122507206,113760.31010555383,108104.76366895808,102691.02972449653,97519.15139681351,92586.9285720824,87890.35009582598,83423.97023022707,79181.23355242629,75154.75283308435,71336.54455347618,67718.2266632939,64291.18300177861,61046.69854279919,57976.0693120194,55070.69048572167,52322.1258343196,49722.16133217515,47262.845428107445,44936.518163868204,42735.8310443907,40653.75930551656,38683.6079925697,36819.01305604535,35053.93848764551,33382.67035934665,31799.80848832809,30300.25632951421,28879.209593277807,27532.143996655417,26254.802480478815,25043.182160492437,23893.521226305922,22802.285956568434,21766.15798083288,20782.021887126255,19846.953248307596,18958.20711904657,18113.20703797078,17309.5345555823,16544.91929739494,15817.229562931041,15124.463454345117,14464.74052317583,13836.293919782765,13237.463027160025,12666.686558832454,12122.496099263048
I,3901.2857791751308,3274.3362980147494,2830.3756644422174,2508.8610376544448,2270.1281106199476,2088.0370745532937,1945.2534689350978,1830.2009268652528,1735.0843255775426,1654.6025342329913,1585.1074588662082,1524.0529455908932,1469.6324868883055,1420.5402217650915,1375.8126436173793,1334.723265823912,1296.7121246888369,1261.3382642202837,1228.2474312686163,1197.1498767135515,1167.804903153657,1140.0099427543933,1113.5926991625686,1088.405380580335,1064.3203758657646,1041.2269398163332,1019.0285954973742,997.6410554307087,976.9905259477689,957.0123007348029,937.6495775903935,918.8524513097825,900.5770484604085,882.7847786350603,865.4416828964838,848.5178644434427,831.986989619444,815.8258496417736,800.0139751105837,784.5332966400242,769.367845953302,754.5034925806417,739.9277119477359,725.6293811798174,711.5985993990718,710.8360733174118,730.7977881920605,775.5647631491231,847.6275641026386,949.19898003034,1083.130944711102,1253.564570792997,1466.443466585934,1730.0017636065384,2055.316672516102,2456.9988572054294,2954.0847033890577,3571.1916375159253,4339.998166540946,5301.110062267186,6506.367383992278,8021.626026554666,9930.001879455758,12335.483013014513,15362.619593379797,19040.725331630154,23429.780797847503,28593.778355234197,34585.82751666989,41437.77543689738,49152.35706656973,57697.793543421125,67005.25901498167,76969.50789113596,87452.5755923969,98290.06400268737,109299.23173414453,120287.98265658678,131063.87598982276,141442.4243697421,151254.14921650777,160350.07857019827,168605.56846797751,175922.48676362188,182229.91172879425,187483.56850742898,191664.26068612392,194775.55991502886,196841.0018191783,197901.00868771205,198009.72463076256,197231.91165905076,195640.0187605306,193311.5026817182,190326.45001810585,186765.5259352058,182708.25543889496,178231.62831694222,173409.00820601257,168309.31911938082,162996.47858740872,157529.0447200479,151960.04445096967,146336.95148471836,140701.78463275635,135091.29995583807,129537.25316221037,124066.7118390991,118702.40016796751,113463.06168639442,108363.82834214205,103416.58649817313,98630.33267344243,94011.51364215705,89564.34707449855,85291.12020297199,81192.46506378222,77267.60971753205,73514.60552434872,69930.53106095827,66511.67364550593,63253.68970238635,60151.74537408886,57200.638887827066,54394.9062269303,51728.91165382808,49196.92459409691,46793.1843287312,44511.95386215169,42347.56424262399,40294.45051461622,38347.180382999024,36500.476569802166,34749.23374766362,33088.530841699074,31513.639404347898,30020.028686485333,28603.36795309062,27259.526523146073,25984.57195115438,24774.766711507284,23626.56369663369,22536.60079505094,21501.69477575479,20518.834670407006,19585.174814107064,18698.02767876386,17854.85660982839,17053.268557040596,16291.006872539358,15565.944234864413
A,2510.0663644353176,2376.601219599787,2303.142879572254,2266.467974518918,2251.7612376929665,2249.5956324195486,2254.0079476808132,2261.264467022747,2269.065889366873,2276.033811317434,2281.3785631421238,2284.6842487297317,2285.7697092808144,2284.5987468562466,2281.222336879825,2275.741619317808,2268.284380735692,2258.9902841517996,2248.0017576456953,2235.4585294330027,2221.4944989240257,2206.236091132523,2189.80154068482,2172.300746848622,2153.8354684308038,2134.499710542626,2114.3802094155494,2093.55695668239,2072.103727367369,2050.08859054404,2027.57439103285,2004.6191964628267,1981.2767077227982,1957.5966330687543,1933.6250274544889,1909.4045993522238,1884.974987650426,1860.3730113020265,1835.632894341449,1810.7864687536412,1785.863357501174,1760.8911398206815,1735.8955007023533,1710.9003662747516,1685.928026636867,1669.369518174947,1666.9464817439796,1682.6758085859144,1719.7594744748033,1781.3079933235383,1870.9065019986358,1993.073836909434,2153.676448121437,2360.357108596912,2623.0328052677132,2954.511959596131,3371.280108824796,3894.505312861244,4551.318480308204,5376.427090056796,6414.119696467362,7720.707694264186,9367.422491433534,11443.730852290626,14058.323873323801,17265.716651722374,21140.287412824095,25761.242441621762,31203.191033513664,37528.58656627267,44781.123870065276,52980.251215045406,62117.261138003865,72153.36061156253,83019.88615210466,94620.55311625797,106835.39649266953,119525.91659093405,132540.89437232952,145722.37105842723,158911.36823087858,171953.03116849993,184700.98853088345,197020.82174701407,208792.62014564907,219912.66039819125,230294.29185715987,239868.1352843646,248581.71447910598,256398.6417732432,263297.47233673534,269270.331368369,274321.4046549835,278465.3682913706,281725.8187361664,284133.7506316612,285726.117428052,286544.49908127496,286633.89202169375,286041.6291815419,284816.43200646475,283007.591898947,280664.27526508627,277834.94407270546,274566.88239692553,270905.8186622446,266895.63303965156,262578.13959530706,257992.93320606463,253177.29186794648,248166.12575542615,242991.96518616725,237684.98046507555,232273.027391573,226781.71299242228,221234.47677406648,215652.68346391924,210055.72382440086,204461.1206751672,198884.63774874018,193340.3894351511,187840.94984589724,182397.45995081338,177019.73181804383,171716.34922191995,166494.76408087712,161361.38835204105,156321.68114495088,151380.23092790137,146540.8327900616,141806.5607939881,137179.83550916854,132662.48686025277,128255.81245578415,123960.63158638962,119777.33509711374,115705.93134826126,111746.08848390434,107897.17322810304,104158.28642670714,100528.2955480503,97005.86434948878,93589.47990905498,90277.47721288123,87068.06147982039,83959.32839510446,80949.28241514614,78035.85329586301,75216.91098731697,72490.27902810847,69853.74656391889
IH,0.0,422.1517869362832,562.1965572039201,583.1204528022665,558.6337169943137,520.7424785767182,482.3794052546825,448.03737294215875,418.6762098846278,393.9250798244391,373.0277400695585,355.21702941939907,339.8396490666595,326.3784069430827,314.4373100214988,303.71709458060434,293.9917781752092,285.0894844317486,276.8778587963901,269.2533909567248,262.13375463904003,255.4523633209896,249.1545073587458,243.19460142926394,237.53420502110976,232.1405797556775,226.98562026914854,222.04504664232252,217.2977817730449,212.7254612840423,208.3120399899782,204.04347006792204,199.90743359610178,195.89311721978777,191.99102016626713,188.19278919929417,184.49107573676315,180.87941149418418,177.35209982151846,173.90412047935166,170.53104602397514,167.22896828773528,163.99443368326553,160.82438624969672,157.71611751041763,154.66722233552474,153.08330165583664,154.4633347142958,159.9870847136559,170.50501860021296,186.67538568975934,209.1309397716122,238.63137947376632,276.19396172293386,323.21063017608964,381.5654855482153,453.7673373820961,543.1115292544029,653.8846437454417,791.6254607909447,963.4554017286208,1178.490893527361,1448.3474217091161,1787.7387931742633,2215.163108142802,2753.207008867391,3416.165132177054,4217.567180662705,5171.000279537509,6288.902215891055,7580.844027407207,9051.83485507833,10700.90267943842,12520.12130218519,14494.199063467826,16600.6767602896,18810.70524878161,21090.303803872324,23401.952424626536,25706.350922278307,27964.1830921386,30137.74891870679,32192.36325651239,34097.45810657645,35827.3617329791,37361.757928348736,38685.85119586729,39790.27837487859,40670.81511911834,41327.92792791898,41766.220556042346,41993.81893921025,42021.73243442997,41863.222116420875,41533.19978532738,41047.67470217474,40423.259171716374,39676.739088922215,38824.71150032985,37883.28807536012,36867.86105814605,35792.92667305787,34671.959971088334,33517.33461333062,32340.280982561133,31150.87619633927,29958.059980435824,28769.67087928381,27592.497873645116,26432.343100478334,25294.09199281004,24181.787754407116,23098.707639161286,22047.439008517562,21029.95358705715,20047.678725196285,19101.564810247255,18192.148245986722,17319.609650725302,16483.827109647205,15684.424464119926,14920.814733962132,14192.238853279787,13497.799961060438,12836.49352845149,12207.233629275464,11608.875672122478,11040.235914121742,10500.108070619197,9987.277323476825,9500.532015210634,9038.673298040416,8600.522987209173,8184.929847488407,7790.774521268525,7416.973286530778,7062.480813665026,6726.29207178386,6407.443518049495,6105.0136876676315,5818.123287651113,5545.934884214164,5287.652261693618,5042.519520153504,4809.8199692459875,4588.874867397525,4379.0420478823635,4179.714466752015,3990.318701826054,3810.313426935655,3639.1878812697587
IN,204.797694224098,390.09478460798954,524.8364321410714,623.4424540255975,695.7814371178528,748.7001179226212,787.0210872373949,814.1977630815509,832.7470324509084,844.5369228554753,850.9793078954075,853.1601177606148,851.9282214510237,847.9568271525061,841.7864898605804,833.8557143336413,824.5231145462263,814.0837624067631,802.7814854611202,790.8182977815827,778.3617675323313,765.5508718358636,752.5007207881654,739.3064191489316,726.0462575916978,712.7843731039934,699.5729820614283,686.4542643064342,673.4619587001274,660.6227177346834,647.9572593293251,635.4813468393826,623.2066228815438,611.1413183433218,599.2908545760371,587.658354044319,576.2450724650006,565.0507636037302,554.0739863290638,543.3123621929005,532.7627906692582,522.4216282072659,512.2848364129145,502.34810394692903,492.606946096416,483.0567854319375,474.3759514716284,467.56958533480235,463.761352527328,464.0986664662153,469.73584535177434,481.8670065587275,501.78995234871843,530.9909189830303,571.2468750891417,624.7470856740904,694.2393420845616,783.209107686871,896.1022538753277,1038.6042819838112,1217.9909232062805,1443.5664617658445,1727.2063385983395,2084.0183908107906,2533.1307501015226,3098.38844050022,3802.904810919229,4670.741058810737,5727.026575873879,6997.285941428626,8506.285127259016,10276.57548846664,12326.892836825054,14670.575973606105,17314.168735488714,20256.349422561925,23487.29211933356,26988.51352785012,30733.20623734985,34687.01324445453,38809.16433076375,43053.87460687103,47371.898497062604,51712.136358256066,56023.202757945095,60254.882095519126,64359.4160376909,68292.58603119428,72014.5714566803,75490.57886975697,78691.24978322124,81592.86348253663,84177.35758939046,86432.19280861857,88350.08990839796,89928.66691670765,91170.00318180074,92080.15471776345,92668.6424648332,92947.93200854509,92932.92013626576,92640.44052598429,92088.79797542849,91297.3379650446,90286.05604903882,89075.24960190312,87685.21281174052,86135.97449055249,84447.07724050082,82637.39574350786,80724.9913962713,78727.00016023245,76659.55030374801,74537.70665134421,72375.43799497784,70185.6044403698,67979.96163667331,65769.17905217245,63562.86969760067,61369.62895002868,59197.08038459688,57051.92677133357,54940.0046344535,52866.34099798974,50835.211151797754,48850.19646435762,46914.24144270398,45029.70939519626,43198.43619015895,41421.78172348208,39700.678812132224,38035.67931939505,36426.99739284973,34874.54975888864,33377.99306935885,31936.758337884377,30550.08253683801,29217.037451892855,27936.55591063715,26707.45551582465,25528.460023310752,24398.218510352017,23315.322482397612,22278.321066366745,21285.734436200964,20336.065612649112,19427.81077416597,18559.468209807277,17729.546038355587,16936.568810840843,16179.083106313796
D,8658.0,8658.0,8661.190060464198,8665.438392618042,8669.844839682615,8674.066248639532,8678.001326126689,8681.646506644847,8685.032175861787,8688.19597254768,8691.172733186606,8693.991579588468,8696.675836381468,8699.243891432288,8701.710224359393,8704.086322393818,8706.381411330321,8708.603009289582,8710.757335579763,8712.849609349745,8714.884267555448,8716.865125040558,8718.79549347659,8720.678271112496,8722.516011724128,8724.310978605192,8726.06518765637,8727.78044239547,8729.458362865036,8731.100409834973,8732.707905301699,8734.282050013513,8735.823938563992,8737.334572464282,8738.81487151261,8740.265683713023,8741.687793946949,8743.081931565022,8744.448777039212,8745.788967793795,8747.103103316775,8748.391749639433,8749.655443260333,8750.89469458043,8752.109990907793,8753.301799083445,8754.470567773637,8755.627367302748,8756.794595282088,8758.003564400593,8759.292014042678,8760.702657763624,8762.282990628368,8764.086248491378,8766.173354278935,8768.61574937198,8771.49911267309,8774.928081323043,8779.032194276582,8783.973382765435,8789.955432736722,8797.23594434696,8806.141407555211,8817.086086676312,8830.59543336369,8847.334683253686,8868.1397517161,8893.954573930683,8925.825324533855,8964.900851542337,9012.423991187718,9069.709904845904,9138.111606303088,9218.974764118066,9313.585151208737,9423.112986512106,9548.558772247743,9690.705007262666,9850.077409381163,10026.918170275785,10221.172503180764,10432.488521865014,10660.229453635591,10903.496421706464,11161.159557103412,11431.894998093352,11714.225360130027,12006.561454025084,12307.243336303316,12614.579141511635,12926.88052937705,13242.49394866811,13559.827253143429,13877.37149060606,14193.717918384364,14507.570477314299,14817.754084885808,15123.219192243443,15423.043095949817,15716.428510920896,16002.69990259277,16281.29805046435,16551.773277174412,16813.77773183448,17067.05706719214,17311.44180025756,17546.838597462298,17773.22167976837,17990.62450140758,18199.131818678416,18398.872232696067,18590.011262166103,18772.74497893845,18947.294219979256,19113.899374083452,19272.815729711976,19424.30936133751,19568.653525193145,19706.125530936675,19837.004053098313,19961.566844938614,20080.088817212618,20192.84044506162,20300.086467618745,20402.084846737125,20499.085953379898,20591.331952527722,20679.056359865157,20762.48374592611,20841.829565753094,20917.300094412516,20989.092450878703,21057.394694832557,21122.385982805146,21184.236771826312,21243.10906031322,21299.15665735666,21352.525472839676,21403.353821961606,21451.772738749456,21497.906294027653,21541.871914096355,21583.78069704749,21623.737724236384,21661.84236493429,21698.18857262218,21732.865171756996,21765.956134155593,21797.540844405874,21827.69435393529,21856.487623549718
R,0.0,152.96574867573725,527.5544455539334,981.0895103848786,1452.5255939137417,1917.8243663415103,2369.1012375938103,2805.0800737632353,3226.8614791405926,3636.1433686445816,4034.542818220557,4423.3912313982155,4803.717718354623,5176.295935823693,5541.703122056486,5900.372700399454,6252.635594159041,6598.750676960979,6938.926406861532,7273.3358548397955,7602.12700192165,7925.429741363813,8243.36062869021,8556.026112037738,8863.524746221308,9165.948731275179,9463.38500354065,9755.91603060443,10043.620409729043,10326.573334970524,10604.846975387518,10878.51079176951,11147.631809536892,11412.274859130865,11672.502791139446,11928.376670814023,12179.955955000896,12427.298653502683,12670.461476271288,12909.499967471267,13144.468627244762,13375.421021895703,13602.409883152563,13825.487197141061,14044.704283685645,14260.111866552184,14472.205198924064,14682.551154665538,14893.775391204725,15109.370696710652,15333.52974010193,15571.074856384083,15827.498735159219,16109.109421023824,16423.271485683512,16778.741978827875,17186.109508149053,17658.35529526894,18211.565661724628,18865.836153492703,19646.41853654589,20585.172981531345,21722.398000501955,23109.1181244285,24809.910457707825,26906.20182702101,29495.881544319815,32690.141898637823,36613.44265963946,41403.39707021726,47209.58845312595,54191.06717463376,62512.56958710927,72339.66704330982,83833.17520336715,97143.23602664351,112403.51638358246,129725.94419380333,149196.33276565335,170871.14223405742,194775.51223831627,220902.5890388473,249214.0753850946,279641.85950503434,312090.5326872149,346440.5816117895,382552.0382160378,420268.38181416306,459420.51067231415,499830.6289481958,541315.9262532039,583691.9583293779,626775.6665061959,670387.9994758307,714356.1228432875,758515.2196591193,802709.8988369843,846795.2383186752,890637.4965231534,934114.529509356,977115.9529099383,1019543.0875450895,1061308.7261471546,1102336.7562062843,1142561.6709120646,1181927.9967831078,1220389.6630567675,1257909.334414906,1294457.7252658887,1330012.9106680574,1364559.6461164122,1398088.7058491034,1430596.2470724992,1462083.2055485768,1492554.726322191,1522019.6319681965,1550489.9295853747,1577980.3568298544,1604507.966538968,1630091.748921757,1654752.2898604653,1678511.4635560568,1701392.1575398576,1723418.0279448573,1744613.2828681958,1765002.4916472111,1784610.4179034007,1803461.8742718184,1821581.596819505,1838994.137258662,1855723.7711728348,1871794.420592873,1887229.5893802934,1902052.3099961386,1916285.1003513348,1929949.9295483897,1943068.1914328712,1955660.6849757503,1967747.6006038978,1979348.5116855742,1990482.3704605955,2001167.5077810907,2011421.6360985674,2021261.8551966532,2030704.6602266887,2039765.9516556596,2048461.0467831488,2056804.6925264192,2064811.0792107894,2072493.85513649,2079866.1417235306
G,600299.0,600299.0,600381.235999892,600514.5720697087,600679.0213792223,600861.7474115996,601054.5182448596,601252.0743457107,601451.0770646846,601649.4290423238,601845.834046849,602039.5115258375,602230.0113979139,602417.093916517,602600.6518333097,602780.6600812513,602957.1433674324,603130.1554186363,603299.7658014074,603466.051656671,603629.0926134327,603788.9677493994,603945.7538604407,604099.52455839,604250.3498851076,604398.296240862,604543.4264970707,604685.8002104465,604825.4738862358,604962.5012581547,605096.9335655135,605228.819816318,605358.2070304158,605485.1404600742,605609.6637874251,605731.8192994234,605851.6480416538,605969.1899526698,606084.4839806799,606197.5681844064,606308.4798198709,606417.2554147473,606523.9308317918,606628.5413227201,606731.1215737619,606844.715287633,606978.9107020063,607141.119289825,607337.8179040424,607575.6058628259,607862.0772316243,608206.5735699126,608620.9044232768,609120.1250179518,609723.4569113872,610455.4352585193,611347.3689179441,612439.2069989098,613781.9157927256,615440.4796960116,617497.6428742247,620058.4961967275,623255.9737868703,627257.2389461669,632266.728297548,638413.6576310209,645862.6204055685,654791.8609485684,665379.0245207252,677789.0288983454,692162.7975963632,708607.179832377,727186.8708658894,747919.0856774542,770771.4069450921,795662.812447656,822467.5173731955,851021.0150241994,881127.5835719851,912568.5287363979,945110.5172941767,978513.4868756904,1012537.7628235057,1046950.1516012176,1081528.899931021,1116067.5040519205,1150377.423530309,1184289.8010692373,1217656.31732259,1250349.3218608603,1282261.3820706082,1313304.3843759086,1343408.3096466118,1372519.7893022457,1400600.5321657332,1427625.6958098332,1453582.2608055945,1478467.4524364718,1502287.2423474255,1525054.9523382033,1546789.9740417078,1567516.611428197,1587263.0477728923,1606060.4347248764,1623942.098220917,1640942.8540085456,1657098.4243028774,1672444.9464449708,1687018.564220588,1700855.092622454,1713989.747201735,1726456.9296786685,1738290.0621071837,1749521.4625667057,1760182.256050493,1770302.3149076265,1779910.2238566864,1789033.2652109526,1797697.4205300242,1805927.3854372501,1813746.5948150507,1821177.2560118868,1828240.3880674003,1834955.8652891256,1841342.463798684,1847417.909911312,1853198.9294237925,1858701.2970661323,1863939.8855252361,1868928.7135777578,1873680.9929773288,1878209.1738312896,1882524.9882764113,1886639.4923241118,1890563.1057953557,1894305.6503054805,1897876.3852911538,1901284.0420968323,1904536.8561575864,1907642.5973299546,1910608.598433414,1913441.782072797,1916148.6858171483,1918735.4858135963,1921208.0189162227,1923571.8034100127,1925832.0584090336,1927993.7220062737,1930061.4682502653,1932039.7230208765,1933932.6788736281
H,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2620206.5421783784,2488942.282513482,2357678.0228485856,2226413.763183689,2095149.5035187928,1963885.2438538964,1832620.984189,1701356.7245241036,1570092.4648592072,1438828.2051943108,1307563.9455294143,1176299.685864518,1045035.4261996215,913771.1665347251,782506.9068698287,651242.6472049323,519978.38754003594,388714.1278751396,257449.86821024324,126185.60854534688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
