series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,278230.56801372976,277986.208673242,277762.5296723357,277544.98671923496,277325.6651148995,277100.19795918686,276866.1575840767,276622.19703477086,276367.58593195,276101.95746586897,275825.1695183026,275537.22775307385,275238.24237551197,274928.4031311553,274607.9641154423,274277.2337963873,273936.56775576965,273586.36281249946,273227.05182996026,272859.0988599622,272482.9944673152,272099.25118148007,271708.39907441987,271310.98148851615,270907.550947564,270498.6652844351,270084.8840150533,269666.76498222206,269244.8612859604,268819.71851015737,268391.872249005,267961.8459310612,267530.14893403836,267097.27497953817,266663.7007939217,266229.8850192588,265796.2673567559,265363.2679241288,264931.28680797096,264500.7037921826,264071.8782438847,263645.14913887175,263220.8352094895,262799.235198801,262380.6282059787,261965.27410898893,261553.41405178458,261145.27098436974,314019.2297916628,366763.98824531806,419374.53032513085,471843.4513408096,524158.9549990315,576303.7426697244,628254.4039287425,679981.0049275898,731446.6949819461,782607.259378523,833410.6234161949,883796.3619795647,933695.2976903132,983029.2845268253,1031711.2752249846,1079645.7598226527,1126729.6387807503,1172853.5578911784,1217903.6870325236,1261763.8770397222,1304318.08656401,1345452.9414679662,1385060.2779875111,1423039.5284526488,1459299.8315938683,1493761.7824935461,1526358.773475724,1557037.9110665594,1585760.5219569344,1612502.2810958324,1637253.0077269545,1660016.181448328,1680808.231738292,1699657.6523658598,1716603.9879805187,1731696.7349453033,1744994.192833644,1756562.2974081049,1766473.4606083054,1774805.4382394224,1781640.2417317089,1787063.106544275,1791161.5264923787,1794024.360451002,1795741.015486456,1796400.708448799,1796091.8063790556,1741623.7386017148,1688905.3270513527,1637824.913318631,1588368.3696322883,1540558.327482591,1494425.2527228158,1449994.298063468,1407279.9313334106,1366284.4058658173,1326998.0948423303,1289400.6786429493,1253462.6641942183,1219146.9686676979,1186410.4332352632,1155205.2037589499,1125479.9535796784,1097180.9441232686,1070252.9298596345,1044639.9195388531,1020285.8079548104,997134.8930840023,975132.29307673,954224.2766859764,934358.5195697708,915484.2976536622,897552.6274851238,880516.3623063775,864330.2514470355,848950.9696085394,834337.1216843509,820449.2279328472,807249.6935897742,794702.7663676001,782774.4847327425,771432.6193704975,760646.6098336574,750387.4980166433,740627.8597953101,731341.7359168025,722504.563007942,714093.1053891883,706085.388229464,698460.6324507891,691199.1916870297,684282.491514874,677692.9711045903,671414.0273807507,665429.9617368439,659725.9293107351,654287.8907987397,649102.5667633472,644157.3943722539,639440.4864934017,634940.593061376,630647.0646241308,626549.8179750142
E,0.0,244.35934048773473,394.73380823004493,493.86189951878384,565.0315407680845,620.9967931106834,668.7464378381648,712.0920021266832,753.0850305105383,792.7980620345965,831.7571968584459,870.1829300837528,908.1250697251277,945.5389418499699,982.328924207797,1018.3737073680238,1053.5412593416054,1087.6979188389437,1120.714076695966,1152.467816337222,1182.8472815291614,1211.7522067610275,1239.0948623318034,1264.8005658585255,1288.8078572605596,1311.0684045827522,1331.5466917575873,1350.2195301831052,1367.0754303123042,1382.1138654384672,1395.3444565567588,1406.7861041267954,1416.46608956855,1424.4191663517013,1430.6866576105622,1435.3155743832597,1438.357765888718,1439.8691107644834,1439.9087559266723,1438.5384077010933,1435.8216781205356,1431.8234877853924,1426.6095254332597,1420.245763341859,1412.7980268786766,1404.3316158878788,1394.9109751472315,1384.599410812111,1373.4588495682033,1494.8606612993988,1714.0599274389012,2009.1234102673782,2369.0891529946803,2791.7859759706816,3281.8058184682777,3848.8865237587884,4506.761548226716,5272.4085240326995,6165.572008648676,7208.423870715278,8425.236977812416,9841.9713052592,11485.70042556671,13383.83889969868,15563.16686401587,18048.685441249734,20862.371665085033,24021.928796755554,27539.64153965526,31421.44213915863,35666.27287304675,40265.79722753294,45204.47313095701,50459.96457335187,56003.838807268905,61802.47832701214,67818.13026414195,74010.01884760067,80335.45619744124,86750.89987230643,93212.91970043335,99679.04968991455,106108.51219784188,112462.81061511775,118706.19358997907,124805.9985087857,130732.88492798057,136460.97027900696,141967.88079254786,147234.73050191344,152246.04062162084,156989.6107350362,161456.35219597258,165640.0930467663,169537.36264351933,173147.16309985478,173923.7420426909,172829.35987392807,170439.40766902507,167119.90761672374,163119.2457826918,158616.6088785198,153748.11488108084,148621.26269083025,143323.18312771388,137925.5617329515,132487.75279784578,127058.89487531962,121679.4616094682,116382.48040244523,111194.54339870616,106136.67737021385,101225.10829453955,96471.94029288742,91885.76036821742,87472.17635486682,83234.29363808637,79173.1354264131,75288.01107446503,71576.83685371542,68036.41350439576,64662.66480712085,61450.84126639964,58395.69280002137,55491.614088184215,52732.765967124615,50113.17596672448,47626.82080128048,45267.69333627258,43029.85627829666,40907.48457504554,38894.89827034921,36986.58733747006,35177.22981268955,33461.704370532505,31835.098321016034,30292.71186696807,28830.059334398145,27442.867979658786,26127.074882214467,24878.822349757833,23694.4521917624,22570.499157004622,21503.683778894185,20490.904828495724,19529.231537893003,18615.89572513051,17748.283925561867,16923.929612328648,16140.505570264791,15395.81647222715
I,201.0563580410733,181.47484725533934,174.34526220786148,174.39914832873336,178.72545362271347,185.7015847944269,194.41335308280935,204.3371918148838,215.16500467687507,226.7072319756314,238.8390590318262,251.47053002205485,264.5299652124363,277.95481534534815,291.68669522104517,305.6687795779167,319.84454268819354,334.1572664756201,348.54998893979,362.96570277376424,377.3476917343336,391.63993642760937,405.78754661429474,419.7371921946549,433.4375142915872,446.8395038481025,459.8968392880006,472.56617781673447,484.80739727472456,496.583787318062,507.8621902097036,518.6130927229618,528.8106716272379,538.4327959706749,547.4609899183407,555.8803602691601,563.6794929816393,570.8503231092416,577.387982502708,583.2906294997092,588.5592646117879,593.1975359529455,597.211537849838,600.6096057448037,603.4021101621478,605.6012521655052,607.2208623979907,608.2762054737124,608.7837911839391,608.7611936972273,613.9796406004565,628.1489365391499,653.6710932099475,692.2411423150828,745.2953383330206,814.3282100246859,901.1089457387742,1007.8270658530232,1137.1914809977288,1292.499307932867,1477.6833278862118,1697.34074144681,1956.741262312133,2261.8096741008285,2619.076745683595,3035.5928350956647,3518.800515468874,4076.365877675742,4715.972335442352,5445.085111588924,6270.698361169303,7199.079412678623,8235.525454813844,9384.147080523888,10647.690674974428,12027.408187963667,13522.97894418548,15132.484353124675,16852.43308794594,18677.831746132586,20602.294264532975,22618.182399719615,24716.769288945965,26888.41833140581,29122.77022376901,31408.931812342347,33735.6613745262,36091.54592840009,38465.16712963464,40845.25320871178,43220.81520443612,45581.26645018605,47916.524864392915,50217.09808942014,52474.151920143166,54679.56277400363,56825.95518796901,58796.81535158595,60528.5014538133,61988.39976888241,63162.867853190226,64050.31052942666,64657.02041074419,64994.55114207125,65077.97001476544,64924.636819245214,64553.31406231004,63983.49822265164,63234.907428008824,62327.08595188976,61279.09981864523,60109.30568145029,58835.17974807891,57473.19636191835,56038.747706523514,54546.09742661733,53008.361980188645,51437.51437861139,49844.40569848488,48238.80039257514,46629.42200391055,45024.00640481504,43429.36014588847,41851.42191173614,40295.32544338402,38765.46260472262,37265.545545202025,35798.6671467987,34367.35914358034,32973.647470635646,31619.104539275624,30304.898250671948,29031.837653694172,27800.41522761603,26610.845829293365,25463.10238981171,24356.948479629842,23291.96788581739,22267.59136176637,21283.12072018975,20337.75044554104,19430.587003249693,18560.666021256395,17726.967514994507,16928.42932081775,16163.958895429932,15432.4436305465,14732.759823146991,14063.780432531015,13424.38174618108,12813.44906732771
A,1196.6290730676046,1126.039135193478,1122.3730566105648,1157.5444726013666,1216.1005375390885,1289.4811035368689,1372.9066641215554,1463.674613580185,1560.22070330062,1661.5998664907188,1767.1982506373301,1876.5733350396424,1989.365334156394,2105.2484788090164,2223.9047433863616,2345.0103038018215,2468.229282215839,2593.21170418043,2719.5939117481275,2847.000411393007,2975.046547915223,3103.3416287289747,3231.492256900048,3359.105710295444,3485.7932527673192,3611.1732949498523,3734.8743444108404,3856.5377015787035,3975.819871191732,4092.3946700973374,4205.955021626099,4316.214434759496,4422.9081730479365,4525.794123807406,4624.653382602761,4719.290571489066,4809.533912013786,4895.235075675022,4976.268835483933,5052.532542595318,5123.945451750686,5190.447918620997,5252.000491133184,5308.582915599171,5360.1930770131485,5406.845891307248,5448.572165713192,5485.4174417141885,5517.440833425131,5544.713872639808,5601.558133176525,5711.346870770848,5890.441342907757,6151.422245840705,6505.570500165569,6964.680922266146,7542.353550800791,8254.913363529964,9122.082745013995,10167.491710997727,11419.070809967241,12909.337039209146,14675.556593286796,16759.75071504366,19208.502769494855,22072.52617961777,25405.96388086638,29265.409324005603,33708.66426882754,38793.27583697394,44574.92000794318,51105.716739794014,58432.57030226114,66595.62632359474,75626.92557499828,85549.31623387398,96375.66454037286,108108.3815379601,120739.26344911093,134249.62675660715,148610.70693012563,163784.2819464619,179723.4778271447,196373.7126478927,213673.73708176124,231556.73278820544,249951.43422488894,268783.24423626694,287975.3186864589,307449.60018797347,327127.7854574568,346932.2149001906,366786.6766340603,386617.12029553566,406352.27863415534,425924.197123248,445268.6736276229,463671.45834987843,480707.5764535725,496124.9024639909,509780.19078556186,521602.4398858558,531570.8578448773,539700.8389546516,546034.4787275799,550633.7675644697,553575.4502739472,554946.9886197336,554843.305374564,553364.1187497964,550611.7470634944,546689.3025674055,541699.215237109,535742.040014174,528915.5087840508,521313.7935955387,513026.9515070106,504140.52461916604,494735.2716422218,484887.0098958348,474666.54901429766,464139.69984718866,453367.34410819865,442405.55222811655,431305.73860804253,420114.8450446658,408875.54451313824,397626.45875010785,386402.3841877938,375234.52175938495,364150.7069374494,353175.63709197106,342331.0938746667,331636.1588627329,321107.4211389416,310759.1758561912,300603.6131425661,290650.99695618567,280909.8337052879,271387.0306149425,262088.04395356533,253017.01733533206,244176.91039329662,235569.6181765323,227196.08166639623,219056.38983504858,211149.87368617006,203475.19272557524,196030.41430993256,188813.08631660778,181820.3035680273
IH,0.0,8.117722384055611,13.786208091921905,18.008640080794052,21.370513604733404,24.220159814353554,26.769225491149957,29.149202705474316,31.443577663366938,33.706339035269316,35.972790898692345,38.26598450757347,40.60062924779433,42.985534964812814,45.425186013553954,47.92079317496122,50.47102550098968,53.07254173857176,55.720393312253385,58.40834288638,61.129125857398606,63.87467199869923,66.63629820236213,69.40487929407934,72.17100134806734,74.9251002740548,77.65758737396142,80.3589628778036,83.01991804313673,85.63142615828828,88.18482267065242,90.67187462753667,93.08483963937857,95.41651463200546,97.66027472991641,99.8101026944475,101.86060942055373,103.8070460678444,105.6453084615799,107.37193444537657,108.98409489846978,110.47957914663884,111.8567754981049,113.11464762518023,114.25270749079357,115.27098548802668,116.16999842230688,116.95071592170397,117.61452581256717,118.1631989470492,118.59885391726814,119.1561918196561,120.17174393259909,122.01026300071177,125.03041240899506,129.5755621476581,135.97926642829069,144.5783587387497,155.72925287217296,169.8249128145805,187.31113378323977,208.70141284430736,234.5899421309228,265.66227405389384,302.7031031043515,346.60047585481885,398.3456524931071,459.0278538742694,529.8232706473025,611.9779928625309,706.78491847694,815.5551699573546,939.5850247367679,1080.119778634255,1238.3162532729896,1415.2057928938166,1611.659563734448,1828.357786557054,2065.764234538575,2324.106958399999,2603.3658027569827,2903.2668908215574,3223.2839079432597,3562.645726727209,3920.3496965705617,4295.179769486043,4685.728547401441,5090.422305524286,5507.548061830126,5935.281813816321,6371.71714039623,6814.893460284865,7262.823340885588,7713.518357395588,8165.013105849785,8615.387072609134,9062.784153936918,9505.429701256775,9937.207378281038,10350.680987560547,10738.616916696057,11094.708718137472,11413.874082048105,11692.32319086808,11927.50705124102,12118.005831536597,12263.390710169262,12364.07802599805,12421.186228154696,12436.401368896204,12411.85411058908,12350.009572771505,12253.570354207837,12125.392462450793,11968.41351847655,11785.59238870763,11579.85927894985,11354.075272301103,11111.000285348742,10853.268440156819,10583.36989398062,10303.638227286307,10016.242558215788,9723.183624097863,9426.293144888397,9127.235857188472,8827.513678998876,8528.471533366272,8231.304422700476,7937.065404253993,7646.674170771517,7360.9259885571955,7080.500788244703,6805.972241577982,6537.816690788852,6276.421826015969,6022.095031004426,5775.071338427831,5535.520953957641,5303.556323031666,5079.238726492422,4862.5844012031575,4653.570189707002,4452.138729249243,4258.203195284251,4071.651618160844,3892.3507942217066,3720.149814238798,3554.883233090283,3396.373904997849,3244.435508600348
IN,11.46378840167835,21.508582386501182,29.19353151927271,35.52072000995925,41.06779788500851,46.174931573795945,51.04766482927964,55.81397405958846,60.55614206585638,65.32869966639167,70.16861954897364,75.10118124383811,80.14340608432857,85.3061214734875,90.59524817190442,96.01264507014258,101.55670091359949,107.22278091785653,113.00359005567894,118.88948843540861,124.86877896637232,130.9279785959856,137.0520791099655,143.22480029963043,149.4288363658127,155.64609526179748,161.8579299970433,168.04536056265735,174.18928499613617,180.2706781103302,186.2707765243215,192.17124881867375,197.95434986889975,203.60305866893782,209.10119922490998,214.43354436569544,219.58590257094687,224.54518815160992,229.29947532746027,233.83803692721503,238.15136858760275,242.2311994479361,246.07049042687274,249.66342122967905,253.00536726956702,256.09286769813525,258.9235857304523,261.49626242283864,263.8106650188988,265.86753092470576,267.6685083099607,269.5441039526059,271.9954391562488,275.598563526107,280.95486986607375,288.6732022784264,299.3722565083332,313.6950209833533,332.3297362527285,356.0339081356425,385.65927223693575,422.17637430986713,466.6977475875951,520.4986826985887,585.0344320978732,661.9524862245758,753.0984039958976,860.5136590117894,986.4241336079261,1133.2182803455646,1303.4145582117865,1499.6184811071523,1724.4704000965178,1980.585876021085,2270.4910909842906,2596.5561275966365,2960.9290816659895,3365.473872251834,3811.7143076415127,4300.786510517063,4833.401260875843,5409.817238770117,6029.825588955001,6692.74572201693,7397.431834654262,8142.289287225907,8925.299722009519,9744.05363664549,10595.789035421058,11477.434755350527,12385.657092451931,13316.90842432915,14267.476627063961,15233.53420763299,16211.186209115844,17196.516087814736,18185.628903403816,19174.691300970237,20153.701060995467,21110.265329364567,22031.665684238156,22905.980135522426,23722.671450534675,24472.865492271827,25149.44533284096,25747.034085430678,26261.910234231724,26691.882711430997,27036.143306917944,27295.108135289265,27470.256175438997,27563.970439887536,27579.385626198015,27520.244871915653,27390.767317422557,27195.527483671085,26939.346936183872,26627.198295685048,26264.121343604842,25855.150738651297,25405.254694018582,24919.28385168278,24401.929520638965,23857.69041136335,23290.846991972743,22705.44260629036,22105.270525037457,21493.866144215295,20874.503595728114,20250.19609139412,19623.699380247992,18997.517758512753,18373.91213030292,17754.909673877926,17142.314722267354,16537.72051776789,15942.521546805598,15357.926204774116,14784.969579640427,14224.52617839775,13677.322451960123,13143.949002010526,12624.87237784809,12120.446392667769,11630.922907199041,11156.46204448384,10697.141813040658,10252.967126986958,9823.8782211095,9409.758466602514,9010.441599441976
D,1644.0,1644.0,1644.1320242650156,1644.356239125364,1644.649126385868,1644.9966901750918,1645.3905997776583,1645.8259666396054,1646.300040755584,1646.8114299155063,1647.359619965247,1647.9446709258818,1648.5670177173454,1649.2273344887267,1649.926438669867,1650.665220622846,1651.4445904015308,1652.2654364136386,1653.1285927257225,1654.0348129221506,1654.9847491450864,1655.9789353873036,1657.0177743897684,1658.1015276739167,1659.2303083520158,1660.4040764309943,1661.6226363702117,1662.885636681243,1664.1925713741803,1665.5427830644476,1666.9354675596685,1668.3696797497141,1669.844340626119,1671.3582452604555,1672.9100715756026,1674.4983897493996,1676.1216720970742,1677.7783032870245,1679.4665907538958,1681.184775183235,1682.9310409530883,1684.703526429509,1686.500334024791,1688.3195399391436,1690.1592035182455,1692.017376170483,1693.8921097985467,1695.7814647102996,1697.6835169833525,1699.5963652665182,1701.5181370092316,1703.446994117091,1705.3849156057515,1707.3393537372526,1709.3236930056985,1711.3571511016924,1713.4645301850326,1715.6760572437565,1718.0274374273322,1720.560172495022,1723.3221552575408,1726.3685288087643,1729.7627876088184,1733.5780898850712,1737.8987434889953,1742.8218183139945,1748.458827183459,1754.9374044868464,1762.402899383352,1771.0197902532263,1780.9728215212162,1792.467764926681,1805.7317159216961,1821.0128522357609,1838.579604725725,1858.7192184573166,1881.7357119776589,1907.9472722270273,1937.6831490574264,1971.2801349923047,2009.0787315054054,2051.419112269189,2098.636996704059,2151.0595444027217,2209.0013735672414,2272.7607955832327,2342.61634438715,2418.8236644044164,2501.6128054602405,2591.1859579406855,2687.715647188049,2791.3433930690944,2902.178829129409,3020.2992658915177,3145.7496747179302,3278.5430622153217,3418.661200317677,3566.0556738301243,3720.649205191864,3882.265042535786,4050.605493852178,4225.255221772785,4405.696322709019,4591.328235870057,4781.488763979593,4975.47425367814,5172.557959879418,5372.006163268178,5573.091915742725,5775.106459331255,5977.36845752324,6179.2312262783435,6380.088173540139,6579.376661528857,6776.580501737096,6971.231282266695,7162.90871335847,7351.24016126431,7535.899524055658,7716.605586280941,7893.119973080195,8065.244808783484,8232.820170391744,8395.7214128096,8553.856430349017,8707.162907880125,8855.605605062736,8999.173708312193,9137.878277479313,9271.749807584945,9400.835920265416,9525.19919477113,9644.915144331308,9760.070340368327,9870.760684334198,9977.089824771809,10079.167715503188,10177.109309549785,10271.033382435779,10361.061477860656,10447.316968303654,10529.924222897725,10609.007874847422,10684.692180731186,10757.100464196374,10826.354636801301,10892.574789062593,10955.87884511151,11016.382274735724,11074.197856971781,11129.435489809048
R,0.0,72.00893229098229,142.6236699796827,215.03939434014333,291.10714853508864,371.94801104800456,458.28570402279564,550.6272475428339,649.3608023172806,754.8081382530456,867.2521779970028,986.9508483435114,1114.1434355847139,1249.0528751534348,1391.885882127291,1542.8319872370625,1702.0620764086777,1869.726772175546,2045.9548498022875,2230.851798529981,2424.4985907773507,2626.950693860436,2838.237341272014,3058.3610691077242,3287.2975152907457,3524.9954734575003,3771.3771889892373,4026.338881317839,4289.751474087529,4561.461512895883,4841.292249087979,5129.0448673738365,5424.499834823757,5727.4183490108935,6037.543863656424,6354.603671030386,6678.310521511593,7008.364262056198,7344.45347681302,7686.257114705692,8033.446090433387,8385.68484698508,8742.632869384715,9103.946140959462,9469.278534928979,9838.283135534055,10210.613484245972,10585.924747815669,10963.874806029644,11344.125258036007,11726.342346989846,12112.21757074102,12504.906278623126,12908.654297790932,13328.589497359924,13770.64710562709,14241.598071404416,14749.154928778218,15302.13616671937,15910.675927915423,16586.469969758626,17343.050954756163,18196.086446426147,19163.69181821455,20266.74808415617,21529.211941701375,22978.402638064228,24645.248206592903,26564.472696995443,28774.706635864433,31318.505273577364,34242.26309925644,37596.01827169081,41433.14646288253,45809.94950528571,50785.14957932169,56419.304017110044,62774.15886101323,69911.96102032092,77894.74929217178,86783.64383737753,96638.15216852698,107515.5075707344,119470.05337236587,132552.68381773098,146810.34962838708,162285.6337950657,179016.40080133863,197035.5203943917,216370.66521391645,237044.1800744133,259073.01946268816,282468.74884526944,307237.6046582331,333380.6073495615,360893.72153534816,389768.05718951474,419990.10578672815,451503.4165036411,484224.08066515985,518050.3841177627,552869.227924106,588560.6630314044,625001.2537844286,662066.6614963579,699633.6704265478,737581.7891242072,775794.5120707091,814160.3002586894,852573.3245302109,890934.0067527335,929149.3883755333,967133.3520635009,1004806.7191530807,1042097.2432055704,1078939.517741138,1115274.814226301,1151050.8645173912,1186221.600218857,1220746.8597959322,1254592.0727880015,1287727.929103554,1320130.04014004,1351778.5973601246,1382658.032965637,1412756.6864360897,1442066.479932871,1470582.6049051282,1498303.221660512,1525229.1731747615,1551363.7140000965,1576712.2547853328,1601282.1226327894,1625082.337281144,1648123.4029127092,1670417.1152320462,1691976.383344868,1712815.0658768672,1732947.8207070327,1752389.9676452985,1771157.3633565984,1789266.2878196028,1806733.3416060049,1823575.3532730045,1839809.2961756797,1855452.2140256441,1870521.1545463828,1885033.1106027858,1899004.968211705,1912453.4608710522,1925395.129676361
G,96129.0,96129.0,96139.54482084296,96156.57874015268,96177.89032677421,96202.273091747,96229.07092118266,96257.92928756347,96288.65814192663,96321.1559654614,96355.36752255641,96391.2602803622,96428.8112210384,96467.99947610626,96508.80224927606,96551.19261787809,96595.13842438557,96640.60181370494,96687.5391628667,96735.90125588654,96785.63361572304,96836.67693841086,96888.9675932344,96942.4381636846,96997.01801048899,97052.63384219274,97109.21028167562,97166.67041919517,97224.93634435286,97283.92965094255,97343.57191002919,97403.78510785184,97464.49204625971,97525.61670437512,97587.08456103437,97648.82287828795,97710.76094685026,97772.83029488129,97834.9648618678,97897.10113965912,97959.17828291314,98021.13819133322,98082.92556613663,98144.48794320198,98205.77570530475,98266.74207577776,98327.3430958332,98387.53758766412,98447.28710530944,98506.5558751259,98571.06348849201,98645.03019184312,98731.7297482029,98833.96288007112,98954.43661719008,99096.05614492345,99262.14686507717,99456.62681830142,99684.14667977189,99950.20916011646,100261.27375099744,100624.84738936597,101049.55726109956,101545.19885598066,102122.75068234664,102794.34688981094,103573.20049961742,104473.47290634572,105510.08945211959,106698.50559997461,108054.43280669946,109593.53688527286,111331.12390370053,113281.82924410056,115459.32442437786,117876.05400615519,120543.01185727764,123469.56269880508,126663.31165791533,130130.02175480842,133873.5770258802,137895.98736848394,142197.43014811355,146776.3230556051,151629.4225404229,156751.9422765495,162137.68645057725,167779.19312307224,173667.88344600252,179794.21307769654,186147.8226917361,192717.68500679918,199492.2462578723,206459.56047825428,213607.4153632039,220923.4488395363,228395.25577234835,235900.5743597846,243358.6671531084,250713.62651280276,257925.3397282334,264964.41267458774,271809.1836581827,278443.8648744885,284857.30741120636,291042.1223059717,296994.0140373652,302711.2483953821,308194.21164241695,313445.0365970837,318467.2813070785,323265.65134897275,327845.7596660987,332213.9194002181,336376.96602135466,340342.105553846,344116.7860164969,347708.58943457605,351125.14198779565,354374.040052498,357462.7900860398,360398.76048835384,363189.1437585742,365840.9274412016,368360.872524321,370755.49811006,373031.07132353674,375193.6015603011,377248.8382934931,379202.27177081385,381059.13602837414,382824.4137342263,384502.84244968736,386098.9219622913,387616.9224012589,389060.8928956254,390434.6705774725,391741.8897688765,392985.99122195033,394170.2313074111,395297.69106906164,396371.2850799893,397393.77005165175,398367.7531597728,399295.7000614929,400179.94258684607,401022.68609465146,401826.01648857375,402591.90689362795,403322.2239969749,404018.7340596286
H,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2504075.1121235685,2450796.9325771243,2397518.75303068,2344240.573484236,2290962.3939377917,2237684.2143913475,2184406.0348449033,2131127.855298459,2077849.6757520149,2024571.4962055706,1971293.3166591264,1918015.1371126822,1864736.957566238,1811458.7780197938,1758180.5984733496,1704902.4189269054,1651624.2393804612,1598346.059834017,1545067.8802875727,1491789.7007411285,1438511.5211946843,1385233.34164824,1331955.162101796,1278676.9825553517,1225398.8030089075,1172120.6234624633,1118842.443916019,1065564.2643695748,1012286.0848231306,959007.9052766864,905729.7257302422,852451.546183798,799173.3666373538,745895.1870909096,692617.0075444654,639338.8279980212,586060.6484515769,532782.4689051327,479504.28935868846,426226.1098122442,372947.9302657999,319669.75071935565,266391.5711729114,213113.3916264671,159835.21208002284,106557.03253357859,53278.852987134334,0.6734406900795875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
