series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
S,540109.8621807649,539069.4815712138,538199.6813951117,537433.4010299571,536730.0708437924,536064.9915648062,535423.0812763743,534795.1279991225,534175.5187381308,533560.8535144497,532949.0956240582,532339.0490647743,531730.0364782027,531121.7003527002,530513.8801551386,529906.5363057755,529299.703086473,528693.4594378662,528087.9108270352,527483.177972315,526879.3898195691,526276.6791573139,525675.1798719615,525075.0252241929,524476.3467625388,523879.2736358373,523283.9321564761,522690.44552228553,522098.93363967777,521509.5130121898,520922.29667199217,520337.3941402565,519754.91140746715,519174.95092799206,518597.61162524915,518022.98890506424,517451.17467560834,516882.25737279997,516316.32199037145,515753.450114001,515193.719959039,514637.20641144423,514083.9810716001,611395.1377823898,708581.5654894749,805643.1269012789,902577.542914949,999379.8873258727,1096042.3618742046,1192554.1790543061,1288901.4530795529,1385067.044718845,1481030.3322039056,1576766.894749134,1672248.1022002513,1767440.607163301,1862305.7367645735,1956798.781293095,2050868.177235895,2144454.583207008,2237489.8494228707,2329895.8850528374,2421583.4333084747,2512450.771833755,2602382.3660597736,2691247.5157978013,2778899.0503350734,2865172.1441810313,2949883.3434050065,3032829.9096134165,3113789.602768329,3192521.0323702134,3268764.705756486,3250590.5150846946,3224107.732363786,3195461.317625389,3164601.241320596,3131531.7625854826,3096298.47116804,3058980.9014894357,3019687.3396759746,2978550.350181648,2935722.454027731,2891371.8135741767,2845677.963842861,2798827.6968943872,2751011.2137244754,2702418.63903227,2653236.96488285,2603647.458755254,2553823.5443012305,2503929.1413043276,2454117.435277762,2404530.0364917447,2355296.4821881815,2306534.033393088,2258347.718159651,2210830.575450396,2164064.0575117776,2118118.5529653244,2073053.9975235797,2028920.5439372587,1985759.267286451,1943602.8859114808,1902476.4820626779,1862398.2096989986,1823379.9797787205,1785428.1158769594,1748543.975062751,1712724.530708446,1677962.915325008,1644248.922657907,1611569.4691778007,1579909.0157938201,1549249.951137629,1519572.9381427371,1490857.2259015474,1463080.9289446948,1436221.2761726072,1410254.831694209,1385157.6898060285,1360905.6462880708,1337474.3481101126,1314839.423541216,1292976.5945424691,1271861.7732031518,1251471.1438576004,1231781.2323969956,1212768.964169406,1194411.711744376,1176687.3337063363,1159574.205534977,1143051.2435309356,1127097.9226520057,1111694.2890386195,1096820.9679275535,1082459.1675794597,1068590.6797787002,1055197.8774027557,1042263.7095028423,1029771.6942869708,1017705.9103511325,1006050.9864632535,994792.0901676576,983914.9154446791,973405.6696304441,963251.0597753815,953438.2785964414,943954.9901570249,934789.3153900004,925929.8175626824
E,0.0,1040.3806095510377,1691.559887539558,2102.383472327653,2363.928259303115,2532.2622948848207,2642.054383415218,2714.8182455007177,2763.947820887223,2797.8094911437815,2821.6482891481364,2838.7663783404228,2851.2533766130373,2860.4399522086615,2867.1801742202606,2872.027688120243,2875.345937209316,2877.377333675953,2878.286823857457,2878.189441755427,2877.167821115654,2875.283388747603,2872.5835656120234,2869.1064335733117,2864.88378429475,2859.943128575103,2854.3090326682163,2848.004015143146,2841.0491540365983,2833.464501016478,2825.269365550128,2816.4825104989945,2807.122286668783,2797.20672482579,2786.75359778232,2775.7804612440036,2764.304679494231,2752.343440216707,2739.913761538661,2727.0324935289373,2713.7163157864325,2699.981732325976,2685.845064658284,2671.3224437329045,2784.5805447010284,2998.905393433845,3295.338381351327,3661.551878300021,4090.6807820679815,4580.291837912857,5131.561385276482,5748.672017400675,6438.409953388702,7209.93440413206,8074.689273853698,9046.430935934028,10141.350541127566,11378.273741916611,12778.924054909307,14368.237987714914,16174.720400081627,18230.827315923816,20573.36055417633,23243.854132797154,26288.926511049336,29760.565574839362,33716.30523378392,38219.24425850993,43337.85056812804,49145.4890043429,55719.60949561919,63140.53745268485,71489.82122908867,80848.1140284168,90341.8379977355,100004.22556475454,109849.86406918387,119835.98684784811,129887.48341974546,139911.0820090722,149804.35884600066,159462.13470295718,168781.37567451215,177665.05759764707,186025.17186829238,193784.94657554687,200880.3333771683,207260.81905782106,212889.63765592454,217743.473629608,221811.75468730414,225095.634019408,227606.75676040724,229365.8962316521,230401.53357056004,230748.44123242638,230446.3177181441,229538.50855498997,228070.83755232528,226090.56293540957,223645.4652077598,220783.06745479265,217549.98414530055,213991.39113320102,210150.6073118178,206068.77702860167,201784.64174371617,197334.38934443909,192751.56986439196,188067.0669808386,183309.1154755096,178503.3557656929,173672.91758161745,168838.52583764523,164018.62268539253,159229.50062390466,154485.4423609237,149798.86386204694,145180.45768795765,140639.3343042718,136183.15955676723,131818.28694142,127549.8836693902,123382.04983805877,119317.93027677338,115359.8188464069,111509.25514117745,107767.11367506048,104133.68573871281,100608.75419080851,97191.66150423561,93881.37142641065,90676.52463725582,87575.48880093984,84576.40341069625,81677.21982193139,78875.73685912948,76169.63236817876,73556.49106886133,71033.82904333633,68599.1151762824,66249.7898415777,63983.28110947687,61797.01872757624,59688.44610873199,57655.03053972261,55694.27180597964,53803.70941024788,51980.928546639,50223.5649762368,48529.308936201924
I,5019.204844089005,3363.6259077677414,2338.9424232255183,1705.3292460982216,1314.2001487583207,1073.403859513855,925.755377659882,835.7580707522452,781.3774796883871,748.9389678437985,729.9604314143968,719.1851176448813,713.3593771934945,710.4731044342461,709.2876916574489,709.0427022974659,709.2736582715945,709.6989144471033,710.1494857823643,710.5255720440491,710.769668768689,710.8499750064768,710.7501864038124,710.4632420087742,709.9875140870457,709.3245032475668,708.4774576155846,707.450556397434,706.2484358513816,704.8759211073188,703.3378802051725,701.6391494420121,699.7844992868547,697.7786225060323,695.626133705929,693.3315740873209,690.8994179610938,688.3340792083767,685.6399168180395,682.8212391717684,679.8823070378273,676.8273353807567,673.6604941572778,670.3859082855943,667.0076569680641,673.9757366475811,696.1156856844847,735.1159692489487,791.1032508940148,863.6028185958007,952.0982014122532,1056.339172818929,1176.498979355344,1313.2468881327939,1467.7780049324558,1641.8260593574137,1837.6742369106419,2058.172407846203,2306.7649532545506,2587.530880230628,2905.2363920678663,3265.3990848215203,3674.3621729038578,4139.376399035798,4668.686423282717,5271.617429125971,5958.656392659324,6741.5209402085675,7633.207028831308,8648.004946324456,9801.471541052411,11110.345436480495,12592.391613486878,14266.162553410286,16150.665515483492,18187.430199178536,20339.981543385038,22585.064803137466,24903.609741101107,27276.713927755663,29684.107006776732,32103.85589673004,34512.68863313624,36886.61086935538,39201.634026233034,41434.508275842585,43563.39480291589,45568.43752144306,47432.2123638374,49140.04566370342,50680.2033245529,52043.95994786871,53225.56219790576,54222.10370107689,55033.330045555296,55661.392322709624,56110.56649945694,56386.95406774855,56498.17717765955,56453.07906250888,56261.43818964166,55933.70234708177,55480.74688593006,54913.65962501991,54243.553502725,53481.406924696945,52637.93088535763,51723.46130639826,50747.87460445048,49720.52423867718,48650.19586472392,47545.07870437373,46412.75080388637,45260.17597566025,44093.71037857246,42919.1168767293,41741.585512222155,40565.758625493734,39395.75935016046,38235.22239271229,37087.32617816742,35954.82559855162,34840.08474106981,33745.109096875545,32671.576859815366,31620.86901821162,30594.098022685546,29592.134880396858,28615.634582140374,27665.05981475559,26740.70294849875,25842.706318561897,24971.080842879466,24125.723035726987,23306.430489276303,22512.915904017722,21744.819754486216,21001.72167964158,20283.150688072685,19588.594267369564,18917.50648491177,18269.31516427346,17643.42821770868,17039.23921097091,16456.132232215074,15893.486132070157,15350.678197268486,14827.087315561126,14322.09668510495,13835.096117125115,13365.483976472664
A,7919.980850457947,7603.181616439629,7432.870603240493,7353.1282724753,7329.416750607787,7340.29420796014,7372.388094764708,7417.31994808235,7469.8135898800765,7526.526649928802,7585.326556889709,7644.840670997091,7704.175990264464,7762.744004454298,7820.150897482237,7876.128458324251,7930.4904156069715,7983.104695761754,8033.875687800298,8082.732820967698,8129.623143288671,8174.506449417693,8217.352043086752,8258.136555276362,8296.84244990863,8333.456981468831,8367.971452767804,8400.380674274495,8430.682560431502,8458.877820211397,8484.969713321512,8508.963852710925,8530.868040135034,8550.6921256037,8568.447884286836,8584.14890632934,8597.810496327313,8609.44958012883,8619.084617269176,8626.735517814604,8632.42356272502,8636.17132709198,8638.00260578939,8637.942341208083,8636.016552844714,8648.735324841122,8688.512322493503,8764.826162740059,8885.190708458362,9055.93626208454,9282.826942891235,9571.547608983019,9928.093699323457,10359.09369510911,10872.089017980445,11475.791375144821,12180.33338328799,12997.524899105556,13941.124785638991,15027.135682262058,16274.127516242941,17703.593781246494,19340.34280289829,21212.924112093897,23354.08746358621,25801.268800077116,28597.09343324386,31789.88181186299,35434.137482108104,39590.990356420705,44328.561512798704,49722.2089818396,55854.60812006784,62815.616214739064,70701.87007027386,79493.77933842754,89176.81171951251,99738.89246447937,111162.92906336073,123422.85181621698,136481.6369714011,150290.56773618615,164789.34758481846,179906.83938432287,195562.27200628704,211666.78528951295,228125.19889177763,244837.90163301834,261702.76964936013,278617.03510524705,295479.0419775805,312189.84065066534,328654.5878195512,344783.73173663777,360493.9746386879,375709.013985258,390360.0718541945,404386.227556712,417734.5724373468,430360.2081552149,442226.110769445,453302.8829398613,463568.4157532215,473007.4803176883,481611.2675238744,489376.8924068153,496306.87748488225,502408.62739531754,507693.9051628054,512178.31857690465,515880.82344829856,518823.24898064736,521029.849141487,522526.88274107734,523342.2239255039,523505.00394882035,523045.284395256,521993.7614618268,520381.50046896783,518239.6994271198,515599.4802362631,512491.7059198648,508946.8221823577,504994.7215191005,500664.6280900051,495985.00158408686,490983.45834469254,485686.7080877391,480120.5046225937,474309.6090727523,468277.7641875324,462047.6784335634,455641.0186535145,449078.4101773368,442379.4433668301,435562.68566647597,428645.698321391,421645.05700640846,414576.37568833196,407454.3331161535,400292.7014014299,393104.37621312717,385901.4081681964,378695.0350511328,371495.7145430177,364313.1571833135,357156.3593262499,350033.6358882876,342952.6527141655,335920.4584167028,328943.5155701211
IH,0.0,694.4468034801048,836.6305164900434,770.8678033570259,648.0461280298225,528.2707439506765,430.9236214016263,358.4542217443183,307.2607684752267,272.369135972492,249.2281985462078,234.23139128578873,224.72335747906394,218.8343946185544,215.2868593359209,213.22636161257736,212.09093835141238,211.51590395633946,211.26733233195904,211.19678787455393,211.211109840139,211.2525389764572,211.28579769527542,211.289771018824,211.25219409543342,211.1662850149884,211.02862583900367,210.83783876641095,210.59376546116465,210.29696274107766,209.94839587188193,209.54925440952883,209.10084342200742,208.6045206213655,208.06166111199772,207.47363848207138,206.84181535294172,206.16753922843935,205.45214116974043,204.6969358531186,203.90322219369284,203.07228409308954,202.20539108952278,201.3037988154427,200.3687492379433,199.4014706935691,199.8484597413298,203.15065439054746,210.31198213073367,221.88666017573217,238.1052888279017,259.01968747376884,284.62293755455346,314.93531049220854,350.060241654519,390.2183791985916,435.7675552612028,487.2149611152669,545.2260396678233,610.6330892841628,684.4454135810992,767.8620209356893,862.2872956536368,969.3496453613766,1090.922802657281,1229.1491654272345,1386.4642570439137,1565.6210468487147,1769.7124787017017,2002.1901115552937,2266.876298296819,2567.9668542452855,2910.020752968432,3297.93311447181,3736.8877171278555,4232.285576093575,4778.924204765199,5368.975777754089,5995.038118328665,6650.515558244935,7329.266800350534,8025.20418743747,8732.038686612395,9443.188365921187,10151.81476440819,10850.943080563728,11533.627838305616,12193.134463504823,12823.115454997032,13417.766727039056,13971.95523962607,14481.31340171981,14942.29910294112,15352.222737304146,15709.244341245045,16012.345083781249,16261.277925861341,16456.50241615275,16599.10841582775,16690.73314163559,16733.475369173553,16729.8100170754,16682.505693121173,16594.5471659076,16469.06415862203,16309.26736160535,16118.392135978374,15899.650033215963,15656.187982042633,15391.054788162488,15107.174446115278,14807.325667182948,14494.126973922565,14170.02669218676,13837.297177785586,13498.032640544317,13154.149967707695,12807.391996693974,12459.33274028728,12111.384122471998,11764.803837976286,11420.70400153296,11080.06030272312,10743.72142829083,10412.418555582542,10086.774758100015,9767.314197077103,9454.471001650323,9148.597764836175,8849.973603459093,8558.811747730048,8275.266640707192,7999.440539724728,7731.389621389806,7471.129599235634,7218.64086887378,6973.873199775235,6736.749995865993,6507.172149159796,6285.02151185302,6070.164012835136,5862.452444560784,5661.728945803796,5467.827205068947,5280.574408456714,5099.79295462877,4925.301958263693,4756.918562069172,4594.459076065293,4437.739961502262,4286.578675447261
IN,961.1321328411583,1897.2628970121873,2492.014311597654,2875.0772260996696,3126.8445811611036,3297.165190002949,3416.9450463694543,3505.3357962826203,3574.193622525825,3630.846901170585,3679.8148108307137,3723.874729540417,3764.7251686217282,3803.3974127213733,3840.5110033136084,3876.432183977454,3911.3720547172097,3945.447280982604,3978.717560988743,4011.2086809555417,4042.9266455029483,4073.8662914738616,4104.016500424364,4133.363320992518,4161.8918126168655,4189.587111679707,4216.435028554929,4242.42236470935,4267.5370652155725,4291.768276525322,4315.106351385879,4337.542825678295,4359.070381562762,4379.682805055642,4399.374942436148,4418.142657699423,4435.982792026785,4452.893125557947,4468.872341394691,4483.919991601272,4498.036464909794,4511.2229558389145,4523.481434962398,4534.814620103457,4545.225948272519,4554.719548205266,4565.300520629315,4579.845855518937,4601.481031130921,4633.274479401876,4678.123911900793,4738.75276422474,4817.765712725295,4917.732854968314,5041.285592645287,5191.215730233461,5370.574444100887,5582.770751430481,5831.670716897991,6121.69940718717,6457.9478751119905,6846.287427537981,7293.493213977605,7807.378813874911,8396.94300796144,9072.529274450184,9845.997720624204,10730.90810438212,11742.71128055973,12898.944797652868,14219.426470453083,15726.437599655788,17444.885189837132,19402.430186673966,21629.566639467357,24159.63509110861,27013.912285021746,30206.13686227348,33745.23701627349,37636.25691933795,41880.489889133285,46475.31401191018,51413.975590376926,56685.4402374302,62274.36589761677,68161.21600441479,74322.51005374899,80731.19639144058,87357.12478209025,94167.5927200967,101127.9384972136,108202.15506707744,115353.50117903223,122545.08959957924,129740.43607713468,136903.95668608308,144001.40503913397,151000.2443890839,157869.95272840853,164582.2615732332,171111.3311700877,177433.86640758134,183529.178792945,189379.20052202887,194968.45699450132,200284.00416851655,205315.33697298096,210054.2746572106,214494.8285067214,218633.05683202742,222466.9115789708,225996.08034147657,229221.82700148653,232146.83369133912,234775.04628144574,237111.52514728115,239162.30256785534,240934.2477539423,242434.9401975726,243672.55177251145,244655.73779562066,245393.53707757907,245895.28084456112,246170.5102962304,246228.90247593564,246080.20406262702,245734.1726473081,245200.52502665645,244488.8920299532,243608.77939013092,242569.5341733715,241380.316292333,240050.0746441131,238587.52743406256,237001.14626937345,235299.1436310087,233489.4633582155,231579.773805931,229577.46336133467,227489.63803122987,225323.12083654563,223084.45277381604,220779.89512586582,218415.4329250027,215996.77939173614,213529.38119038488,211018.4243599087,208468.8407939317,205885.31515825694,203272.29214726284,200633.98399248224
D,10173.0,10173.0,10178.011745250486,10184.049614524876,10189.612881621602,10194.289758364319,10198.102229497741,10201.212157287831,10203.799081490435,10206.01654824145,10207.982205966056,10209.78085812212,10211.471279990157,10213.09308343698,10214.672386894605,10216.22608818513,10217.764919093035,10219.295555777699,10220.822042503165,10222.346735314899,10223.870919015138,10225.395206075409,10226.919792125143,10228.444618199348,10229.969472948585,10231.494056509351,10233.01802007385,10234.540990167407,10236.062583371904,10237.582415126537,10239.100104888988,10240.61527908316,10242.127572717845,10243.636630220366,10245.142105816501,10246.643663656008,10248.140977801675,10249.633732150176,10251.12162032297,10252.604345547637,10254.081620539631,10255.553167388529,10257.018717449684,10258.478011240564,10259.9307983404,10261.376837291557,10262.815895501171,10264.25817958097,10265.724295231834,10267.24209338755,10268.843424705814,10270.561804061033,10272.431120302355,10274.485212348456,10276.75806541461,10279.28441119762,10282.100573787468,10285.245459708825,10288.761635829298,10292.696471443853,10297.103342452076,10302.042908785366,10307.584483485067,10313.807514877666,10320.80320332616,10328.676271713062,10337.546904367859,10347.552862521006,10358.851775276144,10371.623593168331,10386.07317624924,10402.43297006569,10420.965700896439,10441.966996624808,10465.767812670105,10492.736515202914,10523.280448918775,10557.769412746731,10596.516713071665,10639.782235593259,10687.778265807938,10740.672768154445,10798.589773127345,10861.607923971127,10929.758362860299,11003.02287955815,11081.332927462156,11164.569835242319,11252.566328897085,11345.10932521582,11441.9438535474,11542.777898662574,11647.287924913922,11755.124833637852,11865.920115583871,11979.291982689336,12094.851294101854,12212.20712611571,12330.971871536747,12450.765788577526,12571.220951061574,12691.984579442196,12812.721755384882,12933.11754128917,13052.878540297193,13171.733942414816,13289.436108842567,13405.760750021907,13520.506753803671,13633.495719072871,13744.571247605785,13853.598043321683,13960.460863789733,14065.063364164811,14167.326868896838,14267.189101774578,14364.602900265902,14459.534935800471,14551.964457671522,14641.882074647276,14729.288585194128,14814.193864421277,14896.615813446104,14976.57937482905,15054.115616008286,15129.260881247468,15202.056011462333,15272.545630381876,15340.777494796725,15406.801906122048,15470.67118012805,15532.43917144363,15592.160849296033,15649.891920892305,15705.688498859805,15759.606809228711,15811.702936546519,15862.032602852581,15910.650977400923,15957.612514194261,16002.970814575774,16046.778512312365,16089.087178790474,16129.94724612965,16169.4079461979,16207.517263684564,16244.321901549896,16279.867257324933,16314.197408879994,16347.355108415266,16379.381783552217
R,0.0,341.80060268844727,1013.469125697444,1758.9433433130187,2481.060414878777,3152.502388670022,3773.929978670073,4355.1535693804435,4907.268907075002,5439.818799402428,5960.1238912996,6473.451797447991,6983.434979788353,7492.497703578717,8002.210840110396,8513.560219860412,9027.13899843045,9543.280885685339,10062.150247853828,10583.801996925891,11108.220881052757,11635.347001141645,12165.092250844173,12697.350842890966,13232.006017662878,13768.934305820108,14308.008234157478,14849.09804640914,15392.072804107038,15936.801099234972,16483.15152493722,17030.992996073513,17580.194976892486,18130.627651327944,18682.162057764,19234.67020159048,19788.02515358047,20342.101138862425,20896.77361926813,21451.91937063455,22007.41655592147,22563.144794589385,23118.985228446185,23674.820584044337,24230.535231647842,24786.015240762918,25341.80775447188,25899.671390837073,26462.47897403798,27033.945173959204,27618.371626923716,28220.471569351113,28845.280218270378,29498.13719217599,30184.723391427975,30911.13721546068,31683.99925244563,32510.578718944296,33398.93829273669,34358.09647136605,35398.20831575596,36530.766567743376,37768.82580992957,39127.25267137067,40623.00513319721,42275.44377306712,44106.67729137242,46141.94384447182,48410.028512892364,50943.715590289954,53780.272232040086,56961.95731132092,60536.546095342324,64557.857634911685,69086.26769739893,74189.18590378868,79936.58022256022,86396.00706022154,93631.31057402246,101702.4918582869,110665.61835849861,120572.49632891979,131470.12584362863,143400.0378611185,156397.61504538453,170491.476814117,185702.98419808928,202045.89787920317,219526.20469598664,238142.11388777953,257884.21393288826,278735.77352421364,300673.16555142996,323666.3904823107,347679.67483699525,372672.1211279082,398598.38732339995,425409.37625274464,453052.9181190614,481474.4321920398,510617.5566331947,540424.7381308505,570837.7755015896,601798.3135973283,633248.2857194282,665130.3042822946,697388.0007034653,729966.3164503811,762811.7478769773,795872.5479698147,829098.888427712,862442.9856533417,895859.1942699536,929304.0717180504,962736.417358718,996117.2893321526,1029410.0022081658,1062580.108233445,1095595.3647387195,1128425.6900260006,1161043.109817927,1193421.6961225036,1225537.5001502836,1257368.480719343,1288894.4293973548,1320096.8934601126,1350959.0975919408,1381465.8651150635,1411603.5394115052,1441359.90609154,1470724.1163661117,1499686.6119959475,1528239.052116225,1556374.2421715904,1584086.0651410534,1611369.4151848548,1638220.1338049409,1664634.9485763658,1690611.4144780275,1716147.8578269656,1741243.322800393,1765897.5205131443,1790110.7806048489,1813884.0052804055,1837218.6257389097,1860116.5609196958,1882580.1784893426,1904612.2579900806,1926215.9560678077,1947394.773696699,1968152.5253169846
G,569998.0,569998.0,570082.8046466551,570220.6889336571,570392.0607238149,570584.7518398428,570791.1643846213,571006.5264226794,571227.8196685635,571453.1176183443,571681.1757377733,571911.177031482,572142.5736736737,572374.9881697801,572608.1514921241,572841.8642308458,573075.9721054435,573310.3504608045,573544.894401585,573779.5124777278,574014.1226159539,574248.6494787165,574483.0227355588,574717.175921453,574951.0456755423,575184.5712284069,575417.6940531172,575650.3576252153,575882.5072558017,576114.0899741126,576345.054443858,576575.3509027224,576804.9311178095,577033.7483520535,577261.7573381326,577488.9142574419,577715.1767223964,577940.5037608277,578164.8558015887,578388.1946607328,578610.4835278143,578831.6869519935,579051.7708277242,579270.702379877,579488.450148206,579715.4299352263,579959.88000466,580228.4932453085,580526.957682648,580860.4017464044,581233.7555241713,581652.0449906148,582120.6370565338,582645.4517984707,583233.1558886234,583891.3488272772,584628.7514393295,585455.4043405371,586382.8826839142,587424.5323736141,588595.7319657808,589914.1835359861,591400.2347508621,593077.2331073169,594971.9116687375,597114.8035135529,599540.6794138339,602288.9999088687,605404.3689142232,608936.9713776684,612942.9724425124,617484.850435677,622631.6312571664,628458.9880659251,635049.1683133907,642413.2114138043,650564.8656595459,659519.0684022477,669287.2709503326,679874.8021242195,691279.3878729192,703490.405266648,716488.6578909302,730246.5507184523,744728.5799817858,759892.0680595278,775688.0794139729,792062.4577286139,808956.9291982676,826310.2231103193,844059.1682301032,862139.7315427139,880487.9740333682,899040.905918272,917737.2307114118,936517.9735125216,955326.9938318939,974111.3871276176,992821.7820859975,1011412.5426340047,1029841.8848629603,1048071.9196010545,1066068.6314303996,1083801.804622874,1101244.9058741664,1118374.932937166,1135172.23736799,1151620.3286591975,1167705.6660901527,1183417.4437073995,1198747.3729816964,1213689.4668883334,1228239.8284324496,1242396.4459951527,1256158.997309527,1269528.66338557,1282507.9532853523,1295100.5402987008,1307311.1097792636,1319145.218664437,1330609.1665138942,1341709.8777541467,1352454.7947048473,1362851.7808810382,1372909.0340094017,1382635.0081614035,1392038.344388215,1401127.8092381025,1409912.2405436756,1418400.4998815476,1426601.43112847,1434523.8245641221,1442176.3860000246,1449567.7104453077,1456706.2598523507,1463600.3445178624,1470258.107747184,1476687.5134210212,1482896.3361341034,1488892.1536041868,1494682.3410771897,1500274.067479978,1505674.2930963635,1510889.7685641958,1515927.0350120885,1520792.4251733164,1525492.0653318532,1530031.8779714373,1534417.5850130531,1538654.711539376,1542748.5899166425
H,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2942037.415805789,2844176.390324122,2746315.3648424544,2648454.339360787,2550593.3138791197,2452732.2883974523,2354871.262915785,2257010.2374341176,2159149.21195245,2061288.1864707828,1963427.1609891155,1865566.135507448,1767705.1100257807,1669844.0845441134,1571983.059062446,1474122.0335807786,1376261.0080991113,1278399.982617444,1180538.9571357765,1082677.9316541092,984816.9061724419,886955.8806907746,789094.8552091074,691233.8297274401,593372.8042457729,495511.77876410563,397650.7532824384,299789.7278007711,201928.70231910385,104067.67683743656,6206.6513557692815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
