series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,4804.1049388128795,4803.656365626055,4803.244219362199,4802.848219835151,4802.454624494125,4802.053931727683,4801.639379816436,4801.20596461366,4800.749795725992,4800.267673702896,4799.756811558581,4799.214650550795,4798.638737498301,4798.02664225388,4797.375901356076,4796.683978724291,4795.948237427775,4795.165918630195,4794.3341251671245,4793.449808101872,4792.509755187572,4791.510580546392,4790.44871512927,4789.320397687191,4788.121666097177,4786.8483489623795,4785.496057458539,4784.060177436934,4782.535861822184,4780.9180233654215,4779.201327831673,4777.380187716295,4775.448756599828,4773.400924264277,4771.23031270686,4768.93027319975,4766.493884556334,4763.913952775755,4761.183012247962,4758.293328710635,4755.236904157084,4752.005483899922,4748.590565998674,4744.983413259902,4741.17506801551,4737.156369877938,4732.917976659597,4728.450388627482,5503.210891928916,6276.84759196353,7049.254490273465,7820.272908556491,8589.679929076647,9357.17675081951,10122.374847718856,10884.778260175273,11643.76062915973,12398.535717041892,13148.120209217723,13891.287637132902,14626.512410073728,15351.903320871768,16022.35772787593,15941.323367874236,15846.987856235599,15737.018362881074,15609.329904469629,15462.048150096103,15293.546234149506,15102.516928952362,14888.05509145321,14649.732200234148,14387.649689787477,14102.462583428929,13795.36995598911,13468.07353794167,13122.709611858878,12761.761767516326,12387.96297192768,12004.195011274638,11613.392092185408,11218.453691448483,10822.169974631617,10427.161502010978,10035.83362732109,9650.345008558192,9272.58897463728,8904.186083973296,8546.48601799996,8200.576921604652,7867.30038635082,7547.270431683198,7240.89504246474,6948.399043911384,6669.847319414825,6405.1675903991,6154.1721721465165,5916.578290812546,5692.026692630979,5480.098396535343,5280.3295373899755,5092.224320907179,4915.266165791093,4748.927146560128,4592.675874711509,4445.983969096502,4308.331271013322,4179.209957732881,4058.127701765488,3944.61001365355,3838.201894640116
E,0.0,0.44857318682462044,0.7709845031593303,1.0127522215249938,1.2037512636209533,1.363639274803063,1.5054015892671078,1.6376683137605308,1.7662293895751175,1.8950255647644205,2.0267967945989174,2.1635066756993924,2.3066204354424866,2.4572871553682636,2.6164593629184942,2.7849716560613578,2.9635925255350752,3.153058634718235,3.354097609052239,3.5674432882117784,3.793846020883018,4.03407968300978,4.288946511535714,4.559280459646823,4.845949526095623,5.1498573444540545,5.471944208076731,5.81318763353522,6.174602516486081,6.55724090099177,6.962191360772216,7.390577975186306,7.843558871643343,8.322324298167791,8.828094184076697,9.362115142631072,9.925656866786934,10.520007867659556,11.146470504998918,11.806355259905384,12.500974202294788,13.231633609387934,13.999625696908076,14.806219431885268,15.652650405148721,16.54010975288107,17.46973213012652,18.442582754961048,19.459643560163336,21.3970494214381,24.176688114747176,27.78875324193532,32.28963956221598,37.80034360802405,44.50738217871723,52.66739380200612,62.61607710979331,74.78185440939318,89.70452112258616,108.0590430966294,130.6844846081196,158.61767554255394,193.13053300775445,235.53004199039606,282.74888108070866,336.15579613013585,396.5978751088847,464.54209760344645,540.1145608452982,623.0964989767687,712.9108245908207,808.6192722571953,908.9413162035451,1012.2990049672367,1116.8859973085791,1220.7546463789197,1321.9123707847868,1418.417888426673,1508.4688842827882,1590.474768771523,1663.1107217985832,1725.351677112445,1776.4869393448032,1816.1175896709199,1844.1397176345954,1860.7168953139321,1866.245302046562,1861.3146338647393,1846.6674978756805,1823.1594826882967,1791.7215737749605,1753.32608947983,1708.9568750361186,1659.5841217316206,1606.1438804932275,1549.5221116483078,1490.5429494866498,1429.9607532523928,1368.4554561072243,1306.6307010952596,1245.0142593896933,1184.0602531850886,1124.1527466838647,1065.6103180443158,1008.691278389924,953.5992575698198,900.4889277965588,849.4716838643614,800.6211413255538,753.9783512567928,709.5566619600822
I,0.34318929728793685,0.3157341535049019,0.3037289162487367,0.30221002797134433,0.3079558937017606,0.3188853272828769,0.3336644401208526,0.35144971799375635,0.3717201120210936,0.3941673262140931,0.4186241611802849,0.44501774790166604,0.4733390630957669,0.5036230967928422,0.5359359904600446,0.5703667375202717,0.6070218708641922,0.6460221064957339,0.6875002685152856,0.7316000534380629,0.7784753440059888,0.8282898820630304,0.8812171749608542,0.9374405522692534,0.9971533170833762,1.0605589540483353,1.1278713676977443,1.1993151320086246,1.275125736639089,1.355549818072269,1.440845365453111,1.5312818916767528,1.6271405605342888,1.7287142606211217,1.8363076163848504,1.9502369262173662,2.0708300169402407,2.1984260034405327,2.3333749416248533,2.476037362308071,2.6267836731731933,2.7859934155648864,2.9540543626462004,3.1313614453936056,3.3183154930685386,3.5153217752249706,3.7227883330338085,3.9411240887679146,4.17073672373677,4.4120303168251285,4.6912628072020714,5.030283603551786,5.448904423080904,5.967018279096207,6.606501694344501,7.392991875001197,8.357657665023208,9.539092916442641,10.985462092439404,12.757025236483996,14.929164056734773,17.596020627367288,20.874839720655462,24.91106645285342,29.877126368445545,35.84102422062459,42.905765199711446,51.1911420506577,60.8211614273435,71.91363510654719,84.57048629045586,98.86843376276012,114.85033691519268,132.51779211171143,151.82564602333701,172.6789876238541,194.93295380529975,218.39539791328573,242.83218811412223,267.97467211546035,293.5286944200176,319.1844889785962,344.62678452896336,369.54453338112165,393.63978524767913,416.6353557370973,438.28106809214825,458.3584651681859,476.683989487539,493.11070916029087,507.52872597652936,519.864440379547,530.0788687901588,538.1652149007223,544.145891275414,548.0691739330614,550.0056532993166,550.0446223486684,548.2905188345585,544.8595147220549,539.8763233913327,533.471274622345,525.7776892580579,516.9295699935243,507.0596119841174,496.2975268053901,484.7686655324234,472.59292108281136,459.88388619932255,446.74824124247783,433.2853450346423
A,1.9804297575749763,1.8203002043334684,1.7495995326620455,1.7395863629765729,1.7716040650613174,1.8335981642621904,1.9178404785141807,2.019441686842579,2.1353792269168803,2.2638621100211833,2.403916054674866,2.5551127165523284,2.717393177536788,2.8909531037591267,3.0761682582729177,3.2735464267916,3.483696635966582,3.707309696211756,3.9451461624534585,4.19802915390809,4.466840354909209,4.752518094344949,5.056056776991025,5.378507184973929,5.720977326925815,6.084633615628481,6.4707022214044665,6.880470490834009,7.315288346825471,7.776569602057142,8.26579312688878,8.784503817344333,9.334313310232949,9.916900391930232,10.534011045480598,11.187458077988088,11.879120267088789,12.610940961913803,13.384926070583479,14.203141363123859,15.067709015959949,15.980803322014127,16.944645489125676,17.961497449223355,19.033654601652074,20.16343741651105,21.353181828043947,22.605228354271226,23.921909887404084,25.305538110344628,26.907618250164955,28.854087346890555,31.259027695168122,34.23691262772747,37.913589460227534,42.436531002142374,47.985042718216555,54.781168567645416,63.10204467162724,73.29443383113114,85.7921422691413,101.1369603323208,120.00365024550828,143.2292767694237,171.80606312477187,206.12302895515018,246.77110967257192,294.43788801581684,349.8349712921796,413.6379286159719,486.43040586666405,568.6504646266579,660.5407729088324,762.1060487137302,873.0815888094278,992.9161127279367,1120.770841723885,1255.5350834120532,1395.856964104381,1540.1866235575187,1686.8283224235665,1833.9975509795586,1979.8793145873906,2122.684198623222,2260.6994578897607,2392.333116181439,2516.1498069990116,2630.8977701157964,2735.527000393302,2829.199005923727,2911.2889692007748,2981.3813253892163,3039.2598902280897,3084.8937042500556,3118.4197282632254,3140.123445085208,3150.418310236739,3149.824863284272,3138.95017285407,3118.4681506405473,3089.101139327558,3051.6030605468213,3006.7443044261477,2955.298453168766,2898.030857624745,2835.689027352596,2768.994750070418,2698.637824173118,2625.271266486702,2549.5078449399,2471.9177807044016
IH,0.0,0.013727571891517474,0.026169737292041022,0.037962021348874955,0.04953274035088147,0.06117550590619173,0.0730966782413133,0.08544644793703465,0.09833921687992932,0.11186698492080983,0.1261081654834363,0.1411334147043382,0.15700951043269937,0.17380195894737416,0.19157677282960112,0.2104017101161129,0.23034716457486382,0.25148683134068855,0.2738982292196112,0.297663132869901,0.3228679496622774,0.349604063953407,0.37796816357961044,0.4080625581544521,0.4399954952941727,0.47388147858309476,0.5098415895239677,0.5480038146314687,0.5885033780473768,0.6314830794694337,0.6770936367176787,0.7254940318627328,0.7768518594775199,0.8313436752257658,0.8891553426531835,0.9504823756914382,1.0155302740151229,1.0845148480049387,1.157662529664837,1.2352106654173949,1.3174077862619342,1.4045138503269325,1.4968004523865264,1.5945509944461387,1.6980608110416586,1.8076372424487992,1.923599648574411,2.04627935591134,2.176019529596055,2.3131749623283886,2.4581117717112955,2.6122414002263024,2.777830019083086,2.957905364759084,3.156249605497674,3.3774683936183942,3.6271300631312053,3.91197376730889,4.2401905127318456,4.6217861850386965,5.069040622917532,5.597081475153191,6.224595780129381,6.974705534916257,7.87603523019527,8.963716030748088,10.275120213313194,11.851230622379587,13.73726293562725,15.982776497803536,18.641367291734202,21.76997734834091,25.427840940369535,29.67509894777049,34.5711359733278,40.172720668174435,46.53205109722428,53.694818984267904,61.69840709606654,70.57032314312073,80.32695362591366,90.97269536490634,102.49949457984255,114.88679646811185,128.1018846221156,142.10057077126626,156.82818185781366,172.2207833216114,188.20657418227245,204.70739029898402,221.6402561674362,238.91893187882968,256.4554095821747,274.16132223254175,291.94923598019443,309.7338057996262,327.4327815427788,344.96785831095775,362.26537075604097,379.25683560281476,395.8793503503256,412.07585882434296,427.79529610791235,442.99262648204206,457.628788480562,471.67056111859006,485.09036490361416,497.8660104833288,509.9804068148412,521.4212396328342,532.1806298141115
IN,0.013727571891517474,0.0269035201109502,0.03845180514861143,0.04905582868092115,0.05917298852214949,0.06911343878311668,0.07909162301027226,0.08926001208614825,0.09973120949084338,0.11059245193263591,0.12191513879263015,0.13376111238990662,0.14618681523394664,0.1592460608380056,0.17299189989423408,0.1874778969840748,0.20275902400655532,0.21889230520586936,0.23593730202522809,0.25395649547685156,0.27301560371968053,0.29318385942813796,0.31453426293022047,0.3371438214298086,0.36109378088457295,0.38646985461847394,0.41336245106876546,0.4418669019148385,0.47208369102221653,0.5041186840362567,0.5380833579957002,0.5740950299529882,0.6122770832513192,0.6527591897949026,0.6956775263439208,0.741174982559891,0.7894013582146917,0.8405135466544309,0.8946757012765019,0.9520593814351499,1.0128436738395707,1.077215285152189,1.145368601137742,1.2175057073618076,1.2938363660973917,1.3745779437783545,1.4599552830483247,1.5502005132041277,1.6455527926356872,1.7462579767330129,1.8525682046794352,1.9657758013573527,2.087995137691392,2.2220480901951567,2.3714388626723015,2.5404059082066506,2.7340428516978106,2.9584853914644516,3.2211664252744265,3.531146748607756,3.899533463028622,4.340002614765974,4.869446379831869,5.508767936175605,6.283848300824458,7.226425519368307,8.369682477638296,9.749588860266037,11.405460669176467,13.379994312768432,15.718882973827029,18.470060645266297,21.68260390950385,25.4053316493885,29.685164882393444,34.56533303601913,40.08353198139008,46.27014830836789,53.14666169714937,60.724323423058436,69.00318655263845,77.97153580013511,87.60573600053637,97.87049088507078,108.7194806095779,120.09632861788907,131.93583639285774,144.16541826014912,156.70666701553608,169.47698384178233,182.3912117663796,195.36321980471317,208.3073940455324,221.1400015121667,233.78040207060775,246.15209250273656,258.1835748082113,269.8090476529201,280.96892555820574,291.6101949163866,301.68661927758933,311.15880867554966,319.9941691670386,328.16674938550625,335.6570008923209,342.45146858229435,348.5424264882311,353.9274731433477,358.6090992972173,362.5942393217643,365.89381615509683
D,62.0,62.0,62.000049925020754,62.00014510024095,62.00028316214431,62.00046330493356,62.00068579063069,62.00095163175739,62.00126238705487,62.001620031326034,62.00202687396276,62.00248550953424,62.0029987895749,62.00356980847973,62.00420189887974,62.004898633483336,62.005663831424236,62.00650156784723,62.00741618591473,62.008412310712856,62.009494864729305,62.010669084701796,62.01194053971858,62.01331515050638,62.01479920987588,62.016399404317355,62.01812283675258,62.019977050457754,62.021970054175874,62.02411034843891,62.02640695311886,62.02886943622475,62.03150794395841,62.03433323203676,62.037356698281926,62.04059041647253,62.04404717144063,62.047740495388275,62.05168470538595,62.05589494200174,62.06038720899535,62.06517841399466,62.07028641005439,62.07573003797676,62.081529169252526,62.087704749457714,62.09427884191661,62.10127467141529,62.10871666772218,62.116630508643354,62.12504316231017,62.13398292836613,62.14348323964916,62.15358577070556,62.16434320748323,62.175821991081314,62.188105312632366,62.2012966144243,62.21552384798596,62.23094475424937,62.24775346397951,62.266188767784065,62.28654447315103,62.30918234938908,62.334548256875046,62.363192158758096,62.3957917847105,62.43316078149943,62.47626184405428,62.52622210961546,62.58434895496865,62.65214467706283,62.7313186620612,62.82379572186426,62.9317193912977,63.05744917765126,63.20355104687383,63.37278080106995,63.56806041596006,63.79244782251009,64.04910099290437,64.34123749445325,64.67209088501184,65.04486543210264,65.46269064866264,65.92857706319798,66.44537449842183,67.01573393973186,67.64207385258214,68.32655157354941,69.07104016851903,69.87711093451239,70.74602152756094,71.6787095329785,72.67579115902926,73.73756463081206,74.86401778698568,76.05483933535159,77.30943320110553,78.62693540015366,80.00623288549689,81.44598384362956,82.94463895671053,84.50046319182401,86.11155772822461,87.77588168475563,89.49127336076126,91.25547075330739,93.06613116027417,94.9208497221057,96.81717679419917
R,0.0,0.16068117691359268,0.30908165790301323,0.45235404173881383,0.5953608321074825,0.7414786959790534,0.8931250234130496,1.0521030155959699,1.2198281717026924,1.3974772675585945,1.5860866923596113,1.786617712055857,2.0000001500151723,2.227162001567804,2.4690499003023487,2.726643654385793,3.000966959487177,3.29309566761947,3.6041645153287116,3.9353729031442377,4.287990114151945,4.663360225740614,5.062906880647705,5.488138025461993,5.940650686297091,6.422135825604158,6.934383306570281,7.479286979317796,8.058849894253322,8.675189641146781,9.330543807015218,10.0272755410916,10.767879210708873,11.554986127580959,12.391370319553666,13.279954318323538,14.22381492881409,15.226188940817377,16.29047873813698,17.420257754806702,18.61927572202497,19.891463643270683,21.240938428701437,22.672007113444916,24.18917057786259,25.797126681393124,27.50077271529251,29.30520707361992,31.215730036333404,33.23784355353869,35.37724991597546,37.65191530831157,40.09005472046875,42.729215000862034,45.61634251995581,48.80873778730054,52.37584174128142,56.40185359980851,60.98924010488589,66.2632566970856,72.3776608113523,79.52185482416432,87.9297489213588,97.89067749692758,109.76272780689794,123.98554050845922,141.03183747785883,161.4238283741479,185.7411732411325,214.62310183248132,248.7656789826372,288.91453285288736,335.85320707733695,390.3874308636869,453.32587802684435,525.4582988500935,607.5321741059809,700.229201042276,804.1429487661719,919.7589162964905,1047.4380144052886,1187.4042092257423,1339.7367518461554,1504.367109932793,1681.0804424308385,1869.5212341613064,2069.2025418802245,2279.518197760809,2499.7572655974473,2729.120041313037,2966.7349229989,3211.6755368544736,3462.9775847299443,3719.65496833285,3980.714837747796,4245.171302405466,4512.05762709712,4780.4368114072095,5049.410516462134,5318.1263574917575,5585.783624392347,5851.637525799361,6115.002076013493,6375.251759578211,6631.822116592915,6884.209394194371,7131.96940723899,7374.715745171164,7612.11745335492,7843.896306634894,8069.82378130167
G,4994.0,4994.0,4994.013253495024,4994.036032920047,4994.065955588015,4994.101521493092,4994.141811432113,4994.186289865196,4994.234676236663,4994.286861059818,4994.342851280881,4994.4027348004975,4994.466657535524,4994.534808694269,4994.607411435679,4994.684717061976,4994.767001534321,4994.8545635196215,4994.947723450161,4995.046823256565,4995.152226551409,4995.264319116986,4995.3835096004495,4995.510230351755,4995.6449383607505,4995.788116263082,4995.940273393056,4996.101946866782,4996.273702681973,4996.456136822338,4996.649876355164,4996.855580510624,4997.073941730816,4997.305686675745,4997.5515771723585,4997.812411091501,4998.089023136322,4998.382285524177,4998.693108542637,4999.02244095865,4999.3712702585,4999.740622694745,5000.131563115072,5000.545194546831,5000.982657510138,5001.44512903174,5001.933821331567,5002.449980153943,5002.994882716013,5003.569835247001,5004.2020301627235,5004.916351983649,5005.737395491463,5006.6914217013245,5007.808266578901,5009.123276895105,5010.679382035127,5012.529429899748,5014.73892650906,5017.3893266205,5020.582027459669,5024.443217154841,5029.129717898318,5034.835931808168,5041.794877039989,5050.148945001643,5060.08096791838,5071.798805985303,5085.524116726042,5101.482283319433,5119.892225311865,5140.955811687406,5164.847189540859,5191.702671690594,5221.611948971156,5254.61134225354,5290.679627444894,5329.736707857304,5371.645129891203,5416.214188941672,5463.206185015466,5512.344275127646,5563.321329796301,5615.809221410776,5669.468035947823,5723.954789257056,5778.931330071075,5834.071212594484,5889.065414127292,5943.626852959047,5997.493726508109,6050.4317389892485,6102.235322630224,6152.727978244,6201.76187181075,6249.21682577043,6294.99883905133,6339.038260364628,6381.287726638411,6421.719964032673,6460.325533879714,6497.1105909820335,6532.094707587534,6565.308803463645,6596.7932110537195,6626.595894833721,6654.770835705186,6681.376584498168,6706.474983301304,6730.130049240405,6752.407012331968
H,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,11649.234800964683,10869.767885277808,10090.300969590933,9310.834053904058,8531.367138217183,7751.900222530309,6972.433306843435,6192.966391156561,5413.499475469687,4634.032559782813,3854.5656440959388,3075.0987284090643,2295.63181272219,1516.1648970353153,736.697981348441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
