series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,1048966.0134585877,1048790.1292027659,1048623.001106508,1048461.6468217607,1048303.9080275091,1048148.2204961552,1047993.4491775025,1047838.769581527,1047683.5822822776,1047527.4511965514,1047370.0589714898,1047211.1747073926,1047050.630586642,1046888.3049398828,1046724.1099689279,1046557.9828406095,1046389.8792221528,1046219.7685857124,1046047.6307953745,1045873.4536241344,1045697.2309454517,1045518.9614142505,1045338.6475031263,1045156.2947963803,1044971.911471225,1044785.5079148661,1044597.0964402171,1044406.691073189,1044214.3073918915,1044019.9624034499,1043823.6744480415,1043625.4631225829,1043425.349218564,1043223.3546700168,1043019.5025087001,1042813.8168243736,1042606.3227286137,1042397.0463210479,1042186.0146571894,1041973.255717284,1041758.798375745,1041542.6723708725,1041324.9082746471,1041105.5374624504,1040884.5920826169,1040662.1050257551,1040438.1098938085,1040212.6409688402,1039985.7331815481,1039757.4220795217,1039527.7437952668,1039296.7350140263,1039064.4329414316,1038830.8752710252,1038596.1001516925,1527204.2381466383,2015676.5372542688,2504009.8077713116,2992197.71645059,3480228.0263672397,3968080.8005101634,4455726.93853013,4943126.63561809,5430227.458248894,5916961.794161516,6403243.466309247,6888963.309762041,7373983.505431794,7858130.456413333,7852341.921185253,7845650.824210492,7837873.043999936,7828832.820487836,7818356.838681169,7806273.227071166,7792413.580537483,7776616.830121069,7758734.11217716,7738633.938106086,7716207.057603652,7691370.510052694,7664070.495365435,7634283.861808761,7602018.180708092,7567310.528705349,7530225.20649437,7490850.680144895,7449296.040896742,7405687.253318781,7360163.414442469,7312873.191034062,7263971.548205249,7213616.835796227,7161968.261826141,7109183.754962266,7055418.199304864,7000822.013179903,6945540.037373675,6889710.695812434,6833465.391848181,6776928.1051102895,6720215.1566303,6663435.113160585,6606688.804962581,6550069.434629795,6493662.757610368,6437547.317936197,6381794.725221036,6326469.961253519,6271631.706492753,6217332.678492628
E,0.0,175.88425582176032,306.11728064058866,403.25763739768615,476.4054643075322,532.1578789139883,575.2989503472622,609.2986379779419,636.6739470585851,659.2505503191818,678.352420530058,694.939348806198,709.7067097199186,723.1578615246531,735.6567023284921,747.4658306632771,758.7742596260723,769.7175482885566,780.392427694998,790.8674288017423,801.1906064283249,811.3951535161084,821.5034824840325,831.5301926132227,841.4842277967754,851.3704457825329,861.1907596053552,870.9449680072704,880.6313597493784,890.2471535417587,899.7888184714359,909.2523075619883,918.6332281942298,927.9269666423447,937.1287792706178,946.2338595104394,955.2373872454232,964.1345654196357,972.9206473650714,981.5909573850247,990.1409064320578,998.5660042116674,1006.8618686737007,1015.0242335853628,1023.0489546849211,1030.9320147738972,1038.669528003171,1046.257743534377,1053.6930487045681,1060.9719717837118,1068.0911843870922,1075.047503585129,1081.8378937393395,1088.4594680835169,1094.9094900626264,1101.1853744374673,1241.9836598892798,1492.2754148004333,1835.4255464077937,2264.1921670699485,2780.5525991931263,3395.232722296459,4127.412918271648,5004.878834817905,6064.766286876972,7354.985930837726,8936.386134040931,10885.705318306444,13299.362377466126,16298.119952246627,19570.375955989985,23242.89719602563,27407.48048386826,32134.221429308673,37477.06826913022,43475.18618187,50152.18854288092,57514.530058158125,65549.93639112293,74226.46968552111,83492.60197150007,93278.45372257657,103498.15561876717,114053.12800634367,124835.96487437306,135734.56661577645,146636.18327449512,157431.0911744023,168015.70994048886,178295.05469095515,188184.4956966438,197610.85757997457,206512.93016354518,214841.48509113706,222558.89994341094,229638.4888868177,236063.6297237752,241826.76461880363,246928.3379963525,251375.7216286336,255182.16464090924,258365.79549998944,260948.69416078101,262956.0453781899,264415.3785931987,265355.8955677592,265807.88385450403,265802.2120333804,265369.90123708366,264541.7666546202,263348.1223076067
I,262.24292391162396,236.56722197147337,217.100624451418,202.2760989035597,190.9438875360205,182.25799277098548,175.59384937495153,170.48855314616256,166.59742416362135,163.66241055564458,161.48908234179734,159.92986185480405,158.8717852347325,158.2275581900138,157.92900856647563,157.92228414332862,158.1643223393883,158.62024782469769,159.26144787846997,160.0641434703982,161.00832353267506,162.07694585198396,163.25533415356213,164.53071996297618,165.89189166669075,167.32892326575447,168.83296265574657,170.39606461678454,172.01105760189742,173.6714362642036,175.3712737492676,177.10514930678497,178.8680878966464,180.65550928851468,182.46318476141025,184.2871999587579,186.12392278737997,187.9699754969958,189.82221026248564,191.67768773098555,193.53365810184224,195.38754438837992,197.23692757276797,199.07953341375702,200.91322070514985,202.73597081314918,204.5458783450684,206.34114282169975,208.1200612419495,209.88102144194315,211.62249616226205,213.34303774672856,215.0412734045495,216.71590097490676,218.36568513944846,219.98945403373742,221.5860962136747,225.98452011385643,235.21081506105546,250.74320436877758,273.7630326793274,305.3775240615309,346.8108420928915,399.5702656632964,465.5992622933628,547.4312243671766,648.3580850815911,772.6278664043556,925.6849128422347,1114.4662392748123,1347.76683715664,1626.9739835960095,1956.0024411844242,2340.312293539043,2786.3017138205632,3300.875869456112,3891.0866981870813,4563.791801983198,5325.3129784954,6181.095192235307,7135.37930230741,8190.908374968829,9348.6887720639,10607.82425036704,11965.435203851172,13416.667413315048,14954.786766721505,16571.349652374298,18256.433913473495,19998.912677505286,21786.75289492612,23607.32161811542,25447.685386796897,27294.891033896587,29136.21934743715,30959.405999729584,32752.826783059096,34505.64636903398,36207.93150891696,37850.73083646091,39426.12427400181,40927.24554139975,42348.281493419396,43684.45202822077,44931.97417445159,46088.013724866854,47150.62747933257,48118.698819980295,48991.868989233284,49770.466094219875,50455.43353038673
A,2356.1138209662663,2261.8692673088126,2204.5943216040205,2174.193095570574,2163.3440846367193,2166.7363820375167,2180.5167859490075,2201.8892611616766,2228.824601702479,2259.849878513676,2293.895692788497,2330.1853341229003,2368.154330228903,2407.3920462730944,2447.599286472324,2488.557512103088,2530.106493960839,2572.1280900286683,2614.5344720341973,2657.2595837403965,2700.2529470294135,2743.4751737122688,2786.894716610871,2830.4855209914576,2874.225330062764,2918.0944655500525,2962.0749532556797,3006.149899053435,3050.303046592807,3094.5184667646945,3138.7803426294467,3183.0728234316052,3227.379928540652,3271.6854874026553,3315.9731054012263,3360.2261482982885,3404.427739939764,3448.5607693749403,3492.607904601218,3536.551610917384,3580.374172428067,3624.0577156473746,3667.58423444307,3710.935615774577,3754.093665830942,3797.0401362848447,3839.7567504576523,3882.2252292469116,3924.427316707865,3966.344805209068,4007.9595601022834,4049.2535438609452,4090.208839651332,4130.807674307446,4171.032440685367,4210.865719376149,4250.290299758731,4314.7149121453285,4423.807488783352,4593.309212680974,4836.964644364987,5168.341800342911,5602.490588209111,6157.479398717678,6855.898692203822,7726.445048777028,8805.710777309314,10140.310202249131,11789.478181876633,13828.280163180323,16351.574072014839,19391.605660279885,23003.259290099766,27256.55147016603,32231.929261686935,38016.805086082284,44702.48766775613,52381.090631242616,61142.261443197,71069.74477383103,82237.9069324531,94708.4131816832,108527.27174850536,123722.44188012817,140302.1566068249,158254.04573176522,177545.0739992026,198122.24493728398,219913.970545815,242831.974563903,266773.5824814686,291624.252102747,317260.210371499,343551.0811507447,370362.41102867865,397558.0231406118,425002.1504916515,452561.3191688933,480105.96760268096,507511.80057553045,534660.8861708036,561442.5106469481,587753.8107326069,613500.2054887601,638595.6510759525,662962.7418521004,686532.6805110791,709245.1387025974,731048.0279483912,751897.1988431223,771756.0846176288
IH,0.0,14.147795215032872,19.935427293882753,21.819501755255395,21.974940728932026,21.442383301936424,20.703784025617324,19.969795092910392,19.322242119644415,18.784014813715245,18.352796377086378,18.016922870890344,17.76251907756727,17.576456066600777,17.447368121461153,17.36581508454094,17.324105589648163,17.316016985821882,17.33651294425098,17.381496454415213,17.447607506148028,17.532063020940686,17.63253258719699,17.747042932200685,17.87390477400075,18.011656803019427,18.15902264766827,18.314877634143173,18.47822292385939,18.64816521468388,18.823900651554908,19.004701937541842,19.189907893967185,19.37891490927013,19.57116985761389,19.76616417265536,19.96342883905477,20.16253012138882,20.363065892456216,20.564662454441613,20.76697176990488,20.96966903719427,21.172450558186597,21.37503185636615,21.577146010994113,21.77854217910017,21.978984281692696,22.178249834262616,22.376128904589443,22.572423183225553,22.766945153968443,22.95951735322916,23.149971708541944,23.338148947590483,23.52389807009217,23.707075875714708,23.887546541924095,24.065181246298003,24.392532015913783,25.056247363984575,26.23070550962857,28.068047367998375,30.705140978952777,34.27741995304966,38.93486450082872,44.85836186559928,52.27629487437781,61.48204889161056,72.85354525418937,86.87610498096413,104.1700282127762,125.52428473761691,151.41371822259384,182.2902687928941,218.67763349543503,261.186498722893,310.4990056830452,367.34144072671177,432.4519871695803,506.5459537776345,590.279747664721,684.2149527723927,788.7842737535818,904.2613807151145,1030.7366705433997,1168.1006212815132,1316.03582497092,1474.0180584540901,1641.3260188376985,1817.0587191050913,2000.159080424203,2189.441999175593,2383.6251002079853,2581.360480088527,2781.265949919694,2981.954560045553,3182.061487787062,3380.2676626188363,3575.31976938653,3766.046496840203,3951.371080805762,4130.320328888564,4302.030410263074,4465.749755300716,4620.839441736503,4766.771452979806,4903.12518576486,5029.582563614785,5145.922083739404,5252.012091366189,5347.8035397265685
IN,11.527906725117704,21.46808420978473,28.910533866570365,34.472211034430885,38.61621329372649,41.691314099406185,43.961061510586035,45.625250134292344,46.83580827551482,47.7085875317994,48.33213968141538,48.7742734127627,49.08697082879072,49.31008881417345,49.47415743740763,49.602505113490466,49.712879970128505,49.81869271671322,49.92997393586767,50.05411492288479,50.196443676277546,50.360674709403376,50.549261782000926,50.763675546785606,51.00462281675898,51.27222020610312,51.56613193196978,51.885679329963295,52.229927944571706,52.59775676886879,52.98791322350259,53.399056707942194,53.829792971336985,54.27870109465515,54.74435451906831,55.225337274675816,55.72025634120925,56.22775089518262,56.746499056086016,57.275222630054934,57.81269025715216,58.35771929347293,58.909176698235164,59.46597914611605,60.02709254419938,60.59153109930875,61.158356053869774,61.72667418568773,62.295636148276365,62.86443471292141,63.43230296093695,63.99851246410323,64.5623714826757,65.12322320331,65.68044403349224,66.23344196438123,66.7816550101783,67.32454972908874,67.98602181243388,68.96196752767776,70.48628355801918,72.81258278038067,76.20822051222333,80.95754230686003,87.3719893357208,95.8055408970267,106.67478811375999,120.48365506674607,137.85339909424988,159.55903958340932,186.57379657434177,220.12346732495664,261.32600418721904,311.31747344408376,371.31749108285544,442.6589529332408,526.794719629583,625.2875458151217,739.7864017453272,871.9910455207546,1023.6064835105711,1196.289316380783,1391.5885646678375,1610.8841421117613,1855.3265101991788,2125.7810940172667,2422.7807382909155,2746.4888754118438,3096.675256599371,3472.705178093635,3873.5422284513306,4297.763780886541,4743.587815545513,5208.909208220818,5691.343364962975,6188.274997626644,6696.909893401504,7214.327696921994,7737.533962035124,8263.510010680959,8789.259432793684,9311.850353645827,9828.452869213395,10336.371296470556,10833.071098677014,11316.200523576017,11783.6071352487,12233.34953011636,12663.70460726281,13073.170816479751,13460.467838074594
D,1082.0,1082.0,1082.235956891945,1082.5684398967078,1082.9323454904563,1083.2988434950053,1083.6564595081663,1084.0017571645105,1084.3348133553363,1084.6570696593517,1084.970349409753,1085.2764373001853,1085.5769234931515,1085.8731667403117,1086.166306829057,1086.4572939893876,1086.7469210083798,1087.0358523965242,1087.324648882955,1087.6137872009274,1087.9036757537656,1088.1946669065535,1088.4870666081983,1088.7811419410089,1089.0771270770567,1089.3752280145734,1089.6756263800733,1089.9784825127483,1090.2839379944842,1090.5921177485386,1090.9031317996792,1091.2170767659807,1091.5340371356615,1091.8540863698038,1092.1772878624577,1092.503695782642,1092.8333558175073,1093.1663058319677,1093.5025764570994,1093.8421916173013,1094.1851690044418,1094.5315205058214,1094.8812525916999,1095.23436666726,1095.5908593931865,1095.9507229784601,1096.3139454485038,1096.6805108914152,1097.0503996846962,1097.4235887045995,1097.8000515199733,1098.179758572271,1098.5626773432093,1098.9487725113922,1099.3380060990805,1099.7303376101527,1100.1257241601925,1100.5241205995358,1100.9254796300183,1101.3322982157886,1101.7501862444144,1102.1876618829508,1102.6557807042414,1103.1678809659436,1103.7395596871215,1104.3889152564018,1105.1370628993864,1106.0089268098745,1107.0343242620136,1108.249375501029,1109.6982949548405,1111.4356424155108,1113.529136111182,1116.0544137114466,1119.094650342134,1122.7417553470652,1127.0978230961368,1132.276324708541,1138.4028443053478,1145.6152774270536,1154.063449531901,1163.9081336342765,1175.3194688440897,1188.4748109183301,1203.5560798833205,1220.7467034044207,1240.2282825400766,1262.177124619624,1286.7607939799354,1314.1348250700973,1344.4397256800664,1377.7983736417764,1414.3138816320666,1454.067974878325,1497.1198982779783,1543.5058445856016,1593.2388750130008,1646.3092882628766,1702.6853835831246,1762.3145574347427,1825.1246711527374,1891.0256278020083,1959.911099547219,2031.6603515847623,2106.140114434713,2183.2064626732645,2262.706664617281,2344.480973763449,2428.3643387297984,2514.1880139113973,2601.781057965359
R,0.0,95.83228289790425,196.00285893423057,297.6643038718351,399.7731466881868,502.09281941663477,604.7180419725944,707.8552739862555,811.7269912379002,916.5344022458648,1022.4466575723335,1129.6012244304525,1238.1082849657369,1348.055992699095,1459.5153115076782,1572.5440284842523,1687.1899055436675,1803.4930762374368,1921.4878314456332,2041.2039314656834,2162.667560812595,2285.9020182230975,2410.928212838794,2537.7650198229694,2666.4295347718808,2796.9372557028255,2929.302213497335,3063.537065847539,3199.653165492471,3337.6606104383122,3477.5682816246767,3619.383871896373,3763.1139089946378,3908.7637744670433,4056.337719818531,4205.838880820027,4357.269290607013,4510.6298920030595,4665.920549367288,4823.140060171832,4982.286166452597,5143.355566234701,5306.343925006386,5471.245887297209,5638.055088404814,5806.764166307201,5977.364773792681,6149.8475908365335,6324.202337251064,6500.417785633912,6678.481774637712,6858.381222582434,7040.1021414298775,7223.629651137735,7408.947994408462,7596.04055184586,7784.889857529819,7975.477615017151,8168.801742253467,8366.736603678331,8571.902098022803,8787.583182463744,9017.714934057942,9266.936443188879,9540.713209683518,9845.528686440119,10189.149104917467,10580.97055134689,11032.462838330692,11557.730753454485,12174.219618079911,12903.598579159307,13769.37125196511,14797.616783343718,16017.586722750748,17462.16793158033,19168.218235172997,21176.772833681087,23533.112661353643,26286.68328151089,29490.854873813318,33202.519766023775,37481.53255811255,42390.00763479965,47991.498162451564,54350.08813954664,61529.43378236045,69591.79209418874,78597.07302550129,88601.94771637474,99659.03967182062,111816.21915368707,125116.01429802342,139595.1460483699,155284.18831852297,172207.35007919624,190382.37237888697,209820.53063526735,230526.73077808754,252499.6868597148,275732.16743272106,300211.2981845034,325918.9088870606,352831.91355236893,380922.71368523076,410159.61561915354,440507.2540467331,471927.0149689876,504377.4523555172,537814.6938070043,572192.8314294604
G,217141.0,217141.0,217144.69524566544,217151.1266260589,217159.59887975603,217169.6079349654,217180.78832223886,217192.87508317534,217205.67616159155,217219.05238240323,217232.90292705334,217247.1547930313,217261.7551425875,217276.66574746557,217291.8589547299,217307.31475677332,217323.0186630606,217338.96015413286,217355.13155856382,217371.52723720096,217388.14299069505,217404.975629306,217422.02266066187,217439.2820632651,217456.75212234224,217474.43131102677,217492.3182045112,217510.41141817995,217528.70956318922,217547.21121474277,217565.91488961084,217584.8190303808,217603.92199461497,217623.2220475888,217642.71735764548,217662.40599346673,217682.28592275045,217702.35501192618,217722.61102663956,217743.05163281094,217763.67439812655,217784.4767938588,217805.45619694117,217826.60989224233,217847.93507499935,217869.42885338035,217891.088251154,217912.91021044907,217934.89159459103,217957.0291910049,217979.31971417638,218001.75980866334,218024.34605215178,218047.07495855037,218069.94298111816,218092.94651562048,218116.08190350802,218142.17539729073,218173.52740337243,218212.08883266538,218259.6584474215,218318.07655250837,218389.40879848818,218476.1238067446,218581.27396207856,218708.6918553336,218863.21665775767,219050.965936238,219279.66949588797,219559.0828575271,219901.49870837806,220312.66312206982,220800.98548335672,221376.80378491923,222051.92869530089,222839.30431017998,223752.6975672542,224806.37151015463,226014.72479285594,227391.8981912821,228951.3614819868,230705.50186306128,232665.23839654253,234839.68607035655,237235.8887601718,239858.63379177687,242710.35333082837,245791.11071932406,249098.66405632393,252628.5952658233,256374.49068403104,260328.1586162665,264479.8699875101,268818.6097256433,273332.3284938883,278008.18652609474,282832.7833992739,287792.36946586735,292873.03629174054,298060.88477990794,303342.1707108583,308703.42822298384,314131.5723252561,319613.98191613605,325138.5650139653,330693.80801771965,336268.81084168813,341853.3097274253,347437.68945086264,353012.9865273702,358570.88488497614
H,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6843817.304703284,6354973.212711694,5866129.120720103,5377285.028728513,4888440.936736923,4399596.844745332,3910752.7527537416,3421908.660762151,2933064.56877056,2444220.476778969,1955376.3847873784,1466532.2927957876,977688.2008041968,488844.108812606,0.016821015276946127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
