series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,920391.2744074874,917361.7261317638,914918.1063562424,912857.4943697709,911054.5820031991,909430.928493217,907936.9031589308,906540.7940300868,905222.1227029582,903967.4927693057,902767.9910624548,901617.5519133399,900511.9235221253,899448.0129746,898423.470373054,897436.4244434399,896485.3143322914,895568.7825988813,894685.6071931998,893834.6582935749,893014.8710025059,892225.2281559074,891464.749574615,890732.4854097732,890027.5120788781,889348.9298300534,888695.8613186431,888067.4508025052,887462.8637051302,886881.2863874402,886321.9260280957,885784.0105500302,885266.7885552692,884769.5292456747,884291.5223171997,883832.0778215388,883390.5259930058,882966.2170409,882558.5209090682,882166.8270051923,881790.5439027469,881429.0990187326,881081.9382702935,1210719.7089029348,1540231.9650385538,1869627.949721537,2198909.9579547998,2528071.4422790674,2857096.53377461,3185959.8157813144,3514625.6745677157,3843046.851370532,4171161.9643586795,4498891.793906514,4826134.065670331,5152756.348636726,5478586.522271709,5803400.060757365,5934175.866100867,5926280.670219088,5916793.478863266,5905345.556973425,5891538.839960562,5874927.568347725,5855010.8468824625,5831231.8800375,5802983.033967388,5769617.172180791,5730466.000420159,5684865.81640259,5632190.239748596,5571888.330802473,5503525.215093533,5426821.233478946,5341685.08828794,5248236.71186648,5146816.691919957,5037980.836622078,4922480.448200457,4801230.647657426,4675270.313058689,4545717.711168575,4413725.762145278,4280440.253370904,4146963.4309907537,4014324.4461677736,3883457.2625947515,3755185.9258218133,3630216.58448877,3509135.3330555432,3392410.788362246,3280400.2824454363,3173358.614585493,3071448.4233670523,2974751.3873574166,2883279.620158873,2796986.7775612855,2715778.5321017643,2639522.1885449784,2568055.3108003354,2501193.306949921,2438735.97611998,2380473.061394546,2326188.879646425,2275666.114833612,2228688.868546609,2185045.0626370376,2144528.2854850977,2106939.167380586,2072086.3627685064,2039787.2086191797
E,0.0,3029.548275723576,4867.258232076042,5954.418308611885,6566.446691080339,6876.810507329374,6995.473367829087,6992.487444362135,6912.66090403483,6784.758282618765,6627.307965609279,6452.285162790182,6267.4561721105365,6077.875145884579,5886.842389188578,5696.519522242706,5508.325420524826,5323.191771601205,5141.7285347570505,4964.331449049833,4791.252181532714,4622.6443324193015,4458.593796950998,4299.13896100789,4144.284266939694,3994.0094379989114,3848.2758455679186,3707.0309842408487,3570.211684063671,3437.7464716444574,3309.5573505354455,3185.561179309575,3065.670765737682,2949.795756204774,2837.843373732582,2729.7190410020485,2625.3269135436344,2524.5703408017234,2427.352267789357,2333.575586687027,2243.143445451835,2155.959518928694,2071.9282468551946,1990.9550423691735,2051.690980186444,2216.5511797876875,2462.415780263421,2779.6313563281274,3169.796628730172,3643.7383143660204,4220.314857517628,4926.25804440743,5797.076370367568,6879.0144243013765,8232.122592886848,9934.597851919027,12088.687298382356,14828.593888253099,18330.9878684144,22559.985184044683,27535.178281626544,33476.06302434789,40587.56561989824,49081.32191128553,59181.77633695616,71124.38471034003,85148.34998760576,101484.53716662498,120338.79599941206,141871.2143017807,166172.5404143036,193239.932280742,222955.05107124214,255068.01040046854,289190.5397016253,324800.79252556205,361260.63638178346,397844.344844128,433775.84275704966,468270.45126341266,500576.670256621,530013.9109934592,556003.0491223373,578087.9179694261,595947.1254571677,609396.6529232669,618384.4729180108,622978.8816271086,623352.4129057437,619763.148008612,612535.0295453053,602038.4963895133,588672.4323763102,572848.1052479042,554975.4891931262,535452.1285058612,514654.51641211624,492931.8307250673,470601.78144879086,447948.2774246081,425220.6015375273,402633.78903789824,380369.9241565712,358580.10047959466,337386.8257824386,316886.6886463387,297153.1396699341,278239.27279958216,260180.5212798972,242997.20754944376,226696.907032658
I,2526.9522995169305,1849.191825061745,1421.870051031664,1150.8070458648465,977.0834811982284,863.8243871197637,787.9761902569774,735.1605415914323,696.4430497826402,666.3010703395724,641.3450557074138,619.5144629325354,599.5727915938058,580.7911839952301,562.7508070830443,545.219954720822,528.0780533258062,511.26902283844396,494.7729382270154,478.58904133496327,462.7257454830886,447.1949106433307,432.00869663958815,417.1779484120923,402.7114720416461,388.61581237843984,374.8952993552026,361.55222617094023,348.587081096628,335.9987899025991,323.78494677068477,311.9420236193371,300.46555451470783,289.35029541629433,278.59036123249626,268.1793428410093,258.11040684163845,248.37638063716125,238.9698251429464,229.88309709712507,221.10840262622406,212.63784343743703,204.46345676539394,196.57724999830418,188.9712307420728,184.78162297052162,185.45173756085003,191.51383525108338,203.13865445517825,220.48736916330043,243.92327656395045,274.13959786093017,312.2494120118807,359.8719399635197,419.240089401238,493.34871943708754,586.1615086640123,702.8961228171473,850.4120545383837,1037.7326468181066,1270.6478736330655,1553.8387635811523,1895.7049895337655,2307.0373078000935,2800.5282913140236,3390.552503315511,4092.964903104804,4924.788701872774,5903.71307028201,7047.347631082948,8372.206750393754,9892.431947131523,11618.30740059862,13554.677181340056,15699.423262219787,18042.19681637357,20563.598761408957,23234.97190962994,26018.899078838527,28870.411644208518,31738.819955699993,34569.99967693408,37308.91998529315,39902.186061234504,42300.38672487432,44460.08019860639,46345.30615686858,47928.570255089144,49191.30018811344,50123.81489225147,50724.878453942256,51000.92754598509,50965.06722872885,50635.92701636493,50036.45978945114,49192.75289937709,48132.905780880625,46886.013232380516,45481.27943247511,43947.27548792153,42311.34323878813,40599.14027933787,38834.31558347035,37038.30151504888,35230.20604915569,33426.78839866067,31642.501608181472,29889.58675086333,28178.204890140936,26516.59474258482,24911.24583862236
A,19774.552445824746,16451.76075239058,14224.565147527792,12697.509925558226,11619.84662978084,10831.803201048102,10231.217044734107,9752.593090273696,9353.86458273602,9007.979606117686,8697.532933284998,8411.329795142727,8142.1801850177235,7885.479522127495,7638.293245467217,7398.765169830409,7165.734349839052,6938.486539095334,6716.592732598789,6499.8041818166,6287.984116061042,6081.063376946799,5879.011666234641,5681.819009329796,5489.483914993585,5302.005930364589,5119.381082832886,4941.599216986535,4768.642572644409,4600.485171480741,4437.092725432785,4278.422876229052,4124.425639054517,3975.04396570466,3830.2143708382337,3689.86758387813,3553.9292018566825,3422.3203271160182,3294.9581796176362,3171.756677592105,3052.626982971972,2937.478009901782,2826.2168958796683,2718.749435938656,2614.980480847245,2539.4190193965737,2505.7904638496284,2521.4138568560616,2590.6664727729094,2717.473570708996,2907.0208257367103,3166.9668696076947,3508.4239959262586,3946.9342754033028,4503.629124792785,5206.7384053516325,6093.615730543279,7213.470376251008,8631.042128265946,10431.522711224483,12679.425148716484,15431.896592410932,18775.406574594785,22818.236101009745,27688.002463243403,33530.681545501815,40509.47570074604,48802.58363501852,58599.201874802224,70093.24060042232,83474.41624799167,98916.65965327722,116564.17140044393,136515.93550225173,158809.9888854278,183409.12173717722,210189.83337144877,238936.21003361657,269339.91965048516,301006.8124650725,333469.8155355727,366207.07015382865,398663.71300429606,430275.415576687,460491.77974686265,488797.8977037054,514732.7499513983,537903.5573560381,557995.6524557823,574777.8393996846,588103.5387348251,597908.2487403611,604203.9991702515,607071.5357664088,606650.9697967082,603131.5732479744,596741.3138705026,587736.6198236325,576392.7532975861,562995.0653124689,547831.3062129294,531185.0819915277,513330.477261389,494527.8116903519,475020.4571468616,455032.61614197236,434767.94646129775,414408.91012059734,394116.7249552484,374031.8024396793,354274.564132611
IH,0.0,176.29126259245095,220.15829035877678,213.02769162403678,190.4303063831416,166.6267177701481,146.4177337339974,130.67727115763202,118.85408803557446,110.03986500319249,103.37967593439419,98.1950156128152,93.99131360629555,90.42659091424386,87.2731805980125,84.38414890979416,81.66735961166947,79.06676235410558,76.54946417703977,74.09706787277794,71.70000835934376,69.35392700623495,67.05739760766299,64.8105310732226,62.614141338738285,60.469263596672235,58.37688968583623,56.337834506895845,54.35267938401374,52.42175895203455,50.54517128936219,48.72279926655884,46.954336187975166,45.239311914959345,43.57711751729531,41.96702758070903,40.40821990471491,38.89979264648784,37.440779120635256,36.03016052389123,34.66687686139012,33.349836333018196,32.07792340915776,30.85000579307428,29.66494043645733,28.521578747132178,27.638123574635372,27.228087365079222,27.438998564685214,28.359047521979434,30.04507684523969,32.55182194096909,35.955945641562806,40.3747393680124,45.98181204431462,53.02270476969652,61.8333079055587,72.86381556532041,86.71100571598109,104.16198785375035,126.2532411760359,153.9246063233465,187.98859253742285,229.4513018748575,279.5857451016148,339.9356159349564,412.3019064504539,498.7219225434402,601.4366574273845,722.8388801351734,865.3942850619668,1031.5298624174586,1223.4870503785903,1443.1422434071333,1691.8035660108048,1969.9996149580063,2277.2817192214284,2612.06453058602,2971.529101262198,3351.607521013577,3747.059287729354,4151.638492406932,4558.339766376339,4959.701825469725,5348.141791298357,5716.291831908167,6057.311755745928,6365.1561241140325,6634.781045460453,6862.282914026886,7044.9679954137155,7181.357284183066,7271.135118026605,7315.052551654572,7314.79759089308,7272.844304710734,7192.291866741281,7076.703029792583,6929.949679033593,6756.071165906174,6559.149263635398,6343.2019204002645,6112.096583574283,5869.482754641812,5618.742606764212,5362.957932707448,5104.891355026266,4846.97958241961,4591.336494540952,4339.7639432155665,4093.768336409944
IN,501.4692118627343,955.222813375202,1231.3006556805622,1396.30799286933,1491.822640130728,1543.7737795351425,1568.3056168254284,1575.4512694975574,1571.435829697683,1560.1190477888217,1543.8974535894517,1524.266893497949,1502.1719705946896,1478.222026121734,1452.8237809919342,1426.2621392840945,1398.748914318257,1370.4518374187671,1341.5115510133378,1312.0513610868709,1282.1826904046168,1252.0080292832843,1221.6224695098526,1191.1144678287878,1160.5662163407824,1130.0538339857444,1099.647495676701,1069.411558337165,1039.4047103060861,1009.6801525281119,980.285810612583,951.2645725388788,922.6545452839124,894.4893236271542,866.7982650796625,839.6067658516018,812.936533783494,786.8058551033865,761.2298526857892,736.220734165949,711.7880288109914,687.9388124823927,664.6779203596825,642.0081473505055,619.9304363028374,598.4440542746729,578.1707161620232,559.9594021676503,544.683936850022,533.1688816770748,526.1923244463511,524.5304123212626,529.0230093225473,540.6509535939831,560.6230864675177,590.4763426366712,632.1957394522472,688.3640016408514,762.3535400060368,858.5771291590006,982.8183274840583,1141.4593884766082,1341.204225682566,1589.7857645970398,1896.3425367820169,2271.6623463086225,2728.359126797561,3280.9929642034726,3946.1167547782634,4742.218744411794,5689.522590826674,6809.604884582099,8124.795527988267,9657.34057404904,11428.330624904213,13456.429158892832,15756.47008768677,18338.02613858857,21204.072210159815,24349.874760940438,27762.226709616596,31419.118378777395,35289.89346881136,39335.89190746893,43511.536083749364,47765.77960919364,52043.81229826379,56288.9029806689,60444.262345131,64454.81903452731,68268.82063089462,71839.19377807288,75124.62157255653,78090.31915737879,80708.50850535792,82958.60967226198,84827.17791770941,86307.62407330825,87399.75975200266,88109.21000963112,88446.73455440224,88427.49523057943,88070.30291248276,87396.87168619332,86431.10272189778,85198.41489844178,83725.13428318052,82037.95015650956,80163.44148972965,78127.67466689042,75955.8707719669
D,1501.0,1501.0,1503.3077274063835,1506.1896928136994,1508.9783156589274,1511.4711291460162,1513.652343561179,1515.5690138030823,1517.2796347130875,1518.8354851408792,1520.2759536503688,1521.6292374598358,1522.9146518664693,1524.1450380307153,1525.3287604628422,1526.471203416319,1527.5758277195305,1528.6448880984246,1529.6799055560987,1530.6819705128498,1531.6519325617232,1532.5905160847835,1533.4983884077733,1534.3761981867963,1535.22459552981,1536.0442411995368,1536.8358095098079,1537.599987758045,1538.3374739090657,1539.0489735374667,1539.7351965983573,1540.3968543307344,1541.034656440321,1541.6493086180642,1542.2415104005963,1542.811953353395,1543.3613195459575,1543.890280284828,1544.3994950710448,1544.8896107513256,1545.36126083582,1545.8150649588963,1546.2516284627952,1546.671542087002,1547.0753817487575,1547.463708402315,1547.8370679663692,1548.1988627274723,1548.5552899406634,1548.9144780709216,1549.2857100322963,1549.6790128326907,1550.1051299896967,1550.5758085699013,1551.1043310343443,1551.7062524585226,1552.400342155075,1553.2097663839484,1554.1635846369975,1555.2986684828059,1556.6621930871374,1558.314901568103,1560.3298399564585,1562.7906903735832,1565.7943052435448,1569.4542012413217,1573.9041026474538,1579.3013094926932,1585.8297910061444,1593.702851968658,1603.165119522688,1614.4934977962162,1627.9966612485478,1644.0126257154952,1662.9039698323024,1685.0503961388986,1710.8385267311303,1740.6491104107804,1774.8421430990252,1813.7407194947368,1857.6146836262715,1906.6652791264435,1961.01198802984,2020.6825891236288,2085.6071898202995,2155.6166344377366,2230.4453192482656,2309.738099515315,2393.0606931454136,2479.9127913651614,2569.742985545955,2661.964604933274,2755.9716179640536,2851.1538609217155,2946.9110017144194,3042.6648049626065,3137.8694218989644,3232.0195732536513,3324.656617702324,3415.372598539875,3503.8124358849773,3589.674481999223,3672.709685790197,3752.719622692092,3829.5536416615737,3903.105365736637,3973.3087599298146,4040.1339531547274,4103.582971875466,4163.685514137448,4220.494864990792
R,0.0,3370.507303784432,6308.6819043681135,8919.493337578828,11286.05829726038,13470.010149526153,15515.302908820073,17452.515703919322,19302.587572733624,21079.722238377,22793.518264460996,24450.475883915748,26055.0377577768,27610.2958830177,29118.46582784602,30581.201782847587,31999.804107061136,33375.35494440412,34708.806045162535,36001.034999442854,37252.880687783225,38465.16511640054,39638.706374726025,40774.32583907983,41872.8516786292,42935.12001511432,43961.97462342015,44954.265754185864,45912.84845815748,46838.58065920594,47732.32113535662,48594.92750936719,49427.254312203164,50230.15115753089,51004.461048690944,51751.01882864588,52470.64977620962,53164.16834720199,53832.377056196085,54476.065492682006,55096.009464386596,55692.970259916896,56267.69402266626,56820.91122792368,57353.3362552809,57865.667048685886,58362.71927932845,58851.776633446076,59341.53374698889,59841.57324979353,60362.257243461776,60914.91994252031,61512.2820397882,62169.04740371712,62902.6799341758,63734.3909175389,64690.39682172977,65803.53748196732,67115.37883195459,68678.96656772912,70562.45118540995,72845.86086426667,75619.87531163433,78990.72368973373,83084.03855329598,88048.36415425738,94058.52541965933,101318.81723385189,110065.82054653279,120570.53570200848,133139.42995770345,148113.93218598037,165867.89090896744,186802.56310822238,211338.83681643917,239906.6129988167,272931.5643461618,310819.811925362,353941.3619730485,402613.36908283085,457084.3956268442,517520.80097129167,583996.2256339773,656484.8658140847,734858.9071298727,818890.1500455075,908255.554120112,1002546.1828500518,1101278.8609922528,1203909.7650183886,1309849.1484062267,1418476.4443259148,1529155.0734450687,1641246.3981467145,1754122.3918797323,1867176.7215203787,1979834.062283265,2091557.5725552007,2201854.546341831,2310280.3323149886,2416440.6609213115,2519992.556052677,2620644.0275365757,2718152.747719452,2812323.912332008,2903007.475183933,2990094.930339812,3073515.796266175,3153233.935652381,3229243.8234899417,3301566.8555179606
G,259563.0,259563.0,259631.65479385055,259741.95526775892,259876.89266577087,260025.69968347688,260181.54008104152,260340.06958387332,260498.53142052476,260655.18424996745,260808.93858520998,260959.1248244619,261105.3447448593,261247.3761212568,261385.11126432545,261518.51727534665,261647.61024164766,261772.43840472342,261893.07111971753,262009.59156450396,262122.0918850869,262230.66993068036,262335.42703134444,262436.4664636736,262533.8923741528,262627.809009938,262718.3201586793,262805.52873263555,262889.5364542025,262970.4436142357,263048.3488838802,263123.3491667469,263195.5394823185,263265.0128741512,263331.8603382323,263396.1707680627,263458.0309138579,263517.52535383234,263574.73647593195,263629.74446866906,263682.6273199253,263733.46082274773,263782.31858728913,263829.2720581418,263874.3905363965,263920.88539585075,263971.1162720269,264026.918864487,264089.91010951134,264161.7431731524,264244.31657355756,264339.9561937772,264451.59370528464,264582.9654633559,264738.85580548376,264925.40991458844,265150.5450520534,265424.4955749894,265760.5371111648,266175.94894112897,266687.1971508022,267311.1918247646,268069.8172027728,268989.60150621476,270101.8689900288,271443.03020758793,273054.8315474659,274984.4401501603,277284.25495556387,280011.3398143093,283226.3864432959,286992.14307347964,291371.2935299158,296423.83987548645,302204.12131620187,308757.6781767556,316118.2248404376,324305.0145066921,333320.85416132206,343150.9635873634,353762.7803903551,365106.7118861024,377117.74207458604,389717.7309982348,402818.20117516594,416323.3918241986,430133.37198359217,444147.03165978024,458264.80856866465,472391.05034115165,486435.9531749057,500317.05436634814,513960.28599626845,527300.6195417539,540282.3465169034,552859.0491586749,564993.3187440087,576656.278536288,587826.9647709298,598491.6135405077,608642.894802053,618279.127693109,627403.5044212085,636023.3435368882,644149.3876321781,651795.1555367861,658976.3549444121,665710.3580661195,672015.7403134522,677911.8800764458,683418.6162866763
H,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,5086811.666749707,4756840.483560004,4426869.300370301,4096898.1171805975,3766926.933990894,3436955.7508011903,3106984.5676114867,2777013.384421783,2447042.2012320794,2117071.018042376,1787099.8348526724,1457128.651662969,1127157.4684732656,797186.2852835623,467215.1020938588,137243.91890415538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
