series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,322024.9686742979,321941.20233943535,321872.4747528186,321808.51016526046,321744.5111692778,321678.15532241226,321608.2363788779,321534.047694167,321455.1018993298,321371.00324707764,321281.3893647287,321185.9046043269,321084.1878119338,320975.86671196413,320860.55536415376,320737.8530893663,320607.3441428465,320468.5978154949,320321.1688270205,320164.597958452,319998.4129095706,319822.1293839559,319635.2524116784,319437.27792227,319227.69458072615,319005.98589793924,318771.63262457086,318524.1154341159,318262.9178968763,317987.52974178543,317697.45039755316,317392.19279848994,317071.287433713,316734.2866113511,316380.76890201087,316010.34371833055,315622.65598016116,315217.3908080194,314794.27818123484,314353.0974919368,313893.6819219745,313415.9225672997,312919.7722334855,312405.2488270949,311872.43827066285,311321.49687416654,310752.6531029964,310166.20869148494,309562.5390618052,314656.091709185,319719.3471348872,324752.1263883429,329753.3543583251,334721.46827441803,339654.6206571534,344550.77997114306,349407.78085462877,354223.34988670185,358995.11985748017,363720.6390177653,368397.37855653465,373022.7399519528,377594.06304481387,382108.6352833452,386563.70238169545,390956.48052045517,395284.1701465904,399543.9713779777,403733.1009727336,407848.81078049657,411888.40754974756,415849.27392184717,419728.8903993653,423524.85803465,427234.9215458963,430856.99253384856,434389.17244432756,437829.77490155224,441177.34702605836,438716.6906609848,436205.4396631313,433644.78544921,431039.21604224626,428394.83049846697,425718.5191449885,423017.53880566196,420299.2713767071,417571.07037071715,414840.15244721546,412113.5145989644,409397.86829801183,406699.58662570623,404024.6624435842,401378.6764823768,398766.7745121405,396193.65281961794,393663.5512021205,391180.2526543001,388747.08890186617,386366.9509338415,384042.3037034454,381775.20420464384,379567.32218291867,377419.96280070953,375334.09064636135,373310.3545468568,371349.1127163209,369450.4578420481,367614.2417759771,365840.0995609811,364127.47257732414
E,0.0,83.76633486253662,127.44267118835192,153.294116289819,171.44880881085177,186.53099032316712,200.6657750630384,214.84313703693599,229.53771200116438,244.99056897067214,261.3373079943294,278.666251698743,297.04481483297127,316.5313726656095,337.1805073733179,359.0452166006002,382.17771407806015,406.6295627860452,432.45147641622225,459.692940849126,488.40172391210945,518.623304136283,550.4002327034133,583.7714359315062,618.7714633285816,655.4296860925826,693.7694518702032,733.8072031024486,775.5515681292806,819.0024362583788,864.1500301248494,910.9739907924151,959.442493083527,1009.5114104807833,1061.1235505129455,1114.2079827189507,1168.6794819652096,1224.4381099725824,1281.3689572983271,1339.3420666417885,1398.2125561525538,1457.82095839988,1517.9937868331476,1578.544336986516,1639.273724460805,1699.9721559970085,1760.420423920906,1820.3916080992449,1879.6529635375684,1937.9679661093887,2009.1404429048837,2089.5041744086056,2177.3855253187867,2272.0990386975936,2373.4489601496707,2481.482133719758,2596.3652205920553,2718.3230992281588,2847.60718466824,2984.4782428162057,3129.196116468073,3282.0126503663905,3443.16600966443,3612.8755261548804,3791.336672107115,3978.715995201339,4175.145968813698,4380.71977777929,4595.486098736152,4819.443959512533,5052.537779833045,5294.652708439633,5545.610380405728,5805.165223033676,6073.001439014173,6348.7307911719145,6631.891303882824,6921.946982052152,7218.2886295385015,7520.235825497171,7782.477000721032,8015.6952638085695,8224.082215085218,8408.964877168992,8570.48214097541,8708.36486381853,8822.299320745096,8912.093993350902,8977.751492001576,9019.49331316504,9037.760233051577,9033.199599562802,9006.64538385186,8959.094279566329,8891.679868753232,8805.646206505793,8702.321788893034,8583.094613178702,8449.388849612824,8302.643491243916,8144.293220113583,7975.751619960631,7798.396775133219,7613.559221632821,7422.51215802651,7226.4637801093595,7026.551572198794,6823.838368158218,6619.309984967212,6413.874229183659,6208.361080367956
I,84.89862655841468,74.08111736828825,72.23245387376389,74.5770864807476,78.96551063270483,84.43986927465225,90.58337955599889,97.22493166757043,104.30492487544105,111.81436185175653,119.76723622602262,128.18804604694787,137.10617128429698,146.55335721615913,156.56259393353997,167.16761401806033,178.40265435330213,190.3023208336669,202.90148237826213,216.2351604585726,230.33839840222512,245.2461029262039,260.99285409801763,277.61268169361335,295.1388068455489,313.60334847167115,333.03699448151525,353.4686382847212,374.92498172297326,397.43010623522434,421.0050148507204,445.66714848137104,471.42988094273494,498.3019981531535,526.2871680189234,555.3834085792465,585.5825630216773,616.869791145424,649.2230877006888,682.6128387192655,717.0014274263823,752.3429015395948,788.5827136752052,825.6575461612568,863.4952307737101,902.0147727566412,941.126486960602,980.7322520542525,1020.7258865684765,1060.9936480714584,1101.4148541148925,1143.1350374810966,1186.8215551909843,1232.9050747812605,1281.6992766176327,1333.4601345773262,1388.415251959955,1446.7783336439186,1508.756232355856,1574.5522263703845,1644.3673222867956,1718.4004608308771,1796.848055335648,1879.9030741931806,1967.7537732067976,2060.5821340154994,2158.562042516732,2261.8572327455704,2370.619020248407,2484.983851282042,2605.070698467626,2730.9783388939663,2862.7825565078365,3000.5333165143347,3144.2519650637405,3293.92851237325,3449.5190612885935,3610.943445818534,3778.0831450947985,3950.7795372902615,4128.832555104236,4307.961700647982,4485.399936614213,4659.1126158863635,4827.444588105835,4988.964182479997,5142.397758639699,5286.60553107577,5420.575587570488,5543.425187036525,5654.404135383155,5752.897766910291,5838.428394278749,5910.654766095652,5969.369427837699,6014.494078072199,6046.073122737658,6064.26569181265,6069.336413268658,6061.645248682925,6041.636689310553,6009.8285949422825,5966.800933692754,5913.184651569408,5849.650868424954,5776.900563485387,5695.654880517703,5606.646150985674,5510.609704074533,5408.276505821107,5300.366646112489
A,195.29542432922028,156.236352949081,142.44982987671625,140.52475727137272,144.37332298905267,151.23644437817,159.87075864243303,169.7245464956955,180.562788347964,192.29640431853895,204.90438030900484,218.39817029344326,232.80534792830184,248.1620244587594,264.5092569602592,281.89126851889387,300.3544847404958,319.94692984331857,340.7177712895358,362.7169141059177,385.9945974389472,410.6009696100116,436.5856290863365,463.99712425824293,492.8824078670001,523.2862438070733,555.2505654985918,588.813786398345,624.0100646314105,660.8685252410276,699.4124451904548,739.6584080017209,781.6154367597954,825.2841161101854,870.6557157841991,917.7113300385587,966.4210491239847,1016.7431804218605,1068.623538124586,1121.9948211970443,1176.7760997591288,1232.872429894791,1290.1746161559893,1348.5591396421073,1407.888267471191,1468.0103567198612,1528.7603625251393,1589.9605560765754,1651.4214537755374,1712.9429540244585,1774.315673081868,1838.2494530693275,1906.147959984417,1978.7852645517548,2056.6377428170754,2140.04569147756,2229.2911123566214,2324.634346748464,2426.3305426666425,2534.6362249369304,2649.810968982803,2772.1165982881867,2901.81506762525,3039.165585344477,3184.4212369247944,3337.825236131157,3499.606870148899,3669.977182254737,3849.1244310677175,4037.2093699345364,4234.360398898579,4440.668652531075,4656.183098238359,4880.905730537488,5114.78695645642,5357.721275006228,5609.54335899822,5870.024649813294,6138.870574639367,6415.718490858144,6700.136453514759,6982.333902462011,7256.705237520024,7519.639699443045,7768.52529281372,8001.301372339239,8216.263319993284,8411.98204660304,8587.274359533634,8741.194248715097,8873.031076024121,8982.308208841952,9068.779277961346,9132.42102574432,9173.422602636543,9192.171619370763,9189.237482560358,9165.352636898537,9121.392360324955,9058.353737491647,8977.334388178348,8879.511461662818,8766.121332975117,8638.44035805403,8497.766966317158,8345.405294222013,8182.6504943066775,8010.775792465884,7831.021312708086,7644.584643688104,7452.613084833835
IH,0.0,4.255860087101273,6.542937791979648,7.970742710591342,9.03749760497118,9.966674879869668,10.858825454462988,11.75990396464005,12.691884074065547,13.666386422981926,14.69068552464233,15.770319043562278,16.91019654002198,18.115054727732222,19.38963397987407,20.738739503374347,22.167256827503508,23.68015016078296,25.28245451666512,26.979265165644172,28.775725085058518,30.67701006393635,32.68831085678423,34.814811792811696,37.0616653442,39.433962267940714,41.93669703942339,44.574728390274764,47.352734852081255,50.27516529681816,53.346184558605714,56.56961432310843,59.948869582467125,63.48689107583761,67.18607426798441,71.04819555943578,75.07433656891318,79.2648074785954,83.61907058085426,88.13566530619248,92.8121361403556,97.64496494764538,102.62950930078212,107.75994846877865,113.02923872714405,118.42907962406008,123.94989275784172,129.58081449238702,135.30970385762808,141.12316665245663,147.00659649164257,152.9442332215496,158.9830234076042,165.1876314348138,171.62263575974964,178.34669329477512,185.41163148743735,192.86331529607654,200.74294903615277,209.08829508346298,217.93464838924064,227.31554965575444,237.2632697803895,247.8091087843775,258.98354854859826,270.8162908085601,283.3362041341122,296.57119736758807,310.5480324132801,325.29208615459606,340.82706931826374,357.1747090194062,374.3544012685695,392.38283971370913,411.273627179797,431.03687703966534,451.67881200702186,473.2013685064105,495.6018152764639,518.8723952423416,542.9999998994698,567.9658854412248,593.5430148544763,619.4417432134235,645.3675169061007,671.04154265788,696.2067075973215,720.6282341031368,744.0929032638995,766.4082387765413,787.4020294515208,806.9221809965385,824.8367669341019,841.0341351372829,855.4229514653849,867.9320964798885,878.5103639932729,887.1259375450286,893.7656421625461,898.4339844329841,901.1520048040043,901.9559729926937,900.8959611842706,898.034331017778,893.4441697620938,887.2077090742607,879.4147567201375,870.1611679743023,859.5473793910166,847.677023484936,834.6556387635724
IN,6.561649103025153,12.689243152834218,17.57543085440577,21.995516183795203,26.304423621815346,30.667468277786288,35.16499871523933,39.83983608330954,44.71874415619156,49.82210985203259,55.16827610233424,60.775453988491414,66.66254332976925,72.84946443723443,79.3572734179796,86.20818325103623,93.42554464559956,101.03380975635154,109.05848784263792,117.52609566934413,126.46410265057762,135.900869520855,145.8655788156202,156.38815526276682,167.49917415542467,179.2297558184059,191.61144436617258,204.6760690691859,218.4555867973577,232.9819041972999,248.2866784887994,264.40109604020074,281.3556282062754,299.17976428864677,317.90172190928075,337.5481355713167,358.1437247156543,379.71094316066484,402.26961242776287,425.83654209598814,450.4251409799042,476.0450235698911,502.70161679271126,530.3957727215009,559.1233933652497,588.8750740751348,619.635772396106,651.3845093459072,684.0941101020996,717.7309909064322,752.2549986458187,787.6193090368015,823.8687312286713,861.0966889533698,899.4237113881322,938.986598412106,979.9328842727095,1022.4179347973995,1066.6033551504634,1112.6560475095869,1160.7475844044136,1211.0537241980128,1263.7539745254142,1319.0311489408932,1377.0708819776614,1438.0610783124814,1502.191277677079,1569.6519209947078,1640.633506148437,1715.3256244124952,1793.9158712063538,1876.5886276179292,1963.5237121593111,2054.8949054874597,2150.8683543299917,2251.600864561017,2357.2380972083033,2467.9126850536545,2583.74229130768,2704.8276354778436,2831.2505148746795,2963.0718530810454,3100.017712241346,3241.6184166596504,3387.278105924478,3536.312412629071,3687.971589435002,3841.4570478371493,3995.934934402309,4150.548346631804,4304.42884104856,4456.707440934887,4606.525146331231,4753.042860860731,4895.4506199692,5032.976004745171,5164.891640254624,5290.52169968155,5409.247361201593,5520.511190818697,5623.820449690151,5718.749347656597,5804.940285077468,5882.104142238845,5950.019689367621,6008.53220064965,6057.551362745616,6097.048572364541,6127.053718800848,6147.651546320364,6158.977688268304
D,334.0,334.0,334.0405958184334,334.1030076245521,334.179038983017,334.2652459081403,334.36031607387116,334.46389628974475,334.5760717175954,334.697137121745,334.82749811353375,334.9676296944634,335.11805968873654,335.27936275189245,335.4521587220578,335.6371126548535,335.83493544183113,336.0463845766521,336.2722649055936,336.5134293029432,336.77077924577884,337.0452652690351,337.3378872784876,337.64969469350564,337.9817863857628,338.33531037535863,338.7114632421298,339.1114892072385,339.5366788383393,339.98836733068606,340.46793231645387,340.97679115535726,341.51639766142415,342.08823822362575,342.69382728206995,343.33470212673524,344.012416992338,344.7285364309443,345.4846279533876,346.28225394141316,347.1229628446791,348.0082796901723,348.9396959460703,349.9186587973431,350.9465599061444,352.02472374591514,353.1543956137071,354.3367294400684,355.5727755294435,356.86346837593396,358.20961470897197,359.61188193053295,361.07078710956375,362.5872951291329,364.1629876932519,365.80006250722107,367.501276793175,369.26988214515154,371.1095676540711,373.0244154507744,375.01886787403197,377.0977039342629,379.26602258009655,381.5292305859518,383.8930332910387,386.3634267952777,388.9466905176451,391.6493792487685,394.4783139962735,397.4405710443656,400.54346874238627,403.79455161167,407.20157142426024,410.77246496695807,414.515328264013,418.43838709436625,422.5499637064476,426.85843970593817,431.37221516969464,436.09966412160475,441.04908659233394,446.2286575730818,451.6463732615363,457.30806419364507,463.21679803896023,469.37283277763987,475.77376703522833,482.41474688778953,489.28867891349717,496.3864358369588,503.69705438890725,511.2079286111617,518.9050017477829,526.7729586219206,534.7954190288855,542.9551315454529,551.2341663539597,559.6141051909178,568.0762263018344,576.6016822587252,585.171668621061,593.7675816490348,602.3711635725894,610.9646342504658,619.5308083969045,628.0531978913334,636.5160990049018,644.9046646675029,653.2049621537788,661.404016783053,669.4898424049723
R,0.0,39.49312643335537,72.96570206631466,104.74898246720217,136.90460236833187,170.46235883448264,205.98394190559677,243.82042858365452,284.23034978633007,327.4341586732111,373.6396252900149,423.0538991960506,475.889428750675,532.3670260670556,592.7175857477712,657.1831503754753,726.0176413553074,799.4874008368092,877.8716099191035,961.4626102849784,1050.566137983222,1145.5014688062827,1246.6014697714772,1354.2125483860748,1468.6944896358457,1590.4201695162226,1719.7751332195808,1857.1570257203255,2002.974862440737,2157.6481279436157,2321.6056912054437,2495.2845270043567,2679.1282343392804,2873.5853446051483,3079.1074145022467,3296.1469013637093,3525.154821739576,3766.578197659082,4020.85729896809,4288.422694450057,4569.692129011063,4865.06724894693,5174.930202099205,5499.640144416201,5839.529688921545,6194.901337203481,6566.023937117944,6953.129213295301,7356.408419112764,7776.009159917747,8212.032437361764,8664.529963660376,9134.087189540227,9621.58855109351,10128.100536434675,10654.81391183598,11203.01565383123,11774.075776315098,12369.441574818678,12990.635482851807,13639.2545767986,14316.970691466448,15025.530575321842,15766.755751252176,16542.541869803845,17354.857404789975,18205.74157506507,19097.30139604945,20031.707778028132,21011.190599489004,22038.03269506647,23114.562710273618,24243.14678981926,25426.179083239156,26666.071070892496,27965.239734956078,29326.094623586265,30751.023881457153,32242.379345828664,33802.460833441444,35433.49976907576,37137.64233068971,38915.07451109051,40764.76912788148,42684.85145516058,44672.78903054929,46725.50120276083,48839.43307233864,51010.61464001271,53234.7146737872,55507.0933755539,57822.855291349704,60176.902628224336,62563.988534510565,64978.76964108219,67415.8570865764,69869.8652760002,72335.45770430614,74807.38928817502,77280.54477414319,79749.97291875051,82210.91625940573,84658.83640835955,87089.43490344076,89498.66973625706,91882.76775062486,94238.23316109893,96561.85248424947,98850.69620484111,101102.11751665137,103313.74848483843
G,20925.0,20925.0,20932.590513562067,20944.13877248528,20958.029568478592,20973.56545781426,20990.46802391217,21008.651418106965,21028.119498548494,21048.91913265938,21071.119032409108,21094.800197209504,21120.051629855814,21146.9684419526,21175.651034798288,21206.20475567293,21238.73975425529,21273.37091158824,21310.217781110823,21349.404511699668,21391.059736410498,21435.316416796184,21482.31163546142,21532.18633080002,21585.084968526706,21641.155145071054,21700.547118343267,21763.413261908103,21829.907439267445,21900.18429578299,21974.398466786017,22052.703701628718,22135.25190483168,22222.19209706672,22313.669300466994,22409.823354651347,22510.78767185193,22616.687941597807,22727.640797478518,22843.75246052723,22965.117375654223,23091.816859253984,23223.917777528117,23361.471276138254,23504.511582460393,23653.054901896285,23807.098429363574,23966.619496205516,24131.574871323995,24301.900233357854,24477.50982823561,24659.56874014805,24848.909837617233,25046.214332160325,25252.10132239208,25467.172168579324,25692.032475777156,25927.302951097867,26173.624679088367,26431.66152635086,26702.100988874383,26985.654108387083,27283.054747610022,27595.05835067675,27922.440236542247,28265.99343694449,28626.52607539343,29004.858279516913,29401.81862091678,29818.2400820442,30254.95555725669,30712.792904487098,31192.56957438434,31695.086855001737,32221.123781743092,32771.43077393674,33346.72307067365,33947.674048974,34574.90851648885,35228.996078363656,35910.44468318863,36615.65635703573,37342.00117932239,38087.22905268701,38849.21012835231,39625.827143186274,40414.93844560526,41214.37395573736,42021.946239208475,42835.4680981836,43652.77240580192,44471.73197628168,45290.278283480846,46106.418371823536,46918.249601451535,47723.97205241093,48521.89853520298,49310.46224243048,50088.22214051781,50853.86624753778,51606.21297638431,52344.21074412918,53066.93606019244,53773.59030955367,54463.49544414312,55136.08878719153,55790.917142982915,56427.63038931107,57045.97471300455,57645.785631016784,58226.98092148643
H,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,171419.9606686252,165705.96197967103,159991.96329071687,154277.9646017627,148563.96591280855,142849.9672238544,137135.96853490022,131421.96984594606,125707.97115699189,119993.97246803771,114279.97377908354,108565.97509012936,102851.97640117518,97137.977712221,91423.97902326683,85709.98033431266,79995.98164535848,74281.9829564043,68567.98426745013,62853.98557849595,57139.986889541775,51425.9882005876,45711.98951163342,39997.99082267925,34283.99213372507,28569.9934447709,22855.994755816726,17141.996066862554,11427.997377908381,5713.998688954208,3.456079866737127e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
