series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,6278227.674099045,6276280.204464899,6274738.607859806,6273325.080472912,6271916.6350404415,6270456.830371357,6268917.843037002,6267284.094756735,6265545.166126406,6263692.7239487935,6261719.187343419,6259617.149185029,6257379.127166324,6254997.460057956,6252464.269245856,6249771.450949481,6246910.684208096,6243873.4482818805,6240651.046837853,6237234.637903506,6233615.26925666,6229783.919192644,6225731.542693284,6221449.123014031,6216927.728648863,6212158.57554663,6207133.094346583,6201843.002280141,6196280.379254381,6190437.747493867,6184308.153975278,6177885.254748222,6171163.400100588,6164137.719403165,6156804.204361553,6149159.789319175,6141202.4271988375,6132931.1596463015,6124346.179951713,6115448.887375967,6106241.931600439,6096729.246149616,6086916.069804769,6076808.955229361,6066415.764257715,6055745.64955102,6295703.237966935,6534844.673092829,6773154.415106746,7010574.665111415,7247021.052653852,7482390.0733214645,7716562.24358159,7949403.059031978,8180762.840873133,8410476.035537727,8638360.269641086,8864215.334438091,9087822.215605011,9308942.261180334,9527316.574977245,9742665.72515615,9954689.862485215,10163069.34664573,10367465.979181148,10567524.936219485,10762877.48114807,10953144.51567725,11137940.996564085,11316881.20497958,11489584.807544934,11655683.59513642,11814828.731546074,11966698.293750776,12111004.844030274,12226683.518511465,12104573.058889577,11978040.405129302,11847272.906755695,11712812.25211697,11575354.145633355,11435658.740431158,11294504.29680945,11152659.056644367,11010861.994200207,10869808.895620508,10730142.329732696,10592444.809958078,10457234.682307592,10324964.338132566,10196020.366205849,10070725.270560984,9949340.401093895,9832069.774398662,9719064.499957416,9610427.56813786,9506218.798358805,9406459.785903081,9311138.722606003,9220214.99911692,9133623.524240058,9051278.720010435,8973078.16990986,8898905.912391447,8828635.38315189,8762132.017885493,8699255.533075439,8639861.906191295,8583805.078882419,8530938.407744713,8481115.887297047
E,0.0,1947.469634145768,2933.053738741904,3509.179342945166,3915.7361980773994,4257.578236779772,4581.005297439814,4906.853230733086,5244.850269340956,5599.860979032688,5974.608750529759,6370.86567740334,6789.973093530266,7233.068297182106,7701.181266901063,8195.273083585138,8716.247614828457,9264.950448511616,9842.161346028453,10448.583082448533,11084.828036650932,11751.403232716932,12448.694250274284,13176.948310377325,13936.256812682734,14726.537606907163,15547.517306691701,16398.71398670631,17279.420638101044,18188.68978916592,19125.31972407434,20087.842750062955,21074.51596984632,22083.315009290032,23111.931128579683,24157.772107051194,25217.967236863144,26289.376688929264,27368.605426976777,28452.02174413529,29535.7803838596,30615.850086829167,31688.045282005813,32748.061518012517,33791.51411540489,34813.97941619179,35811.03791874939,37339.58443006789,39263.41623832832,41527.47627503576,44118.99810091035,47047.99411972376,50337.59726304203,54019.35676222244,58130.98877960972,62715.31608891665,67819.75516117392,73496.02018385385,79799.86625909599,86790.76776115622,94531.46305279536,103087.31402741118,112525.4388171386,122913.5840723785,134318.71256759547,146805.29427948882,160433.3054187037,175255.96035921687,191317.22545347243,208649.1900223795,227269.3962720887,247178.2537644568,268356.6822135885,290764.1356675512,314337.15894735587,338988.6119683473,364316.0961456609,386834.6487165388,407158.8844375971,425373.60359857284,441385.3795025207,455063.0105442825,466294.6466725233,475010.3900182339,481189.5665218912,484860.5927940344,486096.9896742556,485011.34283406683,481748.2615726485,476477.0231572675,469384.3779116071,460667.8427299835,450529.6965649007,439171.7999994046,426791.2885038046,413577.13348189753,399707.52498801704,385348.0030443048,370650.24860087654,355751.4381099292,340774.0652929337,325826.13805913646,311001.6660627385,296381.36375149427,282033.5039436072,268014.8672223101,254371.74223621035,241140.94100257513,228350.80134044102,216022.15553061324,204169.2502086499
I,600.2355293448289,360.14131760689736,273.1343040811442,249.8019678097771,252.6796895040854,266.3160696076751,284.5118776907221,304.9038909980807,326.6845449031749,349.65428116691635,373.8358682799195,399.32274681709174,426.22289314006287,454.6403863332361,484.67099006024034,516.4023348894584,549.9151532325768,585.284362590809,622.5796842630396,661.8657934942265,703.2020826462248,746.6421262693316,792.2329219451747,840.0139634592779,890.0161892194351,942.2608397477311,996.7582528327564,1053.5066225202113,1112.4907476332419,1173.6807962257583,1237.0311137293666,1302.4791041310036,1369.9442149762513,1439.327058056835,1510.508698080493,1583.350141246979,1657.6920543140375,1733.3547423224923,1810.1384095985532,1887.8237239560385,1966.1726982317632,2044.9298965150965,2123.8239648493523,2202.5694780159674,2280.869085537972,2358.4159315684187,2434.8963151940598,2509.9925502192127,2599.8277980718303,2710.0860097257155,2842.564704443498,2997.9684114944107,3177.013153534098,3380.8062042688066,3610.9361365821824,3869.4609580111555,4158.869930844478,4482.045638788633,4842.232556452204,5243.0106682407495,5688.2702174410015,6182.183218514243,6729.167602788379,7333.840299273708,8000.956047513158,8735.329310371479,9541.737360256062,10424.803514137042,11388.86063330507,12437.796392494995,13574.883426684708,14802.599201293011,16122.442193347315,17534.752547856966,19038.546591673432,20631.375253879327,22309.216395157997,24057.868797923482,25766.722627509662,27387.416614485977,28893.418151601818,30266.070816628904,31490.337313633936,32553.918710237485,33447.3880467038,34164.48351770304,34702.28048115916,35061.177884063785,35244.713198816484,35259.245118769424,35113.547697585454,34818.35606386159,34385.897388944395,33829.433570389345,33162.83508568973,32400.199142028818,31555.51982482227,30642.41351570251,29673.89940179311,28662.232363450672,27618.78379969178,26553.96490226641,25477.18638866671,24396.848624516948,23320.356292235127,22254.152197059746,21203.765362395465,20173.86918999246,19168.346098524733,18190.355672186604,17242.403925944778
A,5249.743497361063,4282.614990396433,3992.6177084323176,4008.5622828830315,4169.179155966438,4404.370859495497,4683.818280636065,4994.650337613197,5331.705482708904,5693.265528383902,6079.175173273894,6490.005488688794,6926.676370648036,7390.281912675515,7882.006038296282,8403.078455711888,8954.74857083741,9538.267199837535,10154.871377425772,10805.770030273143,11492.129430445933,12215.057892914512,12975.589459589042,13774.666466801147,14613.120990690832,15491.655236631323,16410.82099914546,17370.998374416456,18372.37396127332,19414.918839182857,20498.366662868215,21622.192261514967,22785.591174439447,23987.46059256907,25226.38220391985,26500.60745919785,27808.045778532975,29146.2562102483,30512.44302593807,31903.455691971547,33315.793595523006,34745.61582378676,36188.7561994429,37640.743665825205,39096.82799455895,40552.01066037005,42001.08059659239,43438.654415290264,45003.0230084823,46772.1041510685,48795.355075153086,51109.85090481028,53748.40192532892,56743.700891178036,60130.50102591318,63946.816469476296,68234.62990888141,73040.33843219644,78415.04141200862,84414.70955844065,91100.2404202177,98537.38701247545,106796.53550073574,115952.3016311638,126082.91257373971,137269.340773907,149594.1595250615,163140.09670207524,177988.27382729086,194216.13255502994,211895.0695662533,231087.82306779994,251845.6783201696,274205.584032761,298187.2937619613,323790.6640760867,350993.2517257317,379673.64913394116,408839.9293914607,437840.37329913717,466165.05070614495,493374.0358705467,519074.8326262656,542918.5947984741,564602.8334368311,583875.4883817926,600538.2156391009,614448.0477714273,625517.2010466031,633711.1140803457,639044.9632076677,641578.976391406,641412.8921461578,638679.9008395029,633540.3748685399,626175.6504534354,616782.0738760447,605565.4739675241,592736.1741192121,578504.6134313825,563077.6091861284,546655.2621970797,529428.482720504,511577.0970703212,493268.4831687163,474656.67615673575,455881.8820180953,437070.33709300566,418334.45360470546,399773.1952108302,381472.6315504928
IH,0.0,120.04710586896579,130.88562108778342,118.79818543835817,108.20542352725506,103.58749009833028,104.05066023264101,107.91690745878572,113.89087514685376,121.17595577436501,129.34167256116217,138.18152267393117,147.6129488789142,157.61706983226395,168.20544410139956,179.40289141726907,191.23910664821028,203.74479524048544,216.9499951299841,230.88337774146072,245.5719353082638,261.0407802038917,277.3129395714699,294.4091028021345,312.3473123618548,331.14260189197535,350.8065902735574,371.34704163344645,392.76740141974017,415.06631865037536,438.23716456919254,462.267558279361,487.13891040384397,512.8259963493953,539.2965712215771,566.5110387571431,594.4221867215804,622.9750009915522,652.1065699472284,681.7460897976921,711.8149800323531,742.2271163321818,772.8891860086262,803.7011684104433,834.5569398170476,865.3449992096541,895.9493080840457,926.2502342593461,956.1255865705682,988.740088744599,1026.782149190099,1071.929359470645,1125.1451242899564,1187.0449915540191,1258.1522102284384,1339.041036280441,1430.4046206021571,1533.0806574960056,1648.0563730888352,1776.4646849760143,1919.577043129516,2078.794869715665,2255.6396646204166,2451.740983470102,2668.821159592246,2908.6755759842517,3173.1473755031707,3464.095678882143,3783.356649488123,4132.69710388798,4513.760821605574,4928.0082509329295,5376.650921602157,5860.582524501837,6380.309252334682,6935.882549422786,7526.837823988812,8152.142865548903,8808.45135273341,9472.000665700736,10121.468082170653,10741.092858740318,11319.416446710104,11847.813426400888,12319.595092975622,12729.596679366856,13074.03361400812,13350.46544785078,13557.775453465547,13696.123610045448,13766.86009174255,13772.401680123869,13716.080313912913,13601.975028684248,13434.738096021338,13219.424552809156,12961.332251865428,12665.857470789888,12338.369202670918,11984.103624494339,11608.078934080831,11215.029760955043,10809.359663759195,10395.10978702463,9975.941518518799,9555.130920125934,9135.572758593855,8719.792100819894,8309.961630887536,7907.923068074367,7515.211297510517
IN,120.04710586896579,223.92040636568905,265.78013691647595,284.59875250114413,296.21549088859786,306.8426641157803,318.76532681464744,332.72082480834774,348.8745176335268,367.20797320564134,387.6653311254008,410.20281069753014,434.8012178633144,461.4655398293189,490.2209076985152,521.1082194226568,554.180388934239,589.4993476162074,627.133666409371,667.1566220321148,709.6445537657366,754.6753942623278,802.3272913094885,852.6772634516396,905.7998513724079,961.7657406583497,1020.6403416145032,1082.4823194501637,1147.342074289121,1215.2601756703975,1286.2657608575241,1360.3749105711088,1437.589019792574,1517.893185068252,1601.2546332276036,1687.621219532355,1776.920025883438,1869.0560917030525,1963.9113113485162,2061.3435322767095,2161.1858875522084,2263.2463945928903,2367.3078492219825,2473.1280401346316,2580.4403038264822,2688.9544339580725,2798.3579521793204,2908.317739798059,3018.4820215725604,3131.771048811241,3251.848420993346,3382.243649001995,3526.151622724345,3686.479992822069,3865.966120344472,4067.2962794831456,4293.206427374877,4546.561761327246,4830.417970725971,5148.067950441705,5503.07694437345,5899.307903960544,6340.937732630828,6832.464170791838,7378.702369378383,7984.769687612074,8656.056921498672,9398.184025920305,10216.93844924215,11118.194475976568,12107.812490139977,13191.517840098926,14374.759997852552,15662.553929852793,17059.306971022077,18568.635926603016,20193.180499738548,21934.4203216087,23790.795430907794,25738.834071148784,27748.554554102127,29788.70806767834,31828.524631039716,33838.37240748796,35790.15203635377,37657.66455883273,39416.98840995849,41046.84002066046,42528.88312149314,43847.95936150592,44992.22439521267,45953.18446259564,46725.63718365319,47307.526523191475,47699.72583273107,47905.764893668085,47931.517365539585,47784.86437372503,47475.34850517791,47013.83052276035,46412.15890759998,45682.86008870182,44838.855062374845,43893.20613779165,42858.89582769896,41748.63846265501,40574.72394746444,39348.89218719406,38082.23606365979,36785.130411492886,35467.1841928967
D,4387.0,4387.0,4388.3064940920485,4389.730945680843,4391.023847548805,4392.201466497156,4393.328827651296,4394.461229568724,4395.635708545176,4396.8752032788525,4398.19398284602,4399.601631367271,4401.105485555982,4402.711983640415,4404.4273583597915,4406.257968247287,4408.210441953642,4410.291731304152,4412.509122296967,4414.870227838459,4417.382972871236,4420.055576099201,4422.896529528703,4425.914575774601,4429.118682618095,4432.518014199762,4436.121898273983,4439.9397890454975,4443.981225217423,4448.255782990306,4452.773023861711,4457.542437187267,4462.573377579091,4467.874997337792,4473.456174240222,4479.325435136292,4485.490875942708,4491.960078756994,4498.740026948148,4505.837019206771,4513.256583653167,4521.003393201905,4529.081183461212,4537.492674500661,4546.239497847216,4555.322130064434,4564.739834230375,4574.490610555335,4584.571157271217,4594.976842781659,4605.737477743793,4616.91213124358,4628.578129895564,4640.8232852197325,4653.742107853859,4667.434803047659,4682.007825781093,4697.575174719066,4714.259965303181,4732.196057133285,4751.529639553737,4772.42073932601,4795.044635139287,4819.593164437729,4846.275899410398,4875.321156707546,4906.976792453217,4941.510722024332,4979.211093940763,5020.386040016223,5065.362920644651,5114.486985766103,5168.119379640215,5226.6344318210595,5290.416198060252,5359.854243094992,5435.3386915402225,5517.254611775605,5605.975838449764,5701.839787598248,5804.925262421172,5915.079007124107,6031.976238927506,6155.167469619971,6284.109339007349,6418.185692526229,6556.724166530841,6699.011209207182,6844.306708898421,6991.858400403679,7140.915759604207,7290.742956567675,7440.630463627153,7589.905015199883,7737.937738575724,7884.15039254702,8028.019750775294,8169.080244400415,8306.925033215077,8441.205708722586,8571.6308486755,8697.963644769448,8820.018816518716,8937.659008152712,9050.79084439848,9159.36079752001,9263.350993747843,9362.775063576004,9457.674118252506,9548.112914734256,9634.17625373797
R,0.0,983.3023123368727,1862.3143684622537,2698.9482814499665,3535.025385666291,4396.973073669858,5301.376924153568,6259.099053705647,7277.892706936328,8363.936361984788,9522.692109585938,10759.37116894429,12079.181055680405,13487.454984171814,14989.718980346688,16591.726328865945,18299.47474708988,20119.214064638923,22057.448202213804,24120.933194286863,26316.67196327267,28651.90603651032,31134.10414611807,33770.94753492324,36570.311743812425,39540.24464495458,42688.940496206196,46024.70981770782,49555.944929306126,53291.08103586871,57238.5528063823,61406.746461651666,65803.94746399505,70438.28398978338,75317.66646079773,80449.72351152342,85841.73487452544,91500.56177236784,97432.57550915037,103643.58505431064,110138.76450232998,116922.58137074758,123998.72676186304,131370.04845736193,139038.48803691418,147005.02310923988,155269.61571560943,163831.1679105063,172687.48544243388,181861.74220784588,191393.43852909398,201333.020590122,211739.0770628776,222677.15207999115,234219.5113615209,246445.45281819624,259441.92585134626,273304.32845657,288137.4099773089,304056.23763422447,321187.1985761435,339669.01331929833,359653.73518453597,381307.7060315108,404812.4325763312,430365.34074710455,458180.3585850682,488488.2718230589,521536.7912076943,557590.2676851049,596928.9915880725,639848.0157596075,686655.4508100549,737670.1938731613,793219.0703815527,853633.3911459424,919244.9535034464,990381.5440982024,1067348.2678404883,1150265.613521228,1239118.9917825265,1333785.1960786842,1434047.9029362933,1539608.6202000214,1650096.295000872,1765077.0264300785,1884064.371957133,2006530.2385494872,2131916.110265325,2259644.271813939,2389128.678405574,2519785.15882932,2651040.698519751,2782341.618299806,2913160.5335920625,3043002.0426205946,3171407.1472589714,3297956.4551553125,3422272.2462058915,3544019.510797181,3662906.082465673,3778681.9950114964,3891138.195050419,4000104.736904092,4105448.578927775,4207071.090032942,4304905.363282895,4398913.420846382,4489083.381935951,4575426.653122196,4657975.1889485605
G,261540.0,261540.0,261597.049513517,261682.9708988781,261785.76940769632,261900.47766360154,262025.19989952765,262159.3966639113,262303.1388742156,262456.78242844064,262620.8257280204,262795.84695386956,262982.47619891935,263181.38284936856,263393.26960762887,263618.86934848217,263858.94310078106,264114.27837143233,264385.68743814086,264674.00542107725,264980.0880276269,265304.80890430853,265649.0565504921,266013.7307607843,266399.7385719282,266807.98969814426,267239.3914471284,267694.8431179489,268175.22989207006,268681.4162397159,269214.23887570977,269774.49931160314,270362.9560641008,270980.31659317185,271627.22905641823,272304.2739788169,273011.9559483828,273750.6954581169,274520.82102232194,275322.5617005188,276156.04016437696,277021.266441953,277918.1324688933,278846.4075679997,279805.7349667281,280795.62944697373,281815.4762032267,282864.5309643295,283958.36323226977,285108.5525631524,286325.06566176045,287617.49525058875,288995.7273572262,290470.32566937455,292052.77808339545,293755.6773594573,295592.8707154951,297579.59439577704,299732.59956895607,302070.2707033255,304612.73451982206,307381.9556078717,310401.8132795515,313698.1530171522,317298.80488510116,321233.56056696473,325534.1003409979,330233.8614389813,335367.8399638042,340972.3199763161,347084.5255675038,353742.194712786,360983.0773853575,368844.3646172061,377362.0596801654,386570.3069790406,396500.698221871,407173.03718269966,418505.0385314552,430432.4215694354,442893.3897523456,455823.4096780134,469154.10450167,482813.8208237271,496728.85764428845,510824.9083339692,525028.4987045065,539268.3082998749,553476.3147682531,567588.7319677327,581546.7325940564,595296.9600393667,608791.8437899941,621989.7389270168,634854.9138704729,647357.411961088,659472.8123006929,671181.9139215021,682470.3652138737,693328.2579362484,703749.7023178699,713732.3969403212,723277.204387628,732387.7411789449,741069.9882964699,749331.9267181886,757183.2007623481,764634.8107349033,771698.8353194325,778388.1833325044,784716.3738551371
H,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7506007.233443206,7255113.018067255,7004218.802691303,6753324.587315352,6502430.3719394,6251536.156563449,6000641.941187497,5749747.725811546,5498853.510435594,5247959.295059643,4997065.079683691,4746170.86430774,4495276.648931788,4244382.433555837,3993488.218179885,3742594.002803933,3491699.787427981,3240805.572052029,2989911.356676077,2739017.141300125,2488122.925924173,2237228.710548221,1986334.4951722694,1735440.2797963177,1484546.064420366,1233651.8490444142,982757.6336684625,731863.4182925108,480969.20291655906,230074.9875406073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
