series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,1540030.8287311115,1539025.3994067556,1538214.0302018072,1537477.7449096444,1536757.6343845106,1536023.7808205,1535260.333440773,1534458.2841435818,1533611.954245649,1532717.2809876392,1531770.9806193893,1530770.1401247177,1529712.0195698773,1528593.958687882,1527413.3356384954,1526167.5523787239,1524854.0340261846,1523470.2359376128,1522013.655334302,1520481.8458318317,1518872.4339773024,1517183.1372574437,1515411.7832092468,1513556.3293371801,1511614.8835656487,1509585.724956685,1507467.324413799,1505258.3650805703,1502957.7621311096,1500564.6816415524,1498078.558229027,1495499.111148209,1492826.3585463718,1490060.62959614,1487202.574250927,1484253.1704009878,1481213.7282474728,1478085.891756896,1474871.6371078372,1471573.2680940814,1468193.40850225,1464734.9915356876,1461201.2464083673,1457595.6822813428,1453922.0697584755,1538438.403423219,1622605.384805761,1706416.227037401,1789849.3474348816,1872872.079821943,1955442.7333695146,2037511.595050474,2119021.2697769073,2199906.611998195,2280094.411732852,2359502.942452919,2438041.446402543,2515609.6164563023,2592097.1267637634,2667383.2632882153,2741336.707213348,2813815.527032948,2884667.437292252,2953730.381944584,3020833.496795683,3085798.4973982684,3148441.5252227546,3208575.4656557553,3266012.7267276356,3320568.438602243,3372064.002752922,3420330.889072974,3465214.552020085,3506578.316381582,3544307.072025066,3490056.6336015104,3434040.863219907,3376344.1681941594,3317206.6011585514,3256937.3797383085,3195872.995358573,3134354.67582725,3072714.920301242,3011268.8205426373,2950308.306582102,2890098.4356341567,2830875.2389711044,2772844.802966488,2716183.3310331157,2661037.9706331613,2607528.2164438954,2555747.7250618804,2505766.4004422664,2457632.632584684,2411375.5941684125,2367007.5202678144,2324525.914490606,2283915.6406420185,2245150.8722832883,2208196.8834214234,2173011.6722314153,2139547.4164185384,2107751.763846292,2077568.965654449,2048940.8615266276,2021807.7282693505,1996109.003638309,1971783.8975667695,1948771.902761474,1927013.2161521767,1906449.0820076969
E,0.0,1005.4293243558409,1576.348496968401,1935.6475227803826,2192.8448444014666,2402.2760537312624,2591.215269824552,2773.5712874134274,2956.5971722357417,3144.195483805602,3338.556469110254,3540.97584008256,3752.2663546378185,3972.9667315740917,4203.448427476462,4443.970267250864,4694.706016801683,4955.757646520811,5227.160875859914,5508.886487619975,5800.8393204212425,6102.856031251298,6414.702290578679,6736.069841677465,7066.573727974652,7405.749918250207,7753.053513615829,8107.857688554683,8469.453493345043,8837.050622700874,9209.779233117202,9586.692868009162,9966.772524800766,10348.931871662173,10732.023593970669,11114.846822390662,11496.155566515165,11874.668051173412,12249.076827713092,12618.059510714713,12980.289972512357,13334.449814270458,13679.239923717605,14013.391926280434,14335.679338387425,14644.92823899613,15229.572052203022,16030.536512529614,17017.670874204152,18179.118483572587,19514.88287749202,21032.98894502596,22747.22447096432,24675.830332000685,26840.749500832044,29267.193799586894,31983.376830667097,35020.31423786645,38411.622949129895,42193.26853655031,46403.22012768271,51080.9791623522,56266.954196370156,62001.6606066533,68324.732600461,75273.74605396234,82882.86459469658,91181.3376477917,100191.89694778409,109929.11576502635,120397.81083944166,131591.5785599327,143491.5621848632,156065.54426290124,169267.44711749785,183037.30461222754,195279.4106033822,206274.72199464822,216081.35907608122,224674.3775863926,232007.524924394,238040.87348974586,242752.77308264538,246144.158578043,248238.90300547064,249082.0429373788,248736.87032004254,247281.48562823303,244805.1944438964,241405.00072673825,237182.36256912575,232240.31227893865,226680.99446411358,220603.63964161245,214102.9645117769,207267.97172936285,200181.11028841892,192917.7511765742,185545.93053311206,178126.3130999279,170712.33138080194,163350.4598804212,156080.58849305962,148936.4641046491,141946.17443548577,135132.6528596914,128514.18724908889,122104.91972410485,115915.327520953,109952.6780050232,104221.45320057427
I,858.7730620271822,515.2638372163093,366.82696171472264,310.51118914504565,297.3301290334517,304.1736235996327,320.29211821042327,340.80024850416385,363.5645660565812,387.72101770542747,412.97501162833163,439.2754192721127,466.66588197589437,495.21920210069027,525.0099604909619,556.1042113809619,588.5564327956328,622.4092782840603,657.6941887167808,694.4320773855736,732.6338164473686,772.3004710014386,813.4233112016288,855.9836586431314,899.952625525499,945.2907991187283,991.9479162309203,1039.8625650461122,1088.9619454879285,1139.1617141053375,1190.3659350912117,1242.4671551313954,1295.3466160920711,1348.8746159091993,1402.9110243398777,1457.305956428695,1511.9006026417715,1566.5282106776506,1621.0152100587507,1675.1824668415584,1728.8466522711385,1781.821706060745,1833.9203723089868,1884.9557839699346,1934.7430703407142,1983.1009612768785,2029.8533618110664,2091.4383624809752,2174.330480297223,2280.6850616551264,2411.115249364472,2565.9891319755225,2745.98784817287,2952.3109105626936,3186.7242732020577,3451.54609705818,3749.6133594528037,4084.2465013768074,4459.216759406359,4878.715049969704,5347.3188091718475,5869.952303351937,6451.8357862049215,7098.419133516072,7815.296121289519,8608.09632419389,9482.352735889126,10443.344684238104,11495.917432497654,12644.281968363513,13891.80076713899,15240.767588953737,16692.191396373953,18245.595996127573,19898.847767896375,21648.023650755444,23487.330315574487,25293.087827269017,27007.203139669036,28598.15404497935,30045.596484334965,31334.67110048693,32454.172141799972,33396.134361407545,34155.83223304435,34731.79973223327,35125.74041815574,35342.30667819726,35388.769573111334,35274.61406178654,35011.09499975697,34610.78465733701,34087.136046379186,33454.07970763288,32725.66555494605,31915.756225925215,31037.77425050069,30104.502194052737,29127.93266826005,28119.163605862734,27088.333329167566,26044.58957294416,24996.086627758305,23950.005042519188,22912.588775087403,21889.195234525938,20884.354261505992,19901.832702434935,18944.7018182697,18015.405311023245,17115.826237984358
A,2721.8895151140937,2387.7708707219817,2277.447486108445,2284.4564500636625,2355.923580155869,2465.3749644775435,2599.4643327805093,2751.441983185256,2917.915296680063,3097.2266729849634,3288.6314496182335,3491.8745477852826,3706.9677533538297,3934.0691602461993,4173.41539200127,4425.281554744858,4689.956037554176,4967.723418696719,5258.851881397842,5563.583182325801,5882.12409040039,6214.638693345632,6561.241241875967,6921.9893623637045,7296.877568070094,7685.831062836175,8088.69987366063,8505.25337755702,8935.17530773979,9378.05933689498,9833.405342349848,10300.616460085264,10778.99703214908,11267.751545403353,11765.984648916323,12272.702322970257,12786.814254953684,13307.137456795399,13832.40113563753,14361.25280479549,14892.26559645657,15423.946711827417,15954.746919382067,16483.070988307354,17007.288922968663,17525.747845924976,18036.784362297916,18591.37483058606,19223.498767843754,19957.48338638211,20812.5142005885,21805.42229866905,22952.431590793552,24270.281003592198,25776.970807575148,27492.280804209095,29438.146142473437,31638.938451343547,34121.67615116845,36916.172452276114,40055.11925785949,43574.09803240243,47511.50366662854,51908.36403106166,56808.036190741695,62255.76029919165,68298.05425169895,74981.93651183564,82353.97129122289,90459.13943073674,99339.54960045501,109033.01718356794,119571.5514914738,130979.80456459464,143273.54539394865,156458.2306266832,170527.74558812368,185095.73865366643,199874.36019092298,214621.66075960244,229120.85608351606,243173.36422882596,256597.72107110664,269230.80177025846,280929.6754172103,291573.29620608914,301063.66439646017,309326.3160758748,316310.12618584436,321986.48064521543,326347.9125938372,329406.31625524204,331190.8564994097,331745.6874495268,331127.5827489422,329403.56589760457,326648.6132756932,322943.48648947035,318372.7354789318,313022.90005650173,306980.9255668746,300332.798326885,293162.39842360065,285550.56121423,277574.33430999034,269306.41372690885,260814.7410238289,252162.2423976615,243406.69065722945,234600.67155910004,225791.63699464194
IH,0.0,171.75461240543643,187.06064765802034,164.85969494865847,142.73770555546508,129.28128085281003,124.06823096345173,124.74214525668239,129.17339338745438,135.89364999998173,144.01192345416905,153.03349737158953,162.70617248597958,172.91532244048273,183.61944215470095,194.813147010412,206.50701415306946,218.71711263573314,231.4598327946122,244.74947957484355,258.5972324082653,273.01073376207097,287.99393470692803,303.54702180436385,319.6663506235919,336.3443610561492,353.56947278817177,371.32596906777314,389.5938802214093,408.3488787526324,427.5621970103938,447.2005771230289,467.2262614799964,487.59703061382027,508.26629390663084,529.1832371064318,550.2930291728951,571.5370894756983,592.853414847609,614.1769644695787,635.44009906613,656.5730694536237,677.5045481528184,698.1621965923592,718.4732594309413,738.3651767471382,757.7662043141424,776.6060319096214,798.1378878063798,825.2478804823495,859.7787202310931,902.7543341790957,954.7491588859637,1016.1803880377363,1087.491980144087,1169.2542731007406,1262.2098603293434,1367.289351407333,1485.6120103026255,1618.4795339274617,1767.3667859846732,1933.910632711204,2119.896544376284,2327.2418732879487,2557.9744017501284,2814.2047051570325,3098.0910140373953,3411.795551593457,3757.431760747404,4137.002412298612,4552.329290459655,5004.975953580634,5496.165914649326,6026.699405609959,6596.872593828455,7206.403615354389,7854.369993914868,8539.161866041166,9235.255835193298,9918.549397765079,10570.94919888989,11179.536682575175,11735.021308607777,12230.617777432699,12661.414243026842,13024.06313905291,13316.63391330972,13538.523014211492,13690.365712669329,13773.926941820446,13791.966949977574,13748.086789077213,13646.56224427835,13492.175271670778,13290.05090928089,13045.505876521835,12763.913191937194,12450.585389324802,12110.677425532758,11749.10919330626,11370.5066760558,10979.160179430546,10578.997706303662,10173.571362725876,9766.054649373167,9359.248566872857,8955.594610464761,8557.192921975333,8165.824083059094,7782.973256378194,7409.855598734025
IN,171.75461240543643,323.23697889357254,388.1379934731174,415.69134768016215,428.72941711307703,437.5923874677205,446.7779578153398,458.1030515956227,472.1930673838277,489.1728980980458,508.979884877154,531.4998461388153,556.6218514748044,584.256791892461,614.3406364311609,646.8318278917276,681.7069249299136,718.9561485950112,758.5794048584725,800.582898964073,844.9762864072508,891.7702574739476,940.9744536924594,992.5956326295149,1046.6360185733517,1103.0917957187426,1161.9517160950395,1223.1958066944003,1286.7941695656057,1352.7058756058757,1420.8779578959056,1491.2445140555665,1563.7259295186318,1638.2282350220835,1714.6426121090265,1792.8450601475072,1872.6962373444662,1954.0414865516684,2036.711054387929,2120.520509416572,2205.2713619073234,2290.7518841784295,2376.7381267694886,2462.995121858542,2549.2782615335254,2635.334834883467,2720.9057045094455,2805.7271000802143,2892.854002259538,2986.2757148737346,3089.941752359103,3207.458095397876,3342.078727453347,3496.8097911289356,3674.5425156799283,3878.1800685589287,4110.746587729051,4375.476666750946,4675.887207382394,5015.8342577782905,5399.556918915024,5831.70943669199,6317.381568304689,6862.1063761933165,7471.853829016291,8153.008013528399,8912.325415836605,9756.871650796504,10693.93424229848,11730.909618359798,12875.163402027216,14133.864344817948,15513.793820487757,17021.134587825996,18661.244414183264,20438.421964037138,22355.673917085172,24414.493407936126,26591.461349077876,28854.304205346656,31168.253254585226,33498.57472506181,35811.66261058461,38075.63628113603,40260.7849371842,42339.95944809176,44288.92189796282,46086.63589086797,47715.47844016977,49161.36081752353,50413.7541829894,51465.6233897172,52313.27810530998,52956.15417072729,53396.540122931074,53639.26436498216,53691.357929671496,53561.70648096925,53260.70341846749,52799.91392817411,52191.757740440036,51449.21634575992,50585.568572554635,49614.15680345017,48548.18472562538,47400.54638286549,46183.685413100655,44909.48269625922,43589.170177902524,42233.26834604333,40851.544692894524
D,4387.0,4387.0,4388.869425987959,4390.905447211256,4392.699826959129,4394.253424690742,4395.660558873621,4397.010952740749,4398.368681682469,4399.774641587531,4401.253746674438,4402.821213355599,4404.486873409836,4406.257813607523,4408.1398730932015,4410.138439258332,4412.258840886661,4414.506521886589,4416.887101066655,4419.406375632474,4422.070298488745,4424.88494422028,4427.856470594676,4430.9910783841015,4434.294970391318,4437.774309752065,4441.435177315714,4445.283527888211,4449.325145209911,4453.565595665569,4458.010180852559,4462.663889252969,4467.531347360766,4472.616770705358,4477.923915287477,4483.456030002336,4489.2158106683955,4495.205356307499,4501.426128333269,4507.878913299245,4514.5637898362165,4521.480100369886,4528.626428156028,4536.000580101875,4543.5995757611,4551.419642797575,4559.456219112377,4567.70396172204,4576.156762366666,4584.843921846951,4593.826154188058,4603.184229997403,4613.010064596092,4623.401825635911,4634.462221623231,4646.298793234945,4659.025288867608,4672.763539515508,4687.64550519191,4703.815328297033,4721.431319270032,4740.667841385534,4761.717074035239,4784.790630176417,4810.120991773477,4837.962711749412,4868.593315129311,4902.313817732377,4939.448769629322,4980.345724203941,5025.374033566295,5074.922878643286,5129.398458575025,5189.220289564519,5254.8165977665585,5326.618832905671,5405.055376819087,5490.54457085025,5583.4872341313385,5684.006381896716,5791.962690885235,5907.019904621998,6028.701157399195,6156.428462630379,6289.549980601395,6427.360409670774,6569.118012334163,6714.06003840868,6861.417168484548,7010.426997621032,7160.346330910989,7310.462016773956,7460.100098501614,7608.633158245848,7755.485826326923,7900.138515434744,8042.129506943508,8181.05556368744,8316.57127162763,8448.38732473976,8576.267966509637,8700.027790940505,8819.528088940948,8934.672904918563,9045.404945412172,9151.701458243379,9253.570178120233,9351.04541367848,9444.184332094039,9533.063480899333,9617.775572559054
R,0.0,354.3908903094125,771.5247069402488,1190.4293591845571,1602.3460329291352,2013.5133653383914,2432.434011417252,2866.2921083803635,3320.4794975829445,3798.9805688373035,4304.856815906124,4840.6254319343925,5408.511463442613,6010.602210914718,6648.936550514871,7325.554094396887,8042.520627352168,8801.939856426074,9605.957301661652,10456.759587323526,11356.570898782265,12307.647532159603,13312.271008760781,14372.739987975416,15491.361093850595,16670.438717240693,17912.263837152474,19219.10190527915,20593.179847978365,22036.672255380105,23551.686845313525,25140.249308791324,26804.28766288469,28545.616255201923,30365.919581200924,32266.73609062422,34249.44217188888,36315.23651278072,38465.125041842606,40699.90665703935,43020.159946358246,45426.23109880971,47918.22319380366,50495.98704220473,53159.11373376005,55906.92902342415,58738.489663871514,61652.58176378237,64654.18261744368,67754.42778295829,70969.35295658762,74318.7364212178,77825.36009577429,81514.66871100623,85414.7251548618,89556.36512471367,93973.48016793051,98703.38266204137,103787.22374687064,109270.44587281278,115203.25711420647,121641.1163312057,128645.21787148857,136282.96263079884,144628.3995221677,153762.61817344304,163774.0703560628,174758.79461297358,186820.5161875124,200070.59306470698,214627.7791265393,230617.77745669073,248172.56097926424,267429.4440041776,288529.8968088065,311618.10581551946,336839.2937041866,364337.8262044223,394210.0147353659,426501.31060470163,461211.6047238145,498301.0267604252,537694.7710456073,579287.1449454473,622945.276320353,668512.7852123196,715813.5547896234,764655.6124267118,814835.0601617015,866139.9618951267,918354.0886485002,971260.4322700269,1024644.4148187346,1078296.7407348931,1132015.8588763764,1185610.019841347,1238898.9297852213,1291715.014782895,1343904.3196397724,1395327.0720890565,1445857.9478277275,1495386.0742040724,1543814.810960482,1591061.3456320502,1637056.1393513905,1681742.256220534,1725074.6063445741,1767019.1292961088,1807551.9413680108,1846658.4666083485,1884332.5684139077
G,261540.0,261540.0,261597.66865938494,261688.08367150117,261799.1070870476,261924.88263322716,262062.6705772778,262211.2955548557,262370.3799718098,262539.9622498813,262720.3046508864,262911.7950631815,263114.8956935941,263330.1153665093,263557.99380573985,263799.0920408262,264053.9859467933,264323.2613654,264607.5099871463,264907.3255513018,265223.30012131785,265556.02030245087,265906.0633310516,266273.9930029738,266660.3554333134,267065.6746571168,267490.4480938765,267935.14190918405,268400.1863156443,268885.9708624569,269392.8397690849,269921.08736316155,270470.95368617476,271042.6203324287,271636.2065872231,272251.7659290479,272889.28295783245,273548.67080692505,274229.7690905772,274932.3424313835,275656.0796035497,276400.59331824776,277165.4206669203,277950.02422750485,278753.7938274636,279576.04894653603,280416.041731581,281289.5680769753,282209.03553978394,283185.12231326074,284227.8265256321,285347.146507989,286553.5408769765,287858.2590786355,289273.5968054999,290813.10833863687,292491.7940398548,294326.2725255599,296334.94138414017,298538.1263784661,300958.2161576561,303619.77717550495,306549.6415796987,309776.95924149186,313333.2038826717,317252.1225340919,321569.61747546465,326323.5505181693,331553.46114012407,337300.192648989,343605.4242351099,350511.1113637802,358058.8422067819,366289.1233650851,375240.61353530496,384949.3285253226,395447.8446504438,406648.53428836813,418479.88473167573,430873.71689285367,443760.42095020105,457067.734160087,470721.1036415948,484644.7347179224,498762.8863341222,513001.18672652886,527287.8473053447,541554.7097326485,555738.0952988415,569779.4476167612,583625.7741794463,597229.9018369291,610550.5670889061,623552.3651687114,636205.5828990777,648485.9397920353,660374.2603069808,671856.0979507332,682921.3293025616,693563.7333074682,703780.5684731181,713572.1580485618,722941.4909325535,731893.8439984177,740436.4297479936,748578.071717467,756328.9088382574,763700.1289837888,770703.7311805976,777352.315400659,783658.8984520294
H,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2647619.496798336,2559365.5135717248,2471111.5303451135,2382857.547118502,2294603.563891891,2206349.5806652796,2118095.5974386684,2029841.614212057,1941587.6309854458,1853333.6477588345,1765079.6645322233,1676825.681305612,1588571.6980790007,1500317.7148523894,1412063.7316257781,1323809.7483991669,1235555.7651725556,1147301.7819459443,1059047.798719333,970793.8154927219,882539.8322661107,794285.8490394995,706031.8658128884,617777.8825862772,529523.899359666,441269.9161330548,353015.9329064436,264761.9496798324,176507.96645322116,88253.98322660995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
