series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,993293.2997806526,993160.4054079115,993035.2031139488,992906.7974098241,992767.7397364829,992612.3998372847,992436.0148546541,992234.1237158885,992002.2225323529,991735.5481724238,991428.9377839311,991076.7354898247,990672.7312090592,990210.124699728,989681.5127873581,989078.9005924399,988393.7390742839,987616.9916895315,986739.2325694954,985750.7774268108,984641.846494239,983402.7563303284,982024.1345519027,980497.1488261216,978813.7391914396,976966.8413838629,974950.5886301813,972760.480461588,970393.5094045289,967848.2396142933,965124.8351784376,962225.0394335067,959152.1097691219,955910.714732254,952506.8016536034,948947.4435181966,945240.6735323096,941395.3150021239,937420.812954472,933327.0725932037,929124.3083504025,924822.9060657383,920433.2997706591,915965.8636919368,911430.8194207691,906838.1577027155,902197.5739654675,897518.4164883017,892809.6460022676,888079.8054697043,883336.9988051243,878588.8773502206,873842.632990647,869104.9968912886,991971.5648644341,1113655.981220394,1234114.0615354266,1353295.2589470698,1471131.8886872411,1587533.0672027727,1702382.4272516954,1815538.423841189,1926836.2145163352,2036090.4056639199,2143098.245684118,2247643.054601409,2349497.80232331,2448428.802573596,2544199.500392773,2636574.3191042445,2725322.5132490806,2810221.956844244,2891062.7862255042,2967650.815005187,3039810.6444389173,3107388.403814727,3170254.0701399455,3228303.332413871,3281458.981599933,3329671.8220176324,3372921.112676223,3411214.5578238396,3444587.874671747,3473103.972992575,3369262.464326333,3267092.535702506,3166391.9576148405,3067218.942072829,2969747.533817242,2874192.7497596103,2780771.509884593,2689682.647587746,2601097.3699546177,2515155.5423506196,2431965.239512072,2351604.1101067346,2274121.7098252666,2199542.3022052497,2127867.8264630823,2059080.8510294985,1993147.4045917648,1930019.6222530557,1869638.1736895118,1811934.4591519637,1756832.5715233646,1704251.0306616821,1654104.3013481214,1606304.1092387573,1560760.5708954185,1517383.1546688427,1476081.4892195752
E,0.0,132.8943727411211,231.0085046055948,312.32722009599706,387.7225261664779,464.03206146501986,545.8323341453117,636.4652274275734,738.6342568106035,854.751117072049,987.1356423070646,1138.1278344338311,1310.1449314549775,1505.7016211179644,1727.4029492158415,1977.9146741728246,2259.913347993299,2576.017457671178,2928.7010833727486,3320.192426557265,3752.360989189101,4226.598882610472,4743.703402668494,5303.769280249407,5906.099565732983,6549.143672772436,7230.469583777519,7946.774700428521,8693.93660527622,9467.101533747733,10260.805142870175,11069.117650132004,11885.803900994326,12704.488509292578,13518.816814587593,14322.603786996997,15109.964884089797,15875.424923190489,16614.00301990379,17321.27337780617,17993.403092386303,18627.169121186158,19219.957190040754,19769.745702907014,20275.077765833175,20735.02429251188,21149.140892277483,21517.420904039252,21840.246572678596,22118.33999794416,22352.715140178127,22544.631854700463,22695.552653696395,22807.102662936868,22881.033049568425,24122.045654616126,26336.43588016939,29376.344815570326,33141.189873660565,37574.08922975758,42655.239099611994,48394.05010018806,54821.31212309917,61982.090244654326,69929.62181082483,78720.22105402642,88409.07366562716,99046.77289581491,110676.4681408495,123331.53527456385,137033.71587288927,151791.70040101817,167600.1456080615,184439.12009354736,202273.9674763732,221055.56743197242,240720.96422389965,261194.32253461453,282388.1627676127,304204.82313533797,326538.0937846475,349274.968619325,372297.4628695091,395484.448307821,418713.4628395869,435536.07449151913,447460.3444322378,455426.5007784127,460067.29008104006,461845.51255247276,461127.7317125909,458223.8801948289,453408.34266940004,446930.91707558057,439022.27509992104,429896.4961632876,419752.11636863597,408772.49590681103,397125.9445653164,384965.8359507235,372430.8209221867,359645.1824031425,346719.3358732508,333750.45999926026,320823.23266724194,308010.6447022401,295374.86412026687,282968.1262144365,270833.62813357054,259006.410264539,247514.21032269287
I,51.77471599945504,47.49649522883718,47.65306850917584,50.809856971237735,56.20314954166836,63.466228590590475,72.47266753096994,83.24703433081616,95.91449842319417,110.67291314389071,127.7778477370438,147.53499709963572,170.29665919306885,196.46025613729546,226.4675982846448,260.8039913133061,299.99650667174217,344.61086189012974,395.2464439811505,452.5290924473699,517.1013623674901,589.610127253405,670.6915612145059,760.9537558684717,860.9574645813832,971.1957010393031,1092.0731209013243,1223.8862535879891,1366.8057007728578,1520.8613647627983,1685.931614515574,1861.7370557765935,2047.8392733135327,2243.6445928662843,2448.412603817774,2661.2689207359017,2881.2214633812246,3107.1794101797373,3337.973929086371,3572.3798039478434,3809.137140741009,4046.972441178114,4284.618456133933,4520.832364964942,4754.411958504349,4984.209625669188,5209.144051279474,5428.209623269884,5640.483620209227,5845.1313054979255,6041.409094231009,6228.6659844411315,6406.343458439931,6573.974064439252,6731.178885618203,6877.664095166961,7050.157374982772,7276.402742108902,7577.310835009982,7968.975454368264,8464.413666194512,9074.958729276146,9811.29642516974,10684.175132552415,11704.839055556102,12885.238229053799,14238.064688146987,15776.65649731919,17514.80333102508,19466.48055057703,21645.533708912903,24065.331979492024,26738.406711564963,29676.08967565999,32888.16417433846,36382.54078000409,40164.96788360548,44238.785463765205,48604.728556553695,53260.784901829626,58202.10925420633,63420.994959755626,68906.90168105511,74646.53665009227,80623.98556788251,86820.88826143077,93022.36586592636,99077.60887731594,104877.14446000117,110339.977765042,115406.01958235366,120031.4033814904,124185.40563400395,127848.26808528522,131009.53660232812,133666.70498001523,135824.04863218043,137491.58687040492,138684.14221452613,139420.48128816142,139722.53021114488,139614.66137993,139123.05007888796,138275.09962621308,137098.9333879776,135622.95137187088,133875.44845014397,131884.29067113088,129676.6456527866,127278.76272733242,124715.79832073516
A,291.86317528440543,277.334254296,286.5354653152038,312.2643144031518,350.79040830527015,400.451231402549,460.850770747123,532.4050191977642,616.0878136298796,713.2925502854453,825.7607786836513,955.5489675175742,1105.016319493156,1276.8230724918901,1473.9323847222765,1699.610898302446,1957.4241425267253,2251.223523892201,2585.122042852547,2963.4562717577737,3390.7326585564647,3871.556971781607,4410.546709762865,5012.227541320432,5680.916247873546,6420.594064855666,7234.775602223215,8126.379478258215,9097.607271665996,10149.837287354272,11283.538926954974,12498.212229645533,13792.355549291193,15163.462551756493,16608.047951057448,18121.69982956139,19699.155132331824,21334.394057524336,23020.748596182795,24751.02037362646,26517.603148711492,28312.605759768823,30127.971888202585,31955.59367091456,33787.41687155717,35615.5359731169,37432.27814957309,39230.27559383761,41002.52611437688,42742.44226292067,44443.88952479343,46101.214299290164,47709.262529551845,49263.389919597044,50759.464710394976,52193.863986307035,53771.70506556978,55654.36009997332,57969.57058285668,60821.30603186799,64298.51290066664,68482.28143453624,73451.29439496798,79285.64811776843,86069.25348798664,93891.06084824876,102845.34181048219,113031.22898882946,124551.67896875157,137511.99325835184,152018.0095507114,168174.0608846238,186080.79111723695,205832.90903206973,227516.95826291322,251209.17454230017,276973.4948071076,304859.77422307304,334902.2574405951,367118.3398087302,401507.6433748069,438051.4217830729,476712.2980757103,517434.33020658256,560143.3910092269,604747.8425291948,650044.2458124863,695150.1469126994,739389.794133195,782230.6167145458,823246.6759225916,862096.6962682046,898510.0469505308,932277.0710516172,963241.7937686509,991295.9389563145,1016373.6822129299,1038446.8467529685,1057520.4020344403,1073628.2081924595,1086828.9920888636,1097202.5606236453,1104846.2639729423,1109871.7215326563,1112401.8200200987,1112567.9884329115,1110507.7495327038,1106362.542836271,1100275.8100712183,1092391.3308082833,1082851.7935320246
IH,0.0,2.070988639978202,2.9393815930126825,3.3815297696608244,3.7297352446443734,4.120246842202231,4.6067852331539605,5.211258160334589,5.945644817999209,6.820964876607963,7.850663734840781,9.05171300914957,10.444859308442572,12.054608201683187,13.90915701427626,16.04033165852305,18.483519209741843,21.27756488098518,24.464595522502236,28.08973196425995,32.20065594808961,36.8470032750206,42.079563313079504,47.94927648104,54.50603571713007,61.797314652199304,69.86666297136603,78.75212643488358,88.48466308751559,99.0866362228792,110.57046707008723,122.93752515764442,136.17732214294963,150.26705684866744,165.17153737414128,180.84348290646227,197.22418567461517,214.24449441416476,231.82606615105988,249.88282376242665,268.3225526460064,287.04857040946086,305.9614079062901,324.9604471599969,343.94547068421696,362.81808647555755,381.483002745492,399.8491356780522,417.830541751405,435.3471732125105,452.3254610515262,468.6987342972431,484.40748772993044,499.3995123120352,513.6299039220302,527.060966501005,539.6620256393628,552.8867917554891,568.5747077795647,588.4854978908229,614.1461983522006,646.8439795720587,687.6782602739888,737.6283191281506,797.6156350257369,868.552507583077,951.374862157721,1047.0601629320872,1156.6325654571087,1281.1577261678028,1421.7295601225517,1579.4509743111516,1755.4103339966275,1950.6551923308853,2166.1646338938253,2402.821437109432,2661.3851308302737,2942.466892180835,3246.507097428035,3573.756192550483,3924.259397175608,4297.845599240535,4694.12064379406,5112.465073348214,5552.036243775869,6011.774622359053,6490.413975339429,6978.723568793114,7466.037704533118,7942.623878395596,8400.357117482554,8832.755566258704,9234.811030435732,9602.780732266467,9933.995674090913,10226.69800134328,10479.905120025789,10693.294838836544,10867.106208020512,11002.052118376101,11099.241066610164,11160.106501569604,11186.342831172467,11179.847565877735,11142.669283742498,11076.961192320066,10984.940083050147,10868.850457550074,10730.93357345746,10573.401122896306,10398.413226308237
IN,2.2072321306396563,4.1165103717755045,5.58566863780403,6.8631804283823925,8.10281964508826,9.405044152783558,10.841117315479039,12.467292916854925,14.333278420444033,16.48740744437776,18.979923837991034,21.865184333917654,25.2032402808221,29.06105568518475,33.513497781906096,38.64416251434093,44.54605051700794,51.32207811401545,59.08538634099464,67.9593960924865,78.07754815400482,89.5826632282032,102.62585984260247,117.3649780963928,133.9624751187814,152.58278371775458,173.38915784155785,196.5400648804026,222.1852222228784,250.4614099325092,281.4882189345608,315.3639112858159,352.1615736776142,391.92573655647755,434.66961000651486,480.37305609355457,528.9813789654609,580.4049723172232,634.5198224590343,691.1688272624324,750.1638590257146,811.2884742422993,874.3011559766392,938.9389649330976,1004.9214726787181,1071.9548538257495,1139.7360220807382,1207.956706664255,1276.3073794986599,1344.4809586799602,1412.1762291917507,1479.1009368655773,1544.974525704109,1609.5305014875585,1672.5184158497043,1733.7054746264444,1792.877782230112,1851.416071784962,1911.697459651181,1976.6696268636456,2049.5684498395,2133.7479312179307,2232.5924708483826,2349.4851595716946,2487.8106245300696,2650.975959548854,2842.4377829632176,3065.7271848717455,3324.467215386483,3622.3797237622534,3963.279937620467,4351.058323897793,4789.650123547472,5282.993589826782,5834.978441865131,6449.386402815654,7129.825940978526,7879.66348047528,8701.953400599092,9599.369106168864,10574.137333939045,11627.977673926734,12762.049043017716,13976.904566050755,15272.456011427192,16647.94860799439,18101.946749907853,19624.04802213602,21198.82499938669,22808.265814230872,24433.337088873996,26055.013066732954,27654.96618029242,29216.033108146068,30722.52507932957,32160.425472366704,33517.50292392539,34783.35944749379,35949.42781694652,37008.92920032922,37956.79988776669,38789.59446138617,39505.37163071809,40103.56805055193,40584.86466522455,40951.04943888388,41204.87971271123,41349.94686680258,41390.54545200457,41331.54849390242,41178.290256744964
D,3018.0,3018.0,3018.0291115686223,3018.0704300033544,3018.1179636469665,3018.1703919613574,3018.228309637182,3018.293066508298,3018.3663203623337,3018.4498973766063,3018.545778630246,3018.6561342022824,3018.7833727391467,3018.9301945191587,3019.09964429165,3019.295163171416,3019.5206396452045,3019.7804596304354,3020.0795550857106,3020.423450140284,3020.8183031799717,3021.2709428454987,3021.7888955004064,3022.380401446567,3023.0544170474795,3023.820600004,3024.6892753465067,3025.6713802766,3026.7783867992775,3028.0222020920087,3029.41504768964,3030.969319730323,3032.6974336034627,3034.611657265444,3036.7239381600125,3039.0457290437803,3041.5878180542495,3044.360168082818,3047.371769972201,3050.6305133099836,3054.1430777108803,3057.9148465431317,3061.9498441254673,3066.2506965541306,3070.8186155539534,3075.6534041079826,3080.7534821180147,3086.115929983839,3091.73654775406,3097.6099273824207,3103.729535603717,3110.0878050044957,3116.6762309877204,3123.485472500637,3130.505454596086,3137.7254711165806,3145.1342860169348,3152.7202320665074,3160.4920766183072,3168.484443791553,3176.75669387746,3185.389652481005,3194.4822387635236,3204.1488262461653,3214.5175540196524,3225.729514261681,3237.9386232052652,3251.311953242149,3266.0303168276714,3282.2889228141526,3300.297959822432,3320.2829934689903,3342.485092764145,3367.1606257012354,3394.5806855670558,3425.0301284896755,3458.806219677626,3496.2169009196396,3537.578705227239,3583.2143559133633,3633.4500967715344,3688.6128072406177,3749.0269614635426,3815.011493007743,3886.8766278220683,3964.920746936542,4049.4273376928145,4140.662088179448,4238.760931478689,4343.7098745946405,4455.358116218042,4573.4406435459005,4697.601329329412,4827.413646903338,4962.398457951598,5102.039106468718,5245.794226558097,5393.108640150512,5543.422640183188,5696.17987988586,5850.834033484511,6006.854357172756,6163.7302569140675,6320.9749567032795,6478.128353547755,6634.759141001363,6790.466279925207,6944.879892276534,7097.661650626432,7248.504732559711,7397.133405077026
R,0.0,14.826874877909278,30.190589888929956,46.630962571311876,64.73856503416951,85.09986236792423,108.29806480381964,134.93228963705414,165.64055924981383,201.121881444393,242.1564852052034,289.62458364613866,344.52431253831594,407.9893961860592,481.306885398519,565.9350904944642,663.5216232196107,775.9212684567358,905.2132274160724,1053.7171082968591,1224.006892432926,1418.9219827445097,1641.574359862496,1895.3508444831798,2183.9095065561964,2511.169383162793,2881.2928708242307,3298.660438612388,3767.8376497133886,4293.534855661436,4880.56030759428,5533.767778832325,6258.000081921967,7058.030067226922,7938.500795459988,8903.866580532282,9958.336509260196,11105.821876234268,12349.888745839677,13693.716591147939,15140.063682443068,16691.23962500065,18349.08519102217,20114.959364696377,21989.733328486196,23973.790965644195,26067.0353385251,28268.9005222923,30578.368125530487,32993.98780872494,35513.901113893065,38135.86793924731,40857.29502731001,43675.26587950501,46586.57156154332,49587.74191905861,52675.07677961149,55855.04297117707,59143.03039054879,62561.999067913326,66141.33423684788,69916.02477048495,73926.17195134703,78216.78285882362,82837.78241246332,87844.17549225259,93296.29639235148,99260.09183349845,105807.39310089375,113016.1414133429,120970.5380765248,129761.09745648826,139484.58658672863,150243.84052694147,162147.44756925612,175309.30308756602,189848.03522080003,205886.3095998051,223550.02388261538,242967.40587426146,264268.03141651466,287581.7800097433,313037.74727170763,340763.1338703863,370882.13053380954,403514.8181979232,438776.10137143295,476720.1708394983,517351.4170329875,560633.3468009721,606495.8137351603,654840.9664510568,705548.2594112538,758478.7771094453,813479.0389655198,870384.3903733331,929022.0438503415,989213.8084979489,1050778.5312173483,1113534.2655004293,1177300.180358042,1241898.2211799612,1307154.5348264659,1372900.672276637,1438974.5832586656,1505221.4182189533,1571494.1536329407,1637654.0569826385,1703571.007730781,1769123.6903415078,1834199.6748767055
G,267897.0,267897.0,267901.0812783897,267908.17570984113,267917.7674954646,267929.6747232471,267943.9254698027,267960.6883594857,267980.234648203,268002.91861869814,268029.1686185344,268059.4842389897,268094.43693442445,268134.67239425506,268180.9135357035,268233.96327875543,268294.7064106872,268364.1099175442,268443.22120092413,268533.1636431432,268635.12905613024,268750.36666551663,268880.16844963876,269025.8508723418,269188.7333067221,269370.1137220696,269571.2424680918,269793.2952055485,270037.346170114,270304.3429951623,270595.08425158996,270910.20069652965,271250.14097937895,271615.16226361354,272005.3259201768,272420.4981639811,272860.35526337975,273324.39276834554,273811.93808219244,274322.1656418189,274854.11396484455,275406.7038577322,275978.75714507455,276569.01536529104,277176.1579721839,277798.8196773313,278435.6066594264,279085.11144961667,279745.9263744828,280416.65549961105,281095.9250667719,281782.3924571615,282474.75374300696,283171.74991129927,283872.1718577693,284574.8642577061,285315.6690157652,286124.47923400695,287026.64716476016,288044.43609931716,289198.36244866945,290508.3344358543,291994.5492904849,293678.1498211083,295581.6628160313,297729.2500193918,300146.8026244764,302861.90661544155,305903.7017302591,309302.6528547972,313090.2498711657,317298.65036035585,321960.27879357437,327107.395547086,332771.6488900186,338983.62276999134,345772.3926153763,353165.1004402,361186.5593032726,369858.8957043016,379201.2368817405,389229.44829576375,399955.9249109267,411389.43829764397,423535.04009442776,436394.0210438981,449769.6360688182,463511.45369674085,477497.9175130169,491626.9031885814,505810.499309984,519972.05188379355,534044.4251627848,547968.909943324,561694.4684898042,575177.1471541532,588379.5668158435,601270.4455358143,613824.1324936824,626020.1457794129,637842.7136928401,649280.3225978796,660325.275673254,670973.2670336732,681222.975218126,691075.6792822321,700534.8998804901,709606.0668903028,718296.2143711655,726613.7029969844,734567.9695562576
H,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3827679.658255797,3700090.336313937,3572501.014372077,3444911.692430217,3317322.370488357,3189733.048546497,3062143.7266046368,2934554.4046627767,2806965.0827209167,2679375.7607790567,2551786.4388371967,2424197.1168953367,2296607.7949534766,2169018.4730116166,2041429.1510697568,1913839.829127897,1786250.5071860373,1658661.1852441775,1531071.8633023177,1403482.541360458,1275893.219418598,1148303.8974767383,1020714.5755348784,893125.2535930185,765535.9316511586,637946.6097092987,510357.2877674388,382767.9658255789,255178.643883719,127589.3219418591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
