series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,213765.2578480643,213634.18993133336,213549.43736885974,213482.31731334399,213421.15300782677,213361.15060425107,213300.3151112346,213237.79180723694,213173.19073702794,213106.31124213152,213037.02957027487,212965.2530329014,212890.90133940612,212813.89903889762,212734.17250767376,212651.64880178295,212566.2552791528,212477.9195433911,212386.56952605394,212292.13363237857,212194.5409197067,212093.7212958813,211989.60573224543,211882.12648882667,211771.21735044417,211656.81387288586,211538.85363840588,211417.27651976596,211292.02495196267,211163.04421067584,211030.28269635752,210893.69222275884,210753.22830857136,210608.85047073945,210460.52251788505,210308.2128421765,210151.8947078726,209991.54653468163,209827.15217399705,209658.70117600635,209486.1890456225,209309.6174851562,209128.99462163696,208944.3352167019,208755.66085700315,208563.00012314174,208366.3887352154,208165.86967317175,215896.58240430974,223614.79183806485,231320.21804636315,239011.81932514237,246688.10606698578,254347.2694080859,261987.2223909067,269605.5991850428,277199.7331040007,284766.62257205916,292302.8888779202,299804.727160647,307267.8510372557,314687.43087780604,322058.02564087766,329373.5082644144,336626.98481471196,343810.7079201865,350915.9854649041,357933.0861053915,364851.1439194622,371658.06540945166,378340.4431653855,384883.4817292733,391270.94254649646,397485.1162650136,403506.8319244195,409315.5135914677,414889.2955238663,420205.2067186973,417304.345316194,414170.0484371788,410790.130693384,407163.09434857685,403293.60010098346,399191.0474990159,394869.02786947635,390344.9460197558,385639.59721575386,380776.64890054875,375782.03412326943,370683.2849436107,365508.841085159,360287.3691727574,355047.123958802,349815.37667779776,344617.92829072213,339478.71786444355,334419.5294105182,329459.7946678107,324616.4848059842,319904.0809067914,315334.6112562506,310917.7427692725,306660.91403938644,302569.49832126225,298646.98599081935,294895.17749679124,291314.379367134,287903.5973511854,284660.722187239,281582.7047386364,278665.71831695194
E,0.0,131.06791673093971,189.60689585836832,218.80557220244077,236.20876327916812,248.96941419904095,260.0110243756886,270.53212349822843,281.0267690075689,291.7009101024819,302.6423999386186,313.8904573243403,325.4640593547619,337.373547992298,349.62536961770803,362.2240015849695,375.1727238981358,388.47391488020713,402.1291492413276,416.139213068439,430.5040831266351,445.222890326705,460.2938758972291,475.7143441365462,491.48061369173274,507.5879685116937,524.0306092893404,540.80160607138,557.8928526604037,575.2950234151496,592.9975330504448,610.988500039047,629.2547142187307,647.7816092068863,666.553240219909,685.5522678844775,704.7599486114902,724.1561320801361,743.7192663486867,763.426411069645,783.2532592395592,803.1741678579639,823.1621978056055,843.1891631795486,863.2256902423987,883.2412860553186,903.2044167705808,923.082595460113,942.8424792530129,971.1536836702287,1006.5858726607893,1048.756553372318,1097.8076348773534,1154.1719008246723,1218.4736718618365,1291.4912773763065,1374.1482369660089,1467.5182555372332,1572.837432591598,1691.520797369405,1825.18189530969,1975.6548097202979,2145.0182187275004,2335.6210854681717,2550.1094520998377,2791.453590228215,3062.974461487846,3368.368062725786,3711.7257701328135,4097.548260139685,4530.749986200764,5016.650559095728,5560.948764076303,6169.674426766809,6849.113016030404,7605.697879799031,8445.865505463491,9375.870343562545,10401.55767735339,11455.543020897936,12544.352160513163,13662.518073217649,14799.50870616751,15942.159566901535,17075.747283060824,18184.67967616923,19253.09254493729,20265.422351154917,21206.952658203267,22064.311306221345,22825.89290342878,23482.186235144654,24025.994202071095,24452.54264266117,24759.48250120458,24946.796427242225,25016.62559571913,24973.035219282734,24821.738037252708,24569.79432899495,24225.30511373674,23797.11257796749,23294.51879226004,22727.03075193224,22104.136931988694,21435.118039619072,20728.892561352488,19993.896065030603,19237.992015970885,18468.411061379287,17691.71527078785
I,255.89228850102825,161.17710908560716,124.84400672525551,112.37656559454132,109.71990239953197,111.14359335037875,114.31117484214673,118.27125276404298,122.63786619440144,127.255833724942,132.06406247864973,137.03970641804932,142.17535494085155,147.46971749493866,152.92382163696166,158.53946176750821,164.31856489115435,170.26292845766392,176.37410785427176,182.6533629931772,189.1016273364958,195.7194847027443,202.50714815688372,209.46443891444068,216.59076464585917,223.88509714095056,231.34594951229911,238.9713531953087,246.75883502794704,254.70539469964064,262.80748285945674,271.0609801733613,279.46117762024846,288.00275831658104,296.67978115937876,305.4856665763382,314.41318466945773,323.45444603411636,332.6008955286221,341.8433092593832,351.1717950337113,360.5757965155634,370.04410129907353,379.5648530903937,389.12556816012875,398.71315619656343,408.31394565408664,417.9137136519612,427.4977204361868,437.0507483720864,448.10603388330264,461.3747672556578,477.2368336056394,495.95676230555813,517.778187658462,542.9656683433027,571.8243495121706,604.7107778979648,642.0406027657754,684.2955991898185,732.0310343060113,785.8837925963514,846.5814126228452,914.952060042738,991.9353810002387,1078.5941064673648,1176.1261930070232,1285.8771786453638,1409.352297783175,1548.2277323183328,1704.3601756378594,1879.7936532999406,2076.762285191504,2297.687401470688,2545.1671601906196,2821.95659035273,3130.935844340801,3475.0644438292557,3857.3195074912846,4280.61642339175,4734.799925082174,5214.63489636986,5715.851034062344,6233.884375985104,6763.517533137003,7298.844133000859,7833.369227370103,8360.178737484284,8872.148094907243,9362.170899443805,9823.391418277999,10249.42621401905,10634.562004856594,10973.919428995778,11263.575559567136,11500.64145807374,11683.294401128656,11810.767360267986,11883.300646872878,11902.06224793152,11869.04426366276,11786.943080061712,11659.030582874691,11489.022983637105,11280.952826157743,11039.048604445366,10767.625260507073,10470.987726939737,10153.348692871929,9818.76093684987,9471.063901036952
A,31.696110776910263,25.35688862152821,23.17460045607349,22.719126538822707,22.99836479867532,23.605368565937024,24.37225066204406,25.22914313769708,26.14657045277691,27.111842530582585,28.119346984256953,29.166530424257807,30.252214627016592,31.37587531991787,32.537321049548794,33.73654074875677,34.97362425674893,36.248715745006066,37.56198297535128,38.91359486809179,40.30370388694478,41.732431490724125,43.1998556894162,44.70600012295556,46.25082428277171,47.83421461508414,49.45597632241248,51.11582573443957,52.81338316009416,54.54816616411645,56.31958323607198,58.12692783944535,59.969372844193344,61.84596535876037,63.7556219876344,65.69712454847135,67.66911628895164,69.67009864808105,71.69842860977356,73.75231669837326,75.82982566636933,77.92886992399237,80.04721575869708,82.18248238977183,84.33214389950471,86.49353207751597,88.66384020908018,90.84012783156268,93.01932647554605,95.19824639890355,97.56543746198876,100.24021109781056,103.30958528110793,106.84630244947604,110.9180962691329,115.59291538003076,120.94227516813928,127.0437447991547,133.98304695086557,141.8560067245824,150.77047525333325,160.8483003267026,172.22738830756595,185.0638839453792,199.5344805077719,215.8388584979002,234.20223509680767,254.87798697971067,278.1502852023824,304.3366515496536,333.7903104682244,366.9021692932711,404.1022124283875,445.8600439575381,492.68426072955066,545.1202888700054,603.7462775784701,669.1666237158229,742.0027096899516,822.8804871984896,910.8153822130663,1005.1635814008259,1105.2895261984515,1210.4526149712397,1319.770185574913,1432.2115655499963,1546.6085233602716,1661.6767840933699,1776.0458655592859,1888.2949921443362,1996.9927849727817,2100.7383268817093,2198.2012313766945,2288.1585458279073,2369.5266727648013,2441.386954702307,2503.0040832015634,2553.8370087686885,2593.542500033893,2621.971896047639,2639.1618956051348,2645.3204260043262,2640.8087346661187,2626.120862192429,2601.8616008227677,2568.723935869185,2527.4668273400634,2478.8940306828395,2423.8344928688966,2363.124703409744,2297.593236835044
IH,0.0,51.178457700205655,76.33013251361783,90.73387637582302,100.65047135833892,108.66315130779395,115.85151301754071,122.67843068468511,129.35243203043524,135.97598971289483,142.60635659424747,149.28064243972366,156.02625134535066,162.86531221258343,169.81663291210717,176.89662357832879,184.1197818552458,191.4989841301489,199.04568402512987,206.7700609133066,214.68113719601925,222.7868731523671,231.09424402166445,239.60930219471678,248.33722657786046,257.2823607852642,266.44824157782216,275.837618806425,285.4524679948388,295.29399659690307,305.36264487743216,315.6580822928251,326.1792001840967,336.9241015404915,347.89008854487116,359.0736485715761,370.47043927238406,382.07527335548633,393.8821036350621,405.8840089040906,418.0731811595799,430.44091468654597,442.9775974840558,455.67270549272166,468.51480005755064,481.49152903245573,494.5896319025335,507.79494926703853,521.0924369895483,534.4661852819384,547.8994429454103,561.6844246440548,576.215136887103,591.9070277139361,609.1709477658019,628.409607610115,650.0228893049953,674.4163551954208,702.0107420057161,733.2516810196213,768.6194775196673,808.6390098787452,853.8898835488525,905.016986955925,962.7415809281223,1027.8730238850742,1101.32119498054,1184.109625877332,1277.3892860926746,1382.4528832593762,1500.7494342741534,1633.898732412815,1783.7051761498012,1952.170236325397,2141.5026208875297,2354.124956229268,2592.6755523552124,2860.003574213308,3159.1557305571687,3493.3524507801417,3865.951493655973,4277.814808309855,4728.638015948164,5217.304807020461,5741.940590927415,6299.886766360461,6887.671441614583,7501.004289146123,8134.80600135208,8783.27539747198,9439.992973627577,10098.056620052675,10750.242878947927,11389.185454236356,12007.561766193918,12598.278187537422,13154.645151180279,13670.534466203631,14140.512755266418,14559.946751571562,14925.078088550268,15233.067025231114,15482.00615397316,15670.906453670093,15799.659038575213,15868.976602870564,15880.318893634932,15835.806598857058,15738.127862957183,15590.441294933293,15396.27886798606
IN,43.536721715215435,78.77467350651088,91.18118139488065,95.04121618696794,96.04429704219396,96.40417878118022,96.93768388664768,97.90841720744473,99.36786919843622,101.29204924421711,103.63513762594067,106.34965441616134,109.39328313903812,112.73051267406008,116.33238129685952,120.17562265925025,124.24171063123262,128.51597830320728,132.98686031705364,137.64526047886363,142.48403082699286,147.49754472776846,152.68134739965936,158.03186946134144,163.54619149272722,169.22184978306018,175.05667530631405,181.04865951181955,187.19584178412487,193.49621445515905,199.94764208576547,206.54779240881237,213.29407687247738,220.18359916452516,227.2131104563519,234.37897039527272,241.67711310784978,249.10301766630295,256.6516826224639,264.31760433592154,272.0947589202227,279.9765877074441,287.9559861904854,296.02529644673814,304.1763030784996,312.4002327263736,320.68775722332776,329.0290004602413,337.4135490296577,345.8304667039088,354.26831278756356,362.97868745617717,372.2862317288334,382.5183375222572,393.9849970181719,406.97856429847377,421.78067744734074,438.6712064423806,457.937335488802,479.88222433678806,504.8332135369284,533.1497189189548,565.2310036719294,601.5240064281375,642.5313739715189,688.8198093505789,741.0288030389839,799.8797653942702,866.1855205190876,940.860051639737,1024.9283030965514,1119.5357411118919,1225.9572525781816,1345.6048175447788,1480.0332285260217,1630.9429531956976,1800.1790559947203,1989.7249238644174,2201.6894034922143,2438.285880649973,2701.801850779297,2992.3609918549278,3309.1727204631825,3650.870614405273,4015.5722142115947,4400.866215778818,4803.796054782612,5220.863703230989,5648.061571206821,6080.933825159791,6514.664921137186,6944.190818900432,7364.326704027132,7769.904027526887,8155.909285968954,8517.617192286858,8850.711656879297,9151.3891908066,9416.440808872787,9643.310093735055,9830.1266382726,9975.71549354261,10079.584428738182,10141.891708338973,10163.397693901585,10145.403894873878,10089.683155829858,9998.404520727618,9874.056008232472,9719.368116205242,9537.240394740353
D,1936.0,1936.0,1936.197268609523,1936.4914849611346,1936.8412208936656,1937.2291805826621,1937.6480253413386,1938.094577814998,1938.5674448087905,1939.066036903037,1939.5901596614112,1940.1398393301358,1940.7152451959257,1941.3166521752503,1941.944420480968,1942.5989828213314,1943.2808351578558,1943.9905293335773,1944.7286668238803,1945.4958932524137,1946.2928934794677,1947.120387142398,1947.979124561649,1948.8698829438956,1949.7934628248995,1950.7506847026427,1951.7423858176742,1952.7694170430734,1953.8326398512872,1954.9329233294666,1956.0711412189225,1957.248168957978,1958.4648807108672,1959.7221463684714,1961.020828509598,1962.3617793142523,1963.7458374229388,1965.1738247384753,1966.646543169137,1968.1647713141745,1969.7292610948773,1971.340734336398,1972.999879307499,1974.7073472272511,1976.4637487494826,1978.269650437448,1980.1255712427544,1982.0319790040317,1983.9892869821554,1985.9978504500114,1988.0579633558204,1990.1698550799003,1992.334881351096,1994.5559166059222,1996.8374366354622,1999.185500864585,2001.6077209758332,2004.1132500068647,2006.7128042452566,2009.4187217185195,2012.245058150782,2015.2077206145618,2018.324639338827,2021.615978655852,2025.1043886360283,2028.8152994671464,2032.7772610287027,2037.0223303515143,2041.586509694078,2046.5102377548785,2051.8389360054016,2057.623611187991,2063.921513577556,2070.796848546795,2078.321536186423,2086.5760101056426,2095.6500419859885,2105.6435729390555,2116.6675262520025,2128.844568824955,2142.309780781434,2157.211184807792,2173.700125994242,2191.926776195537,2212.037004424125,2234.1694540374124,2258.4525207494225,2285.0012177831886,2313.914021189914,2345.269828706152,2379.1251772761693,2415.5118597104533,2454.435064469586,2495.8721370204344,2539.772029262538,2586.0554680338546,2634.6158376135086,2685.3207371816443,2738.014144657512,2792.5190948752984,2848.64076362967,2906.169839999976,2964.886067214947,3024.561836354188,3084.9657262914016,3145.865896197533,3207.0332523405796,3268.244327619146,3329.2838291752505,3389.9468256689356,3450.040560695424
R,0.0,14.63799207930205,41.61151463999147,73.89781385372603,108.76694145909791,145.21747801938534,182.936185697428,221.8772167134156,262.093280337089,303.6690647077695,346.6959354994334,391.26310580333535,437.4552210483488,485.3523122907334,535.0305143894983,586.5629341143095,640.0204492142414,695.4723748165025,752.9869917664604,812.6319511045598,874.47457349818,938.5820616334256,1005.0216410854957,1073.8606424568643,1145.1665350974056,1219.0069206328683,1295.4494928256868,1374.5619689290106,1456.4119966160608,1541.067039721148,1628.5942453718146,1719.0602945871303,1812.5312380354787,1909.0723183622786,2008.7477802946512,2111.6206695905566,2217.7526218117805,2327.2036418531984,2440.031875146629,2556.293371469482,2676.0418423205933,2799.328412873322,2926.201369575048,3056.7059045291035,3190.8838578667232,3328.7734593900127,3470.4090708396507,3615.820930210714,3765.0348996044777,3918.072218161326,4074.9492616681346,4235.715681100777,4400.532268455062,4569.692117687163,4743.621179102216,4922.873322325107,5108.125921888397,5300.178147348292,5499.95260134111,5708.500386326515,5927.0095200230035,6156.816615516347,6399.421792305702,6656.506847513191,6929.956775591177,7221.88477338676,7534.660901948409,7870.944594149845,8233.721194651796,8626.342691447779,9052.572740515503,9516.635989931936,10023.27156913156,10577.790414027055,11186.135840705469,11854.946451678352,12591.62005413631,13404.376788922342,14302.31911871409,15295.48572082208,16394.89570333503,17612.259105206347,18959.296759926754,20447.410735249025,22087.444308931896,23889.453159091565,25862.469461175966,28014.261006302462,30351.094654056058,32877.515796985994,35596.15572586461,38507.57774227776,41610.17094519308,44900.09807567787,48371.300884060125,52015.56343742421,55822.63085350353,59780.37833942211,63875.02329080372,68091.37166979667,72413.0889700363,76822.98577766435,81303.30819063049,85836.02407235681,90403.09718118735,94986.74251907726,99569.65767160509,104135.2263687017,108667.69190042849,113152.29931266131,117575.40644071042
G,124506.0,124506.0,124529.32449378734,124563.06642678505,124602.00447765792,124644.03955358676,124688.34548061727,124734.61634288434,124782.75951164137,124832.77027927453,124884.68058833524,124938.5380154861,124994.39711666336,125052.315824916,125112.35391372084,125174.57230373527,125239.03271239452,125305.79744083453,125374.92921343123,125446.49103479169,125520.54604941291,125597.15739765707,125676.38806522558,125758.30072483359,125842.9575694765,125930.42013702597,126020.74912609796,126114.00420327931,126210.24380192105,126309.5249128171,126411.90286719534,126517.43111255484,126626.16098199002,126738.14145775036,126853.41892989111,126972.03695097672,127094.03598790344,127219.45317200881,127348.32204873353,127480.67232819271,127616.52963809897,127755.91528055599,127898.84599430808,128045.33372408639,128195.38539873461,128349.00271982518,128506.18196248918,128666.913790179,128831.18308506072,128998.96879569285,129171.79269208404,129350.92200548798,129537.5558997596,129732.91879251048,129938.31211836587,130155.14841437351,130384.97872698466,130629.51844971321,130890.67404970912,131170.57196706356,131471.59045666378,131796.39491560168,132147.97712949954,132529.6987999457,132945.33964368788,133399.15026001618,133895.90982976335,134440.98852315865,135040.4142400852,135700.94297072402,136430.13163352344,137236.4117098449,138129.16134467025,139118.77282347067,140216.71148326053,141435.56120618025,142789.0507356576,144292.05423509725,145960.55889309247,147811.5921091166,149850.1897208419,152082.54887731417,154513.8938308799,157147.57457810093,159984.59839788332,163023.3524374054,166259.449101719,169685.6776453013,173292.0576772477,177065.98990919144,180992.4953791784,185054.52986096067,189233.35653811827,193508.95781780593,197860.46651023568,202266.59739398613,206706.06215999485,211157.95353693125,215602.08768776886,220019.29739919887,224391.67188623085,228702.74199945797,232937.6121211888,237083.04200518128,241127.4832444989,245061.07597568567,248875.61190496478,252564.4698484245,256122.52979310797,259546.0710871875,262832.6598253561
H,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,238052.67402068723,230117.58488666432,222182.4957526414,214247.4066186185,206312.31748459558,198377.22835057267,190442.13921654975,182507.05008252684,174571.96094850393,166636.871814481,158701.7826804581,150766.69354643518,142831.60441241227,134896.51527838936,126961.42614436644,119026.33701034353,111091.24787632062,103156.1587422977,95221.06960827479,87285.98047425188,79350.89134022896,71415.80220620605,63480.71307218314,55545.623938160235,47610.53480413733,39675.44567011442,31740.356536091516,23805.26740206861,15870.178268045704,7935.089134022796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
