series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,565316.6303266055,565090.2255442559,564894.4383241059,564713.8348282417,564539.5222945662,564366.3378410351,564191.2512315684,564012.4537308645,563828.8371224025,563639.6954228913,563444.5539936251,563243.071636954,563034.9845483805,562820.0742920376,562598.1495756854,562369.0359597383,562132.5701334007,561888.5968241327,561636.967229035,561377.5383287749,561110.1727156752,560834.7387231898,560551.110733326,560259.1695898504,559958.8030745179,559649.9064204062,559332.3828460599,559006.1440996188,558671.1110052082,558327.2140056005,557974.3936961284,557612.601345361,557241.7993983545,556861.9619584623,556473.0752438129,556075.1380146693,555668.1619679948,555252.1720956846,554827.2070030831,554393.3191846014,553950.5752534766,553499.0561229776,553038.8571366579,552570.0881455815,552092.8735308042,551607.3521697721,551113.6773457018,550612.0165994209,580843.0205086238,611033.1892535189,641181.6041178898,671285.8050203687,701342.0887769981,731345.6852893517,761290.8424518168,791170.8434371387,820977.9735377438,850703.4484696848,880337.3120588831,909868.3083905508,939283.7316153088,968569.2554810551,997708.7441468319,1026684.0458266395,1055474.77124029,1084058.059679011,1112408.3367093673,1140497.0691310107,1168292.5247559496,1195759.5468517912,1222859.3556133623,1249549.3916669593,1275783.2191720204,1301510.5082923085,1326677.1183130522,1351225.3030724085,1375094.0592212772,1398219.6347243162,1389795.7406916814,1380753.3300911558,1371064.0217053867,1360722.9341136357,1349741.0624777854,1338141.4464277523,1325956.9629828,1313228.758806292,1300004.8907009105,1286339.0059697088,1272289.0177429256,1257915.7858122666,1243281.8349539004,1228450.1469875502,1213483.058617492,1198441.2891558746,1183383.1131914575,1168363.6846262338,1153434.5110456338,1138643.071460168,1124032.5661228446,1109641.784282935,1095505.0741849884,1081652.3991246372,1068109.4636872362,1054897.8951962043,1042035.4666885863,1029536.3492530573,1017411.3831817997,1005668.3590054695,994312.301030613,983345.747435281,972769.0222736622
E,0.0,226.40478234956527,364.45556680924034,452.11771586670125,511.13380944204187,553.971880658492,587.7877911145847,616.691055269969,643.0426842386013,668.1993645316605,692.9404637420723,717.7131585992474,742.7731962619059,768.2657360998021,794.2717761543993,820.8348061613456,847.976096566065,875.703455292686,904.0162294929971,932.9081492376897,962.3689318631012,992.3851757999756,1022.9408485158035,1054.017544242512,1085.594612956147,1117.6492193591248,1150.1563660126608,1183.088900584255,1216.4175189867458,1250.1107714443226,1284.135075760535,1318.4547404393597,1353.0319993364174,1387.8270589135145,1422.7981587747315,1457.9016458839055,1493.0920626488512,1528.3222488772678,1563.5434574465828,1598.7054833763757,1633.7568058434115,1668.644742534277,1703.315615589338,1737.7149282552487,1771.7875512331825,1805.4779175880785,1838.7302249725303,1871.4886438192789,1903.6975300704903,1968.52785709233,2058.579410301339,2169.8805001074306,2300.7153767757263,2450.872745595711,2621.1772021960433,2813.207780247819,3029.138717724627,3271.659367403768,3543.945149032496,3849.6614459232783,4192.9888511663385,4578.662249949681,5012.018653332702,5499.05000378158,6046.457707503529,6661.705645510377,7353.068027791179,8129.667790160811,9001.5003778495,9979.436799964657,11075.19887664364,12301.298765904916,13670.934314589082,15197.831726786002,16896.027708089212,18779.584851839318,20862.23677756613,23156.963522968505,25675.502901202497,28170.295528788345,30675.77838182827,33194.10672171011,35711.00960492996,38203.81091326968,40645.77987143444,43008.73278745442,45264.76307185556,47387.49021153593,49352.9952717975,51140.51232460299,52732.90606409239,54116.95388726068,55283.45025814981,56227.15457536721,56946.60738871052,57443.842115277155,57724.01993848197,57795.01444157161,57666.97008971951,57351.855369108496,56863.027636650004,56214.82288241095,55422.179925619654,54500.30523632367,53464.38170506715,52329.322317994745,51109.567834430745,49818.926176459834,48470.45027399658,47076.350502899644,45647.93754359161
I,346.5597484430368,311.5796675633967,297.260204939348,294.83107008361173,299.2796814944995,307.74445785576154,318.59598963950424,330.91074809520023,344.1693489123934,358.08346719941767,372.49652776233756,387.3267266901401,402.53435057656776,418.1030444513414,434.029086965379,450.3152607361423,466.9673579716648,483.9921955745414,501.39649313322883,519.1862425982991,537.3663567356218,555.9404744486563,574.9108533781002,594.2783102599705,614.0421868034573,634.2003287715695,654.7490716359055,675.6832294295738,696.9960852735946,718.6793830970237,740.7233206517637,763.1165442362927,785.846145701304,808.897662379311,832.2550805966595,855.9008434112432,879.8158631845434,903.9795395492021,928.3697832770673,952.9630464897506,977.7343595855566,1002.6573751841134,1027.7044193138377,1052.8465499881831,1078.0536232350987,1103.2943665609864,1128.5364597464904,1153.746622787502,1178.8907107117675,1203.9338149203638,1231.3542823737878,1262.8204037111618,1299.531580331116,1342.4363373373258,1392.3714735921915,1450.1517147976401,1516.6290226051258,1592.7338696456084,1679.506288845114,1778.1215909978248,1889.9137813488362,2016.3985227600015,2159.2967380712444,2320.5594492792675,2502.394104861159,2707.2923756871246,2938.0591561899114,3197.8422589651977,3490.162017265591,3818.939699038692,4188.523284090343,4603.70876661198,5069.754732104935,5592.387545180891,6177.794109946926,6832.598878050463,7563.821643406123,8378.812747921826,9285.162701198224,10290.583951836408,11383.280026905766,12555.250651382814,13799.466127810843,15108.526556161527,16474.06326068335,17886.52979614679,19335.21089786801,20808.361422455782,22293.425762518767,23777.305895244106,25246.65468923628,26688.175742992044,28088.914301477922,29436.52670522771,30719.518698169784,31927.445776663946,33051.07150456618,34082.48222501046,35015.15876690154,35844.007508237424,36565.35449433354,37176.90722604228,37677.689266111476,38067.95301254984,38349.07591647407,38523.445140600656,38594.335222695154,38565.782779273526,38442.46170424891,38229.56172212743,37932.67257448756
A,821.5223050049074,701.6514229400052,639.8778144189532,611.8777071158986,603.6857150720027,607.2737978785333,618.0214996271486,633.2659799186567,651.4699983955046,671.74407435464,693.5718407653326,716.6520577955944,740.807643265489,765.9332228118176,791.9648324459105,818.8623686640016,846.599379635387,875.1570881319375,904.5208571496647,934.6780683247355,965.6168199430176,997.3251026726651,1029.7902558796438,1062.9985907882267,1096.935114851736,1131.5833194741958,1166.9250092848658,1202.9401604727482,1239.6068010918113,1276.9009093942532,1314.7963280862373,1353.2646934745076,1392.2753790982922,1431.795453800876,1471.7896543943577,1512.2203731703519,1553.0476605442227,1594.2292431117228,1635.7205573571027,1677.4747991885808,1719.442989395557,1761.574055025685,1803.814926571681,1846.1106507399668,1888.4045184481733,1930.6382075683778,1972.7519397999247,2014.684650922054,2056.374173544533,2097.7574313463574,2144.7298890349525,2200.999529681558,2269.020955691059,2350.5828846827176,2447.175140416807,2560.218056112513,2691.2079252966064,2841.81267030198,3013.9391871278544,3209.785653964418,3431.8869060863117,3683.157717955929,3966.9367794593754,4287.032834597754,4647.773558807131,5054.0570850131235,5511.405519089428,6026.0192295325905,6604.830102178501,7255.551290032272,7986.720251774336,8807.731070868722,9728.851212805406,10761.217068043477,11916.80192729498,13208.349556397281,14649.266416947874,16253.465967623186,18035.159528950975,20008.590023769546,22141.5214500434,24412.597861008482,26803.965976848576,29297.817998733695,31874.877473221502,34513.886370415545,37191.63363596076,39883.28986229679,42562.917135091804,45204.07227215937,47780.44605213115,50266.494833398116,52638.030603779924,54872.74365231224,56950.639626208875,58854.37985324789,60569.52030186944,62084.65019164221,63391.43588112126,64484.57916401424,65361.701504317716,66023.16711724551,66471.85828733713,66712.91606875871,66753.45870535032,66602.28890364173,66269.59963928982,65766.68660293816,65105.67379792259,64299.25726793061,63360.470513607754
IH,0.0,13.862895354243198,22.676040687504212,28.595634080484665,32.859260745999585,36.1781038391696,38.96160427868185,41.44620675303851,43.769150823040945,46.01076082863649,48.21867600374141,50.421727577018245,52.63788241649995,54.878787607212494,57.15236900181057,59.46431649047771,61.8189329617705,64.21961992772177,66.66915587126691,69.16985641486912,71.72366709830769,74.33221766304305,76.99685425456767,79.71865884878885,82.49846117712707,85.33684614646013,88.2341584683797,91.19050549560248,94.20575886557393,97.2795553323066,100.41129704796445,103.60015149088036,106.84505120147004,110.14469346790867,113.49754009176182,116.90181735581815,120.35551630991253,123.85639348438372,127.40197213438736,130.98954411130265,134.61617244981034,138.27869475085066,141.973727431601,145.69767090388652,149.44671573210306,153.21684981085775,157.0038665911976,160.80337437258703,164.61080666581074,168.4214336198317,172.230374493438,176.13317127659354,180.26694108663867,184.78067199792525,189.82206166255716,195.5333879027855,202.05205294819393,209.51335681060448,218.05419141165703,227.81700395913012,238.95374539365486,251.6297157942445,266.02731573898456,282.34975395432343,300.82477223792125,321.7084426344026,345.28907658346947,371.8912647668833,401.8800409758261,435.6651336561467,473.7052345034342,516.512174139374,564.6548503455739,618.7627049796056,679.5284928394613,747.7100318118631,824.1305724448694,909.6773819289932,1005.2981090910337,1111.9944912448836,1230.8129888879112,1362.0526234983386,1505.613653001498,1661.1414021057678,1828.0785848475405,2005.6799053186423,2193.0144535507693,2388.9678285092086,2592.2492598742647,2801.4056313627757,3014.8425336431337,3230.851506118577,3447.642099148173,3663.3771304578436,3876.2094358895724,4084.3184752907077,4285.9453132821245,4479.424721425814,4663.213415614633,4835.913726116172,4996.292277197118,5143.293512590089,5276.04813079231,5393.8766832685005,5496.288735951728,5582.978100107522,5653.81470521897,5708.833718332538,5748.222516555822,5772.306097832099,5781.5314754247975
IN,21.117185525396913,38.241554256473776,49.996596540103184,58.65646834642671,65.53092375857663,71.37663444346236,76.63283444468465,81.55642182733573,86.29944655030027,90.95356108047864,95.57551960868693,100.20180458489801,104.85701577394046,109.55868175433802,114.32002024843202,119.15152302878602,124.06186764918476,129.05844386099068,134.14765954805046,139.3351204475295,144.62573748131635,150.0237923722437,155.53297899121532,161.15643034215267,166.89673681044795,172.75595888182735,178.73563618164926,184.8367939309522,191.05994750256622,197.40510553849708,203.8717719733549,210.45894724956088,217.16512898128104,223.98831231036644,230.925990190703,237.97515383279693,245.1322935357864,252.39340012819878,259.75396723112243,267.20899454783006,274.75299237224544,282.3799874950504,290.0835306707818,297.8567057921014,305.69214089867467,313.58202112792344,321.5181036934981,329.4917349548253,337.493869617737,345.515092082196,353.5456399287297,361.72861158394403,370.2817037707556,379.454535355083,389.5073247044901,400.70207764577657,413.30090449346244,427.56826921944014,443.7753283942399,462.20534167679506,483.15962636229494,506.9638129101816,533.974316914865,564.5850255429573,599.2342332498297,638.4118703202532,682.6670583528747,732.6160043111211,788.9502113780704,852.4449411019195,923.9678069011877,1004.4873134176132,1095.0810792994562,1196.9433934556537,1311.391658692969,1439.8711758596314,1583.957622421702,1745.3564906670254,1925.8986839748586,2127.531438527773,2352.3037574196615,2601.1584168947147,2874.372447217873,3171.7421522058094,3492.651446682362,3836.0907994471436,4200.6598597526845,4584.5701325283635,4985.65561395653,5401.394785845505,5828.944784533454,6265.1869814553065,6706.7822156636985,7150.233309677245,7591.952183437634,8028.328799415204,8455.799279659761,8870.910790076789,9270.381146267344,9651.15151849961,10010.431064080722,10345.732762284695,10654.90014526009,10936.12499000389,11187.956350108208,11409.30155595726,11599.41999761728,11757.910628826601,11884.694198945546,11979.99123985726,12044.29681487444
D,1936.0,1936.0,1936.1633327452819,1936.4305020402212,1936.767416032435,1937.1545641085352,1937.5808148208246,1938.0398607578245,1938.5281803012897,1939.0438687905914,1939.5859679471248,1940.154080778124,1940.7481499805926,1941.3683299373197,1942.0149122571436,1942.6882819313628,1943.3888909896084,1944.1172421581791,1944.8738782400158,1945.6593747741679,1946.4743345823676,1947.3193834087124,1948.1951661989267,1949.102343759032,1950.0415896428992,1951.0135871803009,1952.0190265923875,1953.0586021617044,1954.1330094356272,1955.242942449163,1956.3890909575516,1957.5721376721854,1958.7927554956786,1960.0516047538292,1961.349330423873,1962.6865593599798,1964.063897518369,1965.4819271857925,1966.9412042164247,1968.4422552834121,1969.9855751524724,1971.571623985974,1973.200824686874,1974.8735602927295,1976.5901714307201,1978.3509538452247,1980.156156009964,1982.0059768370645,1983.9005634956018,1985.8400093522384,1987.8243520464937,1989.8535717129546,1991.9287741627072,1994.0526807218241,1996.2297680950758,1998.4662531621655,2000.7700291212498,2003.1506080446668,2005.6190961105888,2008.1882123589173,2010.8723541437087,2013.6877091062318,2016.6524124546247,2019.786748442113,2023.1133955287823,2026.6577154304214,2030.448086905722,2034.5162856010922,2038.8979114929803,2043.6328653889168,2048.7658755202983,2054.3470744277915,2060.432625044591,2067.0853930621597,2074.3756602610215,2082.381870464338,2091.191396111747,2100.901309187507,2111.6191354650978,2123.463565924147,2136.5650940214246,2151.06654261975,2167.114257655421,2184.853409902804,2204.424991349107,2225.9634280338055,2249.594364913951,2275.4324789578122,2303.579317251648,2334.121219015359,2367.127402841038,2402.648301977124,2440.7142205754762,2481.334367695791,2524.4963067013396,2570.1658376523305,2618.2873109901575,2668.7843533653386,2721.5609716934555,2776.5029899042474,2833.479764571352,2892.346120625533,2952.944446425067,3015.1068882108884,3078.6575869557887,3143.414905334413,3209.1935985032587,3275.8068891269395,3343.0684142084947,3410.7940184295635,3478.8033756001823
R,0.0,123.86369885922217,236.9616853324561,345.4856398037441,453.05046446716244,561.7922857598185,672.9978000850838,787.465562092445,905.7136339552352,1028.0990459021004,1154.8865761244754,1286.2883725998827,1422.486778923407,1563.6474708794321,1709.9269928204667,1861.4770488285508,2018.4469064045477,2180.984696500203,2349.2380631087985,2523.3544250068226,2703.4810022000024,2889.7646960238944,3082.3518750347375,3281.3880974878757,3487.0177888192757,3699.3838853592383,3918.6274513432445,4144.887273885332,4378.299439214811,4618.996892722846,4867.108984973209,5122.7610056552385,5386.0737074100225,5657.1628214908405,5936.138567293936,6223.105157895526,6518.160303842426,6821.394717557726,7132.8916208330365,7452.726257980128,7780.965417303176,8117.666963625308,8462.879384656822,8816.641354025172,9178.981313796656,9549.917079305163,9929.455469063272,10317.591962464527,10714.310387892676,11119.582643733816,11533.368454641297,11956.484697311234,12390.340381981134,12836.778330798617,13297.987038400746,13776.458738920925,14274.978241039013,14796.632804904837,15344.837101254328,15923.369746671971,16536.41949133687,17188.640146659156,17885.213978430584,18631.923684040485,19435.233298843374,20302.37848275864,21241.466647129306,22261.587302104486,23372.932834406485,24586.929655566448,25916.379278788438,27375.60837429799,28980.626205461875,30749.287052898755,32701.45429158201,34859.16170997117,37246.76648167072,39891.086972276935,42821.517365326144,46070.110025643335,49671.61571239705,53656.73218614029,58053.29457164055,62886.56025675861,68179.06050587173,73950.25722378185,80216.13213207798,86988.78121089745,94276.05901347405,102081.30117639335,110403.14263651214,119235.44087613799,128567.30680060314,138383.24022027745,148663.36228631495,159383.73363310916,170516.74442240674,182031.5609336298,193894.61272272788,206070.10455807488,218520.53819075137,231207.2303710539,244090.8152281082,257131.7210415703,270290.6134283965,283528.7989401964,296808.58493733517,310093.593316463,323349.0271803991,336541.8908325324,349641.1645456416
G,124506.0,124506.0,124523.12989645699,124550.70478271967,124584.91223001294,124623.58486378218,124665.4986469509,124709.97095842764,124756.6301049929,124805.28302868169,124855.83931909334,124908.26753316009,124962.570061424,125018.76864438214,125076.89600536042,125136.99099603614,125199.09575854123,125263.25404433993,125329.51019564786,125397.90850528578,125468.49279168856,125541.30609529972,125616.39044259349,125693.78664701484,125773.53412941938,125855.67074827176,125940.2326343069,126027.25402694129,126116.76711123264,126208.80185507712,126303.38584686552,126400.54413414323,126500.29906401958,126602.670126199,126707.67379958736,126815.32340347856,126925.62895435648,127038.59702936135,127154.2306374702,127272.52909942897,127393.48793745022,127517.09877565588,127643.34925219827,127772.22294393666,127903.69930447933,128037.75361632486,128174.35695775035,128313.47618500008,128455.07393022596,128599.1086155233,128748.04839504008,128903.80151907305,129067.97573794397,129242.04898751128,129427.48321697242,129625.802764833,129838.6514400577,130067.83755551865,130315.37290183317,130583.5095234282,130874.7767894231,131192.02037465308,131538.4441976802,131917.65597793105,132333.7167881269,132791.19473265714,133295.2226367954,133851.55935658596,134466.6539938545,135147.7119106967,135902.76097506902,136740.71593356694,137671.43820877527,138705.7877788194,139855.66315313292,141134.02486515325,142554.89743100104,144133.34445916105,145885.41163411253,147828.03272901342,149959.41105310665,152280.3554340735,154791.8377677249,157493.7502033133,160384.2692039069,163459.54876905412,166713.61050639796,170138.36459738633,173723.72526095592,177457.7969977571,181327.1131481784,185316.9105869945,189411.42576037583,193594.19861914447,197848.3726076604,202156.9807475682,206503.20990984357,210870.6374631213,215243.43649519165,219606.54762903668,223945.817029151,228248.1014841797,232501.3424507811,236694.6116639757,240818.13138773778,244863.27263095885,248822.53472634873,252689.50960152372,256458.83389823177,260126.131849276,263687.9515304631
H,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,922214.0695513109,891473.6005662672,860733.1315812235,829992.6625961798,799252.193611136,768511.7246260924,737771.2556410487,707030.786656005,676290.3176709613,645549.8486859176,614809.3797008739,584068.9107158302,553328.4417307865,522587.97274574277,491847.50376069907,461107.03477565537,430366.56579061167,399626.09680556797,368885.62782052427,338145.1588354806,307404.6898504369,276664.2208653932,245923.75188034947,215183.28289530578,184442.81391026208,153702.34492521838,122961.87594017468,92221.40695513098,61480.93797008728,30740.468985043586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
