series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,1898811.7109974632,1882226.1625541442,1869896.1289427963,1859800.731835425,1850981.2240657867,1842945.5815389445,1835431.1871002899,1828295.0149814957,1821458.4157605562,1814877.9679836007,1808529.627862666,1802399.951810202,1796481.1842486414,1790768.4969476773,1785258.441428556,1779948.091431294,1774834.580111514,1769914.8634642127,1765185.6130336353,1760643.1817703042,1756283.6103691878,1752102.6550338322,1748095.825559391,1744258.4272977707,1740585.6033268066,1737072.37478128,1733713.6782755482,1730504.3999243404,1727439.4058084653,1724513.5689298883,1721721.7928122336,1719059.0319620918,1716520.3094341592,1714100.731751716,1711795.5014309883,1709599.9273482943,1707509.4331755014,1705519.5640940836,1703625.9919820994,1701824.519252439,1700111.0815051538,1698481.7491418333,1696932.7280759998,1845104.060148222,1993168.3962434232,2141136.091837049,2289011.991027391,2436796.032664706,2584483.909226436,2732067.6478183963,2879536.0488352748,3026874.9600138683,3174067.387335085,3321093.4550977396,3467930.2302273926,3614551.4240319845,3760926.9805848477,3907022.5562172616,4052798.8901059995,4198211.0621019555,4343207.630989685,4487729.644424619,4631709.510991557,4775069.725348352,4917721.4395393245,5059562.877671228,5200477.59773925,5340332.61406026,5478976.40714582,5606685.874286992,5592755.6499554785,5577567.974276508,5560982.399549294,5542895.116092927,5523225.3009127155,5501909.756223622,5478901.42174438,5454169.600173009,5427700.808635899,5399499.688915812,5369589.670695487,5338013.223294718,5304831.616639235,5270124.170325987,5233987.012763135,5196531.404959241,5157881.706975466,5118173.079756234,5077549.02149175,5036158.836721088,4994155.129358227,4951691.399288059,4908919.8077837825,4865989.161287961,4823043.147392928,4780218.842168263,4737645.495012301,4695443.586354331,4653724.144958083,4612588.305236581,4572127.080709849,4532421.32726313,4493541.868896726,4455549.758893094,4418496.650471053,4382425.252787864,4347369.850361319,4313356.866428428,4280405.453285907,4248528.09515693,4217731.211515856
E,0.0,16585.54844331912,25598.472365850637,30574.174999816405,33278.84776921007,34658.72074190416,35241.37103185924,35329.26894395745,35100.01437578041,34660.45927725707,34076.70754242151,33391.04208608767,32631.601230123855,31817.96828476307,30964.43014663895,30081.894114288378,29179.026610934045,28262.93793578019,27339.600778941687,26414.11188623291,25490.860909859915,24573.644063008964,23665.744724622284,22769.994041100395,21888.819203635125,21024.283908233254,20178.12363212517,19351.77725672217,18546.415921074822,17762.969615266204,17002.151809704264,16264.482297748773,15550.308365981964,14859.824375085815,14193.089820659576,13550.045939091084,12930.530923941167,12334.293820451841,11761.007168232383,11210.278464138182,10681.660518492761,10174.660778016521,9688.749688153137,9223.36816602931,8958.058925355479,8842.452034393991,8841.762924910043,8933.069190350008,9102.279278285696,9341.785318402803,9648.727725575936,10023.771489596658,10470.290358186641,10993.865011616183,11602.017367357066,12304.120577005244,13111.440396446062,14037.277172440701,15097.188336903459,16309.279161245868,17694.55492893566,19277.330995868866,21085.698717397543,23152.045104746143,25513.622380429526,28213.160260023273,31299.50862755408,34828.291068562896,38862.54025678837,43473.27432652537,48708.84379233356,54154.75071238877,59909.37529662691,66014.78369311786,72481.6421340981,79300.85839570597,86449.02119507716,93891.03852663796,101581.62235755613,109466.41760519665,117483.15230347522,125562.96924246852,133631.982048303,141613.03195066116,149427.58312207874,156997.6743001825,164247.83742247758,171106.8971557031,177509.57598747197,183397.84555900694,188721.98380837915,193441.31711513575,197524.64519460654,200950.36264969065,203706.3040129367,205789.34843314005,207204.8259005816,207965.76937652915,208092.05689555896,207609.48523603467,206548.81271365046,204944.8036157393,202835.30125711072,200260.35100745416,197261.38922616196,193880.5090623048,190159.8096746049,186140.83167082554,181864.0784774691,177368.6209092793,172691.7803668663
I,61192.179015059424,49560.66699938457,43104.194230688685,39485.731835075305,37444.31023014992,36274.2936129678,35573.28101662677,35109.646966486886,34749.85001245664,34417.472420473845,34069.71821455618,33683.739969389644,33248.58976758905,32760.429457002763,32219.650297638553,31629.122474354474,30993.119910603935,30316.652963303608,29605.050336153778,28863.69525886627,28097.858577556803,27312.593747906183,26512.67210008457,25702.544813986016,24886.32295276462,24067.7699195587,23250.302578904786,22436.99846944802,21630.607297175102,20833.56540056727,20048.012218856104,19275.808031612854,18518.552408708518,17777.60293673943,17054.093885317438,16348.954552996374,15662.927093708004,14996.583674129628,14350.342852920618,13724.485106015763,13119.167449444032,12534.437133439396,11970.24439970812,11426.45430825433,10902.857651679793,10431.372134523332,10028.846580649635,9702.710604300713,9454.88498667287,9284.407018566373,9189.137336441032,9166.832177113276,9215.793119946478,9335.247525453673,9525.566975296191,9788.396706846393,10126.744359626782,10545.05924618523,11049.321930296024,11647.156541260862,12347.97370175603,13163.149226565754,14106.242138286829,15193.254510830726,16442.93479232368,17877.125260514993,19521.152857792746,21404.260591962873,23560.073732422465,26027.090944713083,28849.18507632422,32070.530558131897,35652.82768043385,39582.638918603436,43856.5988665652,48473.88804603045,53432.21782115384,58725.55061432886,64342.724979947874,70266.60736519583,76473.6068718459,82933.48780601157,89609.45584398549,96458.50591581612,103432.01792495295,110476.57795985263,117534.99219431503,124547.45095456878,131452.7931231192,138189.81705805863,144698.58383534043,150921.66169692672,156805.26658522245,162300.26181819793,167362.9894678301,171955.91601528405,176048.08463006743,179615.37536218803,182640.58222016794,185113.3222779467,187029.79650904256,188392.4250137027,189209.38080786442,189494.04657059207,189264.41792488773,188542.47519360774,187353.5433598183,185725.65738219387,183688.94725634705,181275.05442586623,178516.58845318755
A,7287.641964498803,5834.579567991809,5024.246941922383,4567.3158387024,4307.394077648302,4156.863792730551,4065.716611763311,4005.144172189995,3958.519924810332,3916.312487510703,3873.165156561483,3826.1962453249457,3773.99859049878,3716.044496744744,3652.328296696669,3583.1495361066654,3508.9801867039478,3430.3825717478567,3347.958230459004,3262.3158859228884,3174.051369071155,3083.7351393913686,2991.90471287801,2899.060315349603,2805.6626922887635,2712.13238290956,2618.850000119978,2526.1572054885382,2434.358162879884,2343.72131637271,2254.481379698935,2166.8414532254574,2080.9752050206516,1997.0290676334025,1915.1244136230607,1835.3596817240746,1757.8124325209537,1682.5413181143817,1609.5879547926552,1538.978691404086,1470.7262691151789,1404.8313706567178,1341.284059099786,1280.065107742517,1221.1472238893753,1168.3299539583008,1123.5831870297575,1087.7436848283073,1060.9934877151095,1043.1784141356954,1034.0130980181123,1033.2082080554364,1040.5462555752,1055.9249233963287,1079.3810745875112,1111.104319112051,1151.4459598270278,1200.9270352898375,1260.2477809827542,1330.2999396714024,1412.1828056674885,1507.2235657319093,1617.00231201072,1743.3819845295575,1888.543403935106,2055.025441606769,2245.770212202886,2464.1729341319497,2714.1357583197428,3000.1243878164664,3327.225675721911,3700.541316923476,4115.333596041858,4569.903367384563,5063.785611411881,5596.8350482115775,6168.741845415498,6778.759660186288,7425.544060645356,8107.054764339182,8820.501398322556,9562.324554191873,10328.208963194935,11113.12716408532,11911.411855305549,12716.854161581388,13522.823845855197,14322.406388832213,15108.551037907211,15874.223499894335,16612.556950626345,17316.99543547203,17981.42447347684,18600.284664186478,19168.665229841128,19682.375608322047,20137.994357509353,20532.89567080204,20865.254688065077,21134.03348809887,21338.950157980737,21480.433656346715,21559.567338042056,21578.0240101004,21537.995271193806,21442.11767713352,21293.398001268506,21095.139545763577,20850.871129324045,20564.28004666339,20239.14997862864
IH,0.0,6477.350626501808,8608.345277384411,9031.053522408423,8867.446506604621,8566.43269512165,8286.335147707041,8066.739966553005,7903.677087396829,7780.950047196615,7682.062677981408,7593.922193095572,7507.314016298107,7416.296240891281,7317.3783029012675,7208.789759352543,7089.915436915766,6960.888421354259,6822.308153201442,6675.0498431718015,6520.137618660979,6358.661009655818,6191.720483547086,6020.3923213248745,5845.706360726523,5668.6323297951385,5490.071954518266,5310.854980817741,5131.737873154571,4953.404355597839,4776.467223853073,4601.471029045478,4428.895348581854,4259.158436944029,4092.6211029592073,3929.590698262984,3770.3251295681666,3615.0368283011585,3463.896627286348,3317.0375068144094,3174.5581825191666,3036.526515612224,2902.982732602098,2773.9424469545093,2649.3994794559403,2529.3284774961917,2417.0948528971257,2316.228993009899,2229.3498718594738,2158.0202488247505,2102.949405445855,2064.2790537220562,2041.8452444366771,2035.3830936916809,2044.673321414533,2069.641438036707,2110.4229306424127,2167.4064934039525,2241.264858377613,2332.980281033859,2443.869657877412,2575.6126936181417,2730.2854377235517,2910.400769877594,3118.9569200125043,3359.4947612805445,3636.164328365656,3953.800716267323,4318.009142229028,4735.258447193779,5212.981617785646,5759.680974069332,6384.4458220217475,7087.940055009969,7869.085885629204,8726.967626173013,9661.023223623997,10670.71867318793,11755.13769396219,12912.623200992308,14140.50141464164,15434.887289387116,16790.56367499124,18200.92771315969,19657.999837850424,21152.491505561884,22673.927279698306,24210.815525291033,25750.860231601182,27281.204804017136,28788.69737414432,30260.16646678168,31682.695819371904,33043.88776198763,34332.10574907337,35536.68825477913,36648.12814460857,37658.213657387554,38560.129127265696,39348.51542473411,40019.49170867948,40570.64140097297,41000.966294101745,41310.813380016,41501.77936424014,41576.59793741751,41539.0147597062,41393.65481865209,41145.88639518209,40801.68535912084,40367.50295420202
IN,5154.161389173049,10086.097718386762,13825.678726176902,16860.2024294344,19459.1108613144,21774.01856735244,23890.568072526374,25856.815501816774,27699.235406425112,29431.912795396634,31061.88879734841,32592.296292006118,34024.20866514283,35357.73088970835,36592.64012862194,37728.75610804362,38766.148079809645,39705.242298589525,40546.86865859239,41292.2701044417,41943.08941491095,42501.342497843536,42969.38399184938,43349.868898530796,43645.71266616884,43860.051312670796,43996.202632479784,44057.62917052964,44047.90340012211,43970.675370247336,43829.64296619802,43628.52483952295,43371.035999312764,43060.86600990686,42701.6597059302,42297.000311058604,41850.394829890225,41365.26157116052,40844.91965405143,40292.58034655113,39711.3400849473,39104.17502595632,38473.93698718338,37823.35063714532,37155.01180261025,36471.38676821878,35777.523882248766,35079.67299117647,34384.440264861354,33698.30882944932,33027.401198719075,32377.395713600443,31753.536899492367,31160.700104209987,30603.48539302039,30086.32579433382,29613.601780465782,29189.758287517296,28819.4233667795,28507.529265494995,28259.43774727351,28081.072047917554,27979.058193516976,27960.87858878474,28035.040869711556,28211.265024638204,28500.691713331653,28916.114523923767,29472.23855243316,30185.967100738995,31076.717381198163,32166.764790181292,33481.14507768159,35040.58861126409,36863.80012461968,38968.394419455486,41371.15779980336,44087.96004744227,47133.478168415364,50520.8162416155,54261.07021143496,58362.87057349538,62831.92898902005,67670.61170489593,72877.56066792645,78447.38115191471,84370.41202281463,90632.59130895116,97215.42561557711,104096.06735772366,111247.4990806426,118638.81960405891,126235.62264785708,134000.45519924635,141893.34031884724,149872.3474318968,157894.19241391998,165914.84989837286,173890.16109998678,181776.4219236199,189530.93806056585,197112.53600679967,204482.02132385146,211602.5778729306,218440.10407814043,224963.4844303706,231144.7963686944,236959.4543319837,242386.29414073878,247407.60194501726,252009.09276908822
D,3743.0,3743.0,3758.5213158254214,3779.1490158665288,3800.789628215669,3822.0381981527225,3842.5654653990237,3862.421550437346,3881.7514317301916,3900.6905744954006,3919.3356332652993,3937.743733720412,3955.940628023225,3973.9299879585706,3991.7012470500254,4009.2354745764355,4026.509497402401,4043.4986682868143,4060.178658894596,4076.526577296749,4092.5216287831395,4108.145472703274,4123.3823791869,4138.219255352698,4152.645587351757,4166.653329078178,4180.236758131557,4193.392312867427,4206.118419915426,4218.415318578996,4230.284886531623,4241.73046985513,4252.756719508981,4263.369435637366,4273.575420624475,4283.382341440667,4292.798601545968,4301.833222407948,4310.495734531812,4318.7960777799835,4326.744510668175,4334.351528258894,4341.627788226704,4348.584044638717,4355.231088975728,4361.579697911625,4367.640587369241,4373.432537620987,4378.982788610553,4384.324855983735,4389.4960001398995,4394.535181090404,4399.481698423205,4404.37445886385,4409.251734411302,4414.151271615857,4419.110638532589,4424.167727876756,4429.361363769886,4434.731982364002,4440.322373535394,4446.178482766363,4452.350280522385,4458.892711991059,4465.866743834108,4473.340527205249,4481.390698056019,4490.10383683575,4499.578110063585,4509.925115729664,4521.271952748672,4533.763531288627,4547.56513515525,4562.863828353738,4579.848265740121,4598.704519528282,4619.616467720472,4642.766641502493,4668.3362924540925,4696.504476521942,4727.446278872003,4761.330377640485,4798.3161414446195,4838.550437334069,4882.164310295611,4929.269684324768,4979.956225795764,5034.28849937548,5092.303532963681,5154.008890212008,5219.3813272279485,5288.366085026662,5360.876842548277,5436.79632820978,5515.977562579762,5598.245682218505,5683.40027606359,5771.218151633836,5861.456439060494,5953.855936472996,6048.144600216155,6144.041087190601,6241.25826358491,6339.506603638397,6438.497413067925,6537.945823687193,6637.573517901076,6737.111153632006,6836.300471403392,6934.896075452302,7032.666889661014
R,0.0,1675.28745646633,6373.105565549856,12090.33388946618,18049.570227264827,23990.744219020686,29857.668920022945,35663.64128325746,41437.2293670388,47202.927780263635,52976.18748139427,58763.80103636809,64565.85621987744,70377.79706144864,76192.12351809116,81999.65446817847,87790.41353231088,93554.22704291971,99281.11551631655,104961.54203995816,110586.56347816407,116147.91640185336,121638.05941463541,127050.1864227795,132378.2205764525,137616.79540266897,142761.227534367,147807.48404598064,152752.14648340736,157592.37305967585,162325.86006911888,166950.803283092,171465.85988492047,175870.1113525316,180163.02758609212,184344.43249332625,188414.4711795185,192373.57883754536,196222.45139227994,199962.0179210521,203593.41484585436,207117.96187242147,210537.13963522183,213852.56899502626,217065.99192644126,220179.25392609762,223195.05227497144,226118.30513929293,228956.0563886621,231716.92427716247,234410.52366912487,237047.01591951118,239636.8173332304,242190.44851722245,244718.4931265324,247231.63556889564,249740.7535452601,252257.04850349142,254792.20342817597,257358.56238607617,259969.32994219064,262638.79119765066,265382.555051541,268217.8245912613,271163.6994486202,274241.515639512,277475.22889727296,280891.84782969893,284521.9233513855,288400.1007023766,292565.7398604949,297063.60915259365,301944.52315482986,307263.7807454248,313077.55351130525,319442.2110333588,326414.41521491105,334051.22097579093,342409.96312320506,351547.9027424107,361521.6661380046,372386.5221741709,384195.5430119096,396998.69010014454,410841.86483053945,425765.9615894252,441805.9593456622,458990.0857231287,477339.0842916934,496865.6114220831,517573.7835774955,539458.8896206229,562507.2759652188,586696.4056026052,611995.0855780483,638363.8517181803,665755.4945770327,694115.7068408395,723383.8298838965,753493.6757885957,784374.4008521,815951.407268202,848147.251130803,880882.5369742579,914076.7815633381,947649.2323996983,981519.6292687707,1015608.899980604,1049839.784155711,1084137.381393753,1118429.622384593
G,929178.0,929178.0,932142.1019352436,936716.9570712196,942181.0495970193,948128.510268127,954322.5762391877,960620.7711064336,966934.6747319545,973207.606911067,979401.9835861134,985492.034519214,991459.5461034955,997291.3334988208,1002977.7117148136,1008511.5490573066,1013887.6631402792,1019102.4204057124,1024153.4580194164,1029039.4805621494,1033760.1034844056,1038315.7267375139,1042707.428716624,1046936.8746090502,1051006.2355731067,1054918.1165448707,1058675.4912757983,1062281.6436747957,1065740.1148018183,1069054.655018041,1072229.1808886938,1075267.736487544,1078174.4587837192,1080953.5468119965,1083609.2343425052,1086145.765778187,1088567.3750199892,1090878.2670514686,1093082.6020065655,1095184.4814968281,1097187.9369872347,1099096.9200228385,1100915.2941215686,1102646.8281615125,1104295.1911037343,1105896.1390547422,1107476.4262111795,1109056.5902127654,1110653.0720997087,1112279.794527134,1113949.3205024453,1115673.7019795943,1117465.1097568101,1119336.3175748286,1121301.0965309243,1123374.562008948,1125573.50452438,1127916.7279628904,1130425.4131941672,1133123.5214490183,1136038.2496589106,1139200.5487343601,1142645.7151276488,1146414.065664129,1150551.7052444147,1155111.396335207,1160153.5378846326,1165747.2590939228,1171971.6299858687,1178916.9855270071,1186686.3527567375,1195391.3997222774,1205069.7170801747,1215776.4775989982,1227574.37193865,1240527.9969847878,1254700.3246977052,1270150.1430681949,1286929.9685861708,1305084.2240480394,1324647.61813034,1345643.7305164526,1368083.835008532,1391966.0007357292,1417274.5073247738,1443979.598797907,1472037.5862568237,1501391.2934572413,1531970.8239880532,1563694.6153059502,1596470.7342747457,1630198.3616330528,1664769.4090950375,1700070.2123865602,1735983.2460045572,1772388.8102829743,1809166.6478098899,1846197.4537276232,1883364.2523764607,1920553.620618389,1957656.7456109743,1994570.311513186,2031197.2154163981,2067447.1176156884,2103236.8351521534,2138490.5904049454,2173140.1284700595,2207124.718234354,2240391.05255359,2272893.0628916016,2304591.663289736
H,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,4030828.921945895,3881185.221458077,3731541.520970259,3581897.8204824408,3432254.1199946227,3282610.4195068046,3132966.7190189864,2983323.0185311683,2833679.3180433502,2684035.617555532,2534391.917067714,2384748.216579896,2235104.516092078,2085460.8156042597,1935817.1151164416,1786173.4146286235,1636529.7141408054,1486886.0136529873,1337242.3131651692,1187598.612677351,1037954.912189533,888311.2117017149,738667.5112138968,589023.8107260787,439380.11023826065,289736.4097504426,140092.70926262456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
