series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,13837.566547389202,13836.846338280282,13836.18642302961,13835.547053767013,13834.901711245502,13834.232089795118,13833.524935300173,13832.77004534656,13831.95899968069,13831.08435009667,13830.13909948084,13829.116362856079,13828.009142954197,13826.810177842295,13825.511833896384,13824.106027375563,13822.584164153113,13820.937091160855,13819.155055652756,13817.22767003044,13815.143881035632,13812.891942815773,13810.459393842846,13807.833037995668,13804.998930353871,13801.942368429149,13798.647889693924,13795.099276369188,13791.279568505706,13787.171086436458,13782.755463690768,13778.013691438433,13772.92617547069,13767.472806619402,13761.633045362114,13755.386021155338,13748.710646780135,13741.585747673258,13733.990205857379,13725.903117681746,13717.303964150213,13708.172792160318,14570.599739735451,15431.699888641295,16291.362817955389,17149.43902041688,18005.740296590982,18860.03909233795,19712.06682505672,20561.511326149328,21408.013572750835,22251.16391137666,23090.498001834894,23925.492737494747,24755.562429157086,25580.055572131514,26398.25254466403,27209.364603480775,28012.534540687524,28806.839337524358,29323.576044523175,29226.21961355232,29121.223933812125,29008.22175395908,28887.093118698147,28757.896246669356,28620.825576060175,28476.183608685955,28324.359757184862,28165.812854919015,28001.055788000907,27830.64161755639,27655.150990054222,27475.180810908118,27291.33420689677,27104.211794892643,26914.4042445116,26722.486089027974,26529.010710585757,26334.506405288346,26139.4734213348,25944.381857923374,25749.67031268134,25555.74516941838,25362.98042473891,25171.71796042995,24982.26817775489,24794.91091923465,24609.89661276852,24427.44758176083,24247.75947310509,24071.00276234203,23897.324302015684,23726.848885204538,23559.680801431274,23395.905366699404,23235.59041332163,23078.78772855165,22925.534433867,22775.85429913318,22629.75898786322,22487.24923142287,22348.31593136626,22212.94119016224,22081.099271425115,21952.757491429078,21827.87704419194,21706.41376278727,21588.31881980665,21473.539370065006,21362.019138738415
E,0.0,0.7202091089211078,1.2360825185984812,1.6282352445049468,1.9479306736836748,2.227965937373395,2.4895271854152385,2.74651163553976,3.008254901043104,3.281253424614243,3.570253267996616,3.878939143928211,4.210371113559678,4.567261890444112,4.952153336440375,5.367529057880736,5.815886325583392,6.299781897594232,6.8218608581363425,7.384874126861538,7.991688099313968,8.645288486143171,9.348779531239321,10.105379222802766,10.918410750491157,11.791290233881412,12.727510607812242,13.73062147149593,14.804204674432603,15.951845413912253,17.177098651325792,18.48345071521952,19.874276046898117,21.352789158686054,22.921992014679397,24.584617207105886,26.343067485126518,28.199352392312058,30.1550229775494,32.21110575332669,34.36803727500674,36.62560089317923,38.982867375940444,42.19547916856237,46.20278810871697,50.99536200655497,56.604347284381156,63.0940157841638,70.55681343908037,79.1102829901195,88.89531289389532,100.07524453159513,112.83543771114049,127.38294671279496,143.94599752359827,162.7729864183528,184.13074747388498,208.30186946438857,235.58088802205722,266.2692425104765,300.66897137946603,337.891600054485,375.3089507709712,413.24933045895597,451.72808860521917,490.5793308637207,529.5341222146045,568.2692510212823,606.4392371602889,643.6982758181153,679.7156704028017,714.1866886362455,746.8399593611815,777.4421267140839,805.800284645381,831.7626182267786,855.2176227763016,876.0922308928725,894.34913978792,909.9835932721692,923.0198342986798,933.5074062300389,941.5174453259945,947.1390744100286,950.4759789438127,951.6432221113273,950.7643349803011,947.9687011441034,943.3892420956067,937.1603995205201,929.4164032746485,920.28980859183,909.9102826522975,898.4036186623354,885.8909547394087,872.4881748934328,858.3054700200563,843.4470378918663,828.0109025003133,812.0888346479778,795.7663573269499,779.1228210759,762.2315361352594,745.1599497807154,727.9698586855462,710.7176475268452,693.4545463011655,676.2268999486253,659.0764449020667,642.0405880833068,625.1526846676544
I,2.6903865393326867,2.4552220744672466,2.369792852044099,2.384360134613946,2.4679922522188242,2.6016560616148716,2.7738647211903786,2.9779354809040157,3.2102623873330236,3.469229155017949,3.7545260057431413,4.0667215121880504,4.406995454015014,4.776973352656749,5.178625207682028,5.614204741573632,6.086214150788496,6.597384837772109,7.150668046129768,7.749231487044094,8.396459401107014,9.095954343900845,9.851539504120472,10.667260678831866,11.547387217112336,12.496411348926223,13.51904537158876,14.620216191766596,15.80505673021015,17.07889369877893,18.44723126179434,19.915730101829556,21.49018142830507,23.176475499682283,24.980564280139465,26.90841792238893,28.96597486217005,31.159085428574926,33.49344901838234,35.97454505140703,38.60755811546725,41.397297920234486,44.348114903488955,47.46381256392694,50.88339712145737,54.722846269691665,59.0863083909252,64.07441489565686,69.79052915167456,76.34556110848081,83.86180912498435,92.47615190300627,102.34280128178682,113.63573647965322,126.55086745482275,141.307915403212,158.15194926479347,177.35447717933005,199.2139612860189,224.05560453496662,252.23025157706655,284.1122548987223,319.8838846379174,359.24007792056113,401.9613236672001,447.8500512284914,496.6962039402398,548.2598487104499,602.2640522127534,658.3941208776087,716.3008432462013,775.6062170242865,835.9106227329985,896.8006970389328,957.8573526748207,1018.6635340112674,1078.8114097479274,1137.908796836497,1195.584686951011,1251.493810512982,1305.3202245825962,1356.7799508486219,1405.6227196136488,1451.6328963441322,1494.6296803844518,1534.4666721719666,1571.0309070216426,1604.2414514459842,1634.0476530679362,1660.427128346452,1683.3835642890222,1702.944401651867,1719.1584582772016,1732.0935425264615,1741.8340984825763,1748.478916879142,1752.1389386728843,1752.9351718619646,1750.9967365826449,1746.4590486788532,1739.4621478015306,1730.1491726121214,1718.6649827836256,1705.154925155305,1689.7637395440624,1672.6345982881414,1653.9082725409219,1633.7224175914967,1612.2109690156894,1589.5036412120255,1565.7255198121893
A,0.30952906349339443,0.2964106019778875,0.29871025728623085,0.3115579370591,0.3319535129079157,0.3580818716728833,0.38888162514253777,0.4237735631620698,0.4624898046215491,0.5049664701036232,0.5512764471726275,0.6015874733100728,0.6561362141419084,0.7152124519066635,0.7791496664526694,0.8483196575752056,0.9231297187878633,1.0040214150060298,1.0914703576260112,1.1859865842531097,1.288115283654426,1.398437688925912,1.5175720120306546,1.6461743225951113,1.7849392906365278,1.9346007215230165,2.095931815027286,2.26974508086143,2.456891841960735,2.658261255013797,2.8747787760768015,3.1074039981900334,3.3571277882867623,3.6249686528542293,3.911968266242889,4.219186102651726,4.547693123016432,4.898564481585078,5.272871234063907,5.671671049892308,6.095997955322963,6.54685116119823,7.0251830590585,7.531886500689525,8.083409824349099,8.69425272814876,9.378105742665308,10.14872189940477,11.020597653217933,12.009522770968426,13.133043412446423,14.410869449702963,15.865246099869253,17.521300841198904,19.407368941038012,21.555294399554036,24.0006974737301,26.783195111833617,29.946556677274298,33.538774494555256,37.61202733612009,42.22251535496241,47.40572239728647,53.14139373971259,59.41690798853313,66.22049541975005,73.53746176230072,81.3481858138985,89.62720820989496,98.34301932704312,107.4583090053155,116.93052415732485,126.71262676987908,136.75397241934257,147.00124759659084,157.39941754466088,167.8926471590682,178.42516674450277,188.94206242878124,199.38997792467777,209.7177201432321,219.87676593514811,229.82167102896656,239.51038512993435,248.9044792445822,257.9692927152032,266.6740082992559,274.99166401974776,282.8991105432274,290.3769225998948,297.40927252080445,303.9837733930464,310.09129867636074,315.72578442456296,320.88401954391315,325.56542882178263,329.77185278973695,333.50732785718384,336.77786957245957,339.5912613417107,341.95685046364656,343.8853529197344,345.3886679928347,346.4797034698053,347.1722119117966,347.4806382460181,347.4199787407145,347.0056512669925,346.2533766231349,345.17907059545627,343.79874635116136
IH,0.0,0.11758160509165852,0.2179427211586939,0.3086442392005593,0.39462680695800945,0.47918749574438024,0.5645968652434336,0.6524893816279232,0.7441109363499753,0.8404762595123876,0.9424695262815638,1.050909165749702,1.1665901307662772,1.2903119965333776,1.4228981685281485,1.5652095306036289,1.7181546319497696,1.8826977320182838,2.0598655283282694,2.2507530777349083,2.4565292206279405,2.6784416875527253,2.9178219823410485,3.1760900782223547,3.4547589229736095,3.7554387192971803,4.079840923126482,4.42978188288203,4.807186025303955,5.21408847752175,5.65263700010286,6.1250930918915705,6.633832114694942,7.181342274668944,7.770222288132951,8.40317755314379,9.083014645234458,9.812633957072075,10.595020308243726,11.433231363746128,12.33038371877068,13.289636533641952,14.314172636689909,15.407177054556668,16.57181297877472,17.817132002611427,19.15671998490557,20.607912325310135,22.191418860184545,23.93124401246569,25.854822076455896,27.99331241911903,30.382016752174966,33.06089207485716,36.07513971617294,39.47585414458687,43.32071565372769,47.67470929947079,52.61084908769533,58.21088190030052,64.56594053961274,71.77711017693167,79.95586809508964,89.21507523609979,99.64759592661031,111.33121759323996,124.33049989253823,138.69701007082938,154.46878439013028,171.66951001360084,190.3077219820727,210.3761893112566,231.85158763492623,254.69450469713763,278.8497896189555,304.2472320476649,330.80254015687365,358.4185752510865,386.9867942246475,416.3888483793942,446.4982873055519,477.1823189609515,508.3035811154362,539.7218844174877,571.2958930332009,602.8847147341398,634.3493781815407,665.554180754287,696.3678954454787,726.6648300095994,756.325735625636,785.2385658321182,813.299089395491,840.4113631202663,866.4880724380486,891.4507489710702,915.2298752070074,937.7648869996726,959.0040848779404,978.9044651537797,997.4314816168429,1014.5587482308079,1030.2676927442044,1044.5471705297432,1057.3930473006556,1068.807758645352,1078.7998535938789,1087.3835286985727,1094.5781583910004,1100.4078266788335,1104.9008645782042
IN,0.11758285977378154,0.22094975119340055,0.3015415884494469,0.36865606628432046,0.42829294970974746,0.484374758839626,0.5395179343119672,0.5955205542812827,0.6536712377970018,0.714945210121243,0.7801291506528286,0.8499010891079192,0.9248819296198931,1.005669070011014,1.092858724809446,1.1870611236665032,1.2889112169632724,1.3990765465425543,1.5182633227520401,1.6472213574744439,1.7867482533040602,1.9376930889470845,2.1009597370892474,2.277509882440704,2.468365761222465,2.6746126106858723,2.8974007931496235,3.1379475402720063,3.3975382478967577,3.6775272386952222,3.979337898400865,4.304462081495161,4.6544586738211855,5.030951193030021,5.435624303405416,5.87021911996883,6.336527178415544,6.836382952984575,7.37165481443031,7.944234335406362,8.556023871262724,9.208922370820005,9.904809404242673,10.645527433556243,11.432862395210307,12.274459544728384,13.182108597435704,14.170725658275053,15.257821527348325,16.46330739654691,17.809534460085448,19.321496642442717,21.027148319028324,22.95780393426749,25.148595693271844,27.638970467101146,30.47320880814955,33.700948368420164,37.37769173751374,41.56527538136398,46.33227256811351,51.754299543153834,57.91419142688254,64.89273451591167,72.74761518772421,81.5199517461036,91.23725643206225,101.91453472101051,113.55449166815268,126.14740196168765,139.67096247075142,154.09030432705893,169.3582538457128,185.41587542335935,202.19329290150665,219.6107621348062,237.5799528398676,256.0053898216383,274.78600070945447,293.81671810255256,312.9900874833532,332.19783753942494,351.3323759237181,370.28818039539544,388.9630622640662,407.2592857662187,425.0845331923444,442.35271110027696,458.9845977083783,474.90833553054216,490.05977650469276,504.38268931890127,517.8288404161018,530.3579613335817,541.9376156867116,552.542979318559,562.1565469863584,570.7677785156192,578.3726966897225,584.9734483166543,590.5778389767537,595.1988509501348,598.8541527865485,601.5656079438888,603.3587889081551,604.2625022358233,604.3083290428348,603.5301846122709,601.963900011275,599.6468279000915,596.6174740830697
D,130.0,130.0,130.00016736664884,130.00047758815714,130.00091691497158,130.0014786300985,130.00216070962333,130.0029643615654,130.00389312045695,130.0049522942426,130.00614863524237,130.00749015431867,130.00898602729282,130.0106465615287,130.01248320251224,130.0145085677718,130.01673650022497,130.01918213602593,130.02186198386397,130.02479401383823,130.02799775476103,130.03149439918195,130.03530691568082,130.0394601681112,130.0439810415285,130.04889857453085,130.05424409769245,130.06005137768827,130.06635676659903,130.07319935575066,130.08062113328623,130.08866714448934,130.0973856536801,130.1068283062887,130.1170502894789,130.12811048944926,130.14007164328473,130.15300048297357,130.16696786894744,130.1820489102554,130.1983230682526,130.21587424048215,130.2347908212626,130.2551657353772,130.277096441203,130.3006848996306,130.32604595566477,130.35331379253643,130.38264726883062,130.41423472168825,130.44829865634836,130.48510062825596,130.52494654536198,130.56819256437166,130.6152517171201,130.66660137539552,130.72279163928368,130.78445471148706,130.85231529498495,130.92720202150875,131.01005988199128,131.10196358656526,131.20413173084913,131.31794158816638,131.44493107905768,131.58677030792987,131.74524010246918,131.92221318512176,132.11963567958728,132.33950785070172,132.583863679809,132.85474929710216,133.15420054013018,133.48422004634233,133.84675435345025,134.2436714969391,134.67673957428556,135.14760670126938,135.65778272563148,136.20862299394028,136.8013143942286,137.436863823949,138.11608916324076,138.8396127696856,139.60785745415944,140.4210448489196,141.27919603903655,142.18213429660457,143.12948973346195,144.1207056718181,145.1550465224795,146.23160695647462,147.34932215695324,148.50697894344773,149.7032275691365,150.93659400290443,152.20549252108552,153.50823844820002,154.84306090125148,156.20811540778004,157.6014962835134,159.02124867081196,160.46538015392937,161.93187188121985,163.418689137681,164.9237913235319,166.4451413058286,167.9807141203887,169.52850501052222,171.0865367972685,172.65286658304666
R,0.0,0.027334429869669476,0.07338551800738963,0.1350608749701853,0.21062149585118695,0.29921130134222196,0.4005615107035339,0.5148055281623626,0.6423637835120686,0.7838729415226052,0.9401433378738139,1.1121344571230167,1.3009420282127224,1.5077926864301419,1.7340436489965558,1.9811857971705171,2.250849154394785,2.5448101259919627,2.8650001022139855,3.2135151741606225,3.5926268034049693,4.0047933413813785,4.452672326457894,4.939133503133069,5.467272513968985,6.040425213811626,6.662182549483479,7.336405937649632,8.067243059694619,8.859143975673906,9.716877440049906,10.645547280256798,11.650608675429803,12.737884147193254,13.913579047612323,15.184296301758991,16.55705013442351,18.039278483046147,19.638853772811338,21.364091706026944,23.223757697511775,25.227070571934284,27.383703129143605,29.703779180783986,32.19786666711693,34.87762883744204,37.756789372200906,40.85186043933628,44.1827393890454,47.77324840997671,51.651669397992,55.85131103572906,60.411134655727984,65.3764583115645,70.7997534238173,76.74154450068143,83.27141907627038,90.46915165163342,98.42594168774143,107.24576132675242,117.04680336101721,127.96301399942477,140.14568829544197,153.7640637480779,169.00279001407253,186.058307337974,205.1360107621752,226.44771895801603,250.20920466089186,276.6376803987879,305.94921237870005,338.35608085689455,374.0641302275078,413.2701639192407,456.15944247908476,502.90334081179935,553.6572144006349,608.5585158907184,667.7251937533583,731.2543946924973,799.2214816241202,871.6793699050515,948.6581763142152,1030.1651682815173,1116.184995103375,1206.6801783888352,1301.591835697548,1400.8406091709041,1504.3277698039494,1611.9364677269025,1723.5330993241878,1838.9687630802935,1958.0807775764679,2080.6942369513645,2206.6235812754894,2335.6741615802644,2467.6437816478,2602.3242010404024,2739.5025861752274,2878.9628984866226,3020.4872108341006,3163.8569452841784,3308.854027203893,3455.26195224364,3602.8667642535465,3751.4579434717693,3900.829205449276,4050.7792121409457,4201.112197406225,4351.6385098345745,4502.17507635282
G,9720.0,9720.0,9720.129179710839,9720.350888628911,9720.642935696154,9720.9923246695,9721.391941936185,9721.838473919679,9722.33109970641,9722.870672857363,9723.459212162586,9724.099587685567,9724.795330395242,9725.550520125884,9726.369723275391,9727.257962160606,9728.220704568368,9729.26386620643,9730.393821373335,9731.61741880097,9732.942000637648,9734.375423160349,9735.92607817557,9737.602914279945,9739.4154572619,9741.373828971025,9743.488763986368,9745.771623394347,9748.234404952302,9750.889748873045,9753.750938425337,9756.831894510644,9760.147163352867,9763.711896429779,9767.541821787496,9771.653205916942,9776.062805438181,9780.787807938397,9785.845761444889,9791.254492187556,9797.032010515864,9803.196405081668,9809.765725677678,9816.7578554257,9824.326212629423,9832.613337485094,9841.76007839203,9851.912870301809,9863.22967623176,9875.885040687517,9890.07459113118,9906.019225366286,9923.96913878804,9944.207773700204,9967.055710526185,9992.87446525469,10022.070107266709,10055.096566416609,10092.458458860396,10134.713229894012,10182.472392235404,10236.401633479129,10297.007280712904,10364.324260094563,10438.446384282766,10519.470219084167,10607.462574803321,10702.442024437494,10804.36916839622,10913.142640332575,11028.599048905418,11150.51568765305,11278.615192060874,11412.571523351242,11552.016787065144,11696.548488309623,11845.736902032737,11999.132303237535,12156.271861253132,12316.686054624843,12479.90450880803,12645.461197575265,12812.898981003358,12981.773478465479,13151.65629477628,13322.137632207448,13492.828331243449,13663.361389416483,13833.393011039914,14002.603241780678,14170.696241327416,14337.400245395776,14502.467265361238,14665.672570245757,14826.81399186564,14985.71108987539,15142.204209369056,15296.153459739493,15447.437639726817,15595.953130063252,15741.612771875083,15884.344746049306,16024.091466116617,16160.808494838324,16294.463492600522,16425.035203898475,16552.51248661839,16676.89338747242,16798.184265794545,16916.398966939483,17031.55804572353
H,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,16302.358325314757,15430.248990101287,14558.139654887817,13686.030319674346,12813.920984460876,11941.811649247406,11069.702314033935,10197.592978820465,9325.483643606995,8453.374308393524,7581.264973180053,6709.155637966582,5837.0463027531105,4964.936967539639,4092.827632326168,3220.7182971126967,2348.6089618992255,1476.4996266857543,604.3902914722831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
