series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,28084.94237710341,28053.965632479234,28030.903330051482,28011.830752537153,27994.80201417807,27978.824094232816,27963.385842736363,27948.226246625403,27933.21601284481,27918.29572261222,27903.443090447472,27888.65546737465,27873.940420331903,27859.31062529076,27844.78107995607,27830.36757185461,27816.085830765925,27801.951057552935,27787.9776624964,27774.179122162244,27760.567904856664,27747.15543697538,27733.952094670207,27720.967211885105,27708.20909946241,27695.685072045566,27683.401480644152,27671.363749381333,27659.576415331816,27648.043170599296,27636.7669059415,27625.749755363995,27614.99314119037,27604.497819186614,27594.263923377584,27584.291010246237,27574.578102053434,27565.123729058825,27555.925970461813,27546.982493916385,27538.290593504917,27529.847226084014,27521.649045940383,29297.1658243121,31072.2205355111,32846.84306685561,34621.0328453561,36394.76606886302,38168.00083247955,39940.68045067124,41712.735331984004,43484.08373492362,45254.63167097386,47024.27215173331,48792.8839150997,50560.32971531049,52326.45422406603,54091.08156360369,55854.012475617776,57615.021120676916,59373.85150011181,61130.21349562887,62883.778531069875,64634.1748761185,66380.98263396516,68123.72848468689,69861.88029395526,71594.84174280857,73321.94718799637,75042.45702203094,76755.55386416064,78460.33997265714,80155.83631759127,80057.51039561887,79950.96108417935,79835.53455056217,79710.89703206555,79576.91520496973,79433.60668264814,79281.11856288422,79119.71601691206,78949.77331266606,78771.76424798241,78586.251031552,78393.87158780872,78195.32567690795,77991.3603771517,77782.75549780183,77570.30943793082,77354.82591751566,77137.10190265879,76917.91694202156,76698.0240353329,76478.14207230999,76258.9498137287,76041.08133589447,75825.12282424685,75611.6105793798,75401.03008713998,75193.81600140454,74990.3528915213,74790.97661435393,74595.97618185413,74405.59600782086,74220.038431031,74039.46642550676,73864.00642180558,73693.75117552972,73528.76263054048,73369.07473451448,73214.69617346008
E,0.0,30.976744624175865,47.81320876479256,57.27608360151294,62.793230327916504,66.15069895423805,68.2937007636535,69.72733754147666,70.72347355316424,71.42945835151652,71.92589324539014,72.25754344448282,72.44996114160901,72.51845390746965,72.47293099859333,72.32052024491985,72.06697464196002,71.71741984025982,71.27674189741623,70.74977856516266,70.14140354297338,69.45655290388827,68.70022089183378,67.87744019414447,66.99325510880747,66.05269230816886,65.06073181638939,64.02227963754169,62.94214279452524,61.82500714528574,60.6754181100191,59.49776430312713,58.296263978553334,57.07495414517066,55.83768217770864,54.58809973101741,53.329658756871,52.06560942025902,50.79899971439352,49.53267657922,48.269288336163655,47.01128826148195,45.76093913139904,44.520318583742394,43.99111041918253,44.00044462372869,44.440655644044135,45.248946169049205,46.393242906411295,47.862699428547856,49.661555188821254,51.80534761728909,54.318738387033775,57.23443244807092,60.59283527088921,64.44221512241216,68.83922164444878,73.84966825511194,79.54952145404853,86.02606079536434,93.37918325399394,101.72282770892022,111.18649098181562,121.9167972287505,134.07906795064906,147.85882074130214,163.46310148244032,181.1215277245109,201.08689179181977,223.63514296615165,249.0645423292903,277.6937661550719,309.8587300011085,345.9079225028187,382.9351839700506,421.3977706400519,461.34096743197995,502.6005187267523,544.8942446071302,587.867194469484,631.1176837461267,674.2156634471382,716.7179877614735,758.182165359036,798.1789229619965,836.3034287457914,872.1848975663901,905.494335300003,935.9502806547927,963.3225207255754,987.4338656535665,1008.1601553947893,1025.4287330530412,1039.2156546368221,1049.5419174614972,1056.468983182839,1060.093851496746,1060.543911531985,1057.9717639540847,1052.550171065259,1044.4672571925737,1033.922049117355,1021.1204172813459,1006.2714535593534,989.5843006712382,971.2654316954672,951.5163653351034,930.5317931597261,908.4980885376258,885.5921629071304,861.9806329592011
I,79.00496534189405,60.12376846687174,50.42239774420092,45.57638669496838,43.31434113192586,42.42419855236263,42.252679347487415,42.445050348455254,42.807461962387954,43.23335568158001,43.663841210119486,44.06624698999568,44.422454605733506,44.722525822223346,44.961204003870655,45.13598187376409,45.24602535674307,45.29156655038227,45.27355439714097,45.19344726647347,45.0530839296182,44.854598064804534,44.600357176385664,44.29291547828983,43.93497506527592,43.529352320716214,43.078947947285876,42.586719786936996,42.05565801226527,41.48876248578905,40.88902218751033,40.25939665508014,39.60279939325805,38.922083205938264,38.220027393586264,37.4993267462945,36.762582250384554,36.01229341584222,35.25085212343434,34.4805378842783,33.70351440084798,32.92182731671441,32.13740304248922,31.352048547196198,30.567452007373305,29.890625161013528,29.3769578930851,29.05237996881901,28.927162207282436,29.004288150219704,29.284394012315392,29.768602745431654,30.460110050166666,31.365063820698154,32.49307053751741,33.85752899342018,35.47590871428427,37.37003997817469,39.566452412750735,42.096781736839574,44.998254076125605,48.314251070362445,52.094954562690525,56.39806564715258,61.28958834276426,66.84466254243343,73.1484237231058,80.29685792598345,88.39760961978274,97.57068736835684,107.94899816809406,119.67862674029647,132.91876230259317,147.84116430743268,164.6290527764252,182.9839714844519,202.7476891148575,223.80661301053973,246.04954833174932,269.34935662839666,293.555801356217,318.4940263380476,343.9661657056596,369.75486954903636,395.6280589729187,421.3444377849835,446.6593780584692,471.3308463977506,495.125080787991,517.8217759029429,539.2185890346318,559.1348365612,577.4143080250869,593.9271776494675,608.571038603124,621.271121799126,631.9797878312913,640.6753980555006,647.3606796961087,652.0607014859822,654.8205722036982,655.7029660444784,654.7855674455334,652.1585150027,647.9219104757026,642.183445377947,635.0561848691917,626.6565370151772,617.1024251887814,606.5116725760432,595.0006004323716
A,26.37836738869221,21.222264141269235,18.632391124085743,17.395763874264922,16.876915974145373,16.737043025235906,16.793418554922553,16.94658490401527,17.14193583321909,17.349215805744436,17.55149612538251,17.739211999161306,17.906920289865027,18.051527297232685,18.171314132679218,18.265396409820326,18.3334211984103,18.375393976817932,18.39157701438777,18.382427123780523,18.34855520397629,18.290697929930047,18.209696305401813,18.10647819657425,17.98204328732131,17.837449625321696,17.67380132714182,17.49223722650119,17.29392036439971,17.080028277834316,16.851744070727882,16.610248260619866,16.35671139561527,16.09228743256769,15.81810786202544,15.535276559519044,15.244865337090783,14.947910163966785,14.64540802113599,14.338314351387183,14.027541064050112,13.713955052231583,13.398377179651764,13.081581694177807,12.7642960257262,12.482405804865696,12.256085437128451,12.096149444266278,12.00813925037312,11.994899566512164,12.058173392970279,12.199576309711958,12.421189762771379,12.72592902622456,13.117784858331776,13.602000678420747,14.185223275314193,14.875650145920853,15.683187395118335,16.619626541483367,17.69884511936806,18.937033690081243,20.352950142915677,21.968200557734498,23.807544121297934,25.899217426743157,28.275270782369226,30.971905803338487,34.029799505823654,37.494395392491306,41.41613674403858,45.85061179162774,50.85857509811394,56.50580498598762,62.86275408543899,69.83990043897863,77.38822438678203,85.4705661991943,94.04876626097533,103.07792796690319,112.5040736256847,122.26356841597388,132.2835810770639,142.48322263393172,152.77515434107366,163.06751337579567,173.26602674994788,183.27619524231818,193.0054400472038,202.36511868351292,211.27233378249286,219.65147759673397,227.43547494896788,234.56670642151522,240.9976107206907,246.69097955680112,251.61996965705953,255.76786459748877,259.1276241721293,261.70126135555336,263.4990869977626,264.53886069696824,264.84488329622474,264.4470625768575,263.3799793506662,261.6819765940807,259.3942897640862,256.5602321681203,253.22444535243397,249.4322210020624,245.22889784821578
IH,0.0,15.718880739820314,24.313672081452403,29.137000214066255,31.96285563221575,33.733266706599366,34.94729722400556,35.86711901620224,36.628160594380326,37.29826901988577,37.90955544837766,38.475534973168024,39.000326978603766,39.483563496540924,39.922978071169126,40.31574392837119,40.65914102759862,40.95086609755612,41.18915547768711,41.3728121406842,41.50118565793429,41.57413078604698,41.59195791533734,41.55538198109682,41.46547294532112,41.32360916140126,41.13143404602041,40.890816070565826,40.603811915870345,40.272632584413564,39.89961226773203,39.487179790293624,39.03783247830635,38.55411232577715,38.03858434819335,37.493817026313245,36.922364749556706,36.32675217154784,35.709460390648964,35.07291486687288,34.41947498420967,33.75142516480365,33.07096743903723,32.38021537374321,31.681189259674216,30.97581245911186,30.286887417187543,29.643351993627405,29.073103660725394,28.600106872334738,28.24378575734768,28.01952977295528,27.93965489854564,28.014474465851745,28.253315558863342,28.665418421457513,29.260709582247813,30.050464746794766,31.047887380053297,32.26863070600571,33.73128880429038,35.457878858410126,37.47433252546287,39.81101030698938,42.50324878773918,45.591946559165464,49.12419034393199,53.15391803355467,57.74260979016505,62.959991825764874,68.88472981014618,75.60508004136393,83.21945668341012,91.83686291430219,101.57712341179533,112.57084625359269,124.8612781490373,138.45091920677123,153.31913346327272,169.427582421463,186.72084533338852,205.12548313814472,224.5490002070896,244.87934883067396,265.98524132516434,287.717341345615,309.9102965916625,332.38550703990313,354.9544792284373,377.4225914189935,399.5930838163615,421.2710904613262,442.26754281826953,462.40279698360246,481.50986414976524,499.437154781252,516.0506784349915,531.2356712260242,544.8976500289252,556.9629155569259,567.3785448978065,576.1119277482554,583.1499096474192,588.4976103772528,592.1769869382626,594.2252087706239,594.6929088382594,593.6423684669844,591.1456870093946,587.2829800042551,582.1406419265072
IN,3.162316135201993,5.839259672805614,7.349574781384131,8.239762174880823,8.799347561345627,9.182501736747403,9.47121738650243,9.70875373808132,9.91753148034284,10.108770851425222,10.28770473889934,10.456405662894687,10.61532030183969,10.764101552852017,10.90205779285698,11.028393147218763,11.142333538976514,11.243190316112976,11.33038981547069,11.403484406531552,11.462153537851254,11.506199458413622,11.535540173615795,11.550201037542244,11.550305749785819,11.536067179944057,11.507778255841709,11.465803050711745,11.410568150443558,11.3425543528311,11.262288734638096,11.170337112812101,11.067296919909023,10.953790508976976,10.830458898937493,10.69795596752013,10.556943094929991,10.408084257654586,10.252041568196482,10.089471253116214,9.921020058646729,9.747322070345286,9.568995930814927,9.386642437474205,9.200842500685916,9.012155441266835,8.825338069570824,8.646634170116975,8.482367076850284,8.33830068584101,8.219433634994624,8.130022804795207,8.073716650532912,8.053731552815789,8.07303630203698,8.134528536262525,8.241197456282855,8.39627271040622,8.603362035994888,8.866581327865537,9.190681023520504,9.58117247557012,10.044457547138457,10.58796412098549,11.220289590991392,11.95135369761307,12.792561245454692,13.75697425734817,14.859491927243578,16.117035288956753,17.548731786389556,19.17609290254435,21.023175704076948,23.11671665984752,25.486223535360775,28.164008766289058,31.165479019734107,34.49734275490358,38.16073202274735,42.15215434588542,46.46356434918714,51.08213802491828,55.99002074279387,61.16417837789063,66.57641240887087,72.19356302854257,77.97790169495939,83.88769901150782,89.87794265457124,95.90117233518266,101.90839415668921,107.85003498888483,113.6768983164573,119.34108601622572,124.79685516597613,130.00138474308784,134.91543340314033,139.50387596227446,143.7361123497892,147.5863483525035,151.03375224001385,154.06249522990421,156.66168669060693,158.8252170142738,160.5515222946849,161.8432854173496,162.70708802819803,163.15302721666367,163.19430974866572,162.8468354263824,162.12877973358496
D,0.01,0.01,0.025718880739820316,0.05003255282127272,0.07916955303533897,0.11113240866755472,0.1448656753741541,0.17981297259815965,0.21568009161436189,0.2523082522087422,0.28960652122862796,0.3275160766770056,0.36599161165017363,0.4049919386287774,0.44447550212531833,0.48439848019648746,0.5247142241248587,0.5653733651524573,0.6063242312500134,0.6475133867277005,0.6888861988683848,0.730387384526319,0.771961515312366,0.8135534732277033,0.8551088552088002,0.8965743281541213,0.9378979373155225,0.9790293713615429,1.0199201874321087,1.060523999347979,1.1007966319323925,1.1406962442001245,1.180183423990418,1.2192212564687244,1.2577753687945015,1.2958139531426949,1.3333077701690081,1.3702301349185648,1.4065568870901126,1.4422663474807615,1.4773392623476345,1.5117587373318442,1.5455101624966479,1.5785811299356851,1.6109613453094282,1.6426425345691025,1.6736183470282144,1.703905234445402,1.7335485864390294,1.762621690099755,1.7912217969720896,1.8194655827294373,1.8474851125023926,1.875424767400938,1.9034392418667898,1.9316925574256532,1.9603579758471106,1.9896186854293585,2.0196691501761532,2.0507170375562067,2.0829856682622125,2.1167169570665028,2.152174835924913,2.1896491684503756,2.229460178757365,2.271963427545104,2.31755537410427,2.366679564448202,2.4198334824817564,2.4775760922719217,2.5405360840976865,2.6094208139078328,2.685025893949197,2.768245350632607,2.860082213546909,2.961659336958704,3.074230183212297,3.199091461361334,3.3375423805681055,3.490861514031378,3.660289096452841,3.8470099417862293,4.052135424924374,4.276684425131464,4.5215637739621375,4.7875490152873015,5.075266356632916,5.385176653224579,5.717562160264482,6.072516639492919,6.449939230911912,6.849532314728274,7.2708034051896,7.71307094800787,8.175473744991471,8.656983609141237,9.156420763922489,9.67247144235748,10.203707113583505,10.74860476361243,11.305567679169357,11.872946224067164,12.44905815181542,13.032208061462839,13.620705671840092,14.212882658778355,14.807107867548979,15.401800776387239,15.995443144854223,16.58658883186362,17.173871811867873
R,0.0,5.641475845021346,14.0377325410592,23.992244319530283,34.87015161054584,46.33509035253178,58.209004280888536,70.39712082296593,82.84776960927977,95.53092539461721,108.42683823232643,121.52009944816453,134.79663070799145,148.24223666348647,161.84198551182908,175.5800200302905,189.439585215453,203.40315826997394,217.45262063943682,231.56944091758663,245.73485304130625,259.9300224662029,274.1361973210973,288.3348437232093,302.5077654950596,316.6372089999182,330.7059539950446,344.6973914442408,358.5955892124399,372.3853465243931,386.05223802513353,399.58264823906455,412.9637971891876,426.183757907677,439.23146654235916,452.09672573914366,464.77020195675163,477.24341734617434,489.5087368024777,501.55935077044956,513.3892543580064,524.9932232822661,536.3667871429151,547.5062004862032,558.4084120909001,569.0710328751671,579.4991841865701,589.7075231027566,599.7199493738564,609.5683650720724,619.2912229648274,628.9322255711053,638.5393260876028,648.1640707040204,657.8612682445669,667.6889520892705,677.708595590086,687.98554677439,698.5896560493863,709.5960792686518,721.0862466286997,733.1489948921668,745.8818662110093,759.3925813236522,773.8006981302327,789.2394685813024,805.857907351716,823.8230847360128,843.3226533354623,864.5676130796033,887.795311557225,913.2726661333585,941.2995805561745,972.2125114908426,1006.3881196587745,1044.2469163482513,1086.2247234795811,1132.7593675014816,1184.282974116147,1241.2159836003452,1303.9613494116106,1372.8984218586554,1448.376484929305,1530.708123103016,1620.1626822380038,1716.9601136267495,1821.2654796609577,1933.1843663841798,2052.759400366643,2179.968010609359,2314.7215154972746,2456.865554491486,2606.181827930792,2762.3910588650756,2925.157050255964,3094.0916802639854,3268.7606579966996,3448.6898516352635,3633.3719993760997,3822.273619846317,4014.841951098381,4210.511764415745,4408.711919463625,4608.871549417935,4810.42578739729,5012.820967809673,5215.519257322713,5418.0026894979055,5619.776594308445,5820.372428568464,6019.350025658853
G,87.0,87.0,91.66745665898357,98.87176693574624,107.50190677289814,116.96334904480119,126.93068176734322,137.22091375470222,147.7271606140692,158.38350141382318,169.14621728585118,179.9837340570464,190.87122260381034,201.78770390861436,212.7145054397684,223.63444775421814,234.5314254028915,245.3901997759383,256.1963045768054,266.93600972129326,277.5963140590144,288.1649507898605,298.6303968622114,308.9818817379002,319.2093931847183,329.30367902586346,339.2562444841765,349.0593451533718,358.70597584497574,368.1898556742242,377.5054098033937,386.6477482811819,395.61264241581387,404.39649910578396,412.9963335305463,421.4097405771716,429.6348653500293,437.67037308029654,445.515418721502,453.16961648706075,460.6330095563417,467.90604014759344,474.9895201292892,481.8846023163146,488.5927525740271,495.22116378228066,501.85098143255044,508.54712838510994,515.3650654430888,522.3554207293695,529.5671880688708,537.0500000710281,544.8558304654383,553.0403689076825,561.6642329093376,570.7941281227643,580.5040330770121,590.8764620511292,602.0038458367073,613.9900615651309,626.9521373150817,641.0221532569489,656.349357432887,673.1025099677428,691.4724637498833,711.6749816751579,733.9537797164421,758.5837707232076,785.8744654336928,816.1734643606341,849.8699469924942,887.398033649614,929.2398615667786,975.928182442147,1028.0482569002263,1085.7474566084225,1149.2420508441157,1218.7551322420163,1294.4850440323257,1376.5876116613488,1465.1651779845429,1560.25956157268,1661.8477828698717,1769.8400908149677,1884.0800614562263,2004.3465895965578,2130.3575715376337,2261.775035102673,2398.21143654653,2539.2368226198732,2684.3865524788434,2833.169286993615,2985.074979076794,3139.582633979503,3296.1676491643793,3454.308585888726,3613.4932662155907,3773.224127748871,3933.022802596104,4092.433916145789,4251.028124945209,4408.404431391209,4564.191826470046,4718.0503209338,4869.671430693511,5018.778184480311,5165.12472159414,5308.495545397525,5448.704494629383,5585.5934900504635,5719.031108756161
H,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,53504.20159786152,51720.72821126614,49937.25482467076,48153.78143807538,46370.308051479995,44586.83466488461,42803.36127828923,41019.88789169385,39236.414505098466,37452.941118503084,35669.4677319077,33885.99434531232,32102.520958716937,30319.047572121555,28535.574185526173,26752.10079893079,24968.62741233541,23185.154025740027,21401.680639144644,19618.207252549262,17834.73386595388,16051.260479358496,14267.787092763112,12484.313706167728,10700.840319572344,8917.36693297696,7133.893546381576,5350.420159786192,3566.946773190808,1783.473386595424,4.001776687800884e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
