series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,20109271.20275325,20099414.829140622,20090389.915823344,20081575.652940888,20072595.706839416,20063212.91753665,20053269.256778948,20042651.41641365,20031271.04594094,20019053.414330542,20005930.939843457,19991839.547087226,19976716.677252226,19960500.27512525,19943128.362747043,19924538.97427383,19904670.32116962,19883461.11088628,19860850.972747255,19836780.961705133,19811194.119719256,19784036.079037894,19755255.69363909,19724805.68566208,19692643.293566626,19658730.908441678,19623036.684637018,19585535.110898405,19546207.528563917,19505042.58418824,19462036.605219297,19417193.889036335,19370526.89771647,19322056.353246126,19271811.230435103,19219828.647411715,19166153.656162813,19110838.93802259,19053944.41121112,18995536.75939827,18935688.89176301,18874479.3460986,18811991.64716999,18748313.63277262,19641244.148220968,20528551.602140978,21410162.121628948,22285858.24380939,23155309.928841602,24018096.592355635,24873722.364416096,25721626.48269505,26561190.358196642,27391742.50486583,28212562.233485464,29022882.7806954,29821894.368662123,30608747.558667395,30424849.772861086,30235447.575356632,30040150.252074607,29838955.604161985,29632094.858285513,29419942.55232311,29202962.431601495,28981673.56346353,28756627.999298736,28528395.204629842,28297550.615793962,28064666.857885092,27830306.804144237,27595018.009140227,27359328.23826709,27123741.917339887,26888737.379063886,26654764.810475223,26422244.819577407,26191567.547121353,25963092.254409127,25737147.321980804,25514030.59793053,25294010.03872641,25077324.589843586,24864185.25819543,24654776.333150316,24449256.717726707,24247761.336256653,24050402.589305628,23857271.830867432,23668440.846769795,23483963.316802207,23303876.246300567,23128201.355794173,22956946.419849563,22790106.548449505,22627665.40614555,22469596.365843132,22315863.59544476,22166423.07671519,22021223.556668058,21880207.43253027,21743311.571941413,21610468.07051167,21481604.94921217,21356646.794324145,21235515.342842765,21118130.016332366,21004408.406273555,20894266.71394041,20787620.147806443,20684383.281409293
E,0.0,9856.37361262919,16370.953295047873,21015.675096128252,24643.109398992907,27749.510567228455,30625.6095151262,33443.3703912142,36306.00190072862,39276.806909314546,42395.81629560648,45689.35907101112,49175.541891212335,52867.35620591748,56774.40740031999,60903.84233508556,65260.810319123964,69848.65318875952,74668.93977176734,79721.41369982154,85003.89689265328,90512.17571938655,96239.88799493614,102178.42376687708,108316.84964313587,114641.86424342428,121137.79067384188,127786.61041463836,134568.0415158365,141459.6624491627,148437.08136364006,155474.14887172478,162543.2109122427,169615.3967663806,176660.93601586216,183649.49719352997,190550.54013764314,197333.6736558,203969.0100451809,210427.50829417483,216681.2983780821,222703.9799136392,228470.88949658757,233959.33224922212,239148.77438446175,248639.57174405357,261410.0790300229,276842.44519162807,294588.75749498594,314480.2581181592,336466.45597128046,360574.6120036028,386882.8707028484,415502.37088663306,446565.148433159,480215.6849604231,516604.6783336329,555884.1058518261,598202.9882148746,635248.0267065434,668753.1381069372,699622.1102704144,728295.1185339135,754956.9181485788,779656.0013424326,802373.1877736949,823061.198122126,841667.3805707176,858146.5224532883,872467.7376242084,884617.7582266347,894602.0142849876,902444.3420179444,908185.8463431476,911883.2562188458,913606.9978943848,913439.1396914058,911471.3150880723,907802.6987521849,902538.0871781291,895786.1185399309,887657.6534285606,878264.3281883927,867717.2849082589,856126.0762873387,843597.7392439353,830236.027999759,816140.7952346802,801407.5085810027,786126.8890517836,770384.6578361216,754261.3781266949,737832.379170116,721167.7504641681,704332.394897802,687386.1305832654,670383.832119921,653375.603021303,636406.9720044802,619519.106764761,602749.0397260672,586129.9010595868,569691.1549961014,553458.8361191297,537455.7829174645,521701.8663991732,506214.2120282169,491007.4136438194,476093.73836633423,461483.32178657496,447184.3529833683
I,12748.517837703028,11728.62251096048,11504.632528818738,11770.687598322756,12352.070956478768,13149.83098220937,14108.896913671146,15199.673605018916,16407.396166250717,17725.960671634894,19154.339211053517,20694.48723223928,22350.1118650905,24125.93589337439,26027.245791325207,28059.601232410234,30228.635058530017,32539.90265958949,34998.75717831415,37610.23719649986,40378.959624340976,43309.014164018205,46403.857966181524,49666.21052441514,53097.94978807073,56700.011102052245,60472.29100299769,64413.55816648942,68521.37393450385,72792.02486775685,77220.46966975104,81800.3026232742,86523.73537308685,91381.59849153594,96363.3637920564,101457.18782820928,106649.97645548591,111927.46976397163,117274.34613697778,122674.3436777148,128110.39679425939,133564.78535998293,139019.29358511904,144455.3755529615,149854.32429373483,155197.44128790378,160800.9216056277,166881.6235333964,173594.27946308668,181056.02904199302,189362.41037538886,198597.65921802167,208841.24803207428,220171.95469529694,232670.3092386098,246419.9681268899,261508.3661103917,278026.86446261016,296070.52957746334,315737.6222845147,336516.0597917752,358060.3871693552,380118.2857091489,402489.52292872075,425003.2747731845,447505.8976344139,469854.649519806,491914.78151771566,513558.50898586196,534664.9935334551,555120.8255872782,574820.706913485,593668.1567772985,611576.1404699802,628467.5651162228,644275.6166244826,658943.9300452328,672426.5973542428,684688.0240946304,695702.6508064703,705454.5576419675,713936.9716007672,721151.6958355255,727108.4797708364,731824.3475730504,735322.9009765135,737633.6107469025,738791.1092482326,738834.4947562297,737806.6563866907,735753.6268264331,732723.9684961842,728768.1973580095,723938.2473145409,718286.9770363121,711867.7200946145,704733.8784642087,696938.5587839552,688534.2502131514,679572.542285225,670103.8808261523,660177.3597602854,649840.5464593024,639139.3381894961,628117.8471681073,616818.3117413329,605281.0312363382,593544.322109404,581644.4931054664,569615.8372548895,557490.638656297
A,32054.04175986256,29495.669091667125,28937.512316222965,29610.986301460187,31077.06512789358,33087.11818422912,35502.78625004454,38249.72992662659,41290.878344959034,44610.92603660671,48207.324130061,52085.021587115545,56253.37002413831,60724.27404552592,65511.05538960327,70627.72281484977,76088.46927532797,81907.29322684492,88097.6847944022,94672.34326799941,101642.90763675126,109019.69104320578,116811.41568842351,125024.94830400507,133665.03865870566,142734.06514702403,152231.79256586768,162155.14785284502,172498.01989886374,183251.0895873055,194401.69596672044,205933.74394648933,217827.65813342753,230060.3864293858,242605.4558237696,255433.0814888959,268510.3288766307,281801.3270831242,295267.5303572299,308868.0233372113,322559.86446312186,336298.46107286715,350037.9689808214,363731.708878386,377332.5916922276,390793.545081703,404909.5271556832,420225.8835121905,437131.8489856962,455922.19548524095,476837.41696596897,500089.61206447857,525878.9183712769,554403.7390542843,585866.8934927719,620479.072647053,658460.4786467173,700041.1983827066,745460.6476989399,794966.2880586592,847270.9868732389,901506.2962303372,957037.7703744905,1013361.8098496918,1070048.6756293841,1126711.7642477571,1182991.8337177304,1238549.699517336,1293063.6547437338,1346229.430704815,1397761.4156675201,1447394.3761560926,1494885.237588557,1540014.6696418556,1582588.3378085496,1622437.7553729112,1659420.7162962405,1693421.3190512862,1724349.6101002994,1752140.8870229227,1776754.7075195797,1798173.6531335723,1816401.8965850666,1831463.6198424418,1843401.3270341754,1852274.0924600586,1858155.7796299513,1861133.2627020013,1861304.677110106,1858777.721712365,1853668.0305671361,1846097.6285259621,1836193.4812702853,1824086.1472365572,1809908.5360797027,1793794.775912151,1775879.189509228,1756295.3779690422,1735175.4089289939,1712649.105341963,1688843.429972232,1663881.960153535,1637884.4469294378,1610966.4524413014,1583239.0593150498,1554808.6458008147,1525776.720517537,1496239.810828445,1466289.3991059999,1436011.901421608,1405488.6835034525
IH,0.0,509.9411920673653,954.4743981392403,1368.5927556184156,1773.3660470769296,2181.8584522657125,2602.545544276856,3041.290993067928,3502.4916536564424,3989.7415722242613,4506.217172303332,5054.9004520030285,5638.707702311704,6260.562745780464,6923.4371992077795,7630.370714506576,8384.478622992623,9188.951209484496,10047.04699661605,10962.081361467186,11937.41120905474,12976.416101121144,14082.47607427508,15258.946314987266,16509.12885266341,17836.241463450602,19243.384032478323,20733.50269145785,22309.35212505305,23973.456517616127,25728.06968690687,27575.13501890404,29516.245873807697,31552.607174338948,33684.998910591654,35913.742298850695,38238.66931370633,40659.09627316499,43173.802095975385,45781.01177070627,48478.385479755016,51263.01371168593,54131.41857589257,57079.561408677015,60102.856633678544,63196.19171629463,66353.95293514749,69583.44532784905,72900.2956965065,76325.56592253064,79883.9869332254,83602.91755406944,87511.76557967761,91641.69834913535,96025.53003879216,100697.71226442525,105694.3801082695,111053.42199865011,116814.55214641916,123019.37062915164,129711.40014798843,136911.57946510366,144626.01853041933,152850.43964144928,161572.76225071924,170774.6559055779,180432.52911621626,190518.21934283018,200999.53333930025,211840.720264869,223002.92124053184,234444.61651040585,246122.0783219083,257989.83019424463,270001.1091615648,282108.3255384284,294263.5139728751,306418.76954391185,318526.66312223754,330540.6309494033,342415.3342712434,354106.9857983162,365573.6406992383,376775.45072152844,387674.8808521303,398236.88865965774,408429.0670937725,418221.7520509063,427588.09645101393,436504.11291154707,444948.6873588923,452903.5660920713,460353.31891729997,467285.2810141204,473689.476183293,479558.52407217753,484887.53388314607,489673.9869522156,493917.61044539406,497620.24426526955,500785.703095444,503419.6353400722,505529.3805438598,507123.8267075874,508213.2687481375,508809.2691921481,508924.5220403556,508572.72059655614,507768.4299216806,506526.96445020975,504864.27119326155
IN,509.95413467518216,995.6887861800786,1417.5573346436581,1810.4300535681584,2195.2863730132726,2585.120482989881,2988.3512655293284,3410.7948724273847,3856.807389352335,4329.947405274724,4833.360336028731,5370.001093299857,5942.76246977971,6554.548158542313,7208.312862571286,7907.082420335177,8653.961355574524,9452.132067080878,10304.8480319803,11215.42233987766,12187.212278885783,13223.600369177671,14327.972075753249,15503.690365852195,16754.067270391086,18082.332640450048,19491.60034510679,20984.832226398226,22564.800203980114,24234.04700058165,25994.846034766655,27849.16109543208,29798.60646892529,31844.408231150624,33987.36744067365,36227.82597247564,38565.63571438829,41000.13180903637,43530.11056400883,46153.81257360703,48868.911499394235,51672.50884713796,54561.13495838761,57530.756309988596,60576.78908853949,63694.11888328416,66877.12622403128,70133.10666432262,73477.68382642436,76931.9287713909,80520.59753202256,84271.09201640777,88212.88224024748,92377.21756856437,96797.01442414949,101506.84720120233,106542.99458319195,111943.50973566591,117748.29309503085,123999.1528439967,130739.84208690439,137991.55209127092,145760.6491172493,154043.10405535364,162827.0696423288,172094.42814033784,181821.7763794146,191981.1128569885,202540.3758602351,213463.91487759075,224712.93890057236,236245.96273734674,248019.2594309172,259987.31943753973,272103.3131389101,284319.55122086796,296587.93666549394,308860.40209105035,321089.32663247717,333227.9272883246,345230.62053815875,357053.3509696992,368653.8845872117,379992.0653612946,391030.03439832374,401732.4118388694,412066.4422294443,422002.10464783304,431512.18930012506,440572.3426516917,449161.0834111618,457259.7918638191,464852.6751574631,471926.71118865476,478471.5737294032,484479.5413824194,489945.3928652395,494866.2910073475,499241.65770671755,503073.04193901626,506363.9827493545,509119.868987514,511347.79737684625,513056.43033774407,514255.85482130747,514957.4432496191,515173.7175074729,514918.2167876173,514205.3699583638,513050.37299925444,511469.07193759474
D,51082.0,51082.0,51082.8755381531,51084.51431290739,51086.864103809254,51089.90886594612,51093.65498481109,51098.123397943134,51103.345110447524,51109.358676563395,51116.20882128958,51123.94572335181,51132.62468138602,51142.306001123216,51153.055008320705,51164.942130821924,51178.04301536861,51192.43865753776,51208.215530432244,51225.46570184103,51244.28693185478,51264.78274416686,51287.062464973525,51311.24122378924,51337.439910780515,51365.78508549842,51396.40883222087,51429.44855754086,51465.04672638117,51503.35053329137,51544.511506692725,51588.68504467515,51636.02988200462,51686.707489150125,51740.88140535999,51798.71650907833,51860.37823025816,51926.031710363044,51995.84091701596,52069.96772131728,52148.57094678026,52231.80539959296,52319.82089048846,52412.76125887224,52510.76341000873,52613.956376005364,52722.4604110572,52836.38613093958,52955.85669373513,53081.02208779959,53212.06846346394,53349.224432564035,53492.765580382664,53643.017983605525,53800.361231352545,53965.23125269775,54138.12312805362,54319.593979581114,54510.26598157869,54710.82949524042,54922.04630657494,55144.75292743374,55379.821820255245,55628.13593789197,55890.570888640264,56167.98153922785,56461.19128410504,56770.98301256248,57098.09126051501,57443.19529002298,57806.91298111765,58189.79549548769,58592.32270791467,59014.8994152764,59457.8523340865,59921.4278916774,60405.79080677289,60911.02344449145,61437.12592010253,61984.016915932116,62551.53516715206,63139.44156503831,63747.42182074185,64375.08962867769,65021.99026622389,65687.60456541358,66371.3531925468,67072.60117298021,67790.66260060061,68524.80547448377,69274.25660882192,70038.20656622121,70815.81456878837,71606.21334592157,72408.51388228906,73221.81003402898,74045.18298566082,74877.70552450066,75718.44611347099,76566.47274705484,77420.85657873664,78280.67531158157,79145.01634662278,80012.97968644733,80883.68059380149,81756.25200718052,82629.8467172379,83503.63930945784,84376.82787989809,85248.63553194424,86118.31166293866
R,0.0,2582.5921513657213,5007.795251121718,7429.1774265996255,9942.247638811286,12609.451413972161,15474.615233083521,18571.316885543423,21927.74997915655,25569.56088332897,29521.510675688558,33808.45423924195,38455.92059934461,43490.45830997412,48939.84008709689,54833.180563648275,61200.99766895198,68075.23458991022,75489.2514347202,83477.79121284864,92076.92219269316,101323.95730652136,111257.35058185871,121916.57032348383,133341.94879511686,145574.50836191373,158655.7643959585,172627.50567771433,187531.5535169545,203409.50134153248,220302.43703771423,238250.65084865503,257293.33212552476,277468.25865742064,298811.4826620716,321357.01778273453,345136.53159456333,370179.0481674382,396510.6651579788,424154.2897124887,453129.3971610883,483451.81608198147,515133.5428282026,548182.5880547609,582602.8571812516,618394.0660940296,655551.6927531157,694134.1359932999,734244.0075803632,776016.4552190334,819612.1347637174,865213.2238563526,913021.4035567794,963257.0972759638,1016159.4987543944,1071987.080369983,1131018.3763650788,1193552.9012784066,1259912.1047814528,1330440.2889821061,1405505.4289688184,1485376.8720409453,1570256.6319858567,1660296.6714720484,1755608.368228662,1856267.6756523033,1962317.97691871,2073771.772908851,2190611.851919946,2312792.3041767897,2440239.5776089528,2572853.673118814,2710509.5192452166,2853058.531514914,3000330.3415147793,3152134.6693388694,3308263.307301416,3468492.1806624345,3632583.451325786,3800287.6322148577,3971345.6827482837,4145491.0591344796,4322451.696797081,4501951.905928374,4683714.164795284,4867460.798885685,5052915.537207812,5239804.939994581,5427859.694690333,5616815.779398485,5806415.494946066,5996408.3683853205,6186551.932120705,6376612.383943315,6566365.1340985345,6755595.246132636,6944097.7786863055,7131678.035653719,7318151.732229447,7503345.084345499,7687094.828878593,7869248.181802862,8049662.741193011,8228206.341662975,8404756.86646884,8579202.02312382,8751439.08797733,8921374.624807997,9088924.182078697,9254011.973105926,9416570.543010645
G,2026399.0,2026399.0,2027113.312606468,2028299.7508217942,2029822.8020214126,2031608.7411911413,2033619.8079384584,2035839.3117658494,2038263.0247877075,2040894.1988753981,2043740.6735951866,2046813.1896372586,2050124.3958119166,2053688.253157765,2057519.6642317264,2061634.227713659,2066048.060231793,2070777.6515958568,2075839.7338056485,2081251.1525572918,2087028.7349673456,2093189.1503022045,2099748.762457366,2106723.4742470835,2114128.564503829,2121978.519693623,2130286.8623028314,2139065.978679584,2148326.9493311075,2158079.384888068,2168331.271044726,2179088.8257654123,2190356.3719120678,2202136.22819731,2214428.621010634,2227231.619215258,2240541.093487701,2254350.7011932395,2268651.8971820357,2283433.97027811,2298684.104640875,2314387.4646290787,2330527.30130888,2347085.078336457,2364040.614621359,2381372.2409453997,2399391.685778137,2418336.636755819,2438400.0045194416,2459749.4857254736,2482540.546787863,2506924.9949226202,2533056.613005412,2561094.8472110964,2591207.198183814,2623570.735491937,2658372.999597616,2695812.4523615926,2736098.5697665224,2779451.627645871,2825489.4191850508,2873955.3982498897,2924658.5181569583,2977439.632676745,3032152.9851903794,3088656.333415111,3146806.045027544,3206455.0612702,3267452.5075951177,3329644.2327951193,3392873.8472775873,3456983.999899766,3521817.7330444553,3587219.816556518,3653037.999242655,3719124.141179252,3785335.20638454,3851534.10654463,3917590.394220989,3983380.8093766817,4048789.686802241,4113709.23453046,4178039.694899729,4241689.400774555,4304574.739725798,4366620.038844185,4427757.382416252,4487926.374020262,4547073.853773067,4605153.580536279,4662125.887918556,4717957.3219276,4772620.267159057,4826092.567481184,4878357.146298973,4929401.630669447,4979217.982796951,5027802.141766138,5075153.677771108,5121275.460570062,5166173.343432672,5209855.8634480685,5252333.95872018,5293620.7026891485,5333731.055577408,5372681.632761823,5410490.489713978,5447176.923024681,5482761.286931676,5517264.824697317,5550709.514132036
H,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,13407903.437871356,12450196.049451973,11492488.661032591,10534781.272613209,9577073.884193826,8619366.495774444,7661659.107355062,6703951.71893568,5746244.330516297,4788536.942096915,3830829.553677533,2873122.1652581505,1915414.776838768,957707.3884193855,3.026798367500305e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
