series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,34253.64349103521,34246.247492869974,34240.50069653281,34235.64036124646,34231.252183973585,34227.11043017992,34223.09195315963,34219.12959638549,34215.186828098915,34211.24389695545,34207.29026273816,34203.32045261785,34199.33179015973,34195.32314923522,34191.29426931394,34187.24537848678,34183.17698531559,34179.089763391436,34174.98448686205,34170.86199402442,34166.7231664037,34162.5689164035,34158.40017972096,34154.21791042793,34150.02307755806,34145.8166625566,34141.59965723464,34137.37306202678,34133.13788443873,34128.89513761974,34124.645839022145,34120.39100912564,34116.13167021266,34111.86884518662,34107.60355642764,34103.3368246824,34099.069667985896,34094.80310061375,34090.538132064314,34086.275766069964,34082.01699963762,34077.76282211836,34073.51421430647,34069.272147568096,34065.03758299997,34060.81147061857,34056.59474858014,34052.38834243199,34048.19316439556,34044.01011268157,34039.840070837636,34035.68390712866,34031.54247395026,34027.41660727546,38132.8006410009,42237.65123033068,46341.9720824405,50445.73244517275,54548.87108813878,58651.298861052084,62752.89919858677,66853.52646935926,70953.00223252592,75051.10943935001,79147.58450300526,83242.10701251712,87334.28670937776,91423.64718420539,95509.60558479014,99591.44745397186,103668.29563737064,107739.07202532265,111802.45073966861,115856.80127949579,119900.12015812211,123929.94978371833,124596.41429620568,124483.46780582992,124351.38949781236,124197.22794908575,124018.08422424282,123811.07444745695,123573.38548310968,123302.37392931538,122995.6855768064,122651.38030673713,122268.04934439284,121844.91286796429,121381.88801625853,120879.62069564375,120339.47881987986,119763.50893946305,119154.3618437895,118515.19511754872,117849.56162809623,117161.29265966873,116454.38323792323,115732.88550924663,115000.81421395601,114262.06658296449,113520.35754755336,112779.17004402817,112041.71941756655,111310.93044334128,110589.42523227936,109879.5202152019,109183.2304494829,108502.27962257405,107838.11430232291,107191.92117958855,106564.64624654966
E,0.0,7.395998165236474,11.486616215233967,13.77476530795554,15.078373506555977,15.843642578424978,16.314268958163208,16.62338820900032,16.843698215322632,17.014837284668506,17.15835643148066,17.285913385898517,17.403758980090487,17.51519399757798,17.62191448260381,17.724748064699337,17.82405657220775,17.91995578040294,18.01243498244438,18.101421719823975,18.18681653140992,18.268511349867893,18.346399013713352,18.420377983329125,18.490354494961736,18.5562433696625,18.6179681366986,18.675460825830708,18.728661616221654,18.77751843909924,18.821986582310206,18.862028318713264,18.89761256660913,18.92871458341163,18.955315690409634,18.977403025050023,18.99496931675903,19.00801268240827,19.01653643785389,19.020548922388162,19.02006333337104,19.01509756871723,19.005674075287494,18.99181970156591,18.973565553296588,18.950946851007775,18.9240027885711,18.89277639213247,18.857314378913504,18.8176670155204,18.77388797551511,18.72603419610337,18.674165733878013,18.618345619626886,18.55863971227304,19.045748083197815,19.953515995946837,21.218497748158896,22.821933199603905,24.777183046888492,27.122031178907598,29.914866634725932,33.233812915810745,37.17810730114785,41.87130305710002,47.466110442001,54.15089099592244,62.157977526292065,71.77411962120937,83.35346027779502,97.3335368346106,114.25486462643812,134.78469043870894,159.74546792168013,190.14846529217388,227.23260365908,272.50805718817907,324.4320976781831,383.8606586527468,452.0646836002473,529.9780272766151,618.3103677189877,717.5417252809916,827.8748961177516,949.1780718312563,1080.9348693209208,1222.2131944936325,1371.6607232255103,1527.530995331115,1687.7398661028242,1849.9478838291216,2011.6608310857073,2170.338779099149,2323.5037674491573,2468.837440186036,2604.2621715501073,2728.0018349678653,2838.6209093387547,2935.042734400415,3016.5492547233107,3082.765507925942,3133.632491544261,3169.372006603416,3190.4467564572287,3197.5184960176066,3191.406474203338,3173.047859809773,3143.4613323069566,3103.7145789196297,3054.8960777553457,2998.091263815245
I,27.126368117243114,20.707517572407507,17.208334895498545,15.311912173930466,14.297607315428463,13.770216353952616,13.5125614183442,13.405010646152817,13.381456046655765,13.405201472074975,13.4557415307151,13.521504701679259,13.59586556160325,13.67495034328395,13.7564270831905,13.838836852994914,13.921222698923694,14.002922638684264,14.083453260989288,14.162443515202444,14.239596428029621,14.314666460513937,14.387445707245334,14.457755162786793,14.525438947912159,14.590360310039507,14.65239872328494,14.711447698097881,14.76741306985511,14.82021162592473,14.869769982349874,14.91602365144333,14.958916259633378,14.998398886074984,15.034429499745729,15.066972477610799,15.095998189886304,15.12148264098171,15.143407156666854,15.161758109569721,15.176526676380501,15.187708621187365,15.195304100248313,15.199317484244979,15.19975719469343,15.196635551722524,15.189968630887444,15.179776127076451,15.166081223902829,15.148910467259538,15.128293641958265,15.104263650583311,15.076856393868962,15.0461106520609,15.012067966851653,14.974772523589907,15.038559742354948,15.259182890868015,15.667185956463904,16.28233223271381,17.122238964182234,18.207510873661114,19.564935823662356,21.229759388993706,23.247682442440475,25.676992549603433,28.591107894972684,32.08174925241298,36.262937171145154,41.27602167982448,47.29597957535218,54.53925214896923,63.27343740121431,73.82918767549432,86.61468517852826,102.13305743502593,121.00302767823794,143.98293658544503,171.35949022033142,203.513664450818,240.97700030712915,284.33213203825056,334.15823833742115,390.9883632338482,455.2678270244425,527.3116105867621,607.2623594803334,695.0524282793363,790.3740503697427,892.6615085542094,1001.0882164149809,1114.5800924740663,1231.84481201205,1351.4147918134088,1471.7003978886842,1591.0490548953487,1707.805733709578,1820.3706355102283,1927.2506328763154,2027.1019960312929,2118.7629603867163,2201.2756497958217,2273.8976731872463,2336.1043185439453,2387.582670511538,2428.2191934762523,2458.082381898756,2477.4020207844997,2486.5464578584965,2485.9990977737516,2476.335114212223
A,4.945608712438774,4.3205057774620945,4.029801438265676,3.9170923916187723,3.8976404626779257,3.925661564013107,3.9765661346308576,4.0372876124287576,4.101008243509053,4.164282310397949,4.225468354120878,4.283876558599538,4.339306846031447,4.391800272638053,4.4415066834025705,4.488615549020121,4.533320970489878,4.57580500946367,4.616230713602075,4.654740152353091,4.691454936181792,4.726477870077526,4.759895033304903,4.791777924740529,4.822185499895711,4.851166024847369,4.878758723773575,4.904995222509379,4.929900802470833,4.953495483965184,4.975794958855192,4.996811391683835,5.016554106708585,5.035030176372067,5.0522449248149055,5.068202358242655,5.082905532342444,5.096356865518757,5.108558405474935,5.119512055592279,5.129219766634053,5.1376836985086864,5.1449063561477955,5.150890702974698,5.155640254943862,5.159159157709232,5.16145224911905,5.162525108927563,5.162384097352193,5.161036383881586,5.158489967549754,5.154753689729517,5.14983724036025,5.143751158407201,5.1365068272491845,5.128116465605711,5.137606760032507,5.17724330791307,5.255550570568194,5.37932775615623,5.554976036251135,5.7893922037492604,6.090617537050164,6.468374585307997,6.9345837350150585,7.503925059143995,8.19449631392503,9.028612019579038,10.033788835023016,11.24396707559773,12.701025927349402,14.456659667007795,16.574692971754043,19.133923805529545,22.231590250733433,25.98755964243456,30.549329325930323,36.09790088131368,42.738126740549404,50.59116236585895,59.806736168614194,70.5478981344132,82.98159507537225,97.2702478675079,113.56275078681237,131.98462711025604,152.62770350501975,175.54001437373722,200.71682620040608,228.09369741984574,257.54236479515544,288.8699942851383,321.8219983513799,356.0882628845092,391.3123053210475,427.10264665023374,463.04554737078536,498.7182320702144,533.7017928403017,567.593092127262,600.0151522745905,630.6256962424504,659.1236718944455,685.2537376704794,708.8088034789085,729.6308052983794,747.6099468656332,762.6826706915341,774.8286282995051,784.066911066523,790.451783123096
IH,0.0,1.7648749187083812,2.5225459761001856,2.7994434010826392,2.86045508200819,2.835092882557119,2.7838906381325716,2.7330299994723966,2.692162809284851,2.6634154859312957,2.6458165861213567,2.6373850871601254,2.636048902216203,2.639997100993712,2.647771692228374,2.6582500302358474,2.6705895879421426,2.6841670377301883,2.6985242154582125,2.713324562929613,2.728319813746098,2.7433253175411463,2.758202134377977,2.7728442129124122,2.787169283684583,2.801112419008479,2.81462148406975,2.827653918985149,2.840174453360204,2.852153472990363,2.863565842867624,2.874390050296844,2.884607573604716,2.8942024108540036,2.9031607229677747,2.911470559450633,2.919121644388511,2.926105206955479,2.9324138451818182,2.9380414148793115,2.942982937813424,2.947234524755469,2.9507933101440305,2.9536573958720247,2.955825802288238,2.957298424924289,2.9580759957739367,2.9581600481917865,2.957552884663765,2.9562575468468806,2.954277787391001,2.9516180431480215,2.94828340944903,2.9442796151918174,2.9396129985320423,2.934290483013736,2.928319554010198,2.9284933872129697,2.9429631623338786,2.9791442526618175,3.0432606281054375,3.1406032385268383,3.2760360734706286,3.4545410779766748,3.6817290167823655,3.96430964130734,4.310543460785099,4.730708102769556,5.237615250538418,5.847214950884362,6.579325281675765,7.458527971314819,8.515274753874772,9.787254715520756,11.321078931027724,13.174344114906791,15.418139946808669,18.140062323415254,21.44778286759579,25.431657172537943,30.176642816276747,35.77389861247427,42.32203717324479,49.924410022282665,58.684522905323306,68.70027685566558,80.05736049753767,92.82211745448188,107.03432707500144,122.70045608599114,139.7880046401002,158.2215512689873,177.88098922442472,198.60225515806815,220.18061101421642,242.3762913121676,264.9221095925977,287.53245920114153,309.91306020949685,331.7707970381289,352.8230494811308,372.8060254330202,391.4817362847631,408.64339656512277,424.11916248583816,437.77423884855455,449.51147424454535,459.27062862751325,467.0265362264199,472.7864034672467,476.5864802527531
IN,4.6539756261272265,8.480695507154744,10.525946784602324,11.607307087653943,12.171090326536241,12.460638973004825,12.608237013830806,12.685394184103867,12.73038436748557,12.763336254011378,12.794504779905562,12.828804002992852,12.868289209929785,12.913513654459221,12.96426763947253,13.01997865525788,13.079925653923974,13.143351574440782,13.209520351284677,13.277743819234612,13.347392476296111,13.417897765356031,13.48875006548673,13.559494672547828,13.629726995857444,13.699087618082988,13.767257547057065,13.833953814061346,13.89892547873324,13.961950050490458,14.022830310506443,14.081391505864143,14.137478882486429,14.190955522402811,14.241700451975246,14.289606989816019,14.334581305700603,14.37654116448243,14.41541483167769,14.451140119913491,14.483663557776861,14.512939664747254,14.538930317839286,14.5616041973317,14.580936300524092,14.59690751385816,14.60950423497934,14.618718037411929,14.624545371489987,14.626987296040566,14.626049236067121,14.621740762340691,14.614075389384684,14.603070388845143,14.588746615680495,14.57112834499059,14.550243117640852,14.544014040313495,14.57674373505613,14.673655296932525,14.85887907192029,15.15527870569483,15.585188853897405,16.171570030977087,16.93934842219968,17.91686025949275,19.137405131811377,20.640959643176586,22.476130667560856,24.702447191006996,27.393107701757916,30.638319628662018,34.54938987721021,39.26375112186768,44.95113589761037,51.82113674549146,60.13241043186848,70.2037890096844,82.42753718568451,97.17538279071239,114.81834079943599,135.7526719779518,160.40416126550068,189.22227692169216,222.66804559525235,261.1969473392123,305.2375396560676,355.1666760833711,411.2826178169604,473.7778069469975,542.713420392387,617.9979461963451,699.3718624963772,786.400058477185,878.4729772597083,974.8166843006584,1074.511287304551,1176.5164595906217,1279.7023232733025,1382.8836684488138,1484.855420227759,1584.4273889134333,1680.4566045450458,1771.8758934891289,1857.7177518839876,1937.13296629875,2009.4037941962777,2073.9518249147673,2130.340885132115,2178.27552854368,2217.5957611975473
D,371.0,371.0,371.06868441913775,371.1668554585016,371.27580263763264,371.38712423538146,371.4974588011775,371.6058007065422,371.71216324589835,371.8169353387078,371.92058865919785,372.0235570755068,372.12619735943514,372.228785642462,372.33152757928997,372.4345720833295,372.5380243774917,372.64195689568817,372.7464178135135,372.85143747598545,372.95703313013723,373.06321236110864,373.16997556791944,373.2773177424022,373.38522974914247,373.4936992510087,373.6027113840498,373.71224925536114,373.822294315716,373.93282664325443,374.04382516360704,374.15526782421443,374.267131735298,374.379393286263,374.4920282437602,374.60501183585893,374.71831882554574,374.83192357589485,374.94580010864246,375.05992215745897,375.1742632168987,375.2887965877758,375.40349541954555,375.518332750143,375.63328154363364,375.7483147259575,375.863405218989,375.9785259730897,376.0936499982956,376.2087503942494,376.3238003789676,376.4387733165098,376.553642743607,376.6683823952871,376.7829662295322,376.8973684509892,377.0115635337516,377.1255262432246,377.2394957178414,377.3540283191074,377.46996899589567,377.58840491807376,377.7106291657492,377.83812411306553,377.97256601872874,378.1158494980619,378.2701302927568,378.4378856224029,378.62199268557475,378.8258272788011,379.0533859336485,379.3094364506002,379.59970328815456,379.9310960084366,380.31199093643573,380.7525783809893,381.26529016779153,381.8653247510958,382.5712895934759,383.4059824617568,384.3957175314154,385.5701153096334,386.96234397153165,388.60940944294686,390.55233982675315,392.8361914047896,395.5098305167831,398.62545828461396,402.2378577543534,406.40336008260243,411.1785480944378,416.6187398039779,422.7763180146422,429.6989912823162,437.4280832368697,445.9969496265499,455.4296151401635,465.739706252703,476.9297343584551,488.9907582293564,501.90242932847,515.6334002630912,530.1420575262732,545.3775257029309,561.2808818161791,577.7865151682892,594.8235691770775,612.3174063759442,630.1910449097181,648.3665235357673,666.7661614671322
R,0.0,1.4523586800763892,4.026817229372264,7.151706423814507,10.536290186591167,14.036636723762822,17.584507367104823,21.149935747823868,24.721742463941187,28.297538389768206,31.8787044113039,35.46795006131674,39.06818647196856,42.68205324437503,46.311759016884515,49.95906376869446,53.62531831444489,57.31152116317344,61.018375291677486,64.7463382210733,68.49566377151801,72.26643596305824,76.05859624801604,79.87196536437426,83.70626096151213,87.56111194177173,91.43607025744394,95.33062072939009,99.2441893159344,103.1761501555632,107.12583162838234,111.09252162316903,115.07547215402774,119.07390343903148,123.08700752971248,127.11395156259537,131.15388069051218,135.20592074103828,139.269180641222,143.3427546412651,147.42572436453682,151.51716070697648,155.61612560534846,159.72167369080614,163.83285384168366,167.9487106472808,172.0682857925733,176.19061937221431,180.31475114085413,184.43972170566082,188.56457366594515,192.68835270395903,196.81010863022544,200.92889638615475,205.04377700619236,209.15381854131329,213.25809694532106,217.35810016529553,221.46205734126332,225.58600073154173,229.7534940922324,233.99503648674764,238.34762439104887,242.85467630530349,247.56639132143718,252.54056191839527,257.8438532833645,263.5535752454526,269.7599974624471,276.5692889240409,284.1071975909591,292.5236252665322,301.99829754882364,312.7477800702125,325.0341510720904,339.1757068506231,355.5601496097455,374.66078349518625,397.0563174814948,423.44021862655524,454.61401141192425,491.4891693055693,535.0951163404837,586.5871676328245,647.2515657779958,718.5058711994993,801.8933680120297,899.0704148889123,1011.7860097481478,1141.8533097180348,1291.1134425082048,1461.3926059769772,1654.4540975667219,1871.947455940888,2115.357257551457,2385.9542425504515,2684.7513345454718,3012.466789343963,3369.496208639959,3755.8945509915993,4171.368633376278,4615.280004333994,5086.657532946498,5584.218628784121,6106.397702080815,6651.380292058772,7217.141224879282,7801.4851942789865,8402.08826688545,9016.538978823375,9642.377889936577
G,29068.0,29068.0,29069.400789920874,29071.576336190596,29074.185254145235,29077.041073354387,29080.041833270483,29083.131729050936,29086.28017151045,29089.47034032379,29092.692922596147,29095.942687159495,29099.216610800777,29102.5128542043,29105.830203217345,29109.167764915204,29112.524803124834,29115.90065020289,29119.294660433676,29122.706186073636,29126.134565655688,29129.579118874983,29133.03914495889,29136.51392283857,29140.00271221375,29143.50475502545,29147.01927708194,29150.545489708064,29154.0825913552,29157.629769144773,29161.18620033646,29164.751053721528,29168.32349094579,29171.902667768238,29175.48773526165,29179.077840961094,29182.67212996549,29186.26974599672,29189.86983242001,29193.4715332286,29197.073993995178,29200.676362791994,29204.27779108113,29207.87743457607,29211.47445407535,29215.068016268888,29218.657294517314,29222.241469604513,29225.819730463445,29229.391274875245,29232.95531014145,29236.51105372929,29240.0577338898,29243.594590248646,29247.120874369415,29250.635850289265,29254.243083735568,29258.022246935536,29262.04099560443,29266.36343231772,29271.0561901449,29276.193058362038,29281.858885033434,29288.153314686413,29295.194787226166,29303.12514334387,29312.11514680314,29322.371236734303,29334.14385572033,29347.73775624582,29363.524764898128,29381.95957711884,29403.599261067346,29429.127260349713,29459.382789944302,29495.396597370964,29538.434079775372,29590.046658813066,29651.493565948796,29724.19614505271,29809.81645460692,29910.193423652527,30027.300393086774,30163.201618874515,30319.999766239733,30499.772536112032,30704.499827308788,30935.98500155505,31195.77529260502,31485.087157518483,31804.742319766214,32155.11941450222,32536.1246761916,32947.183280956,33387.251083278046,33854.844844826286,34348.0878283583,34864.76690117202,35402.39704522362,35958.2893247816,36529.618805593964,37113.48953614868,37706.99438996382,38307.268249307795,38911.53363170527,39517.138389975735,40121.5855413401,40722.55560125188,41317.922021385275,41905.76047162353,42484.352777818036
H,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,91171.48125706322,87061.98774219705,82952.49422733087,78843.0007124647,74733.50719759852,70624.01368273234,66514.52016786617,62405.02665299999,58295.53313813382,54186.03962326764,50076.54610840147,45967.05259353529,41857.55907866912,37748.06556380294,33638.57204893677,29529.07853407059,25419.585019204416,21310.09150433824,17200.597989472066,13091.10447460589,8981.610959739715,4872.117444873541,762.6239300073667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
