series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,764632.7235043218,764172.4528354092,763887.7951694647,763651.8745574408,763421.2962627629,763180.5915674549,762923.6507914859,762647.4708886629,762350.0430096319,762029.6370196285,761684.5583483296,761313.0649669614,760913.3390288921,760483.4775837555,760021.490412219,759525.301033098,758992.7496495498,758421.5977238638,757809.5341837583,757154.1833669763,756453.1148401881,755703.8552278343,754903.902171263,754050.7405127803,753141.8607641711,752174.7798750123,751147.0642628005,750056.355004948,748900.3950229192,747677.0580126321,746384.3787948013,745020.5846768587,743584.1273377701,742073.714672274,740488.3419659593,738827.3217214422,737090.3114228223,735277.3385142721,733388.8218819437,731425.5891682222,729388.8893142481,727280.3998196566,725102.2283251693,722856.9082600956,720547.3884477189,718177.016720728,715749.5177594542,713268.9655206685,710739.7507673355,708166.544333993,705554.2568633928,702907.9958241266,700233.0206641295,697534.6969707223,694818.4504952366,709058.9067517843,723206.7292807702,737266.6483734851,751236.5199172322,765111.210814455,778884.198623038,792548.2235225397,806095.5509953385,819518.0766687662,832807.368790595,845954.6876554243,858950.9982603112,871786.9830742457,884453.0579957482,896939.393028143,909235.9385650709,921332.4578962096,933218.5663900509,944883.7776954212,956317.5571888608,967509.3827658673,978448.8129246988,989125.5619208097,999529.5815795603,1009651.1491480846,1019480.9603492689,1029010.2265783955,1038230.7749641748,1047135.1498097361,1055716.7137454636,1047000.5618841329,1038147.9244326323,1029161.6593321916,1020063.4412053417,1010881.9069967218,1001648.1137972791,992393.6133467302,983149.4919740581,973945.792137004,964811.1087108686,955772.2865117517,946854.1921972653,938079.5493950961,929468.8306437574,921040.2007144216,912809.5057402932,904790.3022506589,896993.9200063021,889429.5525422932,882104.3695360406,875023.6454945776,868190.8997490464,861608.0433116469,855275.52875214,849192.4998557956,843356.9384082912
E,0.0,460.27066891252855,652.8742010746147,758.2199728836192,837.154272984835,910.4281136958457,985.28326692562,1064.4065163635967,1148.953092121788,1239.568463700821,1336.7334422595661,1440.8801351758743,1552.4300462099345,1671.805482104548,1799.431557220159,1935.7346248970493,2081.139083465816,2236.0631924587183,2400.91409407247,2576.0820920399165,2761.934200420141,2958.806972689812,3166.9986347231443,3386.760566261298,3618.2882016182143,3861.71145045336,4117.084772574479,4384.377075912098,4663.461642758524,4954.106324493902,5255.96427742593,5568.56553988337,5891.309770995333,6223.4604822924275,6564.141092148665,6912.333118236069,7266.876793208697,7626.474343117176,7989.696106822164,8354.989599179284,8720.691533317506,9085.04272124547,9446.205671483647,9802.2846022606,10151.347494185138,10491.449722339008,10820.658739144987,11137.079230101666,11438.878137414395,11724.308943274082,11991.734625219438,12239.648739441678,12466.694151550491,12671.679014647572,12853.589687203803,13011.60038341666,13230.642667948698,13493.779931845369,13794.337291930437,14129.96382652292,14500.168142836555,14905.294504968804,15346.093021377575,15823.533633875655,16338.71967547306,16892.841765750338,17487.147697914705,18122.91823459851,18801.44455637766,19524.00550290875,20291.84375560044,21106.14056354298,21967.988847194323,22878.364662586464,23838.097126830915,24847.837014659657,25908.024343097546,27018.855368568464,28180.249526305462,29391.81694272142,30652.827243194217,31962.180455630045,33318.38086892597,34719.514739780876,36163.23274629838,37646.73805836975,38970.027898196386,40162.2874189978,41228.04806204805,42163.972658258455,42964.971326049446,43626.47751138838,44145.30338178284,44519.94254248045,44750.63746011971,44839.33216721265,44789.560048256535,44606.29084077442,44295.75142395834,43865.231068502464,43322.879828930396,42677.50735277865,41938.38812657968,41115.07796527263,40217.245378470674,39254.52034423958,38236.36202092281,37171.946054137734,36070.07140281708,34939.08601859797,33786.83026238282
I,653.8243921147314,392.6771459113292,318.68472988979113,308.91462441402024,322.009082309739,344.08159038010024,370.5272984465152,399.8841212139997,431.7575731494609,466.11867354441176,503.0662015175823,542.7460283295262,585.3235413967656,630.9739405960624,679.8784635578189,732.2224794680484,788.1940618795873,847.9825566458087,911.7769687611584,979.7640973851112,1052.126385962472,1129.0394698201346,1210.6694125269626,1297.1696300294252,1388.6775099981319,1485.310743585162,1587.1633980716756,1694.3017716235113,1806.7600853550202,1924.5360827702689,2047.586621904143,2175.823360479569,2309.1086483544923,2447.2517535674,2590.0055574450453,2737.0638595332166,2888.059433620349,3042.562971037508,3200.0830361347294,3360.0671410350915,3521.9040224890514,3684.9271733289834,3848.4196455168,4011.6201023559533,4173.730055734368,4333.922182184836,4491.349571162711,4645.155722338913,4794.485077856315,4938.493852098447,5076.360906876266,5207.298414867389,5330.562058912588,5445.460529098191,5551.364102614596,5647.7121219085675,5734.019223013764,5825.28158371588,5927.4570946774165,6042.922497022513,6172.682060043631,6317.250482156942,6476.99885106051,6652.285055981754,6843.49862934408,7051.072118413998,7275.479616110242,7517.230458300346,7776.861081735444,8054.926074781472,8351.988706027336,8668.610948789978,9005.342940649167,9362.711811665811,9741.209838334691,10141.28191561727,10563.312380210007,11007.611262038088,11474.400086588004,11963.797397095372,12475.804211614875,13010.289674156003,13566.977199611798,14145.43144713412,14745.046483764148,15365.035517334794,16004.4225828747,16626.62103399874,17214.91080543751,17760.06573554178,18255.944039311333,18697.940873988937,19082.468660278388,19406.79894194819,19669.021897986517,19868.0341624633,20003.5229961294,20075.93658161802,20086.438643377245,20036.848935039565,19929.572442000026,19767.52057216662,19554.027609960915,19292.765484121453,18987.659546619136,18642.807636665242,18262.404251048632,17850.671190105895,17411.79561999017,16949.87610248581,16468.876803614014
A,72.6472268380195,58.11780000825947,55.6996764442937,57.6172510628639,61.25822856669123,65.74969891213055,70.80835445887784,76.35238459005116,82.37007651309445,88.8751646138686,95.89154580611991,103.44795385871707,111.57601794936991,120.30947151105711,129.68374744117602,139.7356943614956,150.50331825326236,162.0255118853714,174.34175468098655,187.49177303992667,201.5151541738192,216.45090814981128,232.33697410712563,249.2096678896379,267.1030697810331,286.0483527067288,306.07305321052553,327.20028973161897,349.44793518531964,372.82775355201716,397.34451304247756,422.99509134648304,449.76759137323546,477.64048861890933,506.5818336923961,536.5485354244641,567.4857512039633,599.3264115603249,631.9909053977889,665.3869505710849,699.4096716098038,733.9419023436985,768.8547260153936,804.008259323649,839.2526799224547,874.4294894744052,909.3729967359981,943.9119976840549,977.871622732431,1011.0753149789219,1043.3468984693036,1074.5126919167465,1104.4036213443583,1132.8572848154113,1159.719923779807,1184.8482585095262,1208.111149454777,1231.1023177540005,1254.7580082427296,1279.6937192454332,1306.3548311030956,1335.0878203376437,1366.1767535431359,1399.8638862498751,1436.3624217975193,1475.8649895921255,1518.5495056205918,1564.5832586042907,1614.1256948385533,1667.3301950349346,1724.3450406178144,1785.3137104149248,1850.374612527989,1919.6603319024027,1993.2964576664062,2071.400043511693,2154.077747927762,2241.423698081793,2333.5171208635356,2430.419786508227,2532.1733137411056,2638.7963900474824,2750.2819659588317,2866.5944876497338,2987.667237150543,3113.3998535885853,3243.6561115879344,3374.3269716812756,3502.7089048324187,3626.729716029033,3744.6649052910407,3855.0330744717353,3956.5577735134357,4048.154085337434,4128.923948081939,4198.153761365458,4255.311525385701,4300.042307918202,4332.161557932131,4351.646172250902,4358.623453871561,4353.358246460412,4336.238618126322,4307.760513351874,4268.511804319319,4219.156159289596,4160.4171127742975,4093.062675903316,4017.890770852941,3935.7157149037857,3847.3559212701302
IH,0.0,130.57626338030022,148.39888441392736,143.17301402722052,138.4212308465077,138.4898310344968,142.93472850028297,150.59829276559003,160.56814626749576,172.27655617066554,185.41348268870726,199.83250065536117,215.4842719691219,232.3753857680365,250.54436265111048,270.0480413200065,290.95390239522413,313.33566966935433,337.2706667877375,362.83807850857517,390.11764644283767,419.1885407363979,450.12826562339944,483.0115209738673,517.9089779035457,554.8859474591869,594.0009345673466,635.3040787478935,678.8354906283905,724.6235001260119,772.6828387936697,823.0127854263628,875.5953105548128,930.3932617409421,987.3486373628161,1046.3810014988371,1107.3860962167007,1170.2347096548438,1234.7718583841925,1300.816340338206,1368.1607098657232,1436.5717190756493,1505.791259628822,1575.5378266748144,1645.508512082387,1715.3815179864441,1784.8191646285281,1853.4713492672158,1920.979396407026,1986.980224576008,2051.1107421606234,2113.0123750645503,2172.3356227244235,2228.744536627611,2281.9210170580363,2331.568829248966,2377.417249140598,2419.2242610364574,2459.855076493567,2502.035041866484,2547.6993519487614,2598.085655339034,2653.960007797765,2715.8070544637458,2783.957994664893,2858.6681145545253,2940.160608443426,3028.649769544433,3124.3521593325067,3227.490967218838,3338.296559658682,3457.0048828760287,3583.8546146513027,3719.083532892099,3862.9243383912853,4015.600050421688,4177.319037223642,4348.269721263326,4528.614996008506,4718.486398401791,4917.978094462327,5127.1407517369225,5345.975389870174,5574.427318064552,5812.380284555755,6059.650977416188,6315.984027039358,6581.047667615334,6847.357328748133,7107.56278705681,7355.882435552475,7587.99128531322,7800.6519043189965,7991.412849147277,8158.4154699464325,8300.282289978011,8416.054754917353,8505.15671115356,8567.36890116402,8602.806232484614,8611.893710633656,8595.339402336409,8554.104207212578,8489.368973113253,8402.499851147964,8295.012909280036,8168.539004654352,8024.789814374386,7865.525780358823,7692.526561087125,7507.5644180151385
IN,130.57098282310196,243.79752689552268,289.8315819140525,314.97414803614106,334.8257695413501,354.6554028187685,376.2589162212968,400.27401890871704,426.9617262695249,456.46960150909655,488.91981867938483,524.4380493328185,563.1624023935985,605.2456694789536,650.8553341009641,700.1728258241516,753.3924928229742,810.7204259054646,872.373152759498,938.5761834957798,1009.5623769519625,1085.5700946709032,1166.8411103424442,1253.618245036721,1346.1427023013125,1444.6510821234842,1549.3720589830284,1660.5227168712318,1778.304543329203,1902.8990953097248,2034.4633619590036,2173.124863120204,2318.976537239888,2472.071488048573,2632.4176753959728,2799.972651332484,2974.638457210388,3156.2568104114853,3344.604719420687,3539.390672481202,3740.2515471630268,3946.7503851455663,4158.375167831351,4374.538713786659,4594.579798453222,4817.765570425005,5043.295307503977,5270.3055207319085,5497.87637692029,5725.039371369287,5950.7861441207015,6174.078296913358,6393.858035625596,6609.059435860098,6818.620108661179,7021.493030040036,7216.658292533951,7403.134539562385,7583.065561713116,7759.500189741342,7935.556905370213,8114.140501830496,8297.872700250568,8489.101072075735,8689.93282005005,8902.273026925723,9127.86009434995,9368.296180813255,9625.072337691538,9899.588680335386,10193.170092526405,10507.077953357448,10842.518314228222,11200.646884679838,11582.571124891125,11989.3496945211,12421.989472886424,12881.440343525845,13368.58792593468,13884.244437458605,14429.137877781784,15003.89974582382,15609.05152274903,16244.990183604152,16911.973032060487,17610.102185874253,18339.30907285106,19099.339326040223,19882.665888122723,20679.42250625712,21479.211018234982,22271.787969472898,23047.35099503408,23796.683378358983,24511.247826308376,25183.259702006177,25805.74809735838,26372.605631998045,26878.625705020728,27319.525735817817,27691.955432829003,27993.489825423374,28222.60748291427,28378.65494243456,28461.798840883406,28472.967586200735,28413.784613560496,28286.495364054266,28093.89011294645,27839.224679884923,27526.140893564632
D,5615.0,5615.0,5617.61546980904,5620.587930437275,5623.455715790934,5626.228321935704,5629.002302156558,5631.865314601378,5634.881829837951,5638.098043321049,5641.548778698256,5645.262649455523,5649.2653361521625,5653.581531095013,5658.236058572725,5663.254514449585,5668.66363308094,5674.491500473047,5680.767679335119,5687.523281185122,5694.791003628256,5702.605141510832,5711.001575473709,5720.01773858373,5729.692560161727,5740.066385085731,5751.18086642767,5763.078829125362,5775.8041024216745,5789.401318983714,5803.915678932744,5819.392677466106,5835.877795335254,5853.416152157611,5872.05212337951,5891.828922662691,5912.788152520596,5934.969327158522,5958.409372641211,5983.142110682972,6009.197733482903,6036.602278060408,6065.377109430954,6095.5384226461,6127.096774156496,6160.056653099704,6194.416102934879,6230.166403325137,6267.291821302611,6305.769439554398,6345.569068169927,6386.653244437829,6428.977323332742,6472.489659260074,6517.131877506407,6562.839231754617,6609.541042043371,6657.161205751916,6705.618772634584,6754.890183231215,6805.006467337957,6856.0374171065805,6908.077615048608,6961.236987932331,7015.635170069327,7071.398429762835,7128.658148751032,7187.550179400722,7248.21466641649,7310.796092274463,7375.44340998126,7442.310186831677,7511.554716172626,7583.340072116775,7657.8340915179115,7735.2092722752695,7815.642579410669,7899.315151605271,7986.411901681565,8077.121005252195,8171.63327264222,8270.141400341718,8372.839099722305,8479.92010257929,8591.577045239892,8708.000235484229,8829.376309316247,8955.886787633375,9087.706545994624,9224.860542451814,9367.226508548323,9514.566369032822,9666.555418223175,9822.804103998178,9982.873771313212,10146.288535979202,10312.54492266049,10481.12025597824,10651.480320076524,10823.086507325483,10995.402511717179,11167.900540192915,11340.066982418286,11511.407475078826,11681.451307488987,11849.75513325509,12015.905973141189,12179.523514320335,12340.26172921522,12497.809852267606,12651.89276485004
R,0.0,31.87386558044127,133.86639308725313,249.40460779576028,366.3455432947827,484.54157986577184,606.300447902611,733.9145689915296,869.2306523064576,1013.7225836092507,1168.6344881184564,1335.093822328473,1514.1854611345755,1706.9970417884583,1914.6461703346965,2138.2968926792355,2379.1699646499446,2638.549525196049,2917.7876059423397,3218.3072334668186,3541.60449832997,3889.249750685266,4262.8879620376665,4664.238224542555,5095.0923201624455,5557.312269671545,6052.826759462264,6583.626339137788,7151.757283500217,7759.314018229793,8408.430019238273,9101.267111516772,9840.003114474488,10626.817807397802,11463.877220713983,12353.316295967763,13297.219999294673,14297.603018885726,15356.388225353236,16475.384123587723,17656.261573921627,18900.53010724133,20209.51420102141,21584.329918954285,23025.862343844652,24534.744249860214,26111.336464532316,27755.71036198018,29467.632906129067,31246.554626253557,33091.600857688616,35001.566519329455,36974.914628477956,39009.77867506638,41103.96889403726,43254.98238963633,45460.01698159491,47715.988563550476,50019.89394397877,52370.474285019285,54768.2090656272,57214.94043322747,59713.515283291345,62267.52575856401,64881.13950611671,67558.99379788799,70306.13085701202,73127.95852320715,76030.22607677538,79019.00891842035,82100.6982198357,85281.99309749724,88569.89369424658,91971.69402865783,95494.97374363063,99147.58804345121,102937.65520507166,106873.54111483535,110963.84033398707,115217.35324560826,119643.05888862642,124250.08314540163,129047.66202072144,134045.09983338692,139251.72223760412,144676.82409993658,150329.61237763928,156219.14427397892,162353.47407161203,168735.7918698205,175364.2987818706,182232.90238173903,189331.93270492824,196648.72477386284,204168.0837275125,211872.6756813808,219743.37827016413,227759.6110876007,235899.655616851,244140.96744629493,252460.4796918624,260834.89462212016,269240.95977862325,277655.7249164716,286056.7765471673,294422.44754862954,302732.0000869892,310965.7808875945,319105.34864381666,327133.57402711443,335034.7133401493
G,173276.0,173276.0,173358.8487121751,173476.3660566958,173612.8456382587,173763.53339242854,173927.41043661628,174104.76140704707,174296.35456096206,174503.1660970019,174726.28839830586,174966.90039401318,175226.25879258342,175505.6961731454,175806.6211300341,176130.5187781618,176478.95097603436,176853.55597384964,177256.04730851375,177688.21180252096,178151.9065330305,178649.05463972565,179181.63984190946,179751.69953953702,180361.31638091232,181012.60819251242,181707.7161845507,182448.79137000494,183237.97916528105,184077.40217759978,184969.14122743448,185915.21470340004,186917.55640101896,187977.9920544677,189098.21483001142,190279.76010923824,191523.9799469355,192832.01763978894,194204.7828851967,195642.92804157734,197146.82602005117,198716.55034013154,200351.8578675247,202052.17471950353,203816.5857726559,205643.8281401138,207532.28890255874,209480.00728214282,211484.68134444184,213543.6792046613,215654.05460483232,217812.5666229722,220015.70317723966,222259.70790162735,224540.60989770762,226854.25581159562,229196.34364797687,231577.85909165765,234006.73923813523,236489.71970405444,239033.11294019967,241643.1429466625,244326.0956910659,247088.39216054184,249936.62793173132,252877.59718119734,255918.30839700616,259065.99466997897,262328.11962818797,265712.37931218586,269226.69995364075,272879.231466852,276678.3363909341,280632.57399066456,284750.679220889,289041.53627751843,293514.14649590396,298177.5904144533,303040.98389772687,308113.4283086286,313403.95483282366,318921.4631885583,324674.6550991215,330671.96305983054,336921.47509224265,343430.8563400158,350207.2685174382,357221.8728423704,364451.0838597305,371872.131773785,379461.646098424,387195.3401689444,395048.10534099874,402994.25916044804,411007.84802212473,419062.96196485194,427134.0409532701,435196.160961166,443225.29251499183,451198.52697934286,459094.2677874091,466892.385382049,474574.3359425202,482123.24505549023,489523.95835414494,496763.0618032276,503828.8747633611,510711.41924350127,517402.36886865075,523894.9810762629,530184.0159349364
H,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,509075.5467060381,492106.36181583686,475137.1769256356,458167.99203543435,441198.8071452331,424229.62225503183,407260.4373648306,390291.2524746293,373322.06758442806,356352.8826942268,339383.69780402555,322414.5129138243,305445.32802362303,288476.1431334218,271506.9582432205,254537.77335301926,237568.588462818,220599.40357261675,203630.2186824155,186661.03379221424,169691.84890201298,152722.66401181172,135753.47912161046,118784.29423140919,101815.10934120792,84845.92445100665,67876.73956080538,50907.554670604106,33938.369780402834,16969.184890201563,2.9103830456733704e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
