series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,377907.19910912396,377873.7126177864,377843.555492809,377815.3309406064,377788.1023292894,377761.2367802044,377734.3020429362,377706.9983942751,377679.11361491686,377650.4931975443,377621.0206192132,377590.6042693279,377559.16878178116,377526.6492829924,377492.98757149524,377458.12957775965,377422.02367317275,377384.61954281124,377345.8674330728,377305.71764907066,377264.12021896447,377221.0246703949,377176.37988272967,377130.1339911141,377082.23432646005,377032.6273809008,376981.2587918168,376928.07333990926,376873.0149583676,376816.02675122296,376757.0510196652,376696.0292955606,376632.90238170367,376567.61039853387,376500.09283717326,376430.28861871746,376358.13615975966,376283.57344414893,376206.5381009922,376126.96748890437,376044.79878649814,375959.96908908576,375872.4155115394,375782.0752972281,375688.88593291625,375592.78526947106,395189.50726083806,414777.42142940836,434356.0989366496,453924.91886769386,473483.0828435982,493029.6223833057,512563.3998107001,532083.1034615475,551587.237827673,571074.1091288585,590541.8066545891,609988.1800833701,629410.812874736,648806.9917418757,668173.6721525599,687507.4397737426,706804.467771995,726060.4699097862,745270.6494394002,764429.643895769,783531.466031173,801731.5839909685,801003.3443191604,800217.5253762358,799368.7260629886,798452.2690035984,797463.9585971496,796399.9589288539,795256.7430492606,794031.0844802719,792720.0731278189,791321.1444271858,789832.1144764095,788251.2162754044,786577.1336587539,784809.0304828458,782946.5733296738,780989.9465455997,778939.8589082584,776797.5416371393,774564.7378412595,772243.6838284498,769837.0829788567,767348.0731042286,764780.1883707509,762137.3169564353,759423.6556477362,756643.6625606059,753802.0091072619,750903.5322314028,747953.1878116891,744956.0059957029,741917.0490830209,738841.3724337423,735733.9887435382,732599.8359021817,729443.7485423005,726270.4332902181,723084.4476516531,719890.182401364,716691.8472966129,713493.4598982696,710298.837258938,707111.5902230392,703935.120077711
E,0.0,33.48649133752782,56.645062618849394,73.03100478719401,84.99640434116309,94.09801710442059,101.36661441288277,107.48501297382494,112.90581940505302,117.92933521672018,122.7551156333105,127.51609722172219,132.3011888063231,137.17022506705604,142.16386334132474,147.31013179594575,152.62875989674853,158.13404003401038,163.83671621998636,169.74522829238043,175.86652914719485,182.2066190697822,188.77089258092866,195.5643609886442,202.5917924895292,209.85779752322202,217.3668777170224,225.12345055423185,233.13185779185915,241.3963629341643,249.92114126970947,258.71026479084196,267.7676835302548,277.09720433320183,286.7024677457954,296.58692347974056,306.7538047721677,317.2061018696172,327.9465348102291,338.9775256461979,350.30117023185517,361.9192096961765,373.8330017186287,386.0434917317406,398.55118418099516,411.3561139814947,424.45781832055286,443.62913737104634,468.03038248383655,497.18943318904854,530.9103045357771,569.2080738222288,612.263862305728,660.3949256839483,714.0360583198778,773.7294561947527,840.1209286181299,913.960924105698,996.1092691602038,1087.5428360495064,1189.3655797430558,1302.8205334936058,1429.3034415522602,1570.3777468501867,1727.7906486736736,1903.48990542722,2099.6409838144828,2318.644050522361,2562.295631979938,2812.604198943728,3073.5795650995983,3347.6697844152095,3636.329501665587,3940.3496600834565,4260.046933333181,4595.3713400936595,4945.96696092738,5311.206732898748,5690.2139841700655,6081.878362220206,6484.870739457609,6897.6597492713745,7318.5313494415295,7745.611961908668,8176.895148272924,8610.271366536217,9043.560071702123,9474.54324585569,9900.999356363995,10320.736731152952,10731.625395125007,11131.626518328554,11518.818770340806,11891.421042242144,12247.811174070592,12586.540499856636,12906.344184535872,13206.147470005017,13485.068066662367,13742.41501966972,13977.684445640421,14190.552576862794,14380.866569033293,14548.6335280508,14694.0081953119,14817.279702789958,14918.857772434229,14999.258692203783,15059.091356036504,15099.043609456325,15119.869098082507
I,141.26938239421304,121.7874410295841,109.15837278110668,101.1521846865803,96.28874208134269,93.58466285210238,92.38586180372198,92.25669866835572,92.9065627219681,94.14123092217223,95.83062654122128,97.88743872955672,100.25293653337565,102.88754987625266,105.76460992075017,108.86618397501003,112.18029947669658,115.6990895783957,119.4175504949411,123.3327052009226,127.44303725599698,131.74810438452215,136.24827182329688,140.94452559486155,145.8383392201625,150.93157624296208,156.2264168160419,161.72530050103248,167.43088002559597,173.3459824650671,179.47357546306446,185.81673687096247,192.37862669804372,199.16246060790874,206.1714844288635,213.40894930406526,220.87808721608843,228.5820866968105,236.5240685880934,244.70706175894185,253.1339787155023,261.80759106463825,270.73050481201255,279.905135493032,289.33368315058726,299.01810718784714,308.96010113781966,319.16106740419633,330.3404374456497,343.01395950242267,357.56751844815767,374.3093999092103,393.5072508019571,415.41434187022026,440.2884872881542,468.406041554448,500.0727049351536,535.6323674510921,575.4748608570769,620.0432311451212,669.840962102816,725.4394514332866,787.4859482898851,856.7120922760029,933.9431395410604,1020.1079143399721,1116.2494787095106,1223.5364643279577,1343.2749556439546,1476.8144329377842,1623.0798755130468,1781.6433920077418,1952.4406723063196,2135.5972533201107,2331.3197640812823,2539.8257368262566,2761.2964863413195,2995.8440415763985,3243.4869665380243,3504.132194840494,3777.561351081602,4063.420813054933,4361.215201763108,4670.30420316258,4989.902707122505,5319.084246027297,5656.787661331119,6001.826844518138,6352.90330633595,6708.621237529648,7067.504644958933,7428.0160854341075,7788.576479803776,8147.585473410161,8503.441815641821,8854.563258975702,9199.40552342219,9536.479931710464,9864.369389567391,10181.742459756151,10487.365354162943,10780.111741683175,11058.970338141731,11323.050305868042,11571.584543414576,11803.93098947999,12019.572099158715,12218.112675430315,12399.276254921686,12562.900255271448,12708.930092905104
A,96.0412817901759,92.19936839128343,91.34350553209181,92.48068409795586,94.95833263457997,98.34892914685919,102.37372763081888,106.85231766491289,111.66925992530119,116.75201547221488,122.05634730546527,127.55666685988022,133.23965325959125,139.1000386104855,145.1378267017652,151.35646006102425,157.76161419138586,164.36040632340286,171.1608778618224,178.17165728622095,185.4017417740901,192.86035668300642,200.556865848832,208.50071480926195,216.7013951225208,225.16842196350026,233.91131983558586,242.93961299389693,252.26281833812737,261.8904393016809,271.83195977156396,282.0968374088111,292.6944959605666,303.6343163011082,314.92562603575976,326.5776875658356,338.5996845557711,351.0007067729014,363.7897332909056,376.9756140630145,390.567049882853,404.5725707606746,419.00051275168624,433.8589932817488,449.15588502436486,464.89878839175503,481.0950027121057,497.7514961748052,515.3632381602422,534.3343751489615,555.0129536372515,577.7165204591978,602.7511949809738,630.4261706060565,661.0651063656045,695.0154899412261,732.6567687268117,774.4078352035309,820.7342996504754,872.1558727438846,929.2541013903412,992.6806440524164,1063.1662296522582,1141.5304111805965,1228.692196826939,1325.6816140301808,1433.652232151507,1553.894634722887,1687.8507899641043,1837.056937717602,2001.4660996194443,2181.372335720235,2377.265004832482,2589.736927240572,2819.4241085751505,3066.9638974837826,3332.963919394908,3617.977388586759,3922.482350848774,4246.863577938262,4591.396533553139,4956.233241460133,5341.390117593199,5746.737943618894,6171.994198800798,6616.717954884589,7080.307492094518,7562.000725638202,8060.8784512003895,8575.870332869868,9105.76347448971,9649.213340926626,10204.756733252843,10770.826473998854,11345.76742683219,11927.853459415985,12515.304957958968,13106.30651545523,13699.024440651716,14291.623768891168,14882.284496580769,15469.216805637132,16050.675090576542,16624.970646980495,17190.482924249307,17745.669286609176,18289.073263366812,18819.331301845166,19335.178064004424,19835.450330412532,20319.089593126697
IH,0.0,7.136932514209438,12.714269046966805,17.20394899053265,20.927205457133745,24.104597831984712,26.889223875338853,29.388794456578367,31.680328414104665,33.819953792720796,35.849461533241026,37.800701979726654,39.69854680733551,41.562895488218906,43.410044150384444,45.25362784431401,47.105276424968714,48.97507731326117,50.87190726538425,52.80367461659607,54.77749974568496,56.79985238752543,58.876658353754046,61.01338417852025,63.215105506797734,65.48656323566247,67.83221020508348,70.25625041571158,72.76267219523999,75.35527635475903,78.03770011408696,80.81343739174422,83.68585592536851,86.658211594831,89.73366025168421,92.91526730720346,96.20601529204072,99.60880956993199,103.12648236363796,106.76179523174874,110.51744011904306,114.39603908998575,118.40014284412945,122.53222810326076,126.7946939528052,131.18985721405684,135.71994691905388,140.3870979562384,145.1933439522994,150.17690028044012,155.3989570660743,160.93526629948633,166.8710475662671,173.29817171665667,180.31389836687325,188.02067099980556,196.52663570777648,205.94666400633733,216.40373998893543,228.0306272816094,240.97176901755168,255.38539957316237,271.4458637531465,289.34615001113394,309.3006508366602,331.54816670684204,356.35517061739085,384.01934846476667,414.87342649431906,449.28929052175636,487.6770213109542,530.3593295133511,577.6112922929217,629.6825615932664,686.8090049536191,749.2179135608684,817.1292444912152,890.7543822677712,970.2933296437128,1055.9309033308555,1147.8323187034782,1246.138439411696,1350.9609079059792,1462.377339646151,1580.4267441798827,1705.1053223865674,1836.3627762588146,1974.099252977824,2118.163027465954,2268.3490067660855,2424.398115864118,2585.997598742494,2752.7822415971095,2924.3364984486543,3100.1974740013147,3279.8586956037616,3462.774586420871,3648.3655360698554,3836.0234533999665,4025.1176789402284,4215.001131716053,4405.016566360035,4594.502821279329,4782.800946548933,4969.260110570872,5153.243196744818,5334.132014818498,5511.332065647648,5684.276812275599,5852.431424094016,6015.29597400025
IN,12.345008850419497,23.223273245914527,31.10660632630178,36.949691354961644,41.39891221355426,44.89451064281303,47.73848792552877,50.13980565536201,52.244529132492104,54.15597384068399,55.94820763356916,57.67513123521855,59.37661150420046,61.08264632712822,62.81621157657011,64.59522280741187,66.43389990657033,68.34372701914508,70.33413637267029,72.41300226350516,74.58700326996099,76.86189195397814,79.24269875095855,81.73388833313147,84.33948107760216,87.0631484549602,89.90828856647367,92.87808629114139,95.97556128799695,99.20360625413846,102.56501724502351,106.06251744047071,109.69877543386302,113.47641889718801,117.39804430644642,121.46622328411523,125.6835060165083,130.05242212629346,134.57547931872014,139.255160070508,144.0939165901501,149.09416424564435,154.25827362894682,159.58856140466,165.08728007279868,170.7566067612672,176.59863115241183,182.61534263925802,188.80861680044612,195.2429748263556,202.02034129852788,209.26425191057433,217.11050468128866,225.70215176750102,235.18738129943623,245.719304195162,257.45698944101656,270.56732061520654,285.2274046760808,301.627371972438,319.9734790940673,340.49147430413234,363.4302164257513,389.06555739050873,417.70450968231296,449.6897248701932,485.4043096642737,525.2770021464478,569.787723248154,619.4735070644892,674.9255072833826,736.5706989144519,804.7479350484886,879.750188885443,961.8465948799834,1051.2923674289132,1148.3314075422259,1253.1944821086895,1366.0947297639232,1487.2215877959097,1616.7338532001772,1754.7523728457147,1901.3527337158657,2056.558252758141,2220.333521893288,2392.5787321026874,2573.124972373298,2761.730669753422,2958.079303601727,3161.7784897914516,3372.3604898246754,3589.2841569192205,3811.9382879562577,4039.64630865364,4271.672181305796,4507.227391502535,4745.47884364027,4985.557475578539,5226.567390839133,5467.595302240983,5707.72008338901,5946.022233268408,6181.593073399355,6413.543515507539,6641.01225933253,6863.17330390832,7079.242680352989,7288.484338948499,7490.2151472622245,7683.80897859304,7868.699890604004
D,648.0,648.0,648.0403060200471,648.1121101995136,648.2092699682968,648.3274569290121,648.4635882993884,648.6154459209102,648.7814199351199,648.9603354495393,649.151334556347,649.3537953631935,649.5672758534118,649.7914744737953,650.0262020539466,650.271361456293,650.5269325475797,650.7929608744734,651.0695489526239,651.3568494294028,651.6550596147196,651.9644170310161,652.2851957387375,652.6177032645109,652.9622780073634,653.3192870311649,653.6891241741301,654.0722084220084,654.4689825027567,654.879911668521,655.305482636631,655.7462026657141,656.2025987463973,656.675216888697,657.1646214903002,657.6713947716505,658.1961362651854,658.7394623472647,659.3020058023693,659.8844154100344,660.4873555457727,661.1115057879281,661.7575605230243,662.4262285427303,663.1182326260687,663.8343091009617,664.5752073796431,665.3416894628654,666.1345294082214,666.954512758266,667.8026408779112,668.680260704963,669.5891469886477,670.5315557581145,671.5102618856316,672.5285895197899,673.5904413615293,674.7003308697812,675.863420243478,677.0855662375575,678.3733753931382,679.734269997853,681.1765659722695,682.7095638539712,684.3436540880703,686.0904379070815,687.9628651756948,689.975390672074,692.144150363562,694.4871592980008,697.024532758469,699.7787019702871,702.7739206759369,706.0359961236485,709.5921454777782,713.470917971011,717.7021464691775,722.3169060516652,727.3474655976923,732.8272235074528,738.7906219385359,745.2730361068407,752.3106367595527,759.9402251476263,768.1990408574312,777.1245437828163,786.7541723619938,797.1250809738142,808.2738600756242,820.2362432532769,833.046805824585,846.7386599741883,861.3431515886303,876.8895639995853,893.4048337315326,910.913283095207,929.4363740833011,948.9924875285257,969.5967308982263,991.2607774484727,1013.9927387688585,1037.7970720416138,1062.6745226379203,1088.6221020009227,1115.6331001361823,1143.6971314601496,1172.8002122559856,1202.9248675606252,1234.0502649609543,1266.1523725110212,1299.2041377945006
R,0.0,5.308657853816933,12.291167024422954,20.594217435592448,29.973586173254652,40.259827447165115,51.33523527488198,63.11831254374839,75.55324770788043,88.60273992043798,102.24306974246346,116.46068144160114,131.24978761337525,146.61066932341527,162.54845291876734,179.07221645907543,196.19432654202316,213.9299382047807,232.29661191845094,251.31401599903893,271.0036923866286,291.388870253997,312.49431633256813,334.34621387569956,356.97206427468143,380.4006068064675,404.6617530275326,429.7865330713933,455.8070516494599,482.75645195737775,510.66888599336517,539.5794900294699,569.5243641604845,600.5405550018476,632.666040726557,665.9397177285789,700.4013882812102,736.0917486268687,773.0523769924613,811.3257210738262,850.9550845753398,891.9846124278677,934.4592743408575,978.4248463733556,1023.927890234804,1071.0157300502435,1119.736426346541,1170.1387470369245,1222.272135200853,1276.206209349288,1332.0372859341787,1389.892301632228,1449.9312526660683,1512.3489043885102,1577.3762747874155,1645.2822273697225,1716.3753979013031,1791.0066083065803,1869.57187726346,1952.5161119174488,2040.3375525698102,2133.5930379210577,2232.9041595249637,2338.9643784642863,2452.547183411423,2574.515376057284,2705.8315764493354,2847.570046224222,3000.929931194728,3167.250025329988,3348.0222634756374,3544.8376819094724,3759.374004077784,3993.3894119487477,4248.71932748753,4527.274274412737,4831.037635064057,5162.062567373326,5522.467625077441,5914.430803011558,6340.1818513606495,6801.992793052631,7302.166651196079,7843.02445620742,8426.890658663957,9056.077125189726,9732.86594066788,10459.491279882359,11238.120644148912,12070.835782457396,12959.613631211327,13906.307611288714,14912.629615773632,15980.13300669021,17110.196915204,18304.01210819647,19562.568646298507,20886.645515998534,22276.802373009436,23733.37348736018,25256.463934253006,26845.94803001435,28501.46997068043,30222.446592874338,32008.07214338075,33857.324915692836,35768.97558904912,37741.597088143586,39773.575769649855,41863.12373467166,44008.292063825196
G,39068.0,39068.0,39072.16619017819,39079.21363211969,39088.299715572895,39098.874462905434,39110.58157878975,39123.19301034007,39136.56565666603,39150.61272750199,39165.28479431091,39180.55725603045,39196.42205077563,39212.88217816886,39229.94808210769,39247.63526483389,39265.962715687136,39284.951878629945,39304.62597579906,39325.00956603737,39346.128258222176,39368.00852626878,39390.67759061232,39414.163342842134,39438.49429802471,39463.6995644572,39489.80882404028,39516.8523187403,39544.86084012063,39573.86571992024,39603.898820317954,39634.992522957175,39667.17971609439,39700.49377942566,39734.96856627212,39770.638382889985,39807.537964728115,39845.702449495504,39885.16734692984,39925.968505179786,39968.142073731346,40011.724462824255,40056.752299319174,40103.26237899116,40151.29161524036,40200.876984227056,40252.05546645543,40304.863984849275,40360.0576847877,40418.28724257997,40480.14459611318,40546.19729999196,40617.014784648745,40693.18901454605,40775.351425214256,40864.18754671356,40960.45036590485,41064.97321740403,41178.682802169984,41302.612795663474,41437.91840998542,41585.89220475113,41747.98139038352,41925.80682750763,42121.1838910235,42336.14533197944,42572.96622994518,42834.19107898425,43122.66298763059,43441.448577556264,43791.37607132281,44173.7725686726,44590.269741669195,45042.68024063136,45532.91512033278,46062.92483420186,46634.65361728819,47250.00142326084,47910.79019034625,48618.73278647257,49375.40393610819,50182.2130015681,51040.378821637416,51950.90698415803,52914.56997752794,53931.890661007536,55003.129437182804,56128.27541819443,57307.041763580026,58538.86524299381,59822.90995127982,61158.07498444298,62543.00577938627,63976.1087325036,65455.56864520561,66979.36849940408,68545.31104260303,70151.04165904711,71794.07201796708,73471.80401936657,75181.55359875593,76920.57400147007,78686.07819159,80475.26011721708,82285.31461052642,84113.45575569772,85956.933608992,87813.04920183939,89679.16779914864,91552.73042079243,93431.26366429435
H,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,432469.6461458905,412773.85053324304,393078.0549205956,373382.2593079482,353686.46369530074,333990.6680826533,314294.8724700059,294599.07685735845,274903.281244711,255207.48563206356,235511.6900194161,215815.89440676864,196120.09879412118,176424.30318147372,156728.50756882626,137032.7119561788,117336.91634353134,97641.12073088388,77945.32511823642,58249.52950558896,38553.7338929415,18857.938280294038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
