series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,2198626.328485479,2197740.5474604596,2196992.933297326,2196326.213528566,2195704.9327480467,2195107.0801844723,2194518.951024701,2193931.9803665713,2193340.787803461,2192741.967846631,2192133.340966244,2191513.4895568043,2190881.4703345816,2190236.6360656866,2189578.5250796047,2188906.7928272374,2188221.1695262874,2187521.433997954,2186807.3975557475,2186078.8941367036,2185335.7743101427,2184577.901695552,2183805.1508774147,2183017.406250115,2182214.5614403537,2181396.519087633,2180563.1908459854,2179714.4975214726,2178850.369291858,2177970.7459746585,2177075.5773220933,2176164.823329083,2175238.45454521,2174296.452384497,2173338.8094287002,2172365.5297209616,2171376.629047371,2170372.135204463,2169352.088250943,2168316.5407421542,2167265.557945911,2166199.2180384467,2165117.612279299,2164020.8451640275,2162909.03455374,2533342.701742498,2903549.583214821,3273523.5889812633,3643246.8524019625,4012688.4929676214,4381803.657085201,4750532.200158705,5118796.610880605,5486498.910540818,5853516.3072209675,6219695.371184167,6584844.444338095,6948723.919148128,7311033.933241761,7300051.682060318,7287140.967230819,7272158.00888865,7254758.143389189,7234588.183835125,7211279.11805372,7184446.488979134,7153695.732163976,7118631.236131243,7078868.4240789795,7034048.217238152,6983853.078557718,6928023.599200789,6866374.3868010575,6798807.924488017,6725325.143890303,6646031.70512414,6561139.371705513,6470962.344152518,6375908.892627763,6276469.031640326,6173199.256682381,6066705.492721147,5957625.395885349,5846611.031251109,5734312.759706086,5621364.94372652,5508373.857347817,5395907.982155912,5284490.701900087,5174595.278596305,5066641.902315794,4960996.551208994,4857971.371828355,4757826.286039829,4660771.543560664,4566970.962961479,4476545.634289567,4389577.889748452,4306115.382459092,4226175.145379859,4149747.5317828995,4076799.9646010343,4007280.444191904,3941120.7826170083,3878239.5475960905,3818544.7111841645,3761936.0073048817,3708307.0089578787,3657546.94059159,3609542.244164634,3564177.9191407682
E,0.0,885.7810250194586,1456.2327665360676,1831.6957618150548,2086.6245347125955,2267.137546937497,2401.823286032928,2508.4124304123934,2597.904902830016,2677.125646404487,2750.308608831761,2820.0789942122788,2888.062625634757,2955.2641003203075,3022.3015256203316,3089.55226166184,3157.243427097137,3225.5081117566547,3294.420294259781,3364.016533458821,3434.309443892318,3505.296066937887,3576.9630707199385,3649.2899799330685,3722.251182157986,3795.817174839083,3869.955341608328,3944.6304375702875,4019.804895354784,4095.439021575452,4171.49112710021,4247.917618214168,4324.673065589674,4401.710261642984,4478.980272904293,4556.432491557077,4634.014688753766,4711.673071339238,4789.352342994681,4866.995770417114,4944.545254890427,5021.941409429866,5099.12364156117,5176.030241707804,5252.598477092536,5328.764691005339,5616.482844019104,6079.531053038669,6700.708716219722,7479.269342238233,8428.58882701636,9574.658796372938,10955.639080082097,12622.524676701663,14640.92443547813,17093.962793858045,20086.36707385159,23749.867840366114,28250.103458692454,33795.27025208339,39946.69384825021,46940.03306576035,54951.562516210084,64130.82390443203,74613.27482019916,86522.72527776359,99968.329801146,115038.45827310733,131792.77130460803,150253.49893278154,170396.88331333056,192145.79012339772,215364.49597546476,239856.54761625288,265366.33532275265,291584.6446228914,318158.0027093908,344701.1968150716,370811.9897851842,396086.85037245497,420136.4754280421,442599.9956900469,463156.98712010524,481536.7037889388,497524.2550417459,510963.7282742512,521758.48293810466,529868.9997223386,535308.7612921887,538138.6754185385,538460.5398353648,536410.003936196,532149.4178818299,525860.8853479879,517739.76014590904,507988.75510017545,496812.7675710931,484414.47185266,470990.685040226,456729.4795913501,441807.99183836835,426390.8599432936,410629.2158554477,394660.15236974903,378606.5871017427,362577.44894592906,346668.118384783,330961.06005889707,315526.5936531921,300423.7569119013,285701.2221109321
I,736.6532836751437,623.8132701068782,557.8942041044788,521.1585762851249,502.61221371970953,495.4361000604901,495.39876860878155,499.8734307143247,507.22889503178476,516.4518670419604,526.9126148466645,538.2195265762703,550.128810475347,562.488414934393,575.2031910119156,588.2132450627822,601.4804835090083,614.9802467870471,628.6961055470572,642.6166222295508,656.7333344472135,671.0394981285131,685.5293032651813,700.1973837678819,715.0385104642947,730.047398250248,745.2185845023017,760.5463520890158,776.024680411817,791.6472141852082,807.4072435722545,823.2976917214515,839.3111072627879,855.4396602608351,871.6751407067624,888.0089589935242,904.4321480426471,920.9353668890564,937.5089056146194,954.1426915717057,970.8262968676406,987.5489470972991,1004.2995313191236,1021.0666132726222,1037.838443834813,1054.6029747103298,1071.3478733457625,1095.1541884628566,1130.8063979716699,1181.7806043509536,1250.9954673497095,1341.370095264832,1456.2460695483721,1599.7298508037602,1777.005050390493,1994.6563790986995,2261.041059066918,2586.740094631335,2985.1211014079663,3473.0459322439992,4071.7593239248135,4784.574724054706,5622.182630975256,6599.533723479744,7734.291867879372,9045.94729180813,10555.147122429178,12283.027834401057,14250.444885677405,16477.055217216814,18980.248500005728,21773.955785047165,24867.39343800501,28263.825075878958,31959.44152303555,35942.464976972245,40192.576145126106,44680.741841966825,49369.487830696205,54213.62222047004,59161.37435366456,64155.87857604055,69136.906017095,74042.73296926472,78812.03198128584,83385.67994900065,87708.39372503784,91730.12502373758,95407.16969411283,98702.96925417837,101588.60305756888,104042.98641958891,106052.80290900529,107612.20775891934,108722.34426985586,109390.71670175274,109630.46212249625,109459.56066804376,108900.01930609609,107977.05904054373,106718.33001226952,105153.17350810806,103311.94475229776,101225.40570546538,98924.19304321555,96438.3630782898,93797.01262968486,91027.97269849075,88157.57023058346,85210.45216441498,82209.4653055319
A,3666.991422179121,3102.299858172284,2772.0931526436584,2587.744366409348,2494.317136266699,2457.735272822457,2456.851084785291,2478.534873571759,2514.6318566440973,2560.075061750848,2611.7144852821916,2667.590363709072,2726.481949614795,2787.627262049793,2850.5489748934942,2914.9462123362264,2980.6272804539276,3047.46783133047,3115.3848317975812,3184.3203563147817,3254.2314883299964,3325.0840210890215,3396.8485226869816,3469.4978731159945,3543.0057185155088,3617.3454976080484,3692.489825740453,3768.410103074757,3845.0762639388845,3922.456615748478,4000.5177354537027,4079.2244036289903,4158.539563895633,4238.424300079934,4318.837826441557,4399.737488128839,4481.078770147833,4562.815313829862,4644.898940210448,4727.279679991508,4809.9058099117365,4892.723895436307,4975.678839721007,5058.713938823042,5141.770943130594,5224.790124971885,5307.71035234591,5425.780694633346,5602.789376041435,5855.996648676109,6199.880476412905,6648.917062185878,7219.6822603644205,7932.554850876416,8813.268603319011,9894.521572083619,11217.820853455694,12835.723999175503,14814.63469365647,17238.317865396242,20212.31417314609,23752.85081974735,27912.904945335307,32766.653989553488,38401.75864325305,44914.940820402204,52408.64839603258,60987.732585556754,70755.61617899388,81809.7319990731,94236.21127864729,108103.96477786501,123458.44480295092,140315.499678713,158655.81804123125,178420.4907194565,199508.18069193466,221774.28548966168,245032.3135100251,269057.49925635295,293592.4817252368,318354.69357140735,343044.978356208,367356.88127873436,390986.04692879645,413639.19865296956,435042.25525599206,454947.2467521373,473137.8069208794,489433.1339864668,503690.41255598335,515805.7741720034,525713.9377220656,533386.714246396,538830.5849348648,542083.568962422,543211.5924940463,542304.5550323483,539472.2674375905,534840.4102025437,528546.6332243148,520736.8911938651,511562.0831528988,501175.0416472064,489727.8967686939,477369.82346202,464245.16678509023,450491.9291997612,436240.596163542,421613.27096270205,406723.0865097115
IH,0.0,29.46613134700575,41.232888319741804,45.09738667172444,45.763138859536184,45.389119669490405,44.89542545948299,44.621160789803696,44.648613066033974,44.95799931942922,45.49785746418446,46.21456486318445,47.062829952397884,48.00787698069984,49.0244099036151,50.094646424244374,51.206365884663526,52.351292495556926,53.52386741092647,54.72036213400604,55.93825912746843,57.17582892911213,58.43184622943082,59.705401631286996,60.99577803931442,62.30237008364415,63.62463188668353,64.96204334019785,66.31408839348244,67.68024109897668,69.05995665352269,70.45266565398279,71.85777042488061,73.27464268922539,74.70262211974067,76.14101547808309,77.58909615825888,79.04610401942799,80.51124543691958,81.98369352776048,83.4625885242244,84.94703827960015,86.43611889693776,87.92887547547829,89.42432297176438,90.92144717367083,92.41920578617142,93.91652962781039,95.696069913094,98.10537362349481,101.47550833912693,106.10613888272883,112.27959765453039,120.28553962933454,130.44826074996018,143.15428250043297,158.8805506291717,178.2248717264447,201.94078059786733,230.97931803014006,266.5404184982999,310.1368483002304,362.736965145454,425.3034171166715,498.96610488383686,585.0558654881239,685.0876099505047,800.7242281456499,933.7299437714844,1085.9137278953767,1259.0613343123837,1454.8549982236275,1674.7814148837297,1920.0306541901123,2191.3907873629882,2489.1448652831446,2812.9781645355088,3161.904025313438,3534.2159799392975,3927.472217020266,4338.515933614605,4763.532135515169,5198.138370829343,5637.504132481234,6076.4915645587425,6509.808847832521,6932.1672705529345,7338.4334361580895,7723.7691558822025,8083.753111859155,8414.480138681389,8712.63576420393,8975.54531918999,9201.198362595087,9388.250313236622,9536.004007432603,9644.37442507637,9713.84007435129,9745.384541662657,9740.43154788731,9700.776554424227,9628.517578826959,9525.987450047716,9395.689290382224,9240.236580503097,9062.298763883578,8864.552989537384,8649.64228412322,8420.14018861187,8178.5216901685,7927.140123613611
IN,83.37388222125979,151.2934311847156,193.85213942413122,221.06141681812863,239.06942184887342,251.6403667615973,261.06895132250133,268.74561128867094,275.50575070956893,281.84530458390765,288.0535965683067,294.29504816663535,300.65928106986905,307.1917123572683,313.9121314258853,320.8258905865132,327.9305713168161,335.21989199270564,342.68594441182455,350.32042678862354,358.1152816768493,366.06298740619184,374.15665324761784,382.39000817755687,390.75733625060025,399.2533892053793,407.8732934434816,416.6124604897479,425.46650533628116,434.4311743811986,443.50228319135346,452.6756635532196,461.9471189279517,471.31238731408575,480.76711053604987,490.30680905473946,499.9268615010313,509.6224882437102,519.3887384090029,529.220479864569,539.1123917644559,549.0589593230186,559.0544705459048,569.0930146960679,579.168482313712,589.2745666423497,599.4047663399607,609.552389375599,620.513412103214,633.4777709892787,649.8082564768592,670.9453814983686,698.3930254610144,733.7545037267437,778.8007044496135,835.5609381188568,906.4336113417975,994.3184220650458,1102.7751253570514,1236.2165706643796,1400.1460459237123,1601.4512035281523,1846.118001781385,2140.2327737717474,2490.445785842312,2904.1737824927195,3389.66461684953,3955.974131917655,4612.871774111669,5370.676513174058,6240.019334258788,7231.52879422716,8355.44002766933,9621.134067712945,11036.622436052396,12608.000504539521,14338.900792789791,16229.982767291895,18278.49769983958,20477.96506461464,22817.99079246136,25284.24811230809,27858.629875884188,30519.568648891705,33242.5089312976,36000.505878589785,38764.91768138169,41506.15472139641,44194.447736869486,46800.599146132474,49296.68582157289,51656.68729920435,53857.01996593909,55876.96456577822,57698.98089494146,59308.90943139365,60696.06461433034,61853.22842155707,62776.55575519304,63465.40498421824,63922.10790635095,64151.693515887135,64161.57944914301,63961.24397815688,63561.890081661484,62976.11157067127,62217.56959625468,61300.68621065235,60240.36006091386,59051.70781855005,57749.83362410858
D,2766.0,2766.0,2766.495689251676,2767.189322878533,2767.947966406881,2768.717809444248,2769.481360603993,2770.2366066723557,2770.987238967459,2771.7383330740604,2772.4946317811105,2773.2600121649043,2774.0374492435553,2774.8291561251317,2775.636760908226,2776.461466152793,2777.304175278962,2778.1655861268096,2779.0462573182804,2779.9466539625255,2780.86717844666,2781.808190806933,2782.770021985993,2783.7529823139175,2784.7573668225964,2785.7834584806988,2786.831530073156,2787.901845201962,2788.9946587196728,2790.1102167976655,2791.2487567596486,2792.4105067644673,2793.595685392274,2794.8045011689214,2796.037152051174,2797.2938248875466,2798.5746948646643,2799.8799249459394,2801.209665307437,2802.564052774599,2803.943210262762,2805.3472462239583,2806.7762541022253,2808.230311799493,2809.709481154027,2811.213807433358,2812.743318843596,2814.298026057012,2815.8779217597425,2817.487753492485,2819.1381153490906,2820.8451707544887,2822.630124196854,2824.5189296557196,2826.5424137848086,2828.736858654144,2831.145048529198,2833.817791018526,2836.8159502358244,2840.213066512767,2844.0986789115814,2848.582512199058,2853.7997394095364,2859.901823619057,2867.056421896081,2875.450198881221,2885.292207007001,2896.816983052752,2910.287037495063,2925.9945591797073,2944.262168077065,2965.4425247132967,2989.9165887454587,3018.090329522228,3050.389736151575,3087.254054942724,3129.1272937827803,3176.4481661748578,3229.638787696287,3289.0925671465675,3355.1618363460793,3428.1458223058394,3508.2795749108814,3595.7244209546807,3690.5604268029533,3792.781228067331,3902.291439582238,4018.906707679969,4142.356322955433,4272.2881863517905,4408.27582190406,4549.82705963077,4696.393972376295,4847.383638792291,5002.169317209546,5160.101646958329,5320.5195394450875,5482.760475839207,5646.169986936969,5810.110149758634,5973.966991639755,6137.156743776265,6299.1309309266935,6459.380321489123,6617.437792233551,6772.880184787918,6925.329247063318,7074.45176287921,7219.958977945595,7361.605430951211,7499.187295658009
R,0.0,580.1458972646408,1098.6129359490164,1579.1867141107903,2038.0799136936405,2486.210673386535,2930.877172040722,3376.9425935341383,3827.6520128452103,4285.1850147491605,4751.024312536264,5226.19900705819,5711.443792982409,6207.302485100334,6714.195000186119,7232.460524092277,7762.385243726349,8304.220115111126,8858.192217061067,9424.511981962312,10003.377777490765,10594.978784704712,11199.496778004237,11817.107194499553,12447.979740949999,13092.278697453761,13750.163020314307,14421.78631031572,15107.29668954153,15806.8366151088,16520.54264873019,17248.54519493488,17990.96821685112,18747.928935901644,19519.537520094636,20305.89676449329,21107.101766715583,21923.239599824912,22754.38898463871,23600.61996325316,24461.99357542242,25338.561539317627,26230.36593810894,27137.438913752532,28059.80236931681,28997.4676811429,29950.435422100294,30918.695097166652,31907.66262567757,32926.6864226806,33988.143109551194,35107.03400405487,36300.98573183004,37590.57783955381,38999.9500046497,40557.672647330844,42297.89408286557,44261.804412747784,46499.482190172705,49072.21604598897,52055.421391764256,55542.30304899885,59630.4929231929,64427.307644141736,70053.02941356506,76643.15889526966,84350.03919384844,93343.97094381461,103813.79590760171,115966.85292376566,130028.1766248892,146238.80490697618,164853.08206246246,186134.88920095155,210352.79937434982,237774.2362430133,268658.8036081654,303251.0378532409,341772.9048900956,384416.4077728536,431336.68435949186,482645.95448246744,538408.6259108564,598637.7946208633,663293.2865306654,732281.294554007,805455.5754527699,882620.0925918784,963532.9280882631,1047911.2434114062,1135437.0415643693,1225763.475251417,1318521.4515124778,1413326.3011509408,1509784.307674557,1607498.9222996247,1706076.526055184,1805131.6348379867,1904291.476584441,2003199.900215078,2101520.6028009714,2198939.684026447,2295167.555328573,2389940.245181781,2483020.152147097,2574196.303921492,2663284.184173943,2750125.1899385555,2834585.781244859,2916556.3819679157,2995950.087000914
G,317491.0,317491.0,317520.6361964567,317569.3583965679,317630.6427252143,317700.45638445445,317776.30959403736,317856.66907877295,317940.59479120333,318027.5147159944,318117.08518471644,318209.10418709466,318303.4575461475,318400.0854811957,318498.9618230733,318600.08108306496,318703.45039805764,318809.08450380625,318917.0025889454,319027.226317264,319139.7785757265,319254.6826733504,319371.9618201647,319491.63878014457,319613.73563220835,319738.27359834185,319865.27291344316,319994.7527211417,320126.73098585365,320261.2244150775,320398.2483882622,320537.8168900342,320679.94244647457,320824.6360637034,320971.9071683837,321121.763549977,321274.21130472363,321429.2547814069,321586.8965290147,321747.13724644727,321909.975734439,322075.4088498748,322243.4314626877,322414.03641552565,322587.2144863763,322762.9543543327,322941.2425686807,323129.1571708899,323332.5643015048,323556.75460848113,323806.9937638911,324088.99496652983,324409.34103523096,324775.8915289929,325198.2121822151,325688.06385054113,326259.9885421667,326932.0322006868,327726.6481715154,328671.8316789235,329802.5437174609,331139.0682458067,332709.5738248685,334548.1267587569,336693.7966731909,339190.1852933913,342085.03674298426,345429.7472049952,349278.6695155414,353688.1526176077,358715.2892201086,364416.3771491141,370845.13349360315,378050.7343500715,386075.78294085746,394954.3303746803,404710.08215498814,415354.9173978233,426887.8268857424,439294.3434709519,452546.4987779472,466603.2992429728,481411.67744650197,496907.84531742235,513018.9562483431,529664.9738846532,546760.6453944859,564217.4845754285,581945.6829997887,599855.8833388523,617860.7660978766,635876.4177002381,653823.4630861275,671627.959058831,689222.0551919205,706544.4371483229,723540.5728959865,740162.7857974229,756370.1802310201,772128.4456226431,787409.5638701593,802191.4434458337,816457.5012362865,830196.2106556703,843400.631927844,856067.9378174633,868198.9455995378,879797.6637607163,890870.8598649143,901427.6542110215,911479.1423651064
H,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,5202058.594037686,4830498.204075662,4458937.814113639,4087377.4241516157,3715817.034189592,3344256.6442275685,2972696.254265545,2601135.8643035213,2229575.4743414978,1858015.0843794742,1486454.6944174506,1114894.304455427,743333.9144934035,371773.52453138004,213.13456935656723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
