series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,23080.07383470791,23067.086432889704,23055.222250614715,23044.188817709102,23033.776879675843,23023.836393611324,23014.259606813626,23004.96905453232,22995.90900788747,22987.039359345767,22978.331239708277,22969.763870082403,22961.322297406037,22952.99576358556,22944.776529843843,22936.659028581427,22928.639251153207,22920.714305746555,22912.882098009148,22905.14110032034,22897.49018511755,22889.92850453663,22882.455403556538,22875.07035739332,22867.772926452653,22860.562724001058,22853.43939305299,22846.40258993717,22839.451972704235,22832.587193043448,22825.80789074195,22819.11368998529,22812.504196989892,22805.97899859749,22799.537661562485,22793.179732336623,22786.90473720856,22780.71218269465,22774.601556105423,22768.572326232686,22762.623944117175,22756.75584386746,22750.967443508835,22745.25814584667,22739.627339332947,22734.074398927838,22728.598686950394,32199.910604662597,41668.7316649483,51135.1109041974,60599.03823863133,70060.40916368272,79519.00499460225,88974.47941484436,98426.34532051966,107873.95775519172,117316.4898486619,126752.89926170436,136181.88278370808,145601.81651452722,155010.67856286306,164405.95048057087,173784.49279215702,183142.3890498212,187662.17711430852,187490.88590406132,187291.93933882657,187060.2246812259,186790.50637413218,186477.29903635848,186114.8402668058,185697.13315854073,185218.04288236058,184671.43742906066,184051.36343212318,183352.24626968222,182569.10104667445,181697.73891695548,180734.95252056923,179678.66563566218,178528.03548318645,177283.50095618636,175946.7755033257,174520.78852592266,173009.58317795585,171418.18096345966,169752.42445335194,168018.80903323842,166224.31324105943,164376.23538236454,162482.04208414708,160549.232525755,158585.2204217699,156597.234493826,154592.23716172768,152576.86047797714,150557.3578757243,148539.57004563013,146528.90315282505,144530.3176085094,142548.32568721808,140586.99640347197,138649.96621031745,136740.45424251677,134861.2809886927,133014.88943271467,131203.36785072472,129428.47358395514,127691.65722771065,125994.08678331684,124336.67141281151
E,0.0,12.98740181820367,22.25410372955174,28.836715889253167,33.481310744661585,36.725534660246545,38.95721452589467,40.45632390202152,41.425105766468135,42.0097331548759,42.31590616139145,42.42009455498592,42.3776483203557,42.228652476761525,42.00215572312635,41.71922584091467,41.39515810095057,41.04107188741248,40.66506524733657,40.27304988667933,39.86935511213438,39.457164670627115,39.03883271659604,38.616112336494645,38.190320809864694,37.76245909948737,37.33329822765515,36.90344169794668,36.47337059129131,36.04347613382073,35.61408320855445,35.18546732350515,34.75786685420175,34.33149187576546,33.90653053561894,33.48315365435842,33.06151805154977,32.64176895514777,32.22404175334555,31.808463275411924,31.395152735839748,30.984222438386347,30.575778309333504,30.169920309632545,29.766742761427995,29.36633461425162,28.968779668845386,28.57415677130957,30.74931587978144,34.93126420316026,40.728727677033426,47.92310783867411,56.45370609985023,66.3995953861976,77.96482138209618,91.47047318204697,107.3553358238793,126.18590636508648,148.67625383679646,175.71832299873276,208.42366081160247,248.17806168991132,296.7111885142282,356.18374389564065,429.2951359012261,514.7273189681928,610.7284204092846,720.2973939281006,845.9562222362115,989.9723155626604,1154.4366220027941,1341.2564058673238,1552.0954008740168,1788.2817739991162,2050.6994161367916,2339.6766953503943,2654.886579288091,2995.2713931494272,3359.0035109057835,3743.489693631672,4145.421907381059,4560.872052904958,4985.423095184611,5414.325453550751,5842.665710807411,6265.534783142123,6678.184336621423,7076.162889410674,7455.426103707531,7812.418741660926,8144.128291546212,8448.112191629034,8722.501857288342,8965.987413774583,9177.78726311798,9357.606494244914,9505.587797648786,9622.258068213188,9708.473347375622,9765.364222216147,9794.283299064213,9796.755922997461,9774.434931552507,9729.059913042667,9662.42118425818,9576.3285033846,9472.584384697613,9352.961774527674,9219.185775866637,9072.919065087113,8915.75062257502
I,22.502707666655834,18.175689665277915,14.975226226984262,12.600318594838054,10.831354083296036,9.50786787599157,8.512443039816146,7.759035417844499,7.184495187885573,6.742401828935736,6.398575756497752,6.127806715949335,5.911466219912718,5.735763011266996,5.5904667517877655,5.467973024856406,5.362617415556404,5.270171565893815,5.187472339862463,5.112148477824644,5.042418747537218,4.976942604163357,4.91470947297295,4.854956486981951,4.797107225010175,4.740725977377023,4.685483515489484,4.631131402323868,4.577482658262973,4.524397167327022,4.471770628169413,4.4195261628505245,4.3676079239388015,4.315976208520354,4.264603712016187,4.213472646863356,4.162572519576164,4.111898410673189,4.061449639993852,4.0112287283866275,3.9612405880987116,3.9114918902552946,3.86199056993111,3.8127454384839976,3.763765879778658,3.715061612227801,3.666642502626636,3.618518420860576,3.5706991269537465,3.581401411009394,3.6848805418165043,3.8999318940255883,4.236779507105535,4.702304980006972,5.303859808082793,6.052009056461403,6.962567640609177,8.058259850616164,9.370286903916714,10.940043442884345,12.821191172781342,15.082280000950238,17.810104360356473,21.113992957711204,25.13125044925684,30.033994297948706,35.93135616086101,42.87175537857914,50.962308595459895,60.346726572363515,71.19250456411761,83.68234716563946,98.00707829721327,114.35855736341344,132.92187043523455,153.86655775942512,177.3370053572322,203.44241926931142,232.2470213639695,263.7612389693002,297.93468702122897,334.65165207158174,373.7295928731171,414.92090293264897,457.9178806311663,502.36056949206215,547.8469044723772,593.9444543204802,640.2029924241372,686.1671515351801,731.3885036614738,775.4365332214858,817.9081175447857,858.4352757025308,896.6910811069405,932.3937470477231,965.3089834846379,995.2507875386917,1022.0808710836075,1045.7069498488138,1066.0801233142715,1083.1915672718721,1097.0687448275671,1107.7713199272043,1115.3869327591817,1120.0269706157203,1121.8224424673886,1120.920041663272,1117.4784594836244,1111.6649931206443,1103.6524751988486
A,175.95858420607075,164.39755665976259,155.89908743974314,149.60219189938854,144.88626940823363,141.30379040569656,138.53196639049588,136.33798763175756,134.55398642626332,133.05898679831517,131.76588108652484,130.61202791367248,129.55246147173838,128.55498516209985,127.59662579187693,126.6610705759254,125.73681432845788,124.81581999088651,123.89255028503865,122.9632677177544,122.02552864122457,121.07781764781056,120.11928344787756,119.14954812948822,118.16856947293927,117.17654161622264,116.1738234354066,115.16088694713362,114.13828017004042,113.10660042286,112.06647515194517,111.0185481876419,109.96346991249423,108.90189024630757,107.83445365824377,106.76179563666402,105.68454020675357,104.60329820098595,103.518666070468,102.4312250850262,101.34154081297143,100.25016280246398,99.15762440865618,98.06444272675155,96.97111860254495,95.8781367001701,94.78596561259845,93.69505800456655,92.6058507805398,91.97391322380341,92.12505082353329,93.29428081026388,95.66241655294411,99.38762817337152,104.63171495775467,111.5820274318709,120.47054303304799,131.59180416005808,145.32145371615727,162.13707443229532,182.6430325292469,207.60108812963176,237.96868432101286,274.94706590272386,320.04169403585,375.1377830529075,441.76296326537374,521.0338478975827,614.5254681453598,724.1565758426012,852.121918432121,1000.8428144297325,1172.9196956708822,1371.0771554745434,1598.0962872042278,1856.732191749159,2149.617178433396,2479.152615351637,2847.3945433452295,3255.9398351527457,3705.82060354443,4197.414558340774,4730.378050995534,5303.606770617584,5915.226753924353,6562.615901847716,7242.453902795266,7950.796612012491,8683.169678019007,9434.675574773215,10200.108134145112,10974.069062393406,11751.081628559288,12525.697597279119,13292.594428547514,14046.660694671189,14783.068510226989,15497.332499196684,16185.355419238938,16843.46102529334,17468.415091955372,18057.435740487377,18608.19434875509,19118.80837817864,19587.827447545118,20014.213934239073,20397.319302118987,20736.857252812388,21032.87468249354,21285.72130624704,21496.01869225688
IH,0.0,2.5554609352786315,4.434868627589882,5.815011328541729,6.825719800863462,7.562503031071294,8.095745417012008,8.477410980903445,8.745937258930143,8.929812708820611,9.050195485229525,9.122833263635043,9.159472799434399,9.168896489944686,9.157685916940189,9.130785271909337,9.091917885662362,9.04389476331746,8.988843594272696,8.928379100197384,8.863730031286977,8.795834062862763,8.725408874998065,8.653005522355416,8.579048605418219,8.503866581753007,8.427714693174634,8.350792348825117,8.273256334725957,8.195230873127231,8.116815297628847,8.038089918918752,7.959120513704234,7.879961763264093,7.800659888653997,7.721254670057004,7.641780992999135,7.56227003038764,7.482750143795349,7.4032475680451615,7.323786928410834,7.244391628501713,7.1650841382869634,7.085886205100879,7.006819005375867,6.927903250913115,6.849159260450578,6.770607004917811,6.692266132920788,6.614155981558053,6.542905727531411,6.488555609079128,6.462554768096495,6.476686056505608,6.542662345683477,6.672184946059591,6.8773093831687575,7.171015986268123,7.567927703687946,8.085154061273306,8.743269062896909,9.567453911614123,10.588854816469249,11.846223831371365,13.38792827503677,15.274432912645855,17.581379175865585,20.39133562459997,23.786402732907742,27.854912519814583,32.695133950251346,38.417255879227376,45.1442528864806,53.01188338388757,62.16788340181928,72.77033184748899,84.98513767073464,98.98261746337143,114.9331818249641,133.002220060022,153.34435399907434,176.0973100953679,201.37572149913177,229.26520773912674,259.8170823874238,293.0440075860114,328.91685295242644,367.3629337090997,408.2657096218436,451.4659332694952,496.7641524360576,543.9244034922086,592.6788840172735,642.733364388881,693.7730882872789,745.468918256822,797.4835011302998,849.4772555604842,901.1140166411651,952.0662076234917,1002.0194436119566,1050.67650503538,1097.760648380001,1143.018247389488,1186.2207793326209,1227.1661879808164,1265.6796678209528,1301.6139231050395,1334.8489610509043,1365.2914813452244,1392.8739245575043
IN,1.7715570660992883,3.341422107189077,4.391907258129296,5.07083357380879,5.485496113686574,5.713685064213722,5.811701371387929,5.820192298536094,5.768403465911469,5.677279317839656,5.561725250367231,5.432258842580933,5.296215533207371,5.158629066559446,5.0228743584769795,4.891136692495086,4.764753888995166,4.644465518347491,4.530594067345824,4.423176285319798,4.3220580569582845,4.226962583006091,4.137539041579602,4.0533969930107645,3.974130391475515,3.899334039962984,3.8286145713471798,3.761597484425128,3.6979313564578935,3.637290054004247,3.57937354313577,3.5239077375605734,3.4706437034271596,3.4193564513715886,3.3698434814338354,3.3219231987121582,3.2754332825595998,3.2302290664437363,3.186181966844483,3.143177985947292,3.1011163030623976,3.0599079626734813,3.019474662056104,2.9797476379620202,2.940666649535062,2.9021790531069858,2.8642389635942993,2.826806496714044,2.789847086035076,2.753330868890895,2.721814580532757,2.702032965095185,2.7014337072314585,2.7274214734092945,2.7870996712428693,2.8873417411063844,3.035070330702657,3.237664994596338,3.5034541254624836,3.842274286667842,4.266100998426587,4.7897709589037065,5.4318283931835465,6.215539276542433,7.170127804664625,8.33230049506826,9.748135010489491,11.467054607189201,13.53666757680596,16.007594907495555,18.936008210895103,22.384870250328404,26.424359143741306,31.131686099768352,36.590376219299195,42.88901641780452,50.119455270313296,58.37445136949808,67.74480012696667,78.31601583995806,90.16469789671318,103.35475819969366,117.9337225694387,133.92933519058516,151.34668840164764,170.16607053828488,190.341676035976,211.80126116862965,234.44676341489784,258.1558399671049,282.78422734157544,308.1687833533438,334.1310466385158,360.481137290134,387.0218234435873,413.55259035833615,439.8735678736584,465.7891962647821,491.1115369732962,515.6631613467705,539.2795758022028,561.8111646128241,583.1246511256295,603.1040943249387,621.6514502236713,638.6867367528228,654.1478469334024,667.9900585388941,680.185289613292,690.7211485278018,699.5998251472753
D,134.0,134.0,134.00997085245334,134.0272747447278,134.0499636534765,134.07659612673513,134.1061033678202,134.1376912046517,134.17076821745593,134.20489296136068,134.23973514725617,134.27504704054766,134.31064235064315,134.34638062023387,134.3821556590142,134.4178869565783,134.45351329367955,134.48898797869796,134.5242752879437,134.559347799508,134.59418439177463,134.6287687374432,134.66308816781842,134.69713281443643,134.73089495892876,134.7643685396256,134.7975487764271,134.83043188513147,134.86301485958793,134.89529530539065,134.927271312822,134.95894135974245,134.9903042373673,135.0213589935582,135.05210488953134,135.08254136684732,135.1126680222804,135.14248458872055,135.17199092068768,135.20118698336233,135.23007284428766,135.25864866708926,135.2869147067085,135.3148713057597,135.3425188917106,135.36985797465465,135.39688914549833,135.4236130744274,135.45003050954983,135.47614227563815,135.5019492729141,135.5274782672042,135.55279519915973,135.578010681492,135.60328130103642,135.62880934570353,135.65484275937078,135.6816765239527,135.70965626778386,135.73918467476096,135.77073118642724,135.80484551961172,135.84217564271785,135.88349104987878,135.92971243730884,135.98194921997433,136.04154673319707,136.11014544870423,136.18970800277523,136.28251736987272,136.39120117677487,136.51877047437583,136.66866624650285,136.84480929703176,137.05165012961794,137.29421568175718,137.57814968044025,137.90974319327532,138.29595182614776,138.74439609001786,139.26334180892036,139.86165810762407,140.54875148954653,141.33447573171117,142.2290186799102,143.24276839432733,144.3861623400687,145.66952432182742,147.10289454411216,148.69585849679905,150.45738032098208,152.39564593861297,154.5179205929119,156.83042462033242,159.33823033737144,162.0451819498631,164.953839440916,168.06544651499473,171.3799219040462,174.8958726977091,178.6106278524349,182.52028966322885,186.61980073901,190.90302389573128,195.36283235488722,199.99120769200593,204.77934310318284,209.71774973144213,214.7963640038536,220.0046541617637,225.33172440900023
R,0.0,11.762719571317655,23.119268897566663,34.165519907072024,44.96969016667137,55.58031287145163,66.03190272067705,76.34898767869487,86.54897943634602,96.64421753081423,106.64342505118577,116.55274523295412,126.37647954540073,136.11761323430304,145.77818960166414,155.35957670262096,164.86265758021702,174.28796619561527,183.63578481577767,192.9062140591041,202.09922354826253,211.2146888041851,220.2524183683499,229.21217397064294,238.09368573044273,246.89666379124637,255.6208073742401,264.2658119437769,272.8313749721303,281.31720064675454,289.7230037625266,298.0485129712245,306.293473511708,314.4576495104582,322.54082591875397,330.542810136613,338.4634333624597,346.3025516997274,354.0600470461787,361.73582778786954,369.3298293168885,376.84201438990374,384.2723733429259,391.6209241763733,398.88771252341286,406.0728115135709,413.1763215427256,420.1983699597766,427.13911067952563,433.9987237305812,440.80731938578515,447.6173863218519,454.49830770071736,461.5329772904393,468.816329648664,476.4555394876817,484.5716734983935,493.30265229457734,502.80747636607776,513.2717749525635,524.9148455004129,537.9984640918008,552.8378674167546,569.8154396351126,589.3977884303513,612.157068634169,638.7976120605654,670.1345375315539,707.0676002205206,750.6110725089239,801.9170964994437,862.295129034859,933.228416162807,1016.3874569637862,1113.6398359920554,1227.0554731539778,1358.906199267575,1511.6585948902161,1687.9592216799172,1890.6117162363078,2122.545676804319,2386.777805735856,2686.3663137051212,3024.3600799571564,3403.744438854461,3827.385687182043,4297.976463072755,4817.984043460626,5389.603368851292,6014.716269575001,6694.85797804378,7431.191605859167,8224.490875231257,9075.131044760703,9983.087675073923,10947.942647136279,11968.896676112694,13044.787452723316,14174.112485600537,15355.055704106588,16585.516902823707,17863.143158102102,19185.361415944983,20549.411532366776,21952.379136475833,23391.22777826251,24862.829913775953,26363.99636730835,27891.503991419704,29442.121319835773,31012.632074686164
G,6090.0,6090.0,6090.294517589507,6090.799177803985,6091.453113069244,6092.212374626874,6093.0452060193975,6093.928645607753,6094.8460807624315,6095.78548515341,6096.738147242242,6097.697752470057,6098.659720396351,6099.620725761936,6100.578352322636,6101.530842576719,6102.476916780226,6103.41564204274,6104.34633763007,6105.268506448857,6106.181785466536,6107.08590982699,6107.980686872488,6108.865977330874,6109.741681685039,6110.607730290055,6111.464076200002,6112.310689953567,6113.1475557751955,6113.974668798887,6114.792033030548,6115.59965984351,6116.397566858853,6117.185777103336,6117.96431836763,6118.73322270906,6119.492526058678,6120.24226790376,6120.982491024943,6121.713241273085,6122.434567375176,6123.14652076165,6123.849155409677,6124.542527698533,6125.226696274327,6125.901721922128,6126.567667444128,6127.224597542886,6127.872578708964,6128.56988633975,6129.362028746335,6130.28564124921,6131.3724019731735,6132.652612570491,6134.158367844037,6135.926389776464,6138.000681744155,6140.435197528775,6143.296737465143,6146.668294956776,6150.653090194984,6155.379550116514,6161.007527561171,6167.736099237348,6175.81334048562,6185.548541596875,6197.22110331154,6211.070698845769,6227.405009214979,6246.588906878991,6269.0386827571765,6295.218044565695,6325.633951388087,6360.831091089291,6401.384270609776,6447.888341038886,6500.945599926147,6561.150928651066,6629.075223516146,6705.247935427804,6790.139707958394,6884.146167814122,6987.573863505389,7100.629177664564,7223.410785849923,7355.905941195992,7497.990572682448,7649.432930487319,7809.900317754114,7978.968323468473,8156.131913863561,8340.81773991566,8532.397062200082,8730.19876707087,8933.52203662257,9141.648328515445,9353.852412659604,9569.412294782509,9787.617929099331,10007.778682427104,10229.229560104424,10451.336240760915,10673.49899354413,10895.155569288412,11115.78316777747,11334.899588122958,11552.0636696404,11766.875127577778,11978.973882598051,12188.038975827376,12393.7871531957
H,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,165768.2240679954,156291.51301724697,146814.80196649852,137338.09091575007,127861.37986500164,118384.66881425321,108907.95776350478,99431.24671275634,89954.53566200791,80477.82461125948,71001.11356051105,61524.402509762614,52047.69145901418,42570.98040826575,33094.26935751732,23617.558306768882,14140.847256020446,4664.136205272011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
