series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,32685939.858719457,32682887.991973076,32680093.53396331,32677421.977182683,32674787.734475806,32672135.688433606,32669429.68203427,32666645.334181823,32663765.552405227,32660777.728574887,32657671.985209357,32654440.077756863,32651074.70653232,32647569.084520437,32643916.665012375,32640110.969104085,32636145.47560354,32632013.549958386,32627708.3976008,32623223.032594718,32618550.255899962,32613682.639711004,32608612.515668217,32603331.96557762,32597832.81380002,32592106.62079944,32586144.677547563,32579938.000611134,32573477.32783204,32566753.114562526,32559755.530452184,32552474.45680589,32544899.484547086,32537019.91283146,32528824.748363644,32520302.70547559,32511442.20702963,32502231.386213087,32492658.089294296,32482709.879412368,32472374.041475147,32461637.58824125,32450487.267663248,32438909.571569506,32426890.745762136,32414416.801607907,32401473.529197503,32388046.51214643,32374121.144107852,32359682.647063885,32344716.091456883,32329206.418216653,32313138.46273244,33822336.90508425,35330088.13350513,36836314.276504785,38340901.309917204,39843702.840360336,41344541.82977202,42843210.69287849,44339470.08534032,45833046.60402034,47323629.543194965,48810866.789989956,50294359.89638473,51773658.33128039,53248252.89224669,53191794.86609022,53131202.34657699,53066095.365445815,52996082.998195246,52920803.81735128,52839911.6103175,52753068.10006746,52659939.848127685,52560197.70897437,52453517.8865899,52339584.03254549,52218090.04433899,52088743.344281204,51951268.48443663,51805410.9561812,51650941.09811246,51487658.00187596,51315393.31716388,51134014.85792763,50943429.91373932,50743588.17445136,50534484.183487706,50316159.24546353,50088702.72722802,49852252.707425505,49606995.94761452,49353167.1770603,49091047.70262578,48820963.37382513,48543281.95022614,48258409.93326979,47966788.93665635,47668891.67835982,47365217.68290928,47056288.78484114,46742644.523376904,46424837.514747925,46103428.88260583,45778983.81911585,45452067.34014616,45123240.287943475,44793055.62429277,44462055.046810485,44130765.95106153
E,0.0,3051.866746381856,5087.332944300013,6493.682437147111,7512.962169520758,8296.552855294161,8939.226806980027,9500.410768414264,10017.463572339919,10513.96865952242,11004.913678418576,11499.925956214327,12005.293660634768,12525.228437634063,13062.654200658153,13619.69988821575,14198.007264982225,14798.923153095257,15423.619438784002,16073.167931266406,16748.586987545383,17450.870467066314,18181.00561295897,18939.98397774809,19728.807962481267,20548.49457028525,21400.077370444913,22284.607291018685,23203.152621674744,24156.79846069314,25146.645747717273,26173.809966102795,27239.419562640967,28344.61410993101,29490.54222268736,30678.359230639566,31909.2246054497,33184.299136011396,34504.74184484823,35871.706637628464,37286.33867777216,38749.77047857096,40263.11770606859,41827.47468710126,43443.909618340076,45113.45947389536,46837.12461102961,48615.86307577818,50450.58461279509,52342.144386525324,54291.33642385043,56298.88679165787,58365.44652633494,60491.5843359724,63536.17079206297,67348.6614479491,71852.10456921185,77021.05534600466,82867.04171071296,89429.27183865616,96768.96199332987,104966.1629006129,114118.31945264508,124340.0493853504,135763.80042979933,148541.16396789192,162844.70230614583,178870.19766434588,194978.13554518644,211594.53020388455,228983.8541821182,247315.30931842234,266700.80248945166,287216.47403474525,308914.6898242706,331830.4995142556,355984.8864907591,381386.16803411394,408030.3470107162,435900.8955513402,464968.266473843,495189.32159672235,526506.8038773265,558848.9429117648,592129.2593738362,626246.6168754522,661085.5557807437,696516.9307032115,732398.8608272345,768577.9895585869,804891.037479735,841166.6205706834,877227.2946847258,912891.7778947133,947977.2950486479,982301.9840775607,1015687.3015115807,1047960.3653328698,1078956.1766002316,1108519.6669327188,1136507.526522245,1162789.7763528875,1187251.0581876966,1209791.6260918677,1230328.0332808974,1248793.5174683142,1265138.0962824181,1279328.3914668525,1291347.2063178755,1301192.8850785475,1308878.4858261605
I,2244.4406627987464,1944.9821531997868,1767.7610642405846,1669.064489919418,1621.453563394146,1607.6763290951124,1616.8640818244717,1642.1534500292614,1679.199024569814,1725.2424218642318,1778.529133723603,1837.942832325024,1902.7757002867963,1972.5838974362578,2047.0963541705282,2126.157000777676,2209.687990149955,2297.666126194196,2390.107620066681,2487.0581158279138,2588.586065207484,2694.7782433986617,2805.736643807725,2921.576269218547,3042.423512238926,3168.4149281363752,3299.6962726066104,3436.421720879763,3578.753212385385,3726.859882930242,3880.9175577266105,4041.1082859834287,4207.619902606735,4380.6456057724,4560.383541314846,4747.03638638808,4940.810925933476,5141.917616282001,5350.570130823417,5566.984883154762,5791.380523517315,6023.977404673987,6264.997013688224,6514.661366355565,6773.192361321491,7040.811091202877,7317.737108322501,7604.1876429727845,7900.376772451486,8206.514539462925,8522.806018857427,8849.450332092332,9186.639609242804,9534.557898871994,9893.380026589168,10286.413948825317,10729.798912911432,11235.446094386236,11812.991421198247,12471.095983892652,13218.322402127438,14063.741334407949,15017.371500100979,16090.522160111832,17296.083935799947,18648.798543956185,20165.527961264692,21865.536942293857,23770.79847943122,25856.15007353724,28111.27245685934,30534.35376426011,33128.385812702836,35898.97842349303,38853.04580180992,41997.99150691973,45341.17628996113,48889.54455747491,52649.33842360327,56625.85939625712,60823.25602730942,65244.326722208454,69890.33344565678,74760.82605115676,79853.47941259571,85163.94701349114,90685.73546893631,96410.10478925641,102325.99913861288,108420.01245406909,114676.39261393354,121077.08691998907,127601.83053337535,134228.27823332435,140932.17851417232,147687.58766672565,154467.1201741106,161242.23055559516,167983.52077302794,174661.06652077,181244.75518453395,187704.62799496565,194011.2189197195,200135.8831197683,206051.108315278,211730.8031267919,217150.55733482173,222287.86998757752,227122.3423342119,231635.83362352737,235812.57884394974
A,18458.654207097734,17022.329423922645,16374.478343843883,16228.374765775006,16405.478323619285,16794.81195829318,17327.60063766083,17961.43536403083,18670.384165343883,19438.816715820547,20257.548232254874,21121.431929538783,22027.85623517589,22975.807104580566,23965.28327279419,24996.931910274634,26071.821891543943,27191.30295709901,28356.918458974244,29570.351505635546,30833.39189642153,32147.91596731537,33515.874425270384,34939.285094099956,36420.22864745596,37960.84612379756,39563.33746702667,41229.96061618819,42963.03084175482,44764.920134186534,46638.05651744853,48584.923201472644,50608.057512832325,52710.04955822078,54893.54058445976,57161.22100409134,59515.8280586025,61960.1430929363,64496.9884157437,67129.2237202033,69859.74204042475,72691.4652186167,75627.33885845033,78670.32674046482,81823.40467599778,85089.55377703243,88471.75312057111,91972.97178770858,95596.1602595205,99344.24115423129,103220.09929290904,107226.57108417767,111366.43322215854,115642.39069607394,120057.0641146761,124803.31272769507,130025.60768283487,135840.11540966836,142348.32103844595,149646.3689866687,157831.6162438397,167007.41800379925,177286.8372050431,188795.74605471667,201675.63713829726,216086.36150230674,232208.9449631761,250248.59044288794,270437.9453654631,292628.0146910363,316775.85985662794,342900.52657504566,371057.09669895994,401321.1797798712,433779.3850143142,468523.19367085665,505644.7403505093,545233.6431498823,587374.3909460355,632144.011967492,679609.8758146154,729827.5581763609,782838.7449365124,838669.1823218905,897326.6990809599,958799.339199879,1023053.6514169944,1090033.1858541027,1159657.2489855613,1231819.966207618,1306389.6966620258,1383208.8379401946,1462094.0491490015,1542836.9099531183,1625205.021109484,1708943.539238267,1793777.1257337474,1879412.2774140376,1965539.9953106982,2051838.7384058447,2137977.601530773,2223619.651318771,2308425.3511948395,2392056.005892973,2474177.1578013506,2554461.871326432,2632593.8471360337,2708270.3152308865,2781204.6639163033,2851128.7705080775,2917795.00863357
IH,0.0,89.77938232574193,130.55798016581542,147.43177722087896,153.39940783761116,155.0016998912189,155.3921566563615,155.98911855798912,157.3515065505306,159.63394029949464,162.8169416542034,166.81888294413085,171.54714321133542,176.91898223564962,182.8680253222658,189.34442562878246,196.31264868130563,203.74869936659007,211.63754954388384,219.97101666667885,228.746118212903,237.96383968205515,247.6282312600723,257.7457527789019,268.32480043911846,279.3753639139201,290.90877576518585,302.9375257025015,315.47512019959333,328.53597378664153,342.1353224569125,356.2891525025227,371.0141400793907,386.32759816138747,402.2474284715153,418.79207661038924,435.9804890344447,453.8320708333676,472.3666434625392,491.60440173171156,511.5658694557751,532.2718532508463,553.7433940180833,576.0017157047693,599.0681709715114,622.9641834287977,647.7111861377093,673.3305560998233,699.8435444913677,727.271202427408,755.6343020739209,784.9532529596297,815.2480133758905,846.5379967921165,878.8419732565071,912.1779657974666,947.4889018009999,985.9744574036938,1028.8160561573168,1077.0933841405106,1131.7873490525963,1193.8168744158486,1264.0847818631728,1343.522354229889,1433.1292217149726,1534.0084332207857,1647.3978549790993,1774.6993881546318,1917.5074389631843,2077.637867239683,2255.151209355665,2449.670259593228,2660.9008840542647,2888.789915481585,3133.5305083730586,3395.5127399677594,3675.261980011639,3973.381387999746,4290.503181006593,4627.248559003682,4984.194622983197,5361.846440854613,5760.612744722305,6180.784197927338,6622.513597126015,7085.7977235481485,7570.460821684168,8076.139871624702,8602.271945094999,9148.084005755376,9712.585540274551,10294.564394854891,10892.586147969196,11504.997279265708,12129.932302168283,12765.324919231956,13408.92314080082,14058.30818523403,14710.916859242978,15364.067005775309,16014.98550983984,16660.838274223002,17298.761520568092,17925.89373881637,18539.407600207058,19136.541165232655,19714.627756282272,20271.123922328257,20803.634996338136,21309.93783108979,21788.00039151756
IN,209.67912727321752,411.0049494292714,576.3343713913214,718.521045693964,845.822826972567,963.6052077033008,1075.408222665607,1183.6155056150806,1289.874543063692,1395.3612332463717,1500.9469358864721,1607.3043881538852,1714.97523729212,1824.4134267252537,1936.0133512081104,2050.128369651385,2167.0831833968937,2287.182285569557,2410.7158717252873,2537.9640909312675,2669.200195670698,2804.692947320281,2944.7085068756246,3089.511960255626,3239.368576488159,3394.5448644702983,3555.309472985203,3721.9339649704993,3894.693487988659,4073.867356764414,4259.739559467921,4452.599196466269,4652.740858116564,4860.464946561673,5076.077945242294,5299.892638845013,5532.228285592924,5773.410743105417,6023.772548474931,6283.652952709289,6553.397909253692,6833.360015926336,7123.898409268668,7425.378610020477,7738.172318177881,8062.657155876589,8399.216356162211,8748.238395563276,9110.116568270976,9485.248499652995,9874.035596787886,10276.882433702704,10694.196069031272,11126.385293885374,11573.859807848023,12037.029321158654,12518.464687243544,13022.142094058958,13552.992084626505,14116.64897978607,14719.331769910503,15367.811623236501,16069.437349695303,16832.200957841083,17664.832595164615,18576.918874879862,19579.04168780696,20682.9366299573,21901.671511867673,23249.84629292838,24739.128572134145,26379.75708666278,28181.393410353645,30153.593714469265,32306.057544803,34648.74396741486,37191.90694594708,39946.07959414057,42922.02415935153,46130.657284963425,49582.955986585715,53289.847535973044,57262.085309973794,61510.112181567885,66043.91294179653,70872.85738556327,76005.53597074404,81449.59030203977,87211.54105057681,93296.61626029632,99708.5832824421,106449.58779494185,113520.00348403782,120918.29597619524,128640.90449986697,136682.1445260906,145034.13428755273,153686.74761739327,162627.59499712868,171842.0340779839,181313.21026558167,191022.12726043677,200947.74675273994,211067.11580527283,221355.51984647458,231786.65865677467,242332.84228117205,252965.20345080266,263653.92285212484,274368.463445838,285077.81000584
D,12356.0,12356.0,12357.337222619055,12359.28182370288,12361.477752235245,12363.76256588172,12366.071244931598,12368.38573965546,12370.709125852361,12373.052804191984,12375.430478332832,12377.85556181531,12380.340252373202,12382.895368193715,12385.530495086516,12388.254230240713,12391.074428399617,12393.998415036891,12397.033158230015,12400.185402219226,12403.461769369489,12406.86883762248,12410.413199598432,12414.101508243237,12417.940512719015,12421.937087245431,12426.09825483374,12430.431207288493,12434.943322442727,12439.642179302191,12444.535571570435,12449.631519884124,12454.93828298839,12460.464368012044,12466.218539952679,12472.209830445821,12478.44754586574,12484.941274785459,12491.70089480789,12498.73657876741,12506.0588002908,12513.67833869763,12521.606283212446,12529.854036454346,12538.43331716336,12547.356162117585,12556.63492718994,12566.282287488937,12576.311236523696,12586.735084329837,12597.56745448966,12608.822279977323,12620.513797757534,12632.656542064571,12645.265336287415,12658.355283386281,12671.941754766109,12686.05416630169,12700.73980249226,12716.063544597637,12732.10635530534,12748.963807472044,12766.745160897772,12785.573122495643,12805.584270208408,12826.930071010998,12849.778421284562,12874.315654858598,12900.748986235858,12929.309377866566,12960.254838598254,12993.844278939872,13030.330991094643,13069.963886276619,13112.991083798004,13159.663579918435,13210.238180918666,13264.979518220252,13324.161207028093,13388.06627912972,13456.98701880061,13531.224305970167,13611.086543322075,13696.888221416779,13788.94816011154,13887.58745509956,13993.127154131937,14105.885687162267,14226.176077129514,14354.302962414826,14490.559467378513,14635.223963140254,14788.556766346263,14950.796828593657,15122.158473054204,15302.828237334872,15492.961882492275,15692.681627232567,15902.073663621524,16121.18600613945,16350.026719770605,16588.562565226548,16836.71809064396,17094.375189497667,17361.373134385893,17637.509086144986,17922.539067792277,18216.179383408213,18518.108453539677,18827.969031269167,19145.37075692352
R,0.0,1444.6780882922508,2821.2968267555443,4170.29919448567,5520.30419724278,6891.533666864168,8298.387531641896,9751.308588504215,11258.098373682637,12824.82836679662,14456.462107001835,16157.275408775844,17931.137955339695,19781.70097939005,21712.52200501864,23727.147787760317,25829.169705939268,28022.261121884236,30310.203018508466,32696.90205936645,35186.4037842425,37782.90270322226,40490.750428642896,43314.462576666,46258.72490478999,49328.39897934109,52528.527555403874,55864.339779448834,59341.25627814512,62964.894166439335,66741.07198805512,70675.81458832644,74775.3579102745,79046.15369850658,83494.87409085144,88128.41607401287,92953.90577651546,97978.70256958256,103210.40294416716,108656.84413005918,114326.10742076194,120226.521165639,126366.66338866927,132755.36399101498,139401.70649251284,146315.02926516024,153504.92620970475,160981.24682458272,168754.09561471725,176833.83078610958,185231.06217077325,193956.64832540348,203021.6927462833,212437.53914234185,222215.76570804178,232368.17833792375,242921.61338518013,253914.62615662452,265395.4464727665,277420.86703581346,290055.81545179215,303373.432615024,317455.53680772986,332393.39570186834,348288.7600244855,365255.1356001757,383419.287106114,402922.9789829653,423924.96789154806,446603.2678433741,471125.6024847433,497656.8431614768,526363.6011915689,557417.041973886,590994.5738906277,627280.8078419821,666468.024967678,708756.2930083576,754353.3125289549,803474.0384762922,856340.1014149142,913179.0408363923,974223.3568257095,1039709.3840339938,1109875.9920653764,1184963.1182150166,1265210.1414431212,1350854.1101369222,1442127.8402837613,1539257.904883407,1642462.5395218641,1751949.4927863674,1867913.8534157,1990535.8885701685,2119978.929222502,2256387.3393053324,2399884.6048392495,2550571.5777935223,2708524.90693538,2873795.6844866225,3046408.3331536544,3226359.7531880285,3413618.743752568,3608125.707209556,3809792.6392112584,4018503.4018501462,4234114.271791003,4456454.750410354,4685328.61863252,4920515.21546685,5161770.916276196
G,838340.0,838340.0,838422.2829676406,838559.4451987664,838734.5247504793,838937.0856335232,839160.7733128525,839401.7884590618,839657.9339781138,839928.0200269037,840211.4926077466,840508.2018127479,840818.2573013913,841141.9382717236,841479.6374741696,841831.8264923065,842199.0343091305,842581.8341721096,842980.8356410844,843396.6798717299,843830.0369173277,844281.6042876119,844752.1062882788,845242.2938426004,845752.9446076123,846284.8632666065,846838.8819228254,847415.8605461109,848016.6874409233,848642.2797144366,849293.5837297243,849971.5755328663,850677.2612450701,851411.6774121843,852175.8913046675,852971.0011613771,853798.136370617,854658.4575818097,855553.1567410115,856483.4570432879,857450.6127947557,858455.9091768786,859500.6619054007,860586.2167761187,861713.949089545,862885.2629463981,864101.5904057953,865364.3904980065,866675.1480836795,868035.3725515612,869446.5963469321,870910.3733232446,872428.2769098185,874001.8980889044,875632.8431759877,877345.8749430161,879161.6972547629,881098.9392402412,883175.5439977039,885409.7654359882,887820.9145759514,890429.9529219898,893260.0002677813,896336.8036694541,899689.2004515654,903349.5989308803,907354.494558304,911745.035326895,916567.6478160309,921824.5548014705,927529.4650510191,933703.2179143184,940371.2146798371,947561.8738155853,955305.6666488934,963634.4763705648,972581.1311634255,982179.0249542936,992461.7759165108,1003462.8944546194,1015215.4453566776,1027751.6967737891,1041102.7537860951,1055298.1777368116,1070365.5949299438,1086330.3000553763,1103214.8610121997,1121038.7327321733,1139817.888191079,1159564.47504219,1180286.50621183,1201987.5923649713,1224666.7233928288,1248318.1050226307,1272931.0553452217,1298489.9645554519,1324974.3195702827,1352358.7935032644,1380613.398305891,1409703.697307332,1439591.0729574354,1470233.0438557307,1501583.6241698533,1533593.7178339763,1566211.539480213,1599383.053888492,1633052.4258259905,1667162.47245915,1701655.1110258712,1736471.7951147757,1771553.9336727601
H,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,21361825.489079025,19835985.564805396,18310145.640531767,16784305.71625814,15258465.79198451,13732625.867710881,12206785.943437252,10680946.019163623,9155106.094889995,7629266.170616366,6103426.246342737,4577586.3220691085,3051746.3977954793,1525906.47352185,66.54924822086468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
