series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,229638.80593273125,229633.3358536789,229629.09044036682,229625.53232642484,229622.35317271014,229619.37570181632,229616.49768826918,229613.65991322318,229610.8278208817,229607.98101361192,229605.10723331306,229602.1989111253,229599.25118788987,229596.2607770857,229593.22531054527,229590.14296097972,229587.01222334715,229583.83178748144,229580.60046324923,229577.31713602378,229573.98073972855,229570.59024012458,229567.14462412446,229563.64289269727,229560.0840559528,229556.46712958062,229552.79113215933,229549.05508304577,229545.25800066863,229541.3989011168,229537.4767969515,229533.49069619543,229529.43960146586,229525.32250922776,229521.13840914884,229516.8862835421,229512.5651068843,229508.17384540124,229503.71145671094,229499.17688951903,229494.5690833595,229489.88696837658,239594.61760839308,249699.0569439493,259803.1969166027,269907.0192464966,280010.497956151,290113.6007647603,300216.289731504,310318.5213932728,320420.246551122,330521.4097983656,340621.9488421843,350721.7936431635,360820.8653785245,370919.0752216591,381016.3229206862,391112.49515061127,401207.46360625466,411301.08279572736,421393.1874863492,431483.5897461433,441572.07551405695,451658.4006205558,461742.2861669088,471823.41315601335,481901.4162496812,491975.8765065659,502046.312931013,512112.1726356989,522172.8193896669,531719.1430032753,531657.6246322795,531589.6625096048,531514.42122204,531431.0692775784,531338.7358456935,531236.4876080838,531123.3151036608,530998.1236432471,530859.7265592099,530706.839835915,530538.0777862766,530351.9497487099,530146.8579415922,529921.0967050146,529672.8534165504,529400.2114034697,529101.1551931167,528773.5784461641,528415.2949019452,528024.0526279538,527597.5518037027,527133.4661800219,526629.4682375343,526083.2579235134,525492.59467832,524855.3322778542,524169.4558267621,523433.12005109206,522644.6878732585,521802.7681218082,520906.25114798645,519954.3411021777,518946.5836733251,517882.88821513776,516763.543369687,515589.22554111516,514360.9998536695,513080.3135296169,511748.98192287167
E,0.0,5.470079052353735,8.62136285233764,10.455025019322463,11.542956410964901,12.211596089531323,12.647036587296888,12.955141433260097,13.195936201202656,13.403281938687934,13.596127247847297,13.784941375552908,13.975389800691243,14.170432150854772,14.371517713092711,14.579265008210633,14.793846593072276,15.0152056337766,15.243176631663149,15.47755168456482,15.718115924933315,15.96466562556952,16.217016657439856,16.475007664600344,16.73850042499766,17.00737878400101,17.281546931393663,17.56092744271312,17.845459308091694,18.135096060782878,18.429804055992825,18.729560917109097,19.034354148728617,19.344179907074647,19.659041914497095,19.97895050352481,20.303921776113945,20.633976864602907,20.969141282049442,21.309444350876284,21.654918699977713,22.005599821586294,22.361525680244387,22.937563429107257,23.697744557478668,24.623516418484815,25.707734903590552,26.950988200172013,28.359406860569088,29.943417488259886,31.717096984649164,33.6979143194214,35.906730438690495,38.367980260971734,41.10999457718378,44.16544126081877,47.57187920433646,51.372427854671784,55.61656205798435,60.36104737236492,65.67103585533646,71.62134709547253,78.29796428430821,85.79978066932591,94.24063798971457,103.75170564195639,114.48425750245578,126.61291268611267,140.33941716314015,155.89705518543326,173.55579293861192,193.6282717161215,216.41696359192568,241.09119508342258,268.10923228577093,297.83375734473725,330.59424695825567,366.7167634111037,406.53829254030046,450.41364410014506,498.7186369739365,551.8512664582586,610.231591969027,674.3006268066517,744.5182924823401,821.3603949314173,905.3145315294297,996.8748203453979,1096.5353454889018,1204.7822306497403,1322.0842860141113,1448.882221825612,1585.5764850999442,1732.5138538083984,1889.973013326955,2058.1494395132304,2237.1400159026757,2426.927911770438,2627.368334140649,2838.1758302399166,3058.913847417086,3288.9872464929344,3527.638405796203,3773.947444598818,4026.836938880312,4285.081307053737,4547.320820962509,4812.079964273625,5077.789634486141,5342.812484195123,5605.470537863367
I,20.5386821858477,15.084782993009163,11.936350034665924,10.117802199171841,9.069512019446039,8.470078767123036,8.13460401553814,7.956450565264276,7.873887956503372,7.850984487413873,7.866656265770515,7.908387533025781,7.968626648289102,8.042715098449671,8.127695211761392,8.221621824407656,8.323163225947837,8.431368373652104,8.545529860832852,8.66510219206452,8.789652143709823,8.91882785940151,9.052338989366893,9.189943429046195,9.331438076721433,9.476652101931972,9.625441834286388,9.777686739498844,9.933286157016132,10.092156595041649,10.254229450565422,10.419449065097394,10.587771053193412,10.75916085747506,10.93359249466417,11.1110474644889,11.29151379851424,11.474985229793553,11.661460467196553,11.850942560624802,12.043438345252053,12.238957954533554,12.437514393088264,12.639123161720606,12.87746773118205,13.171650501144555,13.532793959302163,13.967947535104013,14.48238090829952,15.080925159236624,15.7687624750377,16.551904958235024,17.4375058237463,18.434087945339712,19.551740234034874,20.802312314963757,22.199626651761072,23.75972115087834,25.501132267771364,27.445227497339893,29.61659614788678,32.043508070022746,34.758451325395214,37.798761532558196,41.2073577832932,45.033602587331416,49.334306306802944,54.174900029512415,59.63080485727452,65.78903021124053,72.75003903860328,80.6299237948937,89.56294380725588,99.69510756204657,111.00347621784742,123.5430176000114,137.41093957224032,152.73026983343428,169.64246456960623,188.30422674460948,208.88625063523529,231.5727989042783,256.5615749053076,284.0636112982684,314.30301425619194,347.51645501602434,383.9523225832803,423.8694600135215,467.5354102802252,515.2241007523899,567.2129003774538,623.778992575261,685.1950209282893,751.7239850046459,823.613390717136,901.0886936806216,984.3461146477151,1073.5449520963966,1168.7995663778092,1270.1712595963995,1377.6603218818757,1491.1985536390453,1610.6426002185399,1735.7684459766137,1866.2674054125246,2001.74391784355,2141.7153985364007,2285.614325049528,2432.792646527796,2582.528501443743,2734.0351227505053
A,5.676187992370659,5.267908557128282,5.12590297572305,5.130592482467232,5.214359858216676,5.339219851186243,5.484057375826621,5.637335715518938,5.792932879120322,5.947766904543506,6.100444018954831,6.250491357857654,6.397923488079658,6.542999298312745,6.686087236077084,6.827592015076548,6.967916026473078,7.107440191422867,7.246515570558077,7.385460805580765,7.524562614627476,7.6640777868141186,7.804235817468276,7.9452417201179895,8.08727877372322,8.230511087929354,8.375085937617673,8.521135854912393,8.668780485884113,8.818128228333306,8.969277670717794,9.12231885303729,9.277334369731223,9.434400333177633,9.593587214636328,9.754960577691733,9.918581717538622,10.084508217872385,10.2527944357153,10.423491923233358,10.596649794467321,10.77231504390527,10.950532822948794,11.131346679558114,11.324102840163178,11.53591748969277,11.772591449139563,12.039198886907096,12.340474468463794,12.681077813883416,13.065784956007763,13.49963806000513,13.988073190009022,14.537038881721873,15.153114068447584,15.843631466247517,16.616811192829502,17.481908766201098,18.44938145532441,19.53107708983473,20.74044979698843,22.09280767910555,23.6055981569256,25.298737582934915,27.19499278429962,29.32042344584537,31.70489571382643,34.38267912005081,37.3931409261378,40.781554304983445,44.60003944810011,48.90865975007962,53.77669870818384,59.28155630975568,65.4590891429763,72.36242200904397,80.05656614351238,88.61612612870874,98.12446198224391,108.67353248677153,120.36404864085648,133.30575402261013,147.61773554181966,163.4287069767503,180.87722403275495,200.11179533473702,221.29085447710054,244.58255681860206,270.1643626194931,298.2223662835574,328.9503305548929,362.548385105093,399.221351572666,439.17666229274073,482.62184812875796,529.7615823223036,580.794282266343,635.9082894845523,695.2776694537205,759.0576964636366,827.3801133183501,900.348279844083,978.0323461136305,1060.4646041206302,1147.6351834776094,1239.4882609537055,1335.9189491465306,1436.7710157577578,1541.8355620123868,1650.8507576974152,1763.5026927788133
IH,0.0,1.5079427769720493,1.8560629621379956,1.7977131591953128,1.635231149957005,1.4776099069452029,1.3553564674199647,1.2700393625850372,1.2146079466582407,1.1810300471067134,1.1626803967158301,1.1547222376876118,1.1538356985173446,1.1578183545612875,1.1652348947628752,1.1751556787972661,1.1869764195125463,1.2002993747610717,1.2148572799251607,1.2304655271689535,1.246992426991158,1.2643408015326605,1.282436578486609,1.301221670946025,1.320649469310719,1.340681924896058,1.3612876080043814,1.3824403686890734,1.4041183765192105,1.4263034043959903,1.4489802744404767,1.4721364155374135,1.4957615009523844,1.5198471457257625,1.5443866503689865,1.5693747815695636,1.5948075832251956,1.6206822128065008,1.6469967991634964,1.673750318662085,1.700942487092492,1.7285736652088843,1.7566447760845048,1.7851572327278846,1.8141128746207267,1.8459856433838655,1.8834060962736825,1.9284966523116678,1.982828447955645,2.047568294135549,2.1236500925782544,2.211917906903187,2.313232137144865,2.42854507280974,2.558955177251221,2.705748452492739,2.8704332658524265,3.054773211994338,3.2608212375896652,3.490957366371375,3.7479318372002286,4.0349152083076785,4.355556908780429,4.714053778993858,5.115230300467784,5.564632452722027,6.068637440702652,6.634581908751926,7.270911698026628,7.987356718818887,8.795135104273353,9.707191495208615,10.738475084669439,11.9062639316924,13.229854764645061,14.717142327329485,16.376081292721853,18.217757331335598,20.256706025558408,22.510528508724967,24.999467068195546,27.746102298727415,30.775171718114088,34.11347035256122,37.7897932094154,41.83488794034564,46.28139401316534,51.16375030857038,56.51805646934807,62.381875286296214,68.79396459766181,75.79392814330245,83.42177594767948,91.71738640187807,100.71986449398912,110.4667937557893,120.99338354232422,132.33151825290707,144.50872095685963,157.54705041579058,171.4619573885873,186.26113294075557,201.94338773084075,218.4976063215417,235.90182385505412,254.12247338498372,273.11385033735934,292.81783573893824,313.16391200611497,334.0694945113981,355.44058938735714
IN,3.94595641586649,7.773804732658583,10.439259775508637,12.42004707781217,13.99216144604366,15.315819374330081,16.484693326926788,17.554128748699064,18.55732704130509,19.514635990454387,20.438891031718526,21.338492713901474,22.21918557839333,23.085091379202193,23.939313492129354,24.78429416728905,25.62202884376011,26.454197381874874,27.282246644022358,28.107444276733773,28.930915181771017,29.753667358691203,30.576611036432865,31.400573416570897,32.226310427466366,33.054516350924395,33.88583186741921,34.720850878536545,35.56012635211402,36.40417536565077,37.25348347907213,38.10850853857616,38.96968399308704,39.83742179031334,40.71211490850909,41.59413957153975,42.48385718802371,43.381616049690884,44.287752819377765,45.20259383506635,46.12645625293446,47.05964904941866,48.002473899721835,48.95522594796654,49.91819448225455,50.89813150654605,51.90525694098833,52.951621696378226,54.050270341203095,55.21486942892307,56.459604615973724,57.79923258001537,59.249223374420744,60.82595831003468,62.54696582311858,64.43118801226909,66.49927659943955,68.77392078643352,71.28021190809218,74.0460515621462,77.10261140227159,80.48485424560998,84.23212771524248,88.38884341271076,93.00525667385044,98.13836437198654,103.85294106389253,110.22273709753942,117.33186619488622,125.27641457433475,134.16630898131777,144.12748715546581,155.30442138918187,167.86305403874883,181.9924121802531,197.87145795742398,215.6843575139988,235.62844052001049,257.9187667568789,282.79113596899043,310.50439634610746,341.3424427057315,375.61607361296393,413.6647683809121,455.85838948341893,502.5987848683396,554.3212446264392,611.49575127506,674.6279498294267,744.2597518289372,820.9694764186177,905.371421824507,998.1147528043407,1099.8815848346899,1211.3841450105222,1333.3608940716147,1466.571504819374,1611.790610515638,1769.800263470891,1941.381079326868,2127.3020863403585,2328.3093503970867,2545.113503846186,2778.3763670503454,3028.69691255342,3296.5968791651817,3582.5063929430144,3886.749989957023,4209.533458248365,4550.931920754124,4910.879565560871
D,391.0,391.0,391.0242587038448,391.05411771600586,391.08303803831035,391.1093444663727,391.1331151967201,391.15491920125487,391.1753506852864,391.1948904283824,391.21388999426915,391.2325943641171,391.2511707088,391.26973279147535,391.28835894426993,391.3071044090537,391.3260094723086,391.34510469917757,391.3644142562125,391.3839580104036,391.40375285890224,391.42381358033344,391.4441533899944,391.4647843115601,391.4857174342448,391.5069630974411,391.52853102844136,391.5504304489197,391.57267015986844,391.5952586110877,391.6182039591529,391.6415141164688,391.6651967932049,391.6892595334018,391.7137097462087,391.7385547329981,391.7638017109531,391.7894578336135,391.8155302087907,391.8420259141943,391.86895201106654,391.89631555607735,391.9241236117003,391.95238325525855,391.981101586807,392.0102857359925,392.0399826314639,392.0702815203917,392.10130579390426,392.1332041184485,392.16614393129015,392.20030769363746,392.2358914453898,392.27310506794646,392.31217376245843,392.35334040136877,392.3968685454004,392.4430460208099,392.49218902530214,392.54464678291833,392.6008068058176,392.66110085003305,392.7260116772686,392.7960807586308,392.8719170809896,392.9542072440196,393.0437270671436,393.1413549616921,393.24808736567735,393.36505658775764,393.49355146442235,393.6350413014558,393.7912036487563,393.963956548138,394.15549599845906,394.3683284305289,394.6050872801433,394.8685339521822,395.16160818985617,395.4874835744193,395.8496168415578,396.2517903703854,396.6981498004584,397.1932387308098,397.7420318196712,398.34996695873775,399.0229766859122,399.7675186194886,400.59060440581834,401.49982643646194,402.50338138626677,403.61008943843467,404.8294078927818,406.17143770175403,407.64692135280393,409.26723042643664,411.04434112011023,412.9907960541799,415.1196507823907,417.44440362992293,419.9789077875215,422.73726500667897,425.73370076724365,428.98242141579,432.49745448169483,436.29247413942744,440.38061456245447,444.7742746617768,449.4849183719619,454.5228751911762,459.8971460552223
R,0.0,0.5263875343167739,1.8731216542888613,3.4591352465002343,5.076327692245569,6.667389053508574,8.23020808640571,9.778831075549748,11.328895733524082,12.893155916794992,14.480837056971788,16.098218617849657,17.749439512649136,19.43719316672435,21.16324128792463,22.928765242733036,24.734595397066816,26.581356189179,28.46955583284716,30.39964080498257,32.372028445792296,34.3871261883471,36.44534273163116,38.54709441516722,40.692808766029195,42.88292639752672,45.117901958767675,47.398204546232506,49.72431781713482,52.09673994315874,54.515983483807716,56.98257522399972,59.497056000507634,62.059980530329575,64.67191724752111,67.33344815134329,70.04516866655719,72.8076875156193,75.62162660199246,78.48762090354612,81.40631837494414,84.37837985792814,87.40447899845785,90.48530216974181,93.62154840026922,96.81459853373582,100.06775344391512,103.38631957427293,106.77736375152662,110.24944975032453,113.81245439860528,117.47747794239628,121.25683648260417,125.16411962411289,129.21429940954786,133.4238812594378,137.81109193096702,142.39610292466858,147.20129037029557,152.2515344288175,157.57456288254141,163.20134503545438,169.16654345254378,175.50903253655423,182.27249455622268,189.50610557054637,197.2653258018688,205.6128114584789,214.61946785999024,224.36566704673356,234.94265693611618,246.45419361162953,259.0184335906514,272.77012902148647,287.8629894702145,304.46836885269505,322.77064764581587,342.96827283969867,365.27636837499546,389.9295774695437,417.18479638446894,447.3237814252522,480.65568827593245,517.5196008443803,558.2870852242463,603.3647820361336,653.1970316345295,708.2685112500283,769.1068498903741,836.2851746988632,910.4245308062491,992.1961052343815,1082.3231741520144,1181.582682034434,1290.806351535928,1410.8812148170125,1542.7494514819268,1687.4074160721573,1845.9037401560531,2019.3364013358319,2208.8486647081636,2415.623821971687,2640.8786796413715,2885.8557804390352,3151.8143801147867,3440.0202444221513,3751.73437592526,4088.200825546696,4450.633786778215,4840.20420869055,5258.026194832626
G,33351.0,33351.0,33351.85722256742,33353.20828655174,33354.84670590615,33356.65561627757,33358.569309964994,33360.55124204859,33362.581457607535,33364.64940839978,33366.749852588146,33368.880517793325,33371.0407722841,33373.23087217315,33375.45153737993,33377.70371494334,33379.988448831435,33382.30681005386,33384.65986071375,33387.04863697874,33389.47414243588,33391.93734700007,33394.43918865988,33396.9805765488,33399.562394514025,33402.185504741836,33404.85075121576,33407.558962904805,33410.310956644695,33413.107539710225,33415.94951209434,33418.83766851745,33421.77280019332,33424.755696377535,33427.78714572332,33430.867937467236,33433.99886246506,33437.18071409592,33440.41428905064,33443.70038801821,33447.03981628278,33450.43338424179,33453.881907854746,33457.38620903059,33460.98078176436,33464.694483383166,33468.553263806854,33472.581953393565,33476.80547467698,33481.24971091688,33485.94217933847,33490.912603174795,33496.19344324187,33501.82042949927,33507.83312113158,33514.27551707521,33521.196735687714,33528.65178122516,33536.70241524323,33545.41815255933,33554.87740378874,33565.16878960282,33576.3926557393,33588.662822463666,33602.10860771939,33616.87716972371,33633.13622240536,33651.07718600143,33670.91884551732,33692.9116018084,33717.342413981474,33744.54054786404,33774.884263671025,33808.79922237433,33846.58090912048,33888.596624478596,33935.270505366425,33987.07832138532,34044.54693974348,34108.25603709877,34178.840892765926,34256.995681082015,34343.47694669845,34439.10706227527,34544.77751218916,34661.45185566162,34790.16821602583,34932.041128577235,35088.26256243916,35260.10191524095,35448.90476563119,35656.090160058026,35883.14620919389,36131.62377823735,36403.12807637362,36699.307985903266,37021.84302238003,37372.42788409127,37752.75463176149,38164.49263543647,38609.26653151975,39088.63254373182,39604.05363082748,40156.87402377204,40748.293797932354,41379.344184280846,42050.8643514478,42763.48038345352,43517.587134406065,44313.33356250202,45150.61203528676
H,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,302776.2670127745,292666.77886952437,282557.29072627425,272447.80258302414,262338.314439774,252228.82629652394,242119.33815327386,232009.85001002377,221900.3618667737,211790.8737235236,201681.38558027352,191571.89743702344,181462.40929377335,171352.92115052327,161243.43300727318,151133.9448640231,141024.456720773,130914.96857752292,120805.48043427282,110695.99229102272,100586.50414777262,90477.01600452252,80367.52786127242,70258.03971802232,60148.551574772224,50039.063431522125,39929.575288272026,29820.08714502193,19710.599001771836,9601.11085852174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
