series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,714082.0728768209,713533.8410617621,713023.6547257408,712537.1057355134,712065.178591234,711602.2361364849,711144.7615649285,710690.5705577929,710238.316924395,709787.1819958778,709336.6792798806,708886.5315087726,708436.593200211,707986.801850918,707537.1471549507,707087.6515739706,706638.3580604009,706189.3222896432,705740.6077360767,705292.282543528,704844.4175287914,704397.0849011393,703950.3574347546,703504.3079280908,703059.0088453831,702614.5320741474,702170.9487568716,701728.3291704807,701286.7426368685,700846.2574539217,700406.940840335,699968.8588899641,699532.0765330113,699096.6575023155,698662.6643036368,698230.1581892169,697799.199134144,697369.8458152064,696942.1555920163,696516.1844902504,696091.9871868902,695669.6169973705,695249.1258645601,694830.5643495079,694413.9816238933,693999.4254641235,871716.8272102575,1049318.767090253,1226805.8260499663,1404174.8156279074,1581417.9545332012,1758522.4671371006,1935470.267896921,2112237.5306926365,2288794.024801194,2465102.1432439513,2641115.5661914744,2816777.5013153343,2992018.4311807123,3166753.2795147207,3340877.886496905,3514264.660444206,3686757.2518953704,3858164.0796369743,3941334.1590691702,3931906.4566748436,3921084.3608883913,3908639.286738128,3894349.535379001,3877992.445975949,3859343.5595264407,3838179.711809199,3814284.5694811763,3787455.7667922387,3757513.0071704406,3724306.51477263,3687725.1874661,3647703.7885096585,3604228.559244234,3557340.752970943,3507137.772171292,3453771.8117402443,3397446.1357517615,3338409.310998738,3276947.8623035275,3213377.890424329,3148036.2043321994,3081271.476681382,3013435.850818106,2944877.327082833,2875933.150735148,2806924.325032885,2738151.2880868046,2669890.724603517,2602393.4341611434,2535883.1449472276,2470556.14354903,2406581.5845955294,2344102.3459697925,2283236.303354641,2224077.909844701,2166699.9804843264,2111155.596519582,2057480.058901044,2005692.8344731464,1955799.4509178745,1907793.3076630034,1861657.37953918,1817365.7979991199,1774885.30128691,1734176.5501978905
E,0.0,548.2318150588326,895.543709349665,1116.0352076566405,1256.3989395152082,1346.0772562787179,1403.6451175343805,1440.8265520286325,1465.0243633344367,1480.9145308850834,1491.4516687399662,1498.5033785807384,1503.2506301599465,1506.4405593183715,1508.5461376324533,1509.8670537308165,1510.5934708484147,1510.8463335589768,1510.7028559795206,1510.212643202256,1509.407890152117,1508.3098344707078,1506.9328393885753,1505.2869766869158,1503.3796601352049,1501.2166776617917,1498.8028426848637,1496.142404165018,1493.2393037682552,1490.097336136324,1486.7202477511755,1483.1117968895985,1479.2757889336094,1475.2160960860544,1470.9366672341107,1466.4415316064758,1461.7347985398715,1456.8206548265136,1451.7033605784677,1446.3872442046677,1440.876696880303,1435.176166750959,1429.2901530265813,1423.223200064739,1416.9798915072558,1410.5648445116517,1403.9827041043602,1514.8179209520931,1707.6059726038698,1961.1879152180557,2265.283754681834,2617.6619229270013,3022.0637434054192,3486.8596054069817,4024.337738451133,4650.511911893906,5385.351207790436,6253.3645834315885,7284.5047251199,8515.384499896467,9990.822988884383,11765.75581441525,13907.555527746394,16498.81069010831,19640.60398366819,23233.27031985402,27152.983156290666,31531.165069696715,36453.308116479726,41980.46746875294,48157.35755697491,55014.11379966828,62565.08779179567,70806.39981346873,79713.25359437338,89237.69887073823,99307.35723423325,109825.48781958703,120672.61246750262,131709.73687971482,142783.01145747886,153729.50143654348,164383.60923760562,174583.63202332042,184177.94929709708,193030.40962947079,201024.60266882932,208066.83878520085,214087.79195182535,219042.87524884145,222911.5031857636,225695.4480266815,227416.5206600048,228113.80557143845,227840.6607473679,226661.6634160743,224649.64712771156,221882.9392378506,218442.87353793165,214411.62252618687,209870.36862380218,204897.8137794412,199569.0121419804,193954.50028422443,188119.6931423094,182124.51066139902,176023.19939683803,169864.31436705793,163690.82873569496,157540.34195809197,151445.3604988823
I,771.0753578384351,709.3259218776635,668.984629916908,642.3035510856746,624.3803956348793,612.1076150807891,603.5106585917813,597.3308979826094,592.7625652025546,589.2867221794287,586.5664057485101,584.3803630043651,582.5811425584427,581.0685651553356,579.7729102120136,578.6442436115547,577.6456295635344,576.7488006794042,575.9313851877472,575.1751215976209,574.4647004537153,573.7870051126381,573.1306070962205,572.4854244645514,571.8424851122342,571.1937580716755,570.5320293215208,569.8508070997508,569.1442471131793,568.4070914588092,567.6346172493365,566.8225923216867,565.9672362929148,565.0651857951899,564.1134630868878,563.1094474735731,562.0508491274772,560.9356849965582,559.7622565631632,558.5291292596362,557.2351133815313,555.8792463632581,554.4607762990855,552.9791466064661,551.4339817398785,549.8250738726638,548.1523704721831,546.4159627004143,548.1469332553726,555.5286070060363,569.9340714041351,592.3177512092691,623.4906259073789,664.3110799004129,715.8201146125846,779.3443747806267,856.5851494896824,949.7071457650434,1061.437707080156,1195.185228475656,1355.1846181330277,1546.6775366239833,1776.1355683111985,2051.535200700453,2382.6942371657724,2781.6797089302518,3256.5994025444884,3811.193369365102,4452.848699526708,5190.928189713238,6035.878297461859,6998.6516553571655,8090.228735389133,9321.141639641513,10700.962530016539,12237.752389445783,13937.486738303467,15803.489078648006,17835.911682077818,20031.306760037143,22382.328705343065,24877.600141389357,27501.761972529242,30235.712286097685,33057.02304259366,35940.509206700255,38858.91406156485,41783.66792780362,44685.675599720715,47536.09005674155,50307.03549048427,52972.25027814366,55507.6291064466,57891.6520388564,60105.69618981925,62134.232348127196,63964.914136468105,65588.57105595934,66999.11913078322,68193.40401420815,69170.99156327269,69933.92026730535,70486.42874673371,70834.67002017707,70986.42253474661,70950.8061980641,70738.00993943823,70359.03573132717,69825.46256518623,69149.23262235246,68342.46081937145
A,6857.401786072599,6420.0626578976235,6157.026694239299,6003.519626433333,5918.6873358065095,5876.751004522265,5861.438793617099,5862.477267488877,5873.379222074695,5890.048182669578,5909.897703907847,5931.295356269692,5953.211583961802,5974.99788331152,5996.24664059173,6016.702550392561,6036.206624858132,6054.660800957676,6072.005569326722,6088.205836761215,6103.241995753768,6117.104287298066,6129.789246525838,6141.297465403541,6151.63218792409,6160.798431119421,6168.802437784027,6175.651338046818,6181.35294203569,6185.915614443365,6189.3481998949,6191.659979477821,6192.860646056138,6192.960290588766,6191.96939458578,6189.898825679929,6186.759834457284,6182.56405142765,6177.323483479809,6171.050509458365,6163.757874681242,6155.4586843298175,6146.166395712766,6135.894809446008,6124.65805961505,6112.470602998838,6099.347207440336,6085.302939450734,6101.754124273014,6168.642282429,6298.986411291403,6502.2298204734725,6786.617596273662,7160.868146135956,7635.379254917026,8223.167282836042,8940.695109001426,9808.708635201316,10853.176054497553,12106.408600907005,13608.434688711193,15408.69929955517,17568.165162920635,20161.899616299448,23282.238669348877,27042.624731566204,31522.6486279273,36763.75594307283,42839.846862379585,49842.94009022541,57875.49118095913,67045.36294149894,77461.5870918943,89230.07447295032,102448.94521112819,117203.43958618448,133560.55593066078,151563.69022779376,171227.6351181796,192534.33186847734,215429.75350832142,239822.2314770972,265582.4299688,292545.03707234206,320512.09932498954,349257.79606685345,378534.3478895933,408078.6891540352,437619.51070648927,466884.2921868558,495605.9861251258,523529.07874662045,550414.8252805977,576045.5320314749,600227.8269249086,622794.9202620573,643607.9056181265,662556.1864941773,679557.1379983241,694555.125824254,707520.0088797128,718445.2490148587,727345.7432784981,734255.482677238,739225.1279668048,742319.5787291954,743615.5977765161,743199.5394179804,741165.2177630567,737611.9402679881,732642.7222830803
IH,0.0,30.845598211828705,46.45343227548479,53.98710009465864,57.33510695016481,58.58032380974153,58.81916937837871,58.61524515505923,58.24851791348207,57.850837432540445,57.47871909798559,57.151805846716314,56.872759172795966,56.63724037761689,56.43869912652731,56.27050733601854,56.12678288040505,56.00260080231103,55.89394388762469,55.797562777737596,55.71082256453985,55.631566548989525,55.558006021108724,55.48863547457684,55.42216924939286,55.357494930401856,55.293639286623986,55.22974334086428,55.16504397069171,55.09886013325223,55.03058234854327,54.95966448060899,54.885617148848105,54.80800230861229,54.72642868428079,54.64054783701093,54.55005071686487,54.454664594768175,54.3541503006707,54.24829971515719,54.13693347588328,54.01989886982585,53.89706788893746,53.768335431387314,53.633617633824414,53.49285032245451,53.345987572474584,53.19300036674949,53.033875345672826,53.00985982012554,53.29107646363171,54.03215903872751,55.36191564118201,57.38828014304204,60.20884878635577,63.922464417697796,68.64012718454575,74.49494942658549,81.65154128931496,90.31548052646701,100.74359957266729,113.25583355145103,128.24937434137433,146.21589360883456,167.76263699557342,193.63824465709484,224.76420203528252,262.0049128523814,306.0166022762745,357.47937975616856,417.16638774690216,485.94864364393186,564.7747761819278,654.6400142948062,756.5489621081707,871.4733175451056,1000.3050406064408,1143.8059329226485,1302.5554231593244,1476.8991948108028,1666.9019233023068,1872.3076647677467,2092.5112821850744,2326.5437009607235,2573.0728243895505,2830.4207391921245,3096.5965665008653,3369.3431300659067,3646.194658905592,3924.5421058199126,4201.702380378936,4474.987848566251,4741.772786288082,4999.554013285926,5246.0035936454815,5479.012190576845,5696.722341419989,5897.551526173356,6080.205409277736,6243.682025859926,6387.267958925608,6510.527721170367,6613.287628172272,6695.615445815976,6757.797031761296,6800.31108569589,6823.802991267768,6829.05858687356,6816.978553217116,6788.553960587738,6744.84338370387
IN,30.903837748942884,60.43881290250694,86.1907099002004,109.1851118483993,130.09164600790496,149.3538007071437,167.27087322078094,184.04976588403645,199.83777203684085,214.74336648769787,228.84942077643817,242.22163060275267,254.9139141550541,266.9718916688483,278.43514759262354,289.3387186880797,299.7140884859716,309.5898656322258,318.99225864868407,327.9454185345608,336.47169463832626,344.5918327747774,352.32513413782226,359.6895869486655,366.70197858070867,373.3779932311394,379.73229850505487,385.7786231869466,391.52982777240976,396.99796887818286,402.1943583512291,407.12961770059184,411.8137283430799,416.25607806252066,420.46550401779245,424.4503325878158,428.2184163062249,431.77716811075965,435.13359311006764,438.29431805201193,441.26561866170215,444.0534450036308,446.6634450100403,449.10098630665834,451.37117645700255,453.4788817374043,455.4287445466306,457.22519954638517,458.8724886219877,460.516187611945,462.38292939914714,464.74434013986485,467.8982667876945,472.1618665366711,477.87265142447745,485.3949058156876,495.1299488058034,507.52950912166233,523.1120655367885,542.4824400669589,566.3552692451913,595.583265691142,631.1914516427121,674.4188205988171,726.7691744553769,790.0731918937156,866.564096151552,958.7011425128212,1068.984552445223,1200.0998682677869,1354.988928609369,1536.8819478682258,1749.305029750625,1996.0681768454044,2281.2347453690654,2609.0717497259516,2983.980275257111,3410.4059566611763,3892.7307147862657,4435.1484794185635,5041.529229823489,5715.277123683856,6459.189541513538,7275.324380557744,8164.882801737451,9128.113870707413,10164.24623290246,11271.45028161669,12446.832410428486,13686.461079772895,14985.422738403186,16337.904245968884,17737.297414400735,19176.320646434127,20647.152382777822,22141.571129894335,23651.097165797983,25167.13154251459,26681.088652762974,28184.519343430395,29669.222287692704,31127.342030456566,32551.45276856348,33934.62749846885,35270.49264922061,36553.26871392814,37777.79770037148,38939.55844666275,40034.67099917837,41059.89133698996,42012.59775994097
D,1644.0,1644.0,1644.7655391593855,1645.9184401746463,1647.2583149580855,1648.681281997871,1650.135153358636,1651.594952490183,1653.0496905437303,1654.4953270048134,1655.9310936627887,1657.3576249298644,1658.7760427249998,1660.1875350212451,1661.5931821119852,1662.993901721617,1664.3904470759453,1665.7834254156812,1667.1733217518515,1668.5605213945564,1669.9453290099343,1671.3279838698545,1672.7086717203135,1674.0875339143436,1675.4646744406816,1676.8401653800088,1678.2140512046142,1679.586352232727,1680.9570674641154,1682.326176959051,1683.6936438753949,1685.0594162446737,1686.423428544181,1687.7856031055537,1689.1458513888515,1690.5040751432887,1691.8601674703768,1693.2140138014947,1694.5654927993153,1695.9144771906872,1697.2608345372632,1698.6044279492055,1699.9451167465793,1701.282757072492,1702.6172024615885,1703.948304367158,1705.2759126497972,1706.5998760303212,1707.920042509386,1709.2362597560823,1710.551880975264,1711.8744815485632,1713.215474624017,1714.5894701637003,1716.0137568783744,1717.5080456637932,1719.0945005394651,1720.7980403737101,1722.64688767344,1724.6733503100822,1726.9148382710844,1729.415135720357,1732.2259671076124,1735.4089145593287,1739.037762718259,1743.2013671074462,1748.007163319329,1753.5854567634824,1760.0880059882516,1767.6828560169579,1776.554931118138,1786.9083437381973,1798.9688236032632,1812.98564391037,1829.2327778709991,1848.0091313885691,1869.6377263783234,1894.4637217977029,1922.8511833206214,1955.1785571277521,1991.832868719574,2033.2027487387427,2079.6704757043226,2131.6033095877074,2189.3444594553725,2253.204073831901,2323.450658077343,2400.3033070743036,2483.9250961463877,2574.417904065538,2671.8188571619853,2776.098491687914,2887.1606410528043,3004.8439723301904,3128.9250276026196,3259.12257325023,3395.1030252366777,3536.4867002282876,3682.854639237744,3833.7557599079983,3988.7141126921533,4147.236042157292,4308.817084761587,4472.948466389444,4639.123094767783,4806.840972160356,4975.6139814031085,5144.970022737518,5314.456499676207,5483.643169208109,5652.124385125594
R,0.0,438.707990770354,862.8344178991193,1277.399085674077,1686.12352837407,2091.666439599432,2495.8725278513634,2899.9886196585644,3304.8348029800864,3710.9328959439204,4118.599566666734,4528.012190474094,4939.25458553691,5352.348332709966,5767.273986262941,6183.985309029672,6602.418754367534,7022.4997417913455,7444.14678762195,7867.274210684848,8291.793897117072,8717.616447266568,9144.651918836418,9572.810307497488,10002.001857655545,10432.137263939145,10863.127802822637,11294.885419928125,11727.322789488138,12160.353356550333,12593.89136867553,13027.8519014021,13462.150880151099,13896.705100218931,14331.432245846658,14766.250908936208,15201.080607719012,15635.841805516935,16070.455929633272,16504.845390350125,16938.93359997294,17372.6449918439,17805.905039237008,18238.64027404545,18670.77830517327,19102.247836547445,19532.978684671638,19962.901795648868,20391.949261606685,20822.056971667444,21256.49401723317,21699.43602544589,22155.73308155682,22630.82442342752,23130.761361320794,23662.31126145975,24233.126219767113,24851.969238632646,25528.9982186113,26276.11422885125,27107.38580726598,28039.565940458793,29092.72328601592,30291.014423840938,31663.629634502784,33245.950929172664,35080.96763136498,37217.20253563375,39706.26694992837,42604.85133934362,45975.89835871422,49889.31602705178,54422.37343823395,59659.818614675176,65693.710176718,72622.93535036681,80552.38475648541,89591.76392095578,99854.03933476427,111453.54045749488,124503.76530374384,139114.96283555968,155391.58693792517,173429.73139642045,193314.66111423424,215118.55115693947,238898.53275835683,264695.1259008461,292531.113926403,322410.8895030947,354320.2756555586,388226.8024974706,424080.40119242895,461814.4622906871,501347.1961407589,542583.2283008163,585415.3622042328,629726.4440155907,675391.2698299134,722278.4823195352,770252.4118972244,819174.8258283077,868906.556999732,919308.9918746657,970245.4042752666,1021582.127889706,1073189.5657191852,1124943.039056204,1176723.4820528938,1228417.9905658949,1279920.2358400282
G,96129.0,96129.0,96145.46311132233,96172.35581505834,96205.86976182065,96243.59875718053,96284.02074494165,96326.1714651156,96369.43872409375,96413.4326305417,96457.9037103133,96502.69121475921,96547.69047832038,96592.83229933458,96638.06991223354,96683.37075453515,96728.71126324826,96774.07358588304,96819.44350185123,96864.80910926363,96910.15999584571,96955.48671611951,97000.7804623622,97046.0328581712,97091.23582959412,97136.38152531021,97181.46226780712,97226.47052411688,97271.39888886562,97316.24007504554,97360.98690959997,97405.6323319771,97450.16939448418,97494.59126370208,97538.89122249186,97583.06267229757,97627.09913555888,97670.99425811665,97714.74181153892,97758.3356953226,97801.76993894449,97845.038703746,97888.13628464403,97931.05711166436,97973.79575129742,98016.346907678,98058.70542359167,98100.8662813117,98146.35546194784,98197.63396576584,98256.52740114366,98324.55267367545,98403.15967614709,98493.91065130803,98598.61920026915,98719.46793317176,98859.12034517761,99020.8395924164,99208.62482203696,99427.37464450901,99683.0871353267,99983.10626327533,100336.42568481095,100754.06221845528,101249.51277352398,101839.3097187927,102536.99253316272,103352.38224998763,104299.24645306077,105393.92000739329,106654.571232509,108100.71119861878,109752.75592660635,111631.55240815828,113757.83112902583,116151.57795608304,118831.33883515465,121813.48622676058,125111.48751442478,128735.22221576655,132690.39592317387,136978.09420699024,141594.50979280178,146530.86259851017,151773.5166913729,157304.2830553612,163100.88411906076,169137.5465697942,175385.68364486968,181814.626757694,188392.36840006264,195086.28289238413,201863.79777521986,208692.99555856944,215543.13243885754,222385.06692460692,229191.5967443361,235937.70677953656,242600.7340407425,249160.45794920923,255599.12552283434,261901.42164466786,268054.394575635,274047.34641303844,279871.6974301396,285520.83227611915,290989.9349644059,296275.8185037823,301376.75398454274,306292.3029583472,311023.15606860473
H,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3297551.441309543,3119421.556346309,2941291.671383075,2763161.786419841,2585031.901456607,2406902.016493373,2228772.131530139,2050642.2465669054,1872512.3616036717,1694382.476640438,1516252.5916772042,1338122.7067139705,1159992.8217507368,981862.9367875031,803733.0518242694,625603.1668610356,447473.28189780185,269343.39693456807,91213.51197133429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
