series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,6023062.156198734,6021349.860950433,6019887.5411940375,6018591.783173077,6017408.373925828,6016301.91746994,6015249.241291544,6014235.15595132,6013249.70444478,6012286.367391247,6011340.887104207,6010410.494904261,6009493.402329852,6008588.465596227,6007694.964053902,6006812.4537916165,6005940.670840421,6005079.467155575,6004228.768280024,6003388.545361978,6002558.796682972,6001739.53549175,6000930.782021983,6000132.558287607,5999344.884723161,5998567.7780501805,5997801.249958477,5997045.306328997,5996299.946816386,5995565.1646701135,5994840.946713398,5994127.273425983,5993424.119094702,5992731.452007667,5992049.234675854,5991377.424071165,5990715.971873576,5990064.824722384,5989423.924468139,5988793.208422932,5988172.609607435,5987562.056993598,5986961.4757422265,7483207.251239436,8979293.00553577,10475222.965002593,11970995.523072155,13466601.787014036,14962024.926672682,16457239.746211903,17952212.10837982,19446897.981427524,20941241.960866317,22435175.15402014,23928612.317407135,25421448.116014358,26913552.337486055,26907936.021895353,26901598.89576229,26894407.11655259,26886227.05127425,26876924.342564188,26866359.30593173,26854385.05409581,26840847.25123759,26825584.969412282,26808432.394027825,26789221.24606346,26767783.827108115,26743956.587161843,26717584.08633955,26688523.18475646,26656647.261112172,26621850.238664664,26584050.1936982,26543192.339307476,26499251.215691783,26452231.972945213,26402170.69662582,26349133.792048186,26293216.50253503,26234540.68381935,26173251.988003597,26109516.62523229,26043517.871042952,25975452.475243445,25905527.10780812,25833954.952346813,25760952.53132856,25686736.821836255,25611522.697793193,25535520.715226356,25458935.241535533,25381962.91783821,25304791.43491971,25227598.597664576,25150551.649561305,25073806.827454414,24997509.116708074,24921792.177951623,24846778.418274395,24772579.181867093,24699295.037469264,24627016.14242864,24555822.66559993,24485785.253634356,24416965.527388092,24349416.597179744,24283183.587439865,24218304.16291655,24154809.050034225
E,0.0,1712.2952483018069,2832.15595503632,3561.4827849894546,4032.5954752404523,4332.532836080859,4518.702447260851,4629.047298033134,4688.689344967108,4714.288529506501,4716.9111106454075,4703.921088461658,4680.229445178236,4649.1202897674875,4612.797774138808,4572.748481596806,4529.981736473243,4485.1890740242625,4438.850134770797,4391.303025862207,4342.791099695732,4293.494070979358,4243.548726550131,4193.062715616552,4142.1237369387945,4090.805662531697,4039.1726217293017,3987.2817268634294,3935.1848941024223,3882.9300615543916,3830.56200595852,3778.1228921815,3725.652645026437,3673.1892030567565,3620.768694258246,3568.4255600960732,3516.192645666257,3464.1012677247654,3412.181268424344,3360.461059947121,3308.967663455143,3257.726744600955,3206.7626470522464,3156.098424958826,3275.588248159108,3526.9749362316775,3885.4856839488853,4338.588409804348,4884.1948737235325,5529.000164283334,6287.301768035323,7180.4321712458595,8236.830102729315,9492.734732881516,10993.488203834817,12795.455760370429,14968.606941124024,17599.838030522078,20416.996557480947,23525.376455685902,27000.366442889568,30903.001864375663,35287.43812395948,40204.202335087146,45701.1647262866,51823.213606336816,58611.14626952572,66100.06497998795,74317.47093933448,83281.21669773871,92997.4741804847,103458.88092747523,114643.02838626917,126511.4451565228,139009.2010916808,152065.21526407072,165593.29582695017,179493.87940812917,193656.37984589595,207962.0084543516,222286.89627663873,236505.33573698968,250492.96440534416,264129.73429558123,277302.54162580235,289907.42910014995,301851.3107154459,313053.2040336647,323444.9842451872,332971.6968884546,341591.48155382555,349275.1678098979,356005.6079387417,361776.81004831684,366592.93095714966,370467.18202085316,373420.693719954,375481.3770828547,376682.8124126224,377063.1886865506,376664.31062646734,375530.6849084778,373708.69232461246,371245.84890031547,368190.1559489608,364589.5367247432,360491.3556260573,355942.0147091942,350986.6215072352,345668.72172910284,340030.09026560595
I,3836.6910671940554,2947.505224949117,2355.0879367351554,1959.2821134702392,1693.8366455640157,1514.8630315181251,1393.2543370111287,1309.6900150020597,1251.3368800447113,1209.6665376645585,1179.0095195617273,1155.5964322790517,1136.9215075707511,1121.3198217705735,1107.6862551353909,1095.2885523122522,1083.642901633026,1072.4310780291764,1061.4452351461991,1050.5511010769442,1039.663430505077,1028.7296236650789,1017.7187898710883,1006.6144425669786,995.4096177645616,984.1036104266967,972.6997915649281,961.2041475568739,949.6243023555237,937.9688627510559,926.2469798909592,914.4680556778676,902.6415463164188,890.7768310827566,878.8831249516679,866.9694207771101,855.0444514436062,843.1166655642725,831.1942124142136,819.2849332019172,807.3963567275545,795.5356981105315,783.709859692769,771.9254335082799,760.1887049000239,757.500872447479,768.75072884268,796.3819494014089,841.6081019360995,905.2508954052354,988.296207808896,1092.2587015844165,1219.4318838825004,1373.0839866389467,1557.6452182017856,1778.9206066441432,2044.355215055047,2363.374604385042,2747.8223656505106,3192.3826109151023,3698.548374918981,4271.459651762893,4918.297950930209,5647.448760829403,6468.030343085339,7389.583183508352,8421.81419989337,9574.341488351769,10856.413269752207,12276.591019222129,13842.397582011956,15559.93921750769,17433.51705286103,19465.248517601805,21654.722661283806,23998.714385346713,26490.981215629363,29122.162251146037,31879.792659776664,34748.43921586145,37709.953801884156,40743.83352992812,43827.66909685361,46937.65785825727,50049.15526281684,53137.237772960325,56177.251968298646,59145.32774448815,62018.837841513836,64776.790811532555,67400.14947634788,69872.07153860701,72178.07302743624,74306.11852230753,76246.6445518308,77992.52422755392,79538.98212100024,80883.46873127934,82025.50374087189,82966.49673934965,83709.55332092478,84259.27352976694,84621.54861819869,84803.36106123867,84812.59178437555,84657.83764341741,84348.2413671162,83893.33544652071,83302.90083354582,82586.84079329435,81755.06983451419
A,10650.885189963314,9542.330586118796,8800.922325669333,8301.33899616587,7960.989173166431,7725.333227309513,7558.305796507805,7436.036145704632,7342.716967058307,7267.879993275147,7204.596094807948,7148.284457263085,7095.923805765393,7045.529407704008,6995.805981505473,6945.91714668363,6895.332153448489,6843.7238987128785,6790.901004308594,6736.762534715639,6681.267773379687,6624.416022822379,6566.233082465322,6506.762178918254,6446.057867896471,6384.181921667356,6321.200544932606,6257.182480983557,6192.19771573916,6126.316584395525,6059.609150159749,5992.1447677277365,5923.99177299074,5855.217259706382,5785.886916734904,5716.06490804445,5645.813783446214,5575.194411875754,5504.2659316210975,5433.085713632334,5361.709335212523,5290.190562173963,5218.581338072942,5146.93177949423,5075.290176600143,5028.674257514806,5023.872745963579,5072.284515771071,5182.279383393716,5361.048982720209,5616.020845934351,5955.951667613744,6391.823353569277,6937.656283211902,7611.3399981483835,8435.56894907655,9438.963175176947,10657.451866874522,12136.00144189106,13874.882300589512,15889.818566176675,18205.982540322788,20854.90088303783,23872.78165438795,27299.49358503575,31177.79441565637,35552.59176013342,40470.117823380984,45976.95416931707,52118.87773896743,58939.52590943207,66478.90172413489,74771.76213298296,83845.95171263162,93720.76031639162,104405.39345074305,115897.64713813413,128182.87359721074,141233.31032735744,155007.82436856005,169452.09785593938,184499.2533412846,200070.89066597936,216078.48403918344,232425.0702967432,249007.14811057918,265716.70333843265,282443.2771797176,299076.00026254373,315505.5258944576,331625.80807919946,347335.68325754383,362540.22800612915,377151.8773145551,391091.2990085081,404288.0290811262,416680.88001693535,428218.1396719929,438857.5820440094,448566.31352573505,457320.4792153335,465104.8537990993,471912.34065658983,477743.401378389,482605.43601882353,486512.1322880195,489482.7996490927,491541.70202935085,492717.4006570659,493042.11645427765,492551.1194898556
IH,0.0,154.66245282166696,195.71475022447154,192.24436534366686,174.56343085790195,155.07216258601798,138.16661724401644,124.85912889534501,114.8741813770702,107.55746689625366,102.23987843930637,98.36019833150829,95.48744511699496,93.30632801960994,91.59297215874221,90.19152022020964,88.99496324151482,87.9305942933658,86.94943610781301,86.01875909166611,85.11687772479189,84.22957382204939,83.3476578716454,82.46531569208963,81.57899193353964,80.68663818306396,79.78720756901104,78.88031548742381,77.96601203639045,77.0446294565306,76.11667988649356,75.18278685226016,74.2436393687837,73.29996120047605,72.35249028773895,71.40196499591522,70.44911494761894,69.49465493892976,68.5392809349383,67.58366747141473,66.62846601108161,65.67430395134919,64.72178407967678,63.77148433919653,62.82395781173593,61.87973285517733,61.30192323164536,61.46813966442396,62.664634476461245,65.08265012330608,68.85039471058272,74.07135417659752,80.85803889297235,89.35884242400192,99.7792916387993,112.40016043481401,127.59505571712356,145.84985217715888,167.78607961172958,194.19018840928783,225.2389029332603,261.08027513118,301.99511540851233,348.41253673763276,400.8839207534946,460.0509789847122,526.6173545428057,601.3241914175509,684.927698135772,778.1766629677132,881.7885012117731,996.4231611938242,1122.6549146473715,1260.9426683155125,1411.5999426665735,1574.7660509750444,1750.3802501277687,1938.1606962730712,2137.589908260098,2347.9081245467537,2568.115464032646,2796.983219415827,3033.0739891439443,3274.769760653243,3520.3065558148724,3767.813885407103,4015.35705761757,4260.980348548574,4502.749153937666,4738.789470811485,4967.32336846322,5186.699461743017,5395.417761454184,5592.148618448988,5775.74577949721,5945.253821773053,6099.910423546701,6239.144061722446,6362.567806688989,6469.969918599132,6561.301945052396,6636.6649868982895,6696.294744774988,6740.545891431484,6769.8762401039585,6784.831102267877,6786.028152821513,6774.143049951457,6749.895992430932,6714.039339980878,6667.346373044563
IN,734.5233894232716,1401.521015265108,1836.9685621018216,2118.9682327773517,2299.2674007421615,2412.1726479619065,2480.4343778289826,2519.1390790502496,2538.2874555465837,2544.5039563513515,2542.1712992092357,2534.183889205668,2522.4484052572225,2508.2165205470496,2492.306095377726,2475.248231035994,2457.38501575784,2438.9344647865632,2420.033627651478,2400.767163144376,2381.1862412881683,2361.3210080050735,2341.1887677877535,2320.7993203703177,2300.158408280192,2279.2699128908525,2258.1372237783607,2236.7640642806973,2215.1549615188223,2193.3154860128398,2171.2523439221854,2148.9733768603437,2126.487505517314,2103.804640854555,2080.9355783402093,2057.8918851801423,2034.685786846627,2011.3300567925953,1987.8379116520716,1964.2229131905192,1940.4988775979627,1916.6797922897151,1892.7797401121231,1868.8128306891153,1844.793138552952,1820.7346476551375,1798.373309773338,1780.221433405252,1769.0282015705125,1767.5223950865084,1778.3392479290778,1804.06047681202,1847.320435352478,1910.9503826506793,1998.1469897293946,2112.661203722018,2259.010497747025,2442.722383053367,2670.6207153788296,2951.1694450369464,3291.0367081941195,3696.5634670985364,4174.491787440412,4732.318806556454,5378.4578169133665,6122.294329993401,6974.177532436142,7945.363556953343,9047.915100852726,10294.556465881786,11698.481260522769,13273.110413286571,15031.800073604532,16987.501979723354,19152.382574208266,21537.41114625313,24151.93112716248,27003.231889926574,30096.140567896997,33432.65417330079,37011.631483894475,40828.561787072176,44875.42382786112,49140.643560325145,53609.15400946389,58262.55520043158,63079.367154770014,68035.364752605,73103.98006092772,78256.75565063227,83463.83147203857,88694.44793902752,93917.44882826401,99101.76923738346,104216.89595759714,109233.29000323018,114122.76352677113,118858.80578704867,123416.85511788531,127774.51588606603,131911.7211821327,135810.84343272354,139456.7562571054,142836.85172709334,145941.0177536059,148761.58064642132,151293.21801154193,153532.84709903394,155479.49352827555,157134.1450297271,158499.59448181774
D,10173.0,10173.0,10176.150072517772,10180.136273724056,10184.051792202636,10187.607195961733,10190.76561320342,10193.579708388861,10196.122764595139,10198.46245335059,10200.653119633,10202.735480447898,10204.738822254225,10206.683653537886,10208.584061130463,10210.449572113605,10212.286539160217,10214.099135448538,10215.890053305468,10217.660987518148,10219.412966256905,10221.146576014333,10222.86211369552,10224.559689039064,10226.239293363784,10227.900845575256,10229.544222858201,10231.16928107529,10232.775868255803,10234.363833449393,10235.93303247259,10237.483331572857,10239.014609697264,10240.526759826324,10242.019689681752,10243.493322015196,10244.947594616884,10246.382460137565,10247.797885786527,10249.19385294806,10250.570356744993,10251.927405568762,10253.265020589257,10254.583235253585,10255.882094780054,10257.16165565181,10258.421985113278,10259.670546093243,10260.92249247029,10262.198808339457,10263.524372907954,10264.926676649158,10266.435317776264,10268.082186046557,10269.90219360886,10271.934438660583,10274.223738034278,10276.822517964927,10279.7931006932,10283.21046740766,10287.165617248937,10291.753148774002,10297.070675973517,10303.221532216865,10310.317790790301,10318.48275519209,10327.85279891786,10338.578626846114,10350.826039033738,10364.776237541491,10380.625675302656,10398.58541713707,10418.879969298137,10441.745534463134,10467.42766204795,10496.178287066225,10528.252181981214,10563.902882076703,10603.378182209148,10646.915337487817,10694.736128652406,10747.04197146121,10804.00925609564,10865.785096600302,10932.483652305731,11004.18315488889,11080.923739018805,11162.70613471653,11249.491238986186,11341.200545967075,11437.717381224576,11538.888858492715,11644.528457078533,11754.419105404486,11868.316650392886,11985.953592764476,12107.042973758193,12231.282308099027,12358.357470070712,12487.946453205624,12619.722938445322,12753.359619881796,12888.531250768789,13024.917384969945,13162.204800111753,13300.089598287414,13438.278988168755,13576.492758861228,13714.464460872914,13851.942313290605,13988.68985881479
R,0.0,1176.0803674259519,2372.7150489924475,3552.0199057670798,4703.578001713009,5827.75727395695,6928.385364715064,8009.74851892144,9075.523806947404,10128.529517024735,11170.78771881272,12203.679395065808,13228.104084320765,14244.614227741871,15253.518651966702,16254.95854973657,17248.961695180533,18235.480444445748,19214.418074001573,20185.64691192851,21149.020773493095,22104.383478257958,23051.574685091415,23990.433895506067,24920.803205977532,25842.529203860617,26755.464274407073,27659.467500072198,28554.405274923025,29440.151717583864,30316.58893962811,31183.607208460726,32041.10503169757,32888.98918192289,33727.17467520846,34555.584713043565,35374.15059477464,36182.811605899726,36981.51488634495,37770.215281994424,38548.875182133976,39317.4643450248,40075.95971349254,40824.34522216535,41562.61159779661,42290.75615394893,43011.381614395155,43729.17285977406,44450.41431222325,45182.65236914032,45934.52506438084,46715.74761044283,47537.23389205444,48411.33726110171,49352.20219732288,50376.22817087895,51502.65699976073,52754.30484526094,54158.46997259504,55748.05797495805,57557.16010898176,59622.20248394225,61982.885527116305,64682.94627397038,67770.78657513787,71299.99731363852,75329.79205231722,79925.3492651962,85158.05167105205,91105.60401142991,97852.00654707698,105487.3603783951,114107.48235375618,123813.31176166862,134710.09804911038,146906.36810366058,160512.68256382394,175640.2023256158,192399.09787837442,210896.8442732971,231236.45244952122,253514.6925900901,277820.3667507163,304232.6861526994,332819.8035496905,363637.5435277284,396728.36421388783,432120.57345503883,469827.8118639385,509848.8048974841,552167.3768713023,596752.711903927,643559.8404409586,692530.3253109695,743593.1181709063,796665.5555837145,851654.4636523214,908457.3408981813,966963.5906953684,1027055.7768344637,1088610.8784928406,1151501.5238516529,1215597.1846742807,1280765.3172235184,1346872.4378496832,1413785.1243580827,1481370.9368127037,1549499.253722938,1618042.021576304,1686874.4174193717,1755875.4256577159
G,569998.0,569998.0,570088.6921595021,570238.6980301973,570427.3328845662,570640.9203440947,570870.3940633072,571109.7283039971,571354.9069881708,571603.2446287447,571852.9381367308,572102.7705504035,572351.9149442005,572599.8045039999,572846.0463593586,573090.3643833078,573332.561186147,573572.4928372995,573810.0520335312,574045.1568758927,574277.7433733662,574507.760424157,574735.166445106,574959.9270980043,575182.0137463108,575401.4023984724,575618.0729755858,575832.0087953747,576043.196200532,576251.6242835042,576457.2846757916,576660.1713805064,576860.2806340336,577057.610787386,577252.1622010018,577443.9371488475,577632.9397290908,577819.1757795481,578002.6527967361,578183.3798577688,578361.3675446186,578536.6278704407,578709.1742077784,578879.0212185436,579046.1847857172,579219.6771621981,579406.4842994565,579612.2800509433,579842.0745051799,580100.7671465138,580393.6120663856,580726.6206262992,581106.9340683962,581543.1998994254,582045.9850431432,582628.2579815598,583305.9725964146,584098.7887241086,585030.9686851619,586112.3601742637,587358.3878064608,588788.4691796819,590425.254644662,592294.2629070686,594423.6888541656,596844.2628322191,599589.0927083483,602693.4471888874,606194.4541806453,610130.6981986677,614541.7093229254,619467.3445310039,624947.0708458902,631019.1684158115,637719.8797413522,645082.5379337154,653136.7112844354,661907.4029116508,671414.3425338109,681671.4026447845,692686.1640650512,704459.6468638395,716986.2129762014,730253.6374490029,744243.3369565592,758930.7376022029,774285.7593642762,790273.3918969522,806854.3355986851,823985.6826198151,841621.6144334509,859714.0953653068,878213.5447216738,897069.4735755394,916231.0756377836,935647.764786252,955269.654641648,975047.9780060266,994935.4459962613,1014886.5483186399,1034857.7973684827,1054807.9197389851,1074697.9993309227,1094491.5766156844,1114154.7087632034,1133655.995345357,1152966.5742015433,1172060.0918387377,1190912.6524607968,1209502.7494037019,1227811.1824131396
H,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,20955719.130150285,19458882.66634576,17962046.202541236,16465209.73873671,14968373.274932183,13471536.811127657,11974700.34732313,10477863.883518605,8981027.419714078,7484190.955909552,5987354.492105026,4490518.0283005,2993681.5644959738,1496845.100691448,8.636886922176927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
