series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,7007.964005693315,7007.275881293614,7006.706691942449,7006.186065623645,7005.675516085535,7005.153411896655,7004.607004114831,7004.028187896586,7003.411244623613,7002.751636022504,7002.045357499596,7001.288588862699,7000.477503232402,6999.608160129406,6998.676443395553,6997.6780230581635,6996.608330073652,6995.462538124771,6994.23554944352,6992.92198313121,6991.516165256119,6990.012120450993,6988.403564979248,6986.68390138133,6984.846214899778,6982.883271938279,6980.787520849752,6978.551095377569,6976.165821095467,6973.6232252064065,6970.914550068529,6968.030770816589,6964.962617438731,6961.7006016499545,6958.235048873652,6954.55613560002,6950.653932333706,6946.518452272037,6942.139705769033,6937.50776053923,6932.612807439821,6927.4452315410435,6921.995688055367,6916.255182548761,6910.215154705958,7301.971622530075,7692.979094798655,8083.185832238138,8472.508831773064,8860.838341324807,9248.039625064885,9633.952794425795,10018.391280366868,10401.139341544005,10781.9488817548,11160.535779664613,11536.575904041285,11909.700989318993,12279.494571617135,12645.48822767241,13007.158411815955,13363.924241476332,13715.146630348554,14060.12919907777,14398.121393472597,14728.324197479094,15049.898732633317,15361.977883382971,15663.680883105106,15954.130553951933,16232.472640174117,16497.896441813264,16749.65577766516,16987.089211769824,17100.763001856536,16911.6186109702,16713.683122726845,16507.440044931176,16293.880317770529,16074.235384053856,15849.838815917754,15622.046550718424,15392.186450813148,15161.524533595035,14931.242073646987,14702.420610637451,14476.033075699535,14252.939760424999,14033.888103343521,13819.515423350957,13610.353851037751,13406.836818693622,13209.306573170288,13018.02227243798,12833.168314937902,12654.862629331688,12483.164720285613,12318.083323482202,12159.58357062479,12007.59360363445,11862.010607564524,11722.706255077837,11589.531572734617,11462.321251848234,11340.897435206665,11225.073016343127,11114.654490968021,11009.444401232695,10909.243413168222,10813.85206632247,10723.072232619594,10636.708319033822,10554.56824599309,10476.464230650452,10402.21340138712,10331.638267215294,10264.567063182472,10200.83399047456,10140.279367691253,10082.749707732122,10028.097732886165
E,0.0,0.6881243997011625,1.102215177713346,1.3744096701721216,1.5751765892335665,1.7422466570157438,1.8959638574550484,2.0474426797759113,2.202906257531839,2.3659947272798023,2.538994083735304,2.723490672437162,2.9207199746144736,3.131752602298356,3.3575935376842114,3.599235061318728,3.857684871348371,4.133980811253968,4.429198252385074,4.744453315371282,5.080903587855698,5.4397471806057425,5.822220527680576,6.229595102252934,6.663173093975971,7.124282026636397,7.614268259929691,8.13448930275247,8.686304860340206,9.271066540363556,9.890106152108103,10.544722547466915,11.23616697253367,11.965626924164471,12.734208537081603,13.542917563940136,14.392639053115497,15.284115876401291,16.21792631063589,17.19446093246103,18.213899142536754,19.2761856927864,20.381007645441755,21.52777224328774,22.715586213800275,23.943237062916815,25.643179291537944,27.76070089914274,30.28468540099584,33.23327089580626,36.64549102768732,40.5767342611001,45.096585349404386,50.28811741787056,56.24803433100287,63.08726869028532,70.93175953863567,79.92319444642243,90.21952388129336,101.99505672933383,115.43993624134595,130.75878557144497,148.1683109360105,167.8936674897198,190.16343677881412,215.20314148170263,243.22733540447481,274.43045046868355,308.97674602996506,346.9898697239637,388.54267774931566,433.6480492206275,482.25144163322386,534.2258607488733,589.3697610525901,645.6742046295024,698.0791058117679,746.9798872055501,792.1754134605277,833.2693811487144,869.852681619607,901.5860513185299,928.2347693942279,949.6788644477233,965.9101486299834,977.0220144920743,983.1954130727416,984.6831498150676,981.7939025917531,974.876895010128,964.307826350112,950.4764141224758,933.7757215919441,914.5933071104325,893.3041355346013,870.2651269648319,845.8111781266989,820.2524712787006,793.872879680969,766.9292832681649,739.6516198474433,712.2435131940738,684.8833377678666,657.7255988818923,630.9025259248393,604.5257939326598,578.6883049683454,553.4659751589661,528.9194857716473,505.09596741062535,482.0305953852721,459.7480816786948,438.264054906886,417.586324376665,397.7160280018897,378.6486665873672,360.3750289906898,342.88201406007465,326.1533561407178,310.17026144622304,294.91196279277517
I,0.5199344002911346,0.47827690987114174,0.4762645394478831,0.49626206503114634,0.5290191681803501,0.5697448113977099,0.6160226036470082,0.666703165974069,0.7213156420075936,0.7797552517752029,0.8421176747990027,0.9086115405881253,0.9795124634348447,1.0551391629024909,1.1358413112121863,1.2219935904695627,1.3139930186793174,1.4122579736566183,1.5172280722225449,1.6293644486029872,1.7491501804933005,1.877090718856133,2.013714233481159,2.159571814788613,2.3152374861811618,2.4813079873311294,2.6584022908422327,2.8471608147709935,3.048244292667857,3.2623322617716735,3.4901211291940064,3.732321775671896,3.9896566570010936,4.2628563648107995,4.552655611115499,4.859788605278294,5.184983797826631,5.528957973136527,5.892409682472208,6.2760120203147975,6.68040476035496,7.106185882902668,7.553902542634036,8.024041544298843,8.517019413888868,9.03317217333547,9.572744947468792,10.158780809850677,10.80958983943913,11.541428560607091,12.370208034312352,13.312624048106244,14.386957172379578,15.613694825017104,17.016066144007482,18.620541517427803,20.45732364289633,22.56084027701961,24.970236660095587,27.729855627106648,30.88968429188119,34.5057372919865,38.640337862365314,43.362249924688456,48.74660784640941,54.87458682303608,61.83275748798092,69.71207487608899,78.60646545187855,88.61099704211671,99.81964459373549,112.3226978285036,126.2038919360198,141.53737536162802,158.384655133364,176.79167615318477,196.69470463534884,217.76812798724467,239.7332855891991,262.3232307954516,285.2714947533328,308.311372480461,331.1796270190247,353.6217275599417,375.39720642351074,396.2844303453592,416.0844511351893,434.62380798029255,451.75627663240124,467.36363519190746,481.35555985483546,493.6687866342302,504.2656829532337,513.1323705713883,520.2765319157777,525.7250181556434,529.521361294877,531.7232756735491,532.4002176607503,531.6310567342447,529.501897047635,526.1040762363741,521.532357700969,515.8833239032695,509.2539712147438,501.7405014096059,493.4373008195686,484.4360952703042,474.8252670143584,464.68931878384154,454.1084696468307,443.1583674203983,431.9099028460094,420.42911146406794,408.7771500458036,397.01033548093193,385.18023512151126,373.3337987016847,361.51352305581514,349.7576419191705,338.10033409850536
A,1.7011245179976653,1.3608999759413356,1.2075113490194451,1.1562850045266813,1.1622929181151622,1.2017576913231047,1.2621708638743316,1.337037651682334,1.423080923019842,1.5187532728362383,1.623445174403067,1.7370636380202806,1.8598081231163124,1.9920514786951706,2.1342768040492563,2.2870440690309435,2.4509725472682784,2.626731616966372,2.815035943998888,3.0166429028288713,3.2323510693578736,3.462999139107424,3.709464898820167,3.972664023982926,4.253548549896445,4.553104902313663,4.872351392794093,5.212335093196706,5.574128008315393,5.9588224684517845,6.36752566643348,6.801353267312078,7.261422024477661,7.748841343790839,8.264703748041013,8.810074207992491,9.385978323803476,9.993389361930369,10.633214177879823,11.306278084318254,12.013308756892894,12.75491930625486,13.531590683566721,14.343653627339275,15.191270400632224,16.074416608079204,16.992863420243104,18.021082497026793,19.209206236497835,20.5954215263572,22.21340906918223,24.09685182147413,26.282257879406007,28.810846160223097,31.729932739885363,35.09406450038121,38.96602928031264,43.417798250883266,48.53140792337487,54.399754551102106,61.12724614098543,68.83023359542933,77.63712180492192,87.6880447548968,99.13397825146777,112.1351630583888,126.85872385441267,143.4753988927129,162.15534364104695,183.06303864147444,206.3514136833945,232.15538981375386,260.58512722340726,291.7193384028769,325.5990703157135,362.22236769122134,401.24086288165455,441.5023379006246,482.15328001282927,522.4761568051917,561.8285282395791,599.62581762516,635.3417963367721,668.5149614459821,698.7553998207767,725.7497674023475,749.2635112553887,769.140226602727,785.2984314532403,797.7262273314047,806.4743820087913,811.6483667696301,813.3998356904368,811.9179666696723,807.4210063569192,800.1482823907498,790.3528721348343,778.2950508354041,764.2365855819311,748.4358952101418,731.1440600878491,712.6016387810863,693.0362298146343,672.6607048821759,651.6720336728976,630.2506187708773,608.5600607697762,586.7472778845572,564.9429101375146,543.2619449958471,521.8045086251882,500.6567743013601,479.8919466988655,459.5712875445664,439.74515435546886,420.4540295942205,401.7295225424056,383.59533051030155,366.0681496962136,349.1585291184713,332.87166361815787
IH,0.0,0.02086011440834746,0.03976766086885903,0.05833955304659633,0.0774633680091823,0.09764358733440186,0.11918567142816622,0.14229401517915036,0.1671241439198991,0.19381059507727522,0.2224818883659908,0.2532686494894476,0.2863081133749318,0.3217467225403856,0.3597417323673687,0.4004623071603593,0.4440903630006656,0.49082129195467744,0.5408646373568217,0.5944447551414118,0.6518014774277924,0.7131907842528468,0.7788854834908018,0.8491758954702564,0.9243705364575111,1.0047967934205564,1.0908015810010498,1.1827519702369673,1.2810357772144794,1.3860620984487628,1.4982617783920187,1.6180877930524469,1.7460155323021336,1.8825429620863559,2.02819064646193,2.18350160823598,2.349041006004297,2.525395604662348,2.713173016049546,2.913000686360546,3.1255246073900222,3.3514077296435847,3.5913280569175945,3.845976404188361,4.116053803609119,4.402268547128719,4.705332858736587,5.025959194597655,5.365774908808322,5.727120027600164,6.112955250924391,6.526839724139061,6.9729544533602414,7.456157503910495,7.982063412215231,8.557142986491769,9.18884180337426,9.885716808567423,10.657590845249416,11.515724855488129,12.473007022364325,13.544157283295705,14.745944462097528,16.097411750471693,17.620104449006377,19.338291819596577,21.279172722307706,23.47305258630489,25.95347743135588,28.757309393051877,31.92472780625316,35.49914063464696,39.526993087814944,44.057463700068936,49.142042852465565,54.83399442178347,61.18770750691322,68.25428087631441,76.07106057699896,84.66370909685475,94.04683285797569,104.22415044689993,115.18862993366416,126.92277295262218,139.39910511023896,152.58087470670608,166.42293346437356,180.87275987295692,195.87158116801143,211.35555036113124,227.25693812488288,243.50530442572366,260.02862072835296,276.75431976156455,293.6102558214257,310.5255641159347,327.4314125581216,344.2616436067667,360.9533072122256,377.44708867018716,393.68763726915614,409.62380310684574,425.2087904245119,440.4002363471913,455.160224100319,469.45523967253325,483.2560805766634,496.53772488383566,509.27916811878436,521.4632349490781,533.0763719106399,544.1084267132868,554.5524189835521,564.4043066430064,573.6627514994718,582.3288870530295,590.4060909927283,597.8997643852102,604.8171191330814,611.1669749074288,616.9595664330769
IN,0.020797376011645382,0.039280632340949195,0.05404096098453459,0.06707841612780069,0.07946509738532304,0.09178379933399977,0.10436082762004528,0.11738952428716608,0.13099574309210527,0.14527249981554355,0.1602982691927896,0.17614662127263914,0.19289128516029913,0.2106088107105399,0.229379978874323,0.24929056901192378,0.27043180311635234,0.29290063364870894,0.3167999603026162,0.3422388178171357,0.36933255402773657,0.3982030051481562,0.4289786687405981,0.4617948712619612,0.4967939250393769,0.5341252682731852,0.5739455807932987,0.616418867601849,0.6617165016209171,0.7100172164853772,0.7615070396654589,0.8163791556781201,0.8748336886689724,0.9370773932435993,1.0033232421309992,1.0737898991097035,1.1487010656598293,1.2282846900656512,1.3127720282285318,1.402396546304589,1.497392656498787,1.5979942789666597,1.7044332248293217,1.816937397819932,1.9357288150608818,2.061021450915425,2.19301891174139,2.331911953652926,2.478791830313702,2.635360774978613,2.8037818747389522,2.9866139728757424,3.1867990222149567,3.4076828479220977,3.6530584826111423,3.927226074469367,4.235066110617028,4.582124135297222,4.974705751468349,5.4199807485773634,5.926094848497177,6.502286884883425,7.1590082738044085,7.9080404338444765,8.762604424471146,9.737455575326209,10.848954401426273,12.11510381203775,13.55554173786924,15.191478059764282,17.04556535262833,19.141694641968577,21.504710192747805,24.16004126134257,27.13325353390067,30.44952828913668,34.133082686223545,38.20288989466457,42.6627874396532,47.505039420969666,52.712092844564516,58.257689080260974,64.10782309087892,70.22174409430608,76.55305440707592,83.05090029907649,89.66122119354246,96.3280138951751,102.99456824000401,109.60463522222116,116.10349577515488,122.43890645908722,128.561906391441,134.42747725373667,139.9950547767652,145.2288955661581,150.09830743433798,154.57775458718038,158.64685116663912,162.29025789959604,165.49749708975756,168.26270105805105,170.58430852624613,172.4647224752351,173.90994180520258,174.92917777482205,175.53446477890807,175.74027360094777,175.5631338964008,175.02127135952028,174.13426382465312,172.9227194673332,171.40797930839253,169.61184538739386,167.55633525713037,165.26346285274664,162.75504529901306,160.0525348278687,157.17687467525388,154.14837760099726,150.98662551779734
D,62.0,62.0,62.00007264054483,62.000211122266236,62.00041427632547,62.00068402466655,62.00102404597438,62.00143908262943,62.001934588770276,62.00251656011666,62.003191460883926,62.00396620282773,62.00484815257768,62.005845154652384,62.00696556352282,62.008218281265606,62.0096127990331,62.01115924145853,62.01286841358299,62.014751850134,62.01682186710693,62.019091615657295,62.021575138332146,62.02428742766912,62.027244487179566,62.03046339471166,62.03396236816333,62.037760833482835,62.04187949485881,62.046340406960105,62.05116704903997,62.05638440066825,62.06201901879943,62.068099115823756,62.0746546381832,62.08171734506419,62.08932088660505,62.09750088097875,62.1062949896319,62.115742989879415,62.125886843973106,62.13677076368245,62.14844126934939,62.16094724230797,62.17433996949631,62.18867317903556,62.2040030655105,62.22038830366192,62.237890049195165,62.25657512470146,62.27651850137455,62.29780546036394,62.3205336767233,62.34481538489729,62.37077973642435,62.39857543417315,62.428373714111856,62.46037173971476,62.49479647204908,62.53190907797144,62.572009937976084,62.61544431268697,62.66260872152046,62.71395807746039,62.77001360702048,62.83137156326237,62.89871271136361,62.972812530268634,63.054552030600334,63.14492903927056,63.24506974708986,63.35624026015006,63.479857842780696,63.6175014940584,63.77092146598088,63.94204731394081,64.13299407251634,64.34606617379794,64.58374598957036,64.84864594062718,65.14346781146655,65.47096425008804,65.83390085361255,66.23501873208414,66.67699806151802,67.1624233446806,67.69375110500678,68.27328064745114,68.9031283829032,69.58520605963429,70.32120309348109,71.11257304849401,71.96052419752736,72.86601399064773,73.82974717911033,74.8521772833699,75.93351105356155,77.07371554792795,78.27252744630903,79.52946421949277,80.84383678846817,82.21476332811746,83.64118389556677,85.1218755924884,86.65546800159777,88.24045866917423,89.87522843667008,91.5580564546007,93.28713474037612,95.0605821681581,96.87645780296832,98.73277351301081,100.62750581347694,102.55860691201485,104.52401494066537,106.5216633715232,108.5494896238361,110.60544287887608,112.68749112588603,114.79362746789893,116.92187572042135
R,0.0,0.34253866173867126,0.6192977165876425,0.8672105328002041,1.1065144848322963,1.348589519889651,1.600130002785649,1.8653679715020015,2.1472600656611487,2.4481230582111078,2.7699759366393915,3.114725800281909,3.4842706429353125,3.880557926410948,4.305619664353244,4.761595051195779,5.250746511518134,5.775472293906793,6.338317264247745,6.9419827665105736,7.589335995228473,8.283419092995967,9.027458057824044,9.824871470861295,10.679279009108932,11.594509676651535,12.57460966434163,13.623849728005563,14.746731957131633,15.947995788729168,17.232623104255016,18.605842231178485,20.073130655103007,21.640216233743253,23.313076690951444,25.0979371579771,27.00126552089727,29.02976532840557,31.19036601368695,33.490210188749174,35.936637780150214,38.53716679233784,41.29947050951163,44.231350979614405,47.34070866517138,50.63550819540556,54.12374021227406,57.81337936937194,61.72732298640186,65.89863254913332,70.36821972016091,75.18400258868456,80.40095614145643,86.08172613724142,92.29762297941329,99.12989847179212,106.67125696767499,115.02757788128321,124.31983746678861,134.6862191147392,146.28439583699648,159.29395747921726,173.91893924527514,190.39038790497108,208.96887834331042,229.94686713196393,253.65074347636124,280.44241390185067,310.72023878237115,344.9191301178931,383.5096246222061,426.99576727510146,475.9116796661366,530.8167442678935,592.2894073277151,660.9196840692963,737.3005332169957,821.9584785688911,915.1922226989554,1017.1305662765965,1127.7581994939833,1246.9295176184387,1374.3791160969338,1509.732490710568,1652.5181274381725,1802.1810923105666,1958.097756612484,2119.591114299593,2285.946121726427,2456.424541010877,2630.278857293252,2806.764943384998,2985.153248815038,3164.738385742841,3344.847067015761,3524.8444197298872,3704.1387506502183,3882.184878526532,4058.486174164648,4232.5954639019865,4404.114957843432,4572.69536275588,4738.034332673855,4899.874399607779,5058.000513612001,5212.237306965467,5362.446182220313,5508.52230905236,5650.391600690962,5788.007727548726,5921.349213723121,6050.416651410361,6175.230058987993,6295.8264005601,6412.257278050717,6524.586801383154,6632.889637785611,6737.249237699691,6837.756232020046,6934.5069933459545,7027.602352471369
G,4994.0,4994.0,4994.036307494121,4994.09446365179,4994.166981602092,4994.2500926133835,4994.342018739364,4994.442055442957,4994.550084620663,4994.666316520054,4994.791153453156,4994.925118347888,4995.068817832489,4995.222923722868,4995.388164323616,4995.565320965182,4995.75522733369,4995.958770284424,4996.176891432382,4996.410589132361,4996.660920629006,4996.929004244738,4997.216021517873,4997.523219224671,4997.851911228107,4998.203480098564,4998.579378450535,4998.981129936463,4999.410329835006,4999.868645166925,5000.357814267825,5000.879645743544,5001.436016731212,5002.028870387433,5002.660212524686,5003.332107318413,5004.046672010564,5004.806070540879,5005.612506045227,5006.4682121710875,5007.375443173927,5008.336462774926,5009.353531780211,5010.428894484379,5011.564763906392,5012.7633059334885,5014.026622478109,5015.37963304099,5016.844370354662,5018.442280612793,5020.195767029196,5022.1292923490755,5024.270241778095,5026.649672020885,5029.303022967747,5032.270836893075,5035.5995092059275,5039.342080234596,5043.559066165855,5048.319317123884,5053.700880289178,5059.791835366825,5066.691058589351,5074.508860255104,5083.367430519412,5093.401020181217,5104.755779288092,5117.589178385844,5132.068946827923,5148.3714807809165,5166.679700429171,5187.180370067205,5210.060933530007,5235.5059568274655,5263.693305374986,5294.7902104459445,5328.857905762159,5365.690639845221,5405.103524891885,5446.9010605983885,5490.866836511017,5536.762856384404,5584.333223416944,5633.3096562353885,5683.417543417932,5734.381841527454,5785.932434796159,5837.808754972341,5889.763572572898,5941.565944879231,5993.003355251045,6043.883110061735,6094.033078342028,6143.301868311927,6191.558536925111,6238.691925398591,6284.609707117588,6329.237225616648,6372.516190570699,6414.403289653891,6454.868764291297,6493.894988111972,6531.475078542207,6567.611564576392,6602.315127369706,6635.603424893951,6667.50000742865,6698.033327043037,6727.2358413674665,6755.143209756788,6781.793578316993,6807.22694910823,6831.4846280685215,6854.608745748248,6876.641844740092,6897.6265276764625,6917.605159798821,6936.619620341304,6954.711097282235,6971.919920375514,6988.285427758861
H,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11834.246251550661,11436.142193791387,11038.038136032113,10639.93407827284,10241.830020513566,9843.725962754292,9445.621904995018,9047.517847235744,8649.41378947647,8251.309731717196,7853.205673957921,7455.101616198646,7056.9975584393715,6658.893500680097,6260.789442920822,5862.685385161547,5464.581327402272,5066.477269642997,4668.373211883722,4270.269154124448,3872.1650963651728,3474.061038605898,3075.956980846623,2677.8529230873482,2279.7488653280734,1881.6448075687988,1483.5407498095242,1085.4366920502496,687.332634290975,289.22857653170036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
