series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,1349214.3039649127,1348976.0874613265,1348819.2161031454,1348696.482712293,1348587.130322561,1348481.976030172,1348376.9093221328,1348270.044381057,1348160.4714531067,1348047.7089629567,1347931.462923189,1347811.5211562754,1347687.7066821146,1347559.8570847516,1347427.815296199,1347291.425406009,1347150.5306904365,1347004.9726284377,1346854.5903624042,1346699.220364807,1346538.696205168,1346372.8483703972,1346201.5041173566,1346024.4873479626,1345841.6185022371,1345652.7144670426,1345457.5884993232,1345256.0501632157,1345047.9052806906,1344832.9558955636,1344611.0002508461,1344381.8327795009,1344145.2441087503,1343901.0210781575,1343648.9467717574,1343388.8005645734,1343120.3581838983,1342843.3917857618,1342557.67004704,1342262.9582736897,1341959.0185256123,1341645.609758671,1341322.487984387,1340989.406447853,1340646.1158243876,1430320.6039450374,1519959.1833190888,1609560.0447460755,1699119.1849701745,1788631.0131015268,1878088.564818833,1967483.4920428093,2056805.915424858,2146044.1805572896,2235184.532610496,2324210.7092033904,2413103.442318814,2501839.8539075404,2590392.7248108434,2678729.6119144387,2729757.622377149,2727541.7051309138,2725058.3281167326,2722267.9245066103,2719133.416386577,2715616.632154022,2711677.145638234,2707271.97920439,2702355.6632071636,2696880.493966063,2690796.9481980223,2684054.248470406,2676601.0831387434,2668386.48243332,2659360.8455557544,2649477.103949151,2638691.9944506576,2626967.4038738073,2614271.7349243723,2600581.2336263647,2585881.212061659,2570167.098471574,2553445.250486437,2535733.476681761,2517061.2263210756,2497469.4258322073,2477009.96150236,2455744.828982637,2433744.9893836826,2411088.987249644,2387861.3962892727,2364151.163856687,2340049.924909533,2315650.3511879183,2291044.592700375,2266322.857512691,2241572.1635619863,2216875.2838804126,2192309.8951059883,2167947.9291142975,2143855.1193943433,2120090.7275539786,2096707.43103121,2073751.3505332044,2051262.1946713512,2029273.4994178198,2007812.9410827649,1986902.7032274888,1966559.880047194,1946796.9010781278,1927621.9644509398,1909039.468208052,1891050.431346491,1873652.8981875835,1856842.3213838893,1840611.920342904,1824953.013081005,1809855.320533651,1795307.2431585444,1781296.1102999644,1767808.4032584873
E,0.0,238.21650358606115,347.4440628332526,400.6879144588925,429.90188328264765,449.0748998990628,464.3256887432001,478.32452095914425,492.2315443282441,506.54669613767334,521.4823372634844,537.1265460728222,553.514587648552,570.66010983691,588.5686829182118,607.2436055657815,626.6883300088023,646.9074153220222,667.9068453199731,689.6940769631047,712.2779787523556,735.6687280827609,759.877696896431,784.9173376690649,810.8010742496122,837.5431988486573,865.15877512321,893.6635467745307,923.0738508970097,953.4065352867599,984.6788789498682,1016.908515103898,1050.113356025953,1084.3115191597722,1119.5212539504357,1155.7608689276642,1193.048658607457,1231.4028298272974,1270.8414271728411,1311.3822571943463,1353.0428111495942,1395.8401860470688,1439.7910037991398,1484.91132833024,1531.216580519865,1578.7214508949276,1652.6339944396675,1749.4818217560314,1868.6810839450013,2011.3523371442745,2179.765455360682,2377.1200910370885,2607.5072287494922,2875.974706694473,3188.6612067910482,3552.9852132136766,3977.887133859408,4474.12930841381,5054.662695618177,5735.071990935975,6534.113381894986,7443.194286015004,8437.916875964796,9540.71946345863,10767.063736914486,12130.412703369408,13643.791308397784,15320.17094532866,17172.42071220105,19213.06989569553,21453.96150152625,23905.82405906607,26577.77458120934,29476.764784448464,32606.987056104925,35969.263055781405,39560.44471539843,43372.86361069158,47393.86912604823,51605.497477195924,55984.31161642503,60501.44579514018,65122.87808582839,69809.94007244914,74520.05641502455,79207.68976632034,83825.45048441079,88325.31759096886,92659.90894422322,96783.73549635359,100654.3769396359,104233.52347124394,107487.83972551221,110389.62069716566,112917.22417150333,115055.27836477064,116794.67601078397,118132.37622060977,119071.0426835954,119618.55110808127,119787.40043084993,119594.06165633618,119058.29572348627,118202.46807296835,117050.88310631765,115629.15693315156,113963.64204960356,112080.91314631836,110007.3192863322,107768.60432392116,105389.59469426237,102893.95158180196,100303.98293000602,97640.50972269173,94922.78037213358,92168.42681295835,89393.45594710976,86612.2703435838,83837.71250521095,81081.12752081994,78352.43948144895
I,587.4971844317881,369.13768074621953,274.8168521573076,235.21409264677902,219.91476795400365,215.56041986391813,216.27565894233678,219.47022623628237,223.99725694720195,229.34497862048835,235.28182263996865,241.7005145403735,248.54950561264565,255.8027544163111,263.4463551634908,271.4725731946402,279.87714241588844,288.65800375141004,297.8146840783853,307.34796321935266,317.2596734192037,327.55256226299736,338.23018806762735,349.2968335714083,360.75743118069306,372.6174963516064,384.8830671900349,397.56064905605,410.6571633050844,424.1798994835198,438.13647040751516,452.5347696293819,467.3829308528989,482.6892889055737,498.46234191579543,514.71071437802,531.4431208206723,548.6683298200505,566.3951281296721,584.63228471862,603.388514534863,622.6724418305375,642.4925629060433,662.8572081487649,683.7745032604857,705.2523295853049,727.2982834672589,754.454628284943,788.9503344994605,832.080820591083,884.8617290025053,948.3397916703,1023.7486363718763,1112.599762957567,1216.7514997343649,1338.4764487448765,1480.5378759911723,1646.281291382104,1839.745992406004,2065.8011538240153,2330.311457777636,2640.3379597327867,2998.7706008240602,3403.03354785214,3855.547279127961,4360.615764330589,4923.366647221677,5549.366252727548,6244.446899516227,7014.589622783271,7865.8077330689775,8804.011288560589,9834.844864138853,10963.496150001207,12194.476008599806,13531.373352620583,14976.591076588567,16531.072315806025,18194.029334677176,19962.69005007943,21832.07918985427,23794.851972452863,25841.197625451452,27958.827818459264,30133.0611403443,32347.0093009876,34581.86421255071,36817.27811913194,39031.82221522526,41203.50343917654,43310.31495447098,45330.79364769037,47244.55793634453,49032.80119481149,50678.71985217777,52167.86021385815,53488.37375301252,54631.17645146184,55590.013251589364,56361.433428522156,56944.68645445565,57341.55058462334,57556.10794402115,57594.48042428096,57464.54036273845,57175.608957167,56738.15386646938,56163.495647591226,55463.530747850484,54650.47684609276,53736.644519599984,52734.23757891611,51655.18300363977,50510.99024871488,49312.63877383643,48070.49196537077,46794.23514839459,45492.83509834617,44174.51832727185,42846.765408678715,41516.31868920232
A,65.27846065574418,61.152675674774606,62.05209737724172,65.07927708134565,68.98003317752902,73.21854386553298,77.57263819031536,81.95656448354612,86.34339754154506,90.73111742713863,95.12783085651571,99.54537949851279,103.99661820465394,108.49429468188201,113.0506239092127,117.67716025243406,122.38479378350885,127.1837953370313,132.08387778524238,137.0942597983275,142.2237265430276,147.48068531278625,152.87321558893544,158.40911365087567,164.09593208644063,169.94101462183434,175.95152668993498,182.13448212824343,188.49676636135763,195.04515638518416,201.7863378342223,208.72691938027384,215.87344468110598,223.23240207084962,230.810232160043,238.61333349198958,246.64806638324876,254.92075505939388,263.4376881824529,272.20511785351084,281.2292571626426,290.51627634851815,300.0722976215568,309.90338869729777,320.01555508060335,330.41473113634135,341.106769978231,352.6013280796368,365.30640070293856,379.5925193853524,395.8292086784373,414.4080367057842,435.7598179648296,460.369959917853,488.79415009607504,521.6757316008648,559.765759685752,603.9466332516871,655.2602330708055,714.9416155168748,784.4594793244734,865.5648301004815,959.7261490951093,1067.831137005189,1191.1601663984957,1331.2219278904377,1489.699025197551,1668.4282218921098,1869.3896269885488,2094.6955891472103,2346.575542359847,2627.3548798712904,2939.4265992149317,3285.214798319699,3667.1294029008986,4087.5118742664135,4548.572120277773,5052.317413429492,5600.474788672219,6194.409108988235,6835.039689750047,7522.758990684431,8257.35733800895,9037.957854915414,9862.965698686818,10730.035297822864,11636.058558663333,12577.176012174587,13548.811675983754,14545.73111710642,15562.120930698846,16591.68670901786,17627.765654262854,18663.449353028005,19691.711909840662,20705.538631107316,21698.0507287749,22662.622024094457,23592.98431247173,24483.318832804103,25328.33210427046,26123.3151939237,26864.18621487151,27547.5164954581,28170.54138549159,28731.157068348017,29227.90502920032,29659.94599818998,30027.02525637574,30329.431177786333,30567.94879992718,30743.8100844057,30858.642364474537,30914.416290941237,30913.39439360691,30858.08118148945,30751.175518711698,30595.525839264523,30394.088606329384,30149.8902824473,29865.992956355236
IH,0.0,117.49940467380239,132.3903285520115,120.94794505720425,107.32440336114351,97.47443745548593,91.6942520718452,88.95640088034202,88.23074328111106,88.77447457643183,90.1150194290191,91.9705281184822,94.1790691959641,96.64962475951764,99.33162234081337,102.19707498735008,105.23048680628168,108.42328127977126,111.77077197530278,115.27052850612597,118.9214955090033,122.72351342981096,126.67705226212844,130.7830579183767,135.04285839766519,139.45810206828827,144.03071358348922,148.76285982946203,153.65692187440177,158.7154707358844,163.9412457422203,169.33713476331667,174.9061558508302,180.6514399705108,186.5762145902934,192.6837879358802,198.97753375661358,205.4608764662258,212.1372765396309,219.01021606041934,226.08318432526391,233.35966342168598,240.84311370493617,248.53695910835603,256.4445722296696,264.56925914333556,272.9142438964657,281.48265265297056,291.18449594912465,302.9191255979425,317.3938706591539,335.1643990471218,356.71700722654293,382.54079543456004,413.18183573432333,449.2839611572714,491.6225844488416,541.1368316912085,598.9638739886828,666.4783474322769,745.3392183134254,837.5462672014016,945.5084143185891,1071.0042763157494,1214.4051660255382,1376.380244798917,1558.1238226708197,1761.256683509739,1987.6999059781851,2239.57743723295,2519.1440793010825,2828.7263085795903,3170.665674183225,3547.2581409648237,3960.6855772390973,4412.937619016985,4905.723702011598,5440.376403894989,6017.748520968986,6638.107547886005,7301.032390033795,8005.318115723005,8748.89521971642,9528.770087118064,10340.993006595625,11180.659123309051,12041.946154199795,12918.190601884813,13802.001766291305,14685.410292798528,15560.045568697078,16417.334235486367,17248.710628838795,18045.829225401518,18800.76921344924,19506.222072373545,20155.654428376336,20743.4402815544,21264.958777301203,21716.65582687335,22096.06989410034,22401.824020594813,22633.587568245355,22792.012168670924,22878.64697921341,22895.83858155364,22846.620773199837,22734.599158679863,22563.834916100594,22338.731463784825,22063.927042098076,21744.195508611178,21384.35696044876,20989.199174791735,20563.41031534787,20111.52289850873,19637.86864994198,19146.543607102023,18641.382628324274,18125.942345167558,17603.49153067146
IN,100.86009901176625,200.63778064490532,261.85722856262066,306.2269051206753,343.3215059259021,377.39146118499224,410.34823817125874,443.07411786053615,475.9972232978919,509.3441919866526,543.2513693260124,577.8138823329338,613.1074205123386,649.1980113213057,686.1465028872242,724.0107030112378,762.8464712410486,802.7083352543038,843.6498840475837,885.7240502827881,928.983332433471,973.4799801218228,1019.2661539327017,1066.3940655536562,1114.9161015934187,1164.884933238116,1216.3536132937993,1269.3756618182,1324.0051413233155,1380.2967223709425,1438.3057402572983,1498.0882433773545,1559.7010337680592,1623.2017002489745,1688.6486445070648,1756.1011004082118,1825.6191467606009,1897.2637137037248,1971.0965828508167,2047.1803812715666,2125.578569365604,2206.355422645095,2289.5760074166224,2375.3061503280337,2463.6124017250168,2554.5619927445355,2648.2227860579314,2744.663220165256,2844.7308039100417,2949.6466150521924,3060.8410212238387,3179.903402582788,3308.585782680207,3448.833168819997,3602.8291853894066,3773.0530557242864,3962.347551295172,4173.999326160899,4411.834111507757,4680.3300381218905,4984.753106249928,5331.31963659201,5727.391462072617,6180.747547509703,6698.641162060909,7288.663275624718,7959.062287933587,8718.878379482037,9578.010325962994,10547.251949100268,11638.308042426317,12863.790135805366,14237.189038342965,15772.819824542828,17485.734551538502,19391.598153738123,21506.5235873945,23846.863409757298,26428.95659976549,29268.831552028772,32381.86874198268,35782.42944109488,39483.45986317416,43496.08299522091,47829.19282288502,52489.06741348937,57479.01811806347,62799.09182351428,68445.8416599299,74412.17890313278,80687.315188449,87256.79984993093,94102.6525687642,101203.58692766028,108535.31627626729,116070.92980887752,123781.32414761704,131635.67412175538,139601.92584993743,147647.29559566805,155738.75904110065,163843.51743224196,171929.42929360035,179965.39889716066,187921.71522177343,195770.3376049566,203485.12655368907,211042.020162989,218419.15824298922,225596.9575578881,232558.1425382303,239287.73646391308,245773.0184637799,252003.45178047626,257970.58865120096,263667.9569005847,269090.9329729617,274236.6056852992,279103.6344913703,283692.1055392525,288003.3882993028
D,7153.0,7153.0,7153.55190762731,7154.173759561903,7154.741865362693,7155.245979889706,7155.70382804348,7156.134526030754,7156.552364029851,7156.966793535389,7157.383777006627,7157.80705716448,7158.239052850733,7158.68142229734,7159.135396215162,7159.601967770611,7160.081998672306,7160.576277842955,7161.085553920417,7161.610553529859,7162.15199188066,7162.710579225036,7163.287025065763,7163.882041113229,7164.496343520876,7165.1306546799005,7165.785704724071,7166.462232827464,7167.160988342253,7167.882731804758,7168.628235827646,7169.398285890512,7170.1936810375955,7171.015234489254,7171.863774172336,7172.740143173463,7173.645200118356,7174.579819479607,7175.544891814657,7176.541323935177,7177.570039008569,7178.631976591845,7179.728092597765,7180.8593591927565,7182.026764625841,7183.2313129875,7184.474023897214,7185.755932118163,7187.078087097467,7188.4458127018215,7189.8686571523085,7191.3594910724,7192.933795118879,7194.609334136511,7196.406170327671,7198.346930855274,7200.457267036799,7202.766472388676,7205.308251605838,7208.121650800968,7211.252172903663,7214.753113190659,7218.687160127975,7223.128317144872,7228.158942028644,7233.863136663799,7240.3281460593125,7247.646825029754,7255.919641389789,7265.256086471859,7275.775628021808,7287.608324838605,7300.8951634367395,7315.788128844436,7332.449990489363,7351.053766274642,7371.781819642575,7394.824543443026,7420.378589789754,7448.644616474543,7479.824537740983,7514.118289904953,7551.720149585659,7592.814672708588,7637.572353860795,7686.1451354007895,7738.661921044417,7795.224266603616,7855.90242871021,7920.731949064889,7989.7109364331545,8062.798181891944,8139.9122065103475,8220.931297489986,8305.69454219138,8394.003823051185,8485.626693580902,8580.30001931671,8677.73423985445,8777.618090127633,8879.623611124038,8983.411281725308,9088.635113088092,9194.947563325464,9302.004151335885,9409.467672580236,9517.011944671656,9624.325035303855,9731.11194809159,9837.096762449864,9942.024241133871,10045.66093322395,10147.79581113452,10248.240487806348,10346.829064896221,10443.417664881503,10537.883699967571,10630.124928951707,10720.05835016963,10807.618974708445,10892.758519544885
R,0.0,5.2082023595967595,69.61112875663258,142.12710279186638,209.62492738684452,270.99793668096953,328.11008271644295,382.9789715042992,437.11572647921116,491.52249377135087,546.8346293011817,603.4546450086417,661.6467728720525,721.5964069468214,783.4452293786463,847.3112182206957,913.299795647433,981.5099717866613,1052.037729480609,1124.9779119052268,1200.4253053058696,1278.4752901791646,1359.2242598413814,1442.7699115723617,1529.211465745733,1618.6498421605081,1711.1878090838316,1806.9301133620086,1905.9835962176946,2008.4572973810152,2114.462549146677,2224.113061366009,2337.5249980449316,2454.8170460093274,2576.1104759583523,2701.5291961230564,2831.199798666458,2965.2515988935793,3103.816667281575,3247.029854288483,3395.0288078530066,3547.9539834562283,3705.948646578781,3869.1588673534025,4037.73350718278,4211.8241970659565,4391.585307353267,4577.173908629728,4768.781571067131,4967.086924929681,5173.2520056026115,5388.8290211712265,5615.688092709613,5855.987010012196,6112.178146277427,6387.043769743076,6683.753332882285,7005.93956276778,7357.7928741394835,7744.175641693037,8170.759405592314,8644.18937545906,9172.281820069333,9764.221803308435,10430.217760072199,11180.821392505186,12027.09372349038,12980.884086844962,14055.060280004496,15263.676052710969,16622.089874478334,18147.047132077496,19856.731539935394,21770.786338763355,23910.30245657807,26297.768828356046,28956.97912723402,31912.889028375233,35191.418714910906,38819.1966201875,42823.24237175945,47230.58952263072,52067.85183100262,57360.74041657256,63133.54284073227,69408.57872966753,76205.64964791233,83541.50320229035,91429.33252515893,99878.33215192839,108893.3297915474,118474.51064725642,128617.2469694388,139312.04071572958,150544.5819334006,162295.9201724754,174542.7412750729,187257.73759999973,200410.05637846727,213965.8086028311,227888.61966896086,242140.20287578122,256680.93771068216,271470.436444136,286468.0847209832,301633.5443636281,316927.2092996062,332310.6082226438,347746.75015427114,363200.4113891541,378638.36431301327,394029.55024028086,409345.19971923024,424558.9047061991,439646.6476442935,454586.79283250717,469360.0455811123,483949.38456300634,498339.9725319839,512519.0502281657,526475.8178641915
G,887836.0,887836.0,887878.8793536338,887941.4198435409,888013.5443123423,888090.9273425003,888171.7615464743,888255.3409169595,888341.4400997498,888430.0425691054,888521.2217888016,888615.089447913,888711.7730897617,888811.4066054417,888914.126342681,889020.069651867,889129.374477154,889242.1793841026,889358.6237589144,889478.8480648873,889602.994107584,889731.2052889116,889863.6268427247,890000.4060498459,890141.6924325632,890287.637929479,890438.3970518169,890594.1270222827,890754.9878974737,890921.1426746907,891092.7573838646,891270.0011651755,891453.0463328107,891642.0684251963,891837.2462419276,892038.761867529,892246.8006820899,892461.5513587419,892683.2058478768,892911.9593479406,893148.010262587,893391.5601439243,893642.81362155,893901.9783170321,894169.2647434713,894444.886189751,894729.0585890734,895026.5353650653,895341.4449056796,895677.8105051283,896039.8571595302,896432.2184459742,896860.1038841333,897329.4593774814,897847.1394484834,898421.103592219,899060.646642846,899776.6727223179,900582.023191034,901491.870602789,902524.1927816172,903700.3436954624,905040.130633608,906558.969237192,908276.314079536,910214.4028627353,912397.8966517964,914853.8010228701,917611.4564237609,920702.5197606101,924160.9032313057,928022.6507938043,932325.7375585984,937109.7797131591,942415.6447651025,948284.9548585032,954759.4800374849,961880.423688856,969687.6088707282,978218.5815100645,987507.6540237778,997584.9201225126,1008475.277635758,1020197.5003913527,1032763.4018400793,1046177.1318030752,1060434.6433057631,1075523.3591618298,1091422.058331658,1108100.9909139338,1125522.2189056019,1143640.1685800154,1162402.3703844273,1181750.3543466763,1201620.6635491096,1221945.945440633,1242656.080524363,1263679.3099808611,1284943.3276257915,1306376.3067431836,1327907.8382572301,1349469.7629208392,1370996.886294199,1392427.5709382775,1413704.2052293213,1434773.5523749278,1455586.9865236096,1476100.625315551,1496275.369877977,1516076.8642118222,1535475.386253179,1554445.6827363872,1572966.7594470268,1591021.6376363672,1608597.0863662395,1625683.3394436303,1642273.8044521068,1658364.7702433208,1673955.1181544985,1689046.0411940233,1703640.7745045074
H,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1403397.6708901932,1313369.4313806097,1223341.1918710263,1133312.9523614428,1043284.7128518594,953256.473342276,863228.2338326925,773199.994323109,683171.7548135256,593143.5153039421,503115.2757943587,413087.03628477524,323058.7967751918,233030.55726560837,143002.31775602495,52974.078246441524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
