series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,686688.7796826103,686482.3456715237,686287.8130966524,686102.0879181925,685922.8938114891,685748.5538327461,685577.8318381398,685409.8167102002,685243.8375003895,685079.4010383144,684916.1459449498,684753.808667335,684592.1983484721,684431.1782056211,684270.6517119685,684110.552328911,683950.83586651,683791.4747917177,683632.4539817829,683473.7675511253,683315.4164764673,683157.4068162559,682999.7483730679,682842.4536866519,682685.5372741112,682529.0150551172,682372.903915902,682217.2213775518,682061.9853428703,681907.2139025839,681752.9251864968,681599.1372488126,681445.8679795202,681293.1350357512,681140.9557885111,680989.3472813105,680838.3261980581,680687.9088382114,680538.1110976525,680388.9484541125,680240.4359562414,680092.5882156179,679945.419401155,679798.9432354697,679653.1729928806,679508.1214987588,679363.8011300204,679220.2238165817,679077.4010436342,678935.3438546236,943870.3813439959,1208738.8201879272,1473540.36046413,1738273.8484337134,2002936.3659721264,2267522.690747215,2532024.9264460276,2796432.1844030926,3060730.2360847867,3324901.078592821,3588922.3694181014,3852766.6946018464,4116400.6378688794,4379783.618643554,4642866.46558461,4905589.690888863,5167881.430780469,5429655.021256309,5690806.187593378,5951209.844010645,6210716.529110456,6469148.545995872,6726295.9349391945,6791798.841091514,6780885.069947737,6768461.289114552,6754358.706929918,6738432.9194902275,6720562.491981424,6700649.899687043,6678623.168576248,6654437.246955603,6628074.592187258,6599544.770747276,6568883.086516654,6536148.3888289705,6501420.281422264,6464795.970786007,6426386.973870441,6386315.8664085725,6344713.206902796,6301714.726396351,6257458.835433153,6212084.46909601,6165729.268749763,6118528.084097626,6070611.7699669795,6022106.247431833,5973131.797182349,5923802.553441932,5874226.168430471,5824503.619814284,5774729.1363776615,5724990.2200365225,5675367.745126371,5625936.118536015,5576763.486673097,5527911.977415636,5479437.967123037,5431392.3644601535,5383820.904245331,5336764.445787702,5290259.2712513665,5244337.380495171,5199026.779606389,5154351.760992934,5110333.173438412,5066988.680972197,5024333.009775969,4982378.182650348,4941133.740810514
E,0.0,206.43401108655604,359.5996117934701,473.2652116388615,557.6224759066054,620.2213978687569,666.6582400101449,701.0828125668091,726.573183150193,745.4128322886361,759.2958662101987,769.4790858995896,776.8947480828913,782.2342218268999,786.0100779537023,788.602185845881,790.291944816683,791.287708139789,791.7436672201766,791.7738781282178,791.4626791221892,790.8724263299084,790.0492363067228,789.0272472152308,787.8317789725455,786.4816751107852,784.9910365769683,783.3705037982555,781.6282032663303,779.770445096109,777.802235850634,775.7276544368524,773.5501266108415,771.2726245044661,768.89781079471,766.4281420842874,763.8659423030513,761.2134541435265,758.4728744644055,755.6463780499598,752.7361329646175,749.7443098889361,746.6730871902241,743.5246530118509,740.301205317866,737.0049505727216,733.6381015463542,730.2028745953545,726.7014866685057,723.136152210003,719.5090800790825,783.207476446781,901.0400229791794,1063.3126046721563,1264.038080046749,1500.7332687245741,1774.0865715838393,2087.6407944956736,2447.568674402826,2862.580368244291,3343.9802296479597,3905.8788009773125,4565.561352463185,5344.013687749295,6266.607065192715,7363.945100068147,8672.874771853958,10237.659581294234,12111.303858430712,14357.00154024563,17049.658850571283,20277.407176731693,24142.980232109683,28764.78077840477,33914.42450421364,39542.14922783533,45720.94474135161,52484.78677324531,59837.87362172991,67759.65219731336,76208.13732489175,85122.83483259518,94427.86382122104,104035.4399270536,113849.63234664536,123770.18824092037,133696.18986894778,143529.33947956664,153176.72658658278,162553.00010154682,171581.92953176977,180197.3875475867,188343.8184661943,195976.27477839653,203060.10965088292,209570.41073428784,215491.25270005816,220814.83522357995,225540.56145839012,229674.1006258673,233226.4679049035,236213.1457142569,238653.2628581198,240568.84181924025,241984.11961144686,242924.94387967038,243418.24318267163,243491.56843894802,243172.70120207267,242489.32362004364,241468.74450696405,240137.67581751427,238522.0538864576,236646.90001406765,234536.215294714,232212.90496204395,229698.7279316701,227014.2676398913,224178.92068953387,221210.90021093911,218127.25122045958
I,451.1606964820122,391.65134210259885,344.74831458687396,307.5613356046786,277.89862926791176,254.09236847891572,234.8686923436449,219.25072094058794,206.48605197605355,195.9924552996011,187.31711698381724,180.1059879598086,174.0806797937883,169.02100633643948,164.75175588378187,161.132638858744,158.0506236343017,155.41407207938812,153.1482344908047,151.19177390578506,149.4940720820824,148.01313087868303,146.71392870424808,145.56712608085792,144.54804013824736,143.6358271946624,142.81282712127887,142.06403413888611,141.37666696070616,140.73981744680088,140.14416167584966,139.58172094443432,139.04566295298469,138.5301355413002,138.03012695253062,137.54134785083377,137.0601312834419,136.5833475294057,136.10833136525997,135.63281974035667,135.1548982204857,134.67295484954835,134.1856403121343,133.69183346760866,133.19061147849328,132.68122388002593,132.16307003959383,131.63567953875295,131.09869508026355,130.5518575807337,129.99499315822536,129.4280017652502,130.40360585182813,133.96575074038807,140.7973001111293,151.35308379387286,165.97071815192947,184.95914989031002,208.6682119681833,237.54383232020163,272.1738286526566,313.32897108858486,362.00351348676145,419.45887084618636,487.2736517223741,567.4028739299569,662.2488847706895,774.7462234150959,908.462322860307,1067.71544516486,1257.7104450073139,1484.6917128994496,1756.1108061121338,2080.8037026922475,2469.169255754863,2924.9720009669322,3450.33324692319,4048.776405876729,4724.143047866646,5479.864770881698,6318.446928920017,7241.096944727103,8247.4690061131,9335.514384266342,10501.431760629457,11739.710679250593,13043.257393727396,14403.588386242282,15811.074054942885,17255.214024842287,18724.926197089604,20208.83364665825,21695.53631881244,23173.857683366004,24633.059696245444,26063.022321326192,27454.386326027383,28798.66001791082,30088.29203889441,31316.713322906227,32478.35191837901,33568.624653433304,34583.90965207843,35521.5035605825,36379.56707111299,37157.061981306215,37853.68264013505,38469.78422993633,39006.30994173677,39464.71872981075,39846.91499045789,40155.18120419162,40392.114311892765,40560.56636393207,40663.589785296914,40704.3874369263,40686.26752077448,40612.603270330204,40486.79728610299,40312.25031372342,40092.334217746575
A,3472.2438393982807,3333.3540858223496,3236.63001953425,3170.9381119795926,3128.031938163773,3101.802373807984,3087.723615262498,3082.443361751333,3083.4793537807127,3088.994502993758,3097.6301690576365,3108.3824989932973,3120.5106816612415,3133.4688696960748,3146.8556606665716,3160.3766102538416,3173.8164199531184,3187.018308039345,3199.8687145257704,3212.2859669427394,3224.2118870249233,3235.605580629492,3246.4388479441695,3256.692795702512,3266.35534061068,3275.4193730743345,3283.881409694358,3291.7406071439696,3298.998042858977,3305.656192372684,3311.718551266148,3317.189363187501,3322.0734254138356,3326.3759508728276,3330.1024710685974,3333.2587684582913,3335.850829867662,3337.8848147874182,3339.367034059571,3340.3039356949657,3340.7020954717377,3340.568210632885,3339.9090954916333,3338.731678111836,3337.0429974916874,3334.850200868,3332.160540894165,3328.9813725417403,3325.320149643796,3321.1844210454788,3316.581826359352,3311.5200913442322,3317.957435560213,3345.0343317640354,3399.8064282789837,3487.9853562236585,3614.6139011566665,3784.655221859591,4003.5022506558976,4277.426908327039,4613.994944029512,5022.474250693586,5514.264443594605,6103.374614456312,6806.97522452085,7646.049389454595,8646.168306964859,9838.414964680418,11260.478953582478,12957.942348674856,14985.77108830161,17410.01673838427,20309.718487618633,23778.97329614236,27929.11241641159,32826.51097152118,38526.06399168009,45093.415100878025,52597.60761316804,61105.66765840606,70678.2953278781,81366.31683665584,93207.79699546284,106225.8209034077,120426.98211322198,135800.59756049392,152318.63213574284,169936.2748490175,188593.07450792968,208214.5207317565,228713.94694247053,249994.63410722528,271952.00458480604,294475.8113016194,317452.24583848874,340765.9076607092,364301.59416743304,387945.8865800222,411588.5195202449,435123.5323770964,458450.2083736553,481473.81289404293,504106.1464408793,526265.9298997823,547879.0409042768,568878.6203025088,589205.0672664823,608805.9406540681,627635.7829941306,645655.8820417292,662833.9833399613,679143.9656994374,694565.4900173801,709083.6304416294,722688.495563572,735374.8461116994,747141.7145203988,757992.0307676267,767932.2580074599,776972.0407637381,785123.8677920166
IH,0.0,25.909252881042494,36.16552093426664,38.88478406462947,38.18431871183767,36.111174063609624,33.64991321222298,31.24699023424911,29.081923817642494,27.20624712348237,25.613720792448042,24.27504776889378,23.154434020764736,22.21700173428897,21.431699075970975,20.772076189501462,20.216117448533183,19.74571278874307,19.346041916188042,19.004990602386563,18.71264302863491,18.46085915538066,18.242931156765934,18.053307715936068,17.88737418328379,17.741277660846237,17.61178774675793,17.49618539042705,17.39217384407351,17.297806981009643,17.211431288091163,17.131638659301508,17.057227756938627,16.987172202246917,16.920594239588485,16.856742812785292,16.794975219282136,16.734741683038393,16.67557232270919,16.617066097034467,16.558881391518213,16.50072797485406,16.44236010424695,16.383570598920198,16.324185733063448,16.264060825086865,16.203076420689186,16.14113498398848,16.07815802462438,16.014083599953672,15.948864140718747,15.882464556254876,15.814860581717193,15.835209143663441,16.050515053176575,16.556466260717272,17.4296826464006,18.729989462548932,20.506702050376617,22.80593709504149,25.67764171238281,29.181932996741544,33.39480190235747,38.41345113483089,44.36162056247229,51.39527099676148,59.70898448204636,69.54341489488016,81.19409352074898,95.02185936367462,111.46513659127892,131.05421066201632,154.42754586252846,182.3500236978458,215.73274765852904,255.65374358246663,302.89813609422197,358.00210213393945,421.4509549369411,493.7214352619702,575.2622158178267,666.4539638913227,767.56691889547,878.7238420764891,999.8718670705043,1130.7647912304476,1270.956225143993,1419.8032043859562,1576.4792090529045,1739.995029381179,1909.2255882599193,2082.9406964998225,2259.8377600773674,2438.574644570697,2617.8011844306784,2796.188157007349,2972.45288335276,3145.3809396695933,3313.843745332957,3476.8120255047584,3633.365325656737,3782.697884145792,3924.121252850665,4057.064101889998,4181.069660157387,4295.791236079758,4400.986239126951,4496.509087699728,4582.303347604015,4658.393400906537,4724.875900210442,4781.911220189024,4829.715077855157,4868.550456316156,4898.7199340830175,4920.558493501368,4934.426857478514,4940.705383187692,4939.788524539626,4932.079861575738,4917.987684188214
IN,33.60010149837087,66.13000274920705,93.19184369418669,115.89864171787379,135.1127104817231,151.5056659417502,165.60352126058228,177.82066497005295,188.48553393644468,197.8600689415926,206.15450619233226,213.5386624151722,220.15057775410543,226.10316270024472,231.4893331022988,236.38599648066736,240.85716272866202,244.95638494644658,248.72868577769697,252.212086876283,255.43883080663332,258.4363633886405,261.22812845955207,263.83421491865084,266.27188675997087,268.55601984855366,270.69946390777426,272.7133441486451,274.6073138795843,276.3897670567584,278.0680178980702,279.6484532583728,281.1366623518351,282.53754753587083,283.8554191839636,285.09407712987684,286.25688073106454,287.3468092501802,288.36651397174586,289.3183632419732,290.2044814323992,291.026782673887,291.7870000800193,292.4867110728099,293.12735933492195,293.71027383800117,294.2366853337712,294.7077406411652,295.12451501735154,295.4880228617338,295.7992269687938,296.0590465171265,296.2683639574594,296.5436723234897,297.07550183392027,298.0991702443796,299.87637354020734,302.68561631159986,306.81954121403294,312.5875236508056,320.32229547042624,330.3897682501086,343.2016018290454,359.2303910818243,379.02762184223377,403.2447810651854,432.6582046841818,468.1984158067686,510.98484856482787,562.3669657299018,623.972849889899,697.7663579068247,786.1138453568987,891.8612500030019,1018.4219210306226,1169.8749411731487,1350.449832916655,1564.3993878246456,1816.1033467782968,2110.088051237515,2450.991241265587,2843.4895255273286,3292.200480114134,3801.5688519392324,4375.745239166883,5018.464936407707,5732.933874933072,6521.727568244969,7386.707688631766,8328.959449420876,9348.751485399187,10445.518537972192,11617.866058467102,12863.594899354996,14179.743588556326,15562.645266482086,17007.996179419893,18510.93262600328,20066.113402037747,21667.805040702595,23309.967462546225,24986.338001336982,26690.512132864318,28416.019585588307,30156.39484152372,31905.241334477447,33656.28891602548,35403.444385580144,37140.83506983754,38862.84559056868,40564.14808085132,42239.72620172278,43884.8933774164,45495.30571141276,47066.970070955635,48596.2478376988,50079.854819718516,51514.85780789232,52898.6682399205,54229.033410048076,55504.02563352208
D,1082.0,1082.0,1082.455831107755,1083.0921045482012,1083.7762189947418,1084.4480098942017,1085.0833271899696,1085.6753426095502,1086.225082512815,1086.7367315985803,1087.2153812077024,1087.6660129096722,1088.0930928400007,1088.5004573965005,1088.8913293586536,1089.2683851995043,1089.6338360499517,1089.989505711805,1090.3368993697861,1090.6772614696822,1091.0116233271597,1091.3408418052043,1091.6656305560628,1091.9865852187104,1092.3042037657438,1092.6189029825152,1092.931031868912,1093.240882591162,1093.5486994782264,1093.8546864515295,1094.159013193566,1094.4618202959598,1094.7632235770031,1095.0633177194077,1095.3621793484222,1095.6598696466149,1095.9564365829435,1096.2519168190613,1096.5463373442071,1096.8397168808233,1097.1320670956839,1097.4233936454125,1097.7136970804856,1098.0029736279353,1098.2912158697852,1098.5784133316367,1098.864552993654,1099.1496197343968,1099.433596716441,1099.7164657214514,1099.9982074413135,1100.278801731009,1100.5582278281565,1100.8364645434742,1101.115059258599,1101.3974419305473,1101.688725989983,1101.9953728695748,1102.324896529873,1102.68567855454,1103.0869118752055,1103.5386681616578,1104.052076746051,1104.6396038976175,1105.3154260088872,1106.095896473846,1107.0001125629549,1108.0505949008418,1109.274098025156,1110.7025758652026,1112.3743307248876,1114.3353782673141,1116.6410636645858,1119.357964828105,1122.5661165136432,1126.3615828590348,1130.8593941110219,1136.1883935054354,1142.4868574381321,1149.901600600947,1158.5878251629283,1168.7086269587128,1180.4337990438808,1193.9378888963631,1209.3976037782852,1226.9887208542,1246.8826857540591,1269.2430906131092,1294.2222156546893,1321.9577998305363,1352.5701785576555,1386.1598933536259,1422.8058425607678,1462.5640075010072,1505.4667568269622,1551.5227052273399,1600.7170818831382,1653.0125493282803,1708.3504042878271,1766.6520879487894,1827.820933083713,1891.7440785668034,1958.2944872084456,2027.3330096955615,2098.7104450962975,2172.269556335096,2247.8470068628035,2325.2751921449812,2404.3839463760505,2485.0021108826977,2566.9589559543647,2650.085452325634,2734.215392262272,2819.186363219564,2904.8405794122646,2991.0255784312394,3077.594791336163,3164.4079955187767,3251.3316601358238,3338.2391941181854,3425.011106730287
R,0.0,139.9599538234659,287.1800816857369,436.05621224255754,584.2642169732046,731.0494971875751,876.365172570091,1020.447716716208,1163.615690425488,1306.180443428755,1448.411614594942,1590.5283567075346,1732.7017573639546,1875.0613946773576,2017.702751979437,2160.69409824969,2304.0823488475744,2447.8978365656662,2592.1580949056206,2736.8708109385366,2882.036108130022,3027.648301545785,3173.6972437935574,3320.1693564852208,3467.0484214474004,3614.3161890001193,3761.9528471708936,3909.937385225769,4058.247876830632,4206.861702000118,4355.75572231976,4504.9064203938915,4654.2900118052385,4803.882535861627,4953.659929890008,5103.598090695733,5253.672925943371,5403.860397564815,5554.136558808509,5704.477586171194,5854.859807170928,6005.259724705318,6155.6540385751,6306.019664628066,6456.33375188238,6606.573697914516,6756.717162740094,6906.742081371728,7056.626675203617,7206.349462345739,7355.889267009371,7505.225228028978,7654.336806592245,7803.681809744268,7954.12790910008,8106.8797205802275,8263.421325040292,8425.481685319231,8595.024360857413,8774.260370616437,8965.682431303801,9172.119195943074,9396.80902022009,9643.4939055653,9916.535462989988,10221.055945761382,10563.1085899887,10949.882673639493,11389.949845742665,11893.559357580198,12472.990780890977,13142.973510874579,13921.182650843279,14828.820520702988,15891.291718664981,17138.97704549498,18605.53235498988,20327.30097429387,22343.631204642606,24696.993227239956,27432.89918780054,30599.640942026326,34247.865419876674,38430.01208307,43199.641180818755,48610.68486985754,54716.655021472136,61569.84126390754,69220.53049474956,77716.27508263514,87101.2318016432,97415.58780233882,108695.08416391407,120970.64221716714,134268.09316279122,148608.00768531952,164005.61932283145,180470.83325963805,198008.31087644908,216617.61970602698,236293.43827929016,257025.8055879188,278800.40542632306,301598.87661468453,325399.1409680003,350175.74180159287,375900.1867035844,402541.28922397207,430065.5050031911,458437.2586738909,487619.25860825565,517572.797244903,548258.0353133548,579634.2687822372,611660.177793563,644294.0572147504,677494.0287481967,711218.2347913411,745425.014444323,780073.0622234938,815121.5701628072
G,217141.0,217141.0,217145.75687701962,217154.04316240738,217164.94865417967,217177.79799778975,217192.08981384788,217207.45167813153,217223.60679085928,217240.34928043163,217257.5258936911,217275.02241491864,217292.75358897043,217310.6556427762,217328.68073454365,217346.79283369496,217364.9646630157,217383.1754296006,217401.40914164708,217419.65336039863,217437.89827530278,217456.13601922095,217474.36016189225,217492.5653357237,217510.74695977086,217528.90103653847,217547.0240027444,217565.1126200359,217583.1638952485,217601.17502247714,217619.14334122135,217637.06630634732,217654.94146671187,217672.76645011175,217690.5389528309,217708.25673250947,217725.9176033954,217743.51943328712,217761.06014166155,217778.5376986181,217795.95012436993,217813.29548908907,217830.57191296673,217847.7775663904,217864.91067016922,217881.9694957602,217898.952365464,217915.85765257047,217932.68378144107,217949.42922752263,217966.09251728962,217982.67222811544,218000.71974667444,218021.48249093592,218045.98449652697,218075.11183684866,218109.69336515878,218150.57379759697,218198.6794874892,218255.0790270801,218321.04171752447,218398.09734718897,218488.10085490538,218593.30548550305,218716.448061525,218860.85003764534,219030.5380703286,219230.3878842185,219466.2951716879,219745.37700853474,220076.20665398825,220469.08343796202,220936.3375096559,221492.6663202359,222155.49568608866,222936.98874388612,223848.16195598367,224901.7136949161,226111.12523890898,227489.97460794172,229051.36621535028,230807.43700639906,232768.9299538453,234944.83950023196,237342.13726531112,239965.58432691885,242817.63162792925,245898.40465486274,249205.76381054,252735.42855330103,256481.1515888703,260434.92903704464,264587.23323976464,268927.2563645005,273443.15484932647,278122.2867622988,282951.43611402257,287917.0199463606,293005.2755576117,298202.42649288924,303494.8269336719,308869.0848851715,314312.16511533305,319811.4731788138,325354.9220962723,330930.98338400194,336528.7241678449,342137.8320907842,347748.62965403375,353352.0795315826,358939.78227958357,364503.9677335875,370037.48125505936,375533.76585870044,380986.84112722834,386391.27970268275,391742.182034411,397035.1499643608,402266.2596404076,407432.03416804643,412529.4163395321
H,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,6171718.004307997,5906641.685818833,5641565.367329669,5376489.048840505,5111412.730351341,4846336.411862177,4581260.093373013,4316183.774883849,4051107.4563946845,3786031.1379055204,3520954.8194163563,3255878.500927192,2990802.182438028,2725725.863948864,2460649.5454597,2195573.2269705357,1930496.9084813716,1665420.5899922075,1400344.2715030434,1135267.9530138792,870191.6345247151,605115.316035551,340038.99754638696,74962.67905722291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
