series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,1047580.4428865188,1045368.7365975467,1043522.0830362815,1041895.6614948941,1040406.4549620977,1039006.5648527981,1037668.2406935826,1036375.3592146559,1035118.5306435039,1033892.2719781542,1032693.3679323138,1031519.9180062412,1030370.7814122381,1029245.2533286774,1028142.875947224,1027063.3282057961,1026006.3615291954,1024971.7625111698,1023959.3313954662,1022968.8698338901,1022000.1740977386,1021053.0314971051,1020127.2186868355,1019222.5010800412,1018338.6329085617,1017475.3576571867,1016632.408708974,1015809.5101043404,1015006.3773553505,1014222.7182797125,1013458.2338328118,1012712.6189244596,1011985.5632121224,1011276.7518655483,1010585.8662996874,1009912.5848740847,1009256.5835577683,1008617.5365592361,1007995.1169215508,1007388.99708285,1006798.849402799,1006224.3466556831,1005665.1624909627,1005120.9718622179,1226871.3217043686,1448505.1948196383,1670028.4397257047,1891440.0068218189,2112731.569807507,2333887.689030003,2554885.8852870977,2775696.3096992075,2996280.8697129856,3216591.7423721836,3436569.212051468,3656138.739141447,3875207.11581252,4093657.503480669,4311343.0772813065,4528078.927092375,4743631.78467142,4957707.06820026,5169932.671877641,5379838.903399104,5443345.047160652,5424934.140019614,5403026.64344315,5376978.475459293,5346149.872668867,5309895.28327954,5267578.802940858,5218603.061486604,5162445.86554715,5098700.211543353,5027113.054540559,4947617.953798041,4860357.096758945,4765689.426002814,4664183.480392002,4556595.687635554,4443836.723122358,4326929.807278499,4206965.296033777,4085055.6871744352,3962294.4219767763,3839720.8560486054,3718292.7279419047,3598866.525653883,3482185.424589901,3368873.971451893,3259438.4020682187,3154271.3705917033,3053659.8879313064,2957795.3750367095,2866784.894154383,2780662.799039013,2699402.222288308,2622925.9808345484,2551116.6215454177,2483825.4447436,2420880.4342632485,2362093.0904077194,2307264.209914507,2256188.6882458995,2208659.437661843,2164470.5227597146,2123419.61622012,2085309.8736361905,2049951.3193153532,2017161.8261914195,1986767.7634711217,1958604.3760638814,1932515.950671494,1908355.8149301219,1885986.208352494,1865278.0570713081,1846110.6785296858,1828371.4372545774,1811955.3686140357,1796764.783917506,1782708.8672846605
E,0.0,2211.7062889721024,3467.220611934623,4166.932236283816,4542.411706631767,4728.217554515572,4802.795737313737,4811.998172582901,4782.688096556626,4730.642037389051,4665.152097188739,4591.712022066925,4513.587491587136,4432.735376704236,4350.342507583402,4267.141755185015,4183.597623697371,4100.015296863484,4016.6047396912772,3933.5183902165695,3850.8733237325896,3768.7642851489454,3687.2713514445445,3606.4644385608244,3526.405956756128,3447.152382483422,3368.75519904432,3291.2614720556903,3214.714215907969,3139.152642571064,3064.612345861892,2991.1254517466723,2918.7207519895637,2847.4238306837506,2777.2571886687974,2708.2403682222284,2640.3900789280938,2573.7203248055325,2508.2425323502684,2443.9656789383653,2380.896420967695,2319.0392211113895,2258.396474095396,2198.9686304694683,2140.754317906056,2214.5761057982745,2379.29520296246,2611.6664082410202,2901.9341385137755,3250.063610427585,3663.0688868764955,4153.4590072184665,4738.643300313219,5441.108376730736,6289.223351977904,7318.598900495594,8573.995986334852,10111.84273120311,12003.471572357317,14339.234651905397,17233.69314134354,20832.102169006037,25318.41742460347,30925.013891628805,37944.20108639326,46213.47855442453,55769.15398348135,66911.4841664701,79856.15545067051,94766.99447754523,111754.39327813486,130860.70439762491,152041.78370392823,175150.0960059544,199923.58029919796,225983.61438477252,252844.1450593861,279932.27504875616,306618.633323876,332254.17669882346,356209.0889217408,377909.34439138684,396867.20610724966,412703.15631882765,425158.1703257852,434096.54056016577,439500.448083847,441458.08711399476,440147.3921333062,435817.3684513961,428768.7787448702,419335.58028172393,407868.11432361184,394718.6737690589,380229.7502688462,364725.00366718386,348502.80798432505,331832.104255805,314950.2217049953,298062.30334835575,281341.9785865819,264932.9531260362,248951.22694281623,233487.69710929974,218610.94916161732,204370.08493060523,190797.47435126416,177911.35269207376,165718.21263098464,154214.96287309332,143390.84208402503,133229.08948882835,123708.38229752916,114804.05588692136,106489.12605506506,98735.13424899585,91512.83693506548,84792.75963318028,78545.63488630649,72742.74182758303,67356.1632202542
I,1928.1080013962223,1728.9079423241164,1622.1973845314374,1567.3321394725524,1540.8850126899529,1529.3782339944116,1525.1013852414526,1523.6911606333667,1522.7258311819878,1520.9072725049587,1517.584417930752,1512.475579840479,1505.5067914587553,1496.717905115765,1486.208279762131,1474.1055967145535,1460.548173951361,1445.6751417671799,1429.6211788501332,1412.513876339045,1394.4725996853037,1375.6081887275432,1356.0231124749412,1335.8118570292681,1315.0614199622637,1293.8518399508002,1272.2567228000496,1250.343743704792,1228.175116330423,1205.8080253461355,1183.295022360927,1160.6843869450809,1138.020455239957,1115.343918963206,1092.6920976365482,1070.0991867338753,1047.59648424635,1025.212597932591,1002.9736352904094,980.9033780648749,959.0234429021042,937.3534295715793,915.9110580124651,894.7122953105746,873.7714735810462,853.1013996159205,836.9670025580388,827.8550366851481,827.2395671490797,836.1251837955467,855.4115576165996,886.1334600556171,929.6254639168195,987.6502932985261,1062.519667777014,1157.2288420172727,1275.6214326323561,1422.5992748874637,1604.3924294695382,1828.9065438396715,2106.1681303900828,2448.892562202691,2873.2042320433497,3399.542628456219,4053.790787727194,4868.661557207302,5868.204706191589,7075.165807214162,8519.70277749393,10235.870435659343,12259.531779185774,14626.43385057478,17370.007543431835,20518.794618564116,24093.59125619339,28104.524693258787,32548.36570775218,37406.41561101575,42643.280887518886,48206.76186389814,54028.94941353547,60028.47308597504,66113.70577293591,72186.62887075564,78147.01115151477,83896.55495845589,89342.70586205316,94401.89222887401,99002.04399012146,103084.32210489802,106604.06234507661,109530.99363403517,111848.83029487659,113554.35986060013,114656.15588556093,115173.04161864863,115132.41878880699,114568.55920995747,113520.93804962165,112032.66845340023,110149.07921891424,107916.46128359225,105380.99541075168,102587.86277330405,99580.53205231245,96400.21094403829,93085.44627536065,89671.85490258742,86191.96685605853,82675.16246384052,79147.68615473014,75632.72106309888,72150.51024235743,68718.51209054388,65351.57939018808,62062.15308754557,58860.46353273434,55754.73334255673,52751.377318166196,49855.19594823157,47069.559960939325
A,13922.119385381464,11652.529592129296,10272.159128534902,9411.56727540597,8855.536831418241,8478.29990829187,8206.180901461754,7995.931150628486,7822.116807092008,7669.756789752891,7530.016006439104,7397.681119972622,7269.678409471899,7144.2018985507675,7020.199425441372,6897.068977672596,6774.478735092938,6652.260020047137,6530.3432990528845,6408.719666309114,6287.417454862186,6166.487864001118,6045.99598921451,5926.015113318645,5806.622986306274,5687.899335038626,5569.924147929377,5452.7764600922,5336.533471633153,5221.269895710756,5107.057471286362,4993.964598565613,4882.05606915602,4771.39287159029,4662.032058258332,4554.026663240809,4447.425662810658,4342.273971923102,4238.612471123141,4136.47805912614,4035.9037269713367,3936.9186501698705,3839.548295705369,3743.814541119351,3649.735803240289,3557.3271744038684,3497.3137651243956,3485.75394286202,3530.6310881329146,3636.336864024481,3806.5388369572047,4045.953337202504,4361.464513662686,4762.921348555079,5263.84629389004,5882.217423456764,6641.4421355215145,7571.620224061276,8711.19191454037,10109.077205541984,11827.432600812552,13945.176706205446,16562.463512248738,19806.306105793858,23837.565213935755,28859.5018404235,35004.09197678591,42390.32058413639,51188.26524274277,61590.91288395278,73798.25028674326,88003.57841676111,104378.6291031743,123056.77491018148,144115.0099434308,167556.254109358,193294.06430671774,221141.98144947004,250809.44722102804,281905.51634922595,313950.60340870294,346395.4467753134,378645.5649266727,410088.8856983892,440124.01994239225,468186.80745251913,493773.1983559716,516457.12995165616,535902.7013204325,551870.5429304794,564218.7649478399,572899.2168406607,577949.9988659482,579485.2478074781,577683.1996438341,572773.4390867619,565024.1076516901,554729.6819006607,542199.77047567,527749.225933315,511689.7337049169,494322.9301283634,475935.0156382209,456792.7668148184,437140.8096017209,417199.9923580796,397166.6880106383,377212.8559960384,357486.7038421761,338113.80247250816,319198.5264595036,300825.7088107403,283062.41818817414,265959.7838606806,249554.8096072746,233872.1319059966,218925.68993145585,204720.28514826408,191253.01672638804,178514.58577412085,166490.46667270258
IH,0.0,77.1255314068805,108.63340834951279,120.49194033191176,124.36697821093829,125.29247955258998,125.30591065175153,125.1417086010782,125.00125339888413,124.89074889170348,124.76144467132231,124.56234520709984,124.25608121699432,123.82056685509136,123.24609179951348,122.5316603304361,121.68187013057366,120.70460728819889,119.6094735253372,118.40677062854886,117.10687519965867,115.71987310134142,114.25536035420565,112.72234741919932,111.12922572255191,109.48377029727503,107.79316232092991,106.06402169263657,104.30244379808875,102.51403709092867,100.70395963003217,98.87695361847622,97.0373775230824,95.18923565911244,93.3362052933229,91.48166140570041,89.62869928961138,87.78015518223026,85.93862511417487,84.10648215651035,82.28589222890405,80.47882861713889,78.68708533275694,76.91228943301064,75.15591240587672,73.41928071275342,71.7035855706167,70.180036538276,69.03573741059915,68.42541910190315,68.46846345371269,69.26196238486136,70.89700302214231,73.47359123673581,77.11342419908209,81.97126173864334,88.2461283403233,96.19363996276715,106.14070780862866,118.50386475657604,133.81254025179658,152.73878475384834,176.1352041131661,205.08318275018712,240.95380986568574,285.48420275700846,340.8720236198297,409.20413181837046,492.4585046016908,592.8538873389956,712.8881388849511,855.2743080927306,1022.8309485947116,1218.3379682775967,1444.3599261697418,1703.04132884788,1995.884918413102,2323.5306888851437,2685.55825611041,3080.3366874112585,3504.9431849442553,3955.1653333860145,4425.592176979905,4909.789025151076,5400.541534102746,5890.147795240155,6370.733688405541,6834.566681210445,7274.346029170514,7683.45206433929,8056.142971053827,8387.693255804985,8674.473355472488,8913.974073751375,9104.782600549235,9246.51874938165,9339.740867022709,9385.830824582961,9386.866814358327,9345.491571747501,9264.782309830047,9148.127252622713,8999.112298469303,8821.420116493235,8618.742922820442,8394.709319373767,8152.8249069100275,7896.425892706657,7628.644580859824,7352.385434491791,7070.310308316915,6784.831442193172,6498.110859175634,6212.0649060303385,5928.372794376339,5648.488134098938,5373.652587913852,5104.9109100640635,4843.126758380873,4588.998784376354,4343.076609059533
IN,122.07452766522535,221.39802231091437,289.59861791020376,338.33248862395243,374.51013685105676,402.27090576569464,424.1293694006463,441.64328995141983,455.8038549401604,467.26419703272677,476.4735362413685,483.75615037210247,489.35804704627697,493.474702371091,496.26768474161054,497.87474177162255,498.4160329505657,497.9980809829434,496.71636470657774,494.65709549325726,491.8984956917935,488.5117667485374,484.5618579100416,480.10810146240067,475.2047541415717,469.90146894161205,464.2437125248558,458.27313814351123,452.0279208595784,445.5430599888032,438.8506525631668,431.98014089610695,424.9585368663969,417.81062520754267,410.5591478410814,403.2249710912676,395.8272374469832,388.38350338431917,380.90986462481453,373.42107007701594,365.9306255913961,358.450888549957,350.99315421158326,343.56773464203917,336.18403097308766,328.850599658195,321.5752133222878,314.63422196420004,308.4099163907904,303.30666752047784,299.71708736722377,298.01757780820594,298.57990529814356,301.7910461317704,308.0774593785582,317.93248709190294,331.94716606271385,350.84573288790074,375.52779864036637,407.11975841483286,447.03861220520287,497.07208343137506,559.4797673560245,637.1210239789439,733.6164020310712,853.5504241856853,1002.7243478364321,1187.3809157392457,1414.0395036112088,1689.9138626850902,2023.0294339009747,2422.186554712644,2896.808700132545,3456.6797059618743,4111.56706210329,4870.734562095884,5742.360692964735,6732.895264775936,7846.40216405476,9083.947016891741,10443.091924582119,11917.553801183189,13497.068722791339,15167.484455442496,16911.080454067658,18707.09280059127,20532.40381785807,22362.34436139462,24171.55169523618,25934.826956500274,27627.94231197459,29228.35743887187,30715.816298752983,32072.806874641683,33284.87747333939,34340.81258255025,35232.67868386911,35955.75571780361,36508.37315784437,36891.6711094564,37109.30682425415,37167.12585924142,37072.81515834718,36835.552897628084,36465.66727711219,35974.31376760338,35373.177782209015,34674.20744304375,33889.37911457487,33030.496703520315,32109.024382335236,31135.951361938056,30121.6865902125,29075.9807499549,28007.87263454465,26925.656853154298,25836.869823507837,24748.291116309338,23665.957392988006,22595.186403275944,21540.608761645195
D,1501.0,1501.0,1501.8820330839692,1503.1244006688758,1504.5023863473627,1505.9246882405791,1507.3575744732186,1508.7906143083499,1510.2217762745252,1511.651331948557,1513.079623856499,1514.5064369986135,1515.9309731734093,1517.3520068119271,1518.76805976417,1520.177542829688,1521.5788554206504,1522.970449529846,1524.3508673379781,1525.7187608342176,1527.072899822374,1528.4121727765066,1529.7355835159365,1531.0422456032493,1532.3313756476425,1533.6022862254388,1534.85437883081,1536.0871370842492,1537.3001203136055,1538.492957555574,1539.6653419869815,1540.817025773921,1541.9478153158884,1543.057566857248,1544.1461824370376,1545.2136061487336,1546.2598206831997,1547.2848441300982,1548.288727015238,1549.2715495534924,1550.2334190989602,1551.174467775914,1552.0948502757756,1552.994741806875,1553.8743361851082,1554.7338440547935,1555.573491230101,1556.3935171483515,1557.1961192560034,1557.9856347803907,1558.7681705027564,1559.5511984945651,1560.3433012025748,1561.1541027760497,1561.994371064471,1562.8762656864076,1563.8137161450209,1564.8229280533023,1565.923030332883,1567.136890570023,1568.4921399587383,1570.0224644232712,1571.7692356791788,1573.7835761244962,1576.1289752271236,1578.8846026845054,1582.149494441994,1586.047819636618,1590.7276134192575,1596.3595317427653,1603.1396048658153,1611.29242938703,1621.0736292289716,1632.771062225688,1646.7043781571847,1663.2225559486617,1682.6990998117574,1705.5246998137618,1732.0973652052326,1762.810297584518,1798.0380466644858,1838.121736075245,1883.3543148721444,1933.966850631,1990.1168216781455,2051.8792007183415,2119.2408788824996,2192.098696259294,2270.2610611397163,2353.4528880863486,2441.323386949893,2533.4561022782095,2629.380536312581,2728.5846824100863,2830.527837929023,2934.653142864231,3040.3993892721796,3147.211754647702,3254.5512200206613,3361.9025333153118,3468.7806656519283,3574.7357801772528,3679.356788888429,3782.273613301982,3883.158291156457,3981.725085595097,4077.72975765278,4170.968159574003,4261.274297573032,4348.517999929684,4432.602311324606,4513.460718289274,4591.054294527957,4665.3688393555985,4736.41206806253,4804.210899958504,4868.808878316656,4930.263746475578,4988.645195928904,5044.032795246855,5096.5141030094
R,0.0,2292.340826271705,4269.970580335535,6050.302825280529,7705.076786714645,9277.796177802833,10794.63322883655,12271.189489600109,13716.656538013576,15136.360445287586,16533.309742320045,17909.133140262602,19264.64559476906,20600.189015875378,21915.83680464548,23211.51632066169,24487.081980522773,25742.358693313145,26977.167482331326,28191.34040725085,29384.72905422929,30557.209153352644,31708.682859212124,32839.07961752702,33948.35617386365,35036.496060838006,36103.50876853754,37149.4287238484,38174.31415676855,39178.24590298613,40161.326174460744,41123.677318956485,42065.44058274864,42986.77488645255,43887.85562113951,44768.87347003476,45630.033259788885,46471.55284436807,47293.66202389317,48096.601500195655,48880.621870402574,49645.982659483,50392.951392366005,51121.802705962866,51832.817501186095,52526.28213484832,53202.487651141884,53866.73593124081,54527.079821022446,55193.034064613865,55874.97846327977,56584.02078966368,57332.15411051825,58132.6064588911,59000.33124893288,59952.623825638475,61009.87604889937,62196.50069361553,63542.07424976928,65082.76325570473,66863.11770561039,68938.3368505941,71377.13884607545,74265.396570808,77710.73705024182,81848.33928477645,86848.20051056551,92903.96160176466,100230.8187246668,109073.85212760937,119712.00502350049,132459.50904231676,147665.04131043283,165708.37467155582,186994.1730802631,211942.6950537521,240977.42394208442,274509.9917205433,312923.1408762793,356552.8039366856,405670.6024635462,460468.1280842556,521044.252430795,587396.4420924415,659416.6782797566,736892.1616697778,819510.5818571514,906869.3957988019,998488.3196667663,1093824.1036384818,1192286.6237100905,1293255.3723409963,1396095.5388797931,1500173.0183814247,1604867.8526216326,1709585.7725996706,1813767.66483278,1916896.9159880683,2018504.6975181461,2118173.332792884,2215537.9449126767,2310286.616648322,2402159.3083340744,2490945.7789153303,2576482.7435174924,2658650.481321065,2737369.0831819205,2812594.5017638607,2884314.539848495,2952544.8863472715,3017325.285314718,3078715.9015371054,3136793.9273426044,3191650.4592224667,3243387.6595840696,3292116.208285017,3337953.040267395,3381019.359334647,3421438.9135938804,3459336.515035734,3494836.783873804
G,259563.0,259563.0,259634.90939710187,259747.6394395431,259883.11926630378,260030.80708942976,260184.53603409432,260340.68974564076,260497.14265675787,260652.6426068482,260806.45037893328,260958.12887095098,261107.4195994797,261254.17025841886,261398.29216558178,261539.7352262932,261678.47317377455,261814.49484371187,261947.7989942566,262078.39121017055,262206.2820324465,262331.4858085564,262454.0199664215,262573.90453751275,262691.1618264843,262805.81616714026,262917.89372950856,263027.42235749814,263134.43142526643,263238.95170550136,263341.0152457931,263440.65525099664,263537.9059704812,263632.8025897253,263725.38112602505,263815.6783282484,263903.7315806431,263989.578810737,264073.2584013718,264154.80910689983,264234.26997355575,264311.68026399415,264387.0793859649,264460.5068250778,264532.00208159146,264601.60461114586,264673.6073148494,264750.9655447488,264835.87887966324,264930.2297142973,265035.8993124414,265154.9969867173,265290.0387572207,265444.1066750565,265621.01390043605,265825.4959610671,266063.44619758317,266342.2132676979,266670.9804815071,267061.250386784,267527.46315828175,268087.7837079911,268765.0996404036,269588.27952719707,270593.7471679059,271827.4302465494,273329.97305587196,275143.2003635977,277318.69921242446,279915.06927383936,282996.23672903655,286629.716944825,290884.4022999639,295827.74991124304,301522.4200710747,308022.5526598564,315369.97738181666,323590.7208515141,332692.183025076,342661.3010641462,353463.9097333524,365045.3665272699,377332.365596651,390235.7432571341,403653.9965310419,417477.20074830117,431591.01896699105,445880.5348965206,460233.69971247914,474544.2497896201,488714.01743377914,502654.6136736057,516288.50751917256,529549.5586561728,542383.080899658,554745.5235252255,566603.8589888691,577934.7608068071,588723.6465983138,598963.6502881481,608654.575633635,617801.8716197619,626415.6595475266,634509.8322351427,642101.2378451683,649208.9544676064,655853.6566445153,662057.0713644391,667841.5185007764,673229.5290239234,678243.5333967392,682905.6121978908,687237.3010615256,691259.4423520839,694992.0765109864,698454.3666399722,701664.5505653959,704639.9153160834,707396.7896145504,709950.5506079608,712315.6416394598
H,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4524388.2956851125,4302108.425406229,4079828.5551273446,3857548.6848484604,3635268.814569576,3412988.944290692,3190709.074011808,2968429.2037329236,2746149.3334540394,2523869.463175155,2301589.592896271,2079309.7226173868,1857029.8523385026,1634749.9820596185,1412470.1117807343,1190190.24150185,967910.3712229659,745630.5009440817,523350.6306651975,301070.7603863133,78790.89010742912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
