series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,276663.6668369951,276654.70653520484,276649.15243207937,276643.92866900336,276638.16299686005,276631.53026530467,276623.82801467995,276614.8655664658,276604.4325988495,276592.2874939984,276578.1501596761,276561.6953425029,276542.5453255072,276520.2616259249,276494.33548389835,276464.1769682255,276429.1025268683,276388.32080557,276340.91655645205,276285.8324643013,276221.84873548074,276147.56032779464,276061.3517552008,275961.3694863607,275845.492079486,275711.2983679453,275556.0342426905,275376.5788797893,275169.41164359456,274930.58136354876,274655.6802326317,274339.82519250375,273977.65032011695,273563.3143533123,273090.52799821674,272552.6059254967,271942.54823307693,271253.1554622505,270477.17984699365,269607.51325084775,268637.409203895,267560.7327494847,266372.2277867594,265067.7877695039,263644.7126320736,262101.93330137752,260440.18561758136,258662.1181336427,256772.32292293434,254777.2846427406,252685.24984732844,250506.02498072563,248250.7167611025,245931.43220306953,269939.1489114779,293545.765362535,316749.78426303575,339508.6531773695,361755.6656652332,383407.5416491133,404367.57865580963,424527.20388247445,443767.3903100389,461960.67292733974,478974.13125051634,494673.4837980748,508928.26057406026,521617.8427659343,532637.988699242,541907.3269129059,549373.22138441,555016.4224695741,558854.0147807164,560940.3450164039,561365.8281260636,560253.7516367787,557755.390465703,554043.8827207965,549307.3885040418,543742.0589334783,537545.2917274255,530909.6588998816,524017.77954934404,517038.29335564515,483744.7900595682,452942.986970846,424445.09363695676,398233.0111724618,374288.99242791196,352557.2223947335,332943.1453958014,315322.9095591224,299554.19691175775,285485.67952038103,272964.3919122395,261841.05343624196,251973.63559280935,243229.53555812567,235486.70083260967,228634.00098844044,222571.084671731,217207.9047399577,212464.046628616,208267.95622222702,204556.1333492474,201272.33441251866,198366.81123088906,195795.60155914354,193519.87879410252,191505.3630972544,189721.79280895245,188142.45301917545,186743.7570685943,185504.87627291313,184407.4130748645,183435.11298031846,182573.61092469204,181810.2080747985,181133.67545526742,180534.08117022907,180002.63835392275
E,0.0,8.960301790283342,12.722344557695266,15.401638722177408,18.086983121074294,21.102318052250045,24.58410506649563,28.629732267315834,33.3367534301571,38.81450759521503,45.188940398468986,52.60596949195844,61.23479258928865,71.2715336537256,82.94336894954981,96.51321083245571,112.2850100232061,130.6097293168492,151.8920325714104,176.59771820787276,205.2619033868791,238.49793039561234,277.00691691028527,321.58780236834,373.1476487693475,432.71183055618025,501.4335896997925,580.6022346610513,671.6490239235544,776.1494991846641,895.8207302648023,1032.511624339797,1188.1841718586563,1364.8833042915655,1564.6929985287925,1789.6764715430616,2041.798869654268,2322.831866549844,2634.2411084967343,2977.0594829432907,3351.751633307395,3758.0777610562304,4194.967171570298,4660.413754511727,5151.40614103966,5663.904243527814,6192.8710786184165,6732.364346833376,7275.686688175071,7815.587630733823,8344.5048999992,8854.828786602171,9339.171248904871,9790.621557156866,10202.972393168602,10933.953319329195,11921.335610814076,13156.391430168964,14656.292512122913,16451.349881669696,18579.23475449088,21081.954432779337,24003.568974510436,27387.764418159008,31274.945067202054,35698.79536205462,40682.45136950972,46234.57075958516,52345.70253021178,58985.4156663569,66100.62991743274,73615.49470463356,81432.99530841601,89438.25786689675,97503.3150397092,105492.92037690371,113270.88932845012,120706.41106351804,127679.81492342058,134087.37336515135,139844.85775402526,144889.71088661544,149181.83991568143,152703.14998209523,155456.02328175315,155166.62171412466,152631.190705189,148317.03502864615,142597.6467674667,135809.88744715182,128261.98695665356,120229.82540200185,111952.57296896612,103630.5757665496,95425.7482213812,87463.93705310249,79838.5674859146,72614.95402341535,65834.79794424828,59520.53819956783,53679.34687636373,48306.65743286427,43389.18405763312,38907.43765249547,34837.77299497599,31154.01733270952,27828.737047797214,24834.199309983283,22143.082213027647,19728.981467270245,17566.755462118137,15632.744159471526,13904.891278158353,12362.79381820786,10987.698252614902,9762.458696637965,8671.4690129368,7700.578060243004,6836.995067725452,6069.190339218707,5386.795087681271
I,8.262235599685837,4.957342117800865,4.5872600477252075,5.042378469862099,5.797722514504238,6.734291002387308,7.838992468650924,9.128535112320199,10.630473712973895,12.378900820467546,14.413952995077377,16.782382391127598,19.53850548286895,22.74536774828389,26.476098793333655,30.8154681158745,35.86166164642204,41.72830208203068,48.54673635446565,56.4686121292806,65.66876173549706,76.34840567548301,88.73867788081245,103.1044599133526,119.74848983326405,139.01568166433947,161.29755125221448,187.0365916949604,216.7303744149711,250.93506883837836,290.2679741774102,335.4085425837115,387.09724870225193,446.131535668767,513.35795710249,589.6595610928731,675.9375556296902,773.0863919270648,881.961642059267,1003.3404656774005,1137.8750783841283,1286.0404454161026,1448.078382222981,1623.9412530652335,1813.2393766339544,2015.1968977166966,2228.6210873420832,2451.889651013465,2682.9595979779656,2919.39960879686,3158.4458066401185,3397.0786557442825,3632.1166866878366,3860.3211700311813,4078.5049364583547,4283.638366813263,4538.2950105543505,4868.817832628848,5289.441603680065,5811.798099651134,6448.322371673932,7213.256270391075,8122.706221889419,9194.266893734268,10446.358575004435,11897.306215462973,13564.167985923577,15461.343282462154,17599.030124648467,19981.646144787508,22606.36433996167,25461.934063055236,28527.95182058159,31774.71286505912,35163.71705013469,38648.83016319839,42178.02731146091,45695.58033547038,49144.50638489366,52469.07502573952,55617.177034759276,58542.38571897983,61205.58476174125,63576.087656955686,65632.22542351217,67361.4254660175,68346.85336798689,68481.73261796466,67786.11215854764,66339.2499320679,64249.33578578616,61636.765017995705,58623.433237803125,55325.52845529376,51848.82578679864,48285.93490861356,44715.074044547626,41199.99067641833,37790.68990981209,34524.68104282413,31428.508668960523,28519.390522418318,25806.835267776416,23294.15665859595,20979.834909646153,18858.702009603563,16922.946055774264,15162.94185460344,13567.922379629123,12126.50947086314,10827.123459129927,9658.291051955082,8608.86946594342,7668.202899424608,6826.225330424129,6073.521509972878,5401.356028572149,4801.678535000075,4267.111612356672,3790.9264710755338,3367.010491489728
A,0.9180261777428709,0.7344211256537962,0.7667430830963401,0.8678415108578741,1.0023061565603804,1.1635847879719061,1.3529144239547652,1.5740139108618354,1.8318060885886935,2.1321803055445168,2.482034822437493,2.889407161932317,3.3636456968077635,3.915613081427147,4.557921920717245,5.30520582642561,6.174429937988569,7.185245384760779,8.360392330054031,9.726156186222692,11.312881256822825,13.155545333976182,15.294397504113824,17.775659397948292,20.652287118035442,23.984786796994193,27.84207084186875,32.30233403148511,37.453918373747946,43.396122662307334,50.23989678587458,58.108342073999516,67.13691775843931,77.47323106065019,89.27626641669886,102.71489094501568,117.96546271354606,135.20837113828782,154.62336126183712,176.3835420795303,200.64805857119768,227.55351962086502,257.2044163923966,289.6629279453755,324.93867533313676,362.9791280234539,403.6614598275223,446.7866701025972,492.0767123051522,539.1752019448488,587.6520219200022,637.0118329731008,686.7061694117655,736.1484977397296,784.7313764477575,831.8447058432778,884.1549972980926,945.750886745396,1019.7287269997362,1108.9090356261113,1216.1544477400516,1344.5084963196848,1497.2461543995942,1677.868602221428,1890.0505054476826,2137.539683412244,2424.0080811394914,2752.8559767185943,3126.97674670076,3548.496072863788,4018.5058807540618,4536.8181060151455,5101.765285548192,5710.073154150029,6356.8248217661185,7035.527428562902,7738.281756376997,8456.044738098504,9178.965701615722,9896.770694096975,10599.16600036364,11276.232073522007,11918.782130006235,12518.664884182945,13068.997408733907,13564.321004346977,13954.79194847095,14216.460161623614,14339.511670906993,14323.565137700876,14175.052721542908,13905.284749127663,13528.827086191663,13062.115831950377,12522.306791240859,11926.362899893762,11290.371444356337,10629.07076148531,9955.55781378335,9281.144199442771,8615.327978301038,7965.8510418660235,7338.8155740557395,6738.837606995337,6169.220185343915,5632.132841039329,5128.787745018124,4659.605961913801,4224.3696869121895,3822.358237993626,3452.4669836051567,3113.309386071808,2803.3030142145185,2520.740797150362,2263.8490178324405,2030.8336317286694,1819.9164851600276,1629.3629320811447,1457.5022324837018,1302.7419786105395,1163.577650014392
IH,0.0,1.6524463619478045,2.429063254458395,3.0306880384120354,3.645113210529901,4.330719561298665,5.114496985880668,6.017307861493697,7.060643677338392,8.268712552573785,9.669393573545218,11.294968296159825,13.182871454996047,15.376533810303272,17.926348344688634,20.890781859635517,24.337653194883067,28.34560056171165,33.00576216014481,38.42369577572694,44.72156408990671,52.0406126420354,60.543966308427635,70.41976723406268,81.88467161027103,95.1877135746088,110.61453061914114,128.4919247823762,149.19270588074016,173.14072523709615,200.81595885944054,232.75943606094373,269.57773189138254,311.9466493735225,360.613612174985,416.3981745841853,480.1899419777007,552.9430947561742,635.6666409451647,729.4095116829421,835.2396879399272,954.2167348612854,1087.357445935588,1235.5947742295994,1399.7308431086522,1580.3855476319536,1777.9430131316979,1992.4988752794707,2223.811876446324,2471.263529357117,2733.8294987876343,3010.0658584672397,3298.1125145435703,3595.7149289748268,3900.2639531649866,4208.85224644812,4518.3445570388885,4838.5279827407085,5183.185693471668,5567.155724217552,6005.673222774332,6514.479472104573,7110.117442379378,7810.200470525192,8633.570739297247,9600.304626971658,10731.533169389186,12049.051577704853,13574.701127609831,15329.52289510466,17332.705721540497,19600.378114788655,22144.32142573334,24970.70449718935,28078.953152256512,31460.867842776737,35100.088287555256,38971.97639537595,43043.95189286893,47276.27402897435,51623.223063406345,56034.60189664946,60457.45472174024,64837.88778600207,69122.87730408796,73261.95984899632,77208.71873058754,80839.40551172571,84025.00623459664,86657.29112288271,88657.95401699633,89980.50808375918,90608.58975666398,90552.34217076187,89843.82724204079,88532.09320972879,86678.33298774436,84351.42682491406,81624.04865061576,78569.42434644725,75258.76082104666,71759.31557704507,68133.04484183011,64435.751026137594,60716.64386165836,57018.23087385389,53376.45915792749,49821.03958793606,46375.8949922587,43059.68434882008,39886.364964278226,36865.76348350435,34004.134233559584,31304.689798242744,28768.0939018501,26392.910767773385,24176.008250149116,22112.914363621163,20198.128500864328,18425.389760815564,16787.905527473114
IN,1.6524471199371675,3.2486343909427857,4.129498561051733,4.906356077493324,5.747788089163426,6.711641192511839,7.829992280708552,9.131207851734008,10.646030266695044,12.40966617638766,14.462942082432004,16.853321803758202,19.636003618763105,22.875169798919732,26.645426537046887,31.03346587607758,36.13998220794593,42.08187883077019,48.99480344751883,57.03605483375019,66.3879058436421,77.26139006561854,89.90060025802107,104.5875454897614,121.64760975311628,141.45564650409602,164.4427295988199,191.1035595565627,222.00449275244506,257.7921174595252,299.20224184355226,347.0690823054727,402.334343624764,466.0557638675055,539.4145575707166,623.7210339117311,720.4175003965637,831.0774007742095,957.3994989666492,1101.1958365421647,1264.372193536479,1448.8999081872246,1656.7781948410343,1889.9865649154356,2150.4276074745,2439.86119904294,2759.8321276712963,3111.594041168904,3496.033446271242,3913.5980692146168,4364.23412888829,4847.336899867856,5361.71833829014,5905.5945550050565,6476.594649949342,7071.791009770158,7687.749771931411,8333.668694390677,9023.700977697028,9774.364911229646,10603.942751535646,11532.581320664533,12582.589884357552,13778.739443748556,15148.47657047159,16721.99743746334,18532.1351371186,20614.016547928357,23004.45248441035,25741.040089875492,28860.979987322993,32399.640852478584,36388.93705613494,40855.6157014692,45819.572300020605,51292.324963835104,57275.77281237274,63761.34532838561,70729.61815785538,78150.43170571003,85983.50711522972,94179.51503446167,102681.52025891,111426.70275857343,120348.24399708786,129377.26657140406,138444.72358589678,147400.5520587556,156078.44280775893,164321.75866545964,171995.04698200457,178989.10474990262,185222.5259888316,190641.05541954408,195215.5225608727,198938.90510431505,201822.94176083873,203894.6152255136,205192.73902657954,205764.80625311277,205664.1948858678,204947.77449707864,203673.92200253328,201900.92852805275,199685.76334812577,197083.1521824082,194144.9239354335,190919.5805444183,187452.04759229647,183783.56770306834,179951.70370652914,175990.42362011733,171930.24431461634,167798.41511503403,163619.12644506543,159413.73192756012,155200.97512193382,150997.214355284,146816.6409425803,142671.48755245563,138572.22461749785
D,10853.0,10853.0,10853.007546556022,10853.018639843136,10853.032480690013,10853.049127554737,10853.06890551458,10853.092262906941,10853.119743345598,10853.151988593792,10853.189750970805,10853.233910116898,10853.285493098945,10853.34569794448,10853.415921024942,10853.497788851444,10853.593194947092,10853.704342556797,10853.833794058257,10853.984528048146,10854.160005194906,10854.36424407164,10854.60190830559,10854.878406498878,10855.200006479836,10855.573965523794,10856.008678219894,10856.51384363492,10857.100653307636,10857.78200136167,10858.572717606929,10859.489823855387,10860.55281274537,10861.783947082338,10863.20857599605,10864.855462024845,10866.757110528912,10868.95008960655,10871.475325001798,10874.378350496676,10877.70949023601,10881.523945726103,10885.881757400508,10890.847609286178,10896.490446112713,10902.882875826295,10910.100337371374,10918.220023954087,10927.319565539045,10937.475490291577,10948.761501807956,10961.246625648697,10974.993293108542,10990.055440621047,11006.476708371709,11024.288820827309,11043.51022492277,11064.145049214037,11086.242118946513,11109.91320571372,11135.337844919775,11162.765149353578,11192.516120657114,11224.98731055015,11260.655709087354,11300.08435667336,11343.92798050935,11392.937811107879,11447.964615514604,11509.958907680379,11579.967294029904,11659.124014492727,11748.636966268617,11849.767850799662,11963.806542011464,12092.04029162158,12235.718904837382,12396.017471110594,12573.998560213071,12770.575951091212,12986.481930685883,13222.239988491116,13478.144368905674,13754.247472494124,14050.355572483277,14366.032787815324,14700.612776046393,15053.217214386024,15422.402633401134,15806.136369913671,16201.89148626315,16606.783428448936,17017.715341787618,17431.515640836453,17845.059062828383,18255.366768535878,18659.68391709751,19055.535129523483,19440.759595979525,19813.52840114369,20172.347044916514,20516.046221974982,20843.763785233237,21154.920535452755,21449.192117381783,21726.478911654485,21986.875426490442,22230.64033687074,22458.168004344403,22669.96204360703,22866.611283026185,23048.768292582503,23217.130519553546,23372.423974098332,23515.389337922363,23646.77032389312,23767.304087831,23877.713481361847,23978.700933005024,24070.943750560516,24155.090648924048
R,0.0,0.23986490102062435,0.7046577530681719,1.303334227200251,2.024155250625506,2.877598436703792,3.882124472286451,5.060919516009545,6.441496521629981,8.056095850090497,9.942371373601956,12.144244127716807,14.71290844360384,17.708003930428884,21.19897642385954,25.26665630503966,30.005087066656113,35.5236415895587,41.94946851855873,49.4303164101551,58.13778890408017,68.27108991347775,80.06132352438671,93.77641862940646,109.72675284255433,128.2715533271135,149.82615297024367,174.87017774183602,203.9567336448111,237.72264760008653,276.8997937227893,322.3275021694418,374.9659991947068,435.91076123586396,506.4075798860194,587.8680262940679,681.8848719149184,790.2468688898988,914.9521221674374,1058.2191056227875,1222.4942000224169,1410.4544815400566,1625.0043907703753,1869.2648924351201,2146.5538241163304,2460.3563527458796,2814.284824348808,3212.027803897942,3657.2887362434126,4153.715372813134,4704.821840520919,5313.905905863584,5983.964533843339,6717.611193294329,7516.9984727053925,8383.749426029135,9318.90067785159,10324.31191604025,11404.201526998699,12565.618173780127,13818.598487908494,15176.285368616962,16655.091140323217,18274.918038128766,20059.421543231852,22036.290335996997,24237.50937431129,26699.5668063716,29463.561055326456,32575.162549941,36084.386569915085,40045.140626180415,44514.52216367079,49551.85971095331,55217.511486810625,61571.457670947144,68671.74336371932,76572.8460335716,85324.05181726947,94967.92809378827,105538.97502798578,117062.52701113162,129553.95765925541,143018.22132548684,157449.74217420898,172832.64085788457,189141.27047030116,206331.84145587188,224335.14052084537,243058.14415152525,262388.8418763873,282202.07423107704,302365.39392943354,322744.4424161182,343207.57364403334,363629.6018410039,383894.6479881269,403898.1270220396,423547.9614478072,442765.13179045654,461483.6842742482,479650.3151882304,497223.6430637575,514173.2669914785,530478.694455056,546128.2066576477,561117.7146221052,575449.6460665661,589131.8915588643,602176.8288525584,614600.436553796,626421.5022085572,637660.9253267952,648341.1125463642,658485.4598608614,668117.9153835507,677262.6153101603,685943.5854190455,694184.5004771523,702008.4941984697,709438.012844432
G,635096.0,635096.0,635097.6128543223,635099.9028763426,635102.6751713126,635105.9308282745,635109.7292455239,635114.1543844359,635119.3077362439,635125.3083518613,635132.2949632284,635140.4289725001,635149.8980470087,635160.9203096747,635173.7491857323,635188.6789921433,635206.0513700931,635226.2626718973,635249.7724231743,635277.1129890372,635308.9005783146,635345.8477209242,635388.7773483954,635438.6385934392,635496.5243978655,635563.690974644,635641.5791041441,635731.8371502901,635836.3455525291,635957.2423768353,636096.9492866886,636258.1970181363,636444.0491105175,636657.9222614521,636903.6012562246,637185.2459959597,637507.3877608374,637874.9115573752,638293.0212933542,638767.1846928836,639303.0553998135,639906.3706938088,640582.8246907989,641337.9187816816,642176.7932574936,643104.0463628807,644123.5491267157,645238.2659208671,646450.0915032971,647759.7151071687,649166.5208807008,650668.5317627006,652262.400944289,653943.4517690919,655705.7636493801,657542.2986801504,659510.4102776296,661656.2506875761,664024.4011450065,666662.5337971887,669623.7767758892,672968.0390316976,676762.7908295979,681083.4332450097,686013.2308402783,691642.7209523747,698068.5041175446,705391.3453640564,713713.5681007818,723135.7945562198,733753.1693761641,745651.282761302,758902.071808136,773560.0109636509,789658.8973796923,807209.49408684,826198.2197546826,846586.9798338036,868314.1338252368,891296.5005114526,915432.2277171798,940604.3021129044,966684.4500724952,993537.1812573178,1021023.748254095,1049005.8324448105,1076935.824353353,1104409.438680287,1131106.5049854433,1156774.0814035872,1181219.8611440745,1204307.018796272,1225948.3873686325,1246099.8505030463,1264753.3541410253,1281929.988820874,1297673.4974904323,1312044.439637897,1325115.1313621118,1336965.3949920766,1347679.0918679987,1357341.3743057442,1366036.5726436598,1373846.6257740338,1380849.964551483,1387120.7636905788,1392728.4868104665,1397737.65947907,1402207.815354867,1406193.570153212,1409744.7868173206,1412906.802800502,1415720.6967492069,1418223.5771792755,1420448.880066553,1422426.6657520237,1424183.9083174185,1425744.772739747,1427130.8767905908,1428361.5359027814,1429453.9901638408
H,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,791345.7556755431,764967.5638196917,738589.3719638402,712211.1801079888,685832.9882521373,659454.7963962859,633076.6045404344,606698.412684583,580320.2208287315,553942.0289728801,527563.8371170287,501185.6452611772,474807.45340532577,448429.2615494743,422051.0696936229,395672.87783777143,369294.68598192,342916.49412606854,316538.3022702171,290160.11041436566,263781.9185585142,237403.72670266277,211025.53484681132,184647.34299095988,158269.15113510843,131890.959279257,105512.76742340554,79134.5755675541,52756.38371170266,26378.191855851226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
