series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,476572.99587098724,476258.28524062765,476013.44636171026,475790.95630153455,475570.81563934154,475344.37801372615,475107.70192632073,474858.79817227717,474596.48686164786,474319.92262236815,474028.39795343595,473721.2626561431,473397.8918787953,473057.6746535593,472700.0111859145,472324.313984367,471930.0107646683,471516.54824906675,471083.3964739787,470630.0534222647,470156.0498775491,469660.95442830166,469144.37855838425,468605.98176104674,468045.47661036643,467462.6337203149,466857.28651817015,466229.33575650916,465578.7536868876,464905.5878187995,464209.9641897641,463492.0900765077,462752.256083206,461990.8375505822,461208.2952391853,460405.1752512066,459582.1081674768,458739.80738949095,457879.0666900927,457000.75699040375,456105.8223943295,455195.275525091,454270.1922203722,453331.7056534763,452380.99995708355,451419.30343356554,450447.88144118286,449468.0290487983,448481.0635529586,447488.31695040234,446491.1284563555,445490.83715455694,444488.7748590331,443486.25926045806,472613.0062601707,501655.1796877014,530613.7175383602,559483.0081757379,588253.0774683688,616910.6843220281,645439.7631296536,673821.4831513581,702034.0819232819,730052.5605507438,757848.2893739286,785388.5521347963,812636.0480931301,839548.3700413298,866077.4792620499,892169.2046896726,917762.8019387665,942790.6176280656,967177.9145545205,990842.9223783655,1013697.1847160328,1035646.2746252678,1056590.9439245092,1076428.7553638641,1095056.21895585,1112371.4149398054,1128277.0382220775,1142683.7474499566,1155513.6529637654,1166703.7396057467,1146080.581271691,1124548.1502817008,1102166.391106984,1079094.7274302614,1055529.1208528338,1031676.2025926695,1007739.991344063,983913.696299584,960374.253795102,937278.7879448603,914762.6181969735,892938.5399372802,871897.1233521117,851707.7848718056,832420.4032446505,814067.2796350362,796665.2743441467,780217.9876470292,764717.8855828827,750148.3012530964,736485.2672265295,723699.1547445541,711756.1107915981,700619.29527945,690249.9282509116,680608.1618322041,671653.7943032207,663346.8446803258,655648.0060936812,648518.995370859,641922.8149043426,635823.9413005946,630188.4536386397,624984.1125130975,620180.399468889,615748.5249928085,611661.4119309024
E,0.0,314.71063035962067,465.1363201691121,548.0854842940787,603.8005011988487,649.097976454561,691.0446709236131,732.6350236900839,775.1558272123351,819.1733183283404,864.9459917620064,912.5974915262365,962.1890214162131,1013.7495402273637,1067.2881458039026,1122.7989036102554,1180.2624522258861,1239.6462321596657,1300.90413759982,1363.9759480338714,1428.7867083392791,1495.2461450849794,1563.2481714768987,1632.6705173713503,1703.3745128402315,1775.2050490397273,1847.9907364725357,1921.544277191742,1995.6630636557456,2070.130012647147,2144.714637888373,2219.1743597782556,2293.25604514652,2366.697764226329,2439.230746355373,2510.581510427426,2580.4741410290617,2648.632676706174,2714.7835730926126,2778.658200853724,2839.9953366718746,2898.543604908818,2954.0638281549673,3006.3312466044026,3055.1375690158025,3100.2928218290767,3141.626967663003,3178.991269748649,3212.2593846637665,3241.3281718208905,3266.118214321494,3286.574051823599,3302.6641318003594,3314.3804908353236,3321.738182277355,3411.4621384687607,3557.9044846746297,3749.661340299711,3983.112483984228,4258.990723534981,4580.633537254242,4953.142292778767,5383.019671426573,5878.053980941968,6447.327801879977,7101.285538853528,7851.822757268907,8712.372820293811,9697.970591890768,10825.272825106182,12112.512566885634,13579.36194592614,15246.675274098763,17136.083706429446,19269.415095238663,21667.919495837305,24351.293186250026,27336.512629425357,30636.514087017138,34258.782715361885,38203.94345688645,42464.47003034665,47023.642345839224,51854.881838511494,56921.57562101408,61377.53392470004,65346.03292200662,68813.88672212724,71735.32728291667,74067.64735820594,75783.56439935075,76874.79012402447,77351.79559129912,77241.72276415107,76585.3756827926,75433.84123764806,73845.10545152218,71880.91229637165,69604.02023461525,67075.93777384493,64355.16173258103,61495.899909924214,58547.232001093435,55552.64673055168,52549.88673795306,49571.0331985426,46642.76719193583,43786.75254650313,41020.09381109052,38355.83208647091,35803.44998951304,33369.364615554034,31057.393817532477,28869.18639509493,26804.610943082844,24862.10126390604,23038.958546689195,21331.612108224675,19735.841519965776,18246.96354005656,16859.987539945698
I,130.6587242899712,80.96798487169042,62.955368829019804,57.901844887888025,58.138754832519325,60.54812952297402,63.88070815910558,67.64931379010308,71.673650367231,75.8942462318204,80.2972419993792,84.88454650340289,89.66236376237853,94.63702380916209,99.81362531041063,105.19569732168279,110.78518576654068,116.58251025625802,122.5866085925169,128.7949502030204,135.20352138573625,141.80679099063008,148.59766544920433,155.56744080276758,162.70575794980007,170.0005661238385,177.43809867195813,185.00286447188927,192.67765772833042,200.44358836288282,208.28013471150913,216.16521973913126,224.07531145696274,231.98554767898048,239.8698846822686,247.70126875065114,255.45182899542874,263.0930892775505,270.5961965203119,277.93216221922603,285.07211354387965,291.9875501012889,298.65060220464056,305.0342863748417,311.11275380033356,316.861527593982,322.25772491080784,327.28026031877994,331.9100272348637,336.13005473472975,339.9256375992356,343.28443805468146,346.1965582769495,348.65458334226895,350.6535949009349,352.1911564080857,356.78762163788775,365.5829711781689,378.8205334172677,396.50408097918796,418.6657107459354,445.46084646918854,477.1929672212668,514.3142073365502,557.4210301779088,607.2518983364715,664.6885731045388,730.760547674671,806.6513126430309,893.7048256368603,993.4303484418892,1107.5035929231653,1237.7618590127959,1386.1905892214832,1554.898575904806,1746.079037955134,1961.9540484992406,2204.7004631083273,2476.356665892149,2778.7111605900623,3113.176235286466,3480.6524503030814,3881.39223524481,4314.873022423856,4779.691637010134,5273.491710502642,5760.449606500687,6223.371948264285,6651.068688053237,7034.7468370448605,7367.223138985291,7642.9382643769,7858.1105651971575,8010.821815050607,8100.985530952199,8130.20515542568,8101.548944267743,8019.27305522534,7888.522386495185,7715.03377842618,7504.860132212838,7264.127905539515,6998.83496304988,6714.691231307137,6417.0011573361935,6110.58457016805,5799.731075881256,5488.1824107154025,5179.137052613511,4875.271676993966,4578.774588201385,4291.386943049183,4014.4483156602355,3748.9438689738718,3495.5510562878494,3254.684352741925,3026.5370020521086,2811.1191579402953,2608.292108602538,2417.79850577619,2239.28868864155
A,834.5719086531223,673.2711641060059,624.7785208265532,624.6772086910912,646.1116954670487,677.8554023680898,715.213618538563,756.2320469636638,800.1108335030034,846.5384963588693,895.4106313594204,946.7100639595909,1000.4550110726116,1056.676044440431,1115.4053387272809,1176.6712099767246,1240.4949621260876,1306.8887594564667,1375.8539695943084,1447.3797364343661,1521.441681446684,1598.0006951881526,1677.001810977232,1758.373167845265,1842.0250779509788,1927.8492180980616,2015.7179673607907,2105.4839137808654,2196.9795529528524,2290.0172002023432,2384.389136048324,2479.8680017777124,2576.207458298882,2673.143117053723,2770.3937467507812,2867.6627541588155,2964.639931320712,3061.0034554850613,3156.4221219971346,3250.557784542864,3343.0679717006083,3433.6086439202227,3521.837050994572,3607.4146469670973,3690.010017349202,3769.301772583309,3844.9813619189235,3916.7557632634234,3984.350007076558,4047.5094959075213,4106.002085600116,4159.619899360412,4208.180851616585,4251.529864713768,4289.539767784922,4322.111873432836,4371.662183956608,4449.621466637951,4562.253165543015,4713.671115436027,4907.384138611658,5147.088604408606,5437.089717294192,5782.547332421961,6189.644253358635,6665.724245087228,7219.4208948815985,7860.784740864375,8601.4083027656,9454.543471488603,10435.201498894758,11560.221835245498,12848.292070666184,14319.897385422679,15997.174628811608,17903.64411647922,20063.792367849263,22502.482329476865,25244.17512765328,28311.959740185266,31726.404232057277,35504.263507690564,39657.10194506221,44189.91180178086,49099.82623877548,54375.03546940313,59786.51871375409,65181.49552731034,70433.29360341046,75427.85126090799,80062.07408389993,84245.7162571948,87903.82420116402,90978.6469791369,93430.635752754,95238.4696081612,96398.19985158792,96921.68198606123,96834.49595286149,96173.55670858419,94984.59923925431,93319.69267792543,91234.90355055436,88788.19300436924,86037.60038331982,83039.73763540089,79848.59666106213,76514.65496627896,73084.25347546648,69599.21339022537,66096.65571311499,62608.986635586654,59164.01361975771,55785.15999297633,52491.74965384524,49299.33761564764,46220.06626110268,43263.0311248438,40434.64361349215,37738.98123911629,35178.11865017529
IH,0.0,24.769645141560677,33.504235453054505,36.49144143619105,37.722868366294364,38.6703453979889,39.82154885352671,41.297088519512485,43.09300776596465,45.17222696412522,47.496294540644435,50.034400319028066,52.76432408724998,55.67095584124557,58.744420837802885,61.97844804104927,65.36911016516282,68.91389763524464,72.61105062574143,76.45907791980375,80.45640680805039,84.60112368726429,88.89077742833292,93.32222673102734,97.8915191496266,102.59379394170284,107.42320393820846,112.37285368696632,117.4347524883204,122.59978183011825,127.85767728061047,133.19702520711996,138.60527481940846,144.06876603339785,149.57277354439285,155.10156731251155,160.63848941541892,166.16604693095724,171.66602018992245,177.1195854015052,182.50745031492116,187.81000125421642,193.00745956223275,198.08004522632723,203.00814524331213,207.7724841230315,212.354293835639,216.73548048113304,220.8987850025421,224.82793537516818,228.50778787973132,231.9244553010021,235.06542017741535,237.91963155147636,240.47758402461614,242.73137829203006,244.6747627113403,246.97052672767526,250.32056868584243,255.28546853399274,262.27681418375494,271.60236056662,283.51713874614313,298.2656038438912,316.11264076814933,337.3654694754781,362.3892585897245,391.6188156304713,425.5679956994282,464.8377852876281,510.12345371957576,562.220711747728,622.0304426845457,690.5612483323338,768.9287660724553,858.3504682453663,960.1344715052938,1075.6607995970658,1206.353607884524,1353.643146912824,1518.9167635382335,1703.4590375585838,1908.3822155958878,2134.549364543019,2382.493996731638,2652.3411388223685,2943.7357192604527,3249.6262204451477,3561.5848506621815,3871.3131706812455,4171.061971934824,4453.789765467978,4713.281636047229,4944.265503427278,5142.513589343606,5304.910781553882,5429.47785558309,5515.345819238895,5562.684613122528,5572.594138640925,5546.968122258218,5488.342035621361,5399.735657002548,5284.499355407797,5146.171217851865,4988.350048967245,4814.587284371392,4628.2991238431905,4432.698784606724,4230.747721135935,4025.12393957042,3818.205111784544,3612.0640139342295,3408.4738211360527,3208.920930705881,3014.623214303036,2826.5518756744777,2645.455385261248,2471.88425354886,2306.2156766100725,2148.6773305433535
IN,24.92109427672009,47.82716196209982,59.4034044767499,66.60801238486876,72.26620249224882,77.51207932501848,82.79334443652934,88.28322307841545,94.04801282337097,100.11426203770003,106.49502920354087,113.19967348358666,120.23716137352838,127.61691769054596,135.34881255040145,143.44289049854592,151.9090570277848,160.75678786405544,169.9948725957353,179.63118752031534,189.67248942047428,200.12422320022125,210.9903385291921,222.27311273499572,233.9729788659716,246.08835912028997,258.61550477733437,271.5483444517615,284.87834298012143,298.59437358587036,312.68260617704505,327.12641472698016,341.9063066806094,356.9998772217344,372.38179103340366,388.0237938876994,403.894756017664,419.9607487598536,436.1851554206788,452.5288167255593,468.9502105718076,485.405665141092,501.84960375398856,518.234819187204,534.5127745434309,550.633927183786,566.5480717212996,582.2046976466904,597.5533568276333,612.5440358994783,627.1275284548303,641.2558019435875,654.8823543121654,667.9625556352285,680.4539703165383,692.3166558458906,703.5134345826865,714.6815869816119,726.6242987270635,740.1262239678423,755.909292217949,774.6431824424627,796.9730705002041,823.5498495944767,855.0580216404279,892.2405082797009,935.9210113964133,987.024813499338,1046.598741825799,1115.8307132688058,1196.0689329539596,1288.8404630970317,1395.8685090194365,1519.087380128784,1660.6536766952236,1822.9518432832738,2008.5918491457783,2220.3964566309146,2461.375390990667,2734.683812007949,3043.562893957719,3391.2611135842485,3780.9360556377815,4215.538141333027,4697.679560288489,5229.493656723726,5812.4918404260825,6441.2305196768975,7107.426885367152,7801.333519986799,8512.314021632965,9229.221915107477,9940.751632996193,10635.790444020911,11303.758279363255,11934.914039780408,12520.61008634003,13053.483217370673,13527.577387254876,13938.39944229351,14282.913740374515,14559.48458565999,14767.777063902116,14908.62733900515,14983.893044365655,14996.293351827866,14949.246877651614,14846.713996370465,14693.048538696527,14492.862360157786,14250.90495256019,13971.959166140017,13660.753225975126,13321.888553196402,12959.782419528616,12578.62414615465,12182.343376002096,11774.58887394643,11358.716316027701,10937.783593763956,10514.5522638589
D,768.0,768.0,768.2611405342867,768.6143677968121,768.9990884683872,769.3967917840263,769.8044841268342,770.22431333651,770.659698813324,771.1140182437281,771.5902583923825,772.0910006380665,772.6185015351263,773.1747833754463,773.7617091496974,774.3810377414585,775.0344619202548,775.7236330511619,776.4501760413984,777.2156972447567,778.0217872934811,778.8700202391115,779.7619499585195,780.6991044869002,781.68297874146,782.7150259697014,783.7966481734642,784.9291857092621,786.1139062364811,787.3519931704425,788.644533792142,789.9925071670893,791.396772029553,792.8580547937765,794.3769378589546,795.9538483788632,797.5890476691726,799.2826214250019,801.0344709177124,802.8443053329843,804.7116354017054,806.6357684611078,808.6158050660579,810.6506372496983,812.7389485091578,814.8792155662923,817.069711926005,819.3085132262815,821.5935043453817,823.922388203393,826.2926961682792,828.7017999513392,831.1469248542325,833.6251642099696,836.1334948439197,838.6687933682734,841.2278531147118,843.8074015053226,846.4111535951948,849.0502243883363,851.7416389511046,854.5067616242608,857.3702013363176,860.3592557482186,863.5037997536735,866.8365008655868,870.3932655444999,874.2138501377405,878.3425950658975,882.8292582028596,887.729933481529,893.1080448955271,899.0354054295102,905.5933258686968,912.8737504495326,920.9803853105893,930.0297721145505,940.152243689861,951.4926821302458,964.2109840639736,978.482124913918,994.4957065740717,1012.4548739606555,1032.5744981440384,1055.0785493055478,1080.1966223213556,1108.159630194267,1139.1947424913221,1173.4547862904667,1211.0037364467532,1251.8180793251095,1295.7926032098467,1342.7478596258331,1392.4388777105414,1444.5651043012458,1498.781413764823,1554.7098385735364,1611.951544702213,1670.098536545684,1728.7446101425112,1787.4951575327098,1845.9755358683428,1903.837833181822,1960.7659743165796,2016.479206267306,2070.7340772466982,2123.3250768170033,2174.0841364896487,2222.879203965652,2269.612103138357,2314.2158798180617,2356.6518134029952,2396.906250525901,2434.987390610298,2470.9221272472896,2504.7530247647633,2536.5354872246435,2566.3351578611932,2594.2255708562357,2620.28606429397,2644.599952947943
R,0.0,163.3157711384567,303.66224620803575,437.81293718158236,573.2928480401587,713.6888596282142,860.8872968481214,1016.0284165515592,1179.9197060738952,1353.2184076742467,1536.5141975136246,1730.367765633919,1935.3293361645701,2151.947679263498,2380.7743599129444,2622.365426650247,2877.2816043069543,3146.087528717364,3429.3503091787497,3727.6375785861337,4041.5151259641316,4371.544171514962,4718.278326003355,5082.2602671879495,5464.018162342473,5864.0618655987855,6282.878920642543,6720.930402405314,7178.646635277476,7656.4228296086485,8154.6146825448195,8673.533993302928,9213.444346569022,9774.556920616782,10357.026478796492,10960.947604084364,11586.351236282737,12233.201570131427,12901.393369975944,13590.74975272735,14301.020485672683,15031.88083932924,15782.93102809832,16553.696263121135,17343.62743266219,18152.102415761965,18978.42802504841,19821.84256472368,20681.518980097604,21556.56856586342,22446.045191827787,23348.949997215404,24264.23649813616,25190.816047460903,26127.56358229328,27073.323591500302,28026.91623438481,28991.489482759705,29972.622117911964,30977.34846977023,32013.705205425707,33090.571105801246,34217.67245404789,35405.68520162889,36666.39789915778,38012.9173633761,39459.90864355985,41023.865706450706,42723.41137234569,44579.625444027915,46616.399177952815,48860.81246760127,51343.52741247559,54099.188352543715,57166.8139955129,60590.16207074454,64418.041261655184,68704.53943414129,73509.13204092106,78896.630897817,84936.93230643202,91704.52577754103,99277.73127685423,107737.64447788255,117166.78587554951,127647.4699461918,139259.93321123946,152040.17963978904,165992.4358008317,181093.61427442255,197295.66571117385,214527.76752140018,232698.9474689341,251701.23842200803,271413.2606138853,291704.05057675135,312436.93737037946,333473.27995959006,354675.91039482015,375912.16666339716,397056.44028200535,417992.2024527976,438613.50609869877,458825.98786231165,478547.41377674224,497707.82512365823,516249.34779104835,534125.7302907148,551301.6736330144,567752.011580039,583460.7933843667,598420.3137845222,612630.1274132986,626096.0773575186,638829.3607153252,650845.6478322529,662164.2665629807,672807.4584291906,682799.7098989835,692167.1591379403,700937.0763933507
G,53409.0,53409.0,53421.78026869844,53440.66926252231,53462.9267876367,53487.446876572874,53513.80647726773,53541.86951589767,53571.62152157334,53603.10027951558,53636.36656958932,53671.49166902346,53708.551876179175,53747.62597487849,53788.793924948135,53832.13605567456,53877.73245534515,53925.66242598801,53976.00394740378,54028.83312705509,54084.22362687447,54142.24606489786,54202.96739319448,54266.45025569264,54332.752330980635,54401.92566631827,54474.01601005925,54549.06215050061,54627.09526984714,54708.138322495026,54792.2054471807,54879.30142268805,54969.42117674358,55062.54935744029,55158.659976011586,55257.71612902526,55359.66980709438,55464.46179602103,55572.02167492665,55682.26791440895,55795.10807613934,55910.4391136182,56028.14777208509,56148.11108388374,56270.196953955034,56394.26482861857,56520.166439446155,56647.746612861774,56776.84413515067,56907.292661843894,57038.92165997586,57171.557371493516,57305.02378612225,57439.14361225236,57573.73923488309,57708.63365032397,57847.17171856268,57991.6567499885,58143.92894811046,58305.6815007436,58478.6373547253,58664.65499050814,58865.80005297717,59084.40225821962,59323.107602283046,59584.93092105951,59873.31119339805,60192.170472145015,60545.97633347598,60939.80691318142,61379.41677091248,61871.300902825074,62422.75318209534,63041.91436689001,63737.80364764605,64520.32663486652,65400.2518950227,66389.14785230033,67499.27233803284,68743.40851979575,70134.64353427142,71686.08989679604,73410.55448353339,75320.16517470303,77425.9705059849,79737.53217882769,82230.04847771888,84883.72388158577,87678.22739577682,90591.3694043548,93599.22596775705,96676.76521339033,99798.61868493981,102939.84315147421,106076.59760596693,109186.69807660911,112250.03520910905,115248.85443760833,118167.90859344456,120994.49910318991,123718.425228502,126331.86176267473,128829.18485533133,131206.76376224408,133462.73379832142,135596.76299147744,137609.82217290084,139503.9656814021,141282.12761491298,142947.9366800283,144505.55117705828,145959.5144914671,147314.63060430982,148575.85853807224,149748.22427231274,150836.7484502805,151846.38811258748,152781.99070225086,153648.25865831773,154449.72302997526,155190.7246818934
H,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,903852.5651521592,873724.1463137539,843595.7274753486,813467.3086369433,783338.8897985381,753210.4709601328,723082.0521217275,692953.6332833222,662825.2144449169,632696.7956065116,602568.3767681064,572439.9579297011,542311.5390912958,512183.1202528905,482054.70141448523,451926.28257607995,421797.86373767466,391669.4448992694,361541.0260608641,331412.6072224588,301284.18838405353,271155.76954564825,241027.35070724293,210898.93186883762,180770.5130304323,150642.094192027,120513.67535362169,90385.25651521637,60256.83767681107,30128.418838405763,4.5838532969355583e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
