series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,2623941.6428152914,2622825.4265758144,2621973.8204033584,2621198.399431178,2620422.2648449717,2619612.6615176983,2618754.297053692,2617838.7297670213,2616860.136843119,2615813.622937927,2614694.5424568853,2613498.227459433,2612219.8788041,2610854.5238832226,2609397.0024432326,2607841.9652180024,2606183.8794011544,2604417.038713403,2602535.5773199545,2600533.4874530695,2598404.6408282896,2596142.8140221415,2593741.7179891425,2591195.031870253,2588496.441196799,2585639.6805284754,2582618.580483564,2579427.1190252258,2576059.4767610207,2572510.095895409,2568773.742349307,2564845.5704300064,2560721.189302769,2556396.73038684,2551868.914678646,2547135.118899172,2542193.439276699,2537042.751715792,2531682.767073876,2526114.08027212,2520338.2120108726,2514357.641943188,2508175.832282962,2501797.2409850005,2495227.3238291414,2488472.5249637496,2481540.255708401,2474438.8616729057,2574477.6145656095,2673978.6836171737,2772935.258599289,2871308.4179661204,2969040.280287923,3066059.8857942275,3162285.5472491435,3257625.5127613605,3351977.8378911745,3445229.9057958946,3537257.8180975164,3627925.781661995,3717085.575973447,3804576.1721311943,3890223.572939349,3973840.9466404524,4055229.1304329624,4134177.581311792,4210465.848896354,4283865.636004083,4354143.496373498,4421064.19424459,4484394.717349145,4543908.894171681,4599392.520255343,4650648.85023432,4697504.266614483,4739813.898150267,4777466.934998191,4810391.378886248,4731257.940951109,4649929.754881175,4566601.148199307,4481731.317882126,4395874.619822343,4309609.378097867,4223502.844360951,4138090.9931755345,4053865.713761885,3971266.657279671,3890676.559934761,3812419.357139999,3736760.552292005,3663909.3544252687,3594022.1343550575,3527206.7918154625,3463527.6788548636,3403010.7834301754,3345648.9368330445,3291406.8652276276,3240225.9564396874,3192028.6567197824,3146722.448016972,3104203.384561662,3064359.1889352216,3027071.9232094204,2992220.261167707,2959681.394052901,2929332.605620878,2901052.5533011793,2874722.2916299473,2850226.072359853,2827451.953182713,2806292.244140273,2786643.8177803564,2768408.306104439,2751492.2044602185,2735806.8998294203,2721268.63848663,2707798.445777013,2695322.008781339,2683769.530897527,2673075.565854059
E,0.0,1116.216239477031,1646.6892611464752,1948.3610688765373,2163.95612269632,2350.9936573673613,2532.982008960509,2719.8155031497868,2915.9230167934898,3123.531777339674,3343.9784939153246,3578.2376531396876,3827.1345847148004,4091.430638853752,4371.855772759125,4669.11894898546,4983.908703246283,5316.888953833376,5668.692166599014,6039.910781196611,6431.0873103108415,6842.703325840415,7275.1674744343445,7728.8026494851265,8203.832458245179,8700.367148243651,9218.389190433023,9757.738753957912,10318.099346576053,10898.9839333234,11499.72188175156,12119.44711263362,12757.087858011213,13411.358441413526,14080.753495704907,14763.545020264506,15457.782649455734,16161.29745759888,16871.709561678712,17586.439702459105,18302.72488917976,19017.63808521975,19728.111795622943,20430.965296606777,21122.93512714667,21800.70834881481,22460.957977647482,23100.379905992842,23715.730567467595,24691.729931396934,25931.430325022087,27397.887042159466,29083.74417765875,30996.840446102557,33153.48684519147,35575.3663870506,38288.116473536975,41320.67108091891,44704.921474421935,48475.47862291402,52669.423371477205,57325.97686597708,62486.04470328218,68191.59858448114,74484.86608137262,81407.30618244123,88998.35758467554,97293.95935381741,106324.86003811515,116114.75138930944,126678.2855983661,138019.05869786028,150127.66509045678,162979.9460590702,176535.56542890094,190737.04541235568,205509.38306280694,220760.3420579509,236381.47681515006,249703.19088391066,261192.695415107,270917.9164042529,278832.07875947346,284877.8963028674,289025.6363995175,291285.3975216517,291708.45817516657,290383.5822042966,287430.91122891346,282994.823161267,277236.59069696907,270327.38306595205,262441.9626766851,253753.28422794386,244428.09138776184,234623.5201001449,224484.6552816148,214142.94633962243,203715.36329178885,193304.16569383643,182997.1575359701,172868.3094969449,162978.64269013103,153377.2830878022,144102.61150785285,135183.44922525308,126640.23317949552,118486.14697031806,110728.18419592199,103368.12919394486,96403.44701255471,89828.07965049852,83633.1494751317,77807.57347708488,72338.59386010913,67212.23158606462,62413.67006490231,57927.576338934974,53738.36697573531,49830.425547665516,46188.27811111945
I,530.3800319752713,318.2280191851628,247.64986035280276,232.2553971388054,238.34615072491016,252.95462091078474,271.22276207473885,291.43016542021434,313.04729953005074,335.9814692551803,360.2902191450776,386.07599184690355,413.4497649568242,442.52005863110776,473.3906678730569,506.16095756871925,540.9265678314268,577.7798660578294,616.8100052452335,658.1026117063783,701.7391620801684,747.7961064968341,796.3437828837049,847.4451566384522,901.1544126638253,957.5154230056927,1016.56011238104,1078.3067449989644,1142.7581586509777,1209.8999755793982,1279.6988237113665,1352.100606108971,1427.0288605968376,1504.3832551624723,1584.0382675633746,1665.8420993099746,1749.6158745356988,1835.1531729594844,1922.2199429874781,2010.5548358546969,2099.869994526764,2189.8523219213857,2280.1652420363234,2370.450955068228,2460.3331739689756,2549.420315605019,2637.3091053288395,2723.5885399547437,2807.8441414806357,2889.662423013473,2988.3422597872495,3110.537230562937,3258.362384905713,3432.7130115237696,3634.5245553991044,3865.187017574887,4126.636075648017,4421.335728964907,4752.234463261208,5122.721710928745,5536.589655869865,5997.997623103291,6511.433967360488,7081.6700452913865,7713.701181639344,8412.670082359413,9183.768831722558,10032.116493414176,10962.610508456304,11979.751622906337,13087.444022013424,14288.774669831873,15585.778453093842,16979.198421433593,18468.25294130195,20050.423620125293,21721.279073721074,23474.349699414917,25301.067364927054,27190.781255263108,29001.463225809275,30671.63459381349,32167.85935393865,33467.6993401121,34554.78103941446,35417.76967947857,36050.37748308415,36451.43715757715,36624.758267335026,36578.73074237185,36325.72413688208,35881.354174779044,35263.68710788572,34492.44206806163,33588.238068532955,32571.918479436623,31463.973132937463,30284.067446205096,29050.67939038527,27780.838795836436,26489.959194892846,25191.74987837406,23898.194745161592,22619.584513579513,21364.589621727722,20140.362396551274,18952.658594183715,17805.97003444484,16703.661645508604,15648.107717110364,14640.82348225218,13682.58928414376,12773.565531969754,11913.397413823977,11101.308933704911,10336.186292080702,9616.650958077713,8941.123007429112,8307.875444070614,7715.0803026638805,7160.847359875609
A,2472.854924726454,1978.4778165210996,1847.3574717540914,1868.1144974235003,1956.184681772143,2077.719976310336,2219.265001307866,2375.6232801383094,2544.9810876774404,2726.936456824792,2921.695389570784,3129.739356249074,3351.684416693122,3588.218979154706,3840.074180212191,4108.007905775145,4392.794469899955,4695.216491540738,5016.057402607884,5356.093834682372,5716.087496755265,6096.776331392344,6498.864829912863,6923.013444777523,7369.827079846406,7839.842675882546,8333.515944094916,8851.207336728992,9393.167381561978,9959.521546713175,10550.254842960736,11165.19641184941,11804.004387992962,12466.151361516391,13150.910799688681,13857.344813432232,14584.293672447515,15330.367480088411,16093.940413968496,16873.14791899745,17665.887205036594,18469.821351129456,19282.387252538432,20100.80756663841,20922.106720957734,21743.13094400754,22560.572170428073,23370.995560423504,24170.870263871846,24956.6029564642,25816.454885441424,26798.07606578364,27930.838425898433,29236.49927335071,30734.32307055665,32443.586804761828,34384.850058807206,36580.63534666561,39055.816605553206,41837.8496468564,44956.90025343314,48445.88748595886,52340.44025838198,56678.754608777424,61501.33302487091,66850.58394806835,72770.25866269905,79304.70424651714,86497.9154322201,94392.3754688347,103027.68661771806,112439.0047456045,122655.30916515845,133697.55750965342,145576.794578195,158292.30185267207,171829.88856785285,186160.43357533423,201238.78784084512,217003.13895839313,232771.632322039,248109.40828585566,262684.63600622705,276220.74425576103,288482.88386475825,299276.1137306018,308446.85791123024,315884.39096092,321521.1510801895,325331.5438417321,327329.2933337256,327563.5837391212,326114.3144836272,323086.81078218855,318606.31224681064,312812.520239423,305854.43068510405,297885.6211241825,289060.10463708546,279528.8127525186,269436.72675967566,258920.642915416,248107.53184035857,237113.43525744788,226042.83307853603,214988.40944400587,204031.14639523864,193240.67721444208,182675.83704542427,172385.3553272273,162408.64212273227,152776.6280681563,143512.62501954983,134633.18126993912,126148.91130067926,118065.2853388465,110383.36850517995,103100.50308258056,96210.93046963892,89706.3517795022,83576.42788157472
IH,0.0,106.07600639505426,115.54950533386932,106.06933800899199,98.35171802599257,95.79357096390441,97.4635416600766,101.93430090545394,108.16336249293244,115.53472267930368,123.72842650955329,132.59942618454394,142.0972370991168,152.2193522213597,162.9862488702674,174.42870577465703,186.5816562082465,199.48132134473252,213.16389799500286,227.66492816914462,243.01892814067276,259.25908234661586,276.4169182432296,294.521930071258,313.6011426956911,333.6786165957577,354.7748991798826,376.90642941497987,400.084903870649,424.31661333721206,449.60176040089766,475.93376977431626,503.29860472526104,531.6741045249632,561.0293593358986,591.3241402604415,622.5084032553614,654.5218861669358,687.2938181492708,720.7427601005284,754.7765934153325,789.2926722615734,824.1781517350506,859.3105006539543,894.5582034973795,929.7816511811396,964.834215153897,999.5634938759215,1033.8127153270163,1067.4222740100545,1100.231376205108,1136.0211192100287,1177.9723421778367,1228.0644669537892,1287.445099398637,1356.8628619184346,1436.9620620984101,1528.445100696275,1632.1484683081644,1749.0711641183075,1880.3798934908455,2027.4039721670447,2191.6257107663705,2374.6680875595066,2578.279511091403,2804.314557636783,3054.709228495243,3331.4492425939616,3636.5300420054277,3971.9075018880176,4339.438797976082,4740.813499365971,5177.475719546761,5650.539053005124,6160.697001019953,6708.132573016805,7292.431638565573,7912.505283251458,8566.5267713588,9251.888638947854,9965.1848685067,10676.34323747427,11358.353412374361,11991.311803855435,12560.99178139109,13057.157429823848,13472.533273431043,13802.301803975475,14043.872314746448,14196.739063562589,14262.332572431249,14243.826718902761,14145.897653319988,13974.446706594947,13736.305277028076,13438.939829158866,13090.172442277197,12697.928493431868,12270.019021153777,11813.96162794967,11336.840707400552,10845.205420632436,10345.00218662863,9841.53741907472,9339.465735452726,8842.798767716187,8354.92990724308,7878.670720822578,7416.295296209879,6969.58934972084,6539.901505641496,6128.194704024864,5735.096188355884,5360.944956098905,5005.8359192451835,4669.660319847366,4352.142181800826,4052.870761451233,3771.329093545419,3506.9188233295904,3258.981577613069
IN,106.07600639505426,193.28445112947253,222.55087324895564,232.4960940986328,237.5934825236799,243.00235772104412,250.3708593799914,260.08236621830383,272.1079842637885,286.3180525832789,302.58743378689365,320.82475737267407,340.97539328630097,363.01662394898614,386.9514765508994,412.80319884162367,440.6107765096557,470.425388947017,502.30758583228686,536.3249775735518,572.550274091356,611.0595478421911,651.9306304281228,695.2415772599315,741.0691532427007,789.487306216919,840.5656054536678,894.3676309976539,950.9493068593001,1010.357177497228,1072.6266330335943,1137.7800943942077,1205.8251751447588,1276.7528422036808,1350.535602786003,1427.1257497538882,1506.4537018603182,1588.4264789848721,1672.9263551692643,1759.809733855537,1848.9062900120844,1940.0184226286322,2032.9210582393127,2127.361841618357,2223.0617435808313,2319.716107986137,2416.9961507446283,2514.5509131127155,2612.009660153804,2708.9847033333513,2805.074614248762,2903.809140942121,3009.4209168331117,3125.8127338345453,3256.372258537556,3404.0716879448837,3571.632559563201,3761.6794710987597,3976.8629873272935,4219.951918652691,4493.900478286326,4801.895855262198,5147.3902036407,5534.119319565533,5966.108790704932,6447.66724513706,6983.365483668508,7577.99972327322,8236.536898579088,8964.039972071998,9765.571514788568,10646.074463780933,11610.229956974297,12662.293483474892,13805.912225593194,15043.928320718547,16378.174701506548,17809.27200311361,19336.436548825088,20957.310426735556,22667.824959783615,24436.229530762073,26224.125215037762,27993.255839345522,29707.682158694264,31334.582678844614,32844.706855313016,34212.749333546664,35417.67232150899,36442.9418968861,37276.64298444713,37911.45373428268,38344.47776645088,38576.94712562546,38613.8185411287,38463.29089978229,38136.27344016328,37645.83295928066,37006.645168270355,36234.471028328364,35345.67409094209,34356.79005655928,33284.15530643769,32143.59727682812,30950.1863480592,29718.04644476194,28460.219758129115,27188.579837868514,25913.78666924456,24645.277149424874,23391.284508424582,22158.880592020854,20954.03545726439,19781.689358990523,18645.832874796983,17549.59158572507,16495.31237104287,15484.648968357582,14518.644982883592,13597.812996310196,12722.208825212136
D,4387.0,4387.0,4388.134101700691,4389.369488429194,4390.503518835458,4391.555037029531,4392.579205033564,4393.621227373096,4394.711048416933,4395.867466890106,4397.1026955712405,4398.425526470489,4399.843200833025,4401.362420152588,4402.989859119222,4404.73241135431,4406.597299547136,4408.592119872812,4410.724855761741,4413.003877639145,4415.43793592432,4418.036150064075,4420.80799429352,4423.763279920618,4426.9121335882455,4430.264970873099,4433.832464592234,4437.625507243403,4441.655167080037,4445.932637408345,4450.469178791933,4455.276053960339,4460.36445534403,4465.745425301065,4471.429769260142,4477.427962180325,4483.75004891718,4490.405539285064,4497.4032988111585,4504.751436382761,4512.457190188632,4520.5268135400775,4528.96546232009,4537.777085940927,4546.96432378417,4556.528409145515,4566.469082703192,4576.784517469987,4587.47125707188,4598.524169021461,4609.936414424074,4621.699435274049,4633.845098813815,4646.439279930087,4659.5690163130985,4673.333615173803,4687.840387549588,4703.203533032121,4719.544760865076,4736.994723553092,4755.694754307149,4775.7986600595,4797.474459997311,4820.906021293088,4846.294563039716,4873.859997276504,4903.842064071536,4936.501202069708,4972.119080044096,5010.998700850054,5053.463978399248,5099.858682424003,5150.544646526603,5205.899143913629,5266.311353682957,5332.17786943652,5403.897241404408,5481.863592179951,5566.459402329866,5658.0476220468245,5756.9633240666735,5863.505166007609,5977.650291133081,6099.087064252556,6227.291052811605,6361.585721566195,6501.18509894279,6645.225428299668,6792.791447056388,6942.940194334031,7094.723302158447,7247.207696847728,7399.49423793493,7550.733779577124,7700.140269458849,7847.000692520611,7990.681860710172,8130.634215004396,8266.39292980757,8397.576690511845,8523.884556253417,8645.091328299828,8761.04182766223,8871.644450934144,8976.864327734682,9076.716352090401,9171.258308015671,9260.584259651376,9344.818330741755,9424.108958227574,9498.623670868572,9568.544416114892,9634.063436600192,9695.37968107318,9752.695722642246,9806.215149158454,9856.140385697452,9902.670906762174,9946.001795428194,9986.322607685435,10023.816502269938
R,0.0,513.2446698659905,996.2023014930164,1462.8884632349625,1930.7532588381232,2413.2730403869587,2919.7733462793844,3456.7171681616023,4028.883136094759,4640.160894888799,5294.028663003889,5993.823607691782,6742.890376704952,7544.661822203377,8402.703129771151,9320.736432086227,10302.654903991415,11352.530923389042,12474.620544392998,13673.36531435203,14953.391842796755,16319.509212265095,17776.704159050954,19330.13386998344,20985.11620130863,22747.117109096576,24621.735078690926,26614.682349822433,28731.762752770337,30978.845999122343,33361.83830843316,35886.6492996632,38559.15513380631,41385.157961428085,44370.341805405646,47520.22509401711,50840.11015121988,54335.030047515116,58009.69331375019,61868.42711862084,65915.11960515931,70153.16216850215,74585.39253293691,79214.0395468635,84040.67065631357,89066.14303790082,94290.55936798338,99713.2291746551,105332.63666213493,111146.41581343049,117151.33346815231,123361.64999724405,129803.67041781307,136511.91510082711,143526.93806693668,150894.32108041857,158664.4027625523,166892.43826838586,175639.0035231306,184970.53698609205,194959.95810952582,205687.32595084174,217240.51235651292,229715.86734659722,243218.85312306302,257864.61943875952,273778.48806651094,291096.3086071564,309964.64255473355,330540.72808192775,352992.1751586985,377496.3401612822,404239.33185945824,433414.6072964132,465221.1271128342,499861.055512146,537537.0100814162,578448.8903226979,622790.3397256483,670744.9227537211,722482.1231055745,778032.6803199019,837319.7125596666,900179.6627161327,966376.9247626553,1035615.4354826924,1107549.2028611407,1181792.691251907,1257931.318825683,1335531.959380041,1414153.1761015751,1493354.8718650397,1572707.0671392325,1651797.5789147397,1730238.450774609,1807671.061749552,1883769.9117443422,1958245.139614839,2030843.874542015,2101350.5521114296,2169586.344558087,2235407.8617623053,2298705.2778885923,2359400.030205107,2417442.2236331236,2472807.858736914,2525495.9836570104,2575525.853081467,2622934.1606071955,2667772.395364685,2710104.3599350066,2750003.8745649615,2787552.6825309657,2822838.5631587445,2855953.6523487973,2886992.965319051,2916053.112466863,2943231.1965776654,2968623.877877553,2992326.5924655106,3014432.909308471
G,261540.0,261540.0,261596.71304884172,261680.37852976884,261779.37144221048,261889.31837268634,262008.7683622146,262137.46487039,262275.6540706679,262423.8071602051,262582.50849779707,262752.41035815695,262934.2145280056,263128.66472766263,263336.543360357,263558.66991720186,263795.89991049207,264049.12383585103,264319.26592146157,264607.2825300208,264914.1601250771,265240.91273432586,265588.5788533115,265958.2177402197,266350.9050589005,266767.7278343079,267209.7786928855,267678.1493704558,268173.9234821074,268698.1685624962,269251.92740085995,269836.2087127421,270451.97720967355,271100.14314847795,271781.55146294384,272496.9706017158,273247.0812166655,274032.4648649036,274853.5929041154,275710.8157741776,276604.35286719154,277534.28319239686,278500.53704128036,279502.8888511268,280540.95145205484,281614.1718632785,282721.82877924433,283863.03185600176,285036.72287350957,286241.67881163466,287496.22361761384,288813.75549230445,290205.7955388724,291683.49111945275,293258.3878679376,294942.86015227303,296750.3840173761,298695.73810095224,300795.1711268345,303066.55215980654,305529.50878911914,308205.5526187005,311118.188012199,314292.9976770741,317757.69683153863,321542.14620491443,325678.31298722135,330200.16818160197,335143.50879400974,340545.6941118423,346445.28716011194,352881.59541673574,359894.10906793043,367521.84041750774,375802.57430594956,384772.0461612937,394463.0710629396,404904.65331812185,416121.1108634,428131.2516997069,440818.2461723583,454089.0028306862,467853.8814283368,482020.8651560857,496495.0265914329,511179.9276472628,525979.6433226598,540800.8539903865,555554.7499631752,570158.625745146,584537.1114366049,598623.0311292546,612357.9057322729,625692.135535603,638584.908363299,651003.8840016158,662924.7060468913,674330.3896133339,685210.6285359961,695561.0596976014,705382.5156149924,714680.2899764307,723463.4347945679,731744.1024610504,739536.9413746304,746858.5499981451,753726.9911543981,760161.3660323326,766181.4456571743,771807.3563869796,777059.3152389656,781957.410433758,786521.4223952416,790770.6804898836,794723.9509752941,798399.3519071519,801814.2910899812,804985.4235225637,807928.6251621768,810658.9801983983,813190.7793766756
H,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3219001.081641803,3111701.0455870763,3004401.0095323496,2897100.973477623,2789800.9374228963,2682500.9013681696,2575200.865313443,2467900.829258716,2360600.7932039895,2253300.757149263,2146000.721094536,2038700.6850398094,1931400.6489850827,1824100.612930356,1716800.5768756294,1609500.5408209027,1502200.504766176,1394900.4687114493,1287600.4326567226,1180300.396601996,1073000.3605472692,965700.3244925424,858400.2884378156,751100.2523830888,643800.216328362,536500.1802736352,429200.14421890845,321900.1081641817,214600.07210945495,107300.03605472819,1.4260876923799515e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
