series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,2030498.8287389632,2030184.488801877,2029918.1703402733,2029661.923812613,2029396.4024573658,2029110.9358152244,2028798.8216926267,2028455.0812630758,2028075.3801430122,2027655.5020079026,2027191.0840811916,2026677.4767158176,2026109.6618525512,2025482.199643429,2024789.1889817282,2024024.2355713989,2023180.4250018126,2022250.300204995,2021225.8436747943,2020098.4653982427,2018858.997810657,2017497.6993368096,2016004.2682597132,2014367.868774993,2012577.171135617,2010620.4077538066,2008485.4469852776,2006159.8860559117,2003631.1641853766,2000886.6964045127,1997914.027850976,1994701.0074704317,1991235.9790733333,1987507.9866415078,1983506.9897025079,1979224.0835654777,1974651.7183221632,1969783.9098452092,1964616.435641115,1959147.0083991357,1953375.4204569517,1947303.6531841606,1940935.9464355102,1934278.8246832073,1927341.0781089426,1920133.6987095757,1912669.7732262518,1904964.3363303647,1897034.1888925156,1888897.6872482076,1880574.5101116863,1872085.410162913,1863451.9573561375,1854696.2807091153,1845840.814783462,1989167.2088816143,2131388.7496158546,2272502.7889736714,2412449.6392172202,2551124.652379805,2688386.6298610186,2824063.0653195158,2957953.074053087,3089828.857698462,3219436.425649415,3346496.150324514,3470703.6106401277,3591731.0819814093,3709229.953062433,3822834.2781537864,3932165.5965857264,4036839.063630963,4136470.836453748,4230686.549754887,4319130.606640045,4401475.912709141,4477433.6077675335,4546762.310440886,4609276.392811459,4664852.84598805,4713436.378592538,4755042.499091759,4789758.4574237475,4817742.048413169,4839218.397209204,4702215.793642052,4566000.747372344,4430795.202400171,4297237.018118506,4166069.6508035637,4038007.3705253126,3913677.501406788,3793598.4872932374,3678175.542010318,3567705.269056759,3462384.866819021,3362323.5096178544,3267554.4906500652,3178047.263810083,3093718.8555697626,3014444.3361956165,2940066.188292785,2870402.5135142147,2805254.088575424,2744410.3280369,2687654.2397881844,2634766.474470133,2585528.575874882,2539725.5385507164,2497147.7736494327,2457592.5761878025,2420865.1776108453,2386779.457743496,2355158.3805174003,2325834.2086622505,2298648.54409507,2273452.233146971,2250105.1690734294,2228476.0184839154,2208441.8933479106,2189887.9860151624
E,0.0,314.3399370861854,497.9119025241879,623.0886535758088,724.5888431958533,819.3155224451954,915.7539362386929,1018.4323159711391,1130.0424434941317,1252.449459965298,1387.173980876555,1535.6232070911901,1699.2023216471673,1879.3683974928722,2077.6562080702392,2295.68970409114,2535.1854638626996,2797.950852869804,3085.8779058902383,3400.9331073826525,3745.1428383348753,4120.574067996877,4529.309800687091,4973.418800366473,5454.919194524512,5975.735701755764,6537.650436374555,7142.247520734902,7790.852080794468,8484.46460665202,9223.692113687277,10008.67801921608,10839.033122750598,11713.770505134316,12631.247496988408,13589.118061806395,14584.298948526763,15612.952756776269,16670.49060534231,17751.596402254265,18850.273809265993,19959.91592563934,21073.39655870333,22183.180789377715,23281.451472834546,24360.24742560517,25411.608413036112,26427.721713560913,27401.06501855926,28324.540718681863,29191.597192644822,29996.33349496354,30733.584764205272,31398.98666782304,31989.018191465395,32501.02300731166,33983.10160759917,36182.54085846796,38970.19127627197,42295.860772954045,46159.12040372321,50590.96187967575,55642.59704914062,61378.67047139094,67873.00198661919,75205.6161574202,83460.26547154809,92721.95903604805,103074.21492605492,114595.90045478374,127357.63693178247,141417.83944899862,156818.54408286785,173581.24384316264,191703.00553876068,211153.16561425943,231870.8981491103,253763.91015027463,276708.4502731738,300550.72431329073,325109.7051687379,350181.2192660529,375543.09798545204,400961.1112414163,426195.35709165694,451006.7678744659,468499.29312251625,480377.6041409596,487481.72105964215,490324.9411584919,489314.62811739993,484837.8576002144,477288.6921804177,467070.6918565929,454589.7942681188,440244.4835929853,424416.37154214014,407462.4959072203,389709.74755022966,371451.3943680357,352945.46094716294,334414.6374297219,316047.37420416216,297999.8391252589,280398.4527500526,263342.76349940215,246908.47202702964,231150.45847930908,216105.70565764201,201796.04444832462,188230.67513439793,175408.43969835815,163319.8365780288,151948.78128520492,141274.12459645735,131270.94539912985,121911.63837251379,113166.81806552196,105006.06106660324,97398.5072292867,90313.33961754187
I,97.99610735393573,86.26663945950828,85.48147289786289,90.36178024114197,98.45712077199622,108.6640821861328,120.52433861791422,133.89195383456445,148.77589311401266,165.26574548653295,183.49698468888235,203.63502056214043,225.86817371662332,250.4048720266083,277.47281881051526,307.319043937507,340.2102971424951,376.4334989829968,416.2960819619916,460.1261051400311,508.27204485906435,561.1021688202549,619.0033990655141,682.3795658515321,751.6489516499121,827.2410244747535,909.5922640457062,999.1409944280364,1096.3211541286166,1201.5549603559775,1315.2444591302497,1437.7619974959782,1569.439707870063,1710.558156260459,1861.3343733743022,2021.9095570363015,2192.3368013487584,2372.569267302503,2562.44925530752,2761.6986666567595,2969.9113432961785,3186.547749866196,3410.9324072019795,3642.254403130354,3879.57119784303,4121.81581314662,4367.807355251477,4616.26467849118,4865.822861881712,5115.052050625908,5362.478118070527,5606.60453573901,5845.934802991564,6078.994784187709,6304.354328173111,6520.647598736298,6726.591620186875,6952.867319281504,7218.813362878781,7537.533963785084,7919.041496321471,8372.136902990123,8905.508326194935,9528.358300246116,10250.749871190534,11083.782073463444,12039.654245340833,13131.647474317311,14374.033258059964,15781.909705529102,17370.96144443129,19157.13914885361,21156.257230920884,23383.513039663136,25852.93722761484,28576.792049860185,31564.941399691943,34824.222434358555,38357.85281446108,42164.90915744983,46239.91087752256,50572.539120733076,55147.513366586194,59944.63914774312,64939.0301449418,70101.49762627855,75399.09073755931,80593.5042684954,85526.69409202685,90085.02789164419,94184.05317862476,97761.78953081541,100775.4230882711,103199.22450201603,105022.79228550065,106249.29033617215,106893.59803519372,106980.39589643553,106542.24660759859,105617.73661420762,104249.73464406755,102483.80949627126,100366.83444414612,97945.79190605585,95266.78059152175,92374.21843079767,89310.22817085125,86114.18830234124,82822.42961633009,79468.05680043728,76080.87471379784,72687.40000939829,69310.94033074545,65971.7251780131,62687.07454599795,59471.59345505779,56337.38243649809,53294.25583591978,50349.96142631948,47510.39626019777,44779.814933113164
A,751.954138285338,634.8509471529574,609.1905822286425,630.2781384316768,677.2339072153319,740.5153875285281,816.0026743495482,902.1935783008757,998.8744213709562,1106.4916868471305,1225.8566961429497,1358.0085558513747,1504.1522713887496,1665.6324413399216,1843.9236029186295,2040.628091932991,2257.476908830832,2496.3312534150223,2759.1833919428555,3048.1559644059043,3365.499019659109,3713.584123014073,4094.894884795747,4512.013245749705,4967.60084745177,5464.374827704163,6005.077424156532,6592.438854574867,7229.133078684416,7917.726242074659,8660.617862358147,9459.975142742613,10317.661184155215,11235.158303125383,12213.488130275964,13253.130637145221,14353.944683683689,15515.093056360434,16734.975236313134,18011.171259093222,19340.39996945645,20718.494714695436,22140.399051840384,23600.184379241957,25091.090571786008,26605.589748451766,28135.472291409253,29671.9532351056,31205.796220306886,32727.4514242736,34227.20328454852,35695.32346420544,37122.22437610166,38498.60868911165,39815.61055993763,41064.9248357673,42238.92111240366,43575.247753784715,45215.689746797994,47249.87422375496,49741.78136371794,52745.32769935067,56313.25085396597,60502.00217111582,65374.29669303249,71000.27452010353,77457.78950102483,84832.0761473036,93214.89288124627,102703.15881134513,113397.06694058258,125397.65391806902,138803.8259697163,153708.8761898311,170196.57444194017,188336.96184949094,208182.03071679306,229761.51083891327,253079.0081659885,278108.7468314052,304793.1482014876,333041.44135195133,362729.4416186583,393700.56334237295,425768.0567591569,458718.3846016968,492315.5880604118,524754.444300001,554907.8593468248,582019.8945937821,605571.8761278423,625220.7743568446,640767.1257545837,652134.3022255566,659351.5935593831,662538.2663701513,661887.8160163594,657652.4774207455,650128.354469353,639641.5673468468,626535.7476441696,611161.1035162772,593865.1665187587,574985.2343972913,554842.4465891703,533737.3727849068,511946.9580830253,489722.64822202193,467289.5117871335,444846.17988812673,422565.43461000937,400595.29300757934,379060.45148051943,358063.9744266396,337689.1299457669,318001.29323517875,299049.85465465666,280870.0839534381,263484.91472692514,246906.6238194728,231138.38920918337
IH,0.0,5.3077909016317495,8.060432204576479,9.774908097941587,11.13358663840822,12.43929749598236,13.825571552271956,15.352816754531364,17.05168693770179,18.942233946076072,21.042109250676916,23.369917437460938,25.946492900620633,28.79533423706454,31.942729672125083,35.41779206433782,39.25248401699345,43.48165521000184,48.14309065401823,53.277559967248195,58.92885503645983,65.14380272081573,71.97223905869235,79.46693121931331,87.68343310878434,96.67986017882154,106.51656875410197,117.2557252791143,128.96075148847353,141.6956328286611,155.52407969783488,170.50853439380535,186.709021195527,204.18184281115532,222.9781334748159,243.14228711792077,264.7102879980094,287.70798051492045,312.14932412084096,338.03468756675136,365.3492434863614,394.061528760412,424.1222375632217,455.46331195768914,487.9973890911152,521.6176544533799,556.1981376054391,591.5944708907709,627.645113790634,664.1730268510752,700.9877606635027,737.8879083744569,774.6638556683758,811.1007509377797,846.9816109884844,882.0904743847659,916.2155153848668,949.152036046549,982.4311579776981,1018.0776374204023,1058.0936376961579,1104.2994370066272,1158.333601675771,1221.7126022306713,1295.9028369539528,1382.3853512981989,1482.7066524951283,1598.5146279117398,1731.580466655339,1883.8077048488844,2057.2291273193805,2253.991785753833,2476.330077995469,2726.526774294655,3006.8620987081877,3319.551457952235,3666.673103807657,4050.0878393027297,4471.353732586078,4931.639573174703,5431.641382653063,5971.506583093045,6550.770370575463,7168.308418927574,7822.309275309553,8510.268769786118,9229.007540282082,9974.711482610735,10732.03867238884,11482.636214253245,12208.634808118903,12894.054306659524,13525.337564268752,14091.51215436096,14584.180822332466,14997.420245861638,15327.620952279147,15573.284941609476,15734.792822399999,15814.151238072081,15814.730991969212,15741.005569289355,15598.298538638384,15392.54672904389,15130.084323564894,14817.451270633097,14461.227821607437,14067.895638428334,13643.724815760324,13194.6853320633,12726.380866125797,12244.002559156697,11752.300130764106,11255.567731918658,10757.642003080491,10261.909968692573,9771.324612647548,9288.426220643367,8815.367826974034,8353.943352110058,7905.617254094654
IN,6.4216769927957,12.571239593754076,17.691587390597764,22.543511873788095,27.509645353893198,32.7958291637201,38.52687572418806,44.792274554019016,51.6681599221643,59.22802745131381,67.5481291967911,76.71036366561718,86.80399826228332,97.92685837736256,110.18628237578967,123.69998160904737,138.5968673339062,155.01786836492045,173.1167436305968,193.0608826517765,215.0320796107881,239.22726090607185,265.85914086051946,295.1567751358704,327.3659762730392,362.7495506827186,401.58731152888015,444.17581755514766,490.8277843615542,541.8711123829586,597.6474753457986,658.5104148174611,724.8228911427599,796.9542490680616,875.2765680638064,960.1603829792252,1051.9697801720056,1151.0568973291251,1257.755881175297,1372.37638514341,1495.1967175174564,1626.4567779442011,1766.3509447701908,1915.021095590716,2072.54995702096,2238.9549856320755,2414.182979289593,2598.105606390367,2790.516019927635,2991.126694740464,3199.5685910906045,3415.3917076586185,3638.067044248624,3866.9899511385192,4101.48480025612,4340.810875140469,4584.169343573039,4830.711150038467,5081.633735847497,5339.3510627889245,5607.033520594405,5888.373265869656,6187.482727532893,6508.869406267214,6857.4528416712,7238.603541642013,7658.191761121978,8122.638428463855,8638.962697941568,9214.821501813864,9858.536692667647,10579.105302376958,11386.188365816999,12290.07385493284,13301.60967659355,14432.103492186423,15693.187352875902,17096.64678934316,18654.215966422955,20377.34267437531,22276.929101599228,24363.056320996457,26644.702032887057,29129.462182098072,31823.287498415735,34730.24575482703,37852.31961983856,41189.248480855094,44725.16664740548,48434.5241084781,52285.40720166909,56241.720420533,60264.83621021364,64314.95824462307,68352.29049898614,72338.04167065819,76235.27154319402,80009.58026247322,83629.64295793054,87067.59596033877,90299.28487201328,93304.38800645107,96066.430915137,98572.70884542378,100814.13415438344,102785.02512676308,104482.85150968225,105907.95056828653,107063.22574563946,107953.83820709177,108586.89976446802,108971.17398119532,109116.79070451885,109034.97788398068,108737.81332956436,108237.99803975849,107548.65188229307,106683.13172586236,105654.87158379848,104477.24392278184,103163.44099327599
D,3018.0,3018.0,3018.0515791157063,3018.129907364318,3018.2248962448425,3018.33308825242,3018.45396866703,3018.588320371537,3018.7375132705183,3018.9032151509896,3019.087288656248,3019.291767959947,3019.5188680281094,3019.771006287566,3020.050828515672,3020.3612359488716,3020.7054127314173,3021.0868536081202,3021.5093919798733,3021.9772284280916,3022.494959718007,3023.067608167936,3023.7006511420022,3024.4000502922045,3025.172280042048,3026.024354667003,3026.963853186642,3027.998941140601,3029.1383881786414,3030.39158025909,3031.7685251267762,3033.279849640218,3034.9367874486975,3036.7511554948655,3038.735317849915,3040.902135488294,3043.264900787979,3045.837255808429,3048.6330937552584,3051.6664434867894,3054.9513374447265,3058.501663984006,3062.331005712804,3066.452466103827,3070.878487268346,3075.6206623582852,3080.689546542335,3086.0944708558354,3091.843363423538,3097.942582580189,3104.3967662577065,3111.2087016722835,3118.379218844062,3125.9071108401013,3133.7890828803456,3142.019731623666,3150.591555096925,3159.494992884095,3168.7184953915335,3178.2653918895235,3188.1586874679924,3198.440843487006,3209.1720100855823,3220.4282603740057,3232.300403952794,3244.8935003294587,3258.3270012541934,3272.7353868528244,3288.269150800835,3305.0959985233044,3323.402133293428,3343.393512222815,3365.296956663856,3389.3610010068173,3415.856362744704,3445.0759177303044,3477.334070305654,3512.965420481959,3552.3226508543994,3595.7735847384306,3643.6974033064485,3696.4800514068315,3754.5089064802064,3818.1668291775277,3887.8257543708655,3963.840013914885,4046.5396050826457,4136.223629302329,4233.154123972124,4337.444039439208,4449.027979516195,4567.66690087817,4692.966471138681,4824.400614669156,4961.336629926225,5103.060214004511,5248.799503380095,5397.7475590311915,5549.082884935654,5701.987683682051,5855.663657665017,6009.345265478309,6162.310437362345,6313.888835995047,6463.467815925968,6610.496284913324,6754.486703474497,6895.015476534721,7031.721995372197,7164.306581686875,7292.52757118405,7416.197754011927,7535.180365876573,7649.384798472824,7758.762172439605,7863.300891444863,7963.022272986209,8057.976330548099,8148.237763155994,8233.902192212858,8315.082671766091
R,0.0,117.37530552421794,218.6427649604544,317.09994939777,419.65020480933026,530.2016392989345,651.2916038190845,784.8681387328518,932.6704004736831,1096.4182848453738,1277.9113915916723,1479.0851132100313,1702.046683100667,1949.1021084050858,2222.779209504236,2525.8492406125806,2861.34822586431,3232.5984741494135,3643.230380741536,4097.204415377078,4598.833053720184,5152.80229315977,5764.192286272505,6438.49651798703,7181.638842928305,7999.987588325544,8900.365818271302,9890.056751970866,10976.803238582304,12168.800122528944,13474.678295272874,14903.479232857153,16464.61887369877,18167.839808192814,20023.150939059764,22040.754034543625,24230.95693691423,26604.07360229382,29170.311624465354,31939.648418257977,34921.697784176074,38125.56911654484,41559.722020292924,45231.81953298539,49148.58347680836,53315.655662371886,57737.46871220878,62417.13015593556,67356.3231711897,72555.22691563424,78012.45883663307,83725.04068606875,89688.38924339798,95896.33199844095,102341.14730443196,109013.6278164583,115903.16541037915,122997.85525574531,130322.693906976,137925.34802640518,145868.25704770526,154224.66322979113,163077.00251544564,172516.6747864831,182644.59597317642,193572.173346682,205422.4861019817,218331.5308520291,232449.43005058545,247941.51672258816,264989.2117568571,283790.60742486385,304560.6675938144,327530.9548332066,352948.79986401903,381075.84131924686,412185.8844091914,446562.05561519077,484493.2656732471,526270.0325251494,572179.7564792307,622501.5779805242,677500.9806215714,737424.3253104956,802493.5137117825,872900.9791618161,948805.1913868028,1030326.8387424424,1117304.1253840714,1209393.6586351856,1306126.779506354,1406946.4129221046,1511234.9088827067,1618337.145836701,1727580.5203238314,1838292.3481959836,1949814.7902344367,2061517.3048072574,2172806.6463423073,2283134.488663892,2392002.818492173,2498967.299868563,2603638.848872418,2705683.679030345,2804822.083183319,2900826.2102592373,2993517.0786590343,3082761.044883034,3168465.9192762435,3250576.892537674,3329072.4085970516,3403960.092824292,3475272.8201108878,3543064.985623207,3607409.02218928,3668392.192360505,3726113.670066271,3780681.9162394744,3832212.3445671457,3880825.267320865,3926644.1067507
G,267897.0,267897.0,267906.54036376014,267921.65222232515,267940.5632536915,267962.5548631723,267987.42147156736,268015.2150308188,268046.1249268044,268080.4222422371,268118.4346677342,268160.53604530287,268207.14292615285,268258.7145094549,268315.7542172235,268378.8120525633,268448.4873062408,268525.43136797496,268610.35048187064,268704.00831617095,268807.2282228399,268920.8950554499,269045.9564010547,269183.4230668608,269334.36864802643,269499.9279908206,269681.2943576199,269879.7150988017,270096.4856435961,270332.9416394242,270590.4490990485,270870.39245843154,271174.1605063182,271503.13021903706,271858.6486194597,272242.0128746757,272654.4489484719,273097.08922652696,273570.94962762756,274076.90679587447,274615.6760294967,275187.7906350596,275793.58339660836,276433.17081491556,277106.440702444,277813.04361766344,278552.3884934107,279323.6426656868,280125.7363507476,280957.37145927263,281817.03448618593,282703.0130816486,283613.41579937295,284546.19443711685,285499.16833310906,286470.0499611498,287456.4711742506,288487.8741644012,289586.031162064,290768.7946506121,292052.4937601267,293453.44460201444,294988.9039005743,296677.6826835974,298540.55397141137,300600.53125093796,302883.05679191265,305416.11479115277,308230.2695115394,311358.620028503,314836.65907722944,318702.0227826007,322994.1201947958,327753.6361785272,333021.9079213827,338840.18358723086,345248.78068672627,352286.1706354538,359988.023713596,368386.2542902858,377508.10900878935,387375.340255364,398003.50365304615,409401.4119035988,421570.76871639886,434505.9966649376,448194.2625076255,462413.43465352413,476993.1190811982,491788.41677210276,506670.0075196409,521520.93479497446,536235.9899962707,550721.9245046701,564897.7379355691,578694.7503011281,592056.3757942404,604937.6107012847,617304.2875722083,629132.1602471459,640405.8833837397,651117.9428062261,661267.5830885605,670859.768361918,679904.2025247335,688414.4263983349,696407.0021450723,703900.789477458,710916.3137460531,717475.2227466977,723599.826852817,729312.7156707192,734636.4436603411,739593.276904774,744204.9933153873,748492.728914751,752476.8633580381,756176.9384660575,759611.6041974665,762798.5871461864,765754.6772862938
H,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4567774.576783242,4415515.4242238,4263256.271664359,4110997.119104917,3958737.9665454756,3806478.813986034,3654219.6614265926,3501960.508867151,3349701.3563077096,3197442.203748268,3045183.0511888266,2892923.898629385,2740664.7460699435,2588405.593510502,2436146.4409510605,2283887.288391619,2131628.1358321775,1979368.983272736,1827109.8307132944,1674850.678153853,1522591.5255944114,1370332.37303497,1218073.2204755284,1065814.0679160869,913554.9153566455,761295.7627972041,609036.6102377627,456777.4576783213,304518.3051188799,152259.1525594385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
