series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,760556.3136771778,760538.7233987486,760522.4853270792,760506.1868412104,760488.9264997394,760470.072567316,760449.1275879592,760425.6510929668,760399.2141254415,760369.3710761524,760335.6407979669,760297.4925175944,760254.3340143766,760205.5006082831,760150.2440884928,760087.721036841,760016.9801762793,759936.9484691643,759846.4157402586,759744.0176253689,759628.2166604396,759497.281334856,759349.2629414101,759181.9700674121,758992.9405898572,758779.4110654372,758538.2834467643,758266.0891130656,757958.9502808411,757612.5389619875,757222.0337684047,756782.0750279338,756286.718881131,755729.3912755159,755102.8430655428,754399.1077619237,753609.4638483353,752724.4039866249,751733.6138457442,750625.96368819,749389.5161939033,748011.5542479188,746478.6325074115,744776.6564323189,742890.9920464571,740806.6089353929,738508.257844103,735980.682703725,733208.86502826,730178.2964679084,726875.2730310403,723287.2022869174,719402.9129641583,715212.9549985357,763425.3141214689,810874.3393144913,857490.9538480093,903184.7932666666,947846.0100093823,991346.7323829964,1033542.3732119994,1074273.0083789604,1113365.0323822906,1150633.2640793845,1185883.6282244336,1218916.4806904753,1249530.580401044,1277527.6431878016,1302717.347710783,1324922.6077212724,1343984.8844276422,1359769.2919899167,1372169.250066608,1381110.4588132862,1386554.0102111937,1388498.4998686076,1386981.0596951868,1382077.2886844168,1373900.1120541238,1362597.645090333,1348350.1753920189,1331366.405068499,1311879.1128328254,1290043.2884789289,1213612.155331386,1139905.5415938315,1068919.578763632,1000774.7604558151,935621.3734137652,873594.183915324,814792.1218212321,759271.066934693,707043.5974438336,658082.3827050832,612325.354805604,569681.57734881,530037.1745794476,493260.9486352223,459209.4770879712,427731.58829506836,398672.1806976681,371875.3967294109,347187.19007421925,324457.341555898,303540.9873270433,284299.7256753204,266602.3674813622,250325.3914991939,235353.1602062119,221577.94574159218,208899.80896713154,197226.36832478183,186472.4891824055,176559.91890550137,167416.88804499,158977.69381272007,151182.2784129242,143975.8117709505,137308.28569754044,131134.12448819302,125411.81532162201
E,0.0,17.590278429165902,30.209880666091824,40.293937912405184,49.26547467599663,57.98508120411519,67.0020376636443,76.69564535420578,87.35566827732195,99.22891585558166,112.54696462234645,127.54338001218,144.4651284371906,163.58083259623385,185.18738801194544,209.6158236238536,237.23693179558802,268.466990352171,303.7737828340485,343.68305469701073,388.78550096031165,439.74435222822945,497.3036035389086,562.2969093243371,635.6571445456223,718.4266041772196,811.7677783587769,916.9745965358225,1035.4839786217572,1168.8874625226076,1318.9425932982767,1487.5836581452888,1676.9312322665737,1889.2998636007203,2127.203071014037,2393.3546649704876,2690.665229144816,3022.2324372986222,3391.3237383288997,3801.3498456426105,4255.827442533041,4758.329595626272,5312.422589304465,5921.588290249218,6589.131751761792,7318.074587903286,8111.035681690052,8970.102003533992,9896.693633472667,10891.428392839334,11953.992653709864,13083.02574319247,14276.025730989819,15529.284147928745,16837.856253085567,18640.577909878273,20904.87509490947,23626.16226337433,26820.280261642354,30517.835471739283,34759.853765725806,39594.25858781601,45072.79650753253,51248.14502727024,58171.03954369789,65887.34763332429,74435.098472732,83841.54140627908,94120.3575287504,105269.17852647322,117267.57581089239,130075.67017569352,143633.48040697546,157861.08343809852,172659.60522927917,187913.0073421004,203490.58512751217,219250.05390727805,235041.07194365986,250709.03400101955,266098.9661387403,281059.3593595727,295445.7947480121,309124.23355802963,321965.8905948329,329441.39047631447,332658.46573513595,332372.6168111368,329154.13816893846,323471.5303314305,315732.75570832094,306304.9054397963,295522.85852077557,283692.51532896137,271091.5872096993,257969.52641344804,244547.410106145,231018.16011307618,217547.23717002355,204273.81455083122,191312.36632299158,178754.57427512677,166671.44922422696,155115.56732019765,144123.3340242898,133717.20375059996,123907.79925687173,114695.89023611107,106074.2043255748,98029.0554874235,90541.78429523343,83590.01214466676,77148.71697415024,71191.14197471841,65689.55125447686,60615.84776875661,55942.069280846496,51640.777902121576,47685.35806491759,44050.23676477225,40711.03869787665
I,5.859488394185679,3.5212116772067925,2.4832812553632757,2.1230089193058235,2.117034289816641,2.300745526571223,2.593187306793712,2.9571776883527194,3.3782912814171304,3.8539087615340843,4.387608786303193,4.986376618100767,5.659286213537294,6.416946489451184,7.2713409097115616,8.235869221777204,9.32549489141687,10.556951241860542,11.948984792240207,13.52262717660603,15.301493339587495,17.312106618003643,19.58425247179838,22.151362852064345,25.050932886789948,28.32497089563283,32.02048176051465,36.189982359521004,40.8920460602127,46.19187108573476,52.16186482133794,58.8822327237699,66.44155633922941,74.93733995070903,84.47649951779924,95.17576084992264,107.16192645733447,120.57196245856335,135.55284864905357,152.26112691136274,170.86207636515624,191.52843906855347,214.43861900443036,239.7742810480114,267.7172872658097,298.44592683535745,332.13042438410235,368.9277502692197,408.97580489294,452.3871058403021,499.242168088256,549.582828743925,603.4058222719997,660.6569526769424,721.2262284213707,784.944318052276,860.8711798484195,953.7712634140785,1066.411991927315,1200.7871401510802,1358.7338299630987,1542.2125749945467,1753.4020429619447,1994.6918161064907,2268.6176594129965,2577.7626392294997,2924.636620233913,3311.541832377085,3740.4306752130096,4212.762051892292,4729.363234301955,5290.304870548508,5894.796845093322,6541.112097478137,7226.544185414539,7947.402469579422,8699.046518844445,9475.958941287216,10271.853582589254,11079.81409714375,11892.456420629123,12702.107719411793,13500.993965029978,14281.428338720214,15035.993139791768,15757.542071929875,16347.219408696692,16768.745095227692,17016.089753210697,17097.536296891605,17027.843311125893,16824.39700856919,16505.30937077354,16088.45602092347,15590.965548716551,15028.929108738232,14417.224443260002,13769.407708625055,13097.65305686157,12412.730821850031,11724.018912676649,11039.542818895712,10366.03946289988,9709.0398586899,9072.965473031983,8461.233398709608,7876.365897695188,7320.10047742351,6793.497347918683,6297.041806290328,5830.739760083608,5394.205200577993,4986.738953708658,4607.398462953845,4255.058696216819,3928.4645235675725,3626.275093944173,3347.100857299655,3089.533945312529,2852.172649301512,2633.640728096094
A,51.87524309506126,49.78301721193302,51.026406289563724,54.55214287204329,59.799527880675505,66.49349555299187,74.52913793842399,83.90730231124735,94.69890847274559,107.02557331206098,121.04962675287427,136.9696542077504,155.01940193716496,175.46883586476227,198.62668352698302,224.8440964433087,254.5192479964654,288.10278647225516,326.10412577884966,369.0985951801074,417.73549397365196,472.74711284377804,534.958793499433,605.3001035358011,684.8172046585231,774.6864892699517,876.2295522487979,990.929550473628,1120.44898080365,1266.6488760548489,1431.609375895275,1617.6515731494158,1827.3604631594353,2063.608731929802,2329.5810052288352,2628.798043500122,2965.1402050487213,3342.8693126055186,3766.647848228986,4241.5541736979785,4773.092237047886,5367.193994415418,6030.2125690656485,6768.904011361515,7590.395444936471,8502.137419991097,9511.838480489301,10627.380321539657,11856.712491861212,13207.726394998637,14688.109352019332,16305.180671695976,18065.712966596988,19975.743262440126,22040.379659710376,24263.610297415828,26730.373007087026,29516.159223619365,32692.5681191356,36331.23901881998,40506.578912552155,45297.57667622624,50788.89316195303,57071.339069302616,64241.79897582053,72402.62740447902,81660.52848566876,92124.93174882056,103905.88975305477,117111.54512391829,131845.2411538077,148202.3772665248,166267.13432815974,186109.2116351929,207780.7251075952,231313.413729045,256716.28887129147,283973.8401686628,313044.8841755176,343862.11061407544,376332.34809131414,410337.53897809965,445736.383547282,482366.5878391485,520047.6289769766,558582.4613934276,596944.8170329927,634354.5626452374,670202.6692400326,704010.0792964834,735403.6500773982,764100.692557663,789897.7689721703,812661.542655637,832320.5945822907,848857.7158997497,862302.4983697339,872724.2022117054,880224.9522152703,884933.3365853778,886998.4808810478,886584.6545223885,883866.4472869254,879024.53243056,872242.0140285725,863701.340088975,853581.750424708,842057.2191873986,829294.8460879769,815453.6472332756,800683.6957059412,785125.5630161987,768910.014898126,752157.918201737,734980.319498175,717478.660184952,699745.0971283355,681862.9020426252,663906.9167608672,645944.0452183179,628033.7663009211
IH,0.0,1.1663790586470961,1.2917500983811312,1.1486477076124029,1.0044446737834134,0.9302099685205065,0.9291759315004897,0.9868650713286813,1.0885425095330215,1.223872867101303,1.3870994057489354,1.5760184363077543,1.7909041633870237,2.0337017293451622,2.307508229017034,2.616277888470629,2.9646810326186555,3.3580619939746477,3.8024588252032583,4.30466172293069,4.872296749769186,5.5139276016204715,6.239171867603037,7.0588303340360055,7.9850289943948205,9.031373928527508,10.21311933515285,11.547348866843986,13.053170085789901,14.751921350342023,16.667389750395355,18.826037812577077,21.257235563980977,23.993493142219986,27.070687437637,30.528274225374837,34.40947487957105,38.761424071477016,43.63526188492071,49.086150631923076,55.1731934779325,61.95922902866298,69.51047361940643,77.89598161177479,87.1868940642853,97.455448295044,108.77372571482807,121.21212344563804,134.83754706963953,149.71133751459547,165.88696430005808,183.40753933798442,202.30322879406802,222.58866317408814,244.2604653398837,267.2950299025605,291.64669284740967,319.0957820194577,351.4925172197381,390.324997275971,436.74388920429476,491.69775239787407,556.0573316680424,630.6973805490722,716.5366674361321,814.5453551266938,925.7290557474686,1051.0967667347072,1191.617868948605,1348.1720390487744,1521.4952799375742,1712.1250858478456,1920.3477851794582,2146.151137355734,2389.1851564661974,2648.7338192428733,2923.699775355495,3212.603451121581,3513.597093102829,3824.4934196020045,4142.807717663098,4465.811508613586,4790.595353447858,5114.13800484947,5433.378939301909,5745.291308255998,6046.919346327146,6317.087783319437,6537.848538683904,6698.909894884489,6796.707409888235,6832.373348359792,6809.942121676064,6735.062680974637,6614.154766274252,6453.879854156965,6260.815361848739,6041.254587042811,5801.083835463504,5545.708153605588,5280.009366761513,5008.327091310558,4734.457079952691,4461.663093830337,4192.699370202688,3929.841184822353,3674.9212687669606,3429.3700606871907,3194.2580079862246,2970.3383845137946,2758.089360149793,2557.7543256686354,2369.379731395339,2192.8499302233176,2027.918718044437,1874.2374344264863,1731.3796231041733,1598.862357186454,1476.1644109065546,1362.7415119700008,1258.038940092784
IN,1.1718976583317902,2.2467988449519867,2.7650764986676495,3.032870892511827,3.20644582061853,3.364459247845578,3.5461363523210037,3.771264630029841,4.050557402903045,4.390956186989247,4.798304093042304,5.27867633651279,5.839042347482252,6.487609496500375,7.234027623874504,8.089544557692347,9.067157107128297,10.181779045170291,11.450436415460537,12.892495341525905,14.529925364331705,16.387600622853814,18.493641122640618,20.879796504197977,23.581874920958782,26.640219756718952,30.100236888733523,34.01297498403728,38.43576085215864,43.43289110916159,49.07638026675854,55.44676376434546,62.633952316977755,70.73813115364473,79.87069415620773,90.1551984688112,101.7283197301379,114.74078161251039,129.35822580571644,145.7619800071141,164.14967202821796,184.73562810247012,207.75098336585933,233.44342299046733,262.0764645375877,293.9281869693587,329.28931084243834,368.4605390693911,411.74907983783686,459.46429418622506,511.91244125177286,569.3905344893607,632.1793713510152,700.5358549354155,774.6847856011198,854.81035896117,941.0476587030756,1035.3325794341897,1140.393674143112,1259.2871416000905,1395.214977854029,1551.481578201539,1731.5099400823112,1938.8754773475916,2177.335587852753,2450.8438274220284,2763.5431343765586,3119.735514253353,3523.8273470704034,3980.250782306118,4493.362906715059,5067.325630923176,5705.970519153114,6412.653978847881,7190.109199809687,8040.301860765111,8964.296815872603,9962.142696463176,11032.780630349545,12173.982156000628,13382.31998970155,14653.173706792604,15980.770742559258,17358.261514426977,18777.826007292628,20230.80791859844,21707.838157650254,23180.55195647708,24615.676251862013,25981.486073872453,27250.538870618668,28400.615192083776,29414.811906206734,30281.247327815137,30992.59832821005,31545.573622576918,31940.372572400414,32180.153586672102,32270.524888128377,32219.065344439045,32034.880596819683,31728.1982059822,31310.00430839009,30791.723116484965,30184.939478023472,29501.163671054506,28751.636701165597,27947.173622661376,27098.041843102197,26213.870991845608,25303.590725552338,24375.392786120774,23436.713693697147,22494.23462234717,21553.89524259538,20620.918599611396,19699.844407808618,18794.56846503168,17908.386208911183,17044.038744256643,16203.759956403757
D,1072.0,1072.0,1072.0215769291374,1072.045473106053,1072.0667220216667,1072.0853033151047,1072.102511335452,1072.1197002270746,1072.1379563141968,1072.1580933394778,1072.1807338506658,1072.2063939011978,1072.2355487783086,1072.2686788417634,1072.306300434654,1072.3489871934503,1072.3973859041307,1072.4522297493468,1072.5143507769371,1072.5846927331056,1072.6643249763868,1072.754457940389,1072.8564604791409,1072.971879363135,1073.1024611673788,1073.2501767864949,1073.4172488149443,1073.606182035695,1073.8197972634182,1074.061268784937,1074.334165626883,1074.6424968549545,1074.9907610670118,1075.3840001791343,1075.8278575147492,1076.3286400864285,1076.8933848019344,1077.5299281243022,1078.2469784642017,1079.05419027635,1079.9622384669963,1080.9828912960497,1082.1290794792544,1083.4149586730491,1084.8559619754183,1086.4688385278455,1088.2716737950986,1090.2838866810887,1092.5261983710916,1095.020567741505,1097.7900884189105,1100.8588431663343,1104.2517122771264,1107.9941340906814,1112.11181759716,1116.6304093128049,1121.57511907609,1126.9703119836354,1132.87328754345,1139.375572611196,1146.5962224885557,1154.6755787481572,1163.7715304302872,1174.058074545408,1185.72539023181,1198.9806529896505,1214.0489854296582,1231.1741130527942,1250.6184268753343,1272.6622505590115,1297.6021809666315,1325.748430331022,1357.4211540290405,1392.9458042469719,1432.6476067318033,1476.845312816279,1525.8444280677986,1579.930158091979,1639.360337755684,1704.358620203545,1775.108195900556,1851.7462904300712,1934.3596550544821,2022.9812191171495,2117.5880216925116,2218.1004850128666,2324.3830374239874,2436.245428357638,2553.1056844166305,2674.0498093855645,2797.9734198345814,2923.706193467217,3050.0987538315453,3176.076357338554,3300.668760747975,3423.024480046601,3542.415262350159,3658.2345308833033,3769.992129032179,3877.3067913710524,3979.8972408136037,4077.5725095067046,4170.22190846918,4257.804966618936,4340.341589423313,4417.902633180537,4490.60104467676,4558.583674520646,4622.023835107169,4681.1146411139225,4736.063142085004,4787.08523326312,4834.401312394218,4878.232636512109,4918.798323286559,4956.31293584003,4990.984587400861,5023.013502152613,5052.590970579958,5079.898640975044,5105.108093098148
R,0.0,2.1892223548398295,4.937007508894331,7.837383704959722,10.834157223329315,13.988444194096807,17.390531837997546,21.13125807624749,25.29625662570595,29.96790985019516,35.229170847510886,41.16728921888799,47.87698007165554,55.463093024159555,64.04296909634132,73.74867055569939,84.72923131861035,97.15303830621772,111.21042664390171,127.11655410513995,145.1146105217089,165.47941361450216,188.52144193569606,214.59135699962832,244.0850692944514,277.4494060735463,315.1884421540539,357.8705580041995,406.13629179730316,460.7070534302508,522.3947682617238,592.11251594119,670.8862244811215,759.8674708532147,860.3474259133126,973.7719623005092,1101.7579179274942,1246.1104735294803,1408.841559219477,1592.1891509681489,1798.6372525028992,2030.9362808692026,2292.123485074825,2585.542928072495,2914.864455326918,3284.1009624105122,3697.6231653066,4160.170978061536,4676.86052256008,5253.185745296537,5895.013607496992,6608.571858782115,7400.428509886178,8277.462292543889,9246.823635442393,10315.88598899381,11492.18768686838,12786.682257178814,14214.373747037835,15794.258543178967,17549.182118926816,19505.802461710642,21694.687352478057,24150.51598523204,26912.341521193524,30023.872027374047,33533.73173552936,37495.66898178399,41968.680900749045,47017.028376315495,52710.118537863236,59122.236742682355,66332.11574761105,74422.336608644,83478.56347700133,93588.62243167625,104841.44226204345,117325.88214719386,131129.47699775803,146337.1354768198,163029.8281895713,181283.30416446063,201166.8726120101,222742.28421815412,246062.7421601006,271172.06792400416,298103.9816895159,326848.63299580343,357352.3021204652,389525.4275531026,423251.61255295604,458395.4464967424,494808.8160821073,532335.9200946413,570817.2791698319,610092.9764438482,650005.2924761889,690400.8417981475,731132.282788624,772059.6526288316,813051.3691525958,853984.9370187534,894747.3938262912,935235.5308290948,975355.9218807876,1015024.7927687122,1054167.7610961283,1092719.4744133784,1130623.1715174967,1167830.1888853197,1204299.4312151978,1239996.822140097,1274894.7484254977,1308971.5084373816,1342210.7733935898,1374601.0679115008,1406135.2746370109,1436810.1662740072,1466625.9671123393,1495585.9451535884,1523696.0351332643
G,118692.0,118692.0,118692.367237867,118692.99793920484,118693.83916863005,118694.86769969677,118696.07827277695,118697.47709574019,118699.07829525057,118700.9020474679,118702.97368127122,118705.3233602369,118707.98612416156,118711.00216883858,118714.41729818328,118718.28351449379,118722.6597310652,118727.61260234336,118733.21747353936,118739.55945593085,118746.73463695143,118754.85143616349,118764.03211960683,118774.41448594352,118786.15373830576,118799.42455575458,118814.42337767646,118831.37091313621,118850.5148849774,118872.13301508005,118896.53625236993,118924.07223860295,118955.12899826732,118990.13882777776,119029.58234510635,119073.9926437622,119123.9594743432,119180.13335263319,119243.2294655416,119314.03121555322,119393.39321170711,119482.2434819639,119581.58465033858,119692.49379530548,119816.12068738288,119953.68409774361,120106.46588076334,120275.80256607586,120463.0742536635,120669.69069097358,120897.07452390697,121146.64185065404,121419.78036220216,121717.82551593996,122042.03534635936,122393.56465501506,122782.72996009368,123219.16772148035,123712.41866517511,124272.35423159256,124909.48484037079,125635.17742139632,126461.79941762338,127402.7986016833,128472.7225112678,129687.17790316675,131062.72912623029,132616.73447658736,134367.12114364162,136332.1019413869,138529.84023977525,140978.07291458372,143693.70427064833,146692.38636582435,149988.10267855058,153592.77246232374,157515.8923990601,161764.2304079268,166341.58388536997,171248.61149530738,176482.74415871964,182038.1773560784,187905.94346607698,194074.0597875338,200527.74524950955,207249.530091376,214127.38333445066,221072.40048631685,228011.44987880066,234883.3060636095,241636.5246276633,248228.17831954968,254623.00376696183,260792.72897344266,266715.46832252754,272375.1340663028,277760.84635124635,282866.34082251554,287689.38081589824,292231.1840438668,296495.8737838304,300489.9632249065,304221.87962622766,307701.53276245744,310939.93005735136,313948.83898311964,316740.49579995504,319327.35854276025,321721.9013155649,323936.4463949564,325983.0303297343,327873.3001098866,329618.43552012334,331229.09395157464,332715.3741849147,334086.7959497345,335352.29238463996,336520.21285168047,337598.3338833319,338593.876350354,339513.5272277157
H,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1581365.9828650495,1528650.5462047083,1475935.109544367,1423219.6728840258,1370504.2362236846,1317788.7995633434,1265073.3629030022,1212357.926242661,1159642.4895823197,1106927.0529219785,1054211.6162616373,1001496.1796012961,948780.7429409549,896065.3062806136,843349.8696202724,790634.4329599312,737918.99629959,685203.5596392488,632488.1229789075,579772.6863185663,527057.2496582251,474341.8129978838,421626.37633754255,368910.93967720127,316195.50301686,263480.0663565187,210764.62969617744,158049.19303583616,105333.7563754949,52618.31971515363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
