series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,814064.3200492546,813756.5269748493,813506.5084933474,813284.2792972713,813073.0384494963,812863.2543855862,812649.4138451985,812428.2259589161,812197.6273575008,811956.2301791222,811703.0156075383,811437.1637584585,811157.9593833119,810864.7397899107,810556.8663148413,810233.7089749944,809894.6385332218,809539.0227743065,809166.2252114256,808775.6052349526,808366.5191553374,807938.3218358733,807490.3687461438,807022.018341062,806532.6347105457,806021.5904659354,805488.2698396133,804932.0719785597,804352.4144134178,803748.7366834928,803120.5040958511,802467.2115938171,801788.3877070025,801083.5985517728,800352.451847915,799594.6009143514,798809.748604172,797997.6511371251,797158.1217861158,796291.0343733015,795396.3265311042,794474.0026839529,793524.1367078596,792546.874227035,791542.4345096818,790511.1119288191,789453.2769584662,788369.3766806633,787259.9347845513,786125.5510449547,784966.9002744985,783784.730750087,823276.5940540058,862670.0973325141,901963.0518411908,941149.2935514192,980219.5358818746,1019161.8748526021,1057962.0454277806,1096603.5027783213,1135067.3812886567,1173332.3682397234,1211374.517845715,1249167.0239052128,1286679.9649084471,1323880.033295091,1360730.2601032446,1397189.7470435172,1433213.419718039,1468751.8179766638,1503750.9419623285,1538152.1749190404,1571892.3059460192,1604903.6771533547,1637114.4796417286,1668449.2209218347,1698829.3823953979,1728174.2790621084,1756402.1246415605,1783431.2940552842,1809181.7623024296,1833576.685135371,1815847.3419000357,1797200.7902582674,1777637.4292089508,1757208.4542974546,1735994.7618740115,1714095.483950937,1691620.9724082449,1668687.9272762411,1645415.659737464,1621923.0615190302,1598326.1058718467,1574735.8088625895,1551256.6158114607,1527985.1851009917,1505009.5383290506,1482408.540094806,1460251.6660468,1438599.01535771,1417501.523622803,1397001.333952516,1377132.2872364365,1357920.4966866798,1339384.9763795366,1321538.2982515895,1304387.2566084387,1287933.523491573,1272174.2821116473,1257102.8289387492,1242709.1379271601,1228980.382757387,1215901.4149346554,1203455.1971346545,1191623.1923835787,1180385.7105511564,1169722.2142713964,1159611.586831746,1150032.3648281628,1140962.9385071313,1132381.7227366795
E,0.0,307.79307440528817,495.6212838769759,617.7091024131087,704.1404586530903,771.6513841708786,829.5780542198928,883.147858250606,935.3044799249844,987.7213176968841,1041.364610569642,1096.8064348657658,1154.3986419007636,1214.3694342698707,1276.8768769546866,1342.0384172528152,1409.947026014494,1480.679867192662,1554.3027851985053,1630.8724432377917,1710.4371355141127,1793.0368454362947,1878.7028713871916,1967.4572025122877,2059.311749996953,2154.267496922259,2252.3136066942825,2353.4265176785148,2457.569045257911,2564.689509387803,2674.7209043295616,2787.5801267445295,2903.1672782202586,3021.365058285668,3142.0382638683514,3265.0334108404636,3390.1784927142385,3517.2828906354853,3646.1374475542793,3776.5147178135417,3908.169401390219,4040.8389696665536,4174.244486930604,4308.091628849403,4442.071895981245,4575.864017063017,4709.135533401357,4841.544552296796,4972.741654126263,5102.371934590968,5230.077160791115,5355.498017298046,5478.276416331409,5674.607193462084,5931.8176722972,6243.77100295767,6608.692852375325,7027.7847940363345,7504.36667671031,8043.367359641728,8651.040601632694,9334.823679171617,10103.284217311573,10966.119149110524,11934.181429187347,13019.517199212843,14235.40005284001,15596.350952232302,17118.13297548248,18817.709988137296,20713.157976074664,22823.51753114131,25168.5761962396,27768.570386556257,30643.798714200762,33814.14200175967,37298.490216575934,41114.0829683093,45275.777845421944,49795.269225801116,54680.28853477538,59933.82429284583,65553.40565722747,70954.74657357561,76181.5440086388,81217.86931382075,86021.31145436957,90539.79297690633,94720.53892508999,98515.08948904145,101882.16511850824,104789.24634316693,107213.30279986914,109140.9146455526,110567.9442926272,111498.87709990435,111945.92893418277,111928.00441803181,111469.57740380941,110599.55322369217,109350.16040091458,107755.90809907898,105852.63504974054,103676.66636688095,101264.08673061537,98650.13197127104,95868.69607264025,92951.94692817148,89930.04166806815,86830.9308481854,83680.2400685013,80501.21749356708,77314.73612010379,74139.34033917656,70991.32725607944,67884.85426637172,64832.06546822,61843.23056443482,58926.89093313023,56090.008497537885,53338.113887345666
I,196.56586402245006,163.93579320680885,148.92095319946833,143.842693048744,144.44607596643135,148.3747896530997,154.3269624621585,161.58685053516842,169.7646986295558,178.65211675726215,188.14162881740225,198.1818943069383,208.75276811050122,219.85139397147464,231.48443401854925,243.66370897649028,256.40373205426914,269.72029192742855,283.6296145425119,298.14784190776743,313.2906821526245,329.0731498672057,345.5093518525677,362.6122936048252,380.39369318397235,398.8637955141877,418.0311838170594,437.9025870118296,458.48268320541047,479.7739002154891,501.7762146297363,524.4869513157767,547.9005856200588,572.0085507592061,596.7990531281962,622.2568984297429,648.3633316672299,675.0958941354234,702.4283005836426,730.3303397095009,758.7678010625805,787.7024312922223,817.0919224591075,846.8899348452641,877.0461563422566,907.5064000754502,938.212741438396,969.103695172833,1000.1144325459086,1031.1770380583218,1062.2208044781719,1093.1725643496632,1123.9570554886416,1154.4973173637657,1187.7489585550263,1225.6747044077251,1269.668247641127,1320.8216057120158,1380.0931418054893,1448.413704132371,1526.7549625795855,1616.1751413962108,1717.8515569013498,1833.1056466832893,1963.4238026940968,2110.4758047615883,2276.131667087621,2462.4770462215465,2671.826880641579,2906.7365579830716,3170.009590547332,3464.700502568778,3794.111391827301,4161.780435821924,4571.460492313767,5027.085927273492,5532.725926338581,6092.52284456071,6710.614652392233,7391.041258021707,8137.635419760859,8953.900071258617,9842.875099338753,10806.99784175292,11825.144305718257,12881.428917078674,13961.971825551671,15053.51638937249,16142.942617681438,17217.21684257562,18263.54840958122,19269.633909062617,20223.923477312117,21115.871784662086,21936.1521712951,22676.822226404925,23331.435751018813,23895.100765326664,24364.486599483793,24737.785437695744,25014.635154109503,25196.011033720373,25284.094148769305,25282.12389135043,25194.24156813868,25025.331152938128,24780.862361360316,24466.74023651053,24089.1644750035,23654.500822653383,23169.166058080926,22639.52737736355,22071.81640100682,21472.05754568937,20846.01013172466,20199.1233236368,19536.502814142095,18862.88804865302,18182.638735568697,17499.729385015406,16817.75065424643
A,805.5547296950982,652.4491933645952,578.434894001951,548.9949177537052,544.9798349964491,555.766021963754,575.467265681699,600.8324786911297,630.0775134726445,662.2354337691428,696.794874252859,733.4985970752166,772.2311720483995,812.9562554862995,855.6814758600142,900.4386846216764,947.2727552187696,996.2351326475252,1047.380017098286,1100.762001780677,1156.434507016941,1214.4486438728009,1274.8523032232158,1337.689357169823,1402.998910854548,1470.8145716194856,1541.1637189917365,1614.0667686079237,1689.5364289896672,1767.5769537345213,1848.183394134918,1931.340858994426,2017.0237897522466,2105.1952600956965,2195.806310103624,2288.7953256460282,2384.087474267977,2481.5942090980925,2581.212852426472,2682.826270475503,2786.302650522565,2891.495390912608,2998.243113612763,3106.3698078086545,3215.6851116285707,3325.984737420797,3437.051044123281,3548.6537581837565,3660.5508422507814,3772.4895085071603,3884.207371108214,3995.4337297740394,4105.890974225688,4215.296096909323,4335.7954209072595,4475.16841975615,4638.719237570585,4830.455714326504,5053.819110149992,5312.135840367909,5608.900638150491,5947.959753420689,6333.636369368687,6770.823546310497,7265.059331421188,7822.591931751484,8450.438536722359,9156.43852598393,9949.299799305836,10838.635447782286,11834.986742667568,12949.827353615372,14195.542805953071,15585.3784909089,17133.349143270134,18854.10272022789,20762.732192463787,22874.530029487465,25204.682231858857,27767.901679770366,30578.00428768214,33647.43582211152,36986.76197388751,40604.138981453885,44411.27333038451,48343.75001717937,52346.8097720203,56369.21260744444,60360.99891893825,64273.132844271124,68058.02755971944,71670.43608810603,75068.42939179245,78214.30697550566,81075.35413779916,83624.40198096826,85840.17389945158,87707.4212643,89216.86411807938,90364.96130836953,91153.53951720792,91589.31279011088,91683.32405372537,91450.3383069997,90908.21419386778,90077.27696695934,88979.71180850662,87638.99238565943,86079.35560709678,84325.32997208886,82401.3217590142,80331.26063632283,78138.30410576143,75844.59848808353,73471.09289896484,71037.40178902335,68561.71108225765,66060.7226858772,63549.63210714449,61042.134049161425,58550.45112249721
IH,0.0,11.384529615937728,15.850178389891042,17.473539875095597,18.085673891883125,18.46234794240022,18.900168511884452,19.489317462230773,20.238685585716524,21.130662722791115,22.14334853700872,23.2582923145782,24.46222032868638,25.746555686751993,27.106344855826045,28.539208344847857,30.044502409646952,31.622708239130525,33.275008894862424,35.003004588919254,36.80852354893442,38.69349616471427,40.65986969096877,42.70954822081907,44.84434796772969,47.06596152116984,49.375927136908686,51.775600671874976,54.266128761783506,56.84842246607528,59.523131001903515,62.29061544304558,65.15092242534128,68.10375801150788,71.14846194566191,74.28398258391715,77.50885282913964,80.8211674292169,84.21856202098063,87.6981943169824,91.25672783977097,94.89031860791656,98.59460516939382,102.36470236069275,106.1951991438913,110.08016083877999,114.01313602307684,117.98716832115541,121.99481324114434,126.02816015262928,130.07885942364712,134.138154657604,138.19691988977803,142.24570152096243,146.27476468445565,150.44985517685257,154.977177089012,160.05256388762442,165.84858740639652,172.5170926481078,180.19676013745607,189.02128551663276,199.12659456410253,210.656755516839,223.7687292824005,238.6362278690438,255.45293599575768,274.43528527802357,295.82489532080615,319.89072644012685,346.9309282078124,377.2743159571764,411.28136227425273,449.34455136278325,491.88791118143513,539.3655128613034,592.2587117659506,651.0719032288597,716.3265825605554,788.5535373029976,868.2830629632124,956.0331828412803,1052.2959667008647,1157.522177232355,1272.1046192707804,1395.0391377830692,1524.8451098317983,1659.8920868927428,1798.5020737662549,1938.9784464354248,2079.6191808008334,2218.733312770455,2354.6642723941904,2485.8183336915345,2610.6950334650064,2727.916554933482,2836.253721207934,2934.6469908851923,3022.2215385941668,3098.296084489013,3162.385596115827,3214.198327624228,3253.6278956740116,3280.7412324972533,3295.763319728559,3299.0596074216064,3291.1169761948468,3272.5240205605514,3243.9513303988465,3206.1323355280465,3159.8451636680384,3105.8958511100946,3045.103142610962,2978.2850253646775,2906.2470630010657,2829.772529994214,2749.6142944187422,2666.488356877032,2581.0689244715577,2493.9848795323023,2405.817491960138
IN,21.24554119970346,41.019726057618456,55.89767841838115,68.1224031413424,78.95163012400472,89.09609661661048,98.9626392261787,108.7892082186674,118.71991450022703,128.84676246093613,139.23286120769856,149.9253328358024,160.96248694275965,172.37780264534638,184.2021317553766,196.4649095143677,209.1948102573781,222.42009112277196,236.16875880209133,250.46863414652094,265.3473559648796,280.8323467357598,296.9507526292331,313.7293645254628,331.1945235872717,349.37201325454174,368.2869386474371,387.96359394056515,408.42531810524724,429.69433940283284,451.7916090874265,474.73662490710547,498.5472451588513,523.2394942420225,548.8273608603569,575.3225902373078,602.7344719289146,631.0696250375196,660.3317828435192,690.5215790757624,721.6363382287628,753.6698725009471,786.6122880670129,820.4498035035365,855.1645832548718,890.7345890512265,927.133452168335,964.330369344931,1002.2900250478784,1040.9725425941067,1080.3334664035226,1120.3237773693065,1160.8899429943867,1201.9740035597854,1243.5136951676834,1285.770518735934,1329.2000033518043,1374.376765803903,1421.9536570429882,1472.6418982569498,1527.2040645331965,1586.4549405057473,1651.2672596968093,1722.5805631730013,1801.4121499421585,1888.8695206976001,1986.1639521328684,2094.624951999361,2215.715378430254,2351.0469863929225,2502.396104468397,2671.7190555345524,2861.1668215586587,3073.098321148994,3310.091525278043,3574.9514902583687,3870.7142490420947,4200.64538676452,4568.232051558547,4977.167136343808,5431.324431086464,5934.723705305885,6491.484949657026,7105.771387376723,7781.721354561096,8520.903430897111,9323.060594715258,10186.45344050657,11108.030199767492,12083.532398194107,13107.587755980796,14173.813589990848,15274.939452231036,16402.950057793136,17549.245442037492,18704.813170681857,19860.406519897384,21006.72241791444,22134.57333295224,23235.048023478477,24299.656999284278,25320.459568504473,26290.17038282667,27202.244377580508,28050.939890512625,28831.36050444067,29539.47678006763,30172.12952264415,30727.01656508197,31202.665261853585,31598.392987808667,31914.257941255386,32151.002479299288,32309.991083049757,32393.144877197697,32402.874427196253,32342.012320377737,32213.74681523945,32021.55762417994,31769.154685574867,31460.420585909942
D,1936.0,1936.0,1936.2013434601574,1936.481665078072,1936.7906969922872,1937.1105549296387,1937.437074614049,1937.7713374649634,1938.1160198318537,1938.4739553041427,1938.8476660231233,1939.2392868071454,1939.6506261606323,1940.0832578327586,1940.5386038842855,1941.0179987692402,1941.5227348586666,1942.0540931385378,1942.6133631049934,1943.2018551774531,1943.82090807622,1944.4718928550953,1945.1562147081904,1945.8753132681934,1946.6306618430265,1947.4237658616316,1948.2561606875931,1949.1294088896368,1950.0450970157772,1951.004831893093,1952.0102364613936,1953.0629451423524,1954.164598743489,1955.31683889711,1956.5213020370338,1957.7796129199858,1959.0933777036257,1960.4641765989627,1961.8935561212738,1963.3830209704015,1964.9340255783236,1966.547965369054,1968.2261677830754,1969.9698831255062,1971.7802753038918,1973.6584125277445,1975.6052580475582,1977.62166101586,1979.7083475567522,1981.8659121332328,1984.0948093032036,1986.395345955419,1988.767674115565,1991.2117844101847,1993.727500272232,1996.314472966656,1998.9752850900743,2001.716166104329,2004.5468089246613,2007.479958521276,2010.5310453506743,2013.7179525325446,2017.0609276885896,2020.5826223840638,2024.3082361329125,2028.2657444137722,2032.4861949250364,2037.004060816375,2041.8576429836903,2047.0895155365306,2052.747009337907,2058.8827282369316,2065.5550914145047,2072.8288932642236,2080.7758695404896,2089.4752552321274,2099.014315897145,2109.488830203686,2121.0034974081977,2133.672239780621,2147.6183669440793,2162.97456717289,2179.8826903499053,2198.4932889598576,2218.9648875445487,2241.462957677174,2266.135211738788,2293.1031762463394,2322.4595420811797,2354.267323592468,2388.559529133361,2425.3390655567337,2464.578933819233,2506.2228372660106,2550.1862930707834,2596.3582816541298,2644.603415772128,2694.764569318001,2746.6658774456932,2800.116003403572,2854.9115615239652,2910.8405879971206,2967.685959281528,3025.2286703710465,3083.2509000034097,3141.538805875721,3199.885008927818,3258.090740927715,3315.9676433537734,3373.3392175407876,3430.041936048749,3485.9260331768555,3540.8559985463403,3594.7108018586746,3647.383879497535,3698.7829148092815,3748.8294439034703,3797.4583178941675,3844.617050872622,3890.2650807596515,3934.3729677049796
R,0.0,154.57689267229142,286.25135947751033,406.7825655904102,523.2533640513998,639.9706033092045,759.6001742575033,883.8431746329265,1013.8375147259704,1150.3957563384529,1294.1455872258057,1445.6125875078687,1605.2688853681173,1773.5616943684936,1950.9300020016979,2137.8142816978966,2334.662090136719,2541.9312255972586,2760.0914251050012,2989.625168380046,3231.0279165607776,3484.8079733667046,3751.486074536735,4031.5947638085,4325.677586192748,4634.288113543162,4957.98880858349,5297.349728811771,5652.9470694181755,6025.361543579162,6415.1765986757,6822.976467807392,7249.344057249033,7694.85867210771,8160.093584313491,8645.613449162864,9151.971578888515,9679.707084111906,10229.341896505746,10801.377688508488,11396.29270844533,12014.538551869498,12656.536892290194,13322.676196643682,14013.30845283523,14728.745938375661,15469.258060503626,16235.068299173168,17026.351284851884,17843.23004318081,18685.77343816554,19553.993844680874,20447.845079672716,21367.220619535867,22311.952128753466,23284.17138895997,24287.577161939673,25326.995317011428,26408.136302215804,27537.483012698594,28722.264216099502,29970.484517425677,31290.992670998552,32693.577186405786,34189.08272024169,35789.54351610372,37508.33172950484,39360.31923895647,41362.05174735362,43531.93377117327,45890.42258902928,48460.2284291191,51266.51715247899,54337.11046789994,57702.677335356704,61396.90873597451,65456.66649049286,69922.09540586326,74836.68686031752,80247.28116332545,86203.99582254051,92760.06738382667,99971.59592353644,107897.18365211494,116597.4624456648,126116.73608884301,136486.74831849476,147728.18953242767,159851.19947516406,172855.4995403823,186730.4768695457,201455.38033304986,216999.69996146893,233323.75066367319,250379.45097897842,268111.26974519505,286457.30359015247,305350.4436401514,324719.58924356895,344490.8687218952,364588.8313087746,384937.5798011814,405461.8194342795,426087.8046283738,446744.1711783305,467362.64690023754,487878.63854459755,508231.6968346868,528365.8647600834,548229.9167641345,567777.4982604517,586967.176070551,605762.4109787496,624131.4637428565,642047.2456706896,659487.1243585456,676432.6944660178,692869.5225400123,708786.8739572036,724177.4290760211,739036.9947143901
G,124506.0,124506.0,124518.19861624642,124537.84133841374,124562.32270891505,124590.2295721714,124620.81206376808,124653.69033547523,124688.6917136981,124725.7601904538,124764.90607876291,124806.17798613601,124849.64719291194,124895.3989241851,124943.52744929456,124994.13330209351,125047.32167116791,125103.20142977312,125161.88450936669,125223.48545098634,125288.12104137559,125355.90998129916,125426.97255616516,125501.43029181554,125579.40558557764,125661.02130684908,125746.40036398952,125835.66523587701,125928.93746758257,126026.33713045703,126127.98224764064,126233.98818666712,126344.46702147518,126459.52686677736,126579.27118837253,126703.7980936206,126833.19960691819,126967.56093561077,127106.95973233758,127251.46536031616,127401.13816851874,127556.0287840586,127716.1774293774,127881.6132719907,128052.353814598,128228.4043332874,128409.75737135617,128596.39229592461,128788.27492404255,128985.35722437843,129187.57709984772,129394.85825569212,129607.11015657612,129824.22807524187,130049.12707804087,130284.21998117998,130531.6763820192,130793.59555662154,131072.1244024394,131369.5413909095,131688.3203365982,132031.18290631447,132401.1455249022,132801.56417380643,133236.1791483991,133709.16087403093,134225.15719504518,134789.34202179709,135407.4647670157,136085.8995739927,136831.6929068191,137652.60762652065,138557.16122082635,139554.6554077238,140655.1939254005,141869.68499726485,143209.8247738931,144688.05806293568,146317.51292127746,148111.90624952683,150085.41842599833,152252.5362449023,154627.864943058,157225.91183155,160038.02749069873,163057.29432188493,166276.16343395002,169685.40507940503,173273.72554986752,177027.73953225906,180932.1411289486,184969.98842956076,189123.0506950492,193372.1844349595,197697.71429659205,202079.80094420997,206498.78280816475,210935.48246443554,215371.4717268992,219789.29236996075,224172.6317592811,228506.4545582248,232777.09311539299,236972.30015875638,241081.26807221828,245094.61936661368,249004.37303765013,252803.89138514348,256487.8116037017,260051.96609110356,263493.2949961888,266809.75407498976,270000.22046696616,273064.39856111025,276002.7277074284,278816.2931513351,281506.74123155675,284076.1995880754,286527.2028751107,288862.624263251,291085.6128416706
H,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1220901.9579765608,1180205.2260440087,1139508.4941114567,1098811.7621789046,1058115.0302463525,1017418.2983138005,976721.5663812484,936024.8344486963,895328.1025161443,854631.3705835922,813934.6386510401,773237.9067184881,732541.174785936,691844.442853384,651147.7109208319,610450.9789882798,569754.2470557278,529057.5151231757,488360.7831906237,447664.0512580717,406967.31932551967,366270.58739296766,325573.85546041565,284877.12352786364,244180.3915953116,203483.65966275957,162786.92773020754,122090.1957976555,81393.46386510346,40696.73193255143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
