series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,19051.465211000817,19035.639025103294,19022.174268507082,19010.1989932491,18999.159919232246,18988.70515694303,18978.610737736883,18968.73422386786,18958.98526413924,18949.306839626603,18939.66328946451,18930.032652334667,18920.401761799647,18910.763101912253,18901.11278942838,18891.449277760574,18881.77252366302,18872.083450785463,18862.38360379939,18852.674924930303,18842.95960915775,18833.240010004945,18823.51857788476,18813.79781941552,18804.08027025916,18794.368476693307,18784.664982837458,18774.97232155214,18765.293007736338,18755.629533203068,18745.984362605628,18736.359930075163,18726.7586363516,18717.1828462679,18707.634886497864,18698.11704350993,18688.6315616902,18679.18064161114,18669.766438430906,18660.391060413564,18651.05656756387,18641.764970372376,19563.2350551183,20484.242242384174,21404.792287616216,22324.874557001793,23244.465268010306,24163.529770527086,25082.02405303296,25999.89563337198,26917.08396415106,27833.520453877543,28749.128179070725,29663.821340712722,30577.504500583374,31490.071618863716,32401.40490332844,33311.373471893836,34219.83182371692,35126.61810902284,36031.55218404875,36934.433434717575,37835.038350780706,38733.11783117479,39628.3942012928,40520.557923924775,41409.263988013714,42294.12796340822,43174.72171586754,43194.40251451809,43135.5592178544,43072.47188219644,43004.81453576291,42932.29752027426,42854.65427577751,42771.6352199791,42683.005692933024,42588.546249776504,42488.05431301323,42381.346599477634,42268.261959558906,42148.664388239355,42022.44603443672,41889.53007269505,41749.87332397394,41603.46852833375,41450.34618623989,41290.575899374446,41124.26715729183,40951.569533197864,40772.6722702603,40587.803258548374,40397.227421161304,40201.24454551181,40000.186611301186,39794.41467980416,39584.31541919344,39370.29734749528,39152.78687830154,38932.224254684465,38709.05945414527,38483.74814227573,38256.74774560961,38028.51370541112,37799.49596442055,37570.1357283531,37340.86253367358,37112.09164322929,36884.221782019646,36657.63321694134,36432.686176924406,36209.71960355159,35989.05021705756,35770.971878513665,35555.755225960056,35343.64756016429,35134.87295446118,34929.63256264996,34728.105099076354,34530.44746569514,34336.79550198611
E,0.0,15.82618589752242,26.07179850916765,32.74390888073091,37.12266954178726,40.026451505084694,41.97924319462743,43.31691965318543,44.254950315606166,44.93164453022058,45.43582061047168,45.82453112899205,46.13442893179393,46.38906095935569,46.60355185588933,46.78761316289576,46.94747769268342,47.0871435694882,47.209174652621044,47.31521574255767,47.406324323151715,47.48318423584654,47.546243334844455,47.595802172587135,47.632071123677356,47.655207155545455,47.66533746559394,47.66257463746053,47.64702631612717,47.61880133687383,47.578013556944754,47.524784196462285,47.459243209847315,47.38153002495076,47.29179386830536,47.1901938182044,47.07689867776978,46.952086728156985,46.81594540134754,46.66867089859157,46.5104677718964,46.341548480340485,46.16213292934536,46.48210908988951,47.194142156422686,48.22911914479854,49.54513379678864,51.119671430056094,52.94415839224491,55.02023560163504,57.3572754407198,59.97078799107301,62.88146047589804,66.11464774657486,69.70018652334676,73.67244615203867,78.07055744754678,82.93878163366618,88.32699568711286,94.2912802312654,100.89460273223459,108.20759299874922,116.30941047163907,125.28870388714732,135.24466382461176,146.288167489639,158.54301282628268,172.14723560635855,187.2544983622535,204.03553372094797,221.37674230928806,239.43468093232175,258.3895340543792,278.3485220048437,299.3739575091265,321.49850083990475,344.73324662106637,369.0718176782366,394.4922666272332,420.9578159866534,448.41703548729225,476.8038115012806,506.0373243857019,536.0221680859642,566.6486963128831,597.7936464090824,629.3210676981823,661.0835614945746,692.9238230435989,724.6764606981199,756.1700545318425,787.2294055890449,817.6779184339734,847.3400539199995,876.0437863587983,903.622999576402,929.9197595568974,954.786407185342,978.0874225574332,999.7010218742082,1019.5204584848523,1037.4550105762141,1053.4306487704246,1067.3903869919927,1079.294329009129,1089.119430755186,1096.8590047194189,1102.5219972895738,1106.1320729507559,1107.72654078833,1107.355158955874,1105.0788518383931,1100.9683727726765,1095.1029425930267,1087.5688911578302,1078.458325571526,1067.8678452172235,1055.8973201022989,1042.64874551116,1028.225182648183,1012.7297919070684
I,89.0276745127753,76.3548539147017,68.38042716534399,63.41495928884826,60.37657512989601,58.571528692386394,57.55449875915268,57.03938665082795,56.84224726307701,56.84472679425233,56.97061418908979,57.170790815120526,57.413564291793435,57.67845700373456,57.952212769614164,58.2262285364104,58.49490201659252,58.75456831234112,59.00281543117036,59.23804362547501,59.459181684965664,59.665504286456624,59.8565144223035,60.03186774059479,60.19132387500411,60.334715150102866,60.461926466375985,60.572882371549625,60.66753874421014,60.745877430718416,60.80790276646957,60.85363929311548,60.883130228864246,60.896436407347416,60.89363550271625,60.87482142452859,60.84010380847937,60.789607556409415,60.72347239665625,60.6418524471445,60.54491577088593,60.43284391821099,60.30583145301648,60.16408546218769,60.10103712556729,60.17718748041783,60.43178532868777,60.89082827517324,61.57249552681825,62.49081049738855,63.65810051811144,65.08665227982102,66.7898401437079,68.78291816378734,71.08360618228564,73.71255852253907,76.69377524778642,80.05499673177198,83.8281095389359,88.04958329350576,92.7609528816634,98.00935696363334,103.84814166161942,110.33753693343274,117.54541217950097,125.54811679227781,134.43141042573689,144.2914865509764,155.23609119465323,167.3857364507372,180.8750052243447,195.61565641139873,211.5606424857385,228.70256698773682,247.0546958811717,266.63980315386215,287.4833942327671,309.60937302359326,333.03707445983684,357.7790672416175,383.83940470742687,411.2121571171762,439.88014726920545,469.8138619547589,500.9705402379277,533.2934548286241,566.7114098490647,601.1384798777522,636.474012925536,672.6029149939627,709.3962268373796,746.7119951251311,784.3964309624373,822.2853392445313,860.2057931342733,897.9780195753764,935.4174546239623,972.3369218543983,1008.5488834180501,1043.8677116348013,1078.1119292869532,1111.106368962182,1142.684205659392,1172.6888221564045,1200.97547301838,1227.412720251627,1251.8836211273192,1274.286656279964,1294.5363935268174,1312.5638897034512,1328.3168389670213,1341.759481337781,1352.8722896410106,1361.6514564363256,1368.1082049842473,1372.2679498429704,1374.1693333823423,1373.8631644390803,1371.411284622455,1366.8853865250214,1360.3658064113365
A,9.98674894056758,8.352517197904112,7.310399036829476,6.649010700391249,6.232736069051865,5.974414682076848,5.8179386060866785,5.727131485912454,5.678627632326096,5.657305459418151,5.653355413579655,5.660395361124676,5.674258023630057,5.69221002097367,5.712448349221756,5.733775343172248,5.755388564237578,5.77674475642118,5.797471587118229,5.817310252025386,5.836078042081934,5.853643841935298,5.869912021549074,5.884811787903255,5.898290098641641,5.910306907276687,5.9208319408510866,5.929842489839302,5.937321870653474,5.9432583382380955,5.947644302348505,5.9504757506875094,5.951751814465815,5.951474433190025,5.949648089468668,5.946279593887371,5.941377906176041,5.934953983036121,5.9270206458061825,5.917592463069784,5.9066856446453935,5.894317944337683,5.880508569499997,5.865278095943791,5.859104524651732,5.8685491701141865,5.897681740648553,5.949046234354895,6.0243084412892705,6.1246856657140745,6.251229677060443,6.405012415717714,6.587248612456292,6.799378635740467,7.043127328797116,7.320549407572838,7.634068471086647,7.986514323049852,8.381161755294798,8.821772941934636,9.312644957290143,9.858663534339856,10.46536393618672,11.138999659710004,11.886619584872491,12.716154093238837,13.636510580274084,14.657678656885695,15.790845157008771,17.048518820504793,18.444664184193275,19.968114174748322,21.61274099698535,23.377116248153584,25.26224498703009,27.270246203950357,29.403562191348314,31.66446320068157,34.05471714618473,36.57535237103518,39.22647441851609,42.00711642440486,44.91511336396565,47.946996412350614,51.09790704563314,54.361532300471175,57.7300634270383,61.19418035387538,64.74306413478578,68.36443899315529,72.04464480811785,75.76873997331464,79.52063356914553,83.28324478641059,87.03868658254245,90.76846969527865,94.45372242869337,98.07542109868841,101.6146257028095,105.05271527297373,108.37161747674742,111.55402733868483,114.5836104334073,117.44518652450586,120.12489035111267,122.61030705819107,124.89058058882996,126.95649417136991,128.80052280967368,130.4168583954367,131.80140868739844,132.95177193022292,133.86718930824105,134.5484777442163,134.9979457635107,135.21929525598412,135.21751199100106,134.99874768634723,134.5701963120952,133.93996713831905,133.1169568236578
IH,0.0,6.058251334573836,10.694741738745924,14.360470537196324,17.349829647090257,19.856407771351893,22.008709870856087,23.893071733393523,25.568388601105262,27.075600343313987,28.44381278925984,29.69425819640034,30.842865869170314,31.901937646255735,32.88124599620422,33.78875897813772,34.63112349255364,35.41399146951259,36.14224357657656,36.82014569219745,37.45146094463533,38.03953209975197,38.58734391236881,39.09757171979093,39.572620399879625,40.014656419982124,40.42563479705654,40.807322199634164,41.16131703688352,41.48906712683347,41.7918853682523,42.07096372874261,42.32738578590795,42.56213800643924,42.77611991154041,42.97015325100046,43.144990289002415,43.30132129020887,43.439781283319654,43.560956170200356,43.66538824119465,43.75358115093381,43.826004403555366,43.88309739154176,43.92527302825047,43.95926400660605,43.995298397902836,44.045330711843064,44.12198075449686,44.237940163545545,44.40568297782548,44.63737031240784,44.94487648679626,45.339889521092104,45.834056249271214,46.439153916713614,47.16727782743803,48.031039650757435,49.04377426750483,50.21975513693698,51.57441950632776,53.124605639302686,54.88880478500568,56.88743096216322,59.14311185930626,61.68100429315332,64.52913773783519,67.71878943841604,71.28489454041694,75.26649447925145,79.70722654609118,84.65585703640474,90.15064469580444,96.22311411715609,102.90137575551296,110.21184723059315,118.18005664660201,126.83091059734878,136.18864257120876,146.27656418779333,157.11668988252032,168.72927721927434,181.1323097713966,194.34094171063228,208.36691960529987,223.21799556487338,238.89734566980766,255.40300792397426,272.7273543458041,290.85661200628306,309.7704476557206,329.4416299520341,349.83578215888747,370.91123651466626,392.6189993144916,414.90283316303857,437.6994599400012,460.93888488821193,484.54483901567727,508.435333831007,532.5233194371962,556.7174343104186,580.9228327894803,605.0420744761955,628.9760584497532,652.6249844548702,675.8893230337941,698.6707769117163,720.8732167691461,742.4035757822725,763.1726889107024,783.0960647816727,802.0945800788566,820.0950885116367,837.0309386413624,852.8423970061538,867.4769750559653,880.8896603358428,893.043054099394,903.9074190689001,913.4606423658352
IN,6.614569263499765,13.098310390376216,18.512247043812444,23.22661945200901,27.47882347067657,31.421178502009546,35.15144738496435,38.73237289713628,42.204200309189076,45.592712154293196,48.9143875795384,52.17971747315643,55.395335815120625,58.56539069602463,61.69242671845377,64.77795324941287,67.82281061368923,70.82740627726861,73.79186735274313,76.71613923259576,79.60004953149209,82.44334968499493,85.24574215497987,88.00689836164048,90.72647063945544,93.4041003405914,96.03942345290076,98.63207461230132,101.18169007522263,103.68791001437135,106.15038037062321,108.5687544098236,110.94269407919107,113.27187122323922,115.55596869680917,117.79468139851403,119.9877172387842,122.13479805092854,124.23566044999927,126.29005664200466,128.29775518465496,130.25854170003637,132.1722195391778,134.03861039827467,135.85755488627552,137.6358385051525,139.38460764792,141.1177043490575,142.85062843187742,144.59992382893577,146.38284916411476,148.21723760152642,150.12148246230973,152.1146069570291,154.2163913844573,156.44754136017718,158.82988754072483,161.38661195309632,164.14249916349948,167.124212634339,170.36059807365234,173.88301661127136,177.7257113954817,181.92621179159218,186.52577983908805,191.56990401841884,197.10884570273558,203.19824391854698,209.8997841929773,217.2819372919552,225.42077350843428,234.4008577847103,244.29852634262062,255.1851100339638,267.129979331611,280.20211827808646,294.4708385549096,310.0059759424868,326.87776096440643,345.156471614858,364.91192970279053,386.2128772012144,409.1262558832685,433.7164072652091,460.0442074969063,488.1661516242696,518.1334025713695,549.9908216176409,583.7759986625846,619.5183018917683,657.2379673813667,696.94524956143,738.6396532074772,782.3092666980306,827.9302146575164,875.4662458353937,924.8684692262054,976.0752481156737,1029.0122580734126,1083.5927110475543,1139.7177438015362,1197.276965117212,1256.1491526095986,1316.2030867778203,1377.2985071524438,1439.28717316371,1502.0140106931478,1565.3183242005985,1629.035053832608,1692.9960569871328,1757.0313943859937,1820.9706017290016,1884.6439294011361,1947.883534400269,2010.5246105699287,2072.4064452837015,2133.3733928637994,2193.275757161607,2251.970577826169,2309.3223167901347,2365.2034433733857
D,0.01,0.01,0.01752345576932267,0.03080474965962377,0.04863833875103078,0.07018427152048212,0.09484300509808295,0.1221745808463989,0.151846256459059,0.18359842884508645,0.21722233620070788,0.25254536187473997,0.2894212565522229,0.3277235527678978,0.36734106012807705,0.4081747242055121,0.4501353857286784,0.49314213989737227,0.5371211007759886,0.5820044434991059,0.6277296407939702,0.6742388386388133,0.7214783342346733,0.7693981314084185,0.8179515563617693,0.8670949218005083,0.91678723086374,0.9669899145336543,1.0176665977345245,1.0687828903793632,1.1203062003579098,1.1722055659867818,1.2244515058307812,1.2770158840984809,1.3298717900447763,1.3829934299973974,1.4363560307762673,1.4899357534026147,1.543709616104703,1.5976554257228996,1.6517517167013853,1.7059776969290674,1.7603131997597166,1.8147386416020834,1.8692349845256588,1.9237837033775007,1.9783746340175454,2.0330103140636684,2.087708126873881,2.1425011277464194,2.1974381331240265,2.252583450368237,2.308016489154156,2.3638314053126104,2.420136869473732,2.4770560159198567,2.53472660453728,2.5933014157982335,2.6529488920105218,2.713854035439698,2.7762195738852133,2.8402674059337074,2.9062403408149438,2.974404151166339,3.0450499608295556,3.118496993902325,3.195095715543111,3.2752313993884696,3.35932816080615,3.4478534994686445,3.5413233987603765,3.640308033153575,3.7454381376761035,3.857391959082313,3.9768868930272805,4.104675244210553,4.241542124124019,4.388304346404667,4.545809655010223,4.71493588832135,4.89658983431644,5.091705619659915,5.301242527926579,5.526182175640322,5.767524998574113,6.026286020008487,6.303489890202051,6.600165203637494,6.917338118287321,7.256025319294538,7.617226387853085,8.001915654255903,8.411033631480274,8.845478141660692,9.306095261709437,9.79367022557417,10.308918428641395,10.852476684193146,11.424894882333373,12.026628198312489,12.658029989751613,13.319345511122346,14.010706559341365,14.732127146985032,15.48350028000826,16.264595895620005,17.07505999381287,17.91441497365375,18.782061163473532,19.677279513148278,20.599235397267737,21.546983460575614,22.519473421976333,23.515556740870398,24.53399403973992,25.573463169798043,26.63256780209707,27.709846424641785,28.803781626598305,29.912809553398613,31.035329421156106
R,0.0,1.7650598792867809,3.942798260909319,6.479436859723172,9.335012288161883,12.47888135020241,15.886785159995615,19.538922848499137,23.418679200658904,27.51177638071311,31.805701335007544,36.2893130463251,40.952567729953046,45.786321926296814,50.78218753976892,55.93242196285365,61.22984228915459,66.66775640726931,72.23990621726745,77.94041979900881,83.76377039278951,89.70474072509276,95.7583916526234,101.92003438822103,108.18520576548359,114.54964612905853,121.00927952656463,127.56019594020344,134.19863534049512,140.920973377181,147.72370854704056,154.60345069768493,161.5569107419607,168.58089147050097,175.67227936091655,182.8280372916034,190.04519807648023,197.32085874438678,204.65217549352982,212.0363592573731,219.4706718238208,226.95242245450592,234.47896495552177,242.04769515506996,249.65604874728197,257.303210507438,264.99018641393,272.71980057907155,280.4966561646496,288.3270850647717,296.2191017102049,304.1823702942687,312.2281909321846,320.36950798148007,328.6209424532382,336.9988497860721,345.5214040076966,354.2087093237854,363.0829403549905,372.1685125305178,381.49228450348437,391.08379485698924,400.97553580685343,411.203267068807,421.8063735383121,432.8282709244242,444.3168639782159,456.3250624520585,468.9113604056956,482.14048492103313,496.08412067647896,510.82171713281826,526.4370112258811,543.0177320767997,560.6556575670086,579.4466627722927,599.4907403981588,620.891979136747,643.7584892648966,668.2022669340885,694.3389901102362,722.2877403796364,752.1706460638213,784.1124434023934,818.2399540308351,854.6814786209137,893.5661083564393,935.0229578560936,979.1803251795636,1026.1647866015494,1076.1002358394153,1129.1068792984115,1185.3002005772937,1244.7899088848962,1307.6788870914843,1374.0621558267762,1444.0258703041643,1517.6463663802135,1594.9892717507519,1676.1086971586828,1761.046521079702,1849.8317796104475,1942.4801712707545,2038.993684216989,2139.3603510206312,2243.5541337697027,2351.5349398721123,2463.2487666458524,2578.627970629896,2697.5916555908993,2820.0461714733506,2945.8857150727827,3074.9930220205642,3207.2401387620116,3342.4892625853486,3480.5936374076036,3621.398492928422,3764.7420149022505,3910.456334627802,4058.3685262829267,4208.301601413477
G,87.0,87.0,89.89445610924463,94.66273552681858,100.65127930572226,107.4406559971408,114.76110628380229,122.43870325586725,130.36094829555486,138.45475005769495,146.67231263727166,154.9820841385094,163.3629470285596,171.8004872250922,180.28459715311652,188.8079353885719,197.36493665427287,205.9511755940345,214.5629580698691,223.1970588488235,231.85055351602017,240.52071106013568,249.20492553782293,257.9006729139306,266.60548412143766,275.3169285688004,284.0326043722977,292.7501329113814,301.46715615596,310.1813357631668,318.8903532950535,327.59191113705896,336.2837338446083,344.96356974053157,353.6291926476621,362.27840368092075,370.9090330491075,379.51894183347815,388.10602372118507,396.66820667887464,405.2034545565014,413.7097686146009,422.1851889704161,430.6277959597617,439.1289234896025,447.760274970606,456.58091371806336,465.64223879853694,474.99153156126556,484.67450531751587,494.73717348661415,505.22726360586444,516.195339856261,527.6957499115466,539.7874786021965,552.5349676058214,566.0089444204845,580.2872931912746,595.4559930124016,611.6101449940114,628.8551068490727,647.307752430207,667.0978730979364,688.3697377077776,711.2838281104606,736.0187671529222,762.7734560490557,791.7694374576225,823.253499443044,857.5005334585494,894.8166563011378,935.3043182287096,979.0946022224095,1026.3515452566535,1077.2587938655718,1132.011390977216,1190.810352767165,1253.8587245102449,1321.3583851578571,1393.5071996974177,1470.4963068712182,1552.507439323463,1639.7102381561908,1732.2595633415658,1830.2928260084636,1933.9273840414949,2043.2580517791503,2158.35477949802,2279.2605596827907,2405.9896153021655,2538.525920794559,2676.8220995542297,2820.7987327833985,2970.34410408958,3125.314392670631,3285.534315892244,3450.798210080883,3620.8715269612394,3795.4927128360987,3974.375428730387,4157.211062591789,4343.671479439498,4533.411952151807,4726.074214350839,4921.2895774574745,5118.6820562582325,5317.871451003045,5518.4763388609035,5720.116933208464,5922.417775427495,6125.010230370106,6327.534763172741,6529.642981451752,6730.999432923479,6931.283154027524,7130.188970098406,7327.4285519679015,7522.731237559303,7715.844630052916,7906.534986578646,8094.587413162433
H,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,25203.90486998432,24273.188043533813,23342.471217083308,22411.754390632803,21481.037564182298,20550.320737731792,19619.603911281287,18688.88708483078,17758.170258380276,16827.45343192977,15896.736605479264,14966.019779028757,14035.30295257825,13104.586126127742,12173.869299677235,11243.152473226728,10312.43564677622,9381.718820325714,8451.001993875207,7520.2851674246995,6589.568340974192,5658.851514523685,4728.134688073178,3797.417861622671,2866.7010351721638,1935.9842087216568,1005.2673822711499,74.55055582064301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
