series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,869862.0205212564,869415.2700434799,869094.3574362298,868818.2419340967,868551.2204639514,868277.0562460213,867987.8832879917,867679.4182588097,867348.8867308741,866994.122234559,866613.1733511612,866204.1314593175,865765.0547317476,865293.9344935371,864788.6806013784,864247.115755241,863666.9744131274,863045.9044888484,862381.4711097031,861671.1621918672,860912.3958013293,860102.5293569841,859238.8707647402,858318.6915751287,857339.2422438393,856297.7695498916,855191.5361919196,854017.842540334,852774.0504726808,851457.6091621764,850066.0826263293,848597.1787753135,847048.7796303495,845418.9723132264,843706.0803421116,841908.694709053,840025.7041643993,838056.3240959696,836000.1233692532,833857.0484917752,831627.4444819427,829312.071861266,826912.1192488573,824429.2111175366,821865.4103695697,819223.215503829,855513.2399146896,891570.1966180961,927388.4891821052,962950.9150640563,998232.7174474591,1033203.5344229244,1067828.2412146796,1102067.2227726907,1135876.3640607304,1169206.9134588141,1202005.3074568356,1234213.0120765953,1265766.4216399856,1296596.849600442,1326630.644247467,1355789.4613757723,1383990.7247558783,1411148.302287849,1437173.4202432525,1461975.8294753702,1485465.2257114926,1507552.9112509894,1528153.6682704242,1547187.7956644925,1564583.2435389222,1580277.7640018496,1594220.9856924228,1606376.3142071138,1616722.5623685028,1623666.0398541496,1591434.0883928814,1558557.223206673,1525126.8579317622,1491326.3308217372,1457370.338056935,1423477.8703625854,1389858.7835128854,1356706.503297388,1324193.9258988446,1292471.2739650658,1261665.305748844,1231879.5177516253,1203195.0810421207,1175672.3014474865,1149352.4280048793,1124259.663611881,1100403.2595632211,1077779.6016436706,1056374.2190154402,1036163.6677152319,1017117.2578631822,999198.6076668921,982367.0181772399,966578.6708540721,951787.6557327672,937946.8417671896,925008.6031621054,912925.4165603039,901650.3441277522,891137.4171422634,881341.9338444623,872220.6842152685,863732.1131228502,855836.4320221401,848495.6881529762,841673.7990092945,835336.558766237,829451.6223674751,823988.4720960131,818918.3706769798,814214.3042854044,809850.9182484217,805804.4477312536,802052.6452707826,798574.7066607459
E,0.0,446.7504777764705,678.3129572590592,818.7658190318967,922.0340663351601,1011.7914045164931,1098.6060086893042,1187.349756920386,1280.411247860247,1379.093402281495,1484.2235057859266,1596.4205894550364,1716.2130840268946,1844.090581687522,1980.526224543737,2125.985682970097,2280.9297351992172,2445.8135479760176,2621.0840411750887,2807.1759617873054,3004.506957561325,3213.4717937596115,3434.4357955498485,3667.727578417368,3913.631129568277,4172.377315416887,4444.134909463662,4729.001258720001,5026.9927336528835,5338.0351349643315,5661.954258929022,5998.466849913746,6347.172192386267,6707.544613380414,7078.927178183534,7460.5268651918705,7851.411498879133,8250.508701420958,8656.60709296472,9068.359927680538,9484.291298118897,9902.804975323652,10322.195878643477,10740.66408997169,11156.331245507772,11567.25905773944,11971.469645015597,12527.905793145826,13211.718810926519,14014.63585790397,14937.592936141285,15986.943940120535,17172.53485135243,18506.732728597002,20003.931204164102,21680.281766620938,23553.51749577835,25642.79532229976,27968.512489242486,30552.067658039086,33415.544920224915,36581.30404222727,40071.46485976686,43907.2791102822,48108.38981068696,52691.98679138306,57671.87704144303,63057.4995790504,68852.92574087749,75055.89587783672,81656.95105978852,88638.7221408948,95975.4372747258,103632.70202867202,111567.59363301744,119729.09336704129,128015.21752204653,135289.0299735348,141661.57949896247,147129.7804949373,151659.80655221947,155220.30200096313,157795.31725858504,159388.522644813,160023.38402196628,159741.34761314862,158599.03478887325,156665.00439281456,154016.42892770324,150735.9116317145,146908.59187943253,142619.62730396003,137952.09560849192,132985.3244595522,127793.63260720053,122445.44817163482,117002.75956064498,111520.84940852906,106048.2609754618,100626.94845711497,95292.56663146876,90074.86039985059,84998.1204302761,80081.67681738327,75340.4081123106,70785.24804305047,66423.67662839641,62260.18614254916,58296.71551729697,54533.04931116606,50967.17938608766,47595.62897765351,44413.73999338167,41415.92519109311,38595.88743811437,35946.808586636645,33461.510669003634,31132.592159502536,28952.542000009707,26913.833972906818,25009.003847787793
I,416.08563357765917,257.1838866547033,198.07813511862446,181.8174188837457,184.06292943652372,194.49177500096877,208.79591882231858,225.2377678033426,243.1698312633502,262.40100920312494,282.9272496889038,304.81847508388614,328.17209932001373,353.0945971140262,379.6946434609055,408.08083318968113,438.3610574462489,470.6423441323341,505.0306963032933,541.6307615598198,580.545283984792,621.874334092744,665.7143265499377,712.1568389209829,761.2872450972588,813.183177360341,867.9128322792184,925.5331380920039,986.0878048263985,1049.6052829882767,1116.0966619569235,1185.5535449941412,1257.9459436951581,1333.2202404423476,1411.2972725999718,1492.0705964212145,1575.4049915335818,1661.135268045184,1749.065437430465,1838.9683051327238,1930.5855370779755,2023.6282439640645,2117.778116342429,2212.689130370411,2307.9898290555175,2403.2861673594653,2498.164892321518,2592.1974121292524,2699.033873703611,2824.936033849428,2973.050037458551,3145.402471688777,3343.8022449413347,3570.2294415392525,3826.9906644870057,4116.7717607200175,4442.646885196728,4808.068671862901,5216.848348498477,5673.127377286311,6181.3390111550325,6746.156867611404,7372.4272689693225,8065.082281587265,8829.030970567946,9669.027344226872,10589.514799159519,11594.448582173416,12687.099807691735,13869.846797996495,15143.961774968586,16509.402996379817,17964.624034028668,19506.41277205916,21129.772640839295,22827.85745851513,24591.96901073247,26407.802472953903,28166.979946837506,29812.2347550649,31307.900040481978,32628.968581138077,33757.23821768199,34680.06178825033,35389.94336858015,35884.304083592855,36165.178439943,36238.781038452056,36114.95530701083,35806.541768610514,35328.70890840015,34698.28616520783,33933.13121723539,33051.555207902915,32071.821262214864,31011.72430617467,29888.25415989495,28717.3392234863,27513.66475545767,26290.557608348223,25059.92814269353,23832.259681744574,22616.63609678187,21420.79874817328,20251.224899574532,19113.22075035112,18011.02330137713,16947.90631446958,15926.286600347557,14947.827746438626,14013.539160169486,13123.86895187437,12278.789717599682,11477.876714011536,10720.378256174983,10005.278426269873,9331.352369638731,8697.214585716305,8101.36070620461,7542.203300971812,7018.1022719182465
A,534.4503931133662,427.560314490693,392.2864430646636,390.1071170280656,404.15792640901407,427.01134264953737,455.38750937262313,487.85095879520725,523.8011713777913,563.0263352896087,605.5035177157272,651.3074027075418,700.5673490758172,753.4462672070674,810.1295412575773,870.8186845475295,935.7272735135303,1005.0779849519162,1079.1001449211956,1158.0274715087367,1242.0958275542419,1331.5408688473824,1426.5955123458775,1527.4871733307227,1634.4347376473459,1747.645249032813,1867.310303973638,1993.6021586548109,2126.669564935499,2266.633365202365,2413.5818894709455,2567.5662121157316,2728.5953398427678,2896.6314165684166,3071.5850442061083,3253.3108303602658,3441.6032838820506,3636.1931864187227,3836.7445717607134,4042.8524442925836,4254.04136263668,4469.765004263352,4689.406811271609,4912.2817968221825,5137.63956621977,5364.668577072773,5592.501630263587,5820.222548835385,6064.971898927399,6337.667836928416,6646.114586666302,6996.660782940505,7395.09984467331,7847.1737118718665,8358.86664275675,8936.584643305947,9587.268792968724,10318.466083801814,11138.368353482925,12055.822792369856,13080.313484927032,14221.911109207304,15491.186618454787,16899.08420526776,18456.74903393807,20175.306141527468,22065.58859644875,24137.815483356877,26401.22351081673,28863.659877515813,31531.14823929922,34407.44384085361,37493.5976747025,40787.552427263414,44283.79450901767,47973.08627718661,51842.30043675458,55869.46683250311,59909.158073039114,63857.5199537613,67631.12212728804,71159.41645268814,74382.43839492051,77250.42275611055,79723.97011445116,81774.1997265056,83382.66772738524,84540.98623773911,85250.15456490268,85519.65039273491,85366.34480588904,84813.3088044388,83888.57537400971,82623.9131954282,81053.65780482227,79213.63495756892,77140.20016860912,74869.40859901514,72436.32104602033,69874.44495656918,67215.30414084434,64488.12711458552,61719.641577793765,58933.96123591074,56152.55077003749,53394.25505477292,50675.3795144362,48009.80963501762,45409.15897260674,42882.936409729955,40438.72482548407,38082.36470307509,35818.137458347635,33648.94441000598,31576.478313870357,29601.38524651943,27723.41535170344,25941.561564281918,24254.18591234778,22659.133381391315,21153.83361809818
IH,0.0,75.68462020742399,107.94411113423185,123.2629103794203,132.68475849829673,140.70731113397323,149.0875695845859,158.4618058448669,169.02814946725346,180.82893893659178,193.8636288912669,208.13104157329735,223.64294384809426,240.42656417853684,258.5232741739902,277.98627520345417,298.87831406712036,321.2697235405965,345.23680985139714,370.86052015139103,398.22530552142,427.41810243748967,458.52736959082415,491.64213083734165,526.8509869078921,564.2410681642746,603.8969085417016,645.8992273933442,690.3236117120388,737.2390965141021,786.706646293477,838.7775455604335,893.4917116546865,950.875948282342,1010.9421635193355,1073.6855812433798,1139.0829799443625,1207.0909974205736,1277.6445437651685,1350.6553680357833,1426.010825829407,1503.5728954182478,1583.1774889374458,1664.6341022011559,1747.72584197833,1832.209862986057,1917.818238553229,2004.259279065554,2091.219301215164,2180.927724551311,2276.325208595033,2380.3604693479137,2495.785089613432,2625.1517473965537,2770.8835156141176,2935.3581217839146,3120.9856315680745,3330.272876097264,3565.8737299151094,3830.6261251741234,4127.57680552196,4459.994337745271,4831.37027264963,5245.407776112561,5705.996623588906,6217.17321194258,6783.064223237921,7407.812802683961,8095.486607036909,8849.967846931304,9674.826471985736,10573.178887489432,11547.535969035498,12599.645546522632,13730.335824678215,14939.367242925346,16225.300906419328,17585.391820652774,19014.819665431394,20489.975397020655,21981.363158204076,23458.658703391106,24892.807292321715,26257.017931941235,27527.339472794705,28683.052728633746,29706.94476290173,30585.47531243486,31308.83246626654,31870.877387790453,32268.984732958987,32503.791973943735,32578.875492773223,32500.373733408298,32276.578109145226,31917.511183358383,31434.509354174654,30839.8243261351,30146.25442379513,29366.813589699384,28514.442924678016,27601.767008527677,26640.89505668429,25643.265246148458,24619.529267600617,23579.473291501738,22531.971020525656,21484.96427876101,20445.466598890274,19419.58545453896,18412.559094709133,17428.804326533595,16471.972025170242,15545.007596763737,14650.21406029014,13789.315831171647,12963.521673399006,12173.585631357817,11419.865054779748,10702.375089904692,10020.839228535648
IN,83.21712671553183,154.41570623251863,183.55115537778175,196.65759719740362,204.6190115065426,211.8797089236099,220.17755676117045,230.13782529703906,241.94796217835068,255.63884498411812,271.1986718311936,288.61653492440746,307.8970862882316,329.06378886971805,352.15801194747854,377.2368850839731,404.3710059296742,433.64235437180014,465.14247601774673,498.9708957066,535.2336940259443,574.0421798011229,615.5116002987547,659.7598412517843,706.9060783813894,757.0693503571222,810.3670302684877,866.9131790320969,926.8167700826256,990.1797804850331,1057.0951494736355,1127.6446115061021,1201.8964172782034,1279.9029627688205,1361.6983531984135,1447.2959356492097,1536.6858408155686,1629.8325806815797,1726.6727545728381,1827.1129206864584,1931.0276935436627,2038.2581295185767,2148.610462393178,2261.855248544761,2377.726976739279,2495.92419052873,2616.1101619922333,2737.9141441974225,2860.933216590549,2987.5526793850486,3121.0656896464493,3264.919022625697,3422.466974065276,3596.941180704972,3791.502570365449,4009.3168777468345,4253.629798986327,4527.833104915203,4835.519240170121,5180.524059853788,5566.957722111495,5999.223430347899,6482.023183385064,7020.349163205691,7619.458974360089,8284.832710336037,9022.109809467354,9837.003919375804,10735.194549414075,11722.195174573008,12803.198656393837,13982.902327152822,15265.316763339482,16653.564032454004,18149.67287746542,19754.379728317617,21466.945420453016,23284.997899517628,25203.646727739346,27197.032184079704,29231.575975421314,31271.41594736618,33280.86785557259,35225.760683799745,37074.32909700656,38797.896250860125,40371.41114950598,41773.84766250955,42988.45925667661,44002.88668507524,44809.12377678873,45403.35434085942,45785.67922351552,45959.756242013704,45932.377165831895,45713.005495187674,45313.29695929757,44746.62188479991,44027.60528280044,43171.69701404935,42194.780979693125,41112.82913703984,39941.60337468244,38696.40596106094,37391.87742244366,36041.839295011465,34659.17819379352,33255.76699798648,31842.418610889028,30428.867655601796,29023.775559868074,27634.75471519981,26268.407723428594,24930.378131675134,23625.40947495493,22357.409871172702,21129.519828794935,19944.18132067923,18803.206540173414,17707.84508282139,16658.84858660056
D,3810.0,3810.0,3810.249026391175,3810.60419673319,3811.009770780511,3811.4463456947037,3811.9093173500755,3812.3998627121446,3812.9212522829775,3813.477408473673,3814.0723930023655,3814.710265792776,3815.3950828934294,3816.130939069567,3816.922018676704,3817.772642196064,3818.68730515824,3819.6707095506863,3820.727788777983,3821.8637273163868,3823.0839759839428,3824.3942634695213,3825.8006045105567,3827.3093049016165,3828.9269633539743,3830.6604701033916,3832.5170020721403,3834.504014325934,3836.6292275227456,3838.9006110257137,3841.3263613450636,3843.9148755835304,3846.674719586144,3849.614590538635,3852.7432738194248,3856.069593988277,3859.6023598900006,3863.3503039632747,3867.32201597139,3871.525871511212,3875.96995580603,3880.661983443343,3885.6092148754146,3890.8183706534196,3896.295544509375,3902.046116527816,3908.0746677553207,3914.3848976747895,3920.9795460178325,3927.860320398544,3935.036263928023,3942.526095419329,3950.358235895859,3958.5701599606355,3967.2077413364723,3976.3248264241506,3985.9830851016827,3996.2521171270587,4007.2097705273086,4018.9426254179434,4031.54659961083,4045.1276356702006,4059.802430781093,4075.699170437456,4092.9582247228136,4111.732762314927,4132.189232916706,4154.507664323138,4178.881716590251,4205.518433654179,4234.6376331546335,4266.470878997185,4301.259989048647,4339.255042752443,4380.711870466391,4425.889027604389,4475.044281350101,4528.430664467048,4586.292177816706,4648.856961879154,4716.275475896936,4788.601128392684,4865.787551508784,4947.692778082329,5034.086690090985,5124.66036263862,5219.036698138728,5316.781962987331,5417.417871822621,5520.433854985505,5625.29914409855,5731.474332570221,5838.422111294495,5945.616938595872,6052.553470225263,6158.753643311554,6263.77237239411,6367.201872355572,6468.674670070097,6567.8654029564705,6664.491528429643,6758.313084228395,6849.131646960811,6936.788636392163,7021.163107515761,7102.169162763649,7179.753104170732,7253.890431066519,7324.582773899191,7391.854839862618,7455.751431674862,7516.334587553632,7573.680878412158,7627.878887700198,7679.0268901873715,7727.230738305744,7772.601958360729,7815.256053874428,7855.311009413989,7892.885985340451,7928.100191850783
R,0.0,118.90862582121828,240.99441008752774,366.3166813125472,495.9847477455246,631.3895407222876,773.9265060910354,924.9174384801131,1085.6073293588217,1257.1855009352662,1440.8113565863157,1637.6379058083603,1848.8312974627736,2075.5864429993326,2319.1393592239874,2580.776916231029,2861.844570221375,3163.752521291104,3487.980607913086,3836.082144765415,4209.686828701928,4610.502775270935,5040.317701076868,5500.99923187426,5994.494289867333,6522.827494336358,7088.098496144379,7692.478158110596,8338.203489249752,9027.571241306567,9762.930080864462,10546.671259675571,11381.217719870145,12269.011589455422,13212.500047024456,14214.119562755595,15276.278555318848,16401.338540743047,17591.59388894434,18849.250345548444,20176.40251970761,21575.010581465613,23046.87645334209,24593.619818562613,26216.6543010832,27917.16419861972,29696.08216779332,31554.06826896157,33491.49077634108,35512.02873247581,37622.30972337553,39831.55233192465,42151.29872549209,44595.25308167376,47179.216068701884,49921.09865646172,52840.99860916361,55961.325146621304,59306.95947121996,62905.44044818051,66787.1655394668,70985.59717562483,75537.4642280427,80482.94726690734,85865.8350242534,91733.63811199111,98137.64477864788,105132.90255458225,112778.10927740532,121135.39745097817,130269.99739318695,140249.76733780385,151144.58265783917,163025.58164202666,175964.27161859843,190031.50637750386,205296.35336260626,221824.87646294147,239677.8853116551,258885.4887647636,279448.8379467971,301341.9861567193,324513.9792497679,348891.2374528586,374380.2406695094,400870.48460279836,428237.6400176517,456346.8249746811,485055.88989674073,514218.6161648463,543687.7380807967,573317.7128003829,602967.1807427026,632501.0779126722,661792.3798983637,690723.473860776,719187.1688950463,747087.3663520308,774339.4200023985,800870.2214504343,826618.0492526694,851532.2211400778,875572.5879879593,898708.9061278712,920920.1216260091,942193.5965935293,962524.3037260822,981914.0113181253,1000370.4771364642,1017906.665893766,1034540.0017222746,1050291.6640620595,1065185.9327706671,1079249.5860345194,1092511.352803639,1105001.4199561884,1116750.9931969394,1127791.9097694103,1138156.3003790614,1147876.297249125,1156983.7849277072
G,255112.0,255112.0,255151.11193629535,255210.49661407937,255282.17760413483,255362.8994823612,255451.47940096492,255547.6597306187,255651.6093632729,255763.70630697935,255884.4426373887,256014.38285702825,256154.14566311656,256304.39601572003,256465.8417375305,256639.23207370014,256825.3570377091,257025.04698307026,257239.17211205687,257468.64175370874,257714.4032981254,257977.44069946834,258258.772472654,258559.44911594386,258880.54989709958,259223.17894628376,259588.46060546165,259977.53399231497,260391.5467470236,260831.64794296262,261298.98015753602,261794.67071702806,262319.82214936946,262875.5019008041,263462.73139616445,264082.4745472193,264735.6258385919,265422.9981451668,266145.31045771355,266903.1757135918,267697.0889457833,268527.4159751012,269394.38287632924,270298.06644851674,271238.38591218565,272215.0960415978,273227.78191857703,274275.8554661373,275372.64366820984,276529.2980652163,277756.245930174,279063.9964808435,280463.61520325707,281967.0295755896,283587.24978244497,285338.54613652534,287236.60297474393,289298.6571227575,291543.6225497044,293992.1989545895,296666.95943806897,299592.4105102171,302795.0162252038,306303.17717593536,310147.15449412464,314358.9290106554,318971.98648496775,324021.0214453872,329541.5547837156,335569.4638275471,342140.4280776005,349289.298927874,357049.40714517166,365451.82723275456,374524.62254353473,384292.0986445498,394774.0945358073,405981.5207874281,417825.75192987465,430227.8845485948,443108.7450918359,456386.19858658424,469975.36494589224,483789.9677349874,497744.0518468148,511753.7165544665,525738.6896487828,539623.6559862295,553339.3025861342,566823.0727359443,580019.6414391324,592881.1374478756,605367.144861545,617444.5210338148,629087.0682659171,640275.09528798,650994.9015484655,661238.2134327437,671001.5971886549,680285.8689104167,689095.5176817789,697438.1540770646,705323.9927655979,712765.3750066166,719776.334362932,726372.2069789381,732569.2862207755,738384.5203123478,743835.2507654256,748938.988840622,753713.2269371642,758175.2816465922,762342.165178034,766230.4819357566,769856.3471743318,773235.3248494198,776382.3820041403,779311.8572677049,782037.4412834437,784572.1671195044,786928.4089416751
H,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1168641.4456585813,1129633.7580148599,1090626.0703711384,1051618.382727417,1012610.6950836955,973603.007439974,934595.3197962525,895587.6321525311,856579.9445088096,817572.2568650881,778564.5692213667,739556.8815776452,700549.1939339237,661541.5062902023,622533.8186464808,583526.1310027593,544518.4433590379,505510.75571531634,466503.0680715948,427495.3804278733,388487.69278415176,349480.00514043024,310472.3174967087,271464.6298529872,232456.94220926566,193449.25456554414,154441.5669218226,115433.8792781011,76426.19163437959,37418.50399065808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
