series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,14912.541654917655,14892.575649393337,14875.215445861702,14859.54625412466,14845.023070579457,14831.317039869318,14818.226878272084,14805.627223043884,14793.438265321845,14781.60777576282,14770.100398253813,14758.89123058851,14747.961946793524,14737.298434236087,14726.889338748533,14716.72515772342,14706.797666555385,14697.099549818724,14687.624159629246,14678.365354074414,14669.317386826126,14660.474830034462,14651.832519265983,14643.385513329875,14635.129064358276,14627.058595086777,14619.169681283965,14611.458037926033,14603.919508137184,14596.55005420067,14589.34575013881,14582.302775494736,14575.41741004358,14568.686029228955,14562.10510017039,14555.671178123965,14549.38090330585,14543.230998009052,14537.218263959292,14531.339579867887,14525.591899148687,14519.972247773168,14514.477722243213,14509.105487665378,21440.757467146734,28369.605641055114,35295.73978899421,42219.229009949006,49140.09486388693,56058.29985085882,62973.74217886092,69886.25292393687,76795.59352372136,83701.4524152368,90603.44008849395,97501.08207244775,104393.80948714919,111280.94683332296,118161.69667664861,125035.12083666866,131900.11762121323,138755.39456470704,145599.4360392402,147542.00438213054,147425.14426238593,147297.53212599127,147157.85191679583,147004.8610166961,146837.3374097185,146654.05341303974,146453.76460974233,146235.20793673123,145997.10567996535,145738.17359047616,145457.13208133564,145152.71982805926,144823.7092500556,144468.92339571202,144087.25374366884,143677.67840080956,143239.2801444887,142771.26373642706,142272.97193753254,141743.89968167868,141183.7059236043,140592.22275968507,139969.46152560264,139315.6156949342,138631.06052913543,137916.34955369477,137172.2080494195,136399.52384530433,135599.33577560168,134772.8202160943,133921.27614281542,133046.1091620504,132148.8149462536,131230.9624802891,130294.17748031412,129340.12629781802,128370.50056760872,127387.00280416023,126391.33309829429,125385.17701758056,124370.1947703792,123348.01165582766,122320.2097905474,121288.32107731355,120253.82136104107,119218.12570267438,118182.5846913156,117148.48170854179,116117.03105570447,115089.37685446997,114066.59263239481,113049.68150844699,112039.57689765784,111037.14365916415,110043.17961747803,109058.41739266521,108083.52648102907
E,0.0,19.966005524317715,33.33190093592201,42.332864398547514,48.38712791839498,52.413050220568635,55.01769573214483,56.61076135780178,57.47442802464404,57.806845309104624,57.74964865577942,57.405684660683946,56.850648665373214,56.1408794055477,55.318686280960065,54.41606290534625,53.45732439372997,52.46101231031939,51.44129133693022,50.408986462001906,49.37236149165861,48.33770853443134,47.30979751179617,46.29222085384504,45.28765898251032,44.29808548327597,43.32492608210318,42.36918207310889,41.431526288055764,40.512377796003,39.61196008989608,38.730346430881994,37.86749519182319,37.02327740482892,36.19749822682829,35.389913657616134,34.600243550461904,33.82818172667853,33.0734038275821,32.33557339861173,31.614346592236984,30.90937579187597,30.220312393129525,29.546808927132084,28.88852067056025,31.165732137070542,35.701401019574064,41.97461162971366,49.61619931653834,58.389912744210484,68.17105599760244,78.92701121097414,90.70132430922729,103.60183023008368,117.79273795650599,133.49036662612747,150.96216845917502,170.5287097292419,192.56836072652771,217.52454284153055,245.91548031350234,278.3464972063226,315.5249815435193,358.278204219847,403.46281838560964,450.3600211073696,499.9432558701683,552.9177854422965,609.8271788050739,671.111927855158,737.1411357810235,808.2287108459802,884.6404132021797,966.5953711636217,1054.2642131915038,1147.7651701507675,1247.159076284955,1352.4439666371372,1463.549839097786,1580.3340676173734,1702.5778887930944,1829.9843196658476,1962.177791147454,2098.705695825088,2239.041951998117,2382.592581837745,2528.7031967080165,2676.6681840872657,2825.7413052023676,2975.1473463771817,3124.094424333755,3271.786528168283,3417.435888034748,3560.2747902039646,3699.5665060079577,3834.615063108181,3964.773656052928,4089.451563933328,4208.119511481589,4320.313472497016,4425.636968428441,4523.761958751571,4614.428452887506,4697.442996040307,4772.6761943088695,4840.059448969245,4899.581067361758,4951.281909853246,4995.250720331878,5031.619272958328,5060.557451597199,5082.268361446016,5096.983555627186,5104.958443485379,5106.467932444928,5101.802341791623,5091.263614793964,5075.161845220094,5053.812125516044,5027.531716614703,4996.637533434216
I,153.8584298040494,92.31505788242964,56.27571238289776,35.24567602881676,23.027381300086493,15.965270469348601,11.906792629231902,9.58737658184053,8.266473988360346,7.512287321665474,7.0745377626079815,6.809347960043221,6.634958855442464,6.505676595840927,6.396586837011929,6.294619906052205,6.193354815332354,6.0900187911251376,5.983771588311431,5.874738104363435,5.763474008641576,5.650679693155542,5.537054821663877,5.423231021611894,5.309746807010743,5.197044322106624,5.08547649912799,4.975318412998412,4.86677957550927,4.760015573767619,4.65513837062906,4.552225068987039,4.451325184058739,4.352466576339669,4.25566023474483,4.160904099765909,4.068186099803425,3.9774865507589063,3.8887800449717935,3.8020369332821353,3.7172244844601137,3.6343077897168987,3.5532504663470643,3.474015203426889,3.396564183530002,3.3208594072562296,3.376566059714963,3.6114162321366474,4.030915643629198,4.621973357437867,5.366243039391069,6.247179222411319,7.253406087503635,8.380031990202085,9.628910825079373,11.008447345757894,12.53329100023803,14.224108840943359,16.10753724440449,18.216361221364963,20.589943841239283,23.274916955757238,26.326141734056794,29.807949531493747,33.79567773749938,38.19493474398777,42.91716400331856,47.95246159523451,53.326205440215944,59.077761844567114,65.25031255807383,71.88615826931746,79.02461985850559,86.70109209371509,94.9465431853614,103.7871315615331,113.24380283687583,123.33182599038375,134.06027514696126,145.43148603222522,157.4405261490643,170.0747208551174,183.3132765399438,197.12703825206063,211.4784130121792,226.32148207776424,241.6023160243049,257.2594962124394,273.2248356535903,289.4242821635671,305.7789776837293,322.2064403443127,338.6218306836305,354.9392606649965,371.07310378616455,386.9392664924862,402.45638496063566,417.5469166763696,432.13810258990225,446.1627824921063,459.56005314797284,472.2757652552764,484.26286116086794,495.48156025599775,505.8994029705152,515.4911672611752,524.2386734761692,532.130494560805,539.1615888652668,545.332872459504,550.6507469924601,555.1265978882777,558.7762761745627,561.6195755953156,563.679714964088,564.9828340335243,565.5575095507262,565.4342966731756,564.6452995631072,563.223773773725,561.2037619939416
A,539.2434805883208,517.673741364788,500.07442217678715,485.2594249650539,472.43799230901175,461.07173933531857,450.786755499942,441.3185738781862,432.4770739390003,424.123660327355,416.1561227069844,408.4983841566254,401.09341850124,393.8982622958785,386.8804395366781,380.0153585520932,373.2843910179602,366.6734382953883,360.1718516128035,353.77161282667515,347.466709386216,341.25265547168846,335.1261240381639,329.08466354208406,323.1264796492899,317.2502669961514,311.45507961442564,305.74023128325416,300.10521907811597,294.54966491509623,289.0732710600926,283.67578647416735,278.35698156275043,273.116629435954,267.95449220613915,262.87031117461265,257.86380001295385,252.9346402421388,248.08247846679265,243.30692494219818,238.60755314559384,233.9839000966088,229.43546722892916,224.96172165998587,220.56209774034625,216.23599879172139,212.4373828361093,209.49667059443505,207.6499874745755,207.0665548377879,207.87205359687513,210.1677289979121,214.04569963423359,219.60117710789405,226.94234864206595,236.1986324552756,247.52793926282243,261.1234912407042,277.22067656131776,296.10435972211945,318.1170274412974,343.66812653902423,373.2449422795338,407.42537068845195,446.8929534211469,491.81464085571304,542.2388264971939,598.3634807716862,660.4884266725602,728.986098653881,804.2825946279523,886.8444180544973,977.1682708450962,1075.7723513604162,1183.1882364894973,1299.9527976967133,1426.599833758369,1563.651260111173,1711.6078097365255,1870.9392907427232,2042.0745197284057,2225.3911109624637,2421.205349910016,2629.7624147617316,2851.227230011669,3085.6762406203584,3333.0903834300416,3593.349504784155,3866.2284313503405,4151.394847590744,4448.409071620201,4756.725755301976,5075.697468449048,5404.580064794444,5742.539672290384,6088.661104842782,6441.957458435958,6801.380632482637,7165.8325070259825,7534.176507287458,7905.249297621132,8277.872365475145,8650.863280578455,9023.04644335677,9393.263167738382,9760.380975441134,10123.302010191777,10480.970510051362,10832.379303314368,11176.575317781697,11512.664114273592,11839.813472934842,12157.256075231999,12464.291335708454,12760.286445788824,13044.676697503332,13316.965158259385,13576.721769053824,13823.581938122641,14057.244700276038,14277.470509351926
IH,0.0,30.77168596080988,35.71821004694169,31.284100400898133,24.591669666652365,18.395235500326574,13.508167795249593,9.956052891832817,7.500324070567756,5.859095565144125,4.7879406504896,4.099741470759943,3.6607963666291914,3.3797804270808576,3.1963445101795394,3.071665013655567,2.9813576987806907,2.9104649255227333,2.850044654364254,2.7949145947218135,2.742193760759818,2.690377775830486,2.638763140324953,2.5870953001478223,2.535357839781273,2.4836492570389503,2.432113213340891,2.380900853160007,2.3301519456241926,2.2799867685192163,2.2305038849393615,2.18178095663261,2.1338769529411703,2.0868348439203017,2.040684297093476,1.995444146283925,1.9511245406414086,1.9077287569737011,1.8652546959284657,1.8236960987634343,1.7830435260618591,1.7432851384323302,1.7044073151877486,1.6663951419975525,1.6292327934779773,1.5929038320723674,1.557391440553845,1.5486192256976685,1.5906702476663577,1.6981502071461874,1.8766310518494191,2.1255679801973777,2.441346401721885,2.8196642738888222,3.2571309008697265,3.7522157315854687,4.305741461458132,4.921099305892524,5.604324296719049,6.364127848551045,7.211951882364968,8.162085060146623,9.231866108105612,10.441989937024982,11.81692747276616,13.385468245462807,15.144877639661901,17.075910912391322,19.165795805257922,21.412445868604713,23.822564388703988,26.408546577967826,29.185803179631037,32.170839931768256,35.379991367515004,38.82861070544083,42.5305389362862,46.497726507548506,50.739928418972326,55.26442960390007,60.07578222804277,65.17555241528629,70.56208343988395,76.23028757210056,82.17148088123011,88.37327526416627,94.81954035342105,101.49044517333054,108.36258579216423,115.40920107607097,122.60047430365341,129.90391416033373,137.284804793307,144.70671142333913,152.13202566956582,159.52253336182844,166.83998722362213,174.0466673603491,181.10591386821378,187.9826179253129,194.64366024581432,201.058288569482,207.19842873035998,213.0389266315491,218.55772101143495,223.73594912105332,228.55798928025013,233.01144571392052,237.0870820900781,240.77871081293165,244.083045407044,246.9995233137119,249.53010616341766,251.67906414441782,253.45275051018703,254.8593716052771,255.90875708140868,256.61213425739993,256.9819098748603,257.0314618367435,256.77494290214986
IN,30.77168596080988,55.40735883924918,62.82189295726158,61.550066403415734,56.325840534549265,49.69968994007174,42.98240151808356,36.792875160905986,31.37368508907042,26.770925460804097,22.935139545691946,19.776676744779166,17.194987722991755,15.09322132483816,13.384700181819959,11.995047915129094,10.862105197042277,9.934823352842326,9.17177848923627,8.539638775215229,8.011743876826074,7.566860784921377,7.188130526624337,6.862195817102021,6.578489199900334,6.3286581198853025,6.106103987968906,5.905614589958653,5.723072065684413,5.555221577240059,5.399488433511527,5.253833740986039,5.116640591299412,4.9866243979573595,4.862762298910212,4.744237593201151,4.630396021829031,4.520711373670929,4.414758429657429,4.312191679788859,4.212728580487109,4.116136382392965,4.022221765662294,3.9308226827594313,3.841801936974057,3.755042125753911,3.670441657265569,3.6138522345676503,3.615517032681735,3.70074974483557,3.887198212211648,4.185321949964921,4.600185705299243,5.133569128165015,5.785918669386097,6.557962534391358,7.451964671884544,8.472667478578607,9.628001106359719,10.92964167433778,12.393494032915493,14.040164147414496,15.895475431002996,17.991074225525516,20.365162720484005,23.063392894237285,26.103435192971602,29.481725186612113,33.19342842447911,37.23975005127693,41.62952816167677,46.378474844334846,51.507629264222054,57.04169945788591,63.007545521470945,69.4328651687885,76.34506475010758,83.77027478867188,91.7324690592373,100.25265568263792,109.34812081070731,119.03171715915241,129.31119962567942,140.18861802429865,151.6597824365574,163.71381983679777,176.33284158125122,189.49174021756295,203.15813110483907,217.292449848047,231.84821093427723,246.7724266599994,262.00617893499805,277.4853303098625,293.1413550247704,308.90226636528047,324.6936133818256,340.43951821558494,356.0637248924465,371.4906314137945,386.6462791189754,401.45927639111335,415.8616375635508,429.7895220878156,443.1838633872238,455.9908811130757,468.1624745523148,479.65649856083064,490.43692651555085,500.4739073347028,509.7437255909555,518.2286751500266,525.9168576455628,532.8019175046913,538.8827252332593,544.1630203260564,548.6510245562605,552.3590355877852,555.3030099063454,557.5021430348246,558.9784539328364
D,9.0,9.0,9.117775750404308,9.25448385917465,9.374220827930017,9.468343143891953,9.538749187541109,9.59045043656266,9.628556297967004,9.657263086955155,9.679688227318092,9.698013622414118,9.713704999506596,9.727716355260917,9.740652148785788,9.752885858492709,9.764642369086074,9.776053236876832,9.787192769207476,9.798101048600454,9.808798322845634,9.819293813029006,9.829590982375628,9.839690601531588,9.849592466860983,9.859296311899048,9.868802247172187,9.87811093305746,9.887223608423259,9.896142047091242,9.904868483235047,9.913405528269337,9.92175609085185,9.929923305339974,9.937910470554957,9.945720998867724,9.953358374733895,9.960826121454012,9.968127774870293,9.97526686278988,9.982246889065165,9.989071321420054,9.995743582264293,10.002267041875719,10.008645013448962,10.014880749608482,10.020977440065518,10.026938210164955,10.032865405432362,10.038953547053959,10.045453058169489,10.052635688027504,10.060771100699462,10.070115125749822,10.08090712707755,10.093373491010405,10.107734745835025,10.124214568627835,10.143049616025099,10.164499643183046,10.188857747382688,10.216460818787585,10.247700436078846,10.283034540290718,10.323000280293186,10.368228465136578,10.419460093105556,10.477425695999862,10.542782148165184,10.616137439322607,10.698091573502266,10.789270210935646,10.890346453370606,11.002052385733597,11.125183267120024,11.260596875523342,11.409209751945328,11.57199141248548,11.749957112463546,11.94415944354856,12.155678879810676,12.385613318308605,12.635066650293785,12.90513642605478,13.196900723070371,13.511404381886644,13.849644828743513,14.212557752407761,14.601002940441312,15.015750604046005,15.457468528686428,15.926710379114331,16.423905462613334,16.9493502147869,17.503201620528163,18.085472722169445,18.696030300880384,19.334594749956477,20.00074209332402,20.69390804255579,21.413393933491914,22.158374341003146,22.92790613855998,23.72093874838807,24.536325317759466,25.372834556530453,26.229162979149596,27.10394730954553,27.995776827976865,28.903205463505277,29.824763462748173,30.75896849364556,31.704336070996625,32.659389217557774,33.62266729983164,34.592734000804406,35.56818441247862,36.54765124892957,37.529810195745384,38.51338442415751,39.49714830806989
R,0.0,27.705752305903417,72.85989115891827,120.94238109026793,166.24794813475364,207.08488279199008,243.44781063655827,275.9319379198215,305.25644453938145,332.0773984369874,356.9317754681515,380.23617206702045,402.30478936612843,423.37128063030264,443.6085030268688,463.1444533966486,482.0744092235215,500.46989054004,518.3851611907395,535.8619053848468,552.9325835977651,569.622845163321,585.9532709839067,601.9406408046423,617.5988619672092,632.9396556937045,647.9730683427345,662.7078551992686,677.1517705722424,691.3117883924521,705.1942708097275,718.8050975761809,732.1497656535379,745.2334660775462,758.0611433661792,770.6375414765286,782.9672393645678,795.054678490113,806.9041840717446,818.519981487519,829.9062089042478,841.0669269772244,852.0061262761066,862.7277329482841,873.235613018786,883.5335756382781,893.6253755223993,903.5328981271844,913.3076884284662,923.0272533716457,932.7872760849375,942.6944121486097,952.8612154079599,963.4033605082476,974.4388122191145,986.088475435175,998.4779105494988,1011.7398040461857,1026.0169935661863,1041.465941379433,1058.2606257602724,1076.5968780307344,1096.6972379257595,1118.81643558291,1143.2476384523434,1170.3296285528957,1200.4295047638168,1233.9186345557678,1271.16721384183,1312.5509061035168,1358.45960402282,1409.3049253218123,1465.525678087734,1527.5914439867759,1596.0046464979603,1671.301440638038,1754.0516644819334,1844.8579996966516,1944.3544186152847,2053.2039509241167,2172.0957797782416,2301.741670052817,2442.871736010253,2596.229568316034,2762.566758188924,2942.6368771522693,3137.1889923276244,3346.9608176946626,3572.671619676861,3815.0150095015915,4074.651764032195,4352.202820537665,4648.242588895998,4963.292717150342,5297.816433641242,5652.213571912909,6026.816364246565,6421.8860671486955,6837.610458590455,7274.102223379777,7731.398220751499,8209.459607912217,8708.17277550246,9227.351036154663,9766.736995742667,10326.005528566167,10904.767272467228,11502.572557492786,12118.915681869854,12753.239451371002,13404.939902216463,14073.371133087754,14757.850178237866,15457.66186073028,16172.063572220135,16900.289933148462,17641.557294543996,18395.068049650694,19160.01473019928,19935.583868230653,20720.959609903854
G,4372.0,4372.0,4372.88667765344,4374.366926252518,4376.246901935315,4378.395743624612,4380.723373972234,4383.166674976535,4385.680723015791,4388.23312594444,4390.800291314049,4393.364916616528,4395.914266695944,4398.43896797852,4400.932148858027,4403.388816661873,4405.805399533574,4408.1794054355,4410.509165749136,4412.793640900512,4415.032272046536,4417.224867334507,4419.371514340277,4421.47251246889,4423.528320662934,4425.539516900834,4427.506766806699,4429.43079932022,4431.31238784793,4433.152335676392,4434.95146470276,4436.71060674937,4438.430596892036,4440.112268357941,4441.756448646882,4443.363956605801,4444.935600245744,4446.472175136621,4447.974463251138,4449.443232157438,4450.8792344819285,4452.283207580969,4453.655873373486,4454.997938297105,4456.310093358579,4457.593014255717,4458.977064671079,4460.562541267386,4462.426607171734,4464.630031142994,4467.223090167922,4470.250523566699,4473.755622120755,4477.783610458455,4482.384502089413,4487.615602940124,4493.543825532907,4500.247959773707,4507.821031713546,4516.372870588269,4526.032997696689,4536.953948347702,4549.315139908304,4563.327404399364,4579.238312417968,4597.1558405194555,4617.156043676381,4639.358206869624,4663.9129353527,4690.994973933137,4720.798629384471,4753.534600118944,4789.427525015859,4828.713845194471,4871.639733123603,4918.45893877392,4969.430462673876,5024.816006962134,5084.877186514866,5149.872507458914,5220.054141988643,5295.664547154322,5376.932991181195,5464.072063509289,5557.274253570232,5656.708687840689,5762.518114618335,5874.8162212161915,5993.685359142318,6119.174739913731,6251.29914829932,6390.0382020333955,6535.336168510438,6687.102330765257,6845.211878152423,7009.507282373211,7179.800107438355,7355.873193138343,7537.483145722424,7724.363066660589,7916.225450313298,8112.76518367979,8313.662585687493,8518.586429246969,8727.196896063886,8939.148421542752,9154.092394662215,9371.679685137318,9591.562977266101,9813.398896406445,10036.849919923203,10261.586069616005,10487.286387057602,10713.64019694818,10940.348166555079,11167.12317161015,11393.690980740761,11619.790771683502,11845.175493242703,12069.612087278563,12292.88158500827
H,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,133849.6331895852,126912.72849835218,119975.82380711916,113038.91911588614,106102.01442465311,99165.10973342009,92228.20504218707,85291.30035095404,78354.39565972102,71417.490968488,64480.58627725498,57543.681586021965,50606.77689478895,43669.87220355593,36732.96751232292,29796.0628210899,22859.158129856885,15922.25343862387,8985.348747390854,2048.4440561578367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
