series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,3620731.0516980304,3619157.073245392,3617835.3256771094,3616583.458029876,3615312.63552018,3613977.3313021716,3612551.9932239503,3611020.1529265093,3609369.3292787033,3607588.6389144696,3605667.674685191,3603595.979993118,3601362.8051015926,3598956.9989638203,3596366.9684785916,3593580.673782257,3590585.6453776658,3587369.016943142,3583917.571403385,3580217.7995450185,3576255.9711805,3572018.2190987086,3567490.6360182874,3562659.38458796,3557510.820207701,3552031.626102615,3546208.959684873,3540030.608803133,3533485.1560195596,3526562.1485904837,3519252.2713792133,3511547.519522148,3503441.367326966,3494928.9296288216,3486007.1116898227,3476674.743717228,3466932.6962099075,3456783.972626472,3446233.7762996424,3435289.5490887007,3423960.9799454655,3412259.982341915,3400200.640336095,3387799.1239004424,3375073.574964958,3362043.9664000985,3348731.936847868,3335160.604877325,3321354.3663728726,3307338.6793486658,3293139.840517015,3278784.7579273903,3264300.723846904,3249715.191789903,3235055.56124425,3312841.8555945824,3390045.018239381,3466688.1346730203,3542766.077378895,3618257.4900239226,3693131.44386561,3767351.108507604,3840875.76629193,3913661.9181323275,3985663.8987538074,4056834.233869553,4127123.8683216465,4196482.336779951,4264857.916868931,4332197.787102751,4398448.202335897,4463554.694010598,4527462.299330958,4590115.82153342,4651460.12206461,4711440.444404427,4770002.768320184,4827094.192427322,4882663.342032605,4936660.798343873,4989039.544260254,5039755.4211322125,5088767.590131723,5136038.991231629,5181536.792292108,5132739.938034584,5083375.08152918,5033454.545438889,4983068.9235643195,4932345.809617963,4881428.8756130105,4830466.809449024,4779607.136590886,4728992.547551599,4678758.584299617,4629032.12498743,4579930.385881376,4531560.292428706,4484018.1345504215,4437389.45119172,4391749.103532741,4347161.503522011,4303680.968563633,4261352.1761324,4220210.694630203,4180283.5692543364,4141589.9441133616,4104141.704288258,4067944.123948389,4032996.508940144,3999292.8244250864,3966822.3001203695,3935570.0074663293,3905517.4046053574,3876642.846402729,3848922.0578816626,3822328.570394381,3796834.1206244915,3772409.013131752,3749022.447626952,3726642.812520887
E,0.0,1573.9784526383914,2439.6779722121646,2984.667849397001,3390.705999129155,3743.579452563998,4084.244420002289,4432.706574578386,4799.187872940589,5189.350773997407,5606.740865662811,6053.925878384092,6533.022701535941,7045.936182352042,7594.461307769153,8180.31974362166,8805.163949922191,9470.564423737585,10177.987376413883,10928.766334009082,11724.069417913752,12564.863318984928,13451.874707136674,14385.549775231995,15366.012683960293,16393.023794285516,17465.938713656607,18583.669320779387,19744.64805555811,20946.79685211091,22187.502141050143,23463.59734135503,24771.354193017778,26106.48414297389,27464.150786193455,28838.99408334184,30225.16673329691,31616.382685343953,33005.97734909683,34386.97862098254,35752.18741782455,37094.2660148008,38405.83214987566,39679.55659979066,40908.261769315955,42085.01877531299,43203.24055324532,44256.76866238074,45239.95170707835,46147.71361000082,46975.610349692484,47719.87418828718,48377.44484309964,48945.987477381816,49423.897781710366,49810.29477267401,50667.86793797594,51837.01214121863,53232.579607342435,54810.3222851725,56548.38506258084,58437.1468305263,60473.66138331336,62658.61758378084,64994.6708908312,67485.51637657407,70135.35936573573,72948.59689503894,75929.60903931936,79082.605890998,82411.50136055492,85919.79874551661,89610.48052825136,93485.89900765472,97547.66671207757,101796.54691901612,106232.34546481766,110853.80559511407,115658.50799904516,120642.77844123144,125801.60557620834,131128.5716056565,136615.7984170301,142253.9117189243,148032.02546082315,153937.74849309147,158700.33633005133,162638.68086527273,165901.00640190966,168555.5904890342,170634.8494847434,172156.79147243346,173135.36926768388,173585.32791786172,173524.28875177258,172973.43127083758,171957.4602663604,170504.2133270693,168644.0978425148,166409.4618727758,163833.95864347275,160951.9398507361,157797.89859760186,154405.9738073412,150809.5219878948,147040.758062343,143130.4640183972,139107.76202915987,134999.94725556858,130832.37462035651,126628.3933388759,122409.32281684101,118194.4636043329,114001.13736468731,109844.75022075459,105738.87433283668,101695.34310405183,97724.35596935972,93834.58928039917,90033.31033218447,86326.49207735976
I,789.9128532548035,714.6124060087172,717.2604745514353,758.5802907578637,820.4654030326927,894.7077285116791,977.7388565829871,1068.1720459318653,1165.6522588129444,1270.317909051028,1382.5488152219718,1502.8480079120623,1631.7860171156212,1769.9741666540178,1918.051151414948,2076.675488521302,2246.5203310120955,2428.2689609565223,2622.6101386037008,2830.2328911944483,3051.8205216217793,3288.043717079645,3539.552694827269,3806.968361549708,4090.8724964592393,4391.797001787319,4710.212300019064,5046.514995798153,5401.014961560735,5773.922048643682,6165.332668334876,6575.2165281541575,7003.4038453193825,7449.573389413719,7913.24172723118,8393.754052269513,8890.276977316187,9401.793649505737,9927.101512285562,10464.812987928217,11013.35928852347,11570.997484684654,12135.820872325103,12705.772582383977,13278.662280449735,13852.185707287836,14423.946721778939,14991.481428877521,15552.283910507238,16103.833029625634,16643.619748870824,17169.174396063154,17678.093319150557,18168.064401762294,18636.890955340634,19082.51356216732,19503.02951235769,19922.01751122769,20353.632287464825,20806.85076107611,21287.80459285874,21801.05826279275,22350.30853925132,22938.767317439924,23569.37128363113,24244.89657360911,24968.02082136155,25741.355491345028,26567.460806151048,27448.84986861476,28387.985510758215,29387.271768845585,30449.041025973915,31575.537425341157,32768.896947192625,34031.124457653204,35364.06802290836,36769.39080742405,38248.54092323251,39802.719658680806,41432.848582739425,43139.53608989172,44923.04401637904,46783.25501708468,48719.64143972874,50731.2364656792,52816.60830128964,54917.32554839579,56994.865168373755,59021.04099281547,60973.4237138036,62833.179680864756,64584.08030097071,66212.07136906584,67705.10140989035,69053.06008803881,70247.75314889975,71282.87826991758,72153.98556637632,72858.41654822661,73395.22060861587,73765.05089934586,73970.04285362412,74013.67924186274,73900.64580846432,73636.68141577354,73228.42632420752,72683.2718355645,72009.21406836393,71214.71415477114,70308.56667365722,69299.77768194095,68197.45328920012,67010.69934671232,65748.53249600143,64419.80254512535,63033.12591260501,61596.82969666917,60118.905787837175,58606.9743415171,57068.25585961848
A,4300.33216001698,3571.536896300952,3351.5313509502007,3380.7166046706707,3538.3580889804216,3768.67324814318,4046.332140257398,4360.32283731183,4706.396628447965,5083.5269755534255,5492.247366369961,5933.8687636602035,6410.108483754772,6922.910973439433,7474.357413627508,8066.615654901652,8701.90758173624,9382.483014977928,10110.594914498803,10888.473320200696,11718.296757713088,12602.160481051884,13542.04127893221,14539.758799359353,15596.933525874938,16714.941703900062,17894.86768205682,19137.454305755065,20443.052177446454,21811.568774863255,23242.418587839336,24734.475586721885,26286.029460528505,27894.747150015726,29557.641239146556,31271.04674871288,33030.607790827766,34831.27538838518,36667.31753885825,38532.34231070111,40419.33441133793,42320.70527079646,44228.356260784545,46133.754234606175,48028.018149619435,49902.015142057244,51746.46408383993,53552.04437975194,55309.50757444471,57009.78924086176,58644.11861835105,60204.12355814707,61681.928509341975,63070.24352893286,64362.44261073348,65552.62998337782,66635.6934097897,67745.12192530652,68952.71354690389,70297.25594739258,71800.13227245981,73473.75209218895,75326.06682420496,77362.95915524846,79589.48342808892,82010.487406941,84630.9017632499,87455.8509244629,90490.6671645664,93740.85122754118,97212.00216782914,100909.72818996609,104839.54458822256,109006.76200759415,113416.36687054187,118072.89524363821,122980.30128201877,128141.8214863308,133559.8362261603,139235.7302620847,145169.75429583204,151360.88986676733,157806.72017124397,164503.3095905772,171445.09485698675,178624.7908503749,186033.3139903481,193352.0678640293,200394.50813872478,207041.9872078289,213212.6781183111,218846.55633443824,223898.1779399815,228333.2159530557,232126.770214936,235262.47384181834,237731.91802295102,239534.16625161,240675.25480725343,241167.64008299747,241029.5855785837,240284.4972235848,238960.2228396271,237088.33396789886,234703.40809886958,231842.327722229,228543.61025240622,224846.78019776472,220791.79219550942,216418.51090073658,211766.25130544108,206873.38093606697,201776.9835685621,196512.5826163643,191113.9211805478,185612.79488166003,180038.9329908561,174419.92301056342,168781.17368698673,163145.9114333793,157535.20527088083
IH,0.0,31.92694321918236,46.359751709744266,54.36708303463414,60.42025215202243,66.23495698983703,72.4185877752424,79.1593915940019,86.50436230948517,94.464873625111,103.05274578693471,112.28980064395074,122.20831479252037,132.84901581149143,144.25890603716516,156.48952880534466,169.5957143074765,183.63468346903335,198.6653752653902,214.74789052520765,231.94297684939875,250.31150450374741,269.9139009936848,290.809524104144,313.0559613873549,336.7082499306098,361.81801479199225,388.4325284289561,416.59369715880587,446.33698438564574,477.6902840765555,510.6727617482238,545.2936839434582,581.5512606942442,619.4315286083589,658.9073047827156,699.937243534959,742.4650287611205,786.4187344032964,831.7103839217735,878.2357367427345,925.8743253968265,974.4897615534213,1023.9303225467283,1074.0298225134388,1124.6087642108541,1175.4757592998162,1226.4291967244071,1277.2591311690705,1327.7493567707766,1377.679625612685,1426.8279662675432,1474.9730549587614,1521.8965908459554,1567.3856275158737,1611.2348148848378,1653.2485092404322,1693.2427138568494,1732.069723151996,1770.7681804108188,1810.2694551863342,1851.3311964436425,1894.552618326628,1940.4111387191838,1989.297908321977,2041.5457330053978,2097.448992383492,2157.2770508430976,2221.2829053537107,2289.708522498736,2362.7879264942644,2440.74876216341,2523.8128059209334,2612.1957258037264,2706.1062797074433,2805.745071257198,2911.3029411425905,3022.959048381433,3140.8786842060854,3265.210856776986,3396.085684951095,3533.6116420819108,3677.8726951182707,3828.9253892753677,3986.795933656552,4151.477347914364,4322.9267339363105,4501.06273926443,4683.479134382514,4867.30174953301,5049.818070387696,5228.636752929675,5401.6875873083745,5567.181439675687,5723.570918020913,5869.52190311075,6003.895475595446,6125.737010335427,6234.269230749582,6328.88681058117,6409.150951724257,6474.783040815446,6525.656968410116,6561.790014710572,6583.332406334963,6590.555764933419,6583.840727207076,6563.664036033054,6530.585397178214,6485.234374709504,6428.2975671358145,6360.506270108697,6282.624793404384,6195.439562190619,6099.749096825595,5996.354932684091,5886.053512388441,5769.629057654543,5647.847406821633,5521.450786917483,5391.153475590156
IN,43.373504026903895,85.44945990720018,122.1319953469582,157.86255095463855,194.7930416243703,234.01679498150682,276.14373152123187,321.5695868807673,370.6021131007042,423.52036075999365,480.60263264406507,542.1397614638131,608.4415004905042,679.8396638745306,756.6897066365707,839.3715203588142,928.2897905720597,1023.8740586745596,1126.5785345288991,1236.8816592905755,1355.2853951725456,1482.3142074771336,1618.513698682384,1764.4488521206522,1920.701842766077,2087.86937447554,2266.5595066407104,2457.387938674091,2660.9737281719513,2877.9344280534992,3108.880639493102,3354.409990981124,3615.1005692047347,3891.503844349737,4184.13715047895,4493.475800308023,4819.944932327682,5163.911206071389,5525.674477596334,5905.459601109415,6303.408513329413,6719.5727639095385,7153.90665745472,7606.261169931821,8076.378794374159,8563.889457743708,9068.307632898452,9589.030747317902,10125.338964280243,10676.396383449275,11241.253677335455,11818.85214893115,12408.029165086564,13007.524890944947,13615.990223951867,14231.995802411622,14854.041943930217,15480.569353813296,16111.360073215961,16746.979888889844,17388.47057742432,18037.179434700465,18694.664083384763,19362.6385354855,20042.941889847516,20737.519478583894,21448.410873331646,22177.74165735417,22927.717219126615,23700.617551256997,24498.79243134296,25324.65657397444,26180.684459669345,27069.40461251479,27993.393138232008,28955.26636159498,29957.672423874898,31003.281721264375,32094.776086295733,33234.836637352186,34426.130247134395,35671.294609655146,36972.92191697087,38333.54119115878,39755.599353535006,41241.44115110608,42793.28809889874,44413.21663511064,46100.03265697024,47850.4625138445,49659.782807891985,51522.17986900421,53430.97980581909,55378.81728152037,57357.77559286541,59359.51313303491,61375.382689403676,63396.54579646295,65414.08234180815,67419.09472459125,69402.80554616824,71356.64779271345,73272.3466025611,75141.99191719868,76958.1015491745,78713.67443641281,80402.23407490988,82017.86232129045,83555.22392816773,85009.58231642834,86376.8071991997,87653.37475350227,88836.36108956196,89923.42979721063,90912.81435684732,91803.29619233213,92594.17911818484,93285.2608966707,93876.80257466104,94369.49621816003,94764.431606384
D,5615.0,5615.0,5615.923287286848,5617.26395335316,5618.836181431629,5620.583459594061,5622.49889175159,5624.593146781435,5626.882337431213,5629.383935452324,5632.115741509452,5635.095898094022,5638.343178758052,5641.877290452379,5645.719117918508,5649.8909051467535,5654.416386696267,5659.320882746797,5664.631368235724,5670.376522541921,5676.586763085093,5683.294264029624,5690.532959831896,5698.338532436204,5706.748380339786,5715.801567399899,5725.538749077565,5736.002073765951,5747.235056918597,5759.282425867359,5772.189933501402,5786.004139368552,5800.772157259419,5816.541368941448,5833.359104418445,5851.2722898903685,5870.327065461602,5890.568375571078,5912.039536066404,5934.781782783504,5958.833807386752,5984.2312870334345,6011.006415112218,6039.1874408317435,6068.798225770821,6099.857825620838,6132.380105237311,6166.373394764233,6201.840194005892,6238.776931410496,6277.1737830229695,6317.014555593805,6358.2766367373015,6400.93101366081,6444.942360584271,6490.269193583551,6536.864090266799,6584.6739704705715,6633.640433076123,6683.729724253845,6734.938126439545,6787.288856112225,6840.82704001184,6895.615133402322,6951.729397875999,7009.257406614495,7068.296357129173,7128.951960021838,7191.337715575637,7255.574440429809,7321.789948594711,7390.118821768479,7460.702224852963,7533.6877362466885,7609.229171198208,7687.486381973454,7768.625022044426,7852.816263757305,7940.2364605131015,8031.066745728642,8125.49256195048,8223.703114599855,8325.89074601179,8432.250226740502,8542.977962557148,8658.27111716739,8778.326652413964,8903.340289579823,9033.50539733653,9168.945759206006,9309.702041313709,9455.73646726157,9606.942105971906,9763.152158486075,9924.148086331095,10089.666602391393,10259.405838490915,10433.030990329746,10610.179647042287,10790.466919895865,10973.49041487917,11158.835048488194,11346.077680068747,11534.79152203915,11724.550286539568,11914.932030076174,12105.522664113712,12295.919107654501,12485.7320665089,12674.588432478373,12862.133303570197,13048.03163336223,13231.969523588397,13413.655178865907,13592.819546244731,13769.21666498539,13942.623753749464,14112.841063323556,14279.691523205962,14443.020209982391,14602.693664516357
R,0.0,730.0928118626359,1351.4597061624233,1942.7538532851954,2543.4557287988605,3174.5432723737013,3848.3003634884712,4572.993705741767,5355.115363583266,6200.466472420413,7114.687362943188,8103.522112053234,9172.95491728935,10329.283958925207,11579.164133333958,12929.633591717213,14388.131083417746,15962.507247625797,17661.03110439856,19492.392052549516,21465.697202474097,23590.4636234943,25876.60495663833,28334.411782568153,30974.525116841476,33807.90242093629,36845.77556421455,40099.600248995856,43580.996518956126,47301.68011092232,51273.38458182178,55507.77434485333,60016.348979091235,64810.339430120395,69900.59698943124,75297.47621879776,81010.71326265857,87049.30125522082,93421.36476738188,100134.03543920358,107193.3310947204,114604.0407267943,122369.61776213028,130492.08396479745,138971.9462083295,147808.12814299873,156997.91851116295,166536.9375281893,176419.1223609728,186636.7323145463,197180.37389543018,208039.0454746505,219200.20084005204,230649.8305218988,242372.55941124455,254351.75887822697,266569.6713455446,279007.54508615,291669.1267115913,304570.68533710093,317735.52058223786,331190.9817410067,344966.8825275299,359094.68469812686,373607.100528704,388537.91962280474,403921.95235942537,419795.03048182424,436194.0319083963,453156.911409907,470722.7267191054,488931.6539143223,507824.988209884,527445.1275117364,547835.5367633302,569040.6914939082,591105.999243056,614077.6977570311,638002.729081146,662928.588934055,688903.1510572912,715974.4665920746,744190.5389450403,773599.0750607065,804247.2145132794,836181.2383527572,869446.2601765563,904085.902432132,940089.8213506576,977415.0034824501,1015997.0119632125,1055756.251786719,1096601.7682140535,1138433.82814141,1181145.9025392407,1224626.349986013,1268759.940489597,1313429.2777382436,1358516.1378265084,1403902.723661887,1449472.8265364899,1495112.8844349796,1540712.927707149,1586167.4052092242,1631375.8870451942,1676243.6431265704,1720682.0996380714,1764609.1779969493,1807949.5229529887,1850634.6280730504,1892602.8679997085,1933799.4476004832,1974176.2784776958,2013691.7933412862,2052310.7085127241,2090003.7443813882,2126747.313026458,2162523.1814939417,2197318.11842101,2231123.530863581,2263935.097337438
G,173276.0,173276.0,173346.7703095701,173456.4648006576,173590.6635041479,173743.11877621175,173911.44018894402,174095.07881593987,174294.3852397289,174510.16964953693,174743.49683398986,174995.59100089362,175267.79181012933,175561.53410262466,175878.3383663682,176219.80579679465,176587.61500007068,176983.5188814148,177409.3409598226,177866.97067909993,178358.3574419751,178885.50317305952,179450.4532619887,180055.2857714342,180702.09882610012,181392.9961332896,182130.07062548932,182915.38626156177,183750.95807550594,184638.7306195979,185580.55501067592,186578.1648524609,187633.15137066427,188746.93815838813,189920.75598384085,191155.61815743733,192452.29698779076,193811.30187311053,195232.85957383903,196716.89719248886,198263.02834702175,199870.54296523446,201538.40105105704,203265.2306820398,205049.33039411955,206888.675999224,208780.93176803726,210723.46579908446,212713.36929081223,214747.4793397014,216822.40480812697,218934.5547432928,221080.16878476256,223255.34897354982,225456.09237012084,227678.32390087016,229917.92888080594,232196.09265948873,234526.82430976906,236920.3044312486,239384.724111999,241927.2917754002,244554.78325386226,247273.84191045386,250091.1420813718,253013.47749939564,256047.8080376969,259201.28265217075,262481.24800132355,265895.24768362066,269451.01459461957,273156.4576098321,277019.6431224604,281048.77162614494,285252.14938021876,289638.15514763165,294215.202010345,298991.6943201995,303975.97992197535,309176.2978817218,314600.7220619717,320257.1010016715,326152.99467827356,332295.6088480764,338691.7277739942,345347.6462527967,352269.10194179945,359404.6964044376,366717.36944237904,374176.72542109346,381755.4386485115,389427.64095931314,397168.27388009935,404952.906293631,412757.7700597034,420559.88934050483,428337.2405856388,436068.91103864973,443735.23959603114,451317.9323523904,458800.1498582213,466166.5658036617,473403.3984236081,480498.41685575095,487440.9252156988,494221.72741747805,500833.0758448039,507268.6069224473,513523.26648650074,519593.22763699177,525475.8034995486,531169.3570433954,536673.2098156452,541987.5511681144,547113.349281246,552052.2650362509,556806.5695552144,561379.0660218898,565773.0162140911,569992.0720217652,574040.2120920119
H,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2774786.471597338,2682293.5892107603,2589800.7068241825,2497307.8244376048,2404814.942051027,2312322.059664449,2219829.1772778714,2127336.2948912936,2034843.4125047156,1942350.5301181376,1849857.6477315596,1757364.7653449816,1664871.8829584036,1572379.0005718255,1479886.1181852475,1387393.2357986695,1294900.3534120915,1202407.4710255135,1109914.5886389355,1017421.7062523576,924928.8238657797,832435.9414792018,739943.0590926239,647450.176706046,554957.2943194681,462464.4119328901,369971.5295463122,277478.6471597342,184985.76477315626,92492.88238657832,3.7834979593753815e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
