series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,255009.19180769028,254973.03135321938,254950.64071678152,254932.95550476495,254916.59053024944,254900.26742677653,254883.4905853358,254866.0550000125,254847.86311017757,254828.8565885131,254808.9909176365,254788.22590107706,254766.5221103403,254743.83954465302,254720.1371165793,254695.37244698795,254669.50177707736,254642.47992598836,254614.26026758202,254584.79471676852,254554.03372205788,254521.92626336354,254488.4198549859,254453.46055405278,254416.99297483749,254378.96030944196,254339.3043553679,254297.96555052136,254254.88301621104,254209.99460871128,254163.23697996503,254114.5456480028,254063.855077647,254011.09877206018,253956.20937567542,253899.11878902098,253839.75829591617,253778.05870347048,253713.9504952645,253647.36399802603,253578.22956204013,253506.47775544444,253432.03957246355,253354.84665552597,253274.83153108606,253191.92785884024,253106.0706938833,258736.41913753998,264361.48823141237,269981.06283501274,275594.7021723874,281201.839977694,286801.81993668084,292393.90485799586,297977.2749510435,303551.0212778216,309114.13672420307,314665.5053636085,320203.89051195903,325727.921556142,331236.07956486923,336726.68167743,342197.8642809981,347647.56501987705,353073.5037274228,358473.16243355424,363843.7646790571,369182.2544638283,374485.27527098433,379749.1497427604,384969.8607364393,390143.0346563856,395263.92813631555,400327.41932575474,405328.0052040552,409707.52543263684,408846.43100554764,407919.0914213555,406921.2635517023,405850.5750404106,404705.65553891106,403485.90816043696,402191.4720783147,400823.2341737075,399382.84358223766,397872.7136127659,396296.0058406676,394656.59516455606,392959.0165641279,391208.39550615806,389410.36478282657,387570.9711214322,385696.5751974374,383793.74872896494,381869.1721578454,379929.5360707379,377981.44903282524,376031.35394774907,374085.45446950715,372149.6524168223,370229.4966105946,368330.143093035,366456.3263059181,364612.3405097157,362802.0305131914,361028.79064758786,359295.57085101295,357604.8887156911,355958.8463817048,354359.1512245251,352807.1393699363,351303.8011701954,349849.80788228003,348445.5388971971,347091.108974301,345786.3950333683,344531.0621478148,343324.5884637748,342166.28884132416,341055.337075933,339990.7866106743
E,0.0,36.16045447089681,51.31897547241087,58.74035756421564,63.35722069967433,67.0088370319715,70.3838655872633,73.74263002341252,77.18594380439642,80.75522432174012,84.46979552525903,88.34079564980024,92.37636729952169,96.58359683087016,100.9692399869325,105.53999305287724,110.30259272268233,115.26385040453009,120.43066050014366,125.80999747708933,131.40890730481243,137.23449535069835,143.29391151684567,149.5943328927045,156.14294399946576,162.94691462056332,170.01337517808932,177.3493896005886,184.96192562339377,192.85782246443787,201.0437558247773,209.52620017324847,218.31138828852238,227.40526804922104,236.81345648370322,246.54119111561,256.5932786692844,266.9740412307249,277.6872599947406,288.7361167673432,300.12313343397307,311.85010964867865,323.918059046532,336.3271443309528,349.0766116387355,362.1647246377912,375.5886988652289,389.3446368655589,405.6287277139296,424.1504796126237,444.90313478655094,468.0067769089177,493.64752124600227,522.0551369850839,553.4960385634681,588.2725047566166,626.724534504987,669.2329391822753,716.2231251283999,768.1693461605449,825.5993231859961,889.0991619949499,959.3184989373244,1036.9757855223995,1122.8635934174897,1217.8537828556023,1322.9023305646128,1439.0535581668632,1567.443439031715,1709.3015919650938,1865.951496129565,2038.8083868750934,2229.3742221695707,2439.2290515584564,2670.018083779407,2923.433747161884,3199.8394406781904,3487.208964997024,3787.5926748748293,4100.7600805445445,4425.524782740828,4760.164201053935,5102.564212232093,5450.2858112719705,5800.615541367119,6150.618465675643,6497.198370201313,6837.164962610576,7167.3059301185895,7484.460937599249,7785.594393691703,8067.863892248649,8328.68156211772,8565.766065473215,8777.183609894908,8961.377017930754,9117.182570152056,9243.834953347065,9340.961167109623,9408.56464664282,9447.001137929625,9456.948016204064,9439.368781629852,9395.474414987062,9326.68315178599,9234.580056993118,9120.87757464078,8987.37800467591,8835.93863797495,8668.440070589717,8486.758027772343,8292.738861978516,8088.1787491991145,7874.806494978486,7654.269774231394,7428.124565349033,7197.827496349206,6964.73079593888,6730.079532224538,6495.010823451869,6260.554715842854
I,63.7525368021978,38.25156445554666,29.45986733522738,26.913385984323824,26.721348656452527,27.437164232920843,28.523947158734977,29.783524776929855,31.14385177431864,32.57984739837186,34.0839183359244,35.65498691645039,37.294411425792205,39.00447250993269,40.787814106337976,42.647238617004895,44.5856328202935,46.60594139404746,48.71115720444023,50.90431696956164,53.188498130579774,55.56681543291731,58.04241669623889,60.6184776010511,63.2981954381236,66.084781802116,68.9814542172264,71.99142668031509,75.11789910295937,78.36404563072222,81.73300181633275,85.22785062365946,88.85160724130058,92.60720268827416,96.49746619961648,100.52510638666367,104.6926911753774,109.00262653627229,113.45713403129764,118.05822721640651,122.807686953477,127.70703570169368,132.75751087637462,137.96003738244684,143.31519945019338,148.82321192234846,154.48389116389035,160.29662578871313,166.26034742044877,172.76973036779071,180.00929078251647,188.0885220748127,197.09473549591974,207.11381871285673,218.23866297281808,230.57295784248305,244.2333274895243,259.35094650286396,276.0730659960178,294.56461012829516,315.00989947308824,337.61451657303985,362.60731048000434,390.2425257052323,420.8020308219643,454.59761053137316,491.97327122009506,533.3074933263938,579.0153438757901,629.5503392392627,685.4059216547075,747.1163838265346,815.2570449343314,890.4434501926883,973.3293369941824,1064.6030867567838,1164.9823668912368,1274.963190351402,1392.6784422316266,1517.376917418929,1648.5664040515348,1785.738022114273,1928.2763777650646,2075.4316908512537,2226.315070436677,2379.904757535373,2535.059405705533,2690.536885968988,2845.017665602282,2997.1318058890583,3145.488480493097,3288.706784444057,3425.4465390506625,3554.4378178660972,3674.508022017402,3784.605507619597,3883.8189947783844,3971.392244764575,4046.7337570062873,4109.421490473053,4159.202838604667,4195.990271784892,4219.853200129421,4231.006700354344,4229.797795890441,4216.689984259289,4192.246676915351,4157.114162046584,4112.004628054015,4057.679701910217,3994.9348687089337,3924.5850516922847,3847.4515498835644,3764.3504559856065,3676.082612185199,3583.425106787956,3487.1242703264043,3387.8900955226827,3286.3919804507123,3183.255677396901,3079.0613201072138
A,7.083622332774062,5.666898178208065,5.256730991177936,5.231768947069231,5.360227590717452,5.555332171028123,5.784448484534878,6.035242406771351,6.303053133164881,6.586168297801018,6.884046359264954,7.196640565059056,7.524136278837926,7.866844644316789,8.225156304219853,8.599518888186383,8.99042442622672,9.39840127682969,9.82400835555901,10.267830683517618,10.73047576756472,11.212570533209261,11.714758628844741,12.23769797187113,12.782058438643574,13.348519621317346,13.937768589931832,14.550497609603823,15.1874017716356,15.849176504405438,16.536514935593388,17.250105081969213,17.99062684691253,18.75874880926638,19.55512479021857,20.38039018779835,21.235158071380326,22.120015031391397,23.035516782290564,23.982183519890846,24.960495037259427,25.970885606796855,27.013738639678426,28.089381137649873,29.19807795620457,30.340025902419946,31.51534769517551,32.72408582008301,33.96619631618877,35.28556798509119,36.711502009066955,38.267304179145015,39.97402081296566,41.852211286898566,43.92291850644945,46.208305108606005,48.73214680543808,51.52026417569592,54.600929943738606,58.00527045367962,61.76767189930761,65.92619770069481,70.52302076178134,75.60487219044026,81.22350596699678,87.43617677949365,94.30612566052213,101.90306505570693,110.30365144687104,119.59192958792383,129.8597277675535,141.20697831781834,153.74193193746828,167.58122847878906,182.84978095553134,199.68042410042943,218.2132744176502,238.56769312739476,260.59864419026735,284.2311060398116,309.4004516043962,336.0312511365389,364.0287090786042,393.27470633347014,423.6259673084288,454.9136021535321,486.94379999215647,519.4995875682846,552.3435801465278,585.2216233961813,617.8671868671936,650.0063340995234,681.3630675456948,711.6648315099808,740.6479544710992,768.0628231857105,793.6786033651999,817.2873530798612,838.707412446723,857.7859935112082,874.400934607283,888.4616213469915,899.9091097789088,908.7155148254294,914.8827481429797,918.4407038889516,919.4449988262118,917.9743753954107,914.1278737064636,908.0218718289104,899.7870843062663,889.5655974454452,877.5080075061264,863.7707151769653,848.5134172753291,831.8968249021317,814.0806266468123,795.2217060735734,775.4726147311105,754.9802953342978,733.8850445242061
IH,0.0,12.750492417221357,19.02174881761264,22.856391256926653,25.76699685128162,28.324394364115438,30.74835588266684,33.127506748369015,35.50125241867575,37.89032735235669,40.30820729886683,42.76539185808341,45.271029496969675,47.833550873967084,50.460930946402215,53.160810915696295,55.94056601807574,58.80735116566653,61.76813635584173,64.82973630859259,67.99883603114617,71.28201299183878,74.68575621197881,78.21648244680067,81.88054957366599,85.6842672821307,89.63390514653993,93.73569815065156,97.99584972336334,102.42053233452013,107.01588569013715,111.78801255746055,116.74297224237236,121.88677173497763,127.22535453399483,132.76458715698408,138.51024334164123,144.46798594349343,150.64334653746516,157.0417027350476,163.6682532352808,170.52799063652208,177.6256720470787,184.9657875462603,192.55252656327258,200.38974225960524,208.4809140211187,216.8291081888177,225.43693718218483,234.30651719575874,243.51867031329684,253.1823803789861,263.41674259171594,274.3454334706323,286.0959306394612,298.80050242706477,312.5978493833238,327.63499551035113,344.069298108593,362.0705454654967,381.82314696956195,403.5284310227658,427.40706752961876,453.70162928601604,482.67930212699616,514.6347476746354,549.8931148740495,588.8131869234302,631.7906383161202,679.2613621193325,731.7048099375406,789.6472659413545,853.6649517088803,924.3868304602662,1002.4969479084515,1088.7361131609684,1183.902688191747,1288.8522203212144,1404.4469264149143,1531.0823465114313,1668.9609996110314,1818.1650587283489,1978.666033455748,2150.3154361817187,2332.830883327411,2525.782754930092,2728.5835456234854,2940.4810234935567,3160.5558898274066,3387.7243677280667,3620.745910298151,3858.235978801704,4098.68360057582,4340.473188916941,4581.909908192678,4821.247710613648,5056.719066125929,5286.56535862097,5509.066930031916,5722.571814364404,5925.522308233376,6116.478662611698,6294.139340660013,6457.357457101856,6605.153184951284,6736.722076399397,6851.43938922249,6948.860633233698,7028.7186501965225,7090.917614264319,7135.52438898629,7162.757703022284,7172.975612582271,7166.661707413026,7144.410492278193,7106.912340688266,7054.938375310145,6989.325582880603,6910.962423031187,6820.7751422444135,6719.714957816236
IN,12.750479929429792,23.548501443923342,27.59285754649172,29.259572918987338,30.161771943166933,30.887411445308288,31.64509786263885,32.50411721803146,33.48351144223322,34.58499757721436,35.805013597634165,37.13902426541942,38.58297328183126,40.13369713855844,41.788972877931215,43.54744672620734,45.40853268981423,47.37231186176737,49.43944185175411,51.6110781428017,53.888806623178745,56.27458582380079,58.77069731695653,61.379702864388435,64.10440708453427,66.94782458635466,69.91315067462793,73.0037348662247,76.2230565704172,79.5747023816352,83.06234451320096,86.68971996810953,90.46061010015147,94.37882026752914,98.4481593232238,102.67241872309377,107.0553510651769,111.60064790290546,116.31191670173884,121.19265683377212,126.2462345287719,131.4758567233104,136.8845437726227,142.47510101282597,148.25008918447247,154.21179375225307,160.3621931801517,166.7029262465403,173.23525850960226,179.9600480600233,186.95695628250274,194.33034930591657,202.19051049354732,210.64829792521184,219.81477167570432,229.80256359668468,240.7277962925209,252.7121355021411,265.88485136664247,280.38486927865324,296.3628259923164,313.9831555577085,333.4262289500452,354.8905669683846,378.5951400661919,404.78176173248113,433.71757379094294,465.69761224013183,501.04743066335243,540.1257444266517,583.3270425262938,631.0840947923112,683.8702600879388,742.2014762602108,806.6377852852565,877.7842181002698,956.2908343137326,1042.8516842306651,1138.153741839152,1242.405363839113,1355.6327609385637,1477.7596880856415,1608.6197997141958,1747.949143956452,1895.3742317188603,2050.4009878266806,2212.4066426042887,2380.63552119651,2554.199238639527,2732.0815408090784,2913.147803621698,3096.158981301987,3279.789580560313,3462.6490433858867,3643.3057607109686,3820.312823959428,3992.2345587789246,4157.672877501852,4315.29253172917,4463.844437425054,4602.186372555892,4729.300500322252,4844.307337585978,4946.4759568978725,5035.230371685495,5110.152199717211,5170.979824196595,5217.604371292491,5250.0628961902485,5268.529217254061,5273.302861416594,5264.796586258144,5243.522928819371,5210.0802017027,5165.138317150571,5109.4247730227,5043.71108404645,4968.799890050448,4885.512922286494,4794.679961081562,4697.128874158443
D,648.0,648.0,648.050007807236,648.124611666996,648.2142551074757,648.3153140289219,648.4264031388238,648.5469990972772,648.6769261555803,648.8161631143973,648.9647700955513,649.1228600731519,649.2905872010491,649.4681415136502,649.6557461106532,649.8536553697744,650.0621536377469,650.281554187198,650.5121983525313,650.7544548046856,651.0087189421324,651.2754123821389,651.5549825389968,651.8479022771307,652.1546696276688,652.4758075575213,652.8118637803872,653.1634105994209,653.5310447715669,653.915387383801,654.3170837317073,654.7368031909782,655.1752390725392,655.6331084520921,656.111151964931,656.6101335569273,657.1308401826071,657.6740814412663,658.2406891420868,658.8315167892507,659.4474389780909,660.089350693391,660.758166501053,661.4548196244976,662.1802608973692,662.9354575843769,663.7213920624428,664.5390603547429,665.3894705107333,666.2736408258561,667.1925978953308,668.1476853009726,669.1406740624475,670.173802294303,671.2497931740415,672.371869850165,673.5437742314612,674.7697922143643,676.0547863277803,677.4042362605875,678.824287616334,680.3218092576275,681.9044596630048,683.5807627848751,685.3601939533058,687.253276409088,689.2716890645833,691.4283860759036,693.737728757444,696.2156302706293,698.8797133623474,701.7494812028167,704.8465010642913,708.1946001770456,711.8200725836499,715.7518951741313,720.0219503136808,724.6652515666927,729.7201679793798,735.2284502379255,741.2334003482082,747.7791146015969,754.9100115744473,762.6703981028958,771.1039986502884,780.253430163248,790.1596246062353,800.8612097303408,812.3938630109068,824.7896564066161,838.0764112712044,852.2770834968952,867.4091987741638,883.4843567141471,900.5078205492918,918.4782063167181,937.3872820026309,957.2198832882434,977.9539485105352,999.5606714568393,1022.0047668551474,1045.2448400748426,1069.2338497471694,1093.91964983751,1119.2455961933736,1145.1512017519385,1171.5728243823555,1198.444371696352,1225.6980080020357,1253.2648498050337,1281.075637779176,1309.061374839105,1337.153921759716,1365.2865436229185,1393.394402163868,1421.4149907829337,1449.28851054575,1476.9581868837886,1504.3705279151839,1531.475526322943,1558.22680755609
R,0.0,3.3691825695022386,9.437542003010734,16.696853651230732,24.6060956564853,32.982566703896985,41.77574330422328,50.98342647137205,60.6207978487367,70.70913017970776,81.27177790569374,92.33284634964856,103.91683143037396,116.04859859036551,128.7534698429078,142.0573361970022,155.98676736250218,170.56911047628526,185.83257655238842,201.80631559992358,218.52048189740506,236.00629087656245,254.29606885892824,273.4232966479462,293.42264775507715,314.3300218427067,336.18257379995515,359.01873872650077,382.8782529802909,407.80217134387095,433.83288027787535,461.0141071564397,489.3909253158571,519.0097546930906,549.9183577835169,582.1658306065594,615.8025883329836,650.8803451980854,687.452088300516,725.5720448668951,765.2956425476533,806.6794622998074,849.7811834077663,894.6595201940585,941.3741499783483,989.9856318556249,1040.555315883358,1093.145242293115,1147.818030374979,1204.636756723462,1263.6736276696038,1325.0273326264755,1388.8285634286667,1455.241522484158,1524.4643909225074,1596.7298524375822,1672.3060572734105,1751.498149830502,1834.650394039386,1922.1489053232474,2014.4249955495898,2111.9591423615348,2215.2856009213533,2324.9976822497806,2441.7537271513715,2566.2838077331044,2699.397189380993,2841.9905843390993,2995.057223223097,3159.6967622723328,3337.1260311672468,3528.69060798592,3735.8771834523473,3960.326645131083,4203.847772794522,4468.431388131707,4756.26474486917,5069.745879273155,5411.492155990551,5784.287000220655,6190.971967017416,6634.400809065772,7117.4090830882205,7642.784944817829,8213.237030176639,8831.358694172608,9499.58907582248,10220.171950098778,10995.113573749974,11826.140867236749,12714.661336153426,13661.726129398015,14667.997559161226,15733.722272391831,16858.711071541293,18042.326144859344,19283.47619719471,20580.619686871418,21931.776088881667,23334.54483452739,24786.1313358425,26283.379299843393,27822.80837977364,29400.65610150327,31012.922943382106,32655.4194346253,34323.81416602636,36013.681671191516,37720.549229394055,39439.94175504568,41167.424066317166,42898.639959791915,44629.347653192905,46355.451289146265,48073.02831563753,49778.352670321765,51467.91379418356,53138.431584098325,54786.867463259754,56410.43180345818,58006.58797454381
G,39068.0,39068.0,39074.508903237336,39083.74634923951,39094.319648416924,39105.723985695164,39117.78561607756,39130.454753600316,39143.72847071234,39157.62198634582,39172.15797458796,39187.36258784839,39203.263983425604,39219.891784291685,39237.27688896706,39255.451412009934,39274.4486733138,39294.30320538105,39315.050766771616,39336.7283570418,39359.37423115621,39383.02791235812,39407.73020286116,39433.52319186557,39460.450260451944,39488.55608291894,39517.8866241305,39548.48913243076,39580.41212767518,39613.705383915716,39648.4199062676,39684.6079014762,39722.322741695134,39761.61892098187,39802.55200401554,39845.17856654372,39889.556127071344,39935.74306931658,39983.798554975634,40033.78242636201,40085.7550985162,40139.77744041955,40195.91064499222,40254.21608760926,40314.755172932455,40377.589169927756,40442.779035020314,40510.3852234303,40580.46748883359,40653.48090024129,40729.82823796874,40809.91106592774,40894.15256316248,40983.00940957536,41076.97964365868,41176.60925866136,41282.498658191085,41395.309445866325,41515.771771578526,41644.69235861246,41782.9632962211,41931.571663733506,42091.61003986835,42264.28793827235,42450.94419428972,42653.06030663455,42872.27470937964,43110.39791297542,43369.42840638331,43651.56915444452,43959.24445411413,44295.116829380924,44662.10354743549,45063.39222879286,45502.45490382276,45983.059741442834,46509.27954867312,47085.25254456407,47712.952225158486,48394.721151570586,49132.86039661991,49929.457480555044,50786.289858129836,51704.75444065975,52685.80911711405,53729.92335262854,54837.03832196792,56006.53787954244,57237.23162525138,58527.35094078879,59874.55834565288,61275.969951097664,62728.190233585956,64227.35785123928,65769.20082001835,67349.0990721021,68962.15224680511,70603.25051325509,72267.14628374798,73948.52483028556,75642.07204320822,77342.5378473441,79044.79409546495,80743.88607094312,82435.07703440906,84113.8855297257,85776.11541338943,87417.87878283743,89035.61215056556,90626.08634252826,92186.41069308396,93714.03216824822,95206.73007857297,96662.60704735311,98080.07688390621,99457.84998001106,100794.91680447911,102090.5300200284,103344.18569134566,104555.60399611478,105724.70979397782
H,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,165305.1678584681,159585.94548212521,153866.72310578232,148147.50072943943,142428.27835309654,136709.05597675365,130989.83360041074,125270.61122406783,119551.38884772493,113832.16647138202,108112.94409503911,102393.72171869621,96674.4993423533,90955.2769660104,85236.05458966749,79516.83221332458,73797.60983698168,68078.38746063877,62359.16508429586,56639.942707952956,50920.72033161005,45201.49795526714,39482.27557892424,33763.05320258133,28043.830826238423,22324.608449895517,16605.38607355261,10886.163697209704,5166.941320866798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
