series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,438733.3275856317,438689.88670155144,438657.0540346087,438627.86532969377,438599.0036099853,438568.81608031935,438536.40295849805,438501.1977600194,438462.7732081409,438420.75075515435,438374.7576488633,438324.40576633153,438269.28035785264,438208.9332450861,438142.8779617079,438070.58568023564,437991.4813935438,437904.94010887184,437810.2829475161,437706.77310850425,437593.61168791144,437469.93336489395,437334.80197924323,437187.2060371838,437026.05419408396,436850.1707756251,436658.29141321394,436449.0588852173,436221.01927298756,435972.61855953117,435702.1998188201,435408.0011647747,435088.1546502835,434740.6863274999,434363.5177000516,433954.46881445165,433511.26325037825,433031.53527580807,432512.83943125035,431952.6627953791,431348.44016001024,430697.572303529,429997.44749675365,429245.46630256396,428439.0696399629,427575.76997516636,426653.18537873076,425669.07605203567,424621.38278363453,423508.2666526442,422328.14916037896,421079.7518517318,419762.1343936338,418374.73001819296,440649.267283844,462751.76215994643,484672.6046846728,506393.56726594525,527889.986656911,549131.7866160272,570083.8361119498,590705.9488356101,610952.7126528705,630773.2706144043,650111.1399651844,668904.1391440538,687084.4860784477,704579.1280171638,721310.3593235001,737196.7758438275,752154.6003972207,766099.392381227,778948.125559261,790621.5834577954,801046.9847448965,810160.7160922899,817911.0225731086,824260.4904819357,829188.1580185922,832691.1067232394,834785.4194394717,835506.435085121,834908.2811734943,833062.7158184838,806325.4662540946,779639.0793724491,753102.8765103096,726889.3234045804,701183.5848576133,676157.5905593006,651959.0041698348,628707.1993218695,606492.8184780434,585379.275453764,565405.3183464668,546588.121501909,528926.5626226184,512404.456814276,496993.59930229845,482656.5270856568,469348.95316536137,457021.85851037235,445623.24891077256,435099.59824105405,425397.00811808696,416462.1179818686,408242.8005184831,400688.6761149675,393751.4774907524,387385.29239350324,381546.70871040487,376194.8828223073,371291.54870337696,366800.9822488795,362689.9326476003,358927.5303138336,355485.17894293147,352336.4376258463,349456.8976165313,346824.05725379207,344417.1976593368
E,0.0,43.44088408027877,67.58537420698406,83.25700428055126,95.46732313292559,106.5613881723095,117.66223235915356,129.33498436598106,141.8925393712863,155.53648448357856,170.4222938779046,186.68971763410804,204.47718258617508,223.9288588354668,245.19837044659414,268.45097782952473,293.8650689554351,321.6333398363096,351.9638332247797,385.0809055917279,421.22614506617333,460.65923907045294,503.6587769070789,550.5229635850949,601.5702139679292,657.1395896331835,717.5910341176944,783.3053552908225,854.683896462391,932.1478306263191,1016.137005212136,1107.1082582151153,1205.5331210632557,1311.8948196341762,1426.6844831556823,1550.3964721244874,1683.5227417729811,1826.546167988546,1979.932778948537,2144.122859030057,2319.520922592917,2506.484594555586,2705.3124824198567,2916.2311801255855,3139.3816067014955,3374.804950157778,3622.428556561834,3882.052171944556,4153.335005956806,4435.7841357557745,4728.744800869859,5031.3931493430355,5342.7319775724345,5661.589957498809,5986.624763628122,6418.694998080172,6946.003537017896,7567.730311621945,8289.654921611876,9121.814041453363,10077.291800520281,11171.61078003604,12422.414870048537,13849.263997785038,15473.431910728119,17317.636412993248,19405.652259280818,21761.769931988652,24410.074702534854,27373.533304980523,30672.892153871384,34325.41180237093,38343.48632714286,42733.22122645992,47493.06575734697,52612.611321764365,58071.67263987292,63839.760266351295,69876.03073970463,76129.76595039661,82541.39010736515,89043.98650352294,95565.23317772511,102029.64196047033,108360.96313276552,113375.15738785797,117236.3287724258,120002.61612366996,121707.83144590298,122392.25945503512,122112.39395349397,120941.72001076044,118967.75685243445,116287.74850622696,113004.15591227882,109220.52157438084,105037.9761387952,100552.48671937856,95852.84688748038,91019.34972662595,86123.05370159623,81225.53761626598,76379.03969261255,71626.88242380854,67004.09606201394,62538.16698582949,58249.85105204911,54154.005245154876,50260.402820339004,46574.50735352036,43098.18956591467,39830.37754082929,36767.63615159377,33904.67537577249,31234.789901897195,28750.234255284427,26442.538775129688,24302.772337188897,22321.757879066117,20490.246665992134,18799.056927248963
I,69.48431633731347,51.60084753894642,45.26622199520911,44.42261544595446,46.30199002526071,49.650064783333306,53.9103477317056,58.84914400778342,64.38326858249296,70.50097734423363,77.22578214011115,84.60000344765571,92.67741527138469,101.52008571665752,111.19716063789329,121.78455367629691,133.3650650318869,146.0287081087486,159.8731408462806,175.00415212269675,191.53617758838186,209.59282951359566,229.30742899998387,250.8235295464318,274.29542000182425,299.8885930736646,327.78016310757596,358.15921395630585,391.2270544977601,427.1973558001878,466.2961401357257,508.7615880999245,554.8436261267038,604.8032528598769,658.9115593685609,717.4483953455232,780.7006315362885,848.959968105073,922.5202399001654,1001.6741731302285,1086.7095543234482,1177.9047821279999,1275.523785993184,1379.8103134147061,1490.981609440957,1609.221538491995,1734.6732289045888,1867.4313542762156,2007.5342015033984,2154.9557118097678,2309.5977160153593,2471.2826164176963,2639.7467922924316,2814.6350214573968,2995.4962140115063,3181.7807441028567,3389.2075102080826,3627.563438522281,3903.985425986876,4224.697661624199,4595.927230715379,5024.390650599823,5517.557806496718,6083.79724660127,6732.451259498199,7473.859294553913,8319.332219904822,9281.07130838375,10372.021534048132,11605.647349912131,12995.620135856327,14555.409916872613,16297.77980517709,18234.18980260014,20374.126657935543,22724.38751547255,25288.355798537243,28065.316543572968,31049.86360608827,34231.45146547269,37594.13903357145,41116.56201098823,44772.15488557185,48529.62530224289,52353.66436067427,56205.85860026273,59868.355957166794,63205.613733304664,66126.27069108536,68567.88608018175,70490.53122299786,71873.58728512481,72713.49228591112,73021.59513491293,72821.87292788431,72148.51495036115,71043.4672633187,69554.05065884652,67730.75170586699,65625.2609275279,63288.80372548854,60770.783495304015,58117.73478717854,55372.56813453178,52574.077177251056,49756.67233299441,46950.302676904525,44180.527980592626,41468.705189041626,38832.25724271516,36284.9964806631,33837.47942666367,31497.37423078462,29269.826190204403,27157.81047271779,25162.464350452185,23283.39390698325,21518.952329989188,19866.488587330863,18322.566562341544,16883.15565405969
A,17.426613708933974,14.122663792641328,13.187193630265122,13.397329380673556,14.19609246154203,15.333077402198626,16.69939570308666,18.251839408404486,19.978055377600192,21.88058032583626,23.969554120948153,26.259429053251548,28.767521662508145,31.513416633471405,34.518767091173885,37.80728156587562,41.40480094776172,45.339420652722026,49.64163696632566,54.34450729630794,59.4838188204021,65.09826197130187,71.22960582434138,77.92287241856876,85.22650665393903,93.19253780398367,101.87672792599389,111.33870156764503,121.64205017538688,132.85440351851096,145.04745926936278,158.29696064732784,172.68261077439453,188.28791114806012,205.19991047258065,223.5088490782859,243.3076833953042,264.6914745457634,287.75662520857037,312.5999496398527,339.31756325714395,368.00358067600314,398.7486146749456,431.63807338595984,466.7502591499078,504.1542799634321,543.9077932178709,586.054611328027,630.6222095846917,677.619187722556,727.0327477249293,778.826260619361,832.9370036939778,889.2741558778937,947.7171421904544,1008.114417470542,1074.3878239337719,1149.2425620682825,1234.8380608737223,1333.1561133487705,1446.2052731119118,1576.1379905567594,1725.321118521584,1896.380332489457,2092.2278972129943,2316.077059652733,2571.4428950019483,2862.1274684931673,3192.186106161662,3565.8711491549484,3987.549745354997,4461.593043137513,4992.235642069167,5583.406324900331,6238.533851983061,6960.334729210886,7750.593026097966,8609.945091623793,9537.683932997268,10531.598683555721,11587.863730031655,12700.989643056717,13863.844236549114,15067.74725878115,16302.636921501642,17557.301288637198,18775.17149439961,19916.984627766436,20953.253216581063,21861.436320231285,22624.88209171396,23232.361272094786,23677.720497966126,23959.482752339914,24080.350752195023,24046.623713407032,23867.558855756055,23554.71386759548,23121.303685767452,22581.598619122913,21950.38336964763,21242.489178667114,20472.404847739825,19653.96708433181,18800.126593093635,17922.783517660577,17032.684092612053,16139.369506637755,15251.16781185368,14375.220056107593,13517.532501940832,12683.047691511632,11875.728113311983,11098.647242684488,10354.08370630514,9643.615223028777,8968.209777668151,8328.312180324665,7723.924750513051,7154.68134725212,6619.914352075838
IH,0.0,7.334561218597807,11.181482636699984,13.520597271358112,15.260424122817428,16.81911782651897,18.391221276234642,20.070099386537134,21.904082914928495,23.922179295693827,26.145828797354696,28.594276690528343,31.28703743441115,34.24504495855718,37.49121852994112,41.050776790950245,44.95145057647495,49.2236618457012,53.90069806261154,59.01889406833089,64.61782562436136,70.7405151874242,77.43364872709965,84.74780142697794,92.73766941891994,101.46230405854662,110.98534455180778,121.37524393749709,132.70548249545652,145.05476157504947,158.50716962191632,173.1523108290429,189.0853853648291,206.40720856001707,225.22415480305693,245.64801025057392,267.79571687440773,291.78898892765227,317.7537817297985,345.81959187930113,376.11856775742734,408.78440966750134,443.95104035163496,481.7510291430714,522.3137568419322,565.7633137201155,612.216130000963,661.7783467902561,714.5429457363497,770.5866675327636,829.966762472633,892.7176301936586,958.8474199278513,1028.3346762544597,1101.1251276829962,1177.1287254196804,1256.2170464272156,1339.9489219800446,1430.5762294164595,1530.612986272578,1642.6818259582162,1769.4906107223405,1913.8655034091,2078.804685451058,2267.5356940967113,2483.568177423005,2730.7376139031167,3013.236778022653,3335.63179058379,3702.8591823117717,4120.199929740221,4593.22616265377,5127.716399392042,5729.53590695712,6404.480225707364,7158.082088251139,7995.38483982229,8920.68884763499,9937.28095550858,11047.160379881772,12250.777086901837,13546.800195404088,14931.933980960413,16400.797449110327,17945.88025079004,19557.583191026857,21224.346167798765,22914.134897281103,24587.595353667915,26204.31411549299,27726.102217313848,29118.88623000558,30353.84881520227,31408.082667689134,32264.87528944893,32913.69068940415,33349.90004954171,33574.31195540795,33592.553657413584,33414.35412899068,33052.776429489735,32523.441331654736,31843.77707314309,31032.32226104498,30108.101122556247,29090.083007748795,27996.73167998757,26845.6446750345,25653.278932219408,24434.755958586487,23203.737869333134,21972.364605461393,20751.242296547192,19549.472948035436,18374.716236051925,17233.27505516146,16130.197474917877,15069.388831386292,14053.72874351366,13085.18885383459,12164.94801727117
IN,10.548907579769246,20.399258683856885,26.882295822937486,31.974316943487153,36.60106675071544,41.20675096097946,46.01573835938908,51.15305486258053,56.69996820143549,62.71973558739444,69.26964233549327,76.40674978526663,84.19076560434567,92.68560738793225,101.9603830606341,112.09012169236098,123.15640886147632,135.2479979753554,148.461430699179,162.901681782933,178.68283503185634,195.92879282595078,214.77401909452618,235.36431388923052,257.8576161505307,282.42482967123317,309.25066549170936,338.5344919371581,370.4911811772358,405.35193851788733,443.3650976008795,484.79686127669925,529.931964133746,579.0742285320646,632.5469815477903,690.6932955591651,753.876010406868,822.477490293893,896.899064056164,977.5600933920416,1064.8966104023561,1159.3594637360277,1261.4119121865313,1371.5266062110798,1490.1819020419746,1617.8574603211896,1755.0290919711208,1902.162828691735,2059.708214289799,2228.0908360538224,2407.704142398825,2598.9006235338115,2801.9824651363742,3017.1918197900973,3244.7008757526064,3484.601935685754,3736.897747296409,4003.9772739584296,4289.557102898979,4598.1912092003195,4935.076938683862,5306.0128431247595,5717.433172105203,6176.480150763317,6691.0935295365025,7270.105601889806,7923.333485516006,8661.661384528621,9497.105104869643,10442.850025363123,11513.252513522439,12723.793796848999,14090.974904654624,15632.141814580704,17365.231665050713,19308.434034606584,21479.765897174115,23896.56479084296,26574.911605389385,29529.001596961516,32770.48901094393,36307.836210141795,40145.70170739292,44284.40242628062,48719.48358879325,53441.42492067739,58435.504767006176,63654.90268263001,69035.32100727054,74502.84972097412,79978.99360627242,85384.3936010137,90641.8155672414,95678.59909925579,100428.61837582315,104833.76660979008,108844.97540676885,112422.79384724425,115537.56758636676,118169.27073658588,120307.05104491621,121948.55179466297,123099.07261302686,123770.62692254981,123980.94716088535,123752.481048533,123111.41389121591,122086.74376612395,120709.42888675877,119011.61974029365,117025.98288516008,114785.11862538147,112321.0711095482,109664.92665531457,106846.49416545723,103894.06025647958,100834.21104154167,97691.71227844205,94489.43970387362,91248.35173427855,87987.49724295757
D,2766.0,2766.0,2766.037688818755,2766.095145135493,2766.1646210488893,2766.243037104295,2766.3294625446856,2766.423966276362,2766.52709696348,2766.6396516189498,2766.76257631108,2766.896927279513,2767.0438596561758,2767.204628848512,2767.380597833465,2767.5732473591797,2767.784187760402,2768.015171867436,2768.2681088345544,2768.5450788644607,2768.8483488673123,2769.180389114266,2769.5438909484033,2769.941785609782,2770.3772642202534,2770.8537989590536,2771.3751654422267,2771.9454662974026,2772.5691558997937,2773.251066204792,2773.996433576562,2774.810926469763,2775.7006737723486,2776.6722935606217,2777.7329219528806,2778.8902416747696,2780.152509867781,2781.5285845825347,2783.027949301258,2784.660734730611,2786.437736998629,2788.3704312809764,2790.4709797755313,2792.752232845396,2795.2277220643705,2797.9116438326005,2800.81883219107,2803.964719460259,2807.3652833692645,2811.0369794356147,2814.996657510732,2819.261461628043,2823.8487125843385,2828.775773051433,2834.0598954519473,2839.7180533331457,2845.7667575244063,2852.221858950249,2859.10721862709,2866.4582688970627,2874.323360441714,2882.7643204072765,2891.8568903551013,2901.691334152106,2912.373321892416,2924.025108447727,2936.7869831005637,2950.818943831587,2966.302533293723,2983.442757261168,3002.4699879896607,3023.6417341595334,3047.2441369736744,3073.5930306900686,3103.034388381882,3135.943963645428,3172.7259401562424,3213.8104169403186,3259.6495905637325,3310.7125471183676,3367.4786457177324,3430.4295576371765,3500.040115387261,3576.768216319518,3661.044107416373,3753.2594435514357,3853.7565539046927,3962.818365794601,4080.56319760378,4206.907146109263,4341.558642752486,4484.0298840599235,4633.657979425176,4789.6319596574085,4951.023145828467,5116.816981438254,5285.944770543792,5457.3140319097165,5629.836439236885,5802.452581987372,5974.153042186599,6143.995526703807,6311.1180101236705,6474.7480224481205,6634.208354756303,6788.9195545751445,6938.399643891929,7082.261521184883,7220.208510291855,7352.028499428191,7477.587079035902,7596.820042663654,7709.72556523815,7816.356321537328,7916.811757212434,8011.230677344219,8099.784274588341,8182.669681226948,8260.104097205238,8332.319519459437,8399.558076258232
R,0.0,4.002506391974255,9.593131538205455,16.255085106502683,23.79229573035427,32.15790668883898,41.37606678552488,51.50657493078933,62.62920370571641,74.83705944780282,88.23409681163912,102.93455303599201,119.06328319020331,136.75653579113327,156.16296395024995,177.4447841080125,200.77904758057934,226.35901409970504,254.3956271079792,285.11909502715696,318.7805843479179,355.6540306809284,396.0380735132028,440.25811959798176,488.6685387605247,541.6549944330964,599.6369094069013,663.0700650537451,732.4493295622855,808.3115074839689,891.2382990212137,981.8593529453299,1080.8553917390884,1188.9613814631211,1306.9697119057278,1435.7333447734159,1576.1688790259816,1729.259473006311,1896.0575528629802,2077.687226076609,2275.3463079156504,2490.30785768473,2723.921111102529,2977.6116855681144,3252.8809270543024,3551.3042616044113,3874.528411679686,4224.267338731173,4602.296779183074,5010.447252303414,5450.595435886616,5924.653829790495,6434.5586584166995,6982.256001134879,7569.686183976411,8198.766515779567,8871.372506017695,9590.096043331872,10358.532123332421,11181.410906114994,12064.675324837513,13015.551898441694,14042.635978972155,15155.99969441236,16367.324541189751,17690.057383605013,19139.586710744392,20733.43447676723,22491.45727746779,24436.04882292857,26592.333635464172,28988.339725029666,31655.135850909686,34626.91712487649,37941.021460838274,41637.85907017965,45760.73816393125,50355.57250307866,55470.460556416714,61155.13172191481,67460.2620778176,74436.66998922924,82134.40998130028,90601.79088997236,99884.35070562534,110023.82511719842,121057.14909864958,133007.09548663395,145879.0695519361,159660.24592433593,174320.0234172818,189811.31171673237,206072.37884543714,223029.07374781492,240597.27457173562,258685.4333009706,277197.10421431833,296033.3614270025,315095.0300572305,334284.6755151635,353508.3148429747,372676.83186803,391707.0933870639,410522.7762318919,429054.9247330175,447242.264892451,465031.30576651683,482376.2605119649,499238.81968040427,515587.8080775063,531398.7542292085,546653.3985668427,561339.1631512602,575448.6023392329,588978.8504344191,601931.0791900769,614309.9751279007,626123.2440572568,637381.1479436273,648096.0773847108,658282.1613924529
G,317491.0,317491.0,317497.9461001736,317508.75285029964,317522.06545901217,317537.33047039085,317554.36939794844,317573.18332565547,317593.8637002928,317616.55199988023,317641.4219357654,317668.67207926855,317698.52334743494,317731.2187914511,317767.02451498,317806.2311858289,317849.1558965751,317896.144263633,317947.5727150785,318003.8509445579,318065.4245198156,318132.77763799706,318206.43601968564,318286.96993127087,318374.9973214561,318471.18705276883,318576.2622029244,318691.00340380426,318816.25217761623,318952.9142204654,319101.9625730763,319264.44060679345,319441.4647403346,319634.226789238,319843.9958357785,320072.11949269567,320320.02441986656,320589.21593970916,320881.2765854155,321197.8634070405,321540.703855126,321911.59006115486,322312.37134003435,322744.9447533432,323211.24359452404,323713.2236896571,324252.8474506932,324832.06567238184,325452.79712931096,326116.9061044541,326826.178063525,327582.293777503,328386.80228528293,329241.0931751344,330146.368742591,331103.6166483432,332129.951617908,333240.60204309487,334450.6651885437,335776.1624639587,337234.7201208362,338846.05653368594,340632.3721030264,342618.68844791997,344833.1547760308,347307.32191964966,350076.3732371185,353179.2936168642,356658.95194110373,360562.0682730676,364939.03500537877,369843.56183593,375332.1183864475,381463.15606378665,388296.10253031674,395890.1374880748,404302.77632755856,413588.3068581804,423796.14169526007,434969.16267600405,447142.14192537614,460340.325532639,474578.2597553056,489858.9267311088,506173.23820836877,523499.9137759331,541628.3477865659,560374.1744629431,579562.3242977343,599023.1342474506,618593.3827045476,638118.8812940948,657457.1917393628,676479.8698919873,695074.0207060701,713143.1324108042,730607.2494500817,747402.5868318714,763480.704490939,778807.3602554502,793361.1506379857,807132.0342406644,820119.8159785741,832332.6535416231,843785.6317894525,854499.4368406498,864499.1498242454,873813.1706843333,882472.2749635869,890508.8009263189,897955.9604504075,904847.264537868,911216.0527936349,917095.1155535735,922516.3972907969,927510.7703141164,932107.8684482706,936335.9712381846,940221.9301619986,943791.1293061076,947067.4739049096
H,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,711956.7018984032,688224.8118351231,664492.921771843,640761.0317085629,617029.1416452827,593297.2515820026,569565.3615187225,545833.4714554424,522101.58139216225,498369.6913288821,474637.801265602,450905.9112023219,427174.02113904175,403442.13107576163,379710.2410124815,355978.3509492014,332246.46088592126,308514.57082264114,284782.680759361,261050.7906960809,237318.90063280077,213587.01056952064,189855.12050624052,166123.2304429604,142391.34037968027,118659.45031640017,94927.56025312006,71195.67018983995,47463.78012655984,23731.89006327973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
