series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,18980418.046271212,18979312.253062252,18978260.921438873,18977231.472406544,18976201.4801299,18975155.26359012,18974081.612826344,18972972.27100236,18971820.92032599,18970622.5040014,18969372.772355974,18968067.978545338,18966704.674072374,18965279.570914656,18963789.448100813,18962231.08794708,18960601.232084736,18958896.550693043,18957113.62054489,18955248.908936355,18953298.76154946,18951259.392950818,18949126.878865637,18946897.149658963,18944565.984651633,18942129.007029947,18939581.679196365,18936919.29846835,18934136.993073054,18931229.718413465,18928192.253601033,18925019.198263466,18921704.96964638,18918243.800034933,18914629.73452724,18910856.629195996,18906918.14967845,18902807.77023818,18898518.77334471,18894044.249819558,18889377.09959928,18884510.03316785,18879435.573712118,18874146.060055178,18868633.650423076,18862890.32710058,18856907.90203142,18850678.023417648,18844192.183371253,18837441.726669297,18830417.860660892,19804992.608438466,20778854.89359576,21751960.945744243,22724253.058855847,23695660.067240056,24666097.363543015,25635466.499297824,26603654.404429186,27570532.254496396,28535954.005706906,29499754.609246254,30461747.90904531,31421724.22118956,32379447.589032255,32352896.782069646,32324343.773893904,32293720.817282584,32260855.3209829,32225586.65803196,32187761.310542285,32147230.225159068,32103847.5906225,32057470.54219295,32007959.47883051,31955178.790403355,31898997.860198658,31839292.249090906,31775944.992222164,31708847.953492638,31637903.19169362,31563024.297383606,31484137.66329981,31401183.654273175,31314117.645917937,31222910.905146454,31127551.28995789,31028043.750955284,30924410.62254124,30816691.69753799,30704944.08484237,30589241.855416637,30469675.487199422,30346351.124195136,30219389.668905716,30088925.73029923,29955106.451613322,29818090.243468225,29678045.448060635,29535148.959710404,29389584.82584801,29241542.85079036,29091217.222489998,28938805.1799918,28784505.736715432,28628518.4720124,28471042.400817443,28312274.92870119,28152410.8972927,27991641.72291732,27830154.629412647,27668131.97445567,27505750.667358078,27343181.675157327,27180589.61293388,27018132.413602065,26855961.07193165,26694219.457237195,26533044.188999064,26372564.569631737,26212902.568670273
E,0.0,1105.7932089607052,1894.7987523737756,2474.7468065767016,2917.6576801020274,3271.7215681050725,3569.2255019481,3831.843972189742,4074.170610323702,4306.076020708741,4534.282092104705,4763.413258913735,4996.69855891122,5236.440534175407,5484.328446259789,5741.647527495048,6009.418800950126,6288.49252554472,6579.61066061353,6883.448628122369,7200.6432344937775,7531.811332698179,7877.562281760463,8238.506243322294,8615.259675267454,9008.448928408567,9418.712548896086,9846.702686296549,10293.08587177873,10758.543340228858,11243.771009490703,11749.479189345102,12276.392065666472,12825.246986988934,13396.793568525834,13991.792620542674,14611.014902572813,15255.239701415352,15925.253228587462,16621.846831537485,17345.815012210383,18097.953246331417,18879.055596933038,19689.91211612976,20531.306029906424,21404.010701704683,22308.786371858383,23246.376671435588,24217.504910790136,25222.870145107398,26263.14302144522,27338.961414217098,28872.027239254257,30797.63859070999,33080.37836267875,35706.69107191212,38679.6786505612,42015.5482759479,45741.28392332481,49893.22255524369,54516.3003093082,59663.798195635885,65397.46468487026,71787.9275727541,78915.33243467113,86870.16202811187,94815.05931470088,102945.14598425073,111389.08102039114,120233.03749080218,129535.63664775943,139337.12855709827,149664.97271176928,160537.16789990308,171964.17937763702,183949.998832063,196492.67758784548,209584.551664389,223212.3009310254,237356.93641856458,251993.77899855174,267092.4723772214,282617.0594715516,298526.1411631717,314773.12861672824,331306.593915794,348070.7182439362,365005.8320159218,382049.0371955943,399134.898557583,416196.1879268641,433164.66352739243,449971.8655265676,466549.9086751429,482832.2535677169,498754.43940110825,514254.7630664349,529274.891831386,543760.3995957032,557661.2195785664,570932.0091746515,583532.4254675091,595427.312409765,606586.8028913153,616986.3407682296,626606.629391151,635433.5142499312,643457.8080570619,650675.0669564867,657085.3266068485,662692.8066952727,667505.5920378681,671535.2978641973,674796.7262102054,677307.5195984812,679087.8174019561,680159.9194973031,680547.9610417325,680277.6014704439,679375.730125545,677870.1903001574
I,2142.91112689867,1971.46590036735,1871.096902314252,1819.6852389800729,1802.4698271630791,1809.6063874008419,1834.537957491052,1872.9069604526396,1921.8287481166133,1979.4064605451042,2044.4070047728706,2116.044619686126,2193.83628790223,2277.5051326179523,2366.915866060274,2462.031649506942,2562.885259021755,2669.559810827675,2782.175875939003,2900.8828658544057,3025.8532737306664,3157.2788246545633,3295.3679019537635,3440.3438257162666,3592.443699396868,3751.9176336666696,3919.0282189261693,4094.0501594507227,4277.270009846209,4468.985972955775,4669.507730643936,4879.156287042072,5098.263809239389,5327.173453961728,5566.239171109878,5815.825476539718,6076.307187433903,6348.069114224101,6631.5057033992425,6927.020625763924,7235.026304850696,7555.943380281253,7890.200100943863,8238.231642929139,8600.479347259936,8977.389872576787,9369.414258108767,9777.006892480318,10200.624384185732,10640.724329912202,11097.763977316401,11572.198779364644,12064.480837938276,12596.90057468711,13186.608836742356,13847.547151237746,14591.838493854948,15430.79683562579,16375.671662267696,17438.21214664356,18631.112328377436,19968.38157484513,21465.67221199047,23140.58730166641,25012.985159225675,27105.292625817732,29442.835781082547,32005.479150260795,34784.81955032208,37779.799890516835,40993.91761642056,44433.431155081555,48106.186071787255,52020.824618219536,56186.23124797759,60611.122460217026,65303.72444047858,70271.50415056037,75520.93360689722,81057.27608652014,86884.38877959547,93004.54012494902,99418.24243382135,106124.10186645905,113118.68864631349,120396.43074609022,127949.53426768651,135767.93344020724,143839.27263607338,152148.92210677188,160680.0283167314,169413.5988553373,178328.62098181134,187402.2119522419,196609.79843534506,205925.32158069906,215321.4636899275,224769.89197869698,234241.51461736098,243706.74410348295,253135.76304480774,262498.78760385176,271766.3241568188,280909.4151277225,289899.8704488377,298710.48164566496,307315.21612393425,315689.38982508105,323809.81699503126,331654.93636214134,339204.9135303063,346441.71985259064,353349.1884525835,359913.04840138386,366120.9383366696,371962.4010278906,377428.86055120145,382513.58384358423,387211.62846290966,391519.7783951923,395436.46972804045
A,7657.388152673052,7351.092596804242,7262.015320951025,7322.748797571611,7488.5503374013015,7729.816423650578,8027.0600679124955,8367.558387051351,8743.114930769989,9148.566137838707,9580.784574616075,10038.013853617524,10519.425013921147,11024.82077763875,11554.4385501754,12108.819357088423,12688.720809655655,13295.059468422858,13928.872832910502,14591.29442997354,15283.5376395439,16006.88534284776,16762.683443842492,17552.336959252272,18377.307802827785,19239.11367651717,20139.327672661024,21079.578318867123,22061.54988208722,23086.982804773004,24157.67418329211,25275.478223359485,26442.306623308825,27660.128846418,28930.97225010151,30256.92204385905,31640.121050272588,33082.76924464882,34587.123049497895,36155.49436018971,37790.24927801982,39493.8065266801,41268.63552785959,43117.25411147202,45042.22583587511,47046.15689346205,49131.69257720899,51301.51328419232,53558.33003278171,55904.87947120262,58343.91835647792,60878.21748443206,63510.55505350153,66321.76351512,69377.44907441996,72734.02888134365,76443.15079658505,80554.97173089242,85120.64643134631,90194.28512229808,95834.56892746712,102106.16095080883,109081.01377739967,116839.6473968216,125472.45235156747,135081.05910149156,145779.80449561885,157523.2419618393,170303.90995241454,184138.493218346,199058.9818975311,215106.9523787565,232329.77862453807,250778.02944656985,270503.58710435405,291558.19837477006,313992.2800503659,337853.87105127494,363187.66816857003,390034.11134271265,418428.50317897514,448400.1597303016,479971.5976573775,513157.768059132,547965.3503761633,584392.1213069927,622426.4139604733,662046.6817155803,703221.1796438848,745907.7740260726,790053.8876179659,835596.5850558792,882462.7993034456,930569.6965002656,979825.1731379248,1030128.4763074599,1081370.9349587834,1133436.7877841627,1186204.091551276,1239545.6925016213,1293330.2428017403,1347423.2439649932,1401688.0996047799,1455987.160772778,1510182.7484026982,1564138.1389394936,1617718.50100278,1670791.772831082,1723229.4722063055,1774907.4324999733,1825706.460358808,1875512.9123124622,1924219.1892066994,1971724.1488173967,2017933.4382700266,2062759.748969587,2106122.9976379583,2147950.4377655825,2188176.7063226965,2226743.81095563,2263601.063131527
IH,0.0,85.72878145537307,163.5976090344214,236.54173116153427,306.57723475857256,375.10613417647505,443.1202429121849,511.3374756310961,580.2930348826591,650.4004704808532,721.9926174049072,795.3490929033613,870.7148138306294,948.3125133772229,1028.3512469449022,1111.0322162549387,1196.5527995937491,1285.1093814559347,1376.8993780461462,1472.1227236378431,1570.9829949521873,1673.6882920200123,1780.451954745626,1891.4931681400537,2007.0374916171181,2127.317335965909,2252.572403702588,2383.050103177162,2519.005943207949,2660.7039125641313,2808.416846931745,2962.426784824554,3123.025313067444,3290.5139018719165,3465.204229064654,3647.418492670086,3837.4897107524457,4035.762007169561,4242.590881664665,4458.343462514302,4683.398739753717,4918.147776812379,5162.993898209334,5418.35285078022,5684.652935734946,5962.335108677981,6251.853044563127,6553.673164403173,6868.2746204139785,7196.1492361445025,7537.801398031858,7893.747894726162,8264.517700457065,8650.651698665437,9053.576201435491,9475.386996713816,9918.71313876112,10386.637968034514,10882.661441099275,11410.69268551891,11975.065211836943,12580.569757657593,13232.501568739015,13936.720235047273,14699.721140898371,15528.71826314795,16431.738535142515,17417.728339081194,18494.724044617884,19670.331995379518,20952.027416877347,22347.33815540319,23863.954518666873,25509.790873205788,27293.014899823313,29222.05432480523,31305.587163912012,33552.51918408109,35971.95087038269,38573.135348520314,41365.4282457283,44358.23024216922,47560.92298559706,50982.7990584083,54632.98676075181,58520.3705798574,62653.50833496938,67040.54610461729,71689.13214701567,76606.33110625955,81798.53984995752,87271.40630337471,93029.75262841611,99077.50404221889,105417.62448096184,112052.06019266912,118981.69219265842,126206.29834237613,133724.5256229666,141533.87297573607,149630.6848794259,158010.1556353411,166666.34414173593,175592.19876349595,184779.5917461667,194219.36248783924,203901.36887032894,213814.54576349704,223946.9697535602,234285.92910710347,244817.99796588335,255529.11377148327,266404.6569411874,277429.53185456066,288588.2482615273,299865.00228459074,311243.75625767023,322708.31671942887,334242.409957724,345829.75458193594,357454.1306797034
IN,85.7164450759468,167.30791864062644,238.1151195148348,301.5000733022346,359.77825756733273,414.5632777655419,466.9973159038068,517.9053097562481,567.8981951616634,617.4421216885735,666.904931780071,716.5874423112789,766.7445633653316,817.5996171760721,869.3541038676811,922.1944151712039,976.2964994546621,1031.8291488852099,1088.956357416612,1147.8390498875056,1208.6363833371988,1271.506755344608,1336.6086098533153,1404.101101269976,1474.1446577447946,1546.9014712092555,1622.535932785526,1701.2150261429772,1783.1086872908495,1868.3901365146771,1957.236186255056,2049.8275274015855,2146.348995539174,2246.9898180092955,2351.9438421489513,2461.4097446875217,2575.591221977921,2694.69716048804,2818.9417867644397,2948.5447958916056,3083.731457299634,3224.7326966165783,3371.785152116225,3525.1312041765063,3685.0189760377007,3851.702304033343,4025.4406753611447,4206.499131367427,4395.14813423811,4591.6633949239795,4796.325660079696,5009.420455767107,5231.237785666048,5462.071781552487,5703.094037431019,5956.105800039803,6223.379294985498,6507.562319554661,6811.62780872082,7138.855608982951,7492.837696208233,7877.500949558799,8297.143647898072,8756.48331509657,9260.714573949914,9815.576396670043,10427.428649942289,11103.338184877568,11849.226352303027,12670.393419862878,13571.842304378406,14558.475062850006,15635.208185439173,16807.035386424483,18079.055755366026,19456.47837415945,20944.610305646987,22548.832265891142,24274.564710777544,26127.226125782814,28112.1847712213,30234.704855778837,32499.887993783028,34912.610784702156,37477.45939559793,40198.662100264635,43080.02081225992,46124.84272800027,49335.873259347514,52715.23147435536,56264.34927426028,59983.91551084079,63873.82618952304,67933.14181068029,72160.0527768976,76551.85364158897,81104.92679958927,85814.73602945873,90675.83009703382,95681.85642718864,100825.58465256482,106098.93966037397,111493.04358665751,116998.26605599422,122604.28183686429,128300.13498085621,134074.3084386719,139914.79809744933,145809.19016137236,151744.74079920969,157708.4570060566,163687.17766945466,169667.6538892748,175636.62767318444,181580.908212096,187487.44502974022,193343.397394637,199136.1994787195,204853.62084246523,210483.82191967592,216015.4042644283
D,12356.0,12356.0,12356.143195517167,12356.41645781992,12356.811561015718,12357.323646746288,12357.950198482631,12358.690356353456,12359.544459643228,12360.513741602297,12361.600126246452,12362.806093536363,12364.134590486303,12365.588973202977,12367.172969831443,12368.890657708658,12370.746450245231,12372.745090539018,12374.891649715155,12377.191528649362,12379.650462173951,12382.27452516192,12385.070140082385,12388.04408575291,12391.203507102766,12394.555925820308,12398.109251797043,12401.871795307232,12405.852279879195,12410.059855825773,12414.504114408672,12419.195102615739,12424.143338532744,12429.359827292228,12434.856077582042,12440.644118695447,12446.736518103335,12453.146399527292,12459.887461489956,12466.973996316521,12474.420909558248,12482.243739805537,12490.458678854504,12499.08259218707,12508.133039720347,12517.628296776624,12527.587375220388,12538.030044703872,12548.976853957194,12560.449152053701,12572.469109575293,12585.059739596618,12598.244918400886,12612.049405833828,12626.498865196034,12641.621342202647,12657.44838323024,12674.015926048547,12691.365058629184,12709.542715032814,12728.602358860511,12748.60469211419,12769.618418917538,12791.721088212074,12815.000036399275,12839.553449328147,12865.491562583258,12892.93801939189,12922.031406408769,12952.9237336931,12985.779716422378,13020.776555881617,13058.104027357529,13097.964751502996,13140.574568589682,13186.162961626927,13234.973490724013,13287.26421115664,13343.308053786996,13403.39315030765,13467.823088202074,13536.917081956222,13611.010048311866,13690.452574476158,13775.610769352925,13866.865989136795,13964.614430064701,14069.26658277193,14181.246544548476,14300.9911878139,14428.949185288051,14565.579894582715,14711.352107219334,14866.742669330137,15032.234983462691,15208.317402921673,15395.48153189189,15594.220446146126,15805.026850412056,16028.391189426819,16264.799730329469,16514.732634325348,16778.66203550803,17057.05014435941,17350.347392790412,17658.990636664534,17983.40143059981,18323.984388510893,18681.125641872746,19055.1914061021,19446.526663802055,19855.45397193659,20282.272398329966,20727.25659125129,21190.655984273526,21672.694137111015,22173.568211757607,22693.44858198213,23232.478573098604,23790.774327920757,24368.424793936432
R,0.0,310.4205273800769,613.373657280678,916.9504839023796,1226.736967949243,1546.6609678933723,1879.5578848645632,2227.548532063743,2592.2916909681476,2975.1530415911784,3377.3182929567856,3799.869089548957,4243.834095065384,4710.223533013159,5200.052711904953,5714.358225551613,6254.209292202755,6820.7158771412805,7415.0346963278635,8038.373833379019,8691.99645816493,9377.223972313359,10095.43879798252,10848.086953441758,11636.680510269442,12462.799994325369,13328.096770725791,14234.29543826662,15183.196248715625,16176.677559531629,17216.698323801666,18305.30061780353,19444.61220412494,20636.84912638382,21884.318330084396,23189.42030286952,24554.651726296084,25982.608130205703,27475.986539745503,29037.58810408787,30670.320694886825,32377.201461482946,34161.359328824146,36026.03742300538,37974.5954082486,40010.51171804961,42137.38566211693,44358.93938962796,46679.0196882388,49101.59959721785,51630.779812041874,54270.789856811134,57025.98899992285,59900.86688760579,62903.16603218763,66043.32384995089,69334.14209998069,72790.6241145657,76429.9377814376,80271.47527341622,84336.9901320841,88650.7993716916,93240.0434509612,98135.00077444859,103369.45621215683,108981.12524428571,115012.1369455239,121509.58025621373,128519.15586914073,136086.6313979392,144258.77303682317,153083.94215436,162612.47441644184,172896.9140097234,183992.14739424398,195955.46344750316,208846.55594086755,222727.47756023795,237662.55061489475,253718.23721345337,270962.97042260773,289466.94738251605,309301.8852882445,330540.74139897415,353257.3986956543,377526.31939391146,403422.1691712233,431019.41563611757,460391.9052107936,491612.4231816527,524752.2421650611,559880.6646144544,597064.5652420938,636367.9393334825,677851.4628904723,721572.0703528214,767582.5553258935,815931.1992980506,866661.4327831127,919811.5326920758,975414.3590469714,1033497.1334217484,1094081.2607532404,1157182.1954310364,1222809.3518674835,1290966.0590844322,1361649.5582448135,1434851.0415146332,1510555.7301711761,1588742.9894798065,1669386.477545726,1752454.325107037,1837909.3430681524,1925709.2544731929,2015806.9475815452,2108150.7467255616,2202684.697696326,2299348.864510276,2398079.6345500983,2498810.0292408643,2601470.0176104335
G,838340.0,838340.0,838397.3596233743,838495.6464838159,838624.0163667395,838775.3608896664,838945.0713883487,839130.2139890365,839328.9791155475,839540.3141914706,839763.6786476525,839998.8805922553,840245.9680117597,840505.1563890546,840776.7806443209,841061.2633229895,841359.0936379675,841670.8137645951,841997.0099827801,842338.3070592898,842695.3647963298,843068.8760284812,843459.5655876766,843868.189914475,844295.5370996944,844742.427211011,845209.7128061234,845698.2795653492,846209.0469972598,846742.9691846821,847301.0355474084,847884.2716038297,848493.7397174736,849130.5398167835,849795.8100778915,850490.7275609141,851216.5087906619,851974.4102727267,852765.7289358074,853591.8024909084,854454.0096977506,855353.7705284004,856292.5462177824,857271.8391904,858293.1928522809,859358.1912368936,860468.4584935574,861625.6582067218,862831.4925344121,864087.7011541546,865396.0600048145,866758.3798130113,868176.5043931387,869674.1520501124,871271.6848763834,872987.6278109103,874839.8026436296,876846.1920676721,879025.6194736697,881398.3079630182,883986.3655053419,886814.2309942641,889909.1071120158,893301.3995529205,897025.1776110873,901118.6678859717,905624.7904919189,910543.0302210441,915882.993203294,921660.9593578781,927897.6785669855,934616.9415100584,941844.6267149706,949608.0370863789,957935.4091607443,966855.522327518,976397.3630326485,986589.8166405414,997461.3709701694,1009039.8228996742,1021351.9843127949,1034423.3869393489,1048277.9878697332,1062937.8790311997,1078423.0048990003,1094750.8932957728,1111936.4043790859,1129991.5028769993,1148925.0583412708,1168742.6776813879,1189446.5735556781,1211035.471367557,1233504.5566880915,1256845.4639449853,1281046.3062273252,1306091.745097093,1331963.0984102658,1358638.4833637297,1386092.9913232045,1414298.8904677709,1443225.8519161663,1472841.1947788652,1503110.1455015703,1533996.1069181007,1565460.932597754,1597465.20233535,1629968.4949713429,1662929.6551244857,1696307.0508512354,1730058.8196966762,1764143.101055575,1798518.253205997,1833143.0538009887,1867976.8829979238,1902979.8887642876,1938113.1342191892,1973338.7271497978,2008619.9320808325,2043921.2654740985,2079208.5747957216,2114449.102313788
H,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,13746458.20718263,12764577.265115112,11782696.323047593,10800815.380980074,9818934.438912556,8837053.496845037,7855172.554777519,6873291.612710001,5891410.670642483,4909529.728574965,3927648.7865074473,2945767.8444399294,1963886.9023724115,982005.9603048936,125.01823737565428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
