series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,4837939.817874984,4837582.913891291,4837256.553857865,4836946.391785698,4836642.672481468,4836338.690685054,4836029.765445357,4835712.556761685,4835384.609903526,4835044.051326211,4834689.385588463,4834319.359592779,4833932.871714033,4833528.910865211,4833106.515533554,4832664.746142134,4832202.666306314,4831719.3300313335,4831213.772882274,4830685.005814855,4830132.010794064,4829553.737620396,4828949.101578949,4828316.981657288,4827656.2191653,4826965.616648793,4826243.93702778,4825489.902916774,4824702.196102211,4823879.457164181,4823020.285237853,4822123.237915659,4821186.831295218,4820209.540180725,4819189.798447486,4818125.999580655,4817016.497400188,4815859.606984699,4814653.605807319,4813396.735096819,4812087.201437296,4810723.178619522,4809302.809756648,4807824.209676433,4806285.467601351,4804684.650126965,4803019.80450775,4801288.9622581145,4799490.143074681,4797621.359084004,4795680.619417724,4793665.93511478,4791575.324347653,4789406.8179667685,5014451.935732588,5239295.157082646,5463925.498694081,5688327.616061114,5912482.068562696,6136365.426462251,6359950.238382588,6583204.8758081915,6806093.268239852,7028574.539517622,7250602.552977819,7472125.370763618,7693084.630897999,7913414.844723974,8133042.617066252,8241292.545292732,8232103.325909387,8222250.35508727,8211674.398347254,8200323.518607998,8188150.749520736,8175112.847184825,8161169.715628954,8146284.252970179,8130422.4576618215,8113553.690758132,8095651.024724626,8076691.630647506,8056657.169068472,8035534.158373615,8013314.300706129,7989994.749961258,7965578.310259193,7940073.556754179,7913494.873896182,7885862.409357709,7857201.944741886,7827544.686831805,7796926.985449753,7765389.985901206,7732979.225435691,7699744.184143461,7665737.8012286145,7631015.967685059,7595637.006100248,7559661.147685146,7523150.015747229,7486166.123758201,7448772.394988462,7411031.7094487185,7373006.482649355,7334758.279504191,7296347.465600484,7257832.897055475,7219271.64929605,7180718.784339571,7142227.155521468,7103847.248104852,7065627.053811706,7027611.977024135,6989844.77020636,6952365.495981529,6915211.513249973,6878417.484745496,6842015.403482933,6806034.635643376,6770501.977564531
E,0.0,356.9039836927913,611.8592247116217,799.6083149015057,943.35219621214,1058.600129134349,1155.7341703093841,1241.7183166275527,1321.2380272104992,1397.4601684956933,1472.539917325798,1547.9589265024476,1624.7509462698374,1703.6523692145292,1785.2026856381433,1869.8115156811925,1957.8033356236483,2049.4473147977487,2144.9772107303984,2244.604623090229,2348.5278081155475,2456.9375219623485,2570.020872124595,2687.96382955414,2810.952836184326,2939.17579710662,3072.822649556862,3212.0856360531275,3357.1593657598105,3508.2407192729042,3665.5286327530644,3829.22378448972,3999.528198436215,4176.644773595915,4360.776744418174,4552.1270749524465,4750.89778799035,4957.289229521393,5171.499268354521,5393.722430592537,5624.148968710053,5862.963865224727,6110.345771331746,6366.465881369499,6631.4867445846085,6905.561016355664,7188.830151808323,7481.423045602092,7783.45462258327,8095.0243849708395,8416.214922762687,8747.090395107383,9087.694991468647,9438.051382500798,9798.15917163687,10288.117607637505,10892.93115376327,11604.96557173262,12422.21009946207,13347.045378000394,14385.397400744743,15546.183702316896,16840.97969455507,18283.85058942184,19891.30811457841,21682.361735164908,23678.641865426536,25904.578062455774,28387.61884776008,31158.481930427944,34113.91005440162,37141.80529052154,40286.90382331532,43577.694194877324,47031.99459094608,50660.33591401708,54467.99424873629,58456.19601972535,62622.82194795978,66962.81415177732,71468.4152546402,76129.32125617786,80932.80019336542,85863.80950740035,90905.13240548834,96037.5448588781,101240.01871210999,106489.96182054296,111763.49269167881,117035.74451459589,122281.19158180736,127473.98986352203,132588.32283427968,137598.7435262413,142480.50413195696,147209.86522860595,151764.3777601556,156123.13220128368,160266.97074399373,164178.6598064116,167843.02158518997,171247.02469386786,174379.83510071773,177232.82956845703,179799.5745873418,182075.7743786892,184059.19193492958,185749.54727042493,187148.39710584425,188259.0001225839,189086.1717286036,189636.1319988349,189916.3501161578,189935.38826457996,189702.7475335336,189228.71799684915,188524.23474458072,187600.74128009693,186470.06135568634,185144.28001197526,183635.63431234247
I,1968.3792763979675,1810.9089079521432,1730.300484255563,1702.0481061453597,1709.8621155105125,1742.9336005364921,1794.1109678453786,1858.684150034242,1933.5738259840273,2016.790686463355,2107.074794590402,2203.655070691222,2306.088908634553,2414.155248381278,2527.783309922738,2647.0051165505265,2771.9238861037043,2902.693004357139,3039.502052988777,3182.5675376391987,3332.126744238999,3488.4336739604423,3651.756355529264,3822.3750660402593,4000.5811464412436,4186.67620122983,4380.971540826307,4583.787771008642,4795.454464374041,5016.309869132828,5246.700624054413,5486.981457348475,5737.51485319822,5998.670673583336,6270.825725618117,6554.363266341185,6849.6724380331125,7157.1476279136195,7477.1877466205315,7810.195420293874,8156.576091446279,8516.737024141465,8891.086209358995,9280.031166819845,9683.977640001667,10103.328181598647,10538.480627289304,10989.82645637456,11457.749038644097,11942.621767725677,12444.8060821721,12964.649376644205,13502.48280675431,14058.61899243866,14633.349626123996,15226.942993432964,15861.271049064135,16553.755887061187,17319.05120887616,18170.276360803546,19119.92980069906,20180.57714701349,21365.384464381437,22688.548806644525,24165.664052380125,25814.04967976715,27653.062462478043,29704.405415443416,31992.44411060742,34544.537268601925,37391.38595839316,40542.64260887804,43987.00304426777,47722.122643169576,51750.974015339576,56079.50031331707,60715.065437028155,65665.39418879616,70937.81421729746,76538.68536075529,82472.94794550053,88743.7502745193,95352.13344295947,102296.76273459326,109573.70163970589,117176.22850492898,125094.69792084082,133316.44977051535,141825.76879347392,150603.8968365782,159629.09886854625,168876.78248899255,178319.66920071823,187928.0142499359,197669.8704695633,207511.3903634923,217417.15970318657,227350.5552103981,237274.1184898446,247149.93825369765,256940.03303012848,266606.7269425582,276113.01174695167,285422.88907801843,294501.6877356737,303316.3517952605,311835.6963064382,320030.6283185876,327874.3319031718,335342.4167102123,342413.03037788806,349066.9357984269,355287.5548227976,361060.9804589884,366375.95998575,371223.85167068813,375598.5579560529,379496.4380666831,382916.2030125271,385858.7959136162,388327.2604789401
A,218.70880848866307,190.48300592291756,173.04040707705244,162.9497086816137,157.9175250234593,156.41062164496788,157.40392750893744,160.21237463604834,164.3786343102798,169.59813976244203,175.6689891779292,182.45845551890608,189.8805840576985,197.88119504164968,206.4278337723442,215.50302747570038,225.09975351024445,235.2183872594739,245.86464085753664,257.0481659724554,268.7816020773692,281.0799238964179,293.95998997325165,307.4402265540273,321.54040252666005,336.28146556691723,351.68541928113376,367.7752275880145,384.57473690518424,402.10860960576645,420.4022641578917,439.4818186708038,459.37403545588535,480.10626481048257,501.70638664135396,524.2027488262858,547.6241014095533,571.9995258682195,597.3583587912495,623.7301093953847,651.144370369802,679.6307216021532,709.2186263961154,739.9373198482984,771.8156891125899,804.8821453444806,839.1644871878918,874.6897557434397,911.4840810405839,949.5725201271334,988.9788869883115,1029.725574613987,1071.8333696465188,1115.3212601624525,1160.20623726834,1206.503091323268,1256.6274963303144,1312.383356204665,1375.1890331670197,1446.2396117537355,1526.6235718500077,1617.4074776009068,1719.6986567184927,1834.693115090805,1963.7139050252258,2108.2436758394983,2269.954048366004,2450.7336635450038,2652.7161762363116,2878.309034155708,3130.2235488469764,3408.755280012282,3711.918931191199,4038.8804458843015,4389.483370418405,4763.947926001893,5162.676601707644,5586.125499926063,6034.716396788208,6508.774235627089,7008.480832073936,7533.839337577495,8084.646347587303,8660.469983379737,9260.633150694433,9884.201687105717,10529.977380136763,11196.495949982334,11882.030096939396,12584.597650219854,13301.974747738448,14031.713845594584,14771.166217087708,15517.50846694535,16267.772467082112,17018.878023224475,17767.66751225777,18510.94169093595,19245.49586819674,19968.15565436177,20675.811548004305,21365.451691087997,22034.192210217236,22679.30466125008,23298.24020088893,23888.650217289513,24448.403257875685,24975.59819277914,25468.573643783417,25925.913789279562,26346.45072423677,26729.263609943642,27073.67489126674,27379.243889870308,27645.75810108697,27873.222531034073,28061.84741041648,28212.034613612024,28324.36309748624,28399.573655273754,28438.553258059557
IH,0.0,78.73519738990564,148.7771265580668,213.4646411989939,275.05481933664146,335.0845114411758,394.6114735171052,454.37522984620085,514.9044119467129,576.5884020008968,639.7251681190719,704.5532192776752,771.2729678524872,840.0610271375311,911.0797969562649,984.4839071170337,1060.424565843868,1139.0525116146684,1220.5200341649695,1304.9823751485558,1392.5987153242186,1483.5328859737465,1577.953896082677,1676.0363359811527,1777.9606975420766,1883.9136372609173,1994.08819932274,2108.6840095803504,2227.90744721068,2351.9717980093083,2481.0973913748285,2615.511721725154,2755.4495541766246,2901.153013670583,3052.871656262394,3210.862520935985,3375.3901600342083,3546.7266461764752,3725.1515533538886,3910.951909738452,4104.42211961077,4305.863851696848,4515.58589110785,4733.903951997171,4961.140447987872,5197.624217382349,5443.6902001471535,5699.679063671854,5965.936774334623,6242.814111971757,6530.666124446836,6829.851519650678,7140.731992438737,7463.671484231029,7799.03537326356,8147.189593792008,8508.499682909882,8884.194939678866,9276.164162390729,9686.824856499952,10119.045781646402,10576.108392816192,11061.69697610323,11579.910415887245,12135.290825881559,12732.865942895285,13378.203382338854,14077.475711580886,14837.535902164773,15666.003140048515,16571.359249902293,17563.05615499405,18650.644429201853,19842.93203243818,21148.36527691178,22575.25251467517,24131.887154943848,25826.604948444092,27667.79713584701,29663.892874087767,31823.319370846017,34154.44516333089,36665.51022157722,39364.545570017755,42259.28460933473,45357.068095854855,48664.74467664935,52188.56890500788,55934.09871935028,59906.09442251062,64108.42122324342,68543.9573821653,73214.5099314748,78120.73980865141,83262.09806055934,88636.77454141188,94241.66025428005,100072.3241817187,106123.00512832025,112386.6187686605,118854.77976989055,125517.83854989585,132364.93194876128,139384.0468407403,146562.09550154457,153885.00137506772,161337.79375623184,168904.7098223502,176569.3024025878,184314.5518708933,192122.98057836603,199976.76830195435,207857.8672728287,215748.11545476344,223629.3468654903,231483.4978675694,239292.7084955237,247039.4180288997,254706.45416312924,262277.11526867567,269735.24536155787
IN,78.7351710559187,155.68835533800208,224.60106921863814,288.729767763246,350.2769678131704,410.7437510588279,471.1648692385668,532.2655911658562,594.5663681917405,658.4526996212685,724.2217875134896,792.1137099774513,862.3322683277554,935.058947066812,1010.4622808174666,1088.7041586145078,1169.9440864440483,1254.3420889601655,1342.0607044634967,1433.26637584684,1528.1304391823323,1626.8298441873605,1729.547695782473,1836.4736758848662,1947.804384488183,2063.7436256421247,2184.5026549474537,2310.300399144439,2441.3636543088305,2577.9272664205932,2720.234296197643,2868.5361687967957,3023.092808081833,3184.1727545140516,3352.053265247556,3527.0203946526517,3709.3690532083688,3899.403042474794,4097.435063661776,4303.786697142857,4518.788350116216,4742.779169485009,4976.106916916597,5219.127802944097,5472.206276895698,5735.714769379027,6010.033384012191,6295.549535082469,6592.657527831282,6901.758078113081,7223.257768259615,7557.5684361029125,7905.106494273627,8266.292177099205,8641.548712681668,9031.301418040124,9435.97671556085,9856.866254742916,10295.929335376346,10755.667061132877,11239.04870289374,11749.476267340357,12290.77738941361,12867.219717059263,13483.542192129165,14145.00025673346,14857.423187447155,15627.282599726503,16461.771759718406,17368.895753662415,18357.572840185803,19437.747476711924,20619.525148243552,21912.330458692155,23325.280923207574,24867.40660766114,26547.770929567265,28375.526733142317,30359.928701435907,32510.31516530079,34836.067497802,37346.55235958117,40051.05035090409,42958.67367112287,46078.27489758245,49418.348789819065,52986.92898218483,56791.48147009757,60838.79686892263,65134.88349388149,69684.86334988265,74492.87311596058,79561.97215106229,84894.05943279977,90489.80116970878,96348.570605567,102468.4012694716,108845.95462785603,115476.50277593665,122353.92647820506,129470.72854224888,136818.0621982291,144385.77386722437,152162.4594431052,160135.53299044762,168291.30657908812,176615.07983621903,185091.23769963652,193703.35479958853,202434.30487907756,211266.3736799494,220181.37377045286,229160.75986458134,238185.7432796181,247237.40429113322,256296.80126963745,265345.0756159062,274363.55164876924,283333.8307364909,292237.8790978076,301058.1088287926
D,12356.0,12356.0,12356.167108294685,12356.482874212998,12356.935933497141,12357.519712332123,12358.23089872828,12359.068425686854,12360.032795782108,12361.12563356062,12362.349389997229,12363.707148476988,12365.202498598552,12366.83945531762,12368.62240843554,12370.556092432515,12372.645569976446,12374.896224660944,12377.313760008321,12379.904202762003,12382.673909151705,12385.629573253824,12388.77823686175,12392.127300475071,12395.68453514547,12399.458095002215,12403.456530336007,12407.688801156266,12412.16429116013,12416.892822065769,12421.88466827105,12427.150571802951,12432.701757524657,12438.549948566959,12444.707381948809,12451.186824349192,12458.001587988952,12465.16554657722,12472.693151272511,12480.599446603708,12488.900086290882,12497.611348900406,12506.750153263089,12516.334073578048,12526.381354118974,12536.910923453146,12547.942408077231,12559.496145367506,12571.593195735795,12584.255353876093,12597.505158980688,12611.365903798664,12625.861642403974,12641.017196535005,12656.858160362703,12673.41090354008,12690.702572382326,12708.761089023863,12727.616984674549,12747.304799346814,12767.864203988516,12789.340958228911,12811.787786286974,12835.265231943795,12859.842538489722,12885.598589438308,12912.622939217163,12941.016959011167,12970.895120717987,13002.38644104404,13035.636107724897,13070.80731039748,13108.0832995461,13147.667595879404,13189.782414199772,13234.667895838973,13282.581815850277,13333.799551293641,13388.614171101719,13447.33655385222,13510.295468241726,13577.83756894858,13650.32727211015,13728.146482450687,13811.694149813304,13901.385637480622,13997.651888822851,14100.938382840657,14211.703873255146,14330.41891000617,14457.564146343344,14593.628439070288,14739.10675383697,14894.497891554834,15060.302055915005,15237.018285505508,15425.14177704459,15625.161128687309,15837.555534157244,16062.79195956476,16301.3223351839,16553.58079418247,16819.98098936797,17100.913517479086,17396.743478487835,17707.808194861886,18034.415112858984,18376.839904777084,18735.32478775678,19110.077071314612,19501.26794235893,19909.031493078062,20333.46399385785,20774.62341033642,21232.529160882026,21707.162108217955,22198.46477664009,22706.341784292137,23230.660478285976,23771.25175907903,24327.911079439218
R,0.0,30.00778933958082,60.341852946164735,91.96593232472517,125.56909206562673,161.65811972433517,200.61937842150496,242.76028124504984,288.3371639759979,337.5740748116083,390.6754957395963,447.83500770389753,509.2412431531553,575.0820235565643,645.5472818301773,720.8311709215689,801.1336271115522,886.6615679440839,977.6298454399567,1074.2620356134944,1176.79111877343,1285.4600872978888,1400.5225056243883,1522.2430391499884,1650.8979632993953,1786.7756603251473,1930.177108876138,2081.416369622426,2240.821068997219,2408.732882238218,2585.508016264407,2771.5176924332372,2967.1486288349456,3172.8035214605197,3388.901523304078,3615.8787202134963,3854.1886020744378,4104.302527695621,4366.710181552649,4641.920020341259,4930.459707086823,5232.876530354606,5549.737805904642,5881.631257936583,6229.16537687438,6592.9697504494525,6973.69536465561,7372.014870971326,7788.622816077033,8224.235830139394,8679.592769593355,9155.454810229203,9652.605486288445,10171.850671192404,10714.018495473867,11279.959197458289,11870.544902249954,12486.979485255295,13130.763636642541,13803.67887196889,14507.785935818163,15245.43440519223,16019.28132986071,16832.3175219729,17687.900687810732,18589.79502912958,19542.21726778479,20549.88929379221,21618.09782454344,22752.761606313976,23960.506798144466,25248.751258201,26625.44344396677,28098.774488046853,29677.290355227346,31369.96211064989,33186.22865019889,35136.02055547995,37229.77023473447,39478.4113674528,41893.369373255555,44486.543859344754,47270.283570009626,50257.354144406054,53460.89890823802,56894.39293166038,60571.59064704812,64506.46741381982,68713.155527184,73205.87528148462,77998.86180753844,83106.28849987582,88542.18792877386,94320.37118965221,100454.34667651048,106957.23927571886,113841.71096197655,121119.88374104846,128803.26582628973,136902.68186093925,145428.20790911198,154389.11183896498,163793.7996152845,173649.76790921867,183963.56332324742,194740.74842253927,205985.87466195013,217702.46220295693,229892.9865282047,242558.87168405473,255700.48991411677,269317.16738944565,283407.19569379283,297967.8486846969,312995.4043227527,328485.17104146327,344431.5182178962,360827.9102991399,377666.94414045056,394940.38911718497,412639.2295833257
G,838340.0,838340.0,838404.2643131668,838514.435996946,838658.4138775736,838828.2743547158,839018.8864333855,839226.9885170045,839450.5729498235,839688.4757422499,839940.1031322756,840205.2494201332,840483.9756932134,840776.529176503,841083.2896902127,841404.7341954523,841741.4134097425,842093.9364759685,842462.9610037823,842849.1866933359,843253.3513455249,843676.2284593644,844118.6258815201,844581.3851493285,845065.3812861504,845571.5228861761,846100.7523778825,846654.0463899418,847232.4161663122,847836.907992377,848468.6036039399,849128.6205573514,849818.1125431967,850538.2696285971,851290.3184147718,852075.5220974387,852895.1804181256,853750.6294946872,854643.2415193792,855574.4243128159,856545.6207220806,857558.3078512143,858613.9961123044,859714.2280854635,860860.577176144,862054.6460584983,863298.0648938844,864592.4893141419,865939.598159949,867341.0909654096,868798.6851810486,870314.1131285875,871889.1186822768,873525.4536731447,875224.8740143086,876989.1355474798,878841.6192462995,880803.0059804219,882892.6019946664,885129.351475007,887532.6272668581,890122.8692530247,892922.1230121398,895954.5183973905,899246.7178511966,902828.3569260747,906732.4940285205,910996.082348441,915660.4738742412,920771.9629890956,926382.3751225296,932524.9431499271,939212.7155364273,946466.7959673513,954313.4177894259,962782.0227009817,971903.9486000185,981711.483399026,992237.1358411363,1003513.0330710204,1015570.3915085999,1028439.030776624,1042146.915154285,1056719.7163970254,1072180.397689484,1088548.8221518167,1105841.3914157664,1124070.7207726892,1143245.3575608649,1163369.5490048649,1184443.0647986154,1206461.0784641453,1229414.1100343105,1253288.0310052375,1278064.130879057,1303719.24305508,1330225.9264000475,1357552.6975922321,1385664.3083301228,1414522.0607475382,1444084.1538907634,1474306.0538830787,1505140.8804096784,1536539.8023744829,1568452.4359769132,1600827.2389953483,1633611.8957080685,1666753.6875966308,1700199.8457282358,1733897.8814740009,1767795.8929648763,1801842.8453966232,1835988.8239548644,1870185.2587300981,1904385.1215240378,1938543.0949094014,1972615.714294844,2006561.4840669087,2040340.9691351852,2073916.8634001259,2107254.0368007557
H,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3526102.2793360525,3298808.8089575814,3071515.3385791103,2844221.8682006393,2616928.397822168,2389634.927443697,2162341.457065226,1935047.986686755,1707754.516308284,1480461.0459298128,1253167.5755513418,1025874.1051728707,798580.6347943996,571287.1644159285,343993.6940374574,116700.22365898627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
