series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,32273.541591673074,32268.44507398898,32264.757880549834,32261.733048786875,32259.000874274006,32256.377753434273,32253.771976375127,32251.13722447352,32248.449596741924,32245.696254960516,32242.86980991698,32239.965545467527,32236.98004563763,32233.910515508633,32230.754445224647,32227.50944372442,32224.17315645054,32220.743224628917,32217.21726514495,32213.592860643475,32209.867554722845,32206.03884968741,32202.10420560583,32198.061040057593,32193.906728264457,32189.63860345895,32185.253957419198,32180.750041137522,32176.12406560908,32171.373202736373,32166.49458635,32161.485313348458,32156.34244496089,32151.063008137302,32145.643997070987,32140.08237485807,32134.37507529903,32128.5190048471,32122.511044708262,32116.34805309751,32110.026867655863,32103.544308032444,32096.89717863567,32090.082271557396,32083.096369673534,32075.93624992432,32068.598686777066,32061.080455873744,32053.37833786542,32045.489122434887,32037.409612508458,32029.136628657165,32020.66701368706,32011.997637417568,32003.125401646157,33375.32499844958,34746.90137360102,36117.8320866074,37488.06314773217,38857.51822250438,40226.10281833248,41593.70553947361,42960.19757362714,44325.431031924694,45689.23645051699,47051.419580979236,48411.7574908802,49769.99393126742,51125.83388506586,52478.93717854971,53828.91101119645,55175.30123436522,56517.582185144965,57855.14485839702,59187.283178479185,60513.1781143979,61831.879371382114,63142.28439274652,64443.11442486586,65732.88744378212,67009.88782567433,68272.13277924083,69517.33576286696,70153.39653525224,69976.57026542298,69778.07777735691,69555.35333428341,69306.0323270131,69027.84475435452,68718.61234994644,68376.28999778221,67999.0277599039,67585.24263453374,67133.69342998439,66643.55334935283,66114.47517563717,65546.64419739509,64940.81457332604,64298.325804902524,63621.0973294321,62911.60082839124,62172.81148243122,61408.14089960594,60621.35562917485,59816.485937369434,58997.72982006106,58169.35708314632,57335.61780978612,56500.6587610583,55668.45033978106,54842.72579494588,54026.933445029856,53224.20191524022,52437.31775289423,51668.71431984497,50920.47055623422,50194.31804863641,49491.654793566864,48813.56409741989,48160.83716979564,47533.99812515008
E,0.0,5.096517684093891,7.764400069329502,9.236340366345946,10.121233182836944,10.720092457724222,11.181835213763838,11.580203580006565,11.951773515419509,12.314742965514839,12.67822125235885,13.04682275164346,13.422938787844855,13.807861361153595,14.202339007051247,14.606851758177157,15.021747136093982,15.447307374223307,15.883782599389388,16.331407153255658,16.790407555282286,17.261006314704538,17.743423674281917,18.23787831705829,18.744587546885064,19.26376719575179,19.795631383324096,20.34039219083567,20.898259280117415,21.46943947298557,22.054136298485815,22.652549511658037,23.264874585591134,23.891302177611088,24.532017570006694,25.187200085507722,25.857022477670704,26.541650296338524,27.241241228392123,27.955944414090602,28.685899739392326,29.431237104760317,30.19207567107811,30.968523083436057,31.76067467369221,32.568612642865745,33.39240522458371,34.23210583097386,35.08775218257597,35.959365424031986,36.84694922750973,37.750488886016015,38.669950398961284,39.60527955254889,40.55640099777635,41.523217329052365,42.91989062005996,44.68288933789921,46.79293759345317,49.25695943825027,52.098652223898235,55.35387694804573,59.068738913670884,63.29919886292658,68.11160028788969,73.58380245987401,79.80677668754204,86.88661640486104,94.94696432510815,104.13189108731493,114.60927978691643,126.57478477096578,140.25644349875856,155.92002782896722,173.87522536007157,194.48274106544318,218.162402169259,245.40233174588394,276.7692244748092,312.91970559652805,354.61267419793006,402.7224159098678,458.2521082604673,522.3471244147396,594.7031989269146,674.2541700521201,762.1267846262731,859.0213108749911,965.4033543479935,1081.5536639680472,1207.5636881047346,1343.3114072701005,1488.4322698735914,1642.2928250900718,1803.9719184093317,1972.2530476808217,2145.630507418746,2322.330865313555,2500.3500353602717,2677.5048158757795,2851.4964045647766,3019.982263806821,3180.651939558069,3331.3021307856798,3469.906482941101,3594.676185734374,3704.1083835467025,3797.020516835377,3872.5698617934995,3930.258598878165,3969.9256270160336,3991.7269961004213,3996.107239085686,3983.7640595696234,3955.608804865578,3912.7249731913257,3856.3267150903503,3787.7189392657237,3708.2602608762604,3619.3296668392804,3522.2974397988837
I,13.212286130515517,9.454587269484986,7.682993374787129,6.895479873257636,6.59689385079065,6.54251039251705,6.611389567434597,6.7437931640151945,6.910246762962389,7.09624246914725,7.294674224076889,7.50209668941842,7.716875007324697,7.938269730528685,8.16598427929369,8.39994116133931,8.640171330433295,8.886759491142328,9.1398170596455,9.399468787469523,9.665846127440114,9.93908391976235,10.219318706772201,10.506687840865801,10.801328973359801,11.103379721219085,11.412977411889642,11.730258857419901,12.055360134124202,12.3884163563368,12.72956143880167,13.078927845144232,13.436646321257115,13.8028456130827,14.177652168574141,14.561189823751345,14.953579472830906,15.354938722442833,15.765381529973173,16.18501782609984,16.613953121623148,17.052288098734277,17.50011818691487,17.95753312371864,18.42461650075131,18.901445295238073,19.38808938764741,19.88461106592654,20.391064516996572,20.907495306254123,21.433939845930624,21.97042485327034,22.51696679960284,23.073571351504874,23.640232805369916,24.216933516830494,24.803643326608025,25.474890376050578,26.27257053952112,27.223194423709863,28.346979107047844,29.66265729481644,31.19008896131333,32.95178473246423,34.97392600761954,37.28718986571985,39.92754330714369,42.937098934257435,46.36508908684219,50.268999815155,54.715900500531404,59.784004539350505,65.56449874214576,72.16368257537887,79.70546222145283,88.33424795400339,98.21830577605718,109.55361470909125,122.56827829274886,137.52753106193381,154.73936576170883,174.56078193692818,197.40461766697905,223.74686927221407,254.13432391758812,288.9034891541277,328.10325608034043,371.97142663109605,420.8042188370131,474.89741314238495,534.5132024206205,599.8556702455119,671.0488932267033,748.1160396449096,830.9596665137695,919.3442355171948,1012.8822256570413,1111.0253015779122,1213.0618595043097,1318.1219443487314,1425.1900452593472,1533.1256847893492,1640.6910881593026,1746.5846306231251,1849.4782846853802,1948.0569798944189,2041.0576760187246,2127.3060373816943,2205.7488581679827,2275.480782831407,2335.7643393084845,2386.042801143122,2425.9458693251604,2455.288577899356,2474.064154547447,2482.431796788568,2480.7004559825427,2469.309763516413,2448.8092007606624,2419.836523930587,2383.0963248309486
A,1.468031792279502,1.1746151438980084,1.0417750130847274,0.9888437830395889,0.9759309818767599,0.9832970591043078,1.0011681466123634,1.0247022492801043,1.0514999987495475,1.0803731148440394,1.1107347814581272,1.1422976576595743,1.1749241217646758,1.2085518854841935,1.2431569503317514,1.2787350852370212,1.3152925055205578,1.352841134724507,1.3913961579334941,1.430974727750928,1.4715952553439555,1.513277002448138,1.556039831158594,1.599904038605822,1.6448902388103004,1.6910192717613892,1.7383121288153012,1.7867898881945612,1.8364736568570297,1.8873845163641363,1.939543471156172,1.9929713981106543,2.0476889965577234,2.1037167381270243,2.1610748159424107,2.2197830927855766,2.2798610479297388,2.34132772240734,2.404201662526234,2.4685008614902744,2.5342426990149396,2.6014438788583494,2.670120364214004,2.7402873109348347,2.8119589985794224,2.885148759291166,2.959868904540172,3.0361306497761102,3.113944037058495,3.193317855749007,3.2742595613687757,3.3567751927420604,3.440869287566618,3.5265447965702434,3.6138029964325593,3.7026434016710814,3.7930636757108926,3.893345251550466,4.008843705748878,4.143458671015717,4.300448839510256,4.482895536599935,4.69398144601295,4.9371752388819585,5.216371523457745,5.536013369258263,5.90121300297473,6.317880306191416,6.792865832222502,7.334123781501377,7.950899976306447,8.653949955945471,9.455792657575119,10.371005631531862,11.416568278278605,12.612260110037962,13.981121445314374,15.549984122759906,17.350079614190413,19.41773111019778,21.795134458869114,24.531229885209296,27.68266173521454,31.314816504214747,35.502919470443615,40.301075223869624,45.73125103611769,51.83355866617077,58.654098172555614,66.23906773915755,74.63104690302482,83.86593377712282,93.97001108309082,104.95701730911011,116.82527591118284,129.55502221138556,143.10611169080107,157.4163092147205,172.40034972512328,187.94992814131126,203.93472204705859,220.20448028317773,236.5921314078168,252.91778725561346,268.9934477021485,284.6281609632534,299.63336446573305,313.828126449523,327.04402675993754,339.12945290827787,349.9531388467987,359.4068327288926,367.40704010904125,373.8958453657052,378.8408626922255,382.23440633882404,384.09199683663377,384.4503358061909,383.3648876533115,380.9072035737395,377.1621137121916
IH,0.0,1.1181925188755588,1.3634871734141716,1.337125947867227,1.2571963231170018,1.1916594877773243,1.154040944243206,1.1409190406299334,1.1455142180114788,1.1619165915681866,1.1859210564560723,1.2148077740097216,1.2469149647493836,1.281267100590581,1.317310151890589,1.3547399111444458,1.3933965673603412,1.4332022312130472,1.474124832670759,1.51615764506487,1.5593078377261786,1.6035901476135705,1.6490234107627673,1.6956286722843121,1.7434281587264655,1.7924447171165694,1.8427015041574841,1.8942218080565447,1.9470289396504248,2.0011461589087065,2.056596618760275,2.1134033166847614,2.171589049037911,2.2311763654774697,2.2921875221191677,2.3546444327139344,2.4185686174821703,2.483981149419831,2.5509025979840927,2.6193529701154414,2.6893516485801454,2.7609173276336074,2.834067946016992,2.908820617309697,2.985191557670288,3.0631960110091,3.142848171647196,3.224161104528931,3.307146663068978,3.3918154047294093,3.478176504438185,3.5662376659771837,3.6560050314856793,3.7474830892437776,3.8406745799198543,3.935580401486262,4.032199513028518,4.130528837694704,4.236874349305644,4.357958613901414,4.499411968919425,4.665781873850594,4.860944633051842,5.088533842579985,5.35228515976273,5.656296325765235,6.005227972962162,6.404472005877359,6.860308846175846,7.380069092792228,7.972310933804804,8.647022051865136,9.415853424441234,10.292391934029709,11.292478752766119,12.434580816357615,13.740223176864411,15.234490470346842,16.94660599760236,18.91059680894563,21.16605247039817,23.758983559141072,26.74278298890279,30.179288491848126,34.139937359140916,38.70699414062265,43.95038135654167,49.90946212192416,56.6241924897833,64.13977113802005,72.50400082181972,81.76315355988287,91.95781227014871,103.11892262317633,115.2640351178689,128.39374441293074,142.48841582073942,157.5053608665028,173.37666695198772,190.0078962968568,207.2778466443682,225.03951363330503,243.12231813703858,261.3355700713186,279.4730441229816,297.3184541568732,314.65154222238596,331.2544529236887,346.91804852885673,361.4478346175572,374.6692067057744,386.43178883884093,396.61270783020973,405.11872361593504,411.88720985592823,416.8860437090724,420.1125157703569,421.59140851787936,421.3724140096443,419.5270700752542,416.14539087717475
IN,2.639506342154974,4.955039996611264,6.23566481872623,7.005182801597391,7.522923426815095,7.917466113489596,8.252718133304935,8.560581812183692,8.857109488302786,9.150494936875328,9.445027891365,9.743051939267888,10.045934718264427,10.354549395918493,10.66951424301093,10.991312394134015,11.320352202850225,11.656998085295617,12.001586651209072,12.354435453242715,12.715847990117583,13.086116770364523,13.465525337978127,13.854349712768833,14.252859475711492,14.661318618964602,15.079986224978265,15.50911701127209,15.948961763221826,16.39976766970772,16.861778572366788,17.33523513678289,17.82037495241551,18.31743256699996,18.82663946034488,19.34822396180457,19.882411115162093,20.429422494196245,20.989475971806414,21.56278544522431,22.149560519544654,22.750006151553166,23.364322255616077,23.99270327321733,24.635337707585165,25.292407624735954,25.96408812217799,26.650546766458994,27.351943000706786,28.068427523300954,28.800141638822858,29.547216582460543,30.309772819092743,31.08791931834076,31.881752806957568,32.6913570000188,33.516801812489135,34.358142552859164,35.23031672392348,36.154798218882014,37.1557214282476,38.2582973906986,39.488385102309685,40.87263718837433,42.43893203176956,44.21695665845909,46.23888287669589,48.54011909796167,51.16014082449455,54.143413812396574,57.540430467159915,61.40888465928987,65.81501413142479,70.83514360980622,76.55746588500278,83.08410253797187,90.53349056080208,99.04314562297921,108.77285677099647,119.9083703255841,132.6656217950933,147.295572550521,164.08970116997173,183.3861855972894,205.5767888097641,231.11442415585324,260.46364080794524,294.0417365296302,332.26229728305736,375.54732298726196,424.32610737058684,479.02763271681744,540.0689992102853,607.8408998195514,682.6907023873385,764.9036720355913,854.6830054226866,952.1295412246787,1057.2221965870717,1169.8003145396551,1289.5491604109102,1415.9897546624773,1548.474066875689,1686.186327300321,1828.1508594269371,1973.2464322701078,2120.2267142219866,2267.746022310897,2414.389237675014,2558.7045270337167,2699.23738604326,2834.564506343523,2963.326055319811,3084.255128949324,3196.2033709750476,3298.162021296317,3389.277938852671,3468.8644182832927,3536.4068684483136,3591.5636326126087,3634.162397751284
D,391.0,391.0,391.015537155439,391.0344826516705,391.05306186172857,391.0705304589154,391.08708842937165,391.1031236945259,391.11897663235044,391.134893419632,391.151038115993,391.1675163516112,391.18439596482153,391.2017217037256,391.21952476157537,391.2378286334452,391.2566525874813,391.2760136712748,391.29592785015365,391.3164106438364,391.33747747857524,391.35914388023957,391.38142557946696,391.4043385686196,391.427899132479,391.4521238646621,391.4770296762424,391.5026338000534,391.52895379251527,391.5560075339497,391.58381322787295,391.6123893995085,391.64175489362725,391.67192887175264,391.70293080873313,391.7347804886633,391.76749800012675,391.801103730728,391.8356183608785,391.87106285679994,391.90745846270795,391.9448266921396,391.98318931838645,392.0225683639968,392.06298608931013,392.10446497998754,392.1470277335025,392.190697244557,392.2354965893888,392.28144900893756,392.32857789083766,392.37690675020804,392.42645920921075,392.4772589753522,392.52932981850284,392.5826955466145,392.63737998011624,392.6934069249736,392.75080014439976,392.80967102238316,392.87022435218813,392.93274315996507,392.9975736582869,393.06511592052635,393.1358205084521,393.2101898903585,393.28878347217824,393.3722254187908,393.4612148149639,393.5565380111965,393.6590832158099,393.76985755215685,393.8900069212828,394.0208391132147,394.16385070613694,394.32075838948447,394.49353544862345,394.6844542570234,394.89613573626434,395.1316068623035,395.39436741301824,395.6884672587168,396.0185955813443,396.39018345119325,396.8095211666769,397.283891639089,397.8217208361078,398.4324062907257,399.1258924818558,399.91267907313636,400.8038937585962,401.8113284460064,402.9474179874747,404.22516113004934,405.6579866072842,407.2595670148811,409.04358321125557,411.0234432331145,413.21196196575573,415.6210106567963,418.2611483518419,421.14125000518953,424.26814796257645,427.64630439254734,431.2775318470294,435.1607774011272,439.2919828591671,443.6640295667823,448.26677179413264,453.0871578668343,458.10943363307683,463.3154188319831,468.6848437462161,474.19573134975394,479.82480905669394,485.54793409539684,491.34051735106954,497.1779320620503,503.0358958163379,508.8908166673175,514.7200966782243
R,0.0,0.6173893360801772,1.9996777834091095,3.6309117273696865,5.333302036852276,7.058106534222821,8.801199128168847,10.570867923863725,12.376698580305506,14.226497479927293,16.125988699336677,18.079277306890468,20.089386735628537,22.158679251993025,24.28914132022755,26.48256327013223,28.7406471577487,31.065069321238237,33.45751564207471,35.91970088393231,38.45337897069874,41.0603482154852,43.74245379177872,46.50158873023237,49.33969414759851,52.25875908960515,55.26082018942468,58.34796124467598,61.52231276246382,64.78605149340613,68.14139996058991,71.59062598168792,75.13604217865671,78.78000546767906,82.52491652132302,86.37321919473605,90.32739990780061,94.38998697540035,98.56354987821157,102.85069846670565,107.2540820913088,111.7763886519103,116.42034356013698,121.18870860802403,126.08428073691108,131.10989070058417,136.26840161686943,141.56270740206952,146.99573108282144,152.5704229801471,158.28975876067136,164.15673735019692,170.1743787050561,176.3457214369083,182.67382028692086,189.16174344556478,195.81256971457316,202.62938550795755,209.61693776064413,216.7859188094272,224.1536786024426,231.7438963299365,239.58615481851592,247.71571660263547,256.1735614299261,265.00667106998026,274.2685355717429,284.0198634888639,294.32949128133805,305.2754990797223,316.94655030559653,329.4434816405557,342.8811781675395,357.3907767509685,373.12224931080596,390.24742687528027,408.96353534022666,429.49732477743964,452.1098858523573,477.10225920999227,504.821956139041,535.6705207219678,570.1122739461164,608.6843873212664,652.0084352314922,700.8035685824069,755.8950212782576,818.2031621773523,888.7265823382216,968.5431223105508,1058.813453143407,1160.7825043856553,1275.7773521199501,1405.201094703738,1550.5224560053762,1713.2609257950085,1894.9673436886226,2097.1999955484575,2321.4965153079374,2569.3421510137528,2842.1352346354442,3141.150960693445,3467.504798598554,3822.117010701532,4205.679802209975,4618.628579823772,5061.118643823964,5533.0083950509015,6033.849824527262,6562.886696387968,7119.060463805683,7701.023601288356,8307.159719648653,8935.609570661069,9584.301858467108,10250.987658651273,10933.277201784964,11628.677799286583,12334.631765320577,13048.553306810574,13767.863501506217
G,33351.0,33351.0,33351.91737994852,33353.31498226787,33354.977535794606,33356.799371202964,33358.729002075765,33360.74174725759,33362.82619927415,33364.97753437234,33367.19420445336,33369.47630110851,33371.824746522834,33374.24089332295,33376.72632669723,33379.28276657142,33381.912019277785,33384.61595370293,33387.39648953585,33390.2555914887,33393.19526645544,33396.217562103855,33399.32456615366,33402.51840596857,33405.80124827555,33409.17529891653,33412.64280258349,33416.20604251024,33419.867340105484,33423.62905451734,33427.49358212213,33431.463355931664,33435.540844913936,33439.72855322235,33444.029019328875,33448.44481505655,33452.97854450674,33457.63284287667,33462.41037516278,33467.31383474533,33472.345941850035,33477.50944188228,33482.80710362969,33488.241717329016,33493.81609259326,33499.533056195294,33505.39544970428,33511.40612697152,33517.567951462566,33523.88379343274,33530.3565269434,33536.9890267169,33543.78416482835,33550.744807232666,33557.87381012623,33565.174016142504,33572.64825038181,33580.37388766751,33588.416867062726,33596.839657944925,33605.70597603006,33615.08380258882,33625.04757391908,33635.680025334455,33647.07396515643,33659.33414362313,33672.57932574487,33686.94465148829,33702.58435777897,33719.67493739502,33738.41881602082,33759.04863852078,33781.832267801496,33807.07861381496,33835.14442580053,33866.44219717635,33901.449348734626,33940.718870725206,33984.891616199275,34034.710444002594,34091.03640639585,34154.86715848277,34227.357727941206,34309.843715735755,34403.866891521124,34510.9142567679,34632.28090241731,34769.46473533674,34924.08971160377,35097.86359691299,35292.54469213778,35509.907758979425,35751.705595469415,36019.62537986901,36315.24026845006,36639.95760844982,36994.965775103556,37381.18211466037,37799.20475319949,38249.271078658916,38731.225499775595,39244.49863782177,39788.0994541884,40360.62102547153,40960.25983115653,41584.84760422012,42231.894089412286,42898.63851547666,43582.10724886939,44279.174964642705,44986.62672967029,45701.21861241877,46419.73477054271,47139.03937821856,47856.122197196535,48568.13703295303,49272.43272208194,49966.576649886694,50648.37108696949,51315.862856464606,51967.34700098197
H,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,39467.583974366964,38086.30622121418,36705.0284680614,35323.750714908616,33942.47296175583,32561.19520860305,31179.917455450268,29798.639702297485,28417.361949144703,27036.08419599192,25654.806442839137,24273.528689686354,22892.25093653357,21510.97318338079,20129.695430228006,18748.417677075224,17367.13992392244,15985.862170769658,14604.584417616876,13223.306664464093,11842.02891131131,10460.751158158528,9079.473405005745,7698.195651852962,6316.91789870018,4935.640145547397,3554.3623923946143,2173.0846392418316,791.8068860890492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
