series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,3618388.735720709,3618122.480206555,3617907.742651757,3617710.334267689,3617512.399939658,3617304.1042961166,3617079.506471889,3616834.504437453,3616565.8037414006,3616270.393739126,3615945.2751715095,3615587.311992333,3615193.1442814437,3614759.1308041755,3614281.3055422236,3613755.3403743384,3613176.510014666,3612539.6573003945,3611839.1579410913,3611068.884388523,3610222.1688018735,3609291.76529129,3608269.8117843475,3607147.792006607,3605916.498214964,3604565.995478781,3603085.5884722755,3601463.7919226205,3599688.306049866,3597745.9985329006,3595622.8947338616,3593304.1781027038,3590774.2028523786,3588016.5211287937,3585013.926981204,3581748.519448355,3578201.7869923697,3574354.7153143715,3570187.920252709,3565681.806979373,3560816.7560616047,3555573.3361415784,3549932.542016672,3543876.0557996985,3537386.527641537,3530447.871262847,3523045.5683362205,3515166.9746653624,3506801.62020899,3847372.6545283473,4186327.5548309805,4523529.560143744,4858745.141273818,5191649.361942005,5521825.8610135885,5848761.866008027,6171839.37922554,6490323.936523414,6803352.4837397225,7109922.102870342,7408881.578177088,7698928.067764095,7978611.329117313,8246347.895840772,8500447.177025046,8739150.55908223,8960683.243038032,9163316.896712177,9345439.520779468,9505627.56871064,9642714.635622043,9755851.113376677,9844550.07763013,9908716.12845692,9948655.650187138,9965068.682470156,9959024.065497292,9931920.600871729,9885437.61566026,9472047.401466124,9065569.883939313,8667031.08325243,8278733.770737025,7903122.670921014,7542340.855484156,7198072.796042877,6871514.06787854,6563399.023514259,6274054.405770719,6003462.736801318,5751326.829898174,5517130.694231197,5300194.348008967,5099721.426567683,4914839.332924231,4744632.213090277,4588167.352462242,4444515.751332448,4312767.695279274,4192044.1252895934,4081504.5590585116,3980352.237957387,3887837.0870063826,3803256.986817999,3725957.772573053,3655332.298902841,3590818.842617934,3531899.0579258306,3478095.650763375,3428969.8993572346,3384119.116129474,3343174.120534005,3305796.7723189783,3271677.5991157554,3240533.5403191303,3212105.8202233724,3186157.956705065,3162473.9068918866,3140856.347814694,3121125.087677194,3103115.60182951
E,0.0,266.255514153974,427.7402787406139,539.5978962781882,629.6092253790865,711.9790337283919,794.1765390794749,880.3382326464169,972.9657030710254,1073.7763986106313,1184.132881501907,1305.2619799963888,1438.3690228552368,1584.6995799620588,1745.5748829691056,1922.4140117688637,2116.749385887385,2330.2388081901563,2564.675638085996,2821.997809536291,3104.29595001193,3413.8205972760643,3752.9883498497416,4124.386673248197,4530.776992152049,4975.095616336649,5460.451970160471,5990.123520448078,6567.546727011189,7196.303277082559,7880.100814500617,8622.747343021898,9428.118478522014,10300.116756183268,11242.622276072607,12259.434104163025,13354.202045778165,14530.348683047567,15790.981922757943,17138.798737001376,18575.98129110794,20104.08722858043,21723.936499145013,23435.49774195164,25237.777830452942,27128.718699925063,29105.10595969765,31162.4939864942,33295.15215485446,35496.036549095305,38872.86413322,43327.199789917024,48877.06426883875,55628.28114188076,63756.933451426805,73500.29786128871,85153.41941803053,99068.7987320001,115657.0240767358,135386.4273111829,158779.96868853,186407.63925477225,218872.82885260435,256791.46941414825,300763.42709512234,351336.6136969561,408965.5405748187,473967.3471383867,546479.4100504665,626423.1769747551,713478.6648944158,807073.0926772077,906385.5552547169,1010367.8093557303,1117779.48275089,1227234.630198227,1337255.7037455728,1446330.7129832166,1552969.549701938,1655756.012090509,1731071.8339300868,1783385.2972516483,1814994.2482035183,1827594.9959455081,1822846.2299033517,1802533.49116911,1768574.097635719,1722963.1142248712,1667704.1899327287,1604744.451925486,1535921.2984575576,1462923.4406102665,1387265.8275078814,1310276.7917212849,1233095.2232082568,1156675.483722583,1081797.9172343195,1009083.0790782205,939008.1243032925,871924.1185163022,808073.3352695704,747605.8681933043,690595.1075916545,637051.8096504968,586936.6246820478,540171.053734979,496646.875966435,456234.1379910496,418787.82619475515,384153.3583154925,352171.03532787354,322679.5919918243,295518.97684305813,270532.48184125224,247568.32978384497,226480.81497119262,207131.0801846678,189387.6012782747,173126.43986556522,158231.3148499849,144593.53494479816
I,62.18426113534415,38.65402377654123,29.443700852549977,27.003451704509814,27.76199408588794,30.064521899544623,33.17135403807282,36.774640462691636,40.767164852217164,45.13316847132238,49.89779202446107,55.10438038980162,60.80483313730383,67.05593012926774,73.91830342690187,81.45651875102426,89.73957743657938,98.84154357647927,108.84217885069837,119.82754408272501,131.8905566145644,145.13150192978804,159.6584984848917,175.58791176365224,193.04470942389483,212.16274495944356,233.08495286099458,255.96343391319155,280.9594050384564,308.2429840347894,337.9927757480476,370.3952228269597,405.64368146051504,443.9371806949078,485.47882344426375,530.4737885817294,579.1268970071017,631.639710835675,688.2071443231673,749.0135782455973,814.2284864679647,884.0016044290433,958.4576940206009,1037.690987263445,1121.7594212729286,1210.678807804023,1304.4171102745684,1402.8890273225156,1505.9511021655821,1613.3975887735528,1724.9573068253771,1862.9949159967787,2039.4100205482382,2261.96604829147,2537.641449489575,2874.3559499394623,3281.8591799610936,3772.213373925298,4360.087055131455,5062.950449876764,5901.1899584985495,6898.115941748562,8079.813010100629,9474.769660236032,11113.22378732754,13026.173910004094,15244.034496213675,17794.957009368554,20702.891792730723,23985.521012275545,27652.238068959286,31702.372835745507,36123.857219893966,40892.490752676356,45971.906900844966,51314.268353670726,56861.646259642715,62547.9754326042,68301.43247325576,74047.05977910059,79709.45491962576,84761.30359824948,88965.71880126302,92222.19335362487,94502.75792600644,95823.76778655805,96231.7109999425,95794.4869256431,94594.88581627962,92725.12879000069,90282.14946498109,87363.57866087431,84064.45598005546,80474.67563899707,76677.1372965045,72746.5391121814,68748.72747512397,64740.50659570133,60769.809596882755,56876.138237915286,53091.18838652241,49439.5906795242,45939.708845615525,42604.45077207977,39442.05886403809,36456.85618550364,33649.93314394418,31019.76610858736,28562.76446609974,26273.74640141968,24146.34635529275,22173.358862187903,20347.024506948197,18659.264227451888,17101.868279623915,15666.64599019977,14345.542047195006,13130.72459192014,12014.64983496745,10990.107361974882,10050.249750971445
A,549.2216846602048,454.7529663962616,424.36992188138333,428.22595044008534,451.5155437960633,486.97103922465476,531.1269358001257,582.4557668233672,640.4359768401238,705.0851665495818,776.7264733763428,855.8722573672958,943.1671674581595,1039.3615244703615,1145.300374941515,1261.9207915740346,1390.253624136069,1531.427732449465,1686.6756551077663,1857.3401309094925,2044.881118788424,2250.8830689694555,2477.062240049555,2725.2738625253764,2997.518933669414,3295.9503992081827,3622.878438079067,3980.7745200863606,4372.273854343019,4800.1757907006495,5267.4416789509305,5777.189633977038,6332.685602512905,6937.330082851787,7594.639817782149,8308.223769197462,9081.752697042231,9918.921712946772,10823.405267727732,11798.804169222116,12848.584418935068,13976.007906970866,15184.055315882668,16475.341952465085,17852.02764399303,19315.72228789081,20867.389110892625,22507.248148964256,24234.682871080986,26048.15320368261,27945.11843298153,30122.492046221294,32725.632206922717,35878.132474666134,39701.340451615746,44327.36721594229,49908.2302620122,56622.8084186847,64682.54428648397,74336.27939439552,85874.19586841317,99630.52042589778,115984.3982524639,135358.16738496715,158212.1827031633,185035.39040717972,216331.075833276,252597.6163296122,294304.64461973164,341865.69606646616,395609.06295118923,455749.08021281357,522360.3078528519,595356.9938715983,674479.8041301898,759291.1605830195,849179.7457972307,943373.9292099086,1040963.1536621936,1140925.7628786524,1242161.3893797607,1339515.5749529232,1429523.2432277377,1509728.1682064964,1578401.3725269786,1634409.278346635,1677134.0865341348,1706408.7358860478,1722453.3424439318,1725810.145435093,1717277.9456117824,1697848.2610922544,1668645.4652895518,1630872.7163553112,1585764.8775020984,1534549.0275101648,1478412.6465570012,1418479.1625813856,1355790.2602579726,1291294.1773128835,1225839.124068653,1160170.9425814243,1094934.153024607,1030675.600681318,967850.0033712169,906826.7955720054,847897.7638313922,791285.0626143515,737149.2867876258,685597.3543753966,636690.0200848007,590448.8963143596,546862.9044226854,505894.1158135885,467482.97094875487,431552.88586722396,398014.2712986056,366768.0000651035,337708.3651378587,310725.5742924768,285707.8285234967
IH,0.0,11.09345802587028,16.586984065410036,19.74303575853164,22.064828885014567,24.228467539957748,26.529384211859313,29.093712011827613,31.976721375538848,35.20756950532703,38.80891681436364,42.805044443278746,47.22489696129043,52.1030190340372,57.47971819591725,63.40102363959464,69.91866474684112,77.09014188004748,84.97890010595364,93.65459421193592,103.19342753970146,113.67854742401406,125.2004819195559,137.85760424960768,151.7566124140528,167.0130115316488,183.75158581830772,202.10684572311206,222.22343376281754,244.2564701109827,268.3718161024234,294.7462306051313,323.5673908036337,355.0337454700598,389.3541654482333,426.7473530625727,467.44096975793457,511.67043980106746,559.6773877000849,611.7076685355821,668.0089540776435,728.8278438137895,794.4064792187727,864.9786520548577,940.7654133558477,1021.9702089754413,1108.7735898716464,1201.3275700545646,1299.7497314176824,1404.1172012480602,1514.4606535216406,1630.758507373027,1756.9816880320247,1898.7220421986228,2062.249573119593,2254.286683968358,2482.11891458003,2753.850209358669,3078.7120311259196,3467.3857951943073,3932.3194088083173,4488.024221080485,5151.33582736844,5941.615199975483,6880.858324253879,7993.675218295004,9307.09521048023,10850.156944812363,12653.250690194132,14747.198028994164,17162.07911756724,19925.847715742515,23062.80466567939,26592.02626467251,30525.860276159983,34868.606035779296,39615.48542949521,44751.98999168747,50253.65933240993,56086.31182024155,62206.71422104625,68563.64646932653,75018.29168719199,81407.11969258409,87569.34046689402,93359.49829878027,98653.44087554849,103351.00210995972,107376.78997051423,110679.71151238664,113231.58389456876,115025.0792249891,116071.21286281153,116396.56255800676,116040.38343819568,115051.75777673387,113486.88971733178,111406.62594068347,108874.25575191088,105953.61976016616,102707.53606727398,99196.53696900797,95477.89746926547,91604.92900857396,87626.50715717816,83586.80000532686,79525.1639941586,75476.17541577684,71469.76829107496,67531.45241258384,63682.588704255846,59940.702464654445,56319.81835554707,52830.80406145291,49481.71230923865,46278.11336697237,43223.41223013233,40319.14646113846,37565.26209712927,34960.36621012639,32501.95562585936
IN,12.436779332932641,24.21069715036061,30.651063078870116,34.906113462620006,38.44632913181257,41.94956425100899,45.72658510410702,49.92365924800788,54.617688753318674,59.86003378811888,65.69616537266988,72.17415910209314,79.34819713987571,87.27995367534874,96.03917166279636,105.70400320376174,116.36134807953607,128.10727463069324,141.04754363241543,155.2982312131315,170.98643888311983,188.2510771940086,207.2437099544207,228.12944641592946,251.08786871723902,276.3139809259307,304.0191642297786,334.432120249759,367.7997811352198,404.3881611211793,444.4831196467224,488.39100103528204,536.4391102326936,588.9759783376924,646.3713658448811,709.015945918871,777.3206049699922,851.7152937246397,932.6473593729992,1020.5792887997351,1115.9857949775958,1219.3501839706933,1331.159949273632,1451.9015539476748,1582.054379602876,1722.0838448901686,1872.4337246832565,2033.5177340478463,2205.7104774903787,2389.3379024757687,2584.6674349975083,2791.8980119020575,3015.690872721712,3262.8387268794813,3541.324919128662,3860.102975902195,4229.233150100877,4660.189413007183,5166.246623334453,5762.905797382988,6468.335795525268,7303.814361544262,8294.14721250825,9468.034849826625,10858.345747562827,12502.244083447662,14441.112908174946,16720.212476406254,19388.020999413155,22495.222913754864,26093.337664699917,30233.01745823825,34962.080789820386,40323.38389706066,46352.65877959386,53076.45971153458,60510.35825830718,68657.51034206992,77507.69071931862,87036.85454088559,97207.24707904017,107968.04547818463,119165.67342282095,130607.36285757482,142090.51865547986,153417.74987013207,164405.45722827953,174889.12457849688,184726.58402353936,193799.80295339055,202015.4838330323,209304.6883548647,215621.6785682305,220942.1620950856,225261.1200422873,228590.38085068515,230956.08206749108,232396.13734884182,232957.80038587024,232695.39288789517,231668.2416048884,229938.85039722864,227571.31786262657,224629.99896476007,221178.4002074692,217278.2917654181,212989.01616418484,208366.97114276382,203465.24380165007,198333.37366077132,193017.2235016827,187558.93858470625,181996.9768069156,176366.19444374033,170697.97418093044,165020.38411539153,159358.3582318933,153733.89051860038,148166.2363548387,142672.11608832047,137265.91682311075
D,8658.0,8658.0,8658.033776362889,8658.084278919594,8658.144390738535,8658.21157174429,8658.285340402354,8658.366114684479,8658.45469660117,8658.552056445378,8658.659253285285,8658.777415183455,8658.907744131486,8659.051530248798,8659.210168833299,8659.38517790765,8659.578215640062,8659.791097699706,8660.025814827688,8660.284550936942,8660.569702019033,8660.883896082605,8661.230014295825,8661.611213458536,8662.030949888522,8662.493004768034,8663.001510958919,8663.560981254775,8664.176337994515,8664.852943911574,8665.596634035332,8666.413748394838,8667.311165198642,8668.296334077899,8669.377308882727,8670.562779414402,8671.862101359355,8673.285323567105,8674.843211685793,8676.547267040125,8678.409739512235,8680.443633072979,8682.662702517146,8685.0814398901,8687.715049065331,8690.579406952626,8693.6910098954,8697.066903962384,8700.72459806089,8704.681959100995,8708.957088823008,8713.568182360596,8718.533369139946,8723.882868903116,8729.663926943877,8735.942878897757,8742.806528168634,8750.363860516574,8758.748535862434,8768.122321254485,8778.679505553308,8790.652277887486,8804.317010235756,8820.001334082854,8838.091829460023,8859.042047795667,8883.380470887043,8911.717876998558,8944.753458645195,8983.278937898389,9028.17987961047,9080.43343398744,9141.101862328154,9211.321414949256,9292.286423961046,9385.22881683298,9491.393611264835,9612.011276984678,9748.26810964982,9901.275930123036,10072.042486111164,10261.443892659563,10470.200314566573,10698.60925949048,10946.470333104504,11213.09358209993,11497.346182705207,11797.717303357427,12112.391135803477,12439.322324915964,12776.309952366066,13121.06729124635,13471.285303342915,13824.688489016355,14179.082270169103,14532.391589184283,14882.690829734855,15228.225500813709,15567.426371912568,15898.916910105072,16221.514958607691,16534.22962354141,16836.254314315123,17126.956826116406,17405.867272010364,17672.66457700092,17927.162145119255,18169.293209347525,18399.09627745115,18616.70099760912,18822.314687921546,19016.209704307872,19198.711762139817,19370.189277817408,19531.043756688705,19681.70122232,19822.60465812863,19954.207414755798,20076.967524274438,20191.342854456212,20297.787032011
R,0.0,95.13157977944785,176.01006909889276,252.68345158493977,330.6361941627031,413.069951332676,502.05583531204303,599.1218825073239,705.5567529431836,822.5703133404608,951.3817919522587,1093.2712170214759,1249.6123027096723,1421.896104141216,1611.750283583635,1820.9565446534561,2051.4676152447887,2305.4245470160477,2585.174774135341,2893.2911964236587,3232.592450107239,3606.1644656715766,4017.3833669360306,4469.939727569046,4967.864164608486,5515.554209326482,6117.802351454269,6779.825101541611,7507.292856686163,8306.360285975092,9183.696872991672,10146.517163272307,11202.610164728283,12360.367239427891,13628.807707158328,15017.601257144339,16537.086137552647,18198.281967542818,20012.895899560215,21993.32075761958,24152.623699153854,26504.523903420937,29063.35778910724,31844.030318565554,34861.95106655661,38132.953926551716,41673.199604301015,45499.06040962847,49626.98730177686,54073.35966400796,58854.31886627703,63985.587301006715,69516.76534939425,75523.19395548542,82102.52456589256,89374.47992813362,97482.81297460105,106598.85927298252,116926.33360638711,128707.16616604944,142228.23285415745,157828.82616044275,175908.65127576873,196936.02702524877,221455.83434821654,250096.6025651392,283575.97863005963,322703.71682507603,368381.28907308326,421597.27896984306,483417.9035670362,554972.3042060042,637432.6367918896,731989.4282045976,839823.0929203216,962072.8663507751,1099804.6640720845,1253979.492713585,1425424.0133136539,1614804.7044670437,1822606.8170176963,2049118.9880772587,2293734.236578557,2555224.2627363876,2831907.8376767086,3121775.707876487,3422595.17563781,3732002.178430044,4047582.7938791625,4366944.083230088,4687773.781860217,5007888.573506987,5325271.109451839,5638096.359547295,5944748.2262909375,6243827.589320871,6534153.076629436,6814755.894594586,7084870.011025566,7343918.894057821,7591499.883558654,7827367.126571264,8051413.856858215,8263654.650251338,8464208.148845669,8653280.622229608,8831150.625109514,8998154.918564975,9154675.74639065,9301129.497452173,9437956.73818138,9565613.564516636,9684564.19795641,9795274.734191623,9898207.94339447,9993819.017216008,10082552.157616993,10164837.905751001,10241091.114343353,10311709.473638147,10377072.508442923
G,600299.0,600299.0,600304.4161812385,600313.1172925751,600324.0938164282,600336.9013546491,600351.3844630907,600367.5396367578,600385.4475153395,600405.2396259494,600427.0824321085,600451.1701146378,600477.7218105522,600506.9811757162,600539.2172034313,600574.7257635507,600613.8315929123,600656.8906008987,600704.2924199902,600756.4631632623,600813.8683653275,600877.0160884329,600946.4601753625,601022.8036274528,601106.702080376,601198.867342825,601300.0709540342,601411.1477052829,601532.9990582232,601666.5963791221,601812.9838930838,601973.2812462645,602148.6855473984,602340.4727431663,602549.9981657891,602778.6960766518,603028.0780179049,603299.729776197,603595.3067604912,603916.5276009256,604265.1657895618,604643.0392081632,605051.997424145,605493.9066843755,605970.6325977793,606484.0205710573,607035.8741456688,607627.931475798,608261.8402825675,608939.1317144678,609661.1936323501,610451.9471236811,611333.3109044938,612327.5702696936,613459.1631818839,614756.1094925673,616251.2557454521,617983.4503034045,619998.7121120231,622351.4123214086,625105.4489086862,628335.3579311755,632127.2702288218,636579.5908239692,641803.254053089,647921.3967560579,655068.3014184256,663387.4962154786,673028.9605861554,684145.4684914387,696888.1959772728,711401.8099811696,727819.3259019599,746257.0602519021,766810.0061330827,789547.9249418009,814512.3851160207,841714.8987490595,871136.2209596203,902726.7950204647,936408.2557655725,971621.7942312211,1007899.495440921,1044820.18730438,1081997.2041259436,1119077.6213423307,1155744.8359447415,1191721.2470882668,1226769.8376253257,1260694.3487232812,1293338.1300949191,1324581.9078881568,1354340.7600851068,1382560.5818287963,1409214.289261129,1434297.9658730177,1457827.1088236405,1479833.0890631224,1500359.9009051728,1519461.2449722416,1537197.9632786065,1553635.8261776739,1568843.6572339977,1582891.7729208882,1595850.7085144557,1607790.198837752,1618778.3818847502,1628881.1942163352,1638161.92887598,1646680.929033919,1654495.393341295,1661659.2718447368,1668223.2341263522,1674234.6939944078,1679737.8774954046,1684773.923217394,1689381.0057967536,1693594.4752302864,1697447.0060449024,1700968.7516074688,1704187.499889734
H,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10482934.804526845,10133503.64437595,9784072.484225055,9434641.32407416,9085210.163923265,8735779.00377237,8386347.843621476,8036916.683470581,7687485.523319686,7338054.363168791,6988623.203017896,6639192.042867001,6289760.882716106,5940329.722565211,5590898.562414316,5241467.402263422,4892036.242112527,4542605.081961632,4193173.921810737,3843742.761659842,3494311.601508947,3144880.441358052,2795449.2812071573,2446018.1210562624,2096586.9609053675,1747155.8007544726,1397724.6406035777,1048293.4804526828,698862.3203017879,349431.1601508931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
