series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,1073351.1318187916,1073266.5389122393,1073194.8160207127,1073127.126248872,1073058.8265164073,1072987.3647234745,1072911.2226107803,1072829.3831779049,1072741.0615263744,1072645.5680342526,1072542.2379880473,1072430.3945534758,1072309.3284304515,1072178.2858166061,1072036.4604684582,1071882.9877456392,1071716.9395798934,1071537.3198440848,1071343.059867352,1071133.013981736,1070905.9550589465,1070660.5700366024,1070395.4554579835,1070109.1130665021,1069799.945509973,1069466.2522224667,1069106.2255640996,1068717.9473120137,1068299.3856091867,1067848.392491508,1067362.7021275985,1066839.9299197868,1066277.5726280804,1065673.009691302,1065023.5059301555,1064326.2158250352,1063578.1895659987,1062776.3810724975,1061917.6581751213,1060998.8151396739,1060016.5876942738,1058967.6706918867,1057848.7385029206,1056656.4681847123,1055387.5654167186,1054038.7931222992,1052607.0026209874,1051089.167070607,1049482.4168687053,1047784.0765904078,1045991.7029485271,1044103.1231756274,1042116.4731512092,1040030.2345348012,1037843.2701219369,1099043.0009619738,1159969.0206222003,1220605.2983246827,1280923.1658475655,1340883.6875806404,1400438.764999829,1459531.404964016,1518095.4545070748,1576055.0109596644,1633323.655204651,1689803.6214244575,1745385.0016690453,1799945.0815301787,1853347.9086756024,1905444.2041547985,1956071.7327189879,2005056.2485198204,2052213.1223453067,2097349.7326219277,2140268.6628124933,2180771.6929004677,2218664.505632957,2253761.955449664,2285893.678426371,2314909.765133624,2340686.1843001926,2363129.640031339,2382181.571221924,2397821.0560511886,2410066.460138282,2355487.610085658,2299847.4209420485,2243332.6061803834,2186290.450557954,2129120.1675531403,2072221.62394924,2015969.699876135,1960701.1842677465,1906708.477684325,1854237.3777517758,1803487.4887815125,1754614.3634296039,1707732.7654640484,1662920.6054571585,1620223.211890225,1579657.6846967388,1541217.146594276,1504874.7635037974,1470587.450680001,1438299.217055808,1407944.1278489188,1379448.885843141,1352735.046114332,1327720.8884528498,1304322.977383038,1282457.4424133082,1262041.0117468925,1242991.831782934,1225230.1028492467,1208678.5591247524,1193262.817925131,1178911.6206517254,1165556.9848879557,1153134.2844652627,1141582.271869313,1130843.0551459708
E,0.0,84.59290655226881,134.22201674769605,166.8559900741655,191.57665771258567,213.0028985389054,233.51340268579244,254.3643405789868,276.2516969868983,299.59440443528257,324.67707116918723,351.72209289527194,380.9262463238523,412.47941675676987,446.57433680157516,483.4117984921789,523.2035793468962,566.1742041977309,612.5621007214149,662.620421698678,716.6176623784896,774.8381271274901,837.5822606887965,905.1668382043093,977.9249958080989,1056.2060756468327,1140.3752534412852,1230.8129121285888,1327.913721267557,1432.085378614666,1543.7469676304197,1663.3268828098321,1791.2602738775656,1927.9859603359691,2073.9427699348294,2229.5652587085474,2395.2787766795773,2571.493852533069,2758.59988287529,2956.9581273862063,3166.894030456095,3388.688912808542,3622.571103023415,3868.7066084172616,4127.189456775942,4398.031874021067,4681.154496762904,4976.376851268651,5283.4083597981635,5601.840159460693,5931.138035550439,6270.636778581906,6619.536270021122,6976.899584429319,7341.653364400849,7712.590679019562,8260.358616310728,8954.803737715572,9786.285454526726,10757.948473238983,11881.27908698711,13173.65824224377,14657.087194754304,16357.570665959374,18304.837971585064,20532.200493299875,23076.411554964317,25977.431789799033,29278.022928503866,33023.104909285335,37258.82188216824,42031.27677347002,47384.91481658284,53360.5655022997,59993.189532317476,67309.42013178524,75325.03175754717,84042.50723738807,93448.89930374632,103514.18773194539,114190.31475251919,125411.03883752403,137092.6844797708,149135.7910647579,161427.58743327283,173845.15041224885,184080.86186134955,192517.85928643946,199278.64193391247,204401.7862568367,207915.14009381947,209864.26470226175,210320.91295080635,209382.48583208953,207167.54830521223,203809.8921196615,199452.4172579713,194241.49030102944,188322.1033374851,181833.96184581544,174908.5118958245,167666.84599017314,160218.3867660016,152660.22877329082,145077.01395190734,137541.22136919922,130113.76260981802,122844.7882183787,115774.62582076657,108934.78563203814,102348.98311747849,96034.1410967168,90001.34433025075,84256.72855758191,78802.29314873232,73636.6321460888,68755.58271116011,64152.793063988705,59820.214119918026,55748.520381536946,51927.46640326388
I,35.797347395834684,31.001523515617517,29.758255465742447,30.388824239800307,32.05754513480561,34.35311239522413,37.07821601056682,40.14380840642078,43.51598494135968,47.18932556750282,51.173547925983435,55.486858483760535,60.152675120354125,65.19804763666217,70.65293411202228,76.54990922703055,82.92409096319847,89.813177781106,97.25754142583982,105.30034705018409,113.98768553099374,123.36870929668646,133.4957660107737,144.42452574113338,156.2140976291192,168.92713198076905,182.62990334930166,197.39236967479658,213.28820195372043,230.39477826451426,248.79313530295988,268.5678699075533,289.8069824076608,312.6016530371711,337.04594216074594,363.2364047021336,391.2716089945308,421.2515503481985,453.2769500123742,487.44843096259837,523.8655631376347,562.6257724466201,603.8231101244622,647.5468818770255,693.8801397538642,742.8980438161977,794.6661053998647,849.2383290362723,906.6552757731444,966.9420765670457,1030.1064303879025,1096.136627422488,1164.999642990545,1236.6393521683563,1310.9749183143322,1387.8994103843356,1467.2787038201284,1554.867016100255,1654.6103653140506,1769.5944729828877,1902.599841917924,2056.4296029455472,2234.109263388509,2439.015856663663,2674.96856968721,2946.2976354299367,3257.899092764676,3615.2773897054676,4024.5742075021367,4492.57944916954,5026.718640025141,5635.009886123289,6325.983067209498,7108.5542479001115,7991.849555973745,8984.975149654061,10096.73342223648,11335.290149085498,12707.802535418068,14220.023530418108,15875.902636441671,17677.20701595004,19623.18832946261,21710.32000062841,23932.12640257647,26279.120055021987,28738.855890728955,31221.172529906336,33661.16783160931,36006.848746698015,38214.51486777468,40247.27838017059,42074.76072213584,43673.12153936603,45025.06506412561,46119.69138175328,46952.16338041439,47523.207837654074,47838.48927114641,47907.90113885845,47744.81741872718,47365.34218907767,46787.587703426485,46031.003901139135,45115.77510128058,44062.29323861566,42890.71163813182,41620.57905285817,40270.550472345436,38858.168946560065,37399.71122929542,35910.0892811844,34402.79944154718,32889.91124817248,31382.088338431877,29888.634505992493,28417.558735568502,26975.6538318693,25568.584052003534,24200.97791027096,22876.523028720698
A,235.98429742357817,199.5608310620733,187.9429463153008,189.3729899567698,197.9829466186251,210.87006226663775,226.6270699098897,244.6033422970075,264.5335451494481,286.3511311036856,310.09482846072535,335.8619305408922,363.78514797382957,394.0213323431355,426.7461872895148,462.15200445604745,500.44693087279984,541.8550129812066,586.6166334058562,634.9891423597759,687.2475780637374,743.6854159750455,804.6153082004964,870.3697839050615,941.3018847072949,1017.78570894125,1100.2168367673962,1189.012605208446,1284.6121986906717,1387.4765168407039,1498.0877773058196,1616.9488073978748,1744.5819745824488,1881.5277024459026,2028.3425160087875,2185.596558388247,2353.8705201587977,2533.7519236718504,2725.830707452463,2930.6940609998555,3148.9204682823492,3381.0729293243994,3627.691343872115,3889.2840594501004,4166.3186083201435,4459.211683889157,4768.318436748638,5093.921203269937,5436.217814755514,5795.30967148095,6171.189802177217,6563.731163938674,6972.675468310241,7397.622844368088,7838.022666882494,8293.165885153481,8762.179184099867,9283.02288412033,9880.960136745618,10575.168537876018,11382.578826417604,12320.113360247271,13406.02418184958,14660.7355655699,16107.416634271645,17772.402352701607,19685.517219639776,21880.317222289974,24394.241236398506,27268.64693869102,30548.695383646205,34283.04158671733,38523.28589337676,43323.14344958952,48737.29782130664,54819.92061511974,61622.86201714546,69193.54657793109,77572.64205966303,86791.6031347356,96870.22164372297,107814.33621732329,119613.86225335748,132241.29599360834,145650.82341819935,159778.12785343357,174540.94355706987,189346.38743972973,203779.97292365407,217518.9682041998,230299.20241378446,241903.59391397118,252158.89921134117,260934.8863278291,268143.5125084296,273737.21194326325,277706.1013593587,280074.2293725991,280895.12534768163,280246.9374299446,278227.43382882024,274949.10147569666,270534.5262821287,265112.18793504307,258812.75448309566,251765.9206035299,244097.7995788684,235928.85283489933,227372.32193092688,218533.11531198476,209507.09491360447,200380.7047930411,191230.88433436005,182125.21132836596,173122.2245820143,164271.8810247381,155616.10804529572,147189.41762992574,139019.55450574515,131128.15573709618,123531.40396381146
IH,0.0,1.4318956690864224,1.9575168615689065,2.171149699843388,2.303413672237002,2.4364337367423827,2.594906528484206,2.783313939080082,3.000339722516188,3.2439681835776573,3.5129725516854022,3.807126856945607,4.127046136240265,4.4739752714543854,4.84962000669288,5.256033333342552,5.69554689596289,6.170733691043696,6.684390864265847,7.239534803254144,7.839403483724238,8.487462937686038,9.187415927457259,9.943211639144318,10.759055626358851,11.639419459308293,12.58904964314671,13.612975409837542,14.7165149878732,15.905279930513998,17.185177045484714,18.562407423265427,20.043462011224626,21.635113129947634,23.344401279009837,25.17861653501633,27.145273808163385,29.252081198476315,31.50690068331042,33.91770037818108,36.492497648402875,39.23929241448429,42.165990094885174,45.280313770475566,48.589705340089665,52.101215669139464,55.82138401498072,59.756107343166,63.91050052481991,68.28874882096918,72.89395450510348,77.72797993716347,82.79128986346853,88.08279615730906,93.59970861074277,99.33739571444899,105.28925959372172,111.44662938036498,118.03532950151968,125.32635068808175,133.57890243863932,143.03408247662585,153.9248187035551,166.4888405850774,180.98034448199294,197.67946368998633,216.89976912889716,238.99421797572066,264.3598383715629,293.441229669284,326.73275578177424,364.77914018467516,408.1740423790028,457.55611233887157,513.601990025059,577.0157528992492,648.514427258408,728.8093768289166,818.58366334529,918.4658249126694,1029.0009101442877,1150.6199971025721,1283.6097649579951,1428.0839213053216,1583.9583763491946,1750.931971322318,1928.4743102993366,2115.8218339623663,2308.98549962543,2503.370500072522,2694.5948727868845,2878.715007623673,3052.2794358774754,3212.343647802109,3356.4786751430856,3482.775646599098,3589.84212099858,3676.786928003583,3743.192615949467,3789.0766007750435,3814.8433475824377,3821.230474255468,3809.2517297419977,3780.1395461568154,3735.2894347830934,3676.2079932942097,3604.465784075051,3521.655874762997,3429.358426392004,3329.11138253139,3222.3870559611396,3110.574223104321,2994.9652125198118,2876.747402435374,2756.998513359129,2636.6850854780787,2516.6635580261773,2397.6834114972853,2280.3918872195127,2165.3398574085286,2052.988478566591
IN,3.3639282111307436,6.3554348873074,8.565080465715948,10.413263810768395,12.11608965926991,13.787207232380556,15.489032617456035,17.25853029205798,19.120204456362096,21.09266037503771,23.191934188442286,25.43319985157487,27.83166229405408,30.403043714840713,33.16386761206309,36.13164336604493,39.32500297776479,42.76381578081968,46.469293947276114,50.4640950339962,54.772424464177114,59.420139097087464,64.43485209547079,69.84603874547993,75.68514251153312,81.98568031336801,88.78334574149815,96.1161086530359,104.02430929867167,112.55074481691426,121.74074559110284,131.64223859861906,142.30579449288612,153.7846547521061,166.13473481162134,179.41459867932107,193.6854001286583,209.0107851878826,225.45675031682578,243.09145040742243,261.9849505881021,282.20891578553477,303.83623213292447,326.9405546468655,351.5957761598355,377.8754133264493,405.8519066487341,435.59583291271736,467.17503021004353,500.6536378361848,536.0910557974573,573.540831390341,613.0494832855372,654.6552766806018,698.3869662814192,744.2625270160197,792.2878953385964,842.4557465990504,895.3002991525503,951.6674408687778,1012.5993807977761,1079.284232550119,1153.0419875449188,1235.330811815905,1327.7647820695654,1432.1381745663862,1550.4535389050025,1684.9518096106156,1838.1430875477693,2012.8367221549925,2212.1690958738154,2439.627148565436,2699.0652528540986,2994.7126276416934,3331.1681291078107,3713.379067989581,4146.600755501806,4636.333859281487,5188.237415999852,5808.016521490402,6501.285271566047,7273.407364167835,8129.3187433728535,9073.338570822349,10108.97643498258,11238.744852723888,12463.986627229808,13784.726418663115,15192.513562541897,16673.73402255502,18211.395114977906,19786.278831244195,21377.828393483975,22964.908153945384,24526.48208661423,26042.217762271466,27493.00948058451,28861.41218887186,30131.980477972742,31291.511207633495,32329.19266382233,33236.6668726576,34008.014497534554,34639.673567946964,35130.3041990185,35480.611594430266,35693.139143978544,35772.042494916335,35722.85424593427,35552.24751620087,35267.8051874252,34877.80018809171,34390.990846591994,33816.434124480205,33163.31847611142,32440.817176548986,31657.962215600313,30823.53826449208,29945.995770403064,29033.381907271207,28093.28789205796
D,1644.0,1644.0,1644.0570377877523,1644.135013043689,1644.2214980987328,1644.3132517250472,1644.4103040406235,1644.513668923278,1644.6245387814195,1644.7440535924297,1644.8732730409724,1645.0132079448263,1645.1648601205402,1645.3292558838941,1645.5074711389934,1645.7006497361444,1645.9100173040183,1646.1368923494551,1646.3826958714183,1646.6489602896997,1646.9373381781504,1647.2496110913676,1647.587698649034,1647.9536679657763,1648.3497434671506,1648.7783171017243,1649.2419589375172,1649.743428113694,1650.2856841026364,1650.8718982217604,1651.5054653177453,1652.1900155276292,1652.9294260011968,1653.7278324470697,1654.589640340859,1655.519535607743,1656.522494564058,1657.6037928732665,1658.7690132414334,1660.0240515467394,1661.3751210673622,1662.8287544432815,1664.391802981387,1666.071432891106,1667.8751180212123,1669.810628659288,1671.8860159553928,1674.1095915427913,1676.4899019530558,1679.0356974623048,1681.7558950613386,1684.6595353161733,1687.755732977623,1691.0536213090952,1694.5622902298196,1698.2907185145536,1702.2477004476264,1706.441767495212,1710.8811057302066,1715.5828966614324,1720.5751163773207,1725.8960662551367,1731.593651500884,1737.725055714583,1744.3569321546208,1751.566059676094,1759.4403758964354,1768.080309141694,1777.6003473492306,1788.1307935799055,1799.8196609582867,1812.834654982168,1827.3651795332821,1843.6242861831659,1861.8504663328486,1882.309164496844,1905.2938712419648,1931.1266389881116,1960.1578564467998,1992.76512124642,2029.3510680510979,2070.3400428603495,2116.173563133568,2167.3045658392853,2224.1905173470186,2287.2855344135987,2357.0317375099403,2433.8501194432124,2518.13125758233,2610.1068307291052,2709.825489239629,2817.1613334288368,2931.8313747934803,3053.41513985588,3181.3748642451983,3315.0760286532445,3453.808076251442,3596.8049840444282,3743.2652303718996,3892.3706649043293,4043.3038310545085,4195.2633836008445,4347.477359415151,4499.214176801055,4649.791346466679,4798.581967581017,4945.019152762493,5088.598576033893,5228.879369291182,5365.483608184972,5498.094630440179,5626.45442153495,5750.360287133506,5869.661011205117,5984.252675457843,6094.074291259306,6199.1033709065105,6299.351541890958,6394.860286329913,6485.696868396061,6571.950495573457
R,0.0,36.79588789645895,68.95851746548118,99.81391212494903,131.19272451824426,164.14970245229745,199.3418492485785,237.2272094800616,278.1695554092672,322.493814311555,370.515776437446,422.5584217726047,478.96132340128224,540.0865036087404,606.3225064026402,678.0876075717655,755.8326435677332,840.0437109555564,931.24486823351,1030.0009088499714,1136.9202407757175,1252.657889693686,1377.9186322658275,1513.4602591183868,1660.0969620989308,1818.7028359114113,1990.2154798417057,2175.6396806193056,2376.0511523335963,2592.6003036242587,2826.5159960294664,3079.1092503700465,3351.776850368299,3646.004784371519,3963.3714571301675,4305.550594165183,4674.313751488836,5071.5323335110725,5499.179012118194,5959.328430466256,6454.157066367411,6985.94212271156,7557.059306671197,8169.979356055877,8827.263170731308,9531.555410140356,10285.576425303017,11092.112405840344,11954.00364010082,12874.130809784925,13855.399269814263,14900.721299606657,16012.996353163155,17195.089381906844,18449.80735516428,19779.87415733292,21187.904096586422,22676.37431559234,24253.616226438062,25932.023355305988,27727.167296785643,29657.467244104977,31744.196533311453,34011.698725443544,36487.740385803634,39203.95956417176,42196.38629093714,45506.01958586876,49179.447876582875,53269.49834379811,57835.89674699373,62945.91351786003,68674.96497376951,75107.13106641891,82335.54395003128,90462.59581846367,99599.91106027589,109868.0279982853,121395.7403697505,134319.05897565655,148779.7697346795,164923.58515433827,182897.91064791457,202849.2731790317,224920.48496946023,249247.63692564765,275957.0327642337,305162.1838819422,336884.74412359035,371079.6255762386,407648.3108888472,446447.6156456349,487296.9113342853,529984.969365257,574276.7684349242,619920.2540267557,666652.9025852872,714207.9106142193,762319.8459527043,810729.6369123136,859188.8200078999,907463.0107107325,955334.599848424,1002604.7091100911,1049094.4621181102,1094645.6430749008,1139120.8239396946,1182403.0445242885,1224395.128971964,1265018.7179099317,1304213.0891429568,1341933.831939904,1378151.4314551326,1412849.8111689822,1446024.8728316107,1477683.0655352334,1507840.0084021871,1536519.18505885,1563750.7226035881,1589570.2631591773,1614017.9322825053
G,96129.0,96129.0,96131.91005217118,96136.52737869625,96142.26733557892,96148.85769984758,96156.18514103176,96164.21815718147,96172.9684594437,96182.47170130373,96192.77794780399,96203.94705469956,96216.04652830554,96229.15064418658,96243.34021008782,96258.7026638841,96275.33235082965,96293.33090146589,96312.80767013767,96333.88021326026,96356.67479587272,96381.326919429,96407.98186564211,96436.79525172377,96467.93359216099,96501.57486154503,96537.90905206905,96577.13871821355,96619.4794998847,96665.16061388365,96714.42530208513,96767.5312231133,96824.75077264746,96886.37131580645,96952.69531339148,97024.0403221698,97100.73884792488,97183.13802876345,97271.59912525173,97366.49679345777,97468.21811702261,97577.16137509044,97693.73452442518,97818.35337644558,97951.43945333234,98093.41751188441,98244.71272948063,98405.74755334643,98576.93822229105,98758.69097905642,98951.39800122948,99155.43308905646,99371.14715913548,99598.86360345564,99838.87358314867,100091.43133513864,100356.74957712443,100640.91139997516,100948.9625962459,101285.61731583698,101655.69788864086,102064.42178066293,102517.60437401145,103021.81790860539,103584.52920405331,104214.22778817071,104920.54912242758,105714.39300704587,106608.03391457183,107615.21734948969,108751.23409199335,110032.96231168609,111478.86614945761,113108.9386917464,114944.57758659276,117008.38315339593,119323.87191218982,121915.10303480098,124806.22110398088,128020.92530787738,131581.88211897036,135510.10479055054,139824.32782335038,144540.40722507864,149670.7774922444,155223.99371857836,161204.38235901334,167536.8862717571,174159.6284996954,181014.94614115264,188046.503350061,195198.9222644969,202418.3923600528,209653.57145865992,216856.46804108904,223983.1693014537,230994.3649589129,237855.66058693765,244537.69686659673,251016.1023031108,257271.31136295112,263288.28034469543,269056.13120944146,274567.750129682,279819.36339491844,284810.109033602,289541.61840224045,294017.61825631047,298243.5605633331,302226.2845879449,305973.7135671094,309494.58656554716,312798.22480421426,315894.33082719013,318792.8182520684,321503.6694760995,324036.8185306579,326402.0562427094,328608.9549337702,330666.8100314982,332584.59616024664
H,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1904644.3302986494,1841156.185955361,1777668.0416120726,1714179.8972687842,1650691.7529254958,1587203.6085822075,1523715.464238919,1460227.3198956307,1396739.1755523423,1333251.031209054,1269762.8868657656,1206274.7425224772,1142786.5981791888,1079298.4538359004,1015810.3094926121,952322.1651493239,888834.0208060356,825345.8764627473,761857.7321194591,698369.5877761708,634881.4434328825,571393.2990895943,507905.15474630595,444417.01040301763,380928.8660597293,317440.721716441,253952.57737315266,190464.43302986433,126976.28868657602,63488.14434328771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
