series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
S,3998.3002751167637,3997.7502506631167,3997.2253374994866,3996.7133705325405,3996.206031397883,3995.6975964698345,3995.1840928618526,3994.662729000912,3994.131510232893,3993.588979232284,3993.034040647726,3992.4658426288656,3991.8836967768734,3991.2870240581137,3990.675318266083,3990.0481213474236,3989.405006751659,3988.7455682096615,3988.0694121871807,3987.376152828206,3986.665408587065,3985.936800007748,3985.1899482844115,3984.4244743555946,3983.639998364851,3982.8361393746754,3982.0125152572377,3981.1687427101965,3980.3044373625858,3979.419213947089,3978.5126865226302,3977.5844687363865,3976.6341741177753,3975.6614163993245,3974.6658098608837,3973.646969694689,3972.6045123894755,3971.5380561322863,3970.4472212269056,3969.331630528028,3968.1909098903666,3967.024688631951,5669.180856316442,7370.754841107063,9071.720040890028,10772.025359699734,12471.583770988444,14170.263404485018,15867.878417974965,17564.17745886197,19258.82786362676,20951.39383597923,22641.306679045243,24327.824756036644,26009.980255243165,27686.509091929853,27819.49332084906,27778.350941160505,27728.689380256652,27668.71021062736,27596.47506189433,27509.881570073932,27406.67898018268,27284.515697999665,27141.014889550384,26973.8736711442,26780.97865058385,26560.527253967746,26311.141928479647,26031.96411617154,25722.71728537497,25383.732809507186,25015.937910108947,24620.80984829577,24200.304017728016,23756.765158755563,23292.83076872414,22811.334464334886,22315.21516364226,21807.43598677274,21290.915031563683,20768.468801352723,20242.76806861548,19716.305307057228,19191.372447471156,18670.047538236926,18154.188857777823,17645.43508435278,17145.21024142814,16654.7322783363,16175.024298066139,15706.927595118825,15251.115809138448,14808.109630354891,14378.29160876189,13961.920719826245,13559.146425731617,13170.02204360958,12794.51729212202,12432.52993649831,12083.89649109627,11748.40196910565,11425.78869241976,11115.764192127152,10818.00824256067,10532.179080300572,10257.918864754507,9994.858439608619,9742.621455134009,9500.827910520584,9269.097173490942,9047.050531743274,8834.313327543712,8630.516723241586,8435.299141776715,8248.30742250988,8069.197729028756,7897.636242029125,7733.299666992499,7575.8755832069355,7425.062657726311,7280.5707451426315,7142.120891557224,7009.445258874986,6882.286983502822,6760.399981697486,6643.548712166354,6531.5079050630575,6424.062265224047
E,0.0,0.5500244536468802,0.9363387197528972,1.2123606966053153,1.4142009487363996,1.566275916654048,1.6850986812158948,1.7818399314935989,1.8640585715502622,1.936871432857591,2.003743998786097,2.067024995664777,2.128307850285337,2.188675101740898,2.248863676439293,2.3093766519209495,2.370558833949732,2.4326478604424127,2.495808752822285,2.560157271053267,2.6257756947800854,2.6927234806005034,2.7610444526689695,2.8307716476484863,2.9019305723856292,2.9745413873976756,3.048620363341789,3.1241808453966318,3.2012338845555126,3.2797886434594403,3.3598526496427086,3.4414319455486555,3.5245311687636214,3.609153585153675,3.6953010903074572,3.7829741897638556,3.8721719651733455,3.9628920312913216,4.055130487181531,4.148881863981848,4.244139070893093,4.3408933405861365,4.439134174909962,5.094802510433015,6.194036093211697,7.676158305210059,9.531712816843918,11.79846989208782,14.558654130622024,17.939281000862167,22.11667067377747,27.325845736947763,33.87550677411741,42.16950581331285,52.736104427731135,66.26672227616278,83.66625331546847,103.7258422433157,127.24986092631346,155.1637463349446,188.29968041457892,227.4441398572502,273.3338106163523,326.62058275268646,387.81731839556903,457.23369490782,534.9118635537055,620.5725357399704,713.5817788246299,812.9464079501788,917.341481445543,1025.16802035504,1134.6341191767976,1243.8493693529301,1350.9215877685251,1454.0460497719234,1551.5800404907864,1642.0986681480022,1724.4307935208185,1797.6761869300349,1861.206486974381,1914.6532655259477,1957.8866643408255,1990.9878465077395,2014.218066001143,2027.98662665814,2032.8194631113895,2029.3295815770978,2018.1901735942301,2000.110869459489,1975.817328351221,1946.0341614071274,1911.4710421860514,1872.8117652976784,1830.705958377845,1785.7631260054618,1738.548698939107,1689.5817719065678,1639.334233090191,1588.231014515642,1536.6512218222292,1484.9299322035044,1433.3604791224252,1382.197070688431,1331.6576146807006,1281.9266467488064,1233.1582791686012,1185.4791056794697,1138.9910134855754,1093.7738666425698,1049.888035986242,1007.3767597235571,966.2683260364788,926.5780747755509,888.3102197611049,851.4594965654394,816.0126431002117,781.949722040061,749.245295216558,717.8694607371773,687.788763825546,658.9669923289302,631.3658675694714,604.9456407869685,579.6656048817797,555.484530555858,532.3610352990786,510.2538930010298,489.12229130378273
I,0.7067861026476636,0.6478457066068605,0.6078558777120269,0.5810587675650214,0.5635397930866629,0.5526322779927157,0.5465149791258597,0.5439399078083809,0.5440481989617825,0.5462454965324998,0.5501175792543394,0.5553732000904146,0.5618053339918239,0.5692648808806733,0.5776427984444308,0.5868579423657369,0.5968487725456583,0.6075676795220869,0.618977088078926,0.6310467674573809,0.6437519618430367,0.6570720794552354,0.6709897629059881,0.6854902205718668,0.7005607373566242,0.7161903093809883,0.7323693648541936,0.7490895453884863,0.7663435301591541,0.7841248908374248,0.8024279689767755,0.8212477700865244,0.8405798703669187,0.8604203332691753,0.8807656338593318,0.9016125895263756,0.9229582959642235,0.9448000676288126,0.9671353820631666,0.989961827620133,1.0132770542117309,1.037078726787371,1.0613644812985343,1.086131882950243,1.1255650776777175,1.1897598535473557,1.2864217568904153,1.4223724476202722,1.6048285261548516,1.8425029743807595,2.1466233326885775,2.531980152071721,3.018127822361164,3.6308674043623856,4.404153760160304,5.382590245510949,6.624704141202117,8.207232897193588,10.169667362452001,12.568730943210419,15.480031855880513,18.99410862149792,23.214018699339526,28.253023957001957,34.2315759002864,41.27316843001718,49.49889930638196,59.02084329646448,69.93460218973586,82.31162878639898,96.19207341448796,111.5789286126953,128.4341349747052,146.67708150130693,166.18564048904338,186.79958441370792,208.32599490110852,230.54612301622944,253.22310169012528,276.1099318311166,298.95724026544144,321.5204151915099,343.565842038653,364.87607415811135,385.2538693412756,404.5251004477935,422.5406056944792,439.1770828999014,454.33715487058754,467.9487432568863,479.96388866473404,490.3571483461123,499.12369174438476,506.27720042599833,511.84766394188136,515.8791480046685,518.4275967963639,519.5587177315356,519.3459848880207,517.8687867221881,515.2107346395309,511.45814144638075,506.6986725662212,501.02016803479495,494.509629546711,487.25236406270653,479.33127355449676,470.82627922501086,461.81386786912105,452.3667478203397,442.5536020629209,432.4389264906278,422.08294189048456,411.54156896159117,400.8664564959462,390.1050537102889,379.30071859377676,368.4928550016199,357.71707206149955,347.00536025467113,336.38627927826144,325.88515348394947,315.5242713181839,305.32308575964527,295.29841326169736,285.46462916314596,275.8338579326295,266.41615696383684,257.21969294425605
A,6.272691457703251,6.021315869388053,5.904577552049947,5.880005686535396,5.918928953414134,6.002002948776389,6.116188055113337,6.252706913474666,6.4056637289737095,6.571110835878764,6.74641757335011,6.929843527823265,7.120249945842002,7.316904570830399,7.519349652660754,7.727312676354198,7.940645979334298,8.159285904364149,8.383225162869568,8.612494130601966,8.847148182061547,9.087259106427638,9.3329092810341,9.584187706789278,9.841187299706371,10.104003028737084,10.372730622723019,10.647465659010608,10.928302906992002,11.215335840921608,11.508656264164937,11.808354005857804,12.114516663695698,12.427229375201282,12.746574605662696,13.072631944896898,13.405477907679824,13.745185734510814,14.091825190621652,14.44546236198932,14.806159447694032,15.173974548366576,15.548961450749943,15.931169408599114,16.446549097231994,17.19021749698113,18.239738439612545,19.667425851886872,21.551249503439077,23.98467588069567,27.086190906029266,31.009463281262768,35.95522883029892,42.186090086222904,50.045585861510226,59.98312266611603,72.58668235272627,88.62561407927038,108.56466737787424,133.03213243301028,162.84070375022972,198.95897085360522,242.494820031911,294.67857601732584,356.83889167190677,430.36732200884353,516.6697883604442,617.1054162820865,732.9156147067795,865.1484775036713,1014.5851710067193,1181.6754983901064,1366.4891179601814,1568.6870854236402,1787.515920582526,2021.82381781177,2270.096415422425,2530.5080151450393,2800.9833889994147,3079.2652461880652,3362.982881807461,3649.718291613395,3937.066934355002,4222.691220936957,4504.365621131757,4780.012957870851,5047.73199075776,5305.816778737872,5552.768572571449,5787.301141815615,6008.340510468515,6215.0200810029455,6406.672086408619,6582.816239240395,6743.1463576699925,6887.515650512541,7015.921243081505,7128.488428438273,7225.4550374460105,7307.156238042724,7374.010000382653,7426.503400314233,7465.179878918518,7490.62753003366,7503.468450133417,7504.349154785215,7493.9320423115305,7472.887867343428,7441.889173849059,7401.604628162037,7352.694186815372,7295.805030972953,7231.568198387792,7160.595844625305,7083.4790673635525,7000.786230578522,6913.061729058619,6820.825137737907,6724.570694607455,6624.767070312633,6521.857381859024,6416.2594120461645,6308.366000265363,6198.54557409285,6087.142794655354,5974.479292026825,5860.854469926856,5746.5463617351115,5631.812522318796
IH,0.0,0.030668951934896597,0.05743815000316306,0.0813005695497018,0.10295588377782043,0.12290328310949793,0.1415043985003736,0.15902600677256082,0.17566905656883078,0.19158843417622493,0.206906457021168,0.22172211545383244,0.23611742975425584,0.2501618473864766,0.2639153067265011,0.2774303914123606,0.2907538627722934,0.30392776530269394,0.31699023757683953,0.32997611859209436,0.3429174108651094,0.3558436421378513,0.3687821543706258,0.3817583397484247,0.3947958373454285,0.4079166999535771,0.42114153775842117,0.43448964361512465,0.447979103352624,0.4616268936203344,0.4754489691578952,0.4894603409251482,0.5036751462164413,0.5181067116594672,0.5327676098363655,0.5476697101448292,0.5628242244265902,0.578241747821128,0.5939322952477524,0.6099053338752193,0.6261698119019163,0.642734183939413,0.6596064332664392,0.6767940911981482,0.6943042537961397,0.7127591868218726,0.733192000733088,0.7569249526878834,0.7855184385349441,0.820777708152362,0.86480708076004,0.9201059684043777,0.9897061916098644,1.077355391999977,1.1877567612354714,1.326881032826465,1.5023730698536784,1.72408278660058,2.004758824027686,2.3583054798526204,2.8004798893624487,3.3496303893736203,4.027230973816185,4.858287724936594,5.871627024954547,7.100040337056758,8.580242692453538,10.352597004592644,12.460562895344214,14.94984637224376,17.867253641034168,21.259284675447592,25.170534263736915,29.641994056567217,34.709363851656285,40.401481689854265,46.73897092278643,53.733181197356366,61.385473469839795,69.68687096942821,78.61807197145025,88.14979864512382,98.24344025676915,108.85193881086443,119.92086029893123,131.38959421908845,143.1926268978336,155.2608393737773,167.52278728359835,179.90592757195213,192.33776434557106,204.7468933820206,217.06393139865833,229.2223220144638,241.15901531309635,252.81502202310057,264.1358466012755,275.07180599991597,285.57824269881075,295.61564177866035,305.1496624962868,314.1510950832584,322.595753411976,330.4643138325589,337.7421099467823,344.41889240938457,350.48856208079656,355.94888403876985,360.80118912177295,365.0500688497549,368.70306876727904,371.77038449428426,374.26456406067143,376.2002194487915,377.5937496760833,378.4630772196283,378.8273991145279,378.7069536467185,378.12280320509336,377.0966335539292,375.65056953054506,373.80700696056584,371.58846040979427,369.0174262532482,366.1162604342913,362.9070702060843,359.41161909018217,355.651244249659,351.6467854536046
IN,0.028271444105906544,0.054908340952288984,0.07764757799680225,0.09747252577535732,0.11507938614756799,0.13096752590902722,0.14550077331709085,0.1589490717381954,0.1715168378939845,0.18336231530639824,0.19461082421728054,0.2053638704785796,0.21570544137887454,0.22570638737953008,0.23542749863487006,0.24492168895144206,0.254235567088265,0.2634105854594089,0.27248389547970076,0.2814889976019662,0.29045624618004384,0.2994132503620258,0.30838519936895226,0.3173951317814869,0.3264641625123379,0.33561167708650197,0.34485550007655685,0.35421204263452716,0.36369643274659996,0.3733226309234097,0.3831035333988674,0.3930510644578784,0.4031762591889675,0.41348933772186486,0.42399977183535986,0.43471634468869585,0.44564720432784866,0.4567999115375548,0.468181482545001,0.4797984270275524,0.49165678183192696,0.5037621407738306,0.5161196808538191,0.5287341851960456,0.5416100629908369,0.555318834343331,0.5708028077648073,0.5892580329293521,0.6120842748691848,0.6408890335484448,0.6775353886790896,0.7242278054131114,0.7836349171602742,0.859053242700193,0.9546207510797948,1.0755943642137185,1.2287112030365688,1.4226599650324574,1.6686964982760828,1.9790055145198429,2.3673361881231365,2.8496670971879947,3.444674540107713,4.174077321180367,5.062869020834012,6.139416246067172,7.435385310695686,8.985455613242133,10.826784512125734,12.998205140351029,15.539163559030854,18.488431221329982,21.882657664154564,25.75485111147104,30.132886937440837,35.0381437600838,40.48435506615301,46.47674358951772,53.01148014805888,60.07548226563081,67.64654388138212,75.69376787740354,84.1782590174443,93.05402625689992,102.26903971231154,111.76638798164265,121.48548497782802,131.36328099935793,141.33543955115576,151.33744874160115,161.30564337704317,171.17812076717098,180.89553948962285,190.40179579488026,199.6445769012743,208.57579413503737,217.1519017549351,225.3341094359785,233.08849785866462,240.38604775251574,247.20259316904193,253.51870979910703,259.3195488854276,264.59462678627165,269.33757958558715,273.545891372503,277.22060397496523,280.36601506526335,282.9893706887548,285.10055742383736,286.711798577928,287.837358072717,288.4932549800005,288.69699104131416,288.4672929420971,287.82387061381485,286.7871924034073,285.37827757549036,283.6185062950355,281.5294469723841,279.13270063375984,276.44976180417746,273.5018952511191,270.31002783203115,266.894654612285,263.27575836873837,259.4727415637241,255.5043698618203,251.3887262640735
D,62.0,62.0,62.00014075040936,62.00040435391114,62.000777470295084,62.001249970392855,62.00181401599331,62.00246342853462,62.003193253785895,62.00399945973896,62.004878725212265,62.005828290381196,62.00684584972201,62.00792947413036,62.00907755322027,62.01028875168369,62.01156197553702,62.01289634540056,62.01429117485131,62.01574595249734,62.01726032683493,62.01883409323094,62.02046718256525,62.02215965119941,62.0239116720285,62.025723526435456,62.02759559701111,62.029528360933526,62.03152238392236,62.033578314699376,62.03569687989804,62.037878879373636,62.040125181871915,62.042436721019556,62.04481449160374,62.047259546111555,62.04977299150287,62.05235598619255,62.05500973722023,62.05773549758746,62.060534563743886,62.06340827320554,62.066358002289576,62.06938516395118,62.07249120570934,62.07567760764932,62.078948705648806,62.08231357688607,62.08578736683403,62.08939238216089,62.09315921444983,62.09712811273149,62.10135079670135,62.10589290012605,62.11083725599359,62.11628828186233,62.12237779704822,62.12927270578338,62.1371851169574,62.14638564737493,62.1572087254635,62.17006109458488,62.18543370495354,62.20391605835631,62.2262124181252,62.253159341812975,62.285743878318726,62.32512157449621,62.3726332165449,62.42981904187415,62.498429048542604,62.58042804444763,62.67799424192088,62.79351051417434,62.92954785925792,63.088841113919145,63.27425746263179,63.48875873755077,63.73535885827928,64.01707799031875,64.33689510167002,64.69770057805518,65.10225043912223,65.55312350653138,66.05268263655385,66.60304086900182,67.20603308116756,67.86319348547609,68.57573908357418,69.34455899425805,70.17020941119634,71.05291381937315,71.99256800514239,72.98874933101831,74.04072970930302,75.14749169446358,76.30774711883336,77.51995771588258,78.7823572064217,80.09297436248218,81.44965660848774,82.85009376733495,84.29184160820793,85.7723449018006,87.28895973590579,88.83897488915109,90.41963210237992,92.02814512537842,93.66171745110286,95.31755868018676,96.99289948533398,98.68500516835756,100.39118782229068,102.1088171274081,103.83532982341664,105.56823791077615,107.30513564238179,109.04370537295091,110.78172233768258,112.51705843435064,114.24768508418853,115.97167524694709,117.68720466455345,119.39255240605073,121.08610078411422,122.76633471056205,124.43184055502995,126.0813045674683,127.71351092143576
R,0.0,0.25301013557472257,0.49868799380977824,0.7420509887381999,0.9865102878798022,1.2343957285514873,1.4873103561021306,1.7463698604868174,2.012364240593097,2.2858669144462676,2.5673083156534293,2.8570254924631935,3.1552954933731665,3.4623578007587925,3.7784293690117634,4.10371467110897,4.438412378334766,4.782719771068318,5.136835622361985,5.5009620552111045,5.875305711591295,6.260078461258835,6.655497803895834,7.061787067887439,7.479175475034748,7.907898117553899,8.348195878217629,8.800315314045209,9.264508516906409,9.741032959670108,10.230151333351136,10.7321313785844,11.247245713341503,11.775771657870933,12.317991057232001,12.874190101399615,13.444659142670364,14.029692509951943,14.629588319435344,15.24464828111058,15.875177500577147,16.521484275610298,17.183879886966732,17.86267838294417,18.55819635724561,19.275798359160994,20.024718133066713,20.817392715443898,21.669278044698462,22.59909672390565,23.629480648089867,24.78800014073284,26.108609104859305,27.633578912543033,29.416042032594476,31.52332160248374,34.04128838322437,37.08006527391743,40.78149474906632,45.307194131348574,50.84520839365432,57.61756312418756,65.88674236245767,75.96154928046711,88.20232712956023,103.02523869580496,120.90513742577194,142.3764876330229,168.031806286816,198.51721014536304,234.52485362129408,276.7823103053673,326.0392427211773,383.0519708557639,448.5667458951562,523.3026337947995,607.9349081215895,703.0797569430368,809.2809507828212,926.9989281642821,1056.6025595461483,1198.363670327459,1352.4542520483187,1518.9461738772848,1697.8131245184875,1888.934464828174,2092.1006488133353,2307.0198696853563,2533.3256027288817,2770.584742935512,3018.306068427196,3275.9487972680417,3542.931042740689,3818.6380086522913,4102.429800436333,4393.648758910098,4691.626251087978,4995.688876273879,5305.164065801474,5619.385071439091,5937.695350897114,6259.452369392146,6584.0308441790785,6910.825464706944,7239.253124921838,7568.754706543273,7898.796453164334,8228.870975025673,8558.497923512217,8887.224373012303,9214.624945925596,9540.301714445843,9863.883910390185,10185.027471890067,10503.414453272699,10818.752322003264,11130.773164169934,11439.23281770774,11743.90995039579,12044.60509763953,12341.139673173977,12633.354964098246,12921.111120075902,13204.286145105832,13482.774898979269,13756.488114382913,14025.351434577758,14289.304475669629,14548.299916681617
G,4994.0,4994.0,4994.014035402187,4994.0379286862535,4994.068865437991,4994.104952704578,4994.144920586515,4994.18792056144,4994.233389158163,4994.280955791933,4994.330380448171,4994.3815115437355,4994.4342574297625,4994.4885671181,4994.5444172445905,4994.601803249799,4994.660733411713,4994.721224806998,4994.783300576309,4994.846988071282,4994.912317597491,4994.979321560104,4995.048033881488,4995.118489602304,4995.190724606239,4995.264775427855,4995.340679116166,4995.418473135378,4995.498195290235,4995.57988366748,4995.6635765876645,4995.7493125634255,4995.837130261591,4995.927068467328,4996.0191660491455,4996.113461923919,4996.209995021426,4996.30880424801,4996.4099284491485,4996.513406370775,4996.61927661927,4996.727577620073,4996.838347574901,4996.95162441758,4997.081632459625,4997.239690500774,4997.435569008261,4997.678797144802,4997.979867886339,4998.351372397939,4998.809142997259,4999.37351130103,5000.070806180314,5000.935233859302,5002.011305968786,5003.357014201382,5005.047993743423,5007.182970664811,5009.829823733588,5013.076957500928,5017.036391613654,5021.841381153153,5027.645250338848,5034.620121979157,5042.954753668688,5052.85099010427,5064.518578261092,5078.1683407209675,5094.003973241245,5112.212995026521,5132.957581410171,5156.366098157462,5182.52610864282,5211.479450792948,5243.219723507667,5277.692241377159,5314.79626642766,5354.389142251131,5396.291852366752,5440.29549542241,5486.168198204418,5533.66205311203,5582.519751077127,5632.480669337686,5683.286256233407,5734.684626725044,5786.434340298014,5838.307377121203,5890.091359920352,5941.591089773792,5992.6294759485945,6043.04794492202,6092.706413637854,6141.482908332574,6189.272904162059,6235.988453336315,6281.5571612682,6325.921061907434,6369.035435348031,6410.867603222125,6451.3957304831665,6490.607656018344,6528.499769140456,6565.075944380641,6600.3465430962715,6634.327487167165,6667.039407412974,6698.506867256272,6728.757660510637,6757.822180924755,6785.732860200597,6812.52367056975,6838.2296876067885,6862.88670873785,6886.530922827982,6909.198626269563,6930.925981118473,6951.74881101156,6971.702430829418,6990.821506327093,7009.13994022976,7026.690781571023,7043.506155330789,7059.617209702144,7075.054078578113,7089.8458570969715,7104.0205883168965,7117.605259306338,7130.62580513499
H,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,24013.957686990394,22310.609430684835,20607.261174379277,18903.912918073718,17200.56466176816,15497.216405462603,13793.868149157046,12090.51989285149,10387.171636545932,8683.823380240376,6980.475123934818,5277.12686762926,3573.7786113237025,1870.430355018145,167.0820987125876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
